review_id,gt_id,case_id,scene,sar_frame,category,why_selected,what_to_look_for,possible_decision_options,image_panel_path,notes
R0015,118,GTREF_PAIRED_GM_RM017_s331_118,GM_RM017,331,weak_but_structured_gt,GT crop is in the lower tail of display-grayscale energy mean; weak target or edge case.,看弱能量中是否仍有车辆尺度条带、角点或边界结构。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\15_GTREF_PAIRED_GM_RM017_s331_118_gt_quality_vehicle_scale_cn.png,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0016,119,GTREF_PAIRED_GM_RM017_s332_119,GM_RM017,332,weak_but_structured_gt,GT crop is in the lower tail of display-grayscale energy mean; weak target or edge case.,看弱能量中是否仍有车辆尺度条带、角点或边界结构。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\16_GTREF_PAIRED_GM_RM017_s332_119_gt_quality_vehicle_scale_cn.png,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0017,100,GTREF_PAIRED_GM_RM017_s315_100,GM_RM017,315,multi_structure_inside_gt,Many internal components and competitive nearby context suggest possible multi-structure confusion.,看 GT 内是否包含多车/邻近结构而非单车。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\17_GTREF_PAIRED_GM_RM017_s315_100_gt_quality_vehicle_scale_cn.png,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0018,101,GTREF_PAIRED_GM_RM017_s317_101,GM_RM017,317,multi_structure_inside_gt,Many internal components and competitive nearby context suggest possible multi-structure confusion.,看 GT 内是否包含多车/邻近结构而非单车。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\visual_exemplars\18_GTREF_PAIRED_GM_RM017_s317_101_gt_quality_vehicle_scale_cn.png,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0019,102,GTREF_PAIRED_GM_RM017_s317_102,GM_RM017,317,multi_structure_inside_gt,Many internal components and competitive nearby context suggest possible multi-structure confusion.,看 GT 内是否包含多车/邻近结构而非单车。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0020,104,GTREF_PAIRED_GM_RM017_s319_104,GM_RM017,319,multi_structure_inside_gt,Many internal components and competitive nearby context suggest possible multi-structure confusion.,看 GT 内是否包含多车/邻近结构而非单车。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0021,,PAIR_GM_RM017_o210_s438_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,438,support_miss_but_gt_good,GT appears usable but support misses vehicle-scale morphology.,看 GT 内车辆尺度结构是否清楚，同时 support 是否错过主结构。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0022,,PAIR_GM_RM017_o186_s387_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,387,support_miss_but_gt_good,GT appears usable but support misses vehicle-scale morphology.,看 GT 内车辆尺度结构是否清楚，同时 support 是否错过主结构。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0023,,PAIR_GM_RM017_o169_s352_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,352,support_miss_but_gt_good,GT appears usable but support misses vehicle-scale morphology.,看 GT 内车辆尺度结构是否清楚，同时 support 是否错过主结构。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0024,,PAIR_GM_RM019_o15_s31_oty1t_obj_GM_RM019_bytetrack_bt_0005,GM_RM019,31,support_miss_but_gt_good,GT appears usable but support misses vehicle-scale morphology.,看 GT 内车辆尺度结构是否清楚，同时 support 是否错过主结构。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0025,,PAIR_GM_RM019_o39_s81_oty1t_obj_GM_RM019_bytetrack_bt_0005,GM_RM019,81,support_miss_but_gt_good,GT appears usable but support misses vehicle-scale morphology.,看 GT 内车辆尺度结构是否清楚，同时 support 是否错过主结构。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0026,,PAIR_GM_RM017_o184_s384_oty1t_obj_GM_RM017_bytetrack_bt_0014,GM_RM017,384,support_miss_and_gt_uncertain,Support miss overlaps with GT quality uncertainty.,同时看 GT 质量和 support miss，先不要下强结论。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0027,,PAIR_GM_RM017_o184_s383_oty1t_obj_GM_RM017_bytetrack_bt_0014,GM_RM017,383,support_miss_and_gt_uncertain,Support miss overlaps with GT quality uncertainty.,同时看 GT 质量和 support miss，先不要下强结论。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0028,,PAIR_GM_RM019_o0_s0_oty1t_obj_GM_RM019_bytetrack_bt_0001,GM_RM019,0,support_miss_and_gt_uncertain,Support miss overlaps with GT quality uncertainty.,同时看 GT 质量和 support miss，先不要下强结论。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0029,,PAIR_GM_RM019_o4_s8_oty1t_obj_GM_RM019_bytetrack_bt_0001,GM_RM019,8,support_miss_and_gt_uncertain,Support miss overlaps with GT quality uncertainty.,同时看 GT 质量和 support miss，先不要下强结论。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0030,,PAIR_GM_RM019_o2_s4_oty1t_obj_GM_RM019_bytetrack_bt_0001,GM_RM019,4,support_miss_and_gt_uncertain,Support miss overlaps with GT quality uncertainty.,同时看 GT 质量和 support miss，先不要下强结论。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0031,,PAIR_GM_RM017_o212_s442_oty1t_obj_GM_RM017_bytetrack_bt_0014,GM_RM017,442,support_miss_and_gt_uncertain,Support miss overlaps with GT quality uncertainty.,同时看 GT 质量和 support miss，先不要下强结论。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0032,336,GTREF_GM_RM011_s0_336,GM_RM011,0,good_gt_scale_anchor,Good GT-scale morphology anchor for calibration/reference.,确认这是可作为车辆尺度参考的好 GT anchor。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0033,23,GTREF_GM_RM011_s13_23,GM_RM011,13,good_gt_scale_anchor,Good GT-scale morphology anchor for calibration/reference.,确认这是可作为车辆尺度参考的好 GT anchor。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0034,25,GTREF_GM_RM011_s14_25,GM_RM011,14,good_gt_scale_anchor,Good GT-scale morphology anchor for calibration/reference.,确认这是可作为车辆尺度参考的好 GT anchor。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0035,40,GTREF_GM_RM011_s21_40,GM_RM011,21,good_gt_scale_anchor,Good GT-scale morphology anchor for calibration/reference.,确认这是可作为车辆尺度参考的好 GT anchor。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0036,42,GTREF_GM_RM011_s21_42,GM_RM011,21,good_gt_scale_anchor,Good GT-scale morphology anchor for calibration/reference.,确认这是可作为车辆尺度参考的好 GT anchor。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0037,44,GTREF_GM_RM011_s22_44,GM_RM011,22,good_gt_scale_anchor,Good GT-scale morphology anchor for calibration/reference.,确认这是可作为车辆尺度参考的好 GT anchor。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0038,,,,,possible_gt_offset,No fixed-rule positive candidate; included as an empty review category placeholder.,看能量主体是否偏在 GT 外或明显靠一侧。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
R0039,,,,,possible_gt_boundary_affected,No fixed-rule positive candidate; included as an empty review category placeholder.,看目标是否靠近 SAR 图像边界，车体结构是否不完整。,GT good;GT too small;GT too large;GT offset;GT boundary affected;weak but structured;multi-structure;support miss;support reconstruction uncertain,,本图目的：检查 GT 框是否合理，以及 GT 内能量结构是否达到车辆尺度。不能记录 revised annotation、final box、identity truth、selector success。
