scene,object_hypothesis_id,result_class,spatial_prior_status,temporal_window_status,sar_start_frame,sar_end_frame,sar_window_frame_count,azimuth_available,azimuth_width_deg,range_prior_mode,time_info_strength,azimuth_info_strength,range_info_strength,state_uncertainty_level,geometry_completeness_level,weakness_source_group,rule_effect_summary,normal_downstream_input,review_only_context,blocked,degradation_reason,notes
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0036,blocked_not_ready_object,blocked_no_spatial_prior,not_ready_for_sar_temporal_window,,,,false,,not_generated_for_blocked_object,none_or_blocked,none,none_or_blocked,blocked_or_not_ready,missing_or_not_applicable,object_not_ready_or_short_noise,short/noise or object gate blocked normal spatial prior,false,false,true,object_not_ready_for_spatial_prior,blocked_objects_preserve_temporal_status_only
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0057,blocked_not_ready_object,blocked_no_spatial_prior,not_ready_for_sar_temporal_window,,,,false,,not_generated_for_blocked_object,none_or_blocked,none,none_or_blocked,blocked_or_not_ready,missing_or_not_applicable,object_not_ready_or_short_noise,short/noise or object gate blocked normal spatial prior,false,false,true,object_not_ready_for_spatial_prior,blocked_objects_preserve_temporal_status_only
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0067,blocked_not_ready_object,blocked_no_spatial_prior,not_ready_for_sar_temporal_window,,,,false,,not_generated_for_blocked_object,none_or_blocked,none,none_or_blocked,blocked_or_not_ready,missing_or_not_applicable,object_not_ready_or_short_noise,short/noise or object gate blocked normal spatial prior,false,false,true,object_not_ready_for_spatial_prior,blocked_objects_preserve_temporal_status_only
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0070,blocked_not_ready_object,blocked_no_spatial_prior,not_ready_for_sar_temporal_window,,,,false,,not_generated_for_blocked_object,none_or_blocked,none,none_or_blocked,blocked_or_not_ready,missing_or_not_applicable,object_not_ready_or_short_noise,short/noise or object gate blocked normal spatial prior,false,false,true,object_not_ready_for_spatial_prior,blocked_objects_preserve_temporal_status_only
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0073,blocked_not_ready_object,blocked_no_spatial_prior,not_ready_for_sar_temporal_window,,,,false,,not_generated_for_blocked_object,none_or_blocked,none,none_or_blocked,blocked_or_not_ready,missing_or_not_applicable,object_not_ready_or_short_noise,short/noise or object gate blocked normal spatial prior,false,false,true,object_not_ready_for_spatial_prior,blocked_objects_preserve_temporal_status_only
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0111,blocked_not_ready_object,blocked_no_spatial_prior,not_ready_for_sar_temporal_window,,,,false,,not_generated_for_blocked_object,none_or_blocked,none,none_or_blocked,blocked_or_not_ready,missing_or_not_applicable,object_not_ready_or_short_noise,short/noise or object gate blocked normal spatial prior,false,false,true,object_not_ready_for_spatial_prior,blocked_objects_preserve_temporal_status_only
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,relaxed_normal_downstream,loose_spatial_prior_generated,ready_uncertainty_expanded_sar_temporal_window,6,92,87,true,79.997,broad_unknown_range_prior,medium_expanded,weak_broad,weak_broad_unknown,high_review_uncertainty,partial_azimuth_only_range_missing,range_missing_info,uncertainty states keep object in normal downstream input but expand prior; secondary observations expand envelope; edge/partial state expands margin; duplicate/handoff state preserves uncertainty; range remains broad unknown until runtime-safe range geometry exists,true,false,false,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;normal_downstream_input_with_expanded_uncertainty;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0042,relaxed_normal_downstream,loose_spatial_prior_generated,ready_uncertainty_expanded_sar_temporal_window,73,179,107,true,45.220,broad_unknown_range_prior,medium_expanded,weak_but_bounded,weak_broad_unknown,high_review_uncertainty,partial_azimuth_only_range_missing,range_missing_info,uncertainty states keep object in normal downstream input but expand prior; secondary observations expand envelope; edge/partial state expands margin; duplicate/handoff state preserves uncertainty; range remains broad unknown until runtime-safe range geometry exists,true,false,false,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;normal_downstream_input_with_expanded_uncertainty;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,relaxed_normal_downstream,loose_spatial_prior_generated,ready_uncertainty_expanded_sar_temporal_window,200,298,99,true,79.987,broad_unknown_range_prior,medium_expanded,weak_broad,weak_broad_unknown,high_review_uncertainty,partial_azimuth_only_range_missing,range_missing_info,uncertainty states keep object in normal downstream input but expand prior; secondary observations expand envelope; edge/partial state expands margin; duplicate/handoff state preserves uncertainty; range remains broad unknown until runtime-safe range geometry exists,true,false,false,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;normal_downstream_input_with_expanded_uncertainty;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,relaxed_normal_downstream,loose_spatial_prior_generated,ready_uncertainty_expanded_sar_temporal_window,298,386,89,true,80.013,broad_unknown_range_prior,medium_expanded,weak_broad,weak_broad_unknown,high_review_uncertainty,partial_azimuth_only_range_missing,range_missing_info,uncertainty states keep object in normal downstream input but expand prior; secondary observations expand envelope; edge/partial state expands margin; duplicate/handoff state preserves uncertainty; range remains broad unknown until runtime-safe range geometry exists,true,false,false,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;normal_downstream_input_with_expanded_uncertainty;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0094,normal_stable_or_primary,normal_spatial_prior_generated,ready_primary_sar_temporal_window,284,303,20,true,8.790,broad_unknown_range_prior,strong,medium_compact,weak_broad_unknown,high_review_uncertainty,partial_azimuth_only_range_missing,range_missing_info,primary runtime-safe object state permits normal prior; range remains broad unknown until runtime-safe range geometry exists,true,false,false,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0124,normal_stable_or_primary,normal_spatial_prior_generated,ready_primary_sar_temporal_window,536,549,14,true,8.501,broad_unknown_range_prior,strong,medium_compact,weak_broad_unknown,high_review_uncertainty,partial_azimuth_only_range_missing,range_missing_info,primary runtime-safe object state permits normal prior; range remains broad unknown until runtime-safe range geometry exists,true,false,false,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,review_only_context,review_only_spatial_context_generated,low_confidence_sar_temporal_window,0,30,31,true,73.148,broad_unknown_range_prior_review_only,review_only,weak_broad,weak_broad_unknown,high_review_uncertainty,partial_azimuth_only_range_missing,range_missing_plus_review_uncertainty,ambiguity/review state routes object to review-only context; secondary observations expand envelope; edge/partial state expands margin; duplicate/handoff state preserves uncertainty; range remains broad unknown until runtime-safe range geometry exists,false,true,false,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;review_only_context_not_mixed_with_normal_spatial_priors;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0002,review_only_context,review_only_spatial_context_generated,low_confidence_sar_temporal_window,0,33,34,true,76.574,broad_unknown_range_prior_review_only,review_only,weak_broad,weak_broad_unknown,high_review_uncertainty,partial_azimuth_only_range_missing,range_missing_plus_review_uncertainty,ambiguity/review state routes object to review-only context; edge/partial state expands margin; duplicate/handoff state preserves uncertainty; range remains broad unknown until runtime-safe range geometry exists,false,true,false,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;review_only_context_not_mixed_with_normal_spatial_priors;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0053,review_only_context,review_only_spatial_context_generated,low_confidence_sar_temporal_window,72,201,130,true,42.734,broad_unknown_range_prior_review_only,review_only,weak_broad,weak_broad_unknown,high_review_uncertainty,partial_azimuth_only_range_missing,range_missing_plus_review_uncertainty,ambiguity/review state routes object to review-only context; secondary observations expand envelope; edge/partial state expands margin; duplicate/handoff state preserves uncertainty; range remains broad unknown until runtime-safe range geometry exists,false,true,false,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;review_only_context_not_mixed_with_normal_spatial_priors;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0069,review_only_context,review_only_spatial_context_generated,low_confidence_sar_temporal_window,72,216,145,true,49.807,broad_unknown_range_prior_review_only,review_only,weak_broad,weak_broad_unknown,high_review_uncertainty,partial_azimuth_only_range_missing,range_missing_plus_review_uncertainty,ambiguity/review state routes object to review-only context; secondary observations expand envelope; edge/partial state expands margin; duplicate/handoff state preserves uncertainty; range remains broad unknown until runtime-safe range geometry exists,false,true,false,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;review_only_context_not_mixed_with_normal_spatial_priors;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0071,review_only_context,review_only_spatial_context_generated,low_confidence_sar_temporal_window,174,201,28,true,29.220,broad_unknown_range_prior_review_only,review_only,weak_broad,weak_broad_unknown,high_review_uncertainty,partial_azimuth_only_range_missing,range_missing_plus_review_uncertainty,ambiguity/review state routes object to review-only context; secondary observations expand envelope; edge/partial state expands margin; duplicate/handoff state preserves uncertainty; range remains broad unknown until runtime-safe range geometry exists,false,true,false,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;review_only_context_not_mixed_with_normal_spatial_priors;azimuth_prior_is_weak_configured_geometry_not_final_location
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0093,review_only_context,review_only_spatial_context_generated,low_confidence_sar_temporal_window,197,301,105,true,86.002,broad_unknown_range_prior_review_only,review_only,weak_broad,weak_broad_unknown,high_review_uncertainty,partial_azimuth_only_range_missing,range_missing_plus_review_uncertainty,ambiguity/review state routes object to review-only context; edge/partial state expands margin; duplicate/handoff state preserves uncertainty; range remains broad unknown until runtime-safe range geometry exists,false,true,false,range_prior_degraded_to_broad_unknown,range_geometry_not_available_in_current_oty2_inputs;review_only_context_not_mixed_with_normal_spatial_priors;azimuth_prior_is_weak_configured_geometry_not_final_location
