comparison_id,source_mode_name,control_support_type,control_variant,sample_pool,n_rows,gt_inside_support_rate_posthoc,top1_near_gt_rate_posthoc,topk_contains_near_gt_rate_posthoc,multiple_topk_peaks_near_gt_rate_posthoc,all_topk_far_rate_posthoc,stable_cluster_tube_rate,jumping_peak_rate,diffuse_or_unstable_rate,median_best_topk_distance_to_gt_px_posthoc,median_peak_background_ratio,median_support_area_px,median_area_ratio_vs_true_mode,serious_peak_competition_rate,scatter_cluster_type_mix,temporal_stability_label_mix,interpretation,provenance_labels
NC0027,broad_fan_baseline,wrong_sar_frame_support,observed_frame=342,paired_optical_object_sar_gt=3,3,1,0,0,0.3333,0.6667,0,0,0,337.245,1.7723,628911,1,1,range_spread_cluster=1;diffuse_clutter=1;weak_no_structure=1,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0028,broad_fan_baseline,wrong_sar_frame_support,observed_frame=344,paired_optical_object_sar_gt=2,2,1,0,0,0,1,0,0,0,413.002,1.7864,606555,1,1,diffuse_clutter=2,insufficient_temporal_samples=2,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0029,broad_fan_baseline,wrong_sar_frame_support,observed_frame=346,paired_optical_object_sar_gt=2,2,1,0,0,0,1,0,0,0,406.002,1.7559,617355,1,1,azimuth_spread_cluster=2,insufficient_temporal_samples=2,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0030,broad_fan_baseline,wrong_sar_frame_support,observed_frame=348,paired_optical_object_sar_gt=2,2,1,0,0,0,1,0,0,0,400.029,1.7995,630504,1,1,azimuth_spread_cluster=1;weak_no_structure=1,insufficient_temporal_samples=2,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0031,broad_fan_baseline,wrong_sar_frame_support,observed_frame=350,paired_optical_object_sar_gt=2,2,1,0,0,0,1,0,0,0,396.781,1.8199,643716,1,1,diffuse_clutter=2,insufficient_temporal_samples=2,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0032,broad_fan_baseline,wrong_sar_frame_support,observed_frame=352,paired_optical_object_sar_gt=2,2,1,0,0,0,1,0,0,0,382.88,1.7982,655934,1,1,diffuse_clutter=2,insufficient_temporal_samples=2,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0033,broad_fan_baseline,wrong_sar_frame_support,observed_frame=354,paired_optical_object_sar_gt=2,2,1,0,0,0,1,0,0,0,380.243,1.8277,668898,1,1,diffuse_clutter=2,insufficient_temporal_samples=2,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0034,broad_fan_baseline,wrong_sar_frame_support,observed_frame=355,paired_optical_object_sar_gt=2,2,1,0,0,0,1,0,0,0,376.727,1.7759,668898,1,1,diffuse_clutter=2,insufficient_temporal_samples=2,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0035,broad_fan_baseline,wrong_sar_frame_support,observed_frame=356,paired_optical_object_sar_gt=2,2,1,0,0,0,1,0,0,0,369.358,1.8343,680148,1,1,diffuse_clutter=2,insufficient_temporal_samples=2,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0036,broad_fan_baseline,wrong_sar_frame_support,observed_frame=357,paired_optical_object_sar_gt=2,2,1,0,0,0,1,0,0,0,365.453,1.8056,680148,1,1,diffuse_clutter=2,insufficient_temporal_samples=2,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0037,broad_fan_baseline,wrong_sar_frame_support,observed_frame=358,paired_optical_object_sar_gt=2,2,1,0,0,0,1,0,0,0,366.15,1.7999,691952,1,1,diffuse_clutter=2,insufficient_temporal_samples=2,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0038,broad_fan_baseline,wrong_sar_frame_support,observed_frame=359,paired_optical_object_sar_gt=2,2,1,0,0,0,1,0,0,0,362.614,1.7695,691952,1,1,azimuth_spread_cluster=1;diffuse_clutter=1,insufficient_temporal_samples=2,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0039,broad_fan_baseline,wrong_sar_frame_support,observed_frame=360,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0.6667,0,0,571.661,1.8074,761337,1,1,diffuse_clutter=3,stable_cluster_tube=2;insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0040,broad_fan_baseline,wrong_sar_frame_support,observed_frame=361,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0.6667,0,0,569.639,1.8548,761337,1,1,diffuse_clutter=3,stable_cluster_tube=2;insufficient_temporal_samples=1,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0041,broad_fan_baseline,wrong_sar_frame_support,observed_frame=362,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,417.139,1.9046,667233,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0042,broad_fan_baseline,wrong_sar_frame_support,observed_frame=363,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,412.992,1.8947,667233,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0043,broad_fan_baseline,wrong_sar_frame_support,observed_frame=364,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,409.008,1.9253,667548,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0044,broad_fan_baseline,wrong_sar_frame_support,observed_frame=365,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,403.386,1.9037,667548,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0045,broad_fan_baseline,wrong_sar_frame_support,observed_frame=366,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,405.872,1.9109,667116,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0046,broad_fan_baseline,wrong_sar_frame_support,observed_frame=367,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,402.559,1.904,667116,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0047,broad_fan_baseline,wrong_sar_frame_support,observed_frame=368,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,398.975,1.9647,529254,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0048,broad_fan_baseline,wrong_sar_frame_support,observed_frame=369,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,395.96,1.9248,529254,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0049,broad_fan_baseline,wrong_sar_frame_support,observed_frame=370,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,395.338,1.9221,551070,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0050,broad_fan_baseline,wrong_sar_frame_support,observed_frame=371,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,391.496,1.912,551070,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0051,broad_fan_baseline,wrong_sar_frame_support,observed_frame=372,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,388.691,1.8316,572796,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0052,broad_fan_baseline,wrong_sar_frame_support,observed_frame=373,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,384.218,1.9471,572796,1,1,diffuse_clutter=2;weak_no_structure=1,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0053,broad_fan_baseline,wrong_sar_frame_support,observed_frame=374,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,381.038,1.9523,591867,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0054,broad_fan_baseline,wrong_sar_frame_support,observed_frame=375,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,380.057,1.987,591867,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0055,broad_fan_baseline,wrong_sar_frame_support,observed_frame=376,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,379.889,2.0297,591867,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0056,broad_fan_baseline,wrong_sar_frame_support,observed_frame=377,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,371.852,2.1727,455220,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0057,broad_fan_baseline,wrong_sar_frame_support,observed_frame=378,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,372.298,2.1073,455220,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0058,broad_fan_baseline,wrong_sar_frame_support,observed_frame=379,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,369.589,1.9404,764253,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0059,broad_fan_baseline,wrong_sar_frame_support,observed_frame=380,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,370.722,1.9108,764253,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0060,broad_fan_baseline,wrong_sar_frame_support,observed_frame=381,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,368.693,2.0536,456966,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0061,broad_fan_baseline,wrong_sar_frame_support,observed_frame=382,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,368.048,2.0477,456966,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0062,broad_fan_baseline,wrong_sar_frame_support,observed_frame=383,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,363.18,2.0719,458406,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0063,broad_fan_baseline,wrong_sar_frame_support,observed_frame=384,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,362.714,2.093,458406,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0064,broad_fan_baseline,wrong_sar_frame_support,observed_frame=385,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,362.939,2.1251,460629,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
NC0065,broad_fan_baseline,wrong_sar_frame_support,observed_frame=386,paired_optical_object_sar_gt=3,3,1,0,0,0,1,0,0,0,360.989,2.0387,460629,1,1,diffuse_clutter=3,insufficient_temporal_samples=3,temporal negative control; strong performance here would indicate frame-insensitive background coincidence,SAR_image_observation;SAR_temporal_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
