strategy,margin_deg,subgroup_type,subgroup,n_frames,n_objects,coverage_pass,coverage_fail,coverage_rate,median_sector_width_deg,median_width_compression_rate_vs_original,median_signed_error_deg,median_abs_error_deg,mean_signed_error_deg,failure_context_counts,failure_scene_counts,failure_object_count,systematic_offset_note,posthoc_only_note
centered_fixed_margin,50,all,all,215,9,212,3,0.986,100,,-3.41,17.47,-1.778,complete=3,GM_RM019=3,2,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
original_interval,,scene,GM_RM017,199,4,197,2,0.9899,80.013,,-3.937,16.78,-2.449,complete=2,GM_RM017=2,1,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,5,scene,GM_RM017,199,4,32,167,0.1608,10,0.875,-3.937,16.78,-2.449,complete=69;edge=56;ambiguous_or_review_only=25;duplicate_or_handoff=17,GM_RM017=167,4,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,10,scene,GM_RM017,199,4,62,137,0.3116,20,0.75,-3.937,16.78,-2.449,edge=56;complete=50;ambiguous_or_review_only=16;duplicate_or_handoff=15,GM_RM017=137,3,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,15,scene,GM_RM017,199,4,87,112,0.4372,30,0.6251,-3.937,16.78,-2.449,edge=56;complete=32;duplicate_or_handoff=15;ambiguous_or_review_only=9,GM_RM017=112,3,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,20,scene,GM_RM017,199,4,114,85,0.5729,40,0.5001,-3.937,16.78,-2.449,edge=51;complete=18;duplicate_or_handoff=11;ambiguous_or_review_only=5,GM_RM017=85,3,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,25,scene,GM_RM017,199,4,141,58,0.7085,50,0.3751,-3.937,16.78,-2.449,edge=43;complete=10;duplicate_or_handoff=4;ambiguous_or_review_only=1,GM_RM017=58,3,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,30,scene,GM_RM017,199,4,167,32,0.8392,60,0.2501,-3.937,16.78,-2.449,edge=26;duplicate_or_handoff=3;complete=2;ambiguous_or_review_only=1,GM_RM017=32,3,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,35,scene,GM_RM017,199,4,190,9,0.9548,70,0.1251,-3.937,16.78,-2.449,edge=8;complete=1,GM_RM017=9,2,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,40,scene,GM_RM017,199,4,198,1,0.995,80,0.0696,-3.937,16.78,-2.449,edge=1,GM_RM017=1,1,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,45,scene,GM_RM017,199,4,199,0,1,90,,-3.937,16.78,-2.449,,,0,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,50,scene,GM_RM017,199,4,199,0,1,100,,-3.937,16.78,-2.449,,,0,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
original_interval,,scene,GM_RM019,16,5,8,8,0.5,79.987,,4.548,36.352,7.112,complete=6;edge=2,GM_RM019=8,4,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,5,scene,GM_RM019,16,5,2,14,0.125,10,0.875,4.548,36.352,7.112,complete=11;edge=2;ambiguous_or_review_only=1,GM_RM019=14,5,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,10,scene,GM_RM019,16,5,4,12,0.25,20,0.75,4.548,36.352,7.112,complete=10;edge=2,GM_RM019=12,4,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,15,scene,GM_RM019,16,5,4,12,0.25,30,0.6249,4.548,36.352,7.112,complete=10;edge=2,GM_RM019=12,4,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,20,scene,GM_RM019,16,5,4,12,0.25,40,0.4999,4.548,36.352,7.112,complete=10;edge=2,GM_RM019=12,4,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,25,scene,GM_RM019,16,5,4,12,0.25,50,0.3749,4.548,36.352,7.112,complete=10;edge=2,GM_RM019=12,4,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,30,scene,GM_RM019,16,5,4,12,0.25,60,0.2499,4.548,36.352,7.112,complete=10;edge=2,GM_RM019=12,4,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,35,scene,GM_RM019,16,5,6,10,0.375,70,0.1249,4.548,36.352,7.112,complete=9;edge=1,GM_RM019=10,4,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,40,scene,GM_RM019,16,5,10,6,0.625,80,0.0002,4.548,36.352,7.112,complete=6,GM_RM019=6,3,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,45,scene,GM_RM019,16,5,12,4,0.75,90,,4.548,36.352,7.112,complete=4,GM_RM019=4,3,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,50,scene,GM_RM019,16,5,13,3,0.8125,100,,4.548,36.352,7.112,complete=3,GM_RM019=3,2,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
original_interval,,context,ambiguous_or_review_only,37,2,37,0,1,85.989,,4.292,8.907,3.159,,,0,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,5,context,ambiguous_or_review_only,37,2,11,26,0.2973,10,0.8837,4.292,8.907,3.159,ambiguous_or_review_only=26,GM_RM017=25;GM_RM019=1,2,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,10,context,ambiguous_or_review_only,37,2,21,16,0.5676,20,0.7674,4.292,8.907,3.159,ambiguous_or_review_only=16,GM_RM017=16,1,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,15,context,ambiguous_or_review_only,37,2,28,9,0.7568,30,0.6511,4.292,8.907,3.159,ambiguous_or_review_only=9,GM_RM017=9,1,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,20,context,ambiguous_or_review_only,37,2,32,5,0.8649,40,0.5348,4.292,8.907,3.159,ambiguous_or_review_only=5,GM_RM017=5,1,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,25,context,ambiguous_or_review_only,37,2,36,1,0.973,50,0.4185,4.292,8.907,3.159,ambiguous_or_review_only=1,GM_RM017=1,1,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,30,context,ambiguous_or_review_only,37,2,36,1,0.973,60,0.3022,4.292,8.907,3.159,ambiguous_or_review_only=1,GM_RM017=1,1,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,35,context,ambiguous_or_review_only,37,2,37,0,1,70,0.1859,4.292,8.907,3.159,,,0,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,40,context,ambiguous_or_review_only,37,2,37,0,1,80,0.0696,4.292,8.907,3.159,,,0,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,45,context,ambiguous_or_review_only,37,2,37,0,1,90,,4.292,8.907,3.159,,,0,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,50,context,ambiguous_or_review_only,37,2,37,0,1,100,,4.292,8.907,3.159,,,0,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
original_interval,,context,complete,103,6,95,8,0.9223,79.999,,-1.482,11.808,0.999,complete=8,GM_RM019=6;GM_RM017=2,4,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,5,context,complete,103,6,23,80,0.2233,10,0.875,-1.482,11.808,0.999,complete=80,GM_RM017=69;GM_RM019=11,6,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,10,context,complete,103,6,43,60,0.4175,20,0.75,-1.482,11.808,0.999,complete=60,GM_RM017=50;GM_RM019=10,5,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,15,context,complete,103,6,61,42,0.5922,30,0.625,-1.482,11.808,0.999,complete=42,GM_RM017=32;GM_RM019=10,5,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,20,context,complete,103,6,75,28,0.7282,40,0.5,-1.482,11.808,0.999,complete=28,GM_RM017=18;GM_RM019=10,5,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,25,context,complete,103,6,83,20,0.8058,50,0.375,-1.482,11.808,0.999,complete=20,GM_RM017=10;GM_RM019=10,5,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,30,context,complete,103,6,91,12,0.8835,60,0.25,-1.482,11.808,0.999,complete=12,GM_RM019=10;GM_RM017=2,4,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,35,context,complete,103,6,93,10,0.9029,70,0.125,-1.482,11.808,0.999,complete=10,GM_RM019=9;GM_RM017=1,4,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,40,context,complete,103,6,97,6,0.9417,80,0.0002,-1.482,11.808,0.999,complete=6,GM_RM019=6,3,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,45,context,complete,103,6,99,4,0.9612,90,,-1.482,11.808,0.999,complete=4,GM_RM019=4,3,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,50,context,complete,103,6,100,3,0.9709,100,,-1.482,11.808,0.999,complete=3,GM_RM019=3,2,no_large_median_signed_bias,coverage-vs-margin audit only; no runtime margin threshold selected
original_interval,,context,duplicate_or_handoff,17,3,17,0,1,79.999,,-21.67,22.385,-8.818,,,0,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,5,context,duplicate_or_handoff,17,3,0,17,,10,0.875,-21.67,22.385,-8.818,duplicate_or_handoff=17,GM_RM017=17,3,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,10,context,duplicate_or_handoff,17,3,2,15,0.1176,20,0.75,-21.67,22.385,-8.818,duplicate_or_handoff=15,GM_RM017=15,3,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,15,context,duplicate_or_handoff,17,3,2,15,0.1176,30,0.625,-21.67,22.385,-8.818,duplicate_or_handoff=15,GM_RM017=15,3,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,20,context,duplicate_or_handoff,17,3,6,11,0.3529,40,0.5,-21.67,22.385,-8.818,duplicate_or_handoff=11,GM_RM017=11,3,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,25,context,duplicate_or_handoff,17,3,13,4,0.7647,50,0.375,-21.67,22.385,-8.818,duplicate_or_handoff=4,GM_RM017=4,2,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,30,context,duplicate_or_handoff,17,3,14,3,0.8235,60,0.25,-21.67,22.385,-8.818,duplicate_or_handoff=3,GM_RM017=3,1,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,35,context,duplicate_or_handoff,17,3,17,0,1,70,0.125,-21.67,22.385,-8.818,,,0,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,40,context,duplicate_or_handoff,17,3,17,0,1,80,0.0696,-21.67,22.385,-8.818,,,0,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,45,context,duplicate_or_handoff,17,3,17,0,1,90,,-21.67,22.385,-8.818,,,0,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,50,context,duplicate_or_handoff,17,3,17,0,1,100,,-21.67,22.385,-8.818,,,0,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
original_interval,,context,edge,58,4,56,2,0.9655,80.013,,-24.561,29.542,-7.749,edge=2,GM_RM019=2,1,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,5,context,edge,58,4,0,58,,10,0.875,-24.561,29.542,-7.749,edge=58,GM_RM017=56;GM_RM019=2,4,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,10,context,edge,58,4,0,58,,20,0.75,-24.561,29.542,-7.749,edge=58,GM_RM017=56;GM_RM019=2,4,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,15,context,edge,58,4,0,58,,30,0.6251,-24.561,29.542,-7.749,edge=58,GM_RM017=56;GM_RM019=2,4,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,20,context,edge,58,4,5,53,0.0862,40,0.5001,-24.561,29.542,-7.749,edge=53,GM_RM017=51;GM_RM019=2,4,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,25,context,edge,58,4,13,45,0.2241,50,0.3751,-24.561,29.542,-7.749,edge=45,GM_RM017=43;GM_RM019=2,4,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,30,context,edge,58,4,30,28,0.5172,60,0.2501,-24.561,29.542,-7.749,edge=28,GM_RM017=26;GM_RM019=2,4,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,35,context,edge,58,4,49,9,0.8448,70,0.1251,-24.561,29.542,-7.749,edge=9,GM_RM017=8;GM_RM019=1,2,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,40,context,edge,58,4,57,1,0.9828,80,0.0696,-24.561,29.542,-7.749,edge=1,GM_RM017=1,1,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,45,context,edge,58,4,58,0,1,90,,-24.561,29.542,-7.749,,,0,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,50,context,edge,58,4,58,0,1,100,,-24.561,29.542,-7.749,,,0,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
original_interval,,vehicle_research_eligibility,blocked_vehicle_or_noise,1,1,0,1,,,,,,,complete=1,GM_RM019=1,1,no_error_measure,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,5,vehicle_research_eligibility,blocked_vehicle_or_noise,1,1,0,1,,10,,,,,complete=1,GM_RM019=1,1,no_error_measure,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,10,vehicle_research_eligibility,blocked_vehicle_or_noise,1,1,0,1,,20,,,,,complete=1,GM_RM019=1,1,no_error_measure,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,15,vehicle_research_eligibility,blocked_vehicle_or_noise,1,1,0,1,,30,,,,,complete=1,GM_RM019=1,1,no_error_measure,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,20,vehicle_research_eligibility,blocked_vehicle_or_noise,1,1,0,1,,40,,,,,complete=1,GM_RM019=1,1,no_error_measure,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,25,vehicle_research_eligibility,blocked_vehicle_or_noise,1,1,0,1,,50,,,,,complete=1,GM_RM019=1,1,no_error_measure,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,30,vehicle_research_eligibility,blocked_vehicle_or_noise,1,1,0,1,,60,,,,,complete=1,GM_RM019=1,1,no_error_measure,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,35,vehicle_research_eligibility,blocked_vehicle_or_noise,1,1,0,1,,70,,,,,complete=1,GM_RM019=1,1,no_error_measure,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,40,vehicle_research_eligibility,blocked_vehicle_or_noise,1,1,0,1,,80,,,,,complete=1,GM_RM019=1,1,no_error_measure,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,45,vehicle_research_eligibility,blocked_vehicle_or_noise,1,1,0,1,,90,,,,,complete=1,GM_RM019=1,1,no_error_measure,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,50,vehicle_research_eligibility,blocked_vehicle_or_noise,1,1,0,1,,100,,,,,complete=1,GM_RM019=1,1,no_error_measure,coverage-vs-margin audit only; no runtime margin threshold selected
original_interval,,vehicle_research_eligibility,review_only_vehicle,64,2,64,0,1,85.989,,9.837,16.763,10.075,,,0,positive_signed_bias_gt_right_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,5,vehicle_research_eligibility,review_only_vehicle,64,2,11,53,0.1719,10,0.8837,9.837,16.763,10.075,ambiguous_or_review_only=26;edge=23;duplicate_or_handoff=4,GM_RM017=52;GM_RM019=1,2,positive_signed_bias_gt_right_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,10,vehicle_research_eligibility,review_only_vehicle,64,2,21,43,0.3281,20,0.7674,9.837,16.763,10.075,edge=23;ambiguous_or_review_only=16;duplicate_or_handoff=4,GM_RM017=43,1,positive_signed_bias_gt_right_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,15,vehicle_research_eligibility,review_only_vehicle,64,2,28,36,0.4375,30,0.6511,9.837,16.763,10.075,edge=23;ambiguous_or_review_only=9;duplicate_or_handoff=4,GM_RM017=36,1,positive_signed_bias_gt_right_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,20,vehicle_research_eligibility,review_only_vehicle,64,2,36,28,0.5625,40,0.5348,9.837,16.763,10.075,edge=21;ambiguous_or_review_only=5;duplicate_or_handoff=2,GM_RM017=28,1,positive_signed_bias_gt_right_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,25,vehicle_research_eligibility,review_only_vehicle,64,2,44,20,0.6875,50,0.4185,9.837,16.763,10.075,edge=18;ambiguous_or_review_only=1;duplicate_or_handoff=1,GM_RM017=20,1,positive_signed_bias_gt_right_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,30,vehicle_research_eligibility,review_only_vehicle,64,2,50,14,0.7812,60,0.3022,9.837,16.763,10.075,edge=13;ambiguous_or_review_only=1,GM_RM017=14,1,positive_signed_bias_gt_right_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,35,vehicle_research_eligibility,review_only_vehicle,64,2,56,8,0.875,70,0.1859,9.837,16.763,10.075,edge=8,GM_RM017=8,1,positive_signed_bias_gt_right_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,40,vehicle_research_eligibility,review_only_vehicle,64,2,63,1,0.9844,80,0.0696,9.837,16.763,10.075,edge=1,GM_RM017=1,1,positive_signed_bias_gt_right_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,45,vehicle_research_eligibility,review_only_vehicle,64,2,64,0,1,90,,9.837,16.763,10.075,,,0,positive_signed_bias_gt_right_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,50,vehicle_research_eligibility,review_only_vehicle,64,2,64,0,1,100,,9.837,16.763,10.075,,,0,positive_signed_bias_gt_right_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
original_interval,,vehicle_research_eligibility,weak_vehicle_layer,150,6,141,9,0.94,79.999,,-10.009,17.899,-6.836,complete=7;edge=2,GM_RM019=7;GM_RM017=2,4,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,5,vehicle_research_eligibility,weak_vehicle_layer,150,6,23,127,0.1533,10,0.875,-10.009,17.899,-6.836,complete=79;edge=35;duplicate_or_handoff=13,GM_RM017=115;GM_RM019=12,6,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,10,vehicle_research_eligibility,weak_vehicle_layer,150,6,45,105,0.3,20,0.75,-10.009,17.899,-6.836,complete=59;edge=35;duplicate_or_handoff=11,GM_RM017=94;GM_RM019=11,5,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,15,vehicle_research_eligibility,weak_vehicle_layer,150,6,63,87,0.42,30,0.625,-10.009,17.899,-6.836,complete=41;edge=35;duplicate_or_handoff=11,GM_RM017=76;GM_RM019=11,5,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,20,vehicle_research_eligibility,weak_vehicle_layer,150,6,82,68,0.5467,40,0.5,-10.009,17.899,-6.836,edge=32;complete=27;duplicate_or_handoff=9,GM_RM017=57;GM_RM019=11,5,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,25,vehicle_research_eligibility,weak_vehicle_layer,150,6,101,49,0.6733,50,0.375,-10.009,17.899,-6.836,edge=27;complete=19;duplicate_or_handoff=3,GM_RM017=38;GM_RM019=11,5,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,30,vehicle_research_eligibility,weak_vehicle_layer,150,6,121,29,0.8067,60,0.25,-10.009,17.899,-6.836,edge=15;complete=11;duplicate_or_handoff=3,GM_RM017=18;GM_RM019=11,5,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,35,vehicle_research_eligibility,weak_vehicle_layer,150,6,140,10,0.9333,70,0.125,-10.009,17.899,-6.836,complete=9;edge=1,GM_RM019=9;GM_RM017=1,4,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,40,vehicle_research_eligibility,weak_vehicle_layer,150,6,145,5,0.9667,80,0.0002,-10.009,17.899,-6.836,complete=5,GM_RM019=5,2,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,45,vehicle_research_eligibility,weak_vehicle_layer,150,6,147,3,0.98,90,,-10.009,17.899,-6.836,complete=3,GM_RM019=3,2,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
centered_fixed_margin,50,vehicle_research_eligibility,weak_vehicle_layer,150,6,148,2,0.9867,100,,-10.009,17.899,-6.836,complete=2,GM_RM019=2,1,negative_signed_bias_gt_left_of_prior_center,coverage-vs-margin audit only; no runtime margin threshold selected
