case_id,scene,sar_frame,optical_state,support_failure_type,azimuth_alignment_status,range_alignment_status,gt_area_coverage_ratio,gt_energy_coverage_ratio,morphology_coverage_proxy,main_energy_strip_relative_to_support,neighbor_or_background_interference,human_review_note,recommended_next_action,not_allowed_conclusion
PAIR_GM_RM017_o169_s353_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,353,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,0.9953,0.9965,1,main_energy_strip_inside_support_proxy;gt_dominant=lower_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",preserve as posthoc morphology support; keep association layer separate,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
PAIR_GM_RM017_o171_s356_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,356,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,0.9992,0.9994,1,main_energy_strip_inside_support_proxy;gt_dominant=upper_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",preserve as posthoc morphology support; keep association layer separate,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
PAIR_GM_RM017_o171_s357_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,357,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,1,1,1,main_energy_strip_inside_support_proxy;gt_dominant=lower_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",preserve as posthoc morphology support; keep association layer separate,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
PAIR_GM_RM017_o172_s358_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,358,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,1,1,1,main_energy_strip_inside_support_proxy;gt_dominant=upper_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",preserve as posthoc morphology support; keep association layer separate,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
PAIR_GM_RM017_o172_s359_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,359,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,1,1,1,main_energy_strip_inside_support_proxy;gt_dominant=lower_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",preserve as posthoc morphology support; keep association layer separate,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
PAIR_GM_RM017_o173_s360_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,360,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,1,1,1,main_energy_strip_inside_support_proxy;gt_dominant=upper_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",manual review or phase recap; no final annotation,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
PAIR_GM_RM017_o173_s361_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,361,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,0.9826,0.9853,0.998,main_energy_strip_inside_support_proxy;gt_dominant=lower_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",preserve as posthoc morphology support; keep association layer separate,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
PAIR_GM_RM017_o174_s362_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,362,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,1,1,1,main_energy_strip_inside_support_proxy;gt_dominant=upper_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",preserve as posthoc morphology support; keep association layer separate,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
PAIR_GM_RM017_o174_s363_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,363,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,0.965,0.9707,0.9985,main_energy_strip_inside_support_proxy;gt_dominant=lower_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",preserve as posthoc morphology support; keep association layer separate,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
PAIR_GM_RM017_o175_s364_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,364,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,0.9897,0.9915,1,main_energy_strip_inside_support_proxy;gt_dominant=lower_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",preserve as posthoc morphology support; keep association layer separate,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
PAIR_GM_RM017_o175_s365_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,365,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,1,1,1,main_energy_strip_inside_support_proxy;gt_dominant=upper_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",preserve as posthoc morphology support; keep association layer separate,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
PAIR_GM_RM017_o176_s366_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,366,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,0.9655,0.9682,0.9862,main_energy_strip_inside_support_proxy;gt_dominant=lower_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",preserve as posthoc morphology support; keep association layer separate,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
PAIR_GM_RM017_o176_s367_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,367,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,0.9881,0.9879,0.9973,main_energy_strip_inside_support_proxy;gt_dominant=upper_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",preserve as posthoc morphology support; keep association layer separate,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
PAIR_GM_RM017_o177_s368_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,368,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,0.9881,0.9886,0.9963,main_energy_strip_inside_support_proxy;gt_dominant=lower_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",preserve as posthoc morphology support; keep association layer separate,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
PAIR_GM_RM017_o177_s369_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,369,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,1,1,1,main_energy_strip_inside_support_proxy;gt_dominant=upper_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",preserve as posthoc morphology support; keep association layer separate,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
PAIR_GM_RM017_o178_s370_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,370,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,0.9985,0.9984,0.9994,main_energy_strip_inside_support_proxy;gt_dominant=lower_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",preserve as posthoc morphology support; keep association layer separate,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
PAIR_GM_RM017_o178_s371_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,371,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,1,1,1,main_energy_strip_inside_support_proxy;gt_dominant=upper_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",preserve as posthoc morphology support; keep association layer separate,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
PAIR_GM_RM017_o179_s372_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,372,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,0.9866,0.9877,1,main_energy_strip_inside_support_proxy;gt_dominant=lower_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",preserve as posthoc morphology support; keep association layer separate,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
PAIR_GM_RM017_o179_s373_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,373,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_contains_neighbor_structure;support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,0.9746,0.9766,0.9889,main_energy_strip_inside_support_proxy;gt_dominant=upper_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",manual association review with support-wide atlas and temporal context,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
PAIR_GM_RM017_o180_s374_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,374,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,0.9878,0.9885,0.9964,main_energy_strip_inside_support_proxy;gt_dominant=lower_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",preserve as posthoc morphology support; keep association layer separate,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
PAIR_GM_RM017_o180_s375_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,375,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_contains_neighbor_structure;support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,0.9912,0.9909,0.9923,main_energy_strip_inside_support_proxy;gt_dominant=upper_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",manual association review with support-wide atlas and temporal context,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
PAIR_GM_RM017_o180_s376_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,376,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_contains_neighbor_structure;support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,0.995,0.9956,0.9989,main_energy_strip_inside_support_proxy;gt_dominant=lower_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",manual association review with support-wide atlas and temporal context,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
PAIR_GM_RM017_o181_s377_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,377,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_contains_neighbor_structure;support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,0.9608,0.9612,0.9808,main_energy_strip_inside_support_proxy;gt_dominant=upper_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",manual association review with support-wide atlas and temporal context,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
PAIR_GM_RM017_o181_s378_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,378,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_contains_neighbor_structure;support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,0.9968,0.9967,0.9982,main_energy_strip_inside_support_proxy;gt_dominant=lower_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",manual association review with support-wide atlas and temporal context,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
PAIR_GM_RM017_o182_s379_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,379,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_contains_neighbor_structure;support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,0.977,0.9765,0.9879,main_energy_strip_inside_support_proxy;gt_dominant=upper_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",manual association review with support-wide atlas and temporal context,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
PAIR_GM_RM017_o182_s380_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,380,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_contains_neighbor_structure;support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,0.9971,0.9966,0.9945,main_energy_strip_inside_support_proxy;gt_dominant=lower_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",manual association review with support-wide atlas and temporal context,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
PAIR_GM_RM017_o184_s383_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,383,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated;state_condition=complete;visibility=visible_main_observation;uncertainty=low_uncertainty;partial=none;boundary=none;multi=single_observation;edge=true;partial=true;duplicate_handoff=true;ambiguity=ambiguous_or_review_required,support_contains_neighbor_structure;support_ok_but_not_exclusive,aligned_posthoc,aligned_posthoc,0.9623,0.9657,0.992,main_energy_strip_inside_support_proxy;gt_dominant=upper_side_strip_image_axis_proxy,yes,"support coverage, SAR morphology strength, and optical-SAR association remain separate review layers",manual association review with support-wide atlas and temporal context,not final annotation; not selector success; not identity truth; not GT-guided prediction logic
