gt_id,scene,sar_frame,pool_type,gt_box_available,image_available,gt_x,gt_y,gt_w,gt_h,gt_area_px,gt_aspect_ratio,gt_long_axis_px,gt_short_axis_px,gt_orientation_proxy,near_image_boundary,valid_for_scale_reference,scale_outlier_flag,scale_outlier_reason,notes
22,GM_RM011,13,gm011_waiting_object_stream,yes,yes,1151.642,1241.802,127.942,68.44,8756.35,1.8694,127.942,68.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=49.408
23,GM_RM011,13,gm011_waiting_object_stream,yes,yes,1152.377,1246.565,135.333,64.847,8775.939,2.087,135.333,64.847,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=41.651
24,GM_RM011,14,gm011_waiting_object_stream,yes,yes,1151.642,1247.802,127.942,63.44,8116.64,2.0167,127.942,63.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=41.871
25,GM_RM011,14,gm011_waiting_object_stream,yes,yes,1152.377,1247.565,135.333,64.847,8775.939,2.087,135.333,64.847,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=40.651
26,GM_RM011,15,gm011_waiting_object_stream,yes,yes,1151.642,1247.802,127.942,63.44,8116.64,2.0167,127.942,63.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=41.871
27,GM_RM011,15,gm011_waiting_object_stream,yes,yes,1152.377,1247.565,135.333,64.847,8775.939,2.087,135.333,64.847,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=40.651
28,GM_RM011,16,gm011_waiting_object_stream,yes,yes,1155.642,1249.802,127.942,63.44,8116.64,2.0167,127.942,63.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=41.851
29,GM_RM011,16,gm011_waiting_object_stream,yes,yes,1155.377,1248.565,135.333,64.847,8775.939,2.087,135.333,64.847,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=41.754
30,GM_RM011,17,gm011_waiting_object_stream,yes,yes,1154.28,1243.984,130.16,67.327,8763.282,1.9333,130.16,67.327,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=47.623
31,GM_RM011,17,gm011_waiting_object_stream,yes,yes,1156.642,1249.802,127.942,63.44,8116.64,2.0167,127.942,63.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=41.851
32,GM_RM011,17,gm011_waiting_object_stream,yes,yes,1156.377,1248.565,135.333,64.847,8775.939,2.087,135.333,64.847,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=41.754
33,GM_RM011,18,gm011_waiting_object_stream,yes,yes,1163.642,1248.802,129.942,65.44,8503.404,1.9857,129.942,65.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=45.866
34,GM_RM011,18,gm011_waiting_object_stream,yes,yes,1166.377,1248.565,135.333,64.847,8775.939,2.087,135.333,64.847,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=45.007
35,GM_RM011,19,gm011_waiting_object_stream,yes,yes,1161.08,1251.033,132.08,66.6,8796.528,1.9832,132.08,66.6,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=38.705
36,GM_RM011,19,gm011_waiting_object_stream,yes,yes,1166.642,1249.802,129.942,65.44,8503.404,1.9857,129.942,65.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=45.94
37,GM_RM011,19,gm011_waiting_object_stream,yes,yes,1166.377,1249.565,135.333,64.847,8775.939,2.087,135.333,64.847,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=44.007
38,GM_RM011,20,gm011_waiting_object_stream,yes,yes,1167.642,1249.802,129.942,65.44,8503.404,1.9857,129.942,65.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=45.94
39,GM_RM011,20,gm011_waiting_object_stream,yes,yes,1166.377,1249.565,135.333,64.847,8775.939,2.087,135.333,64.847,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=44.007
40,GM_RM011,21,gm011_waiting_object_stream,yes,yes,1172.653,1248.18,131.08,70.52,9243.762,1.8588,131.08,70.52,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=42.836
41,GM_RM011,21,gm011_waiting_object_stream,yes,yes,1169.642,1249.802,129.942,65.44,8503.404,1.9857,129.942,65.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=45.94
42,GM_RM011,21,gm011_waiting_object_stream,yes,yes,1167.377,1249.565,135.333,64.847,8775.939,2.087,135.333,64.847,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=44.007
43,GM_RM011,22,gm011_waiting_object_stream,yes,yes,1170.642,1249.802,129.942,65.44,8503.404,1.9857,129.942,65.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=45.94
44,GM_RM011,22,gm011_waiting_object_stream,yes,yes,1168.377,1250.565,135.333,64.847,8775.939,2.087,135.333,64.847,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=43.007
45,GM_RM011,23,gm011_waiting_object_stream,yes,yes,1166.638,1250.461,128.305,64.429,8266.563,1.9914,128.305,64.429,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=43.746
46,GM_RM011,23,gm011_waiting_object_stream,yes,yes,1168.642,1248.802,129.942,65.44,8503.404,1.9857,129.942,65.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=46.94
47,GM_RM011,23,gm011_waiting_object_stream,yes,yes,1168.377,1250.565,135.333,64.847,8775.939,2.087,135.333,64.847,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=43.007
48,GM_RM011,24,gm011_waiting_object_stream,yes,yes,1169.642,1249.802,129.942,65.44,8503.404,1.9857,129.942,65.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=45.94
49,GM_RM011,24,gm011_waiting_object_stream,yes,yes,1168.377,1250.565,135.333,64.847,8775.939,2.087,135.333,64.847,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=43.007
50,GM_RM011,25,gm011_waiting_object_stream,yes,yes,1171.453,1248.933,128.187,67.6,8665.441,1.8963,128.187,67.6,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=43.708
51,GM_RM011,25,gm011_waiting_object_stream,yes,yes,1169.642,1249.802,129.942,65.44,8503.404,1.9857,129.942,65.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=45.94
52,GM_RM011,25,gm011_waiting_object_stream,yes,yes,1168.377,1249.565,135.333,64.847,8775.939,2.087,135.333,64.847,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=44.007
53,GM_RM011,26,gm011_waiting_object_stream,yes,yes,1168.642,1249.802,129.942,65.44,8503.404,1.9857,129.942,65.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=45.94
54,GM_RM011,26,gm011_waiting_object_stream,yes,yes,1168.377,1249.565,131.333,62.847,8253.885,2.0897,131.333,62.847,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=43.126
55,GM_RM011,27,gm011_waiting_object_stream,yes,yes,1169.587,1249.204,128.8,68.027,8761.878,1.8934,128.8,68.027,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=40.116
56,GM_RM011,27,gm011_waiting_object_stream,yes,yes,1169.642,1248.802,127.942,63.44,8116.64,2.0167,127.942,63.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=42.851
57,GM_RM011,28,gm011_waiting_object_stream,yes,yes,1172.642,1248.802,127.942,63.44,8116.64,2.0167,127.942,63.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=39.901
58,GM_RM011,29,gm011_waiting_object_stream,yes,yes,1173.427,1248.238,132.72,65.339,8671.792,2.0313,132.72,65.339,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=39.002
59,GM_RM011,29,gm011_waiting_object_stream,yes,yes,1171.642,1248.802,127.942,63.44,8116.64,2.0167,127.942,63.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=39.901
60,GM_RM011,30,gm011_waiting_object_stream,yes,yes,1170.642,1247.802,127.942,63.44,8116.64,2.0167,127.942,63.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=40.901
61,GM_RM011,31,gm011_waiting_object_stream,yes,yes,1174.373,1246.718,131.133,64.96,8518.4,2.0187,131.133,64.96,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=33.462
62,GM_RM011,31,gm011_waiting_object_stream,yes,yes,1171.642,1248.802,127.942,63.44,8116.64,2.0167,127.942,63.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=38.944
63,GM_RM011,32,gm011_waiting_object_stream,yes,yes,1172.642,1248.802,127.942,63.44,8116.64,2.0167,127.942,63.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=38.002
64,GM_RM011,33,gm011_waiting_object_stream,yes,yes,1175.642,1246.802,127.942,63.44,8116.64,2.0167,127.942,63.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=37.262
65,GM_RM011,34,gm011_waiting_object_stream,yes,yes,1177.642,1246.802,127.942,63.44,8116.64,2.0167,127.942,63.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=36.379
66,GM_RM011,35,gm011_waiting_object_stream,yes,yes,1184.12,1249.6,133.387,64.693,8629.205,2.0618,133.387,64.693,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=31.194
67,GM_RM011,35,gm011_waiting_object_stream,yes,yes,1185.642,1247.802,127.942,63.44,8116.64,2.0167,127.942,63.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=32.004
68,GM_RM011,36,gm011_waiting_object_stream,yes,yes,1188.642,1250.802,127.942,63.44,8116.64,2.0167,127.942,63.44,horizontal_like,no,no,too_small,GT scale is in the lower tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=29.004
69,GM_RM011,58,gm011_waiting_object_stream,yes,yes,1239.446,1244.423,135.175,70.26,9497.396,1.9239,135.175,70.26,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=47.575
70,GM_RM011,58,gm011_waiting_object_stream,yes,yes,1094.639,1202.166,70.306,166.516,11707.074,2.3684,166.516,70.306,vertical_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=41.691
71,GM_RM011,73,gm011_waiting_object_stream,yes,yes,1119.998,1202.761,69.777,169.918,11856.368,2.4352,169.918,69.777,vertical_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=39.402
72,GM_RM011,244,gm011_waiting_object_stream,yes,yes,1192.864,1203.363,66.357,153.26,10169.874,2.3096,153.26,66.357,vertical_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=52.896
73,GM_RM011,244,gm011_waiting_object_stream,yes,yes,1116.657,1204.626,78.629,154.917,12180.969,1.9702,154.917,78.629,vertical_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=51.916
74,GM_RM011,244,gm011_waiting_object_stream,yes,yes,1047.428,1208.114,75.056,136.592,10252.049,1.8199,136.592,75.056,vertical_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=56.945
75,GM_RM011,256,gm011_waiting_object_stream,yes,yes,1082.75,1207.353,71.353,141.553,10100.231,1.9838,141.553,71.353,vertical_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=53.554
76,GM_RM011,256,gm011_waiting_object_stream,yes,yes,1243.706,1203.471,85.622,150.934,12923.271,1.7628,150.934,85.622,vertical_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=53.614
77,GM_RM011,256,gm011_waiting_object_stream,yes,yes,1154.785,1204.146,81.577,147.347,12020.126,1.8062,147.347,81.577,vertical_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=55.48
78,GM_RM011,260,gm011_waiting_object_stream,yes,yes,1249.237,1199.025,78.323,158.45,12410.279,2.023,158.45,78.323,vertical_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=54.432
79,GM_RM011,260,gm011_waiting_object_stream,yes,yes,1096.767,1203.193,73.377,169.694,12451.637,2.3126,169.694,73.377,vertical_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=44.156
80,GM_RM011,260,gm011_waiting_object_stream,yes,yes,1168.09,1201.186,79.736,166.407,13268.629,2.087,166.407,79.736,vertical_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=48.27
81,GM_RM011,281,gm011_waiting_object_stream,yes,yes,1086.4,1174.925,71.708,157.33,11281.82,2.194,157.33,71.708,vertical_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=79.796
82,GM_RM011,281,gm011_waiting_object_stream,yes,yes,1159.97,1194.189,77.542,168.352,13054.351,2.1711,168.352,77.542,vertical_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=55.635
83,GM_RM011,281,gm011_waiting_object_stream,yes,yes,1232.584,1192.937,75.872,164.112,12451.506,2.163,164.112,75.872,vertical_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=57.733
84,GM_RM011,315,gm011_waiting_object_stream,yes,yes,1267.66,1209.04,70.111,142.84,10014.655,2.0373,142.84,70.111,vertical_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=48.935
85,GM_RM011,315,gm011_waiting_object_stream,yes,yes,1196.194,1196.731,73.9,163.084,12051.908,2.2068,163.084,73.9,vertical_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=52.817
86,GM_RM011,335,gm011_waiting_object_stream,yes,yes,1254,1145.258,80.29,201.71,16195.296,2.5123,201.71,80.29,vertical_like,no,no,too_large,GT area is in the upper tail of the 442-row vehicle-scale distribution.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=84.772
87,GM_RM011,335,gm011_waiting_object_stream,yes,yes,1072.276,1251.935,139.765,65.852,9203.805,2.1224,139.765,65.852,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=46.72
88,GM_RM011,442,gm011_waiting_object_stream,yes,yes,1053.585,1245.63,142.279,74.9,10656.697,1.8996,142.279,74.9,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=49.684
89,GM_RM011,444,gm011_waiting_object_stream,yes,yes,1054.152,1250.383,151.303,67.833,10263.336,2.2305,151.303,67.833,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=45.788
90,GM_RM011,469,gm011_waiting_object_stream,yes,yes,1141.2,1257.08,130.72,75.92,9924.262,1.7218,130.72,75.92,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=35.591
91,GM_RM011,506,gm011_waiting_object_stream,yes,yes,1269.064,1259.405,149.711,72.746,10890.876,2.058,149.711,72.746,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=34.354
92,GM_RM011,506,gm011_waiting_object_stream,yes,yes,1058.974,1249.69,144.761,71.31,10322.907,2.03,144.761,71.31,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=47.397
93,GM_RM011,510,gm011_waiting_object_stream,yes,yes,1284.183,1249.09,151.244,75.987,11492.578,1.9904,151.244,75.987,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=44.3
94,GM_RM011,510,gm011_waiting_object_stream,yes,yes,1090.811,1251.093,137.811,70.63,9733.591,1.9512,137.811,70.63,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=45.209
95,GM_RM017,302,paired_215,yes,yes,870.138,1008.476,137.225,68.218,9361.215,2.0116,137.225,68.218,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=286.712
96,GM_RM017,302,sar_only,yes,yes,689.677,947.7,162.135,73.335,11890.17,2.2109,162.135,73.335,horizontal_like,no,yes,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=344.067
97,GM_RM017,310,dropout_special,yes,yes,756.11,941.093,151.235,69.393,10494.65,2.1794,151.235,69.393,horizontal_like,no,no,none,GT scale is inside the fixed diagnostic reference band.,Scale statistics are GT-anchored posthoc diagnostics. min_image_margin_px=353.02
