case_id,scene,object_hypothesis_id,sar_frame,window_size,frame_offsets_used,temporal_data_available,dominant_structure_persistence,hotspot_drift_available,hotspot_drift_direction,component_centroid_drift,ridge_or_strip_persistence,shell_structure_persistence,structure_changes_gradually,possible_vehicle_like_temporal_tube,possible_background_stable_structure,compatible_with_optical_tracklet_motion,main_temporal_failure_reason,notes
PAIR_GM_RM017_o166_s346_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,346,5,-2;-1;0;1;2,yes,1,yes,right,total=20.992;median_step=6.4844;max_step=7.249,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o166_s346_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,346,10,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,yes,right,total=65.423;median_step=7.236;max_step=9.335,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o167_s347_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,347,3,-1;0;1,yes,1,yes,right,total=8.311;median_step=4.4051;max_step=8.385,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o167_s347_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,347,5,-2;-1;0;1;2,yes,1,yes,right,total=20.42;median_step=6.0714;max_step=8.385,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o167_s347_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,347,10,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,yes,right,total=66.036;median_step=7.2313;max_step=9.424,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o167_s348_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,348,3,-1;0;1,yes,1,yes,right,total=14.226;median_step=7.1197;max_step=8.385,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o167_s348_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,348,5,-2;-1;0;1;2,yes,1,yes,right,total=23.555;median_step=7.1197;max_step=9.424,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o167_s348_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,348,10,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,yes,right,total=61.477;median_step=6.6036;max_step=9.424,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o168_s349_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,349,3,-1;0;1,yes,1,yes,right,total=15.89;median_step=7.954;max_step=10.222,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o168_s349_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,349,5,-2;-1;0;1;2,yes,1,yes,right,total=28.895;median_step=7.1194;max_step=10.222,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o168_s349_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,349,10,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,yes,right,total=58.38;median_step=6.1259;max_step=10.222,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o168_s350_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,350,3,-1;0;1,yes,1,yes,right,total=14.677;median_step=7.3385;max_step=10.222,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o168_s350_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,350,5,-2;-1;0;1;2,yes,1,yes,right,total=28.443;median_step=6.8957;max_step=10.222,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o168_s350_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,350,10,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,yes,right,total=51.842;median_step=5.0705;max_step=10.222,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o168_s351_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,351,3,-1;0;1,yes,1,yes,right,total=12.56;median_step=6.2802;max_step=8.105,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o168_s351_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,351,5,-2;-1;0;1;2,yes,1,yes,right,total=26.798;median_step=6.2802;max_step=10.222,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o168_s351_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,351,10,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,yes,right,total=48.272;median_step=4.2681;max_step=10.222,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o169_s352_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,352,3,-1;0;1,yes,1,yes,right,total=12.517;median_step=6.2781;max_step=8.488,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o169_s352_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,352,5,-2;-1;0;1;2,yes,1,yes,right,total=22.318;median_step=4.9758;max_step=8.488,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o169_s352_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,352,10,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,yes,right,total=57.183;median_step=4.9758;max_step=10.534,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o169_s353_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,353,3,-1;0;1,yes,1,yes,right,total=8.711;median_step=4.4474;max_step=4.826,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o169_s353_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,353,5,-2;-1;0;1;2,yes,1,yes,right,total=19.696;median_step=4.4474;max_step=8.488,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o169_s353_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,353,10,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,yes,right,total=53.093;median_step=4.4474;max_step=10.534,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o171_s356_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,356,3,-1;0;1,yes,1,yes,right,total=9.597;median_step=4.8529;max_step=5.588,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o171_s356_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,356,5,-2;-1;0;1;2,yes,1,yes,right,total=18.724;median_step=4.647;max_step=5.588,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o171_s356_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,356,10,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,yes,right,total=44.597;median_step=4.089;max_step=9.547,0.9091,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o171_s357_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,357,3,-1;0;1,yes,1,yes,right,total=10.716;median_step=5.3825;max_step=5.588,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o171_s357_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,357,5,-2;-1;0;1;2,yes,1,yes,right,total=16.487;median_step=4.647;max_step=5.588,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o171_s357_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,357,10,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,yes,right,total=36.807;median_step=4.038;max_step=5.588,0.9091,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o172_s358_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,358,3,-1;0;1,yes,1,yes,right,total=8.297;median_step=4.1511;max_step=6.042,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o172_s358_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,358,5,-2;-1;0;1;2,yes,1,yes,right,total=16.559;median_step=4.1719;max_step=6.042,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o172_s358_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,358,10,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,yes,right,total=42.255;median_step=4.7346;max_step=6.042,0.9091,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o172_s359_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,359,3,-1;0;1,yes,1,yes,right,total=5.409;median_step=2.718;max_step=3.176,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o172_s359_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,359,5,-2;-1;0;1;2,yes,1,yes,right,total=16.324;median_step=4.0257;max_step=6.042,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o172_s359_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,359,10,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,yes,right,total=42.877;median_step=4.7346;max_step=6.042,0.9091,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o173_s360_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,360,3,-1;0;1,yes,1,yes,right,total=8.413;median_step=4.2161;max_step=5.285,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o173_s360_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,360,5,-2;-1;0;1;2,yes,1,yes,right,total=15.287;median_step=3.5751;max_step=5.285,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o173_s360_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,360,10,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,yes,right,total=45.824;median_step=4.1677;max_step=6.86,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o173_s361_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,361,3,-1;0;1,yes,1,yes,right,total=9.285;median_step=4.6436;max_step=5.285,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o173_s361_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,361,5,-2;-1;0;1;2,yes,1,yes,right,total=19.275;median_step=4.6436;max_step=6.86,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o173_s361_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,361,10,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,yes,right,total=46.338;median_step=4.427;max_step=6.86,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o174_s362_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,362,3,-1;0;1,yes,1,yes,right,total=12.005;median_step=6.0029;max_step=7.873,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o174_s362_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,362,5,-2;-1;0;1;2,yes,1,yes,right,total=22.668;median_step=5.3627;max_step=7.873,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o174_s362_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,362,10,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,yes,right,total=50.491;median_step=5.1874;max_step=7.873,0.9091,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o174_s363_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,363,3,-1;0;1,yes,1,yes,right,total=13.264;median_step=6.6569;max_step=7.873,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o174_s363_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,363,5,-2;-1;0;1;2,yes,1,yes,right,total=22.441;median_step=5.2656;max_step=7.873,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o174_s363_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,363,10,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,yes,right,total=46.636;median_step=4.7843;max_step=7.873,0.9091,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o175_s364_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,364,3,-1;0;1,yes,1,yes,right,total=13.08;median_step=6.5684;max_step=7.022,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o175_s364_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,364,5,-2;-1;0;1;2,yes,1,yes,right,total=27.22;median_step=6.5937;max_step=8.014,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o175_s364_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,364,10,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,yes,right,total=49.336;median_step=5.3896;max_step=8.014,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o175_s365_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,365,3,-1;0;1,yes,1,yes,right,total=12.279;median_step=6.1403;max_step=6.166,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o175_s365_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,365,5,-2;-1;0;1;2,yes,1,yes,right,total=24.7;median_step=6.1403;max_step=7.022,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o175_s365_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,365,10,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,yes,right,total=49.762;median_step=5.4223;max_step=8.014,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o176_s366_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,366,3,-1;0;1,yes,1,yes,right,total=10.37;median_step=5.1919;max_step=6.615,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o176_s366_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,366,5,-2;-1;0;1;2,yes,1,yes,right,total=20.09;median_step=4.9259;max_step=6.615,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o176_s366_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,366,10,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,yes,right,total=50.61;median_step=3.8521;max_step=8.671,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o176_s367_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,367,3,-1;0;1,yes,1,yes,right,total=7.397;median_step=3.7096;max_step=3.769,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
PAIR_GM_RM017_o176_s367_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,367,5,-2;-1;0;1;2,yes,1,yes,right,total=17.571;median_step=3.7096;max_step=6.615,1,1,yes,yes,no,yes,support-wide structure persists and drifts gradually,Temporal support reuse is posthoc morphology drift diagnosis only; not an identity tube or final track.
