scene,object_hypothesis_id,row_scope,readiness_status,spatial_constraint_input_status,confidence_status,object_state_category,uses_primary_observations,uses_secondary_observations,optical_start_frame,optical_end_frame,optical_frame_count,sar_start_raw,sar_end_raw,sar_start_frame,sar_end_frame,sar_window_frame_count,optical_span_sar_frames,window_scene_fraction,padding_sar_frames,expected_padding_sar_frames,padding_policy_status,recomputed_sar_start_raw,recomputed_sar_end_raw,recomputed_sar_start_frame,recomputed_sar_end_frame,recomputed_sar_window_frame_count,formula_check_status,fps_ratio_check_status,width_constraint_status,narrowness_status,state_margin_status,blockers,quality_notes
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0009,object_temporal_window,not_ready_for_sar_temporal_window,blocked_not_ready_for_spatial_constraint,blocked_short_or_noise,short_noise_not_ready,false,true,1,14,14,,,,,,29.166667,,,,not_applicable_not_ready,2.083333,31.250000,,,,not_applicable_not_ready,not_applicable_not_ready,not_applicable_not_ready,not_applicable_not_ready,not_ready_no_window_margin,object_gate_exclude_from_oty2;short_or_noise_not_ready,short_or_noise_object_correctly_blocked
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0024,object_temporal_window,not_ready_for_sar_temporal_window,blocked_not_ready_for_spatial_constraint,blocked_short_or_noise,short_noise_not_ready,false,true,37,52,16,,,,,,33.333333,,,,not_applicable_not_ready,77.083333,110.416667,,,,not_applicable_not_ready,not_applicable_not_ready,not_applicable_not_ready,not_applicable_not_ready,not_ready_no_window_margin,object_gate_exclude_from_oty2;short_or_noise_not_ready,short_or_noise_object_correctly_blocked
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0029,object_temporal_window,not_ready_for_sar_temporal_window,blocked_not_ready_for_spatial_constraint,blocked_short_or_noise,short_noise_not_ready,false,true,37,93,57,,,,,,118.750000,,,,not_applicable_not_ready,77.083333,195.833333,,,,not_applicable_not_ready,not_applicable_not_ready,not_applicable_not_ready,not_applicable_not_ready,not_ready_no_window_margin,object_gate_exclude_from_oty2;short_or_noise_not_ready,short_or_noise_object_correctly_blocked
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0036,object_temporal_window,not_ready_for_sar_temporal_window,blocked_not_ready_for_spatial_constraint,blocked_short_or_noise,short_noise_not_ready,false,true,37,93,57,,,,,,118.750000,,,,not_applicable_not_ready,77.083333,195.833333,,,,not_applicable_not_ready,not_applicable_not_ready,not_applicable_not_ready,not_applicable_not_ready,not_ready_no_window_margin,object_gate_exclude_from_oty2;short_or_noise_not_ready,short_or_noise_object_correctly_blocked
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0042,object_temporal_window,ready_uncertainty_expanded_sar_temporal_window,eligible_uncertainty_expanded_spatial_constraint_input,software_sync_with_uncertainty_padding,secondary_edge_handoff_uncertainty,true,true,37,83,47,77.083333,175.000000,73,179,107,97.916667,0.1397,4,4,pass_expected_state_padding,77.083333,175.000000,73,179,107,pass_50_24_formula,pass_50_over_24_mapping,normal_temporal_constraint,not_too_narrow_formula_padding_ok,secondary_edge_handoff_expanded_margin,,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0053,object_temporal_window,low_confidence_sar_temporal_window,review_only_temporal_context_not_normal_spatial_input,software_sync_low_confidence_review_window,ambiguous_review_required,true,true,37,93,57,77.083333,195.833333,72,201,130,118.750000,0.1697,5,5,pass_expected_state_padding,77.083333,195.833333,72,201,130,pass_50_24_formula,pass_50_over_24_mapping,wide_but_bounded_review,not_too_narrow_formula_padding_ok,ambiguous_low_confidence_review_margin,,wide_but_still_bounded_by_scene_time
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0057,object_temporal_window,not_ready_for_sar_temporal_window,blocked_not_ready_for_spatial_constraint,blocked_short_or_noise,short_noise_not_ready,false,true,71,74,4,,,,,,8.333333,,,,not_applicable_not_ready,147.916667,156.250000,,,,not_applicable_not_ready,not_applicable_not_ready,not_applicable_not_ready,not_applicable_not_ready,not_ready_no_window_margin,object_gate_exclude_from_oty2;short_or_noise_not_ready,short_or_noise_object_correctly_blocked
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0067,object_temporal_window,not_ready_for_sar_temporal_window,blocked_not_ready_for_spatial_constraint,blocked_short_or_noise,short_noise_not_ready,false,true,43,86,44,,,,,,91.666667,,,,not_applicable_not_ready,89.583333,181.250000,,,,not_applicable_not_ready,not_applicable_not_ready,not_applicable_not_ready,not_applicable_not_ready,not_ready_no_window_margin,object_gate_exclude_from_oty2;short_or_noise_not_ready,short_or_noise_object_correctly_blocked
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0069,object_temporal_window,low_confidence_sar_temporal_window,review_only_temporal_context_not_normal_spatial_input,software_sync_low_confidence_review_window,ambiguous_review_required,true,true,37,100,64,77.083333,210.416667,72,216,145,133.333333,0.1893,5,5,pass_expected_state_padding,77.083333,210.416667,72,216,145,pass_50_24_formula,pass_50_over_24_mapping,wide_but_bounded_review,not_too_narrow_formula_padding_ok,ambiguous_low_confidence_review_margin,,wide_but_still_bounded_by_scene_time
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0070,object_temporal_window,not_ready_for_sar_temporal_window,blocked_not_ready_for_spatial_constraint,blocked_short_or_noise,short_noise_not_ready,false,true,43,87,45,,,,,,93.750000,,,,not_applicable_not_ready,89.583333,183.333333,,,,not_applicable_not_ready,not_applicable_not_ready,not_applicable_not_ready,not_applicable_not_ready,not_ready_no_window_margin,object_gate_exclude_from_oty2;short_or_noise_not_ready,short_or_noise_object_correctly_blocked
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0071,object_temporal_window,low_confidence_sar_temporal_window,review_only_temporal_context_not_normal_spatial_input,software_sync_low_confidence_review_window,ambiguous_review_required,true,true,86,93,8,179.166667,195.833333,174,201,28,16.666667,0.0366,5,5,pass_expected_state_padding,179.166667,195.833333,174,201,28,pass_50_24_formula,pass_50_over_24_mapping,compact_temporal_constraint,not_too_narrow_formula_padding_ok,ambiguous_low_confidence_review_margin,,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0073,object_temporal_window,not_ready_for_sar_temporal_window,blocked_not_ready_for_spatial_constraint,blocked_short_or_noise,short_noise_not_ready,false,true,43,100,58,,,,,,120.833333,,,,not_applicable_not_ready,89.583333,210.416667,,,,not_applicable_not_ready,not_applicable_not_ready,not_applicable_not_ready,not_applicable_not_ready,not_ready_no_window_margin,object_gate_exclude_from_oty2;short_or_noise_not_ready,short_or_noise_object_correctly_blocked
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,object_temporal_window,ready_uncertainty_expanded_sar_temporal_window,eligible_uncertainty_expanded_spatial_constraint_input,software_sync_with_uncertainty_padding,secondary_edge_handoff_uncertainty,true,true,98,140,43,204.166667,293.750000,200,298,99,89.583333,0.1292,4,4,pass_expected_state_padding,204.166667,293.750000,200,298,99,pass_50_24_formula,pass_50_over_24_mapping,normal_temporal_constraint,not_too_narrow_formula_padding_ok,secondary_edge_handoff_expanded_margin,,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0093,object_temporal_window,low_confidence_sar_temporal_window,review_only_temporal_context_not_normal_spatial_input,software_sync_low_confidence_review_window,ambiguous_review_required,true,false,97,141,45,202.083333,295.833333,197,301,105,93.750000,0.1371,5,5,pass_expected_state_padding,202.083333,295.833333,197,301,105,pass_50_24_formula,pass_50_over_24_mapping,normal_temporal_constraint,not_too_narrow_formula_padding_ok,ambiguous_low_confidence_review_margin,,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0094,object_temporal_window,ready_primary_sar_temporal_window,eligible_primary_spatial_constraint_input,software_sync_with_small_padding,stable_primary_continuity,true,false,138,143,6,287.500000,300.000000,284,303,20,12.500000,0.0261,3,3,pass_expected_state_padding,287.500000,300.000000,284,303,20,pass_50_24_formula,pass_50_over_24_mapping,compact_temporal_constraint,not_too_narrow_formula_padding_ok,stable_margin_base_rounding_sync_state,,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,object_temporal_window,ready_uncertainty_expanded_sar_temporal_window,eligible_uncertainty_expanded_spatial_constraint_input,software_sync_with_uncertainty_padding,secondary_edge_handoff_uncertainty,true,true,145,182,38,302.083333,381.250000,298,386,89,79.166667,0.1162,4,4,pass_expected_state_padding,302.083333,381.250000,298,386,89,pass_50_24_formula,pass_50_over_24_mapping,normal_temporal_constraint,not_too_narrow_formula_padding_ok,secondary_edge_handoff_expanded_margin,,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0111,object_temporal_window,not_ready_for_sar_temporal_window,blocked_not_ready_for_spatial_constraint,blocked_short_or_noise,short_noise_not_ready,false,true,166,169,4,,,,,,8.333333,,,,not_applicable_not_ready,345.833333,354.166667,,,,not_applicable_not_ready,not_applicable_not_ready,not_applicable_not_ready,not_applicable_not_ready,not_ready_no_window_margin,object_gate_exclude_from_oty2;short_or_noise_not_ready,short_or_noise_object_correctly_blocked
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0124,object_temporal_window,ready_primary_sar_temporal_window,eligible_primary_spatial_constraint_input,software_sync_with_small_padding,stable_primary_continuity,true,false,259,261,3,539.583333,545.833333,536,549,14,6.250000,0.0183,3,3,pass_expected_state_padding,539.583333,545.833333,536,549,14,pass_50_24_formula,pass_50_over_24_mapping,compact_temporal_constraint,not_too_narrow_formula_padding_ok,stable_margin_base_rounding_sync_state,,
