case_id,scene,object_hypothesis_id,sar_frame,frame_offsets_used,temporal_data_available,shell_available_in_frames,ridge_persistence,hotspot_persistence,shell_centroid_drift_px,shell_drift_direction,shell_orientation_change,structure_changes_gradually,non_jump_constraint_supported,background_stable_risk,compatible_with_optical_tracklet_motion,vehicle_like_temporal_drift_supported,notes
PAIR_GM_RM017_o162_s337_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,337,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,126.196,down,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o162_s337_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,337,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.9091,yes,17.877,right,unavailable,yes,yes,no,yes,yes,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o162_s338_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,338,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,57.317,left,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o162_s338_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,338,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,130.638,down,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o162_s338_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,338,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.9091,yes,29.955,right,unavailable,yes,yes,no,yes,yes,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o163_s339_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,339,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,60.283,left,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o163_s339_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,339,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,71.013,right,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o163_s339_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,339,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.9091,yes,36.235,right,unavailable,yes,yes,no,yes,yes,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o163_s340_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,340,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.9091,yes,61.465,left,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o163_s340_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,340,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,119.942,down,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o163_s340_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,340,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.9091,yes,12.469,right_down,unavailable,yes,yes,no,yes,yes,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o164_s341_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,341,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.8182,yes,69.757,left,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o164_s341_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,341,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,67.219,right,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o164_s341_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,341,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,28.745,right,unavailable,yes,yes,no,yes,yes,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o164_s342_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,342,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.8182,yes,76.176,left,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o164_s342_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,342,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,127.786,down,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o164_s342_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,342,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,24.161,right,unavailable,yes,yes,no,yes,yes,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,343,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.8182,yes,80.312,left,unavailable,yes,yes,no,yes,yes,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,343,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,60.928,right,unavailable,yes,yes,no,yes,yes,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o165_s343_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,343,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,24.565,right,unavailable,yes,yes,no,yes,yes,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o165_s344_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,344,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.8182,yes,14.277,left,unavailable,yes,yes,no,yes,yes,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o165_s344_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,344,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,61.923,right,unavailable,yes,yes,no,yes,yes,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o165_s344_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,344,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,20.483,right,unavailable,yes,yes,no,yes,yes,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o166_s345_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,345,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.8182,yes,19.381,left,unavailable,yes,yes,no,yes,yes,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o166_s345_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,345,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,67.973,right,unavailable,yes,yes,no,yes,yes,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o166_s345_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,345,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.8182,yes,25.386,right,unavailable,yes,yes,no,yes,yes,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o166_s346_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,346,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.8182,yes,102.983,left_up,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o166_s346_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,346,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,65.423,right,unavailable,yes,yes,no,yes,yes,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o166_s346_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,346,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.8182,yes,23.71,right,unavailable,yes,yes,no,yes,yes,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o167_s347_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,347,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.8182,yes,96.869,left_up,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o167_s347_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,347,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,66.036,right,unavailable,yes,yes,no,yes,yes,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o167_s347_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,347,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.8182,yes,23.656,right,unavailable,yes,yes,no,yes,yes,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o167_s348_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,348,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.8182,yes,98.63,left_up,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o167_s348_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,348,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,61.477,right,unavailable,yes,yes,no,yes,yes,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o167_s348_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,348,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.8182,yes,18.863,right,unavailable,yes,yes,no,yes,yes,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o168_s349_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,349,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.8182,yes,53.538,right,unavailable,no,no,no,uncertain,uncertain,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o168_s349_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,349,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,1,yes,58.38,right,unavailable,yes,yes,no,yes,yes,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
PAIR_GM_RM017_o168_s349_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,349,-5;-4;-3;-2;-1;0;1;2;3;4;5,yes,1,0.7273,yes,16.272,right,unavailable,yes,yes,no,yes,yes,"Existing probe provides -5..+5, not full -10/+10. Temporal drift is posthoc mechanism support, not identity truth."
