case_id,graph_variant,n_nodes,n_edges,n_connected_components,dominant_component_size,n_competing_components,graph_fragmentation_level,possible_vehicle_component_count,neighboring_object_confounder_signal,wrong_object_confounder_signal,wrong_frame_confounder_signal,human_review_needed,mechanism_interpretation
PAIR_GM_RM017_o179_s373_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o180_s374_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o180_s375_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o180_s376_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o181_s377_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o181_s378_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o182_s379_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o182_s380_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o184_s383_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o184_s384_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o186_s387_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o186_s388_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o187_s389_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o187_s390_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o188_s391_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o188_s392_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o189_s393_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o189_s394_oty1t_obj_GM_RM017_bytetrack_bt_0010,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o169_s352_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o169_s353_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o171_s356_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o171_s357_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o172_s358_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o172_s359_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o173_s360_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o173_s361_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o174_s362_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o174_s363_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o175_s364_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o175_s365_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o176_s366_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o176_s367_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o177_s368_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o177_s369_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o178_s370_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o178_s371_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o179_s372_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o179_s373_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o180_s374_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o180_s375_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o180_s376_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o181_s377_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o181_s378_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o182_s379_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o182_s380_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o183_s381_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o183_s382_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o184_s383_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o184_s384_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o185_s385_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o185_s386_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o186_s387_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o186_s388_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o187_s389_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o187_s390_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o188_s391_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o188_s392_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o189_s393_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o189_s394_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o206_s429_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o210_s438_oty1t_obj_GM_RM017_bytetrack_bt_0012,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM017_o184_s383_oty1t_obj_GM_RM017_bytetrack_bt_0014,primitive_proxy_graph_from_state_conditioned_support,2,1,1,2,0,low_single_component,1,not_established,unknown_or_low,unknown_or_low,no,"support resembles one dominant structure, but identity still needs temporal/object provenance"
PAIR_GM_RM017_o184_s384_oty1t_obj_GM_RM017_bytetrack_bt_0014,primitive_proxy_graph_from_state_conditioned_support,2,1,1,2,0,low_single_component,1,not_established,unknown_or_low,unknown_or_low,no,"support resembles one dominant structure, but identity still needs temporal/object provenance"
PAIR_GM_RM017_o212_s442_oty1t_obj_GM_RM017_bytetrack_bt_0014,primitive_proxy_graph_from_state_conditioned_support,6,4,2,5,1,medium_multi_component,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM019_o13_s27_oty1t_obj_GM_RM019_bytetrack_bt_0005,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM019_o15_s31_oty1t_obj_GM_RM019_bytetrack_bt_0005,primitive_proxy_graph_from_state_conditioned_support,8,3,5,4,4,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,unknown_or_low,yes,support is fragmented/diffuse and likely needs review or rejection
PAIR_GM_RM019_o37_s77_oty1t_obj_GM_RM019_bytetrack_bt_0005,primitive_proxy_graph_from_state_conditioned_support,8,3,5,4,4,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,unknown_or_low,yes,support is fragmented/diffuse and likely needs review or rejection
PAIR_GM_RM019_o39_s81_oty1t_obj_GM_RM019_bytetrack_bt_0005,primitive_proxy_graph_from_state_conditioned_support,8,3,5,4,4,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,unknown_or_low,yes,support is fragmented/diffuse and likely needs review or rejection
PAIR_GM_RM019_o13_s27_oty1t_obj_GM_RM019_bytetrack_bt_0009,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM019_o102_s212_oty1t_obj_GM_RM019_bytetrack_bt_0080,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM019_o114_s238_oty1t_obj_GM_RM019_bytetrack_bt_0080,primitive_proxy_graph_from_state_conditioned_support,8,3,5,4,4,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,unknown_or_low,yes,support is fragmented/diffuse and likely needs review or rejection
PAIR_GM_RM019_o129_s269_oty1t_obj_GM_RM019_bytetrack_bt_0080,primitive_proxy_graph_from_state_conditioned_support,8,3,5,4,4,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,unknown_or_low,yes,support is fragmented/diffuse and likely needs review or rejection
PAIR_GM_RM019_o131_s273_oty1t_obj_GM_RM019_bytetrack_bt_0080,primitive_proxy_graph_from_state_conditioned_support,8,3,5,4,4,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,unknown_or_low,yes,support is fragmented/diffuse and likely needs review or rejection
PAIR_GM_RM019_o138_s288_oty1t_obj_GM_RM019_bytetrack_bt_0080,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
PAIR_GM_RM019_o139_s290_oty1t_obj_GM_RM019_bytetrack_bt_0080,primitive_proxy_graph_from_state_conditioned_support,6,4,4,3,3,high_fragmented_or_dense,uncertain,not_established,unknown_or_low,high,yes,support contains an extended component; graph form captures spread better than top-k
