case_id,scene,sar_frame,object_hypothesis_id,optical_state,support_available,gt_quality_label,gt_vehicle_morphology_supported,support_gt_area_coverage,support_gt_energy_coverage,support_morphology_coverage,vehicle_scale_morphology_inside_support,main_gt_structure_outside_support,support_miss_vehicle_structure,support_failure_type,if_support_miss_do_not_search_inside_support,recommended_next_action,not_allowed_conclusion
PAIR_GM_RM017_o174_s362_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,362,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,1,1,1,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o174_s363_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,363,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.965,0.9707,0.9985,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o175_s364_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,364,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9897,0.9915,1,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o175_s365_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,365,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,1,1,1,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o176_s366_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,366,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,review_too_large,yes,0.9655,0.9682,0.9862,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o176_s367_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,367,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9881,0.9879,0.9973,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o177_s368_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,368,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9881,0.9886,0.9963,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o177_s369_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,369,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,1,1,1,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o178_s370_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,370,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9985,0.9984,0.9994,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o178_s371_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,371,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,1,1,1,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o179_s372_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,372,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9866,0.9877,1,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o179_s373_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,373,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9746,0.9766,0.9889,yes,no,no,support_contains_neighbor_structure;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o180_s374_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,374,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9878,0.9885,0.9964,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o180_s375_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,375,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9912,0.9909,0.9923,yes,no,no,support_contains_neighbor_structure;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o180_s376_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,376,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.995,0.9956,0.9989,yes,no,no,support_contains_neighbor_structure;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o181_s377_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,377,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9608,0.9612,0.9808,yes,no,no,support_contains_neighbor_structure;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o181_s378_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,378,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9968,0.9967,0.9982,yes,no,no,support_contains_neighbor_structure;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o182_s379_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,379,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.977,0.9765,0.9879,yes,no,no,support_contains_neighbor_structure;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o182_s380_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,380,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9971,0.9966,0.9945,yes,no,no,support_contains_neighbor_structure;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o184_s383_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,383,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9623,0.9657,0.992,yes,no,no,support_contains_neighbor_structure;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o184_s384_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,384,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9998,0.9999,1,yes,no,no,support_contains_neighbor_structure;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o186_s387_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,387,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9833,0.9858,0.9974,yes,no,no,support_contains_neighbor_structure;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o186_s388_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,388,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,review_too_large,yes,0.9047,0.9175,0.9919,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o187_s389_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,389,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,review_extreme_aspect,yes,0.9554,0.9635,0.999,yes,no,no,support_contains_neighbor_structure;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o187_s390_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,390,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,review_multi_structure,uncertain,0.9508,0.9586,0.9862,yes,no,no,none,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o188_s391_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,391,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9576,0.9621,0.9844,yes,no,no,support_contains_neighbor_structure;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o188_s392_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,392,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,review_multi_structure,yes,0.8892,0.9016,0.9681,yes,no,no,support_contains_neighbor_structure;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o189_s393_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,393,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,review_extreme_aspect,yes,0.8825,0.8975,0.9758,yes,no,no,support_contains_neighbor_structure;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o189_s394_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,394,oty1t_obj_GM_RM017_bytetrack_bt_0010,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9284,0.9404,0.9945,yes,no,no,support_contains_neighbor_structure;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o169_s352_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,352,oty1t_obj_GM_RM017_bytetrack_bt_0012,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.625,0.6487,0.813,no,yes,yes,reconstruction_uncertain,yes,review support construction / range-azimuth mapping / motion-drift compatibility; do not search only inside support,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o169_s353_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,353,oty1t_obj_GM_RM017_bytetrack_bt_0012,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,uncertain,0.6707,0.6928,0.8597,uncertain,uncertain,uncertain,support_too_narrow;support_too_broad,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o171_s356_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,356,oty1t_obj_GM_RM017_bytetrack_bt_0012,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.8284,0.8401,0.9285,yes,no,no,support_too_broad;support_contains_neighbor_structure;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o171_s357_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,357,oty1t_obj_GM_RM017_bytetrack_bt_0012,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,review_multi_structure,yes,0.8062,0.8201,0.9269,yes,no,no,support_too_broad;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o172_s358_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,358,oty1t_obj_GM_RM017_bytetrack_bt_0012,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,review_multi_structure,yes,0.8753,0.8843,0.9551,yes,no,no,support_too_broad;support_contains_neighbor_structure;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o172_s359_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,359,oty1t_obj_GM_RM017_bytetrack_bt_0012,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,review_multi_structure,uncertain,0.8864,0.8947,0.9651,yes,no,no,support_too_broad;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o173_s360_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,360,oty1t_obj_GM_RM017_bytetrack_bt_0012,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,review_multi_structure,yes,0.9107,0.9182,0.9673,yes,no,no,support_too_broad;support_contains_neighbor_structure;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o173_s361_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,361,oty1t_obj_GM_RM017_bytetrack_bt_0012,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,review_multi_structure,yes,0.9525,0.9565,0.9838,yes,no,no,support_too_broad;support_contains_neighbor_structure;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o174_s362_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,362,oty1t_obj_GM_RM017_bytetrack_bt_0012,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9802,0.9822,0.997,yes,no,no,support_too_broad;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o174_s363_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,363,oty1t_obj_GM_RM017_bytetrack_bt_0012,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9611,0.966,0.9935,yes,no,no,support_too_broad;support_contains_neighbor_structure;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o175_s364_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,364,oty1t_obj_GM_RM017_bytetrack_bt_0012,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9195,0.9281,0.9792,yes,no,no,support_too_broad;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o175_s365_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,365,oty1t_obj_GM_RM017_bytetrack_bt_0012,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9381,0.9448,0.9959,yes,no,no,support_too_broad;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o176_s366_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,366,oty1t_obj_GM_RM017_bytetrack_bt_0012,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,review_multi_structure,yes,0.9865,0.9876,0.9978,yes,no,no,support_too_broad;support_contains_neighbor_structure;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o176_s367_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,367,oty1t_obj_GM_RM017_bytetrack_bt_0012,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,review_multi_structure,yes,0.9984,0.9985,1,yes,no,no,support_too_broad;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
PAIR_GM_RM017_o177_s368_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,368,oty1t_obj_GM_RM017_bytetrack_bt_0012,eligibility=weak_vehicle_layer;tier=high_resolvable_vehicle;spatial=loose_spatial_prior_generated,yes,good,yes,0.9641,0.9685,0.999,yes,no,no,support_too_broad;support_ok_but_not_exclusive,no,preserve layer separation; support quality is not association success,not final box; not annotation proposal; not selector success; not GT-guided runtime prediction logic
