probe_id,relationship_type,sample_pool,clean_morphology_inclusion,scene,object_hypothesis_id,state_condition,optical_frame,tau0_sar_frame,sar_frame_probe,paired_gt_sar_frame_posthoc,gt_frame_delta_sar_frames,c_time_status,support_region_source,support_region_mode,support_azimuth_center_deg,support_azimuth_start_deg,support_azimuth_end_deg,support_azimuth_width_deg,state_margin_deg,range_prior_mode,support_radius_min_px,support_radius_max_px,c_shell_status,support_area_px,support_center_x,support_center_y,local_peak_x,local_peak_y,local_peak_intensity,support_mean_intensity,background_mean_intensity,peak_to_background_ratio,support_to_background_ratio,scatter_centroid_x,scatter_centroid_y,centroid_residual_px,range_profile_peak_radius_px,azimuth_profile_peak_deg,topk_local_peaks,sar_image_path,sar_observation_status,gt_inside_support_posthoc,gt_azimuth_inside_posthoc,gt_radius_inside_posthoc,gt_center_to_peak_distance_posthoc_px,notes,provenance_labels
F0011,optical_single_frame_to_sar_single_frame,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,169,352.0833,353,353,0.9167,inside_software_sync_short_window,optical_single_frame_primary_bbox,coarse_optical_azimuth_sector_broad_range,-18.4061,-33.0907,-3.7215,29.3692,5,broad_unknown_range_prior,0,1332.7,vehicle_shell_unlocalized_range_blocked; shell records plausible vehicle footprint but cannot center range yet,455196,943.6002,698.3388,796,47,1,0.2725,0.5237,1.9095,0.5202,934.2417,653.637,45.6709,1252,-9.5,"1145,1299,1;796,47,1;1153,1329,0.9922;989,9,0.9922;942,15,0.9922",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000353.png,support_region_observation_extracted,true,true,true,928.037,Support region uses optical bbox and configured azimuth geometry; SAR GT validates only.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence
F0012,optical_single_frame_to_sar_single_frame,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,171,356.25,356,356,-0.25,inside_software_sync_short_window,optical_single_frame_primary_bbox,coarse_optical_azimuth_sector_broad_range,-15.0019,-29.7404,-0.2633,29.4772,5,broad_unknown_range_prior,0,1332.7,vehicle_shell_unlocalized_range_blocked; shell records plausible vehicle footprint but cannot center range yet,456802,981.5151,686.9609,796,47,1,0.2568,0.5137,1.9468,0.4999,977.6298,647.3464,39.8046,1244,-3.5,"796,47,1;1144,1299,1;1152,1319,0.9922;942,15,0.9922;989,9,0.9922",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000356.png,support_region_observation_extracted,true,true,true,931.37,Support region uses optical bbox and configured azimuth geometry; SAR GT validates only.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence
F0013,optical_single_frame_to_sar_single_frame,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,171,356.25,357,357,0.75,inside_software_sync_short_window,optical_single_frame_primary_bbox,coarse_optical_azimuth_sector_broad_range,-15.0019,-29.7404,-0.2633,29.4772,5,broad_unknown_range_prior,0,1332.7,vehicle_shell_unlocalized_range_blocked; shell records plausible vehicle footprint but cannot center range yet,456802,981.5151,686.9609,796,47,1,0.2715,0.5229,1.9124,0.5192,979.8251,647.0101,39.9865,1244,-6.5,"1146,1299,1;796,47,1;1153,1328,0.9922;942,15,0.9922",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000357.png,support_region_observation_extracted,true,true,true,932.537,Support region uses optical bbox and configured azimuth geometry; SAR GT validates only.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence
F0014,optical_single_frame_to_sar_single_frame,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,172,358.3333,358,358,-0.3333,inside_software_sync_short_window,optical_single_frame_primary_bbox,coarse_optical_azimuth_sector_broad_range,-13.3755,-28.1635,1.4125,29.5759,5,broad_unknown_range_prior,0,1332.7,vehicle_shell_unlocalized_range_blocked; shell records plausible vehicle footprint but cannot center range yet,458289,999.8521,682.3248,796,47,1,0.2733,0.5232,1.9115,0.5224,1002.131,647.6431,34.7565,1244,0.5,"1144,1299,1;796,47,1;1064,1,0.9961;1149,1319,0.9922;942,15,0.9922",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000358.png,support_region_observation_extracted,true,true,true,937.752,Support region uses optical bbox and configured azimuth geometry; SAR GT validates only.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence
F0015,optical_single_frame_to_sar_single_frame,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,172,358.3333,359,359,0.6667,inside_software_sync_short_window,optical_single_frame_primary_bbox,coarse_optical_azimuth_sector_broad_range,-13.3755,-28.1635,1.4125,29.5759,5,broad_unknown_range_prior,0,1332.7,vehicle_shell_unlocalized_range_blocked; shell records plausible vehicle footprint but cannot center range yet,458289,999.8521,682.3248,796,47,1,0.2889,0.5333,1.875,0.5418,1002.7854,660.8759,21.6485,1252,0.5,"1144,1299,1;796,47,1;1154,1330,0.9922;615,112,0.9922;821,41,0.9922",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000359.png,support_region_observation_extracted,true,true,true,938.47,Support region uses optical bbox and configured azimuth geometry; SAR GT validates only.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence
F0016,optical_single_frame_to_sar_single_frame,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,173,360.4167,360,360,-0.4167,inside_software_sync_short_window,optical_single_frame_primary_bbox,coarse_optical_azimuth_sector_broad_range,-11.6308,-26.4888,3.2272,29.716,5,broad_unknown_range_prior,0,1332.7,vehicle_shell_unlocalized_range_blocked; shell records plausible vehicle footprint but cannot center range yet,460439,1019.6608,677.9322,796,47,1,0.2499,0.5086,1.9662,0.4913,1022.7586,667.0656,11.2995,1252,0.5,"1146,1299,1;796,47,1;597,120,0.9961;1154,1318,0.9922;655,95,0.9922",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000360.png,support_region_observation_extracted,true,true,true,939.287,Support region uses optical bbox and configured azimuth geometry; SAR GT validates only.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence
F0017,optical_single_frame_to_sar_single_frame,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,173,360.4167,361,361,0.5833,inside_software_sync_short_window,optical_single_frame_primary_bbox,coarse_optical_azimuth_sector_broad_range,-11.6308,-26.4888,3.2272,29.716,5,broad_unknown_range_prior,0,1332.7,vehicle_shell_unlocalized_range_blocked; shell records plausible vehicle footprint but cannot center range yet,460439,1019.6608,677.9322,934,17,1,0.2259,0.4931,2.0282,0.4581,1022.4607,664.5164,13.7048,1244,0.5,"796,47,1;934,17,1;1146,1299,1;1153,1318,0.9922;655,95,0.9922",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000361.png,support_region_observation_extracted,true,true,true,938.45,Support region uses optical bbox and configured azimuth geometry; SAR GT validates only.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence
F0018,optical_single_frame_to_sar_single_frame,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,174,362.5,362,362,-0.5,inside_software_sync_short_window,optical_single_frame_primary_bbox,coarse_optical_azimuth_sector_broad_range,-9.7548,-24.6606,5.1511,29.8117,5,broad_unknown_range_prior,0,1332.7,vehicle_shell_unlocalized_range_blocked; shell records plausible vehicle footprint but cannot center range yet,461923,1041.0994,673.8841,796,47,1,0.2277,0.4945,2.0222,0.4605,1042.1906,672.2807,1.9395,1252,0.5,"1146,1299,1;796,47,1;1242,1,0.9961;665,91,0.9961;599,119,0.9922",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000362.png,support_region_observation_extracted,true,true,true,943.009,Support region uses optical bbox and configured azimuth geometry; SAR GT validates only.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence
F0019,optical_single_frame_to_sar_single_frame,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,174,362.5,363,363,0.5,inside_software_sync_short_window,optical_single_frame_primary_bbox,coarse_optical_azimuth_sector_broad_range,-9.7548,-24.6606,5.1511,29.8117,5,broad_unknown_range_prior,0,1332.7,vehicle_shell_unlocalized_range_blocked; shell records plausible vehicle footprint but cannot center range yet,461923,1041.0994,673.8841,1050,2,1,0.2323,0.4974,2.0103,0.467,1043.7662,664.6644,9.5976,1252,0.5,"1050,2,1;1146,1299,1;796,47,1;660,93,0.9961;1242,1,0.9961",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000363.png,support_region_observation_extracted,true,true,true,939.072,Support region uses optical bbox and configured azimuth geometry; SAR GT validates only.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence
F0020,optical_single_frame_to_sar_single_frame,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,175,364.5833,364,364,-0.5833,inside_software_sync_short_window,optical_single_frame_primary_bbox,coarse_optical_azimuth_sector_broad_range,-7.9583,-22.9411,7.0244,29.9655,5,broad_unknown_range_prior,0,1332.7,vehicle_shell_unlocalized_range_blocked; shell records plausible vehicle footprint but cannot center range yet,464305,1061.7421,670.6676,1290,5,1,0.2189,0.4888,2.0458,0.4479,1066.4436,684.3404,14.4586,1252,0.5,"796,47,1;1146,1299,1;1290,5,1;665,91,0.9961;1154,1330,0.9922",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000364.png,support_region_observation_extracted,true,true,true,952.86,Support region uses optical bbox and configured azimuth geometry; SAR GT validates only.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence
F0021,optical_single_frame_to_sar_single_frame,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,175,364.5833,365,365,0.4167,inside_software_sync_short_window,optical_single_frame_primary_bbox,coarse_optical_azimuth_sector_broad_range,-7.9583,-22.9411,7.0244,29.9655,5,broad_unknown_range_prior,0,1332.7,vehicle_shell_unlocalized_range_blocked; shell records plausible vehicle footprint but cannot center range yet,464305,1061.7421,670.6676,796,47,1,0.2287,0.495,2.0201,0.462,1069.3805,693.8486,24.407,1252,0.5,"643,100,1;1146,1299,1;796,47,1;692,81,0.9961;665,91,0.9961",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000365.png,support_region_observation_extracted,true,true,true,949.771,Support region uses optical bbox and configured azimuth geometry; SAR GT validates only.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence
F0022,optical_single_frame_to_sar_single_frame,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,176,366.6667,366,366,-0.6667,inside_software_sync_short_window,optical_single_frame_primary_bbox,coarse_optical_azimuth_sector_broad_range,-6.2763,-21.3572,8.8046,30.1618,5,broad_unknown_range_prior,0,1332.7,vehicle_shell_unlocalized_range_blocked; shell records plausible vehicle footprint but cannot center range yet,467350,1081.1528,668.2439,796,47,1,0.2259,0.4935,2.0265,0.4579,1082.6466,681.0142,12.8574,1252,0.5,"796,47,1;1146,1299,1;1354,13,0.9961;961,12,0.9961;1153,1318,0.9922",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000366.png,support_region_observation_extracted,true,true,true,955.214,Support region uses optical bbox and configured azimuth geometry; SAR GT validates only.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence
F0023,optical_single_frame_to_sar_single_frame,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,176,366.6667,367,367,0.3333,inside_software_sync_short_window,optical_single_frame_primary_bbox,coarse_optical_azimuth_sector_broad_range,-6.2763,-21.3572,8.8046,30.1618,5,broad_unknown_range_prior,0,1332.7,vehicle_shell_unlocalized_range_blocked; shell records plausible vehicle footprint but cannot center range yet,467350,1081.1528,668.2439,796,47,1,0.2292,0.4956,2.0179,0.4625,1082.8145,685.2074,17.0447,1252,0.5,"1146,1299,1;796,47,1;1354,13,0.9961;725,69,0.9961;1027,4,0.9961",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000367.png,support_region_observation_extracted,true,true,true,957.495,Support region uses optical bbox and configured azimuth geometry; SAR GT validates only.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence
F0024,optical_single_frame_to_sar_single_frame,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,177,368.75,368,368,-0.75,inside_software_sync_short_window,optical_single_frame_primary_bbox,coarse_optical_azimuth_sector_broad_range,-4.5701,-19.7057,10.5655,30.2712,5,broad_unknown_range_prior,0,1332.7,vehicle_shell_unlocalized_range_blocked; shell records plausible vehicle footprint but cannot center range yet,469044,1100.9066,666.3686,1378,17,1,0.2272,0.4945,2.0224,0.4594,1097.602,675.1849,9.4153,1252,0.5,"1146,1299,1;1378,17,1;796,47,1;868,29,0.9961;1354,13,0.9961",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000368.png,support_region_observation_extracted,true,true,true,956.003,Support region uses optical bbox and configured azimuth geometry; SAR GT validates only.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence
F0025,optical_single_frame_to_sar_single_frame,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,177,368.75,369,369,0.25,inside_software_sync_short_window,optical_single_frame_primary_bbox,coarse_optical_azimuth_sector_broad_range,-4.5701,-19.7057,10.5655,30.2712,5,broad_unknown_range_prior,0,1332.7,vehicle_shell_unlocalized_range_blocked; shell records plausible vehicle footprint but cannot center range yet,469044,1100.9066,666.3686,1378,17,1,0.2443,0.5053,1.9791,0.4834,1096.8414,674.0838,8.7207,1252,0.5,"1146,1299,1;1378,17,1;796,47,1;1354,13,0.9961;1154,1330,0.9922",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000369.png,support_region_observation_extracted,true,true,true,956.497,Support region uses optical bbox and configured azimuth geometry; SAR GT validates only.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence
F0026,optical_single_frame_to_sar_single_frame,paired_optical_object_sar_gt,true,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete,178,370.8333,370,370,-0.8333,inside_software_sync_short_window,optical_single_frame_primary_bbox,coarse_optical_azimuth_sector_broad_range,-2.8058,-18.0296,12.4179,30.4474,5,broad_unknown_range_prior,0,1332.7,vehicle_shell_unlocalized_range_blocked; shell records plausible vehicle footprint but cannot center range yet,471775,1121.3811,665.0489,1290,5,1,0.2446,0.5055,1.9784,0.4839,1114.6071,678.6414,15.187,1260,0.5,"1145,1299,1;796,47,1;1290,5,1;1378,17,1;1353,13,0.9961",D:\profile\research\data\GM_RM017\GM_RM017_SARframes\000370.png,support_region_observation_extracted,true,true,true,949.169,Support region uses optical bbox and configured azimuth geometry; SAR GT validates only.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;runtime_safe_geometry_or_vehicle_physics;SAR_image_observation;SAR_GT_posthoc_evidence
