case_id,scene,object_hypothesis_id,optical_state,incompleteness_type,why_single_frame_support_may_fail,expected_sar_structure_missing_or_shifted,temporal_compensation_needed,state_compensation_needed,possible_sar_morphology_cue,posthoc_sar_observation,allowed_use,not_allowed_use
PAIR_GM_RM017_o179_s373_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o180_s374_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o180_s375_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o180_s376_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o181_s377_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o181_s378_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o182_s379_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o182_s380_oty1t_obj_GM_RM017_bytetrack_bt_0008,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o151_s315_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o153_s319_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o154_s321_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o155_s323_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o156_s325_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o157_s327_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o158_s329_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o158_s330_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o159_s331_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o159_s332_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o160_s333_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o160_s334_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o162_s337_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o162_s338_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o163_s339_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o163_s340_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o164_s341_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o164_s342_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o162_s337_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o162_s338_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o163_s339_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o163_s340_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o164_s341_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
PAIR_GM_RM017_o164_s342_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,edge_or_truncated,left/right or bottom truncation;edge contact,"single-frame optical bbox may be truncated, ambiguous, duplicated, or detector-dropped","near/facing hotspot or body strip may shift, fragment, or require adjacent-frame confirmation",yes,yes,discontinuous body edges;temporal migrating hotspot;weak endpoint;body-side strip,gt_inside=true;peak_competition=serious_peak_competition_or_clutter;tube=tube_peak_variable_or_competing,temporal/state compensation hypothesis audit,clean paired morphology or final annotation
