gt_id,case_id,scene,sar_frame,pool_type,gt_quality_label,gt_crop_available,dominant_energy_pattern,dominant_side_or_axis_proxy,energy_distribution_description,near_or_dominant_side_ridge_proxy,corner_or_endpoint_hotspot_proxy,far_or_opposite_side_weak_return_proxy,discontinuous_edge_proxy,enclosed_shell_proxy,block_like_body_proxy,range_spread_with_core_proxy,vehicle_morphology_supported,morphology_strength,confounders,posthoc_only,notes
10,GTREF_GM_RM011_s5_10,GM_RM011,5,gm011_waiting_object_stream,review_too_small,yes,corner_hotspot,lower_side,dominant_side=lower_side;side_contrast=1.0757;corner_ratio=2.0221;edge_continuity=0.7917;component_count=8;part_count=2,no,yes,uncertain,yes,no,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
11,GTREF_GM_RM011_s5_11,GM_RM011,5,gm011_waiting_object_stream,review_multi_structure,yes,enclosed_shell,upper_side,dominant_side=upper_side;side_contrast=1.0171;corner_ratio=3.0734;edge_continuity=1;component_count=35;part_count=3,no,yes,uncertain,yes,yes,no,yes,yes,medium,neighbor_vehicle;background_clutter,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
12,GTREF_GM_RM011_s6_12,GM_RM011,6,gm011_waiting_object_stream,review_too_small,yes,enclosed_shell,lower_side,dominant_side=lower_side;side_contrast=1.0887;corner_ratio=1.9576;edge_continuity=0.75;component_count=10;part_count=3,no,no,uncertain,yes,yes,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
13,GTREF_GM_RM011_s6_13,GM_RM011,6,gm011_waiting_object_stream,review_multi_structure,yes,corner_hotspot,upper_side,dominant_side=upper_side;side_contrast=1.0237;corner_ratio=2.8881;edge_continuity=1;component_count=41;part_count=3,no,yes,uncertain,yes,no,no,yes,uncertain,uncertain,neighbor_vehicle;background_clutter,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
14,GTREF_GM_RM011_s7_14,GM_RM011,7,gm011_waiting_object_stream,good,yes,discontinuous_edges,lower_side,dominant_side=lower_side;side_contrast=1.0609;corner_ratio=1.7524;edge_continuity=0.8333;component_count=8;part_count=2,no,no,uncertain,yes,no,no,no,yes,medium,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
15,GTREF_GM_RM011_s7_15,GM_RM011,7,gm011_waiting_object_stream,review_multi_structure,yes,enclosed_shell,body_core,dominant_side=body_core;side_contrast=1.0079;corner_ratio=2.6196;edge_continuity=1;component_count=42;part_count=3,no,yes,uncertain,yes,yes,no,yes,yes,medium,neighbor_vehicle;background_clutter,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
16,GTREF_GM_RM011_s8_16,GM_RM011,8,gm011_waiting_object_stream,good,yes,enclosed_shell,lower_side,dominant_side=lower_side;side_contrast=1.064;corner_ratio=1.6961;edge_continuity=0.875;component_count=13;part_count=3,no,no,uncertain,yes,yes,no,no,yes,strong,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
17,GTREF_GM_RM011_s9_17,GM_RM011,9,gm011_waiting_object_stream,good,yes,weak_boundary,lower_side,dominant_side=lower_side;side_contrast=1.0444;corner_ratio=1.9044;edge_continuity=0.8333;component_count=14;part_count=1,no,no,uncertain,no,no,no,no,uncertain,weak,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
18,GTREF_GM_RM011_s10_18,GM_RM011,10,gm011_waiting_object_stream,review_too_small,yes,side_ridge,lower_side,dominant_side=lower_side;side_contrast=1.2018;corner_ratio=2.1502;edge_continuity=0.8333;component_count=9;part_count=2,yes,yes,yes,yes,no,no,yes,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
19,GTREF_GM_RM011_s11_19,GM_RM011,11,gm011_waiting_object_stream,review_too_small,yes,discontinuous_edges,lower_side,dominant_side=lower_side;side_contrast=1.0818;corner_ratio=1.7223;edge_continuity=0.7917;component_count=13;part_count=2,no,no,uncertain,yes,no,no,yes,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
20,GTREF_GM_RM011_s12_20,GM_RM011,12,gm011_waiting_object_stream,review_too_small,yes,discontinuous_edges,lower_side,dominant_side=lower_side;side_contrast=1.0567;corner_ratio=1.5482;edge_continuity=0.8333;component_count=10;part_count=2,no,no,uncertain,yes,no,no,yes,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
21,GTREF_GM_RM011_s12_21,GM_RM011,12,gm011_waiting_object_stream,review_too_small,yes,discontinuous_edges,lower_side,dominant_side=lower_side;side_contrast=1.1;corner_ratio=1.5817;edge_continuity=0.8333;component_count=11;part_count=2,no,no,uncertain,yes,no,no,yes,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
22,GTREF_GM_RM011_s13_22,GM_RM011,13,gm011_waiting_object_stream,review_too_small,yes,enclosed_shell,lower_side,dominant_side=lower_side;side_contrast=1.0839;corner_ratio=1.6742;edge_continuity=0.9167;component_count=12;part_count=3,no,no,uncertain,yes,yes,no,yes,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
23,GTREF_GM_RM011_s13_23,GM_RM011,13,gm011_waiting_object_stream,good,yes,enclosed_shell,lower_side,dominant_side=lower_side;side_contrast=1.0237;corner_ratio=1.6822;edge_continuity=0.875;component_count=13;part_count=3,no,no,uncertain,yes,yes,no,yes,yes,strong,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
24,GTREF_GM_RM011_s14_24,GM_RM011,14,gm011_waiting_object_stream,review_too_small,yes,enclosed_shell,upper_side,dominant_side=upper_side;side_contrast=1.0082;corner_ratio=1.6344;edge_continuity=0.9167;component_count=15;part_count=3,no,no,uncertain,yes,yes,no,yes,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
25,GTREF_GM_RM011_s14_25,GM_RM011,14,gm011_waiting_object_stream,good,yes,enclosed_shell,upper_side,dominant_side=upper_side;side_contrast=1.0134;corner_ratio=1.6734;edge_continuity=0.9167;component_count=17;part_count=3,no,no,uncertain,yes,yes,no,yes,yes,strong,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
26,GTREF_GM_RM011_s15_26,GM_RM011,15,gm011_waiting_object_stream,review_too_small,yes,enclosed_shell,lower_side,dominant_side=lower_side;side_contrast=1.0323;corner_ratio=1.9006;edge_continuity=0.9167;component_count=14;part_count=3,no,no,uncertain,yes,yes,no,yes,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
27,GTREF_GM_RM011_s15_27,GM_RM011,15,gm011_waiting_object_stream,review_multi_structure,yes,enclosed_shell,lower_side,dominant_side=lower_side;side_contrast=1.0296;corner_ratio=1.7953;edge_continuity=0.9583;component_count=12;part_count=3,no,no,uncertain,yes,yes,no,yes,yes,medium,neighbor_vehicle;background_clutter,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
28,GTREF_GM_RM011_s16_28,GM_RM011,16,gm011_waiting_object_stream,review_too_small,yes,discontinuous_edges,upper_side,dominant_side=upper_side;side_contrast=1.0079;corner_ratio=1.6891;edge_continuity=0.9583;component_count=14;part_count=2,no,no,uncertain,yes,no,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
29,GTREF_GM_RM011_s16_29,GM_RM011,16,gm011_waiting_object_stream,good,yes,discontinuous_edges,lower_side,dominant_side=lower_side;side_contrast=1.0236;corner_ratio=1.6849;edge_continuity=0.9167;component_count=16;part_count=2,no,no,uncertain,yes,no,no,yes,yes,medium,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
30,GTREF_GM_RM011_s17_30,GM_RM011,17,gm011_waiting_object_stream,review_multi_structure,yes,enclosed_shell,upper_side,dominant_side=upper_side;side_contrast=1.1291;corner_ratio=1.8346;edge_continuity=0.875;component_count=20;part_count=3,yes,no,uncertain,yes,yes,no,no,yes,medium,neighbor_vehicle;background_clutter,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
31,GTREF_GM_RM011_s17_31,GM_RM011,17,gm011_waiting_object_stream,review_too_small,yes,discontinuous_edges,upper_side,dominant_side=upper_side;side_contrast=1.0152;corner_ratio=1.7885;edge_continuity=0.9167;component_count=21;part_count=2,no,no,uncertain,yes,no,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
32,GTREF_GM_RM011_s17_32,GM_RM011,17,gm011_waiting_object_stream,review_multi_structure,yes,discontinuous_edges,lower_side,dominant_side=lower_side;side_contrast=1.0238;corner_ratio=1.8346;edge_continuity=0.9167;component_count=21;part_count=3,no,no,uncertain,yes,no,no,no,yes,medium,neighbor_vehicle;background_clutter,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
33,GTREF_GM_RM011_s18_33,GM_RM011,18,gm011_waiting_object_stream,review_too_small,yes,discontinuous_edges,upper_side,dominant_side=upper_side;side_contrast=1.0033;corner_ratio=1.6792;edge_continuity=0.9583;component_count=16;part_count=2,no,no,uncertain,yes,no,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
34,GTREF_GM_RM011_s18_34,GM_RM011,18,gm011_waiting_object_stream,review_multi_structure,yes,discontinuous_edges,upper_side,dominant_side=upper_side;side_contrast=1.0031;corner_ratio=1.6594;edge_continuity=0.9167;component_count=16;part_count=2,no,no,uncertain,yes,no,no,no,yes,medium,neighbor_vehicle;background_clutter,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
35,GTREF_GM_RM011_s19_35,GM_RM011,19,gm011_waiting_object_stream,good,yes,discontinuous_edges,lower_side,dominant_side=lower_side;side_contrast=1.049;corner_ratio=1.6191;edge_continuity=1;component_count=17;part_count=2,no,no,uncertain,yes,no,no,no,yes,medium,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
36,GTREF_GM_RM011_s19_36,GM_RM011,19,gm011_waiting_object_stream,review_too_small,yes,discontinuous_edges,upper_side,dominant_side=upper_side;side_contrast=1.0518;corner_ratio=1.5882;edge_continuity=1;component_count=16;part_count=2,no,no,uncertain,yes,no,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
37,GTREF_GM_RM011_s19_37,GM_RM011,19,gm011_waiting_object_stream,good,yes,discontinuous_edges,upper_side,dominant_side=upper_side;side_contrast=1.0449;corner_ratio=1.5412;edge_continuity=1;component_count=16;part_count=2,no,no,uncertain,yes,no,no,no,yes,medium,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
38,GTREF_GM_RM011_s20_38,GM_RM011,20,gm011_waiting_object_stream,review_too_small,yes,discontinuous_edges,upper_side,dominant_side=upper_side;side_contrast=1.0358;corner_ratio=1.5644;edge_continuity=1;component_count=21;part_count=2,no,no,uncertain,yes,no,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
39,GTREF_GM_RM011_s20_39,GM_RM011,20,gm011_waiting_object_stream,good,yes,discontinuous_edges,upper_side,dominant_side=upper_side;side_contrast=1.0264;corner_ratio=1.5475;edge_continuity=0.9583;component_count=21;part_count=2,no,no,uncertain,yes,no,no,no,yes,medium,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
40,GTREF_GM_RM011_s21_40,GM_RM011,21,gm011_waiting_object_stream,good,yes,enclosed_shell,right_side,dominant_side=right_side;side_contrast=1.0063;corner_ratio=1.5133;edge_continuity=1;component_count=23;part_count=3,no,no,uncertain,yes,yes,no,no,yes,strong,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
41,GTREF_GM_RM011_s21_41,GM_RM011,21,gm011_waiting_object_stream,review_too_small,yes,enclosed_shell,body_core,dominant_side=body_core;side_contrast=1.0027;corner_ratio=1.5254;edge_continuity=1;component_count=28;part_count=3,no,no,uncertain,yes,yes,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
42,GTREF_GM_RM011_s21_42,GM_RM011,21,gm011_waiting_object_stream,good,yes,enclosed_shell,body_core,dominant_side=body_core;side_contrast=1.0102;corner_ratio=1.527;edge_continuity=1;component_count=23;part_count=3,no,no,uncertain,yes,yes,no,no,yes,strong,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
43,GTREF_GM_RM011_s22_43,GM_RM011,22,gm011_waiting_object_stream,review_too_small,yes,enclosed_shell,upper_side,dominant_side=upper_side;side_contrast=1.0043;corner_ratio=1.5131;edge_continuity=0.9583;component_count=24;part_count=3,no,no,uncertain,yes,yes,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
44,GTREF_GM_RM011_s22_44,GM_RM011,22,gm011_waiting_object_stream,good,yes,enclosed_shell,upper_side,dominant_side=upper_side;side_contrast=1.002;corner_ratio=1.4548;edge_continuity=0.9583;component_count=27;part_count=3,no,no,uncertain,yes,yes,no,no,yes,strong,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
45,GTREF_GM_RM011_s23_45,GM_RM011,23,gm011_waiting_object_stream,review_too_small,yes,enclosed_shell,body_core,dominant_side=body_core;side_contrast=1.0117;corner_ratio=1.5242;edge_continuity=0.9583;component_count=21;part_count=3,no,no,uncertain,yes,yes,no,yes,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
46,GTREF_GM_RM011_s23_46,GM_RM011,23,gm011_waiting_object_stream,review_too_small,yes,enclosed_shell,body_core,dominant_side=body_core;side_contrast=1.02;corner_ratio=1.4954;edge_continuity=0.9583;component_count=21;part_count=3,no,no,uncertain,yes,yes,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
47,GTREF_GM_RM011_s23_47,GM_RM011,23,gm011_waiting_object_stream,good,yes,enclosed_shell,body_core,dominant_side=body_core;side_contrast=1.0233;corner_ratio=1.5127;edge_continuity=0.9583;component_count=22;part_count=3,no,no,uncertain,yes,yes,no,no,yes,strong,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
48,GTREF_GM_RM011_s24_48,GM_RM011,24,gm011_waiting_object_stream,review_too_small,yes,enclosed_shell,body_core,dominant_side=body_core;side_contrast=1.0197;corner_ratio=1.8012;edge_continuity=0.9583;component_count=20;part_count=3,no,no,uncertain,yes,yes,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
49,GTREF_GM_RM011_s24_49,GM_RM011,24,gm011_waiting_object_stream,review_multi_structure,yes,enclosed_shell,body_core,dominant_side=body_core;side_contrast=1.0238;corner_ratio=1.6788;edge_continuity=0.9583;component_count=20;part_count=3,no,no,uncertain,yes,yes,no,no,yes,medium,neighbor_vehicle;background_clutter,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
50,GTREF_GM_RM011_s25_50,GM_RM011,25,gm011_waiting_object_stream,review_too_small,yes,enclosed_shell,body_core,dominant_side=body_core;side_contrast=1.0309;corner_ratio=1.8111;edge_continuity=0.9583;component_count=21;part_count=3,no,no,uncertain,yes,yes,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
51,GTREF_GM_RM011_s25_51,GM_RM011,25,gm011_waiting_object_stream,review_too_small,yes,enclosed_shell,body_core,dominant_side=body_core;side_contrast=1.0292;corner_ratio=1.8087;edge_continuity=0.9583;component_count=21;part_count=3,no,no,uncertain,yes,yes,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
52,GTREF_GM_RM011_s25_52,GM_RM011,25,gm011_waiting_object_stream,review_multi_structure,yes,discontinuous_edges,body_core,dominant_side=body_core;side_contrast=1.0407;corner_ratio=1.7865;edge_continuity=0.9167;component_count=20;part_count=2,no,no,uncertain,yes,no,no,no,yes,medium,neighbor_vehicle;background_clutter,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
53,GTREF_GM_RM011_s26_53,GM_RM011,26,gm011_waiting_object_stream,review_too_small,yes,enclosed_shell,body_core,dominant_side=body_core;side_contrast=1.0599;corner_ratio=1.7439;edge_continuity=1;component_count=22;part_count=3,no,no,uncertain,yes,yes,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
54,GTREF_GM_RM011_s26_54,GM_RM011,26,gm011_waiting_object_stream,review_too_small,yes,discontinuous_edges,body_core,dominant_side=body_core;side_contrast=1.0392;corner_ratio=1.7345;edge_continuity=0.9167;component_count=24;part_count=2,no,no,uncertain,yes,no,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
55,GTREF_GM_RM011_s27_55,GM_RM011,27,gm011_waiting_object_stream,review_too_small,yes,discontinuous_edges,body_core,dominant_side=body_core;side_contrast=1.0545;corner_ratio=1.767;edge_continuity=1;component_count=24;part_count=2,no,no,uncertain,yes,no,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
56,GTREF_GM_RM011_s27_56,GM_RM011,27,gm011_waiting_object_stream,review_too_small,yes,discontinuous_edges,body_core,dominant_side=body_core;side_contrast=1.0107;corner_ratio=1.7351;edge_continuity=1;component_count=23;part_count=2,no,no,uncertain,yes,no,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
57,GTREF_GM_RM011_s28_57,GM_RM011,28,gm011_waiting_object_stream,review_too_small,yes,discontinuous_edges,left_side,dominant_side=left_side;side_contrast=1.0022;corner_ratio=1.6541;edge_continuity=1;component_count=22;part_count=2,no,no,uncertain,yes,no,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
58,GTREF_GM_RM011_s29_58,GM_RM011,29,gm011_waiting_object_stream,review_multi_structure,yes,enclosed_shell,body_core,dominant_side=body_core;side_contrast=1.0173;corner_ratio=1.6478;edge_continuity=1;component_count=21;part_count=3,no,no,uncertain,yes,yes,no,yes,yes,medium,neighbor_vehicle;background_clutter,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
59,GTREF_GM_RM011_s29_59,GM_RM011,29,gm011_waiting_object_stream,review_too_small,yes,enclosed_shell,body_core,dominant_side=body_core;side_contrast=1.0219;corner_ratio=1.5747;edge_continuity=1;component_count=23;part_count=3,no,no,uncertain,yes,yes,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
60,GTREF_GM_RM011_s30_60,GM_RM011,30,gm011_waiting_object_stream,review_too_small,yes,discontinuous_edges,body_core,dominant_side=body_core;side_contrast=1.0378;corner_ratio=1.5392;edge_continuity=0.9583;component_count=24;part_count=2,no,no,uncertain,yes,no,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
61,GTREF_GM_RM011_s31_61,GM_RM011,31,gm011_waiting_object_stream,review_multi_structure,yes,discontinuous_edges,body_core,dominant_side=body_core;side_contrast=1.0144;corner_ratio=1.6404;edge_continuity=0.9583;component_count=14;part_count=2,no,no,uncertain,yes,no,no,no,yes,medium,neighbor_vehicle;background_clutter,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
62,GTREF_GM_RM011_s31_62,GM_RM011,31,gm011_waiting_object_stream,review_too_small,yes,discontinuous_edges,body_core,dominant_side=body_core;side_contrast=1.0458;corner_ratio=1.4824;edge_continuity=1;component_count=17;part_count=2,no,no,uncertain,yes,no,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
63,GTREF_GM_RM011_s32_63,GM_RM011,32,gm011_waiting_object_stream,review_too_small,yes,discontinuous_edges,body_core,dominant_side=body_core;side_contrast=1.0667;corner_ratio=1.741;edge_continuity=1;component_count=17;part_count=2,no,no,uncertain,yes,no,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
64,GTREF_GM_RM011_s33_64,GM_RM011,33,gm011_waiting_object_stream,review_too_small,yes,corner_hotspot,left_side,dominant_side=left_side;side_contrast=1.0079;corner_ratio=2.1852;edge_continuity=1;component_count=22;part_count=1,no,yes,uncertain,no,no,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
65,GTREF_GM_RM011_s34_65,GM_RM011,34,gm011_waiting_object_stream,review_too_small,yes,corner_hotspot,left_side,dominant_side=left_side;side_contrast=1.0286;corner_ratio=2.0472;edge_continuity=1;component_count=20;part_count=1,no,yes,uncertain,no,no,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
66,GTREF_GM_RM011_s35_66,GM_RM011,35,gm011_waiting_object_stream,good,yes,corner_hotspot,right_side,dominant_side=right_side;side_contrast=1.0198;corner_ratio=2.1521;edge_continuity=0.9583;component_count=21;part_count=2,no,yes,uncertain,yes,no,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
67,GTREF_GM_RM011_s35_67,GM_RM011,35,gm011_waiting_object_stream,review_too_small,yes,corner_hotspot,left_side,dominant_side=left_side;side_contrast=1.076;corner_ratio=2.1184;edge_continuity=0.9583;component_count=19;part_count=2,no,yes,uncertain,yes,no,no,no,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
68,GTREF_GM_RM011_s36_68,GM_RM011,36,gm011_waiting_object_stream,review_too_small,yes,enclosed_shell,left_side,dominant_side=left_side;side_contrast=1.0744;corner_ratio=1.8297;edge_continuity=1;component_count=19;part_count=3,no,no,uncertain,yes,yes,no,yes,uncertain,uncertain,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
69,GTREF_GM_RM011_s58_69,GM_RM011,58,gm011_waiting_object_stream,good,yes,side_ridge,upper_side,dominant_side=upper_side;side_contrast=1.1646;corner_ratio=3.5387;edge_continuity=1;component_count=17;part_count=2,yes,yes,uncertain,yes,no,no,yes,yes,strong,none,yes,GT-anchored morphology is SAR image observation and posthoc hypothesis; not final box or identity truth.
