case_id,scene,sar_frame,object_hypothesis_id,gt_shell_supported,support_available,support_covers_shell,support_covers_parts_only,support_miss_shell,support_failure_type,physical_explanation,state_or_temporal_compensation_needed,not_allowed_conclusion
PAIR_GM_RM017_o169_s353_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,353,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o171_s356_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,356,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o171_s357_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,357,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o172_s358_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,358,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o172_s359_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,359,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o173_s360_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,360,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o173_s361_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,361,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o174_s362_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,362,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o174_s363_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,363,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o175_s364_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,364,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o175_s365_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,365,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o176_s366_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,366,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o176_s367_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,367,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o177_s368_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,368,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o177_s369_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,369,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o178_s370_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,370,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o178_s371_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,371,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o179_s372_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,372,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o179_s373_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,373,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,support_ok_but_not_exclusive,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o180_s374_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,374,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o180_s375_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,375,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,support_ok_but_not_exclusive,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o180_s376_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,376,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,support_ok_but_not_exclusive,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o181_s377_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,377,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,support_ok_but_not_exclusive,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o181_s378_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,378,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,support_ok_but_not_exclusive,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o182_s379_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,379,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,support_ok_but_not_exclusive,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o182_s380_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,380,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,support_ok_but_not_exclusive,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o184_s383_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,383,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,support_ok_but_not_exclusive,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o184_s384_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,384,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,support_ok_but_not_exclusive,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o186_s387_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,387,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,support_ok_but_not_exclusive,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o186_s388_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,388,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o187_s389_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,389,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,support_ok_but_not_exclusive,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o187_s390_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,390,oty1t_obj_GM_RM017_bytetrack_bt_0010,uncertain,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o188_s391_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,391,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,support_ok_but_not_exclusive,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o188_s392_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,392,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,support_ok_but_not_exclusive,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o189_s393_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,393,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,support_ok_but_not_exclusive,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o189_s394_oty1t_obj_GM_RM017_bytetrack_bt_0010,GM_RM017,394,oty1t_obj_GM_RM017_bytetrack_bt_0010,yes,yes,yes,no,no,support_ok_but_not_exclusive,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o169_s352_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,352,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,no,yes,yes,support_reconstruction_uncertain,GT-anchored vehicle shell is outside or only partly represented by support; diagnose support construction failure.,yes,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o169_s353_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,353,oty1t_obj_GM_RM017_bytetrack_bt_0012,uncertain,yes,uncertain,uncertain,uncertain,too_narrow,Support relation remains uncertain and needs physical/temporal review.,yes,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o171_s356_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,356,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,too_broad,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o171_s357_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,357,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,too_broad,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o172_s358_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,358,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,too_broad,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o172_s359_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,359,oty1t_obj_GM_RM017_bytetrack_bt_0012,uncertain,yes,yes,no,no,too_broad,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o173_s360_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,360,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,too_broad,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o173_s361_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,361,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,too_broad,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o174_s362_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,362,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,too_broad,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o174_s363_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,363,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,too_broad,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o175_s364_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,364,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,too_broad,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o175_s365_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,365,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,too_broad,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o176_s366_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,366,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,too_broad,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o176_s367_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,367,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,too_broad,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o177_s368_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,368,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,too_broad,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o177_s369_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,369,oty1t_obj_GM_RM017_bytetrack_bt_0012,uncertain,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o178_s370_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,370,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,too_broad,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o178_s371_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,371,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o179_s372_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,372,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o179_s373_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,373,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o180_s374_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,374,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,too_broad,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o180_s375_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,375,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,too_broad,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o180_s376_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,376,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,too_broad,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o181_s377_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,377,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o181_s378_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,378,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,too_broad,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o182_s379_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,379,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o182_s380_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,380,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o183_s381_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,381,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o183_s382_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,382,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,too_broad,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o184_s383_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,383,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o184_s384_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,384,oty1t_obj_GM_RM017_bytetrack_bt_0012,uncertain,yes,yes,no,no,too_broad,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o185_s385_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,385,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o185_s386_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,386,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o186_s387_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,387,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,no,yes,yes,too_narrow,GT-anchored vehicle shell is outside or only partly represented by support; diagnose support construction failure.,yes,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
PAIR_GM_RM017_o186_s388_oty1t_obj_GM_RM017_bytetrack_bt_0012,GM_RM017,388,oty1t_obj_GM_RM017_bytetrack_bt_0012,yes,yes,yes,no,no,none,"Support covers GT-scale shell, but this is still a feasible-region diagnostic, not association truth.",uncertain,not final box; not selector success; not identity truth; not GT-guided runtime prediction logic
