gt_id,scene,sar_frame,pool_type,gt_quality_label,gt_quality_confidence,gt_area_px,gt_energy_inside,gt_energy_nearby_context,energy_center_offset_from_gt_center,dominant_energy_inside_gt,vehicle_scale_structure_inside_gt,gt_contains_most_vehicle_structure,gt_contains_too_much_background,needs_manual_gt_review,review_reason,not_allowed_conclusion
10,GM_RM011,5,gm011_waiting_object_stream,review_too_small,medium,8370.4,749564,7026159,2.326,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
11,GM_RM011,5,gm011_waiting_object_stream,review_multi_structure,medium,11639.898,806621,12563524,7.018,yes,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
12,GM_RM011,6,gm011_waiting_object_stream,review_too_small,medium,8497.28,755615,7220078,2.725,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
13,GM_RM011,6,gm011_waiting_object_stream,review_multi_structure,medium,11639.898,830167,12726702,6.868,yes,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
14,GM_RM011,7,gm011_waiting_object_stream,good,medium,8896.044,822780,7734733,2.516,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
15,GM_RM011,7,gm011_waiting_object_stream,review_multi_structure,medium,11639.898,897711,13393221,6.748,no,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
16,GM_RM011,8,gm011_waiting_object_stream,good,medium,9302.808,921890,8347353,1.875,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
17,GM_RM011,9,gm011_waiting_object_stream,good,medium,9302.808,894325,8200258,2.282,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
18,GM_RM011,10,gm011_waiting_object_stream,review_too_small,medium,8243.52,732304,7466580,2.525,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
19,GM_RM011,11,gm011_waiting_object_stream,review_too_small,medium,8243.52,923795,8434952,1.366,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
20,GM_RM011,12,gm011_waiting_object_stream,review_too_small,medium,8243.52,1038079,9211940,1.411,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
21,GM_RM011,12,gm011_waiting_object_stream,review_too_small,medium,8065.344,1014673,8988951,2.976,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
22,GM_RM011,13,gm011_waiting_object_stream,review_too_small,medium,8756.35,1030333,8734379,3.582,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
23,GM_RM011,13,gm011_waiting_object_stream,good,medium,8775.939,1027736,9533402,3.446,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
24,GM_RM011,14,gm011_waiting_object_stream,review_too_small,medium,8116.64,1003062,8834490,2.821,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
25,GM_RM011,14,gm011_waiting_object_stream,good,medium,8775.939,1059343,9611280,3.529,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
26,GM_RM011,15,gm011_waiting_object_stream,review_too_small,medium,8116.64,845525,7891233,1.598,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
27,GM_RM011,15,gm011_waiting_object_stream,review_multi_structure,medium,8775.939,889656,8607403,2.236,yes,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
28,GM_RM011,16,gm011_waiting_object_stream,review_too_small,medium,8116.64,917849,7996991,1.995,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
29,GM_RM011,16,gm011_waiting_object_stream,good,medium,8775.939,968797,8751300,2.194,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
30,GM_RM011,17,gm011_waiting_object_stream,review_multi_structure,medium,8763.282,936106,8105553,1.94,yes,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
31,GM_RM011,17,gm011_waiting_object_stream,review_too_small,medium,8116.64,889539,7840971,0.986,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
32,GM_RM011,17,gm011_waiting_object_stream,review_multi_structure,medium,8775.939,937584,8578499,1.208,yes,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
33,GM_RM011,18,gm011_waiting_object_stream,review_too_small,medium,8503.404,937245,8026239,3.642,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
34,GM_RM011,18,gm011_waiting_object_stream,review_multi_structure,medium,8775.939,952039,8622493,5.109,yes,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
35,GM_RM011,19,gm011_waiting_object_stream,good,medium,8796.528,1113708,9114576,1.223,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
36,GM_RM011,19,gm011_waiting_object_stream,review_too_small,medium,8503.404,1081507,8622046,3.875,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
37,GM_RM011,19,gm011_waiting_object_stream,good,medium,8775.939,1104816,9322050,3.806,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
38,GM_RM011,20,gm011_waiting_object_stream,review_too_small,medium,8503.404,1119674,8837168,3.961,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
39,GM_RM011,20,gm011_waiting_object_stream,good,medium,8775.939,1145697,9549873,3.233,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
40,GM_RM011,21,gm011_waiting_object_stream,good,medium,9243.762,1258206,9691886,5.864,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
41,GM_RM011,21,gm011_waiting_object_stream,review_too_small,medium,8503.404,1181715,9309750,4.57,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
42,GM_RM011,21,gm011_waiting_object_stream,good,medium,8775.939,1212798,10056896,3.627,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
43,GM_RM011,22,gm011_waiting_object_stream,review_too_small,medium,8503.404,1225066,9614267,4.263,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
44,GM_RM011,22,gm011_waiting_object_stream,good,medium,8775.939,1254876,10342302,3.316,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
45,GM_RM011,23,gm011_waiting_object_stream,review_too_small,medium,8266.563,1149839,9315515,2.785,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
46,GM_RM011,23,gm011_waiting_object_stream,review_too_small,medium,8503.404,1176996,9408986,3.837,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
47,GM_RM011,23,gm011_waiting_object_stream,good,medium,8775.939,1201053,10093607,3.429,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
48,GM_RM011,24,gm011_waiting_object_stream,review_too_small,medium,8503.404,977184,8552549,4.334,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
49,GM_RM011,24,gm011_waiting_object_stream,review_multi_structure,medium,8775.939,998563,9200945,3.526,yes,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
50,GM_RM011,25,gm011_waiting_object_stream,review_too_small,medium,8665.441,880311,8054481,5.304,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
51,GM_RM011,25,gm011_waiting_object_stream,review_too_small,medium,8503.404,865023,8048280,4.599,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
52,GM_RM011,25,gm011_waiting_object_stream,review_multi_structure,medium,8775.939,884330,8686914,3.749,yes,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
53,GM_RM011,26,gm011_waiting_object_stream,review_too_small,medium,8503.404,960562,8464459,3.872,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
54,GM_RM011,26,gm011_waiting_object_stream,review_too_small,medium,8253.885,937446,8847234,3.566,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
55,GM_RM011,27,gm011_waiting_object_stream,review_too_small,medium,8761.878,967153,8630214,4.677,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
56,GM_RM011,27,gm011_waiting_object_stream,review_too_small,medium,8116.64,912228,8521003,4.712,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
57,GM_RM011,28,gm011_waiting_object_stream,review_too_small,medium,8116.64,1000605,9182194,5.393,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
58,GM_RM011,29,gm011_waiting_object_stream,review_multi_structure,medium,8671.792,1095003,10000492,5.919,yes,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
59,GM_RM011,29,gm011_waiting_object_stream,review_too_small,medium,8116.64,1040729,9425809,5.18,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
60,GM_RM011,30,gm011_waiting_object_stream,review_too_small,medium,8116.64,1048915,9553785,4.861,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
61,GM_RM011,31,gm011_waiting_object_stream,review_multi_structure,medium,8518.4,1142367,10745446,6.081,yes,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
62,GM_RM011,31,gm011_waiting_object_stream,review_too_small,medium,8116.64,1102229,9892842,5.559,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
63,GM_RM011,32,gm011_waiting_object_stream,review_too_small,medium,8116.64,993180,9443733,5.8,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
64,GM_RM011,33,gm011_waiting_object_stream,review_too_small,medium,8116.64,809679,8668225,8.019,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
65,GM_RM011,34,gm011_waiting_object_stream,review_too_small,medium,8116.64,828556,8805140,7.588,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
66,GM_RM011,35,gm011_waiting_object_stream,good,medium,8629.205,1023048,10045843,5.859,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
67,GM_RM011,35,gm011_waiting_object_stream,review_too_small,medium,8116.64,976818,9640143,6.251,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
68,GM_RM011,36,gm011_waiting_object_stream,review_too_small,medium,8116.64,1130956,10232868,5.454,yes,uncertain,uncertain,no,yes,GT scale is in the lower tail; may only box a local scatterer.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
69,GM_RM011,58,gm011_waiting_object_stream,good,medium,9497.396,684292,7978023,12.035,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
70,GM_RM011,58,gm011_waiting_object_stream,review_multi_structure,medium,11707.074,768881,10385782,3.77,yes,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
71,GM_RM011,73,gm011_waiting_object_stream,good,medium,11856.368,1428400,14020428,5.113,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
72,GM_RM011,244,gm011_waiting_object_stream,good,medium,10169.874,1288497,11489902,3.545,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
73,GM_RM011,244,gm011_waiting_object_stream,good,medium,12180.969,1501521,11760865,3.339,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
74,GM_RM011,244,gm011_waiting_object_stream,good,medium,10252.049,1298495,10483862,9.817,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
75,GM_RM011,256,gm011_waiting_object_stream,good,medium,10100.231,1229095,10748920,2.892,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
76,GM_RM011,256,gm011_waiting_object_stream,good,medium,12923.271,1562270,12286965,3.855,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
77,GM_RM011,256,gm011_waiting_object_stream,good,medium,12020.126,1515176,11062454,6.782,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
78,GM_RM011,260,gm011_waiting_object_stream,good,medium,12410.279,1590844,13514164,2.843,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
79,GM_RM011,260,gm011_waiting_object_stream,good,medium,12451.637,1617645,14199657,1.172,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
80,GM_RM011,260,gm011_waiting_object_stream,good,medium,13268.629,1692967,13747967,6.051,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
81,GM_RM011,281,gm011_waiting_object_stream,good,medium,11281.82,1172388,12092896,3.734,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
82,GM_RM011,281,gm011_waiting_object_stream,good,medium,13054.351,1384349,11623292,7.713,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
83,GM_RM011,281,gm011_waiting_object_stream,good,medium,12451.506,1142108,12012999,5.333,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
84,GM_RM011,315,gm011_waiting_object_stream,good,medium,10014.655,1256635,11862156,6.374,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
85,GM_RM011,315,gm011_waiting_object_stream,good,medium,12051.908,1529513,14187893,3.141,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
86,GM_RM011,335,gm011_waiting_object_stream,review_too_large,medium,16195.296,1812292,19750170,6.99,yes,yes,uncertain,yes,yes,GT scale is in the upper tail; may include background or neighboring structure.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
87,GM_RM011,335,gm011_waiting_object_stream,good,medium,9203.805,1212272,10091536,7.907,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
88,GM_RM011,442,gm011_waiting_object_stream,good,medium,10656.697,1024455,8720509,20.485,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
89,GM_RM011,444,gm011_waiting_object_stream,good,medium,10263.336,1108247,9695279,22.049,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
90,GM_RM011,469,gm011_waiting_object_stream,good,medium,9924.262,980624,7285108,2.529,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
91,GM_RM011,506,gm011_waiting_object_stream,good,medium,10890.876,1686213,10127769,19.198,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
92,GM_RM011,506,gm011_waiting_object_stream,good,medium,10322.907,1174180,9774355,15.07,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
93,GM_RM011,510,gm011_waiting_object_stream,good,medium,11492.578,1458994,9213280,25.793,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
94,GM_RM011,510,gm011_waiting_object_stream,good,medium,9733.591,661588,7249251,15.359,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
95,GM_RM017,302,paired_215,review_low_energy,low,9361.215,424504,4415301,8.758,no,uncertain,uncertain,no,yes,GT crop is in the lower tail of display-grayscale energy mean; weak target or edge case.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
96,GM_RM017,302,sar_only,review_low_energy,low,11890.17,482837,8943282,2.228,no,uncertain,uncertain,no,yes,GT crop is in the lower tail of display-grayscale energy mean; weak target or edge case.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
97,GM_RM017,310,dropout_special,review_multi_structure,medium,10494.65,603055,6864663,3.077,no,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
98,GM_RM017,310,paired_215,review_extreme_aspect,medium,11193.994,720201,7934112,8.618,no,uncertain,uncertain,no,yes,GT aspect ratio is unusually high for this 442-row pool.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
99,GM_RM017,315,paired_215,review_multi_structure,medium,10109.478,526403,5038389,4.579,no,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
100,GM_RM017,315,paired_215,review_multi_structure,medium,10253.25,596425,5608706,10.498,no,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
101,GM_RM017,317,paired_215,review_multi_structure,medium,10283.695,705677,6023713,7.6,no,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
102,GM_RM017,317,paired_215,review_multi_structure,medium,11247.113,688992,7694009,5.778,yes,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
103,GM_RM017,319,paired_215,good,medium,10996.122,897769,7760269,4.993,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
104,GM_RM017,319,paired_215,review_multi_structure,medium,11162.654,977907,8250761,8.245,yes,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
105,GM_RM017,321,paired_215,review_multi_structure,medium,11504.514,926677,7014089,8.345,yes,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
106,GM_RM017,321,paired_215,review_multi_structure,medium,9772.327,742449,6627882,5.576,yes,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
107,GM_RM017,323,paired_215,review_multi_structure,medium,11703.348,914858,6765231,8.413,yes,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
108,GM_RM017,323,paired_215,review_multi_structure,medium,11084.944,811163,7983349,6.948,yes,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
109,GM_RM017,325,paired_215,good,medium,9941.269,954423,7380264,7.538,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
110,GM_RM017,325,paired_215,review_multi_structure,medium,13578.534,1182519,10886008,5.873,yes,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
111,GM_RM017,327,paired_215,good,medium,10595.127,936681,7011233,9.936,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
112,GM_RM017,327,paired_215,review_multi_structure,medium,11910.505,955535,9060450,7.128,yes,uncertain,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
113,GM_RM017,329,paired_215,good,medium,10224.909,686007,4682888,11.312,yes,uncertain,uncertain,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
114,GM_RM017,329,paired_215,review_multi_structure,medium,13114.591,763302,6844558,8.518,yes,yes,uncertain,yes,yes,Many internal components and competitive nearby context suggest possible multi-structure confusion.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
115,GM_RM017,330,paired_215,good,medium,10855.816,612668,5021417,12.339,yes,yes,yes,no,no,No fixed GT quality review trigger fired.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
116,GM_RM017,330,paired_215,review_low_energy,low,13056.295,627208,5724820,10.46,no,yes,uncertain,no,yes,GT crop is in the lower tail of display-grayscale energy mean; weak target or edge case.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
117,GM_RM017,331,paired_215,review_low_energy,low,12409.186,532046,4688198,11.166,no,yes,uncertain,no,yes,GT crop is in the lower tail of display-grayscale energy mean; weak target or edge case.,do not revise GT; do not output final box; do not use as selector; posthoc review candidate only
