hypothesis_id,case_id,composition_type,primitives_used,composition_rule_public,n_primitives,spatial_extent,range_extent,azimuth_extent,internal_consistency,peak_competition_context,temporal_support_available,compatible_with_optical_state,compatible_with_vehicle_physics,posthoc_gt_relation_validation_only,can_support_association,why_not_identity_truth,failure_mode,notes
COMP00011,PAIR_GM_RM017_o169_s353_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,azimuth_ridge;range_ridge;azimuth_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=26370;gt_box=w=163.024;h=75.935;heading=-3.000,130,29.3692,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00012,PAIR_GM_RM017_o171_s356_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,range_ridge;azimuth_ridge;azimuth_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=26541;gt_box=w=168.582;h=78.900;heading=177.000,130,29.4771,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00013,PAIR_GM_RM017_o171_s357_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,range_ridge;azimuth_ridge;azimuth_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=26541;gt_box=w=164.974;h=78.858;heading=-3.000,130,29.4771,medium_spread_structure,serious,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00014,PAIR_GM_RM017_o172_s358_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,range_ridge;azimuth_ridge;azimuth_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=26235;gt_box=w=158.573;h=77.666;heading=175.000,130,29.576,medium_spread_structure,serious,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00015,PAIR_GM_RM017_o172_s359_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,range_ridge;azimuth_ridge;azimuth_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=26235;gt_box=w=170.644;h=70.165;heading=-6.000,130,29.576,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00016,PAIR_GM_RM017_o173_s360_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,range_ridge;azimuth_ridge;azimuth_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=26748;gt_box=w=156.385;h=80.898;heading=176.000,130,29.716,medium_spread_structure,serious,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00017,PAIR_GM_RM017_o173_s361_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,range_ridge;azimuth_ridge;azimuth_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=26748;gt_box=w=176.842;h=72.626;heading=-3.000,130,29.716,medium_spread_structure,serious,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00018,PAIR_GM_RM017_o174_s362_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,range_ridge;azimuth_ridge;azimuth_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=26424;gt_box=w=154.000;h=82.580;heading=174.000,130,29.8117,medium_spread_structure,serious,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00019,PAIR_GM_RM017_o174_s363_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,range_ridge;range_ridge;azimuth_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=26424;gt_box=w=177.535;h=76.535;heading=355.000,130,29.8117,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00020,PAIR_GM_RM017_o175_s364_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,range_ridge;range_ridge;azimuth_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=26586;gt_box=w=179.718;h=78.669;heading=354.000,130,29.9655,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00021,PAIR_GM_RM017_o175_s365_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,range_ridge;range_ridge;azimuth_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=26649;gt_box=w=158.507;h=72.069;heading=176.000,130,29.9655,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00022,PAIR_GM_RM017_o176_s366_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,range_ridge;azimuth_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=26739;gt_box=w=182.942;h=84.323;heading=356.000,130,30.1618,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00023,PAIR_GM_RM017_o176_s367_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,range_ridge;azimuth_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=26739;gt_box=w=163.953;h=76.067;heading=176.000,130,30.1618,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00024,PAIR_GM_RM017_o177_s368_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,range_ridge;range_ridge;azimuth_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=26856;gt_box=w=173.768;h=81.323;heading=-6.000,130,30.2712,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00025,PAIR_GM_RM017_o177_s369_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,range_ridge;range_ridge;azimuth_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=26856;gt_box=w=162.832;h=77.058;heading=174.000,130,30.2712,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00026,PAIR_GM_RM017_o178_s370_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,range_ridge;azimuth_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=27018;gt_box=w=165.845;h=70.300;heading=-3.000,130,30.4475,medium_spread_structure,serious,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00027,PAIR_GM_RM017_o178_s371_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,range_ridge;azimuth_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=27018;gt_box=w=146.453;h=74.638;heading=175.000,130,30.4475,medium_spread_structure,serious,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00028,PAIR_GM_RM017_o179_s372_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,azimuth_ridge;range_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=27171;gt_box=w=173.242;h=75.242;heading=-3.000,130,30.6298,medium_spread_structure,serious,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00029,PAIR_GM_RM017_o179_s373_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,azimuth_ridge;range_ridge;azimuth_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=27171;gt_box=w=171.513;h=69.417;heading=175.000,130,30.6298,medium_spread_structure,serious,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00030,PAIR_GM_RM017_o180_s374_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,azimuth_ridge;range_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=27450;gt_box=w=175.232;h=73.526;heading=356.000,130,30.9385,medium_spread_structure,serious,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00031,PAIR_GM_RM017_o180_s375_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,azimuth_ridge;range_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=27450;gt_box=w=164.543;h=73.608;heading=176.000,130,30.9385,medium_spread_structure,serious,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00032,PAIR_GM_RM017_o180_s376_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,azimuth_ridge;range_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=27450;gt_box=w=166.123;h=72.297;heading=-3.000,130,30.9385,medium_spread_structure,serious,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00033,PAIR_GM_RM017_o181_s377_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,azimuth_ridge;azimuth_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=27567;gt_box=w=173.041;h=71.600;heading=175.000,130,31.083,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00034,PAIR_GM_RM017_o181_s378_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,azimuth_ridge;azimuth_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=27567;gt_box=w=162.935;h=66.155;heading=-3.000,130,31.083,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00035,PAIR_GM_RM017_o182_s379_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,range_ridge;azimuth_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=27711;gt_box=w=178.408;h=77.873;heading=175.000,130,31.2739,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00036,PAIR_GM_RM017_o182_s380_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,azimuth_ridge;azimuth_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=27711;gt_box=w=163.258;h=73.516;heading=-6.000,130,31.2739,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00037,PAIR_GM_RM017_o184_s383_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,azimuth_ridge;azimuth_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=28170;gt_box=w=180.207;h=84.467;heading=178.000,130,31.7585,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00038,PAIR_GM_RM017_o184_s384_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,azimuth_ridge;azimuth_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=28170;gt_box=w=151.387;h=77.506;heading=-3.000,130,31.7585,medium_spread_structure,serious,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00039,PAIR_GM_RM017_o186_s387_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,range_ridge;azimuth_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=28719;gt_box=w=173.387;h=73.197;heading=-3.000,130,32.3464,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00040,PAIR_GM_RM017_o186_s388_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,range_ridge;azimuth_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=28719;gt_box=w=193.223;h=82.873;heading=178.000,130,32.3464,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00041,PAIR_GM_RM017_o187_s389_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,range_ridge;azimuth_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=29034;gt_box=w=183.540;h=73.298;heading=-4.000,130,32.6979,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00042,PAIR_GM_RM017_o187_s390_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,azimuth_ridge;range_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=29034;gt_box=w=171.584;h=80.610;heading=,130,32.6979,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00043,PAIR_GM_RM017_o188_s391_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,range_ridge;azimuth_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=29277;gt_box=w=166.387;h=72.781;heading=-4.000,130,33.098,medium_spread_structure,serious,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00044,PAIR_GM_RM017_o188_s392_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,range_ridge;range_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=29169;gt_box=w=176.039;h=76.458;heading=-5.000,130,33.098,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00045,PAIR_GM_RM017_o189_s393_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,range_ridge;azimuth_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=28980;gt_box=w=187.400;h=70.497;heading=-4.000,130,32.5824,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00046,PAIR_GM_RM017_o189_s394_oty1t_obj_GM_RM017_bytetrack_bt_0010,range-spread body hypothesis,range_ridge;azimuth_ridge;range_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=28980;gt_box=w=159.875;h=73.453;heading=177.000,130,32.5824,medium_spread_structure,serious,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00047,PAIR_GM_RM017_o169_s352_oty1t_obj_GM_RM017_bytetrack_bt_0012,range-spread body hypothesis,azimuth_ridge;range_ridge;azimuth_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=27198;gt_box=w=168.105;h=78.146;heading=177.000,130,24.5975,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00048,PAIR_GM_RM017_o169_s353_oty1t_obj_GM_RM017_bytetrack_bt_0012,range-spread body hypothesis,azimuth_ridge;range_ridge;azimuth_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=27198;gt_box=w=156.742;h=76.129;heading=1.000,130,24.5975,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00049,PAIR_GM_RM017_o171_s356_oty1t_obj_GM_RM017_bytetrack_bt_0012,range-spread body hypothesis,range_ridge;azimuth_ridge;azimuth_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=27252;gt_box=w=162.667;h=73.198;heading=179.000,130,24.6571,medium_spread_structure,serious,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
COMP00050,PAIR_GM_RM017_o171_s357_oty1t_obj_GM_RM017_bytetrack_bt_0012,range-spread body hypothesis,range_ridge;azimuth_ridge;azimuth_ridge,radial primitive extent suggests body/ridge or sidelobe risk,3,support_area_px=27252;gt_box=w=162.681;h=71.577;heading=-3.000,130,24.6571,medium_spread_structure,not_serious_by_current_proxy,yes,yes,uncertain,gt_inside=true;topk_near=true,weak,object-time association still has wrong-object/wrong-frame confounding; this is not a final label,no_unique_structure_isolated,Composition hypothesis uses public structure rules and posthoc validation columns; no final box is emitted.
