stratum_type,stratum,feature,target,n_frames,n_objects,pearson,slope,median_feature,median_target,effect_direction,stability_label,limit_note
scene_x_vehicle_research_eligibility,GM_RM017|weak_vehicle_layer,bbox_height,sar_radius_px,138,3,-0.81,-2.83012,85.632,455.772,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,single_scene_stratum
scene_x_vehicle_research_eligibility,GM_RM017|weak_vehicle_layer,bbox_bottom_y_norm,sar_radius_px,138,3,-0.2707,-1325.649797,0.63745,455.772,weak_or_flat_relation,unstable_or_not_supported,single_scene_stratum
scene_x_vehicle_research_eligibility,GM_RM017|weak_vehicle_layer,bbox_aspect_ratio,sar_radius_px,138,3,-0.3405,-42.838785,2.4098,455.772,weak_or_flat_relation,unstable_or_not_supported,single_scene_stratum
scene_x_vehicle_research_eligibility,GM_RM019|blocked_vehicle_or_noise,bbox_area_ratio,sar_radius_px,1,1,,,0.044607,202.905,insufficient,insufficient_for_stability,single_scene_stratum
scene_x_vehicle_research_eligibility,GM_RM019|blocked_vehicle_or_noise,bbox_height,sar_radius_px,1,1,,,159.441711,202.905,insufficient,insufficient_for_stability,single_scene_stratum
scene_x_vehicle_research_eligibility,GM_RM019|blocked_vehicle_or_noise,bbox_bottom_y_norm,sar_radius_px,1,1,,,0.995,202.905,insufficient,insufficient_for_stability,single_scene_stratum
scene_x_vehicle_research_eligibility,GM_RM019|blocked_vehicle_or_noise,bbox_aspect_ratio,sar_radius_px,1,1,,,0.8422,202.905,insufficient,insufficient_for_stability,single_scene_stratum
scene_x_vehicle_research_eligibility,GM_RM019|review_only_vehicle,bbox_area_ratio,sar_radius_px,3,1,-0.9998,-61.19529,0.305568,138.554,negative_relation_larger_optical_feature_nearer_radius,insufficient_for_stability,single_scene_stratum
scene_x_vehicle_research_eligibility,GM_RM019|review_only_vehicle,bbox_height,sar_radius_px,3,1,-0.998,-0.263052,243.183014,138.554,negative_relation_larger_optical_feature_nearer_radius,insufficient_for_stability,single_scene_stratum
scene_x_vehicle_research_eligibility,GM_RM019|review_only_vehicle,bbox_bottom_y_norm,sar_radius_px,3,1,0.8814,19100,0.9994,138.554,positive_relation,insufficient_for_stability,single_scene_stratum
scene_x_vehicle_research_eligibility,GM_RM019|review_only_vehicle,bbox_aspect_ratio,sar_radius_px,3,1,-0.999,-17.896866,2.4802,138.554,negative_relation_larger_optical_feature_nearer_radius,insufficient_for_stability,single_scene_stratum
scene_x_vehicle_research_eligibility,GM_RM019|weak_vehicle_layer,bbox_area_ratio,sar_radius_px,12,3,-0.8317,-123.884857,0.127627,157.293,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,single_scene_stratum
scene_x_vehicle_research_eligibility,GM_RM019|weak_vehicle_layer,bbox_height,sar_radius_px,12,3,-0.7455,-0.284998,273.703397,157.293,negative_relation_larger_optical_feature_nearer_radius,moderate_posthoc_relation,single_scene_stratum
scene_x_vehicle_research_eligibility,GM_RM019|weak_vehicle_layer,bbox_bottom_y_norm,sar_radius_px,12,3,-0.6184,-359.638075,0.999,157.293,negative_relation_larger_optical_feature_nearer_radius,moderate_posthoc_relation,single_scene_stratum
scene_x_vehicle_research_eligibility,GM_RM019|weak_vehicle_layer,bbox_aspect_ratio,sar_radius_px,12,3,-0.6896,-24.696949,0.842,157.293,negative_relation_larger_optical_feature_nearer_radius,moderate_posthoc_relation,single_scene_stratum
object,GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0008,bbox_area_ratio,sar_radius_px,61,1,-0.8375,-1565.667574,0.054684,335.992,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0008,bbox_height,sar_radius_px,61,1,-0.1306,-0.525723,100.916748,335.992,weak_or_flat_relation,unstable_or_not_supported,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0008,bbox_bottom_y_norm,sar_radius_px,61,1,-0.244,-609.900501,0.6693,335.992,weak_or_flat_relation,unstable_or_not_supported,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0008,bbox_aspect_ratio,sar_radius_px,61,1,-0.8516,-35.082268,2.8009,335.992,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0010,bbox_area_ratio,sar_radius_px,75,1,-0.8914,-3396.599779,0.044711,408.111,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0010,bbox_height,sar_radius_px,75,1,-0.8116,-3.200684,96.614868,408.111,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0010,bbox_bottom_y_norm,sar_radius_px,75,1,-0.0344,-125.692186,0.6441,408.111,weak_or_flat_relation,unstable_or_not_supported,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0010,bbox_aspect_ratio,sar_radius_px,75,1,-0.8859,-109.046579,2.3792,408.111,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0012,bbox_area_ratio,sar_radius_px,60,1,-0.9259,-7255.979911,0.023373,495.474,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0012,bbox_height,sar_radius_px,60,1,-0.7228,-7.204938,66.235726,495.474,negative_relation_larger_optical_feature_nearer_radius,moderate_posthoc_relation,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0012,bbox_bottom_y_norm,sar_radius_px,60,1,0.19,1357.860024,0.63485,495.474,weak_or_flat_relation,unstable_or_not_supported,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0012,bbox_aspect_ratio,sar_radius_px,60,1,-0.8464,-83.955264,2.64275,495.474,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0014,bbox_area_ratio,sar_radius_px,3,1,0.9994,618552.071073,0.0057,402.758,positive_relation,strong_posthoc_relation,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0014,bbox_height,sar_radius_px,3,1,-0.9995,-19.629859,56.284,402.758,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0014,bbox_bottom_y_norm,sar_radius_px,3,1,-0.9995,-4438.670886,0.6249,402.758,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM017|oty1t_obj_GM_RM017_bytetrack_bt_0014,bbox_aspect_ratio,sar_radius_px,3,1,0.9995,446.125954,0.8635,402.758,positive_relation,strong_posthoc_relation,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0001,bbox_area_ratio,sar_radius_px,3,1,-0.9998,-61.19529,0.305568,138.554,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0001,bbox_height,sar_radius_px,3,1,-0.998,-0.263052,243.183014,138.554,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0001,bbox_bottom_y_norm,sar_radius_px,3,1,0.8814,19100,0.9994,138.554,positive_relation,strong_posthoc_relation,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0001,bbox_aspect_ratio,sar_radius_px,3,1,-0.999,-17.896866,2.4802,138.554,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0005,bbox_area_ratio,sar_radius_px,4,1,-0.9612,-144.91656,0.173046,162.459,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0005,bbox_height,sar_radius_px,4,1,-0.2922,-0.133304,256.012756,162.459,weak_or_flat_relation,unstable_or_not_supported,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0005,bbox_bottom_y_norm,sar_radius_px,4,1,-0.6535,-10135.306122,0.9993,162.459,negative_relation_larger_optical_feature_nearer_radius,moderate_posthoc_relation,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0005,bbox_aspect_ratio,sar_radius_px,4,1,-0.9552,-20.493162,1.09855,162.459,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0009,bbox_area_ratio,sar_radius_px,1,1,,,0.044607,202.905,insufficient,insufficient_for_stability,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0009,bbox_height,sar_radius_px,1,1,,,159.441711,202.905,insufficient,insufficient_for_stability,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0009,bbox_bottom_y_norm,sar_radius_px,1,1,,,0.995,202.905,insufficient,insufficient_for_stability,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0009,bbox_aspect_ratio,sar_radius_px,1,1,,,0.8422,202.905,insufficient,insufficient_for_stability,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0080,bbox_area_ratio,sar_radius_px,6,1,-0.8633,-132.699828,0.193566,149.361,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0080,bbox_height,sar_radius_px,6,1,-0.7922,-0.308575,275.315414,149.361,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0080,bbox_bottom_y_norm,sar_radius_px,6,1,-0.7715,-433.897081,0.999,149.361,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0080,bbox_aspect_ratio,sar_radius_px,6,1,-0.88,-41.679872,0.9682,149.361,negative_relation_larger_optical_feature_nearer_radius,strong_posthoc_relation,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0098,bbox_area_ratio,sar_radius_px,2,1,,-323.333623,0.106333,155.692,insufficient,insufficient_for_stability,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0098,bbox_height,sar_radius_px,2,1,,-1.131923,292.11438,155.692,insufficient,insufficient_for_stability,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0098,bbox_bottom_y_norm,sar_radius_px,2,1,,-519.357143,0.9783,155.692,insufficient,insufficient_for_stability,"object-level frame repeats; useful for trend check, not independent sample count"
object,GM_RM019|oty1t_obj_GM_RM019_bytetrack_bt_0098,bbox_aspect_ratio,sar_radius_px,2,1,,-72.56487,0.597,155.692,insufficient,insufficient_for_stability,"object-level frame repeats; useful for trend check, not independent sample count"
