triage_id,triage_line,source_mode_name,bucket,state_condition,control_support_type,control_variant_group,n_rows,topk_contains_near_gt_rate_posthoc,top1_near_gt_rate_posthoc,gt_inside_support_rate_posthoc,reference_true_topk_rate_posthoc,delta_vs_true_rate_posthoc,median_best_topk_distance_to_gt_px_posthoc,median_peak_background_ratio,median_support_area_px,median_support_overlap_iou_proxy,median_support_intersection_ratio_vs_true,scatter_cluster_type_mix,temporal_stability_label_mix,interpretation,provenance_labels
TR0022,azimuth_shift_confounder,state_conditioned_range_band,medium_overlap_0p25_0p75,all_states,azimuth_shifted_support,negative_shift:10deg,131,0.7405,0.6412,0.8855,0.8977,-0.1572,31.393,1.77,28080,0.4946,0.6619,azimuth_spread_cluster=95;range_spread_cluster=21;diffuse_clutter=9;compact_cluster=3;multi_peak_nearby_cluster=3,stable_cluster_tube=125;diffuse_or_unstable_cluster_tube=5;insufficient_temporal_samples=1,high shifted result is largely explained by remaining azimuth overlap / wide sector margin,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0023,azimuth_shift_confounder,state_conditioned_range_band,low_overlap_lt_0p25,all_states,azimuth_shifted_support,negative_shift:20deg,31,0.6774,0.5484,0,0.8977,-0.2203,67.063,1.36,27576,0.1111,0.2,azimuth_spread_cluster=19;diffuse_clutter=6;multi_peak_nearby_cluster=4;compact_cluster=1;range_spread_cluster=1,stable_cluster_tube=26;diffuse_or_unstable_cluster_tube=4;insufficient_temporal_samples=1,large-shift support remains high; current azimuth gate is weak or SAR clutter generalizes across sector,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0024,azimuth_shift_confounder,state_conditioned_range_band,medium_overlap_0p25_0p75,all_states,azimuth_shifted_support,negative_shift:20deg,180,0.6111,0.4,0.45,0.8977,-0.2866,68.422,1.8341,101340,0.3087,0.4718,azimuth_spread_cluster=101;range_spread_cluster=46;diffuse_clutter=24;multi_peak_nearby_cluster=8;compact_cluster=1,stable_cluster_tube=171;diffuse_or_unstable_cluster_tube=9,large-shift support remains high; current azimuth gate is weak or SAR clutter generalizes across sector,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0025,azimuth_shift_confounder,state_conditioned_range_band,no_overlap,all_states,azimuth_shifted_support,negative_shift:20deg,4,0,0,0,0.8977,-0.8977,225.245,1.1721,16340,0,0,diffuse_clutter=2;multi_peak_nearby_cluster=1;azimuth_spread_cluster=1,stable_cluster_tube=4,shifted support drops; azimuth gate has discriminative value at this magnitude,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0026,azimuth_shift_confounder,state_conditioned_range_band,high_overlap_ge_0p75,all_states,azimuth_shifted_support,positive_shift:10deg,84,0.8214,0.4643,0.8929,0.8977,-0.0762,53.376,1.7513,137758,0.6558,0.7921,azimuth_spread_cluster=41;multi_peak_nearby_cluster=23;diffuse_clutter=18;range_spread_cluster=2,stable_cluster_tube=76;diffuse_or_unstable_cluster_tube=8,high shifted result is largely explained by remaining azimuth overlap / wide sector margin,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0027,azimuth_shift_confounder,state_conditioned_range_band,medium_overlap_0p25_0p75,all_states,azimuth_shifted_support,positive_shift:10deg,131,0.8855,0.7557,0.916,0.8977,-0.0122,32.249,1.6972,28116,0.4946,0.6619,azimuth_spread_cluster=103;range_spread_cluster=18;diffuse_clutter=6;multi_peak_nearby_cluster=3;compact_cluster=1,stable_cluster_tube=125;diffuse_or_unstable_cluster_tube=5;insufficient_temporal_samples=1,high shifted result is largely explained by remaining azimuth overlap / wide sector margin,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0028,azimuth_shift_confounder,state_conditioned_range_band,low_overlap_lt_0p25,all_states,azimuth_shifted_support,positive_shift:20deg,31,0.6129,0.4516,0,0.8977,-0.2848,101.607,1.4259,27594,0.1111,0.2,azimuth_spread_cluster=23;multi_peak_nearby_cluster=4;range_spread_cluster=3;diffuse_clutter=1,stable_cluster_tube=26;diffuse_or_unstable_cluster_tube=3;jumping_peak=1;insufficient_temporal_samples=1,large-shift support remains high; current azimuth gate is weak or SAR clutter generalizes across sector,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0029,azimuth_shift_confounder,state_conditioned_range_band,medium_overlap_0p25_0p75,all_states,azimuth_shifted_support,positive_shift:20deg,180,0.6611,0.4444,0.4167,0.8977,-0.2366,63.328,1.7377,101385,0.3087,0.4718,azimuth_spread_cluster=116;range_spread_cluster=37;diffuse_clutter=14;multi_peak_nearby_cluster=13,stable_cluster_tube=174;jumping_peak=3;diffuse_or_unstable_cluster_tube=3,large-shift support remains high; current azimuth gate is weak or SAR clutter generalizes across sector,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0030,azimuth_shift_confounder,state_conditioned_range_band,no_overlap,all_states,azimuth_shifted_support,positive_shift:20deg,4,1,0.5,0,0.8977,0.1023,100.149,1.2369,16348,0,0,azimuth_spread_cluster=3;compact_cluster=1,stable_cluster_tube=4,large-shift support remains high; current azimuth gate is weak or SAR clutter generalizes across sector,runtime_safe_geometry_or_vehicle_physics;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0031,range_shift_confounder,state_conditioned_range_band,negative_shift,ambiguous_or_review_only,range_shifted_support,negative_shift,37,0.0541,0.0541,0.973,0.9189,-0.8649,294.541,2.0563,74547,,,azimuth_spread_cluster=27;weak_no_structure=10,stable_cluster_tube=37,range shift strongly suppresses GT-near top-k; range/state is the strongest current discriminative axis,runtime_safe_optical_evidence;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0032,range_shift_confounder,state_conditioned_range_band,positive_shift,ambiguous_or_review_only,range_shifted_support,positive_shift,37,0,0,0,0.9189,-0.9189,539.414,1.2895,362052,,,diffuse_clutter=37,diffuse_or_unstable_cluster_tube=34;stable_cluster_tube=3,range shift strongly suppresses GT-near top-k; range/state is the strongest current discriminative axis,runtime_safe_optical_evidence;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0033,range_shift_confounder,state_conditioned_range_band,negative_shift,complete,range_shifted_support,negative_shift,103,0.0971,0.0583,0.0485,0.8932,-0.7961,159.263,0.9252,14904,,,azimuth_spread_cluster=94;compact_cluster=5;multi_peak_nearby_cluster=4,stable_cluster_tube=102;insufficient_temporal_samples=1,range shift strongly suppresses GT-near top-k; range/state is the strongest current discriminative axis,runtime_safe_optical_evidence;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0034,range_shift_confounder,state_conditioned_range_band,positive_shift,complete,range_shifted_support,positive_shift,103,0.0583,0,0,0.8932,-0.835,173.562,1.7341,39915,,,azimuth_spread_cluster=80;diffuse_clutter=13;multi_peak_nearby_cluster=9;compact_cluster=1,diffuse_or_unstable_cluster_tube=50;stable_cluster_tube=46;jumping_peak=6;insufficient_temporal_samples=1,range shift strongly suppresses GT-near top-k; range/state is the strongest current discriminative axis,runtime_safe_optical_evidence;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0035,range_shift_confounder,state_conditioned_range_band,negative_shift,duplicate_or_handoff,range_shifted_support,negative_shift,17,0,0,0.5882,0.6471,-0.6471,373.475,2.1997,95076,,,azimuth_spread_cluster=15;weak_no_structure=2,stable_cluster_tube=17,range shift strongly suppresses GT-near top-k; range/state is the strongest current discriminative axis,runtime_safe_optical_evidence;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0036,range_shift_confounder,state_conditioned_range_band,positive_shift,duplicate_or_handoff,range_shifted_support,positive_shift,17,0,0,0,0.6471,-0.6471,565.843,1.6999,442836,,,diffuse_clutter=15;azimuth_spread_cluster=1;weak_no_structure=1,diffuse_or_unstable_cluster_tube=15;stable_cluster_tube=2,range shift strongly suppresses GT-near top-k; range/state is the strongest current discriminative axis,runtime_safe_optical_evidence;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0037,range_shift_confounder,state_conditioned_range_band,negative_shift,edge_or_truncated,range_shifted_support,negative_shift,58,0,0,0.2241,0.9655,-0.9655,411.752,2.159,44172,,,azimuth_spread_cluster=35;weak_no_structure=23,stable_cluster_tube=58,range shift strongly suppresses GT-near top-k; range/state is the strongest current discriminative axis,runtime_safe_optical_evidence;SAR_GT_posthoc_evidence;hypothesis_to_validate
TR0038,range_shift_confounder,state_conditioned_range_band,positive_shift,edge_or_truncated,range_shifted_support,positive_shift,58,0,0,0,0.9655,-0.9655,378.163,1.5944,239040,,,diffuse_clutter=58,diffuse_or_unstable_cluster_tube=41;stable_cluster_tube=17,range shift strongly suppresses GT-near top-k; range/state is the strongest current discriminative axis,runtime_safe_optical_evidence;SAR_GT_posthoc_evidence;hypothesis_to_validate
