tube_id,case_id,frame_window,linked_primitives_or_components,tube_type,persistence_length,centroid_drift,range_drift,azimuth_drift,extent_stability,intensity_stability,compatible_with_optical_motion,supports_existence_only,supports_association_weakly,confounded_by_wrong_frame,failure_mode,notes
TUBE0011,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0001,0-8,range_spread_cluster=3,diffuse or fragmented tube,,377.997,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0,uncertain_needs_motion_gate,no,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0012,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0005,27-81,range_spread_cluster=4,jumping peak tube,,185.161,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0.3333,uncertain_needs_motion_gate,no,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0013,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0009,27-27,range_spread_cluster=1,diffuse or fragmented tube,,,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0,uncertain_needs_motion_gate,no,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0014,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0080,212-290,range_spread_cluster=6,jumping peak tube,,182.08,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0.4,uncertain_needs_motion_gate,no,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0015,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0098,315-317,range_spread_cluster=2,vehicle-like drifting tube candidate,,1.418,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,1,uncertain_needs_motion_gate,no,yes,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0016,PAIR_GM_RM017_oopt_sframe_oty1t_obj_GM_RM017_bytetrack_bt_0010,343-394,azimuth_spread_cluster=46,vehicle-like drifting tube candidate,,13.473,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,1,uncertain_needs_motion_gate,no,yes,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0017,PAIR_GM_RM017_oopt_sframe_oty1t_obj_GM_RM017_bytetrack_bt_0012,352-438,azimuth_spread_cluster=43,vehicle-like drifting tube candidate,,18.533,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0.9762,uncertain_needs_motion_gate,no,yes,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0018,PAIR_GM_RM017_oopt_sframe_oty1t_obj_GM_RM017_bytetrack_bt_0014,383-442,compact_cluster=2;azimuth_spread_cluster=1,vehicle-like drifting tube candidate,,26.714,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,1,uncertain_needs_motion_gate,no,yes,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0019,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0005,27-81,azimuth_spread_cluster=3;range_spread_cluster=1,vehicle-like drifting tube candidate,,46.299,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,1,uncertain_needs_motion_gate,no,yes,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0020,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0009,27-27,azimuth_spread_cluster=1,diffuse or fragmented tube,,,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0,uncertain_needs_motion_gate,no,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0021,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0080,212-290,azimuth_spread_cluster=5;diffuse_clutter=1,diffuse or fragmented tube,,79.263,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0.6,uncertain_needs_motion_gate,no,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0022,PAIR_GM_RM017_oopt_sframe_oty1t_obj_GM_RM017_bytetrack_bt_0008,302-380,azimuth_spread_cluster=48;multi_peak_nearby_cluster=7;diffuse_clutter=5;range_spread_cluster=1,stable background tube risk,,33.646,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0.9,uncertain_needs_motion_gate,no,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0023,PAIR_GM_RM017_oopt_sframe_oty1t_obj_GM_RM017_bytetrack_bt_0010,315-394,azimuth_spread_cluster=53;range_spread_cluster=14;multi_peak_nearby_cluster=6;diffuse_clutter=2,stable background tube risk,,30.496,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0.9459,uncertain_needs_motion_gate,no,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0024,PAIR_GM_RM017_oopt_sframe_oty1t_obj_GM_RM017_bytetrack_bt_0012,337-438,azimuth_spread_cluster=43;range_spread_cluster=12;multi_peak_nearby_cluster=3;diffuse_clutter=2,stable background tube risk,,27.036,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0.9322,uncertain_needs_motion_gate,no,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0025,PAIR_GM_RM017_oopt_sframe_oty1t_obj_GM_RM017_bytetrack_bt_0014,383-442,azimuth_spread_cluster=2;compact_cluster=1,diffuse or fragmented tube,,89.48,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0.5,uncertain_needs_motion_gate,no,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0026,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0001,0-8,azimuth_spread_cluster=3,vehicle-like drifting tube candidate,,3.226,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,1,uncertain_needs_motion_gate,no,yes,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0027,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0005,27-81,azimuth_spread_cluster=4,vehicle-like drifting tube candidate,,39.632,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,1,uncertain_needs_motion_gate,no,yes,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0028,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0080,212-290,azimuth_spread_cluster=6,vehicle-like drifting tube candidate,,42.267,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,1,uncertain_needs_motion_gate,no,yes,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0029,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0098,315-317,azimuth_spread_cluster=2,vehicle-like drifting tube candidate,,2.129,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,1,uncertain_needs_motion_gate,no,yes,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0030,PAIR_GM_RM017_oopt_sframe_oty1t_obj_GM_RM017_bytetrack_bt_0008,302-380,azimuth_spread_cluster=35;multi_peak_nearby_cluster=13;diffuse_clutter=11;range_spread_cluster=2,stable background tube risk,,35.395,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0.9667,uncertain_needs_motion_gate,no,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0031,PAIR_GM_RM017_oopt_sframe_oty1t_obj_GM_RM017_bytetrack_bt_0010,315-394,azimuth_spread_cluster=55;range_spread_cluster=14;multi_peak_nearby_cluster=4;diffuse_clutter=2,stable background tube risk,,28.125,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0.973,uncertain_needs_motion_gate,no,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0032,PAIR_GM_RM017_oopt_sframe_oty1t_obj_GM_RM017_bytetrack_bt_0012,337-438,azimuth_spread_cluster=44;diffuse_clutter=8;multi_peak_nearby_cluster=6;range_spread_cluster=2,stable background tube risk,,26.718,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0.9492,uncertain_needs_motion_gate,no,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0033,PAIR_GM_RM017_oopt_sframe_oty1t_obj_GM_RM017_bytetrack_bt_0014,383-442,compact_cluster=2;azimuth_spread_cluster=1,vehicle-like drifting tube candidate,,29.303,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,1,uncertain_needs_motion_gate,no,yes,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0034,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0001,0-8,azimuth_spread_cluster=3,vehicle-like drifting tube candidate,,3.226,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,1,uncertain_needs_motion_gate,no,yes,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0035,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0005,27-81,multi_peak_nearby_cluster=2;compact_cluster=1;azimuth_spread_cluster=1,vehicle-like drifting tube candidate,,5.628,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,1,uncertain_needs_motion_gate,no,yes,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0036,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0009,27-27,multi_peak_nearby_cluster=1,diffuse or fragmented tube,,,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0,uncertain_needs_motion_gate,no,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0037,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0080,212-290,azimuth_spread_cluster=5;multi_peak_nearby_cluster=1,vehicle-like drifting tube candidate,,4.549,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,1,uncertain_needs_motion_gate,no,yes,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0038,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0098,315-317,azimuth_spread_cluster=2,vehicle-like drifting tube candidate,,2.129,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,1,uncertain_needs_motion_gate,no,yes,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0039,PAIR_GM_RM017_oopt_sframe_oty1t_obj_GM_RM017_bytetrack_bt_0008_oty1t_obj_GM_RM017_bytetrack_bt_0010,310-386,azimuth_spread_cluster=4;weak_no_structure=1,dropout_existence_tube,,4.731,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,1,uncertain_needs_motion_gate,yes,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0040,PAIR_GM_RM017_oopt_sframe_oty1t_obj_GM_RM017_bytetrack_bt_0012_oty1t_obj_GM_RM017_bytetrack_bt_0014,446-446,azimuth_spread_cluster=1,dropout_existence_tube,,,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0,uncertain_needs_motion_gate,yes,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0041,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0005,8-88,azimuth_spread_cluster=2,dropout_existence_tube,,13.515,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,1,uncertain_needs_motion_gate,yes,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0042,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0080,202-202,weak_no_structure=1,dropout_existence_tube,,,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0,uncertain_needs_motion_gate,yes,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0043,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0098,306-354,azimuth_spread_cluster=2,dropout_existence_tube,,6.57,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,1,uncertain_needs_motion_gate,yes,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0044,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0098_oty1t_obj_GM_RM019_bytetrack_bt_0111,350-350,azimuth_spread_cluster=1,dropout_existence_tube,,,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0,uncertain_needs_motion_gate,yes,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0045,PAIR_GM_RM017_oopt_sframe_oty1t_obj_GM_RM017_bytetrack_bt_0008,302-380,azimuth_spread_cluster=38;multi_peak_nearby_cluster=12;diffuse_clutter=10;range_spread_cluster=1,stable background tube risk,,34.883,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0.9833,uncertain_needs_motion_gate,no,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0046,PAIR_GM_RM017_oopt_sframe_oty1t_obj_GM_RM017_bytetrack_bt_0010,315-394,azimuth_spread_cluster=55;range_spread_cluster=14;multi_peak_nearby_cluster=3;diffuse_clutter=3,stable background tube risk,,28.908,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0.9459,uncertain_needs_motion_gate,no,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0047,PAIR_GM_RM017_oopt_sframe_oty1t_obj_GM_RM017_bytetrack_bt_0012,337-438,azimuth_spread_cluster=44;diffuse_clutter=9;multi_peak_nearby_cluster=5;range_spread_cluster=2,stable background tube risk,,24.267,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0.9322,uncertain_needs_motion_gate,no,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0048,PAIR_GM_RM017_oopt_sframe_oty1t_obj_GM_RM017_bytetrack_bt_0014,383-442,compact_cluster=2;azimuth_spread_cluster=1,vehicle-like drifting tube candidate,,28.52,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,1,uncertain_needs_motion_gate,no,yes,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0049,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0001,0-8,diffuse_clutter=3,diffuse or fragmented tube,,78.368,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,1,uncertain_needs_motion_gate,no,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0050,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0005,27-81,diffuse_clutter=3;range_spread_cluster=1,diffuse or fragmented tube,,102.661,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0.3333,uncertain_needs_motion_gate,no,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0051,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0009,27-27,azimuth_spread_cluster=1,diffuse or fragmented tube,,,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0,uncertain_needs_motion_gate,no,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0052,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0080,212-290,range_spread_cluster=3;diffuse_clutter=3,diffuse or fragmented tube,,92.863,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,0.4,uncertain_needs_motion_gate,no,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
TUBE0053,PAIR_GM_RM019_oopt_sframe_oty1t_obj_GM_RM019_bytetrack_bt_0098,315-317,diffuse_clutter=2,stable background tube risk,,32.126,not_available_in_existing_temporal_probe,not_available_in_existing_temporal_probe,partial_not_available_in_existing_temporal_probe,1,uncertain_needs_motion_gate,no,no,yes,wrong_frame_persistence_risk,Temporal persistence is split from identity association; dropout rows remain existence support only.
