case_id,part_relation_type,part_a_type,part_b_type,spatial_relation,distance_px,relative_to_gt_scale,supports_shell_grammar,failure_reason,physical_interpretation,notes
GTREF_GM_RM011_s2_336,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,yes,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s2_5,left_right_endpoint_relation,endpoint_hotspot,endpoint_or_corner_part,aligned,,uncertain,yes,,Endpoint/corner parts can close the long-axis vehicle extent.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s2_5,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,uncertain,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s2_5,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,disconnected,,uncertain,uncertain,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s2_5,range_spread_to_body_core,range_spread,body_core,enclosed,,uncertain,uncertain,range spread may be motion or environment induced,Range spread must retain a core before it can support a vehicle shell.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s2_5,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,uncertain,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s3_6,left_right_endpoint_relation,endpoint_hotspot,endpoint_or_corner_part,aligned,,yes,yes,,Endpoint/corner parts can close the long-axis vehicle extent.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s3_6,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,yes,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s3_6,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,disconnected,,yes,yes,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s3_6,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,yes,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s3_7,left_right_endpoint_relation,endpoint_hotspot,endpoint_or_corner_part,aligned,,yes,yes,,Endpoint/corner parts can close the long-axis vehicle extent.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s3_7,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,yes,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s3_7,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,disconnected,,yes,yes,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s3_7,range_spread_to_body_core,range_spread,body_core,enclosed,,yes,uncertain,range spread may be motion or environment induced,Range spread must retain a core before it can support a vehicle shell.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s3_7,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,yes,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s4_8,left_right_endpoint_relation,endpoint_hotspot,endpoint_or_corner_part,aligned,,yes,yes,,Endpoint/corner parts can close the long-axis vehicle extent.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s4_8,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,yes,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s4_8,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,enclosed,,yes,yes,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s4_8,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,yes,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s4_9,left_right_endpoint_relation,endpoint_hotspot,endpoint_or_corner_part,aligned,,yes,yes,,Endpoint/corner parts can close the long-axis vehicle extent.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s4_9,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,yes,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s4_9,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,enclosed,,yes,yes,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s4_9,range_spread_to_body_core,range_spread,body_core,enclosed,,yes,uncertain,range spread may be motion or environment induced,Range spread must retain a core before it can support a vehicle shell.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s4_9,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,yes,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s5_10,left_right_endpoint_relation,endpoint_hotspot,endpoint_or_corner_part,aligned,,uncertain,yes,,Endpoint/corner parts can close the long-axis vehicle extent.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s5_10,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,uncertain,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s5_10,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,disconnected,,uncertain,uncertain,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s5_10,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,uncertain,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s5_11,left_right_endpoint_relation,endpoint_hotspot,endpoint_or_corner_part,aligned,,yes,yes,,Endpoint/corner parts can close the long-axis vehicle extent.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s5_11,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,yes,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s5_11,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,enclosed,,yes,yes,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s5_11,range_spread_to_body_core,range_spread,body_core,enclosed,,yes,uncertain,range spread may be motion or environment induced,Range spread must retain a core before it can support a vehicle shell.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s5_11,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,yes,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s6_12,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,uncertain,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s6_12,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,enclosed,,uncertain,yes,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s6_12,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,uncertain,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s6_13,left_right_endpoint_relation,endpoint_hotspot,endpoint_or_corner_part,aligned,,yes,yes,,Endpoint/corner parts can close the long-axis vehicle extent.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s6_13,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,yes,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s6_13,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,disconnected,,yes,yes,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s6_13,range_spread_to_body_core,range_spread,body_core,enclosed,,yes,uncertain,range spread may be motion or environment induced,Range spread must retain a core before it can support a vehicle shell.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s6_13,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,yes,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s7_14,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,yes,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s7_14,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,disconnected,,yes,yes,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s7_14,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,yes,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s7_15,left_right_endpoint_relation,endpoint_hotspot,endpoint_or_corner_part,aligned,,yes,yes,,Endpoint/corner parts can close the long-axis vehicle extent.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s7_15,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,yes,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s7_15,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,enclosed,,yes,yes,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s7_15,range_spread_to_body_core,range_spread,body_core,enclosed,,yes,uncertain,range spread may be motion or environment induced,Range spread must retain a core before it can support a vehicle shell.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s7_15,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,yes,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s8_16,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,yes,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s8_16,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,enclosed,,yes,yes,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s8_16,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,yes,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s9_17,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,uncertain,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s10_18,side_ridge_to_endpoint_hotspot,side_ridge,endpoint_hotspot,endpoint_attached,,uncertain,yes,,Strong side strip is supported by endpoint/corner return.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s10_18,dominant_side_ridge_to_far_side_weak_return,dominant_side_ridge,far_side_weak_return,opposite_side,,uncertain,yes,,Dominant side can be stronger while the opposite side remains weak or ambiguous.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s10_18,left_right_endpoint_relation,endpoint_hotspot,endpoint_or_corner_part,aligned,,uncertain,yes,,Endpoint/corner parts can close the long-axis vehicle extent.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s10_18,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,uncertain,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s10_18,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,disconnected,,uncertain,uncertain,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s10_18,range_spread_to_body_core,range_spread,body_core,enclosed,,uncertain,uncertain,range spread may be motion or environment induced,Range spread must retain a core before it can support a vehicle shell.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s10_18,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,uncertain,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s11_19,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,uncertain,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s11_19,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,disconnected,,uncertain,uncertain,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s11_19,range_spread_to_body_core,range_spread,body_core,enclosed,,uncertain,uncertain,range spread may be motion or environment induced,Range spread must retain a core before it can support a vehicle shell.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s11_19,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,uncertain,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s12_20,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,uncertain,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s12_20,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,disconnected,,uncertain,uncertain,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s12_20,range_spread_to_body_core,range_spread,body_core,enclosed,,uncertain,uncertain,range spread may be motion or environment induced,Range spread must retain a core before it can support a vehicle shell.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s12_20,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,uncertain,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s12_21,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,uncertain,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s12_21,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,disconnected,,uncertain,uncertain,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s12_21,range_spread_to_body_core,range_spread,body_core,enclosed,,uncertain,uncertain,range spread may be motion or environment induced,Range spread must retain a core before it can support a vehicle shell.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s12_21,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,uncertain,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s13_22,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,uncertain,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s13_22,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,enclosed,,uncertain,yes,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s13_22,range_spread_to_body_core,range_spread,body_core,enclosed,,uncertain,uncertain,range spread may be motion or environment induced,Range spread must retain a core before it can support a vehicle shell.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s13_22,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,uncertain,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s13_23,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,yes,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s13_23,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,enclosed,,yes,yes,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s13_23,range_spread_to_body_core,range_spread,body_core,enclosed,,yes,uncertain,range spread may be motion or environment induced,Range spread must retain a core before it can support a vehicle shell.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s13_23,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,yes,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s14_24,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,uncertain,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s14_24,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,enclosed,,uncertain,yes,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s14_24,range_spread_to_body_core,range_spread,body_core,enclosed,,uncertain,uncertain,range spread may be motion or environment induced,Range spread must retain a core before it can support a vehicle shell.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s14_24,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,uncertain,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s14_25,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,yes,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s14_25,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,enclosed,,yes,yes,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s14_25,range_spread_to_body_core,range_spread,body_core,enclosed,,yes,uncertain,range spread may be motion or environment induced,Range spread must retain a core before it can support a vehicle shell.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s14_25,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,yes,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s15_26,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,uncertain,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s15_26,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,enclosed,,uncertain,yes,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s15_26,range_spread_to_body_core,range_spread,body_core,enclosed,,uncertain,uncertain,range spread may be motion or environment induced,Range spread must retain a core before it can support a vehicle shell.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s15_26,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,uncertain,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s15_27,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,yes,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s15_27,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,enclosed,,yes,yes,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s15_27,range_spread_to_body_core,range_spread,body_core,enclosed,,yes,uncertain,range spread may be motion or environment induced,Range spread must retain a core before it can support a vehicle shell.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s15_27,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,yes,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s16_28,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,uncertain,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s16_28,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,disconnected,,uncertain,uncertain,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s16_28,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,uncertain,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s16_29,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,yes,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s16_29,discontinuous_edge_to_shell_completion,discontinuous_edge,shell_completion,disconnected,,yes,yes,,Broken edges can still complete a vehicle-scale shell hypothesis.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s16_29,range_spread_to_body_core,range_spread,body_core,enclosed,,yes,uncertain,range spread may be motion or environment induced,Range spread must retain a core before it can support a vehicle shell.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s16_29,near_field_spread_to_strong_side_response,near_field_spread,strong_side_response,aligned,,yes,uncertain,near-field truncation or spread unresolved,Near-field cases may show strong side responses without clean shell closure.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s17_30,dominant_side_ridge_to_far_side_weak_return,dominant_side_ridge,far_side_weak_return,opposite_side,,yes,uncertain,far-side return not directly separable,Dominant side can be stronger while the opposite side remains weak or ambiguous.,"Relation is physical grammar evidence, not a weighted feature."
GTREF_GM_RM011_s17_30,upper_lower_edge_relation,edge_fragment,edge_fragment,parallel,,yes,yes,,Discontinuous edge fragments may form a body outline when read at GT scale.,"Relation is physical grammar evidence, not a weighted feature."
