tube_probe_id,mode_name,sample_pool,scene,object_hypothesis_id,state_mix,n_rows,sar_frame_span,gt_coverage_rate_posthoc,median_radius_band_width_px,median_peak_to_background_ratio,median_top1_top2_ratio,peak_continuity_step_mean_px,centroid_continuity_step_mean_px,tube_peak_continuity_label,notes,provenance_labels
TU0012,complete_shape_quantile_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,complete=3,3,383-442,0.3333,122.087,1.328,1.1567,37.979,37.979,tube_peak_variable_or_competing,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0013,complete_shape_quantile_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,complete=4,4,27-81,0.5,317.306,1.8118,1.0246,61.27,61.27,tube_peak_variable_or_competing,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0015,complete_shape_quantile_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,complete=6,6,212-290,0.5,309.375,1.7721,1.1509,56.135,56.135,tube_peak_variable_or_competing,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0016,object_smoothed_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,ambiguous_or_review_only=34;edge_or_truncated=23;duplicate_or_handoff=4,61,302-380,1,420,1.7428,1.0333,70.322,70.322,tube_peak_variable_or_competing,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0017,object_smoothed_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete=46;edge_or_truncated=18;duplicate_or_handoff=11,75,315-394,1,130,1.7553,1.0493,40.64,40.64,tube_peak_variable_or_competing,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0018,object_smoothed_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,complete=43;edge_or_truncated=15;duplicate_or_handoff=2,60,337-438,0.9833,130,1.6642,1.0695,61.4,61.4,tube_peak_variable_or_competing,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0019,object_smoothed_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,complete=3,3,383-442,0.3333,130,1.564,1.1096,128.842,128.842,tube_peak_variable_or_competing,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0020,object_smoothed_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,ambiguous_or_review_only=3,3,0-8,1,348.486,2.5132,1,13.829,0.483,tube_peak_or_centroid_continuity_observed,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0021,object_smoothed_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,complete=4,4,27-81,0.5,130,1.899,1.0288,59.099,59.099,tube_peak_variable_or_competing,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0022,object_smoothed_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,complete=6,6,212-290,0.5,130,1.778,1.031,50.603,50.603,tube_peak_variable_or_competing,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0023,object_smoothed_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,edge_or_truncated=2,2,315-317,1,345.692,2.5265,1.0079,4.243,0.475,tube_peak_or_centroid_continuity_observed,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0024,scene_residual_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,ambiguous_or_review_only=34;edge_or_truncated=23;duplicate_or_handoff=4,61,302-380,1,420,1.7491,1.0255,72.306,72.306,tube_peak_variable_or_competing,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0025,scene_residual_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete=46;edge_or_truncated=18;duplicate_or_handoff=11,75,315-394,1,152.564,1.755,1.0493,40.515,40.515,tube_peak_variable_or_competing,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0026,scene_residual_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,complete=43;edge_or_truncated=15;duplicate_or_handoff=2,60,337-438,1,152.564,1.6589,1.072,58.944,58.944,tube_peak_variable_or_competing,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0027,scene_residual_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,complete=3,3,383-442,0.3333,152.564,1.327,1.1567,37.979,37.979,tube_peak_variable_or_competing,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0028,scene_residual_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,ambiguous_or_review_only=3,3,0-8,1,449.77,2.4797,1,13.829,0.483,tube_peak_or_centroid_continuity_observed,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0029,scene_residual_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,complete=4,4,27-81,0.5,406.132,2.4337,1.004,7.359,4.782,tube_peak_or_centroid_continuity_observed,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0031,scene_residual_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,complete=6,6,212-290,0.5,406.132,2.5556,1,24.327,4.177,tube_peak_or_centroid_continuity_observed,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0032,scene_residual_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,edge_or_truncated=2,2,315-317,1,449.77,2.5084,1.0079,4.243,0.475,tube_peak_or_centroid_continuity_observed,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0033,state_conditioned_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,ambiguous_or_review_only=34;edge_or_truncated=23;duplicate_or_handoff=4,61,302-380,1,420,1.7512,1.0299,84.312,84.312,tube_peak_variable_or_competing,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0034,state_conditioned_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete=46;edge_or_truncated=18;duplicate_or_handoff=11,75,315-394,1,130,1.7565,1.0493,40.531,40.531,tube_peak_variable_or_competing,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0035,state_conditioned_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,complete=43;edge_or_truncated=15;duplicate_or_handoff=2,60,337-438,0.9833,130,1.6576,1.0715,55.356,55.356,tube_peak_variable_or_competing,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0036,state_conditioned_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,complete=3,3,383-442,0.3333,130,1.3278,1.1567,37.979,37.979,tube_peak_variable_or_competing,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0037,state_conditioned_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,ambiguous_or_review_only=3,3,0-8,0,420,2.0976,1.014,73.564,73.564,tube_peak_variable_or_competing,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0038,state_conditioned_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,complete=4,4,27-81,0,317.306,1.9465,1.0191,110.527,110.527,tube_peak_variable_or_competing,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0040,state_conditioned_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,complete=6,6,212-290,0,309.375,2.004,1.0073,101.911,101.911,tube_peak_variable_or_competing,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
TU0041,state_conditioned_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,edge_or_truncated=2,2,315-317,0,387.307,2.0623,1.2195,6,6,tube_peak_or_centroid_continuity_observed,Tube continuity is a SAR observation diagnostic inside range-band supports; it is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence
