temporal_probe_id,mode_name,sample_pool,scene,object_hypothesis_id,state_mix,n_frames,sar_frame_span,centroid_step_mean_px,top1_step_mean_px,best_peak_step_mean_px,cluster_persistence_rate,topk_contains_peak_near_gt_rate_posthoc,top2_or_top3_nearer_than_top1_rate_posthoc,scatter_cluster_type_mix,range_tube_continuity_label_input,temporal_cluster_label,provenance_labels,notes
T0011,broad_fan_baseline,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,ambiguous_or_review_only=3,3,0-8,377.997,107.331,377.997,0,1,1,range_spread_cluster=3,tube_peak_or_centroid_continuity_observed,diffuse_or_unstable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0012,broad_fan_baseline,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,complete=4,4,27-81,185.161,437.641,185.161,0.3333,0.5,0.75,range_spread_cluster=4,tube_peak_or_centroid_continuity_observed,jumping_peak,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0013,broad_fan_baseline,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0009,complete=1,1,27-27,,,,0,0,1,range_spread_cluster=1,,insufficient_temporal_samples,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0014,broad_fan_baseline,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,complete=6,6,212-290,182.08,532.427,182.08,0.4,0.1667,0.6667,range_spread_cluster=6,tube_peak_variable_or_competing,jumping_peak,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0015,broad_fan_baseline,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,edge_or_truncated=2,2,315-317,1.418,0,1.418,1,0,1,range_spread_cluster=2,tube_peak_or_centroid_continuity_observed,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0016,complete_shape_quantile_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete=46,46,343-394,13.473,15.941,13.473,1,1,0.8043,azimuth_spread_cluster=46,tube_peak_or_centroid_continuity_observed,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0017,complete_shape_quantile_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,complete=43,43,352-438,18.533,31.73,18.533,0.9762,1,0.7907,azimuth_spread_cluster=43,tube_peak_or_centroid_continuity_observed,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0018,complete_shape_quantile_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,complete=3,3,383-442,26.714,37.979,26.714,1,1,1,compact_cluster=2;azimuth_spread_cluster=1,tube_peak_variable_or_competing,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0019,complete_shape_quantile_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,complete=4,4,27-81,46.299,61.27,46.299,1,1,0.5,azimuth_spread_cluster=3;range_spread_cluster=1,tube_peak_variable_or_competing,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0020,complete_shape_quantile_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0009,complete=1,1,27-27,,,,0,0,1,azimuth_spread_cluster=1,,insufficient_temporal_samples,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0021,complete_shape_quantile_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,complete=6,6,212-290,79.263,56.135,79.263,0.6,1,0.6667,azimuth_spread_cluster=5;diffuse_clutter=1,tube_peak_variable_or_competing,diffuse_or_unstable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0022,object_smoothed_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,ambiguous_or_review_only=34;edge_or_truncated=23;duplicate_or_handoff=4,61,302-380,33.646,70.322,33.646,0.9,1,0.6721,azimuth_spread_cluster=48;multi_peak_nearby_cluster=7;diffuse_clutter=5;range_spread_cluster=1,tube_peak_variable_or_competing,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0023,object_smoothed_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete=46;edge_or_truncated=18;duplicate_or_handoff=11,75,315-394,30.496,40.64,30.496,0.9459,0.9467,0.64,azimuth_spread_cluster=53;range_spread_cluster=14;multi_peak_nearby_cluster=6;diffuse_clutter=2,tube_peak_variable_or_competing,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0024,object_smoothed_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,complete=43;edge_or_truncated=15;duplicate_or_handoff=2,60,337-438,27.036,61.4,27.036,0.9322,0.9333,0.75,azimuth_spread_cluster=43;range_spread_cluster=12;multi_peak_nearby_cluster=3;diffuse_clutter=2,tube_peak_variable_or_competing,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0025,object_smoothed_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,complete=3,3,383-442,89.48,128.842,89.48,0.5,1,0.6667,azimuth_spread_cluster=2;compact_cluster=1,tube_peak_variable_or_competing,diffuse_or_unstable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0026,object_smoothed_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,ambiguous_or_review_only=3,3,0-8,3.226,13.829,3.226,1,0.6667,0.3333,azimuth_spread_cluster=3,tube_peak_or_centroid_continuity_observed,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0027,object_smoothed_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,complete=4,4,27-81,39.632,59.099,39.632,1,1,0.75,azimuth_spread_cluster=4,tube_peak_variable_or_competing,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0028,object_smoothed_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,complete=6,6,212-290,42.267,50.603,42.267,1,1,0.5,azimuth_spread_cluster=6,tube_peak_variable_or_competing,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0029,object_smoothed_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,edge_or_truncated=2,2,315-317,2.129,4.243,2.129,1,0,0,azimuth_spread_cluster=2,tube_peak_or_centroid_continuity_observed,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0030,scene_residual_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,ambiguous_or_review_only=34;edge_or_truncated=23;duplicate_or_handoff=4,61,302-380,35.395,72.306,35.395,0.9667,0.9836,0.7213,azimuth_spread_cluster=35;multi_peak_nearby_cluster=13;diffuse_clutter=11;range_spread_cluster=2,tube_peak_variable_or_competing,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0031,scene_residual_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete=46;edge_or_truncated=18;duplicate_or_handoff=11,75,315-394,28.125,40.515,28.125,0.973,0.9467,0.6667,azimuth_spread_cluster=55;range_spread_cluster=14;multi_peak_nearby_cluster=4;diffuse_clutter=2,tube_peak_variable_or_competing,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0032,scene_residual_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,complete=43;edge_or_truncated=15;duplicate_or_handoff=2,60,337-438,26.718,58.944,26.718,0.9492,0.9667,0.7667,azimuth_spread_cluster=44;diffuse_clutter=8;multi_peak_nearby_cluster=6;range_spread_cluster=2,tube_peak_variable_or_competing,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0033,scene_residual_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,complete=3,3,383-442,29.303,37.979,29.303,1,1,1,compact_cluster=2;azimuth_spread_cluster=1,tube_peak_variable_or_competing,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0034,scene_residual_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,ambiguous_or_review_only=3,3,0-8,3.226,13.829,3.226,1,0.6667,0.3333,azimuth_spread_cluster=3,tube_peak_or_centroid_continuity_observed,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0035,scene_residual_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,complete=4,4,27-81,5.628,7.359,5.628,1,0.5,0.25,multi_peak_nearby_cluster=2;compact_cluster=1;azimuth_spread_cluster=1,tube_peak_or_centroid_continuity_observed,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0036,scene_residual_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0009,complete=1,1,27-27,,,,0,0,0,multi_peak_nearby_cluster=1,,insufficient_temporal_samples,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0037,scene_residual_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,complete=6,6,212-290,4.549,24.327,4.549,1,0.3333,0.6667,azimuth_spread_cluster=5;multi_peak_nearby_cluster=1,tube_peak_or_centroid_continuity_observed,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0038,scene_residual_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,edge_or_truncated=2,2,315-317,2.129,4.243,2.129,1,0,0,azimuth_spread_cluster=2,tube_peak_or_centroid_continuity_observed,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0039,state_conditioned_range_band,detection_dropout_temporal_continuation,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008;oty1t_obj_GM_RM017_bytetrack_bt_0010,dropout_or_no_match=5,5,310-386,4.731,7.722,4.731,1,0,0,azimuth_spread_cluster=4;weak_no_structure=1,,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0040,state_conditioned_range_band,detection_dropout_temporal_continuation,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012;oty1t_obj_GM_RM017_bytetrack_bt_0014,dropout_or_no_match=1,1,446-446,,,,0,0,0,azimuth_spread_cluster=1,,insufficient_temporal_samples,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0041,state_conditioned_range_band,detection_dropout_temporal_continuation,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,dropout_or_no_match=2,2,8-88,13.515,21.213,13.515,1,0,0,azimuth_spread_cluster=2,tube_peak_variable_or_competing,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0042,state_conditioned_range_band,detection_dropout_temporal_continuation,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,dropout_or_no_match=1,1,202-202,,,,0,0,0,weak_no_structure=1,tube_peak_variable_or_competing,insufficient_temporal_samples,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0043,state_conditioned_range_band,detection_dropout_temporal_continuation,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,dropout_or_no_match=2,2,306-354,6.57,19.209,6.57,1,0,0,azimuth_spread_cluster=2,tube_peak_or_centroid_continuity_observed,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0044,state_conditioned_range_band,detection_dropout_temporal_continuation,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098;oty1t_obj_GM_RM019_bytetrack_bt_0111,dropout_or_no_match=1,1,350-350,,,,0,0,0,azimuth_spread_cluster=1,,insufficient_temporal_samples,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0045,state_conditioned_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,ambiguous_or_review_only=34;edge_or_truncated=23;duplicate_or_handoff=4,61,302-380,34.883,84.312,34.883,0.9833,0.9836,0.7213,azimuth_spread_cluster=38;multi_peak_nearby_cluster=12;diffuse_clutter=10;range_spread_cluster=1,tube_peak_variable_or_competing,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0046,state_conditioned_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,complete=46;edge_or_truncated=18;duplicate_or_handoff=11,75,315-394,28.908,40.531,28.908,0.9459,0.9467,0.6667,azimuth_spread_cluster=55;range_spread_cluster=14;multi_peak_nearby_cluster=3;diffuse_clutter=3,tube_peak_variable_or_competing,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0047,state_conditioned_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,complete=43;edge_or_truncated=15;duplicate_or_handoff=2,60,337-438,24.267,55.356,24.267,0.9322,0.9667,0.7667,azimuth_spread_cluster=44;diffuse_clutter=9;multi_peak_nearby_cluster=5;range_spread_cluster=2,tube_peak_variable_or_competing,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0048,state_conditioned_range_band,paired_optical_object_sar_gt,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,complete=3,3,383-442,28.52,37.979,28.52,1,1,1,compact_cluster=2;azimuth_spread_cluster=1,tube_peak_variable_or_competing,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0049,state_conditioned_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,ambiguous_or_review_only=3,3,0-8,78.368,73.564,78.368,1,0.3333,0.6667,diffuse_clutter=3,tube_peak_variable_or_competing,diffuse_or_unstable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0050,state_conditioned_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,complete=4,4,27-81,102.661,110.527,102.661,0.3333,0,0.75,diffuse_clutter=3;range_spread_cluster=1,tube_peak_variable_or_competing,diffuse_or_unstable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0051,state_conditioned_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0009,complete=1,1,27-27,,,,0,0,1,azimuth_spread_cluster=1,,insufficient_temporal_samples,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0052,state_conditioned_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,complete=6,6,212-290,92.863,101.911,92.863,0.4,0,1,range_spread_cluster=3;diffuse_clutter=3,tube_peak_variable_or_competing,diffuse_or_unstable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
T0053,state_conditioned_range_band,paired_optical_object_sar_gt,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,edge_or_truncated=2,2,315-317,32.126,6,32.126,1,0,1,diffuse_clutter=2,tube_peak_or_centroid_continuity_observed,stable_cluster_tube,runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate,Temporal row links SAR scatter-cluster diagnostics across the tube; it does not establish identity truth.
