case_id,scene,sar_frame,component_id,source_region,component_area,component_long_axis,component_short_axis,component_aspect_ratio,component_energy,relative_to_gt_scale,hierarchy_label,why_not_vehicle_if_atom,composition_group_id,composition_description,posthoc_gt_relation,notes
GTREF_GM_RM011_s2_336,GM_RM011,2,C001,gt_inside,821,64.949,21.306,3.0484,129789,plausible_part,vehicle_part,"Component is a plausible body part, not a complete vehicle by itself.",SHELL_0005,component participates in GT-scale part composition,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s2_336,GM_RM011,2,C002,gt_inside,568,74.006,15.143,4.887,86279,plausible_part,vehicle_part,"Component is a plausible body part, not a complete vehicle by itself.",SHELL_0005,component participates in GT-scale part composition,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s2_336,GM_RM011,2,C003,gt_inside,33,8.404,5.838,1.4396,4753,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s2_336,GM_RM011,2,C004,gt_inside,20,7.859,5.905,1.3307,2637,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s2_336,GM_RM011,2,C005,gt_inside,20,8.622,3.718,2.3188,2610,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s2_336,GM_RM011,2,C006,gt_inside,18,5.761,5.043,1.1423,2517,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s2_336,GM_RM011,2,C007,gt_inside,16,9.662,4.645,2.08,2100,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s2_336,GM_RM011,2,C008,gt_inside,15,5.723,4.955,1.155,2023,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s2_5,GM_RM011,2,C001,gt_inside,871,95.353,20.336,4.6889,87975,plausible_part,vehicle_part,"Component is a plausible body part, not a complete vehicle by itself.",SHELL_0006,component participates in GT-scale part composition,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s2_5,GM_RM011,2,C002,gt_inside,394,34.291,18.806,1.8234,41826,plausible_part,vehicle_part,"Component is a plausible body part, not a complete vehicle by itself.",SHELL_0006,component participates in GT-scale part composition,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s2_5,GM_RM011,2,C003,gt_inside,62,12.316,9.44,1.3047,5663,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s2_5,GM_RM011,2,C004,gt_inside,29,10.233,5.168,1.9802,2668,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s2_5,GM_RM011,2,C005,gt_inside,20,5.751,4.757,1.2089,1810,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s2_5,GM_RM011,2,C006,gt_inside,18,9.748,2.702,3.6074,1774,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s2_5,GM_RM011,2,C007,gt_inside,17,7.355,3.791,1.9403,1542,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s2_5,GM_RM011,2,C008,gt_inside,16,7.397,3.672,2.0143,1431,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s3_6,GM_RM011,3,C001,gt_inside,715,63.011,20.484,3.0762,115416,plausible_part,vehicle_part,"Component is a plausible body part, not a complete vehicle by itself.",SHELL_0007,component participates in GT-scale part composition,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s3_6,GM_RM011,3,C002,gt_inside,351,48.279,15.234,3.1692,56019,plausible_part,vehicle_part,"Component is a plausible body part, not a complete vehicle by itself.",SHELL_0007,component participates in GT-scale part composition,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s3_6,GM_RM011,3,C003,gt_inside,150,23.663,11.375,2.0803,23178,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s3_6,GM_RM011,3,C004,gt_inside,43,12.345,6.037,2.0448,6453,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s3_6,GM_RM011,3,C005,gt_inside,22,8.309,4.883,1.7016,3384,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s3_6,GM_RM011,3,C006,gt_inside,7,5.894,2.376,2.4808,1020,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s3_6,GM_RM011,3,C007,gt_inside,6,5.907,1.564,3.7767,825,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s3_6,GM_RM011,3,C008,gt_inside,5,3.464,2,1.7321,709,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s3_7,GM_RM011,3,C001,gt_inside,582,66.751,18.18,3.6717,61924,plausible_part,vehicle_part,"Component is a plausible body part, not a complete vehicle by itself.",SHELL_0008,component participates in GT-scale part composition,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s3_7,GM_RM011,3,C002,gt_inside,375,29.843,23.573,1.266,42776,plausible_part,vehicle_part,"Component is a plausible body part, not a complete vehicle by itself.",SHELL_0008,component participates in GT-scale part composition,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s3_7,GM_RM011,3,C003,gt_inside,101,30.317,5.754,5.2686,10235,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s3_7,GM_RM011,3,C004,gt_inside,65,14.859,6.14,2.4201,6560,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s3_7,GM_RM011,3,C005,gt_inside,66,21.791,6.491,3.357,6238,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s3_7,GM_RM011,3,C006,gt_inside,43,15.352,5.535,2.7735,4435,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s3_7,GM_RM011,3,C007,gt_inside,39,14.658,5.262,2.7857,3717,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s3_7,GM_RM011,3,C008,gt_inside,40,11.4,8.69,1.3118,3696,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s4_8,GM_RM011,4,C001,gt_inside,643,55.004,22.329,2.4633,108577,plausible_part,vehicle_part,"Component is a plausible body part, not a complete vehicle by itself.",SHELL_0009,component participates in GT-scale part composition,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s4_8,GM_RM011,4,C002,gt_inside,303,47.008,15.128,3.1072,48107,plausible_part,vehicle_part,"Component is a plausible body part, not a complete vehicle by itself.",SHELL_0009,component participates in GT-scale part composition,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s4_8,GM_RM011,4,C003,gt_inside,171,32.55,9.549,3.4087,28746,plausible_part,vehicle_part,"Component is a plausible body part, not a complete vehicle by itself.",SHELL_0009,component participates in GT-scale part composition,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s4_8,GM_RM011,4,C004,gt_inside,48,16.247,7.061,2.301,7439,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s4_8,GM_RM011,4,C005,gt_inside,45,12.767,9.273,1.3767,7015,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s4_8,GM_RM011,4,C006,gt_inside,20,9.126,3.159,2.8886,3207,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s4_8,GM_RM011,4,C007,gt_inside,10,8.733,1.886,4.6314,1462,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s4_8,GM_RM011,4,C008,gt_inside,7,4.488,2.058,2.1808,1013,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s4_8,GM_RM011,4,SHELL_0009,gt_inside,1247,55.004,22.329,,205566,vehicle_scale,vehicle_scale_shell_hypothesis,,SHELL_0009,multiple atom/part components form a GT-scale shell/body hypothesis,GT-scale composition hypothesis; not final annotation,Vehicle-scale shell hypothesis requires multiple parts at GT scale and remains posthoc.
GTREF_GM_RM011_s4_9,GM_RM011,4,C001,gt_inside,389,35.972,16.461,2.1852,47765,plausible_part,vehicle_part,"Component is a plausible body part, not a complete vehicle by itself.",SHELL_0010,component participates in GT-scale part composition,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s4_9,GM_RM011,4,C002,gt_inside,438,45.392,21.899,2.0728,47693,plausible_part,vehicle_part,"Component is a plausible body part, not a complete vehicle by itself.",SHELL_0010,component participates in GT-scale part composition,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s4_9,GM_RM011,4,C003,gt_inside,289,66.609,12.041,5.5318,31617,plausible_part,vehicle_part,"Component is a plausible body part, not a complete vehicle by itself.",SHELL_0010,component participates in GT-scale part composition,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s4_9,GM_RM011,4,C004,gt_inside,97,21.293,8.949,2.3794,10576,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s4_9,GM_RM011,4,C005,gt_inside,60,13.795,7.466,1.8478,6328,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s4_9,GM_RM011,4,C006,gt_inside,49,16.496,5.086,3.2436,5008,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s4_9,GM_RM011,4,C007,gt_inside,46,12.637,7.539,1.6763,4608,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s4_9,GM_RM011,4,C008,gt_inside,40,14.053,5.736,2.4502,4096,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s4_9,GM_RM011,4,SHELL_0010,gt_inside,1408,66.609,21.899,,157691,vehicle_scale,vehicle_scale_shell_hypothesis,,SHELL_0010,multiple atom/part components form a GT-scale shell/body hypothesis,GT-scale composition hypothesis; not final annotation,Vehicle-scale shell hypothesis requires multiple parts at GT scale and remains posthoc.
GTREF_GM_RM011_s5_10,GM_RM011,5,C001,gt_inside,700,69.464,20.56,3.3786,117720,plausible_part,vehicle_part,"Component is a plausible body part, not a complete vehicle by itself.",SHELL_0011,component participates in GT-scale part composition,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s5_10,GM_RM011,5,C002,gt_inside,417,78.196,12.107,6.4588,66143,plausible_part,vehicle_part,"Component is a plausible body part, not a complete vehicle by itself.",SHELL_0011,component participates in GT-scale part composition,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s5_10,GM_RM011,5,C003,gt_inside,38,11.272,8.135,1.3855,5832,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s5_10,GM_RM011,5,C004,gt_inside,24,8.162,5.458,1.4955,3600,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s5_10,GM_RM011,5,C005,gt_inside,14,6.138,3.159,1.943,2224,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s5_10,GM_RM011,5,C006,gt_inside,9,4.994,2.656,1.8802,1363,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
GTREF_GM_RM011_s5_10,GM_RM011,5,C007,gt_inside,8,7.233,2.132,3.393,1227,too_small_atom,scattering_atom,Component is far below GT vehicle scale; it can only be a scattering atom.,,,inside SAR GT morphology anchor; posthoc only,Small components are atoms or parts unless GT-scale composition supports a shell hypothesis.
