scene,object_hypothesis_id,class_name,class_group,is_vehicle_like,bbox_width,bbox_height,bbox_area,bbox_area_ratio,median_bbox_width,median_bbox_height,median_bbox_area,median_bbox_area_ratio,min_bbox_width,max_bbox_width,min_bbox_height,max_bbox_height,min_bbox_area_ratio,max_bbox_area_ratio,visible_frame_count,track_frame_span,optical_start_frame,optical_end_frame,median_confidence,edge_contact,partial_or_occluded,duplicate_or_handoff,ambiguity_status,resolvability_tier,vehicle_research_eligibility,downstream_recommendation,spatial_prior_status,spatial_prior_mode,spatial_prior_vehicle_admission_consistency,sar_start_frame,sar_end_frame,sar_window_frame_count,range_prior_mode,azimuth_prior_available,degradation_reason,notes,local_visualization_path,repo_sample_visualization_path
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0036,car,vehicle_like:car,true,23.800,26.627,633.723,0.001320,23.800,26.627,633.723,0.001320,23.800,23.800,26.627,26.627,0.001320,0.001320,57,57,37,93,0.641978,false,true,true,ambiguous_or_review_required,blocked_noise_or_short_track,blocked_vehicle_or_noise,block_from_vehicle_research_flow,blocked_no_spatial_prior,blocked_no_spatial_prior,consistent_blocked,,,,not_generated_for_blocked_object,false,对象被现有空间先验或短轨迹/not-ready 状态阻断。 | 存在 duplicate/handoff/多观测风险，保留弱层或审阅层。 | 对象含混或 upstream 已转为 review-only，不混入正常主结果。,所有阈值仅为 audit defaults / 建议阈值，不是训练阈值或调参结果。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0036_20260702_180326.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0057,car,vehicle_like:car,true,9.935,7.053,70.067,0.000146,9.935,7.053,70.067,0.000146,9.935,9.935,7.053,7.053,0.000146,0.000146,4,4,71,74,0.383962,false,true,true,ambiguous_or_review_required,blocked_noise_or_short_track,blocked_vehicle_or_noise,block_from_vehicle_research_flow,blocked_no_spatial_prior,blocked_no_spatial_prior,consistent_blocked,,,,not_generated_for_blocked_object,false,对象被现有空间先验或短轨迹/not-ready 状态阻断。 | 存在 duplicate/handoff/多观测风险，保留弱层或审阅层。 | 对象含混或 upstream 已转为 review-only，不混入正常主结果。,所有阈值仅为 audit defaults / 建议阈值，不是训练阈值或调参结果。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0057_20260702_180326.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0067,car,vehicle_like:car,true,26.108,11.127,290.509,0.000605,26.108,11.127,290.509,0.000605,25.881,26.335,11.107,11.147,0.000599,0.000612,44,44,43,86,0.477396,false,true,true,ambiguous_or_review_required,blocked_noise_or_short_track,blocked_vehicle_or_noise,block_from_vehicle_research_flow,blocked_no_spatial_prior,blocked_no_spatial_prior,consistent_blocked,,,,not_generated_for_blocked_object,false,对象被现有空间先验或短轨迹/not-ready 状态阻断。 | 存在 duplicate/handoff/多观测风险，保留弱层或审阅层。 | 对象含混或 upstream 已转为 review-only，不混入正常主结果。,所有阈值仅为 audit defaults / 建议阈值，不是训练阈值或调参结果。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0067_20260702_180326.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0070,car,vehicle_like:car,true,34.332,24.618,852.580,0.001776,34.332,24.618,852.580,0.001776,29.058,39.606,23.217,26.020,0.001405,0.002147,45,45,43,87,0.449185,false,true,true,ambiguous_or_review_required,blocked_noise_or_short_track,blocked_vehicle_or_noise,block_from_vehicle_research_flow,blocked_no_spatial_prior,blocked_no_spatial_prior,consistent_blocked,,,,not_generated_for_blocked_object,false,对象被现有空间先验或短轨迹/not-ready 状态阻断。 | 存在 duplicate/handoff/多观测风险，保留弱层或审阅层。 | 对象含混或 upstream 已转为 review-only，不混入正常主结果。,所有阈值仅为 audit defaults / 建议阈值，不是训练阈值或调参结果。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0070_20260702_180326.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0073,car,vehicle_like:car,true,24.272,22.500,547.072,0.001140,24.272,22.500,547.072,0.001140,21.996,26.549,22.084,22.915,0.001012,0.001267,58,58,43,100,0.486146,false,true,true,ambiguous_or_review_required,blocked_noise_or_short_track,blocked_vehicle_or_noise,block_from_vehicle_research_flow,blocked_no_spatial_prior,blocked_no_spatial_prior,consistent_blocked,,,,not_generated_for_blocked_object,false,对象被现有空间先验或短轨迹/not-ready 状态阻断。 | 存在 duplicate/handoff/多观测风险，保留弱层或审阅层。 | 对象含混或 upstream 已转为 review-only，不混入正常主结果。,所有阈值仅为 audit defaults / 建议阈值，不是训练阈值或调参结果。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0073_20260702_180326.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0111,car,vehicle_like:car,true,86.585,74.381,6446.119,0.013429,86.585,74.381,6446.119,0.013429,79.672,93.497,73.532,75.230,0.012205,0.014654,4,4,166,169,0.420175,true,true,true,ambiguous_or_review_required,blocked_noise_or_short_track,blocked_vehicle_or_noise,block_from_vehicle_research_flow,blocked_no_spatial_prior,blocked_no_spatial_prior,consistent_blocked,,,,not_generated_for_blocked_object,false,对象被现有空间先验或短轨迹/not-ready 状态阻断。 | 存在边缘接触/截断风险，会扩大或降低空间先验可信度。 | 存在 partial/遮挡类状态，不直接删除，但需要更保守处理。 | 存在 duplicate/handoff/多观测风险，保留弱层或审阅层。 | 对象含混或 upstream 已转为 review-only，不混入正常主结果。,所有阈值仅为 audit defaults / 建议阈值，不是训练阈值或调参结果。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0111_20260702_180326.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,car,vehicle_like:car,true,407.688,276.139,108282.577,0.225589,407.688,276.139,108282.577,0.225589,95.299,606.083,177.374,333.601,0.035568,0.417775,37,37,5,41,0.938574,true,true,true,ambiguous_or_review_required,high_resolvable_vehicle,weak_vehicle_layer,keep_as_weak_vehicle_review_layer,loose_spatial_prior_generated,expanded_azimuth_interval_with_broad_unknown_range,consistent_but_needs_weak_vehicle_layer,6,92,87,broad_unknown_range_prior,true,光学上较清晰：如果空间先验和状态稳定，可进入主研究流。 | 存在边缘接触/截断风险，会扩大或降低空间先验可信度。 | 存在 duplicate/handoff/多观测风险，保留弱层或审阅层。 | 对象含混或 upstream 已转为 review-only，不混入正常主结果。,距离向仍是 broad_unknown_range_prior：时间窗和方位弱约束不能解决距离收敛。 | 所有阈值仅为 audit defaults / 建议阈值，不是训练阈值或调参结果。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0005_20260702_180326.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0042,car,vehicle_like:car,true,36.021,22.195,837.281,0.001744,36.021,22.195,837.281,0.001744,29.169,59.705,17.652,27.609,0.001090,0.003354,47,47,37,83,0.410731,false,true,true,ambiguous_or_review_required,low_resolvable_far_vehicle,far_small_vehicle_layer,keep_far_small_layer_not_main_research,loose_spatial_prior_generated,expanded_azimuth_interval_with_broad_unknown_range,spatial_prior_available_but_vehicle_admission_demotes_far_small,73,179,107,broad_unknown_range_prior,true,远小车辆：检测存在，但框面积/尺寸低，作为远小车层保留。 | 存在 duplicate/handoff/多观测风险，保留弱层或审阅层。 | 对象含混或 upstream 已转为 review-only，不混入正常主结果。,距离向仍是 broad_unknown_range_prior：时间窗和方位弱约束不能解决距离收敛。 | 所有阈值仅为 audit defaults / 建议阈值，不是训练阈值或调参结果。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0042_20260702_180326.png,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\samples\vehicle_research_eligibility_visualizations\vehicle_eligibility_20260702_180326\oty2_vehicle_eligibility_far_small_vehicle_gm_rm019_bt0042_20260702_180326.png
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,car,vehicle_like:car,true,347.975,313.529,109956.582,0.229076,347.975,313.529,109956.582,0.229076,58.494,611.917,184.022,338.288,0.023064,0.400246,43,43,98,140,0.939449,true,true,true,ambiguous_or_review_required,high_resolvable_vehicle,weak_vehicle_layer,keep_as_weak_vehicle_review_layer,loose_spatial_prior_generated,expanded_azimuth_interval_with_broad_unknown_range,consistent_but_needs_weak_vehicle_layer,200,298,99,broad_unknown_range_prior,true,光学上较清晰：如果空间先验和状态稳定，可进入主研究流。 | 存在边缘接触/截断风险，会扩大或降低空间先验可信度。 | 存在 duplicate/handoff/多观测风险，保留弱层或审阅层。 | 对象含混或 upstream 已转为 review-only，不混入正常主结果。,距离向仍是 broad_unknown_range_prior：时间窗和方位弱约束不能解决距离收敛。 | 所有阈值仅为 audit defaults / 建议阈值，不是训练阈值或调参结果。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0080_20260702_180326.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,car,vehicle_like:car,true,326.244,290.901,92264.436,0.192218,326.244,290.901,92264.436,0.192218,93.645,628.876,187.211,299.262,0.036848,0.381127,38,38,145,182,0.946969,true,true,true,ambiguous_or_review_required,high_resolvable_vehicle,weak_vehicle_layer,keep_as_weak_vehicle_review_layer,loose_spatial_prior_generated,expanded_azimuth_interval_with_broad_unknown_range,consistent_but_needs_weak_vehicle_layer,298,386,89,broad_unknown_range_prior,true,光学上较清晰：如果空间先验和状态稳定，可进入主研究流。 | 存在边缘接触/截断风险，会扩大或降低空间先验可信度。 | 存在 partial/遮挡类状态，不直接删除，但需要更保守处理。 | 存在 duplicate/handoff/多观测风险，保留弱层或审阅层。 | 对象含混或 upstream 已转为 review-only，不混入正常主结果。,距离向仍是 broad_unknown_range_prior：时间窗和方位弱约束不能解决距离收敛。 | 所有阈值仅为 audit defaults / 建议阈值，不是训练阈值或调参结果。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0098_20260702_180326.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0094,car,vehicle_like:car,true,44.442,27.689,1230.341,0.002563,44.442,27.689,1230.341,0.002563,30.717,54.591,26.454,28.051,0.001760,0.003190,6,6,138,143,0.760452,true,false,false,not_ambiguous,low_resolvable_far_vehicle,far_small_vehicle_layer,keep_far_small_layer_not_main_research,normal_spatial_prior_generated,azimuth_interval_with_broad_unknown_range,spatial_prior_available_but_vehicle_admission_demotes_far_small,284,303,20,broad_unknown_range_prior,true,远小车辆：检测存在，但框面积/尺寸低，作为远小车层保留。 | 存在边缘接触/截断风险，会扩大或降低空间先验可信度。,距离向仍是 broad_unknown_range_prior：时间窗和方位弱约束不能解决距离收敛。 | 所有阈值仅为 audit defaults / 建议阈值，不是训练阈值或调参结果。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0094_20260702_180326.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0124,car,vehicle_like:car,true,38.092,27.677,1035.227,0.002157,38.092,27.677,1035.227,0.002157,37.404,38.672,27.119,27.759,0.002152,0.002236,3,3,259,261,0.633784,false,false,false,not_ambiguous,blocked_noise_or_short_track,blocked_vehicle_or_noise,block_from_vehicle_research_flow,normal_spatial_prior_generated,azimuth_interval_with_broad_unknown_range,spatial_prior_available_but_vehicle_admission_blocks,536,549,14,broad_unknown_range_prior,true,对象被现有空间先验或短轨迹/not-ready 状态阻断。,距离向仍是 broad_unknown_range_prior：时间窗和方位弱约束不能解决距离收敛。 | 所有阈值仅为 audit defaults / 建议阈值，不是训练阈值或调参结果。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0124_20260702_180326.png,
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,car,vehicle_like:car,true,442.830,234.041,93217.149,0.194202,442.830,234.041,93217.149,0.194202,239.510,626.078,208.427,271.645,0.126631,0.326439,12,12,0,11,0.917426,true,true,true,ambiguous_or_review_required,high_resolvable_vehicle,review_only_vehicle,review_only_do_not_use_as_main_input,review_only_spatial_context_generated,review_only_azimuth_context_with_broad_unknown_range,consistent_review_only,0,30,31,broad_unknown_range_prior_review_only,true,光学上较清晰：如果空间先验和状态稳定，可进入主研究流。 | 存在边缘接触/截断风险，会扩大或降低空间先验可信度。 | 存在 duplicate/handoff/多观测风险，保留弱层或审阅层。 | 对象含混或 upstream 已转为 review-only，不混入正常主结果。,距离向仍是 broad_unknown_range_prior：时间窗和方位弱约束不能解决距离收敛。 | 所有阈值仅为 audit defaults / 建议阈值，不是训练阈值或调参结果。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0001_20260702_180326.png,D:\profile\research\optical-sar-visual-diagnosis\reports\oty2\samples\vehicle_research_eligibility_visualizations\vehicle_eligibility_20260702_180326\oty2_vehicle_eligibility_review_only_vehicle_gm_rm019_bt0001_20260702_180326.png
GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0002,car,vehicle_like:car,true,643.111,128.759,84484.395,0.176009,643.111,128.759,84484.395,0.176009,600.693,674.765,125.206,142.504,0.172514,0.178335,13,13,0,12,0.381885,true,true,true,ambiguous_or_review_required,medium_resolvable_vehicle,review_only_vehicle,review_only_do_not_use_as_main_input,review_only_spatial_context_generated,review_only_azimuth_context_with_broad_unknown_range,consistent_review_only,0,33,34,broad_unknown_range_prior_review_only,true,中等可解析车辆：可进入弱车层或主研究候选，但需要状态约束共同判断。 | 存在边缘接触/截断风险，会扩大或降低空间先验可信度。 | 存在 duplicate/handoff/多观测风险，保留弱层或审阅层。 | 对象含混或 upstream 已转为 review-only，不混入正常主结果。,距离向仍是 broad_unknown_range_prior：时间窗和方位弱约束不能解决距离收敛。 | 所有阈值仅为 audit defaults / 建议阈值，不是训练阈值或调参结果。,D:\profile\research\optical-sar-visual-diagnosis\outputs\oty2_vehicle_research_eligibility_visual_diagnosis_20260702_180326\object_pages\oty2_vehicle_eligibility_gm_rm019_bt0002_20260702_180326.png,
