object_probe_id,mode_name,scene,object_hypothesis_id,sample_pool,state_mix,n_rows,optical_frame_span,sar_frame_span,gt_coverage_rate_posthoc,median_radius_band_width_px,median_support_area_px,median_peak_to_background_ratio,median_top1_top2_ratio,peak_continuity_step_mean_px,centroid_continuity_step_mean_px,tube_peak_continuity_label,optical_height_vs_gt_radius_slope_posthoc,optical_bottom_y_vs_gt_radius_slope_posthoc,optical_area_vs_gt_radius_slope_posthoc,manual_review_need,notes,provenance_labels
O0011,complete_shape_quantile_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,paired_optical_object_sar_gt,complete=3,3,184-212,383-442,0.3333,122.087,,1.328,1.1567,37.979,37.979,tube_peak_variable_or_competing,-19.63108,-7.38845,1.28864,,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0012,complete_shape_quantile_range_band,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,paired_optical_object_sar_gt,complete=4,4,4-42,8-88,0.5,317.306,,1.8118,1.0246,61.27,61.27,tube_peak_variable_or_competing,-0.13331,-16.67743,-0.0003,optical_gt_or_identity_continuity_review;dropout_or_severe_truncation_temporal_continuation_review;dropout_or_severe_truncation_temporal_continuation_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0013,complete_shape_quantile_range_band,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,paired_optical_object_sar_gt,complete=6,6,97-139,202-290,0.5,309.375,,1.7721,1.1509,56.135,56.135,tube_peak_variable_or_competing,-0.30857,-0.72327,-0.00028,optical_gt_or_identity_continuity_review;dropout_or_severe_truncation_temporal_continuation_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0014,object_smoothed_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,paired_optical_object_sar_gt,ambiguous_or_review_only=34;edge_or_truncated=23;duplicate_or_handoff=4,61,145-182,302-380,1,420,,1.7428,1.0333,70.322,70.322,tube_peak_variable_or_competing,-0.5257,-1.01567,-0.00326,optical_gt_or_identity_continuity_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0015,object_smoothed_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,paired_optical_object_sar_gt,complete=46;edge_or_truncated=18;duplicate_or_handoff=11,75,151-189,315-394,1,130,,1.7553,1.0493,40.64,40.64,tube_peak_variable_or_competing,-3.4594,-0.83596,-0.00758,optical_gt_or_identity_continuity_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0016,object_smoothed_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,paired_optical_object_sar_gt,complete=43;edge_or_truncated=15;duplicate_or_handoff=2,60,162-210,337-438,0.9833,130,,1.6642,1.0695,61.4,61.4,tube_peak_variable_or_competing,-7.20498,2.25345,-0.01512,optical_gt_or_identity_continuity_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0017,object_smoothed_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,paired_optical_object_sar_gt,complete=3,3,184-212,383-442,0.3333,130,,1.564,1.1096,128.842,128.842,tube_peak_variable_or_competing,-19.63108,-7.38845,1.28864,,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0018,object_smoothed_range_band,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,paired_optical_object_sar_gt,ambiguous_or_review_only=3,3,0-4,0-8,1,348.486,,2.5132,1,13.829,0.483,tube_peak_or_centroid_continuity_observed,-0.26305,28.65748,-0.00013,optical_gt_or_identity_continuity_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0019,object_smoothed_range_band,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,paired_optical_object_sar_gt,complete=4,4,4-42,8-88,0.5,130,,1.899,1.0288,59.099,59.099,tube_peak_variable_or_competing,-0.13331,-16.67743,-0.0003,optical_gt_or_identity_continuity_review;dropout_or_severe_truncation_temporal_continuation_review;dropout_or_severe_truncation_temporal_continuation_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0020,object_smoothed_range_band,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,paired_optical_object_sar_gt,complete=6,6,97-139,202-290,0.5,130,,1.778,1.031,50.603,50.603,tube_peak_variable_or_competing,-0.30857,-0.72327,-0.00028,optical_gt_or_identity_continuity_review;dropout_or_severe_truncation_temporal_continuation_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0021,object_smoothed_range_band,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,paired_optical_object_sar_gt,edge_or_truncated=2,2,147-170,306-354,1,345.692,,2.5265,1.0079,4.243,0.475,tube_peak_or_centroid_continuity_observed,-1.13203,-0.86539,-0.00067,dropout_or_severe_truncation_temporal_continuation_review;optical_gt_or_identity_continuity_review;dropout_or_severe_truncation_temporal_continuation_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0022,scene_residual_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,paired_optical_object_sar_gt,ambiguous_or_review_only=34;edge_or_truncated=23;duplicate_or_handoff=4,61,145-182,302-380,1,420,,1.7491,1.0255,72.306,72.306,tube_peak_variable_or_competing,-0.5257,-1.01567,-0.00326,optical_gt_or_identity_continuity_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0023,scene_residual_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,paired_optical_object_sar_gt,complete=46;edge_or_truncated=18;duplicate_or_handoff=11,75,151-189,315-394,1,152.564,,1.755,1.0493,40.515,40.515,tube_peak_variable_or_competing,-3.4594,-0.83596,-0.00758,optical_gt_or_identity_continuity_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0024,scene_residual_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,paired_optical_object_sar_gt,complete=43;edge_or_truncated=15;duplicate_or_handoff=2,60,162-210,337-438,1,152.564,,1.6589,1.072,58.944,58.944,tube_peak_variable_or_competing,-7.20498,2.25345,-0.01512,optical_gt_or_identity_continuity_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0025,scene_residual_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,paired_optical_object_sar_gt,complete=3,3,184-212,383-442,0.3333,152.564,,1.327,1.1567,37.979,37.979,tube_peak_variable_or_competing,-19.63108,-7.38845,1.28864,,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0026,scene_residual_range_band,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,paired_optical_object_sar_gt,ambiguous_or_review_only=3,3,0-4,0-8,1,449.77,,2.4797,1,13.829,0.483,tube_peak_or_centroid_continuity_observed,-0.26305,28.65748,-0.00013,optical_gt_or_identity_continuity_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0027,scene_residual_range_band,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,paired_optical_object_sar_gt,complete=4,4,4-42,8-88,0.5,406.132,,2.4337,1.004,7.359,4.782,tube_peak_or_centroid_continuity_observed,-0.13331,-16.67743,-0.0003,optical_gt_or_identity_continuity_review;dropout_or_severe_truncation_temporal_continuation_review;dropout_or_severe_truncation_temporal_continuation_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0028,scene_residual_range_band,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,paired_optical_object_sar_gt,complete=6,6,97-139,202-290,0.5,406.132,,2.5556,1,24.327,4.177,tube_peak_or_centroid_continuity_observed,-0.30857,-0.72327,-0.00028,optical_gt_or_identity_continuity_review;dropout_or_severe_truncation_temporal_continuation_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0029,scene_residual_range_band,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,paired_optical_object_sar_gt,edge_or_truncated=2,2,147-170,306-354,1,449.77,,2.5084,1.0079,4.243,0.475,tube_peak_or_centroid_continuity_observed,-1.13203,-0.86539,-0.00067,dropout_or_severe_truncation_temporal_continuation_review;optical_gt_or_identity_continuity_review;dropout_or_severe_truncation_temporal_continuation_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0030,state_conditioned_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0008,paired_optical_object_sar_gt,ambiguous_or_review_only=34;edge_or_truncated=23;duplicate_or_handoff=4,61,145-182,302-380,1,420,,1.7512,1.0299,84.312,84.312,tube_peak_variable_or_competing,-0.5257,-1.01567,-0.00326,optical_gt_or_identity_continuity_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0031,state_conditioned_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0010,paired_optical_object_sar_gt,complete=46;edge_or_truncated=18;duplicate_or_handoff=11,75,151-189,315-394,1,130,,1.7565,1.0493,40.531,40.531,tube_peak_variable_or_competing,-3.4594,-0.83596,-0.00758,optical_gt_or_identity_continuity_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0032,state_conditioned_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0012,paired_optical_object_sar_gt,complete=43;edge_or_truncated=15;duplicate_or_handoff=2,60,162-210,337-438,0.9833,130,,1.6576,1.0715,55.356,55.356,tube_peak_variable_or_competing,-7.20498,2.25345,-0.01512,optical_gt_or_identity_continuity_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0033,state_conditioned_range_band,GM_RM017,oty1t_obj_GM_RM017_bytetrack_bt_0014,paired_optical_object_sar_gt,complete=3,3,184-212,383-442,0.3333,130,,1.3278,1.1567,37.979,37.979,tube_peak_variable_or_competing,-19.63108,-7.38845,1.28864,,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0034,state_conditioned_range_band,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0001,paired_optical_object_sar_gt,ambiguous_or_review_only=3,3,0-4,0-8,0,420,,2.0976,1.014,73.564,73.564,tube_peak_variable_or_competing,-0.26305,28.65748,-0.00013,optical_gt_or_identity_continuity_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0035,state_conditioned_range_band,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0005,paired_optical_object_sar_gt,complete=4,4,4-42,8-88,0,317.306,,1.9465,1.0191,110.527,110.527,tube_peak_variable_or_competing,-0.13331,-16.67743,-0.0003,optical_gt_or_identity_continuity_review;dropout_or_severe_truncation_temporal_continuation_review;dropout_or_severe_truncation_temporal_continuation_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0036,state_conditioned_range_band,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0080,paired_optical_object_sar_gt,complete=6,6,97-139,202-290,0,309.375,,2.004,1.0073,101.911,101.911,tube_peak_variable_or_competing,-0.30857,-0.72327,-0.00028,optical_gt_or_identity_continuity_review;dropout_or_severe_truncation_temporal_continuation_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
O0037,state_conditioned_range_band,GM_RM019,oty1t_obj_GM_RM019_bytetrack_bt_0098,paired_optical_object_sar_gt,edge_or_truncated=2,2,147-170,306-354,0,387.307,,2.0623,1.2195,6,6,tube_peak_or_centroid_continuity_observed,-1.13203,-0.86539,-0.00067,dropout_or_severe_truncation_temporal_continuation_review;optical_gt_or_identity_continuity_review;dropout_or_severe_truncation_temporal_continuation_review,Object row summarizes posthoc range/peak continuity; object_hypothesis_id is not identity truth.,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_temporal_observation;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate
