frame_review_id,scene,canonical_vehicle_id,sar_frame,optical_frame,gt_center_px,gt_size_px,gt_size_m,gt_angle_deg,gt_quality,optical_state,current_visible_sar_response,vehicle_relative_position,relation_to_previous,relation_to_next,new_information,background_risk,attribution,evidence_level,judgment_basis,evidence_path
GM_RM017_PV003_000330_011,GM_RM017,GM_RM017:PV003,330,158,"primary:881.1,935.3",primary:170.5x76.6,primary:5.11x2.30,primary:359.0,primary:usable/high,partial_visible;none;bbox=true,"Weak lower/right response appears inside the SUV GT, much weaker than PV002.",lower/right part of vehicle frame,stronger than 329,recurs with changing continuity,Direct counterexample to generalizing PV002's strong near-horizontal band.,PV002 nearby; low contrast,vehicle-related candidate,MULTIFRAME_SUPPORTED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p01.png
GM_RM017_PV003_000335_012,GM_RM017,GM_RM017:PV003,335,161,"primary:922.3,938.9;duplicate1:751.5,885.3",primary:167.4x77.3;duplicate1:145.4x68.8,primary:5.02x2.32;duplicate1:4.36x2.06,primary:176.0;duplicate1:-2.0,primary:diagnostic_only/high;duplicate1:diagnostic_only/high,partial_visible;none;bbox=true,Two diagnostic-only PV003 boxes are separated by 179.1 px (5.37 m).,not uniquely defined,identity/geometry conflict appears,conflict persists in 336 and resolves to PV004/PV003 split in 337,Demonstrates that canonical labels cannot be trusted without image review.,duplicate identity link; neighbor PV004,unresolved,UNRESOLVED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p01.png
GM_RM017_PV003_000336_013,GM_RM017,GM_RM017:PV003,336,161,"primary:767.2,873.6;duplicate1:921.8,940.6",primary:154.2x67.4;duplicate1:168.8x74.6,primary:4.63x2.02;duplicate1:5.06x2.24,primary:-3.0;duplicate1:358.0,primary:diagnostic_only/high;duplicate1:diagnostic_only/high,partial_visible;none;bbox=true,Two diagnostic-only PV003 boxes remain separated by 168.5 px (5.05 m).,not uniquely defined,same conflict as 335,337 assigns the earlier upper-left trajectory to PV004,Provides transition evidence for a likely PV003/PV004 link error.,duplicate boxes and multiple vehicles,unresolved,UNRESOLVED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p01.png
GM_RM017_PV003_000337_014,GM_RM017,GM_RM017:PV003,337,162,"primary:931.2,941.4",primary:161.3x78.4,primary:4.84x2.35,primary:356.0,primary:diagnostic_only/high,full_visible;none;bbox=true,PV003 main box and newly appearing PV004 box separate the two trajectories.,weak lower band in PV003 main box,follows 335-336 duplicate conflict,usable PV003 anchors resume in 338,Supports treating 335-337 as GT identity conflict rather than vehicle response motion.,PV004 transition; diagnostic GT,mixed,UNRESOLVED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p01.png
GM_RM017_PV003_000350_015,GM_RM017,GM_RM017:PV003,350,168,"primary:1018.9,940.8",primary:173.8x74.2,primary:5.21x2.22,primary:175.0,primary:usable/high,full_visible;none;bbox=true,A fragmented lower response and endpoint hotspot are visible without full box coverage.,lower long-axis side and right endpoint,stronger than early lifecycle,changes across 351-360,Adds a complementary part observation distinct from PV002's stronger band.,neighbor vehicle and diagonal background,vehicle-related with mixing,MULTIFRAME_SUPPORTED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p02.png
GM_RM017_PV003_000394_016,GM_RM017,GM_RM017:PV003,394,189,"primary:1297.6,942.3",primary:159.9x73.5,primary:4.80x2.20,primary:177.0,primary:usable/high,partial_visible;none;bbox=true,Last direct PV003 GT anchor still shows incomplete local response.,lower/central weak band,continues from 393,395-417 have no PV003 SAR GT,Marks the limit of direct SAR geometry support before optical exit.,unlinked box appears nearby,vehicle-related only at anchor,MULTIFRAME_SUPPORTED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p03.png
GM_RM017_PV003_000417_017,GM_RM017,GM_RM017:PV003,417,200,,,,,no frame GT; review crop helper only,partial_visible;exit;bbox=true,Optical vehicle reaches its last visible frame but SAR view uses only the nearest frame-394 crop.,not reliably defined,no direct GT since 394,lifecycle ends,Shows complete optical identity does not fill a missing SAR geometry/attribution interval.,crop helper; PV004 nearby,unresolved,UNRESOLVED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv003_sar_314_417_contact_p04.png
GM_RM017_PV004_000337_018,GM_RM017,GM_RM017:PV004,337,162,"primary:765.4,878.0",primary:145.8x73.2,primary:4.37x2.19,primary:-1.0,primary:usable/high,partial_visible;entry;bbox=true,First PV004 anchor contains almost no clear box-local response.,isolated weak speck only,emerges from PV003 duplicate conflict,remains sparse through following frames,Establishes a third vehicle with no PV002-like main band.,strong diagonal lines outside box,unresolved,CANDIDATE_RELATION,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p01.png
GM_RM017_PV004_000350_019,GM_RM017,GM_RM017:PV004,350,168,"primary:836.5,876.5",primary:170.1x79.0,primary:5.10x2.37,primary:176.0,primary:usable/high,partial_visible;none;bbox=true,Sparse isolated returns remain while background diagonal structures are stronger.,small central/lower speck,similar to 349,no stable band emerges,Strengthens the cross-vehicle counterexample to fixed tangent propagation.,diagonal/arc background dominates,mixed or background,CANDIDATE_RELATION,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p01.png
GM_RM017_PV004_000394_020,GM_RM017,GM_RM017:PV004,394,189,"primary:1144.1,881.4",primary:163.8x79.5,primary:4.91x2.38,primary:177.0,primary:usable/high,full_visible;none;bbox=true,Last dense-anchor portion still lacks a stable vehicle-scale response.,weak central return,gradual sparse pattern,395 begins GT interpolation gap,Shows absence of a stable template across a long valid-GT interval.,PV003 adjacency; fixed scene structures,unresolved,MULTIFRAME_SUPPORTED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p02.png
GM_RM017_PV004_000400_021,GM_RM017,GM_RM017:PV004,400,192,,,,,no frame GT; review crop helper only,full_visible;none;bbox=true,No direct frame GT; crop is interpolated between 394 and 429.,not reliable,GT gap begins,background structures persist while optical car remains visible,Separates visual continuity of the scene from trustworthy vehicle attribution.,interpolation-only crop; fixed arcs/lines,unresolved,UNRESOLVED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p03.png
GM_RM017_PV004_000429_022,GM_RM017,GM_RM017:PV004,429,206,"primary:1376.3,871.4;duplicate1:1521.3,934.7",primary:198.1x86.0;duplicate1:170.4x79.3,primary:5.94x2.58;duplicate1:5.11x2.38,primary:177.0;duplicate1:-8.0,primary:usable/high;duplicate1:diagnostic_only/low,partial_visible;none;bbox=true,Usable primary box and low-confidence diagnostic duplicate are 158.1 px (4.74 m) apart.,two incompatible positions,follows long GT gap,later duplicate recurs at 438,Adds a late-life identity/geometry conflict near optical exit.,duplicate GT; boundary visibility,unresolved,UNRESOLVED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p04.png
GM_RM017_PV004_000438_023,GM_RM017,GM_RM017:PV004,438,210,"primary:1425.5,873.2;duplicate1:1586.5,930.0",primary:179.8x79.4;duplicate1:192.0x82.2,primary:5.40x2.38;duplicate1:5.76x2.47,primary:176.0;duplicate1:-10.0,primary:usable/high;duplicate1:diagnostic_only/low,partial_visible;none;bbox=true,Primary and diagnostic duplicate boxes are 170.7 px (5.12 m) apart.,two incompatible positions,repeats frame-429 conflict,442 returns to one diagnostic-only box,Confirms the late conflict is not a single-frame anomaly.,duplicate GT; weak local response,unresolved,UNRESOLVED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p04.png
GM_RM017_PV004_000442_024,GM_RM017,GM_RM017:PV004,442,212,"primary:1441.6,873.0",primary:161.4x80.3,primary:4.84x2.41,primary:176.0,primary:diagnostic_only/high,partial_visible;none;bbox=true,Single diagnostic-only box contains little distinct response.,weak/absent,after duplicate frame 438,446 usable box remains weak,Prevents upgrading late sparse returns to a recovered object.,edge exit; background arc,unresolved,UNRESOLVED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p04.png
GM_RM017_PV004_000446_025,GM_RM017,GM_RM017:PV004,446,214,"primary:1473.5,869.3",primary:180.8x77.0,primary:5.43x2.31,primary:178.0,primary:usable/high,partial_visible;exit;bbox=true,Final optical frame and usable SAR box remain response-poor.,no stable part,weak from 445,lifecycle ends,Provides an explicit exit boundary and rejects indefinite background ownership.,persistent diagonal scene structure,vehicle response unresolved; background excluded,UNRESOLVED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm17_pv004_sar_337_446_contact_p04.png
GM_RM019_PV001_000000_026,GM_RM019,GM_RM019:PV001,0,0,"primary:1177.4,1198.0;duplicate1:965.9,1198.0",primary:145.8x64.5;duplicate1:133.4x76.8,primary:4.37x1.93;duplicate1:4.00x2.30,primary:1.0;duplicate1:11.0,primary:usable/high;duplicate1:diagnostic_only/low,partial_visible;entry;bbox=true,High-confidence primary and low-confidence duplicate PV001 boxes are 211.5 px (6.34 m) apart.,not unique,initial frame,conflict recurs at 4,Shows the identity problem exists before any temporal continuation.,two boxes; PV002 enters later,unresolved,UNRESOLVED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv001_sar_0_35_contact_p01.png
GM_RM019_PV001_000004_027,GM_RM019,GM_RM019:PV001,4,2,"primary:1186.8,1196.0;duplicate1:978.4,1190.6",primary:149.4x65.0;duplicate1:144.3x69.8,primary:4.48x1.95;duplicate1:4.33x2.09,primary:6.0;duplicate1:16.0,primary:usable/high;duplicate1:diagnostic_only/low,partial_visible;none;bbox=true,Duplicate PV001 boxes remain 208.6 px (6.26 m) apart.,not unique,same as frame 0,frame 8 has one usable anchor,Temporal persistence does not make both boxes true.,duplicate identity link,unresolved,UNRESOLVED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv001_sar_0_35_contact_p01.png
GM_RM019_PV001_000008_028,GM_RM019,GM_RM019:PV001,8,4,"primary:1196.7,1195.1",primary:146.2x70.7,primary:4.39x2.12,primary:5.0,primary:usable/high,partial_visible;none;bbox=true,Single usable PV001 anchor contains sparse local returns.,weak central/lower returns,resolves duplicate selection locally,next direct anchor is 27,Provides the last early reliable geometry before a long GT gap.,PV002 optical entry; arcs and vertical line,vehicle-related candidate,CANDIDATE_RELATION,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv001_sar_0_35_contact_p01.png
GM_RM019_PV001_000020_029,GM_RM019,GM_RM019:PV001,20,10,,,,,no frame GT; review crop helper only,partial_visible;none;bbox=true,No direct frame GT; both PV001 and PV002 are optically present/near transition.,not reliably defined,interpolated from sparse anchors,frame 27 supplies two usable vehicle boxes,Shows why multi-car attribution cannot be solved by local brightness.,two vehicles; fixed hotspot/arc,unresolved,UNRESOLVED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_multivehicle_sar_20_60_contact_p01.png
GM_RM019_PV001_000027_030,GM_RM019,GM_RM019:PV001,27,13,"primary:1296.9,1186.5",primary:179.5x75.6,primary:5.38x2.27,primary:-9.0,primary:usable/high,partial_visible;none;bbox=true,Usable PV001 and PV002 boxes are both present; PV001 response is sparse.,weak local return in right box,after GT gap,optical PV001 exits after 14 and no later direct PV001 GT exists,Provides the only reliable two-car SAR geometry anchor in this interval.,neighbor PV002; fixed arcs,mixed,CANDIDATE_RELATION,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_multivehicle_sar_20_60_contact_p01.png
GM_RM019_PV001_000031_031,GM_RM019,GM_RM019:PV001,31,15,,,,,no frame GT; review crop helper only,outside;none;bbox=false,No PV001 GT; two boxes are both linked as PV002 while optical PV001 is already outside.,not defined,follows frame-27 PV001 anchor,persistent scene structure continues after vehicle exit,Demonstrates that lifecycle exclusion is needed to reject stale ownership.,PV002 duplicate; fixed background,excluded from current PV001,EXCLUDED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_multivehicle_sar_20_60_contact_p01.png
GM_RM019_PV002_000010_032,GM_RM019,GM_RM019:PV002,10,5,,,,,no frame GT; review crop helper only,partial_visible;entry;bbox=true,"White MPV is partially visible optically, but there is no direct SAR GT.",not reliably defined,entry interval,later frame 27 supplies first usable anchor,Shows optical presence alone does not determine a SAR response object.,PV001 overlap; crop helper only,unresolved,UNRESOLVED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv002_sar_10_90_contact_p01.png
GM_RM019_PV002_000020_033,GM_RM019,GM_RM019:PV002,20,10,,,,,no frame GT; review crop helper only,partial_visible;none;bbox=true,Optical MPV is near full visibility; SAR remains a crop helper with strong scene structures.,not reliably defined,gradual optical entry,27 provides direct GT,Separates optical visibility from SAR pixel ownership.,"fixed vertical line, arcs, PV001",unresolved,UNRESOLVED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_multivehicle_sar_20_60_contact_p01.png
GM_RM019_PV002_000027_034,GM_RM019,GM_RM019:PV002,27,13,"primary:1063.7,1203.8",primary:182.3x72.1,primary:5.47x2.16,primary:-3.0,primary:usable/high,partial_visible;none;bbox=true,Reliable MPV GT contains sparse P1/P2-like returns rather than a complete body.,central/lower sparse returns,new direct anchor after helper frames,31 retains a related cluster but adds a duplicate link,First direct GM19 example of incomplete single-frame response.,PV001 neighbor; arcs and vertical structures,vehicle-related with mixing,CANDIDATE_RELATION,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv002_vehicle_coordinate_and_background_risk.png
GM_RM019_PV002_000031_035,GM_RM019,GM_RM019:PV002,31,15,"primary:1072.1,1205.4;duplicate1:1296.5,1189.7",primary:163.9x68.7;duplicate1:147.0x74.1,primary:4.92x2.06;duplicate1:4.41x2.22,primary:-4.0;duplicate1:0.0,primary:usable/high;duplicate1:diagnostic_only/low,partial_visible;none;bbox=true,Primary usable box contains a cluster; low-confidence duplicate lies 225.0 px (6.75 m) away.,primary lower/central cluster; duplicate position incompatible,continues from frame 27 primary trajectory,no direct GT until 77,Provides a direct multi-hypothesis conflict that brightness cannot resolve.,possible stale PV001-like position; fixed scene returns,primary candidate; duplicate unresolved,UNRESOLVED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv002_vehicle_coordinate_and_background_risk.png
GM_RM019_PV002_000040_036,GM_RM019,GM_RM019:PV002,40,19,,,,,no frame GT; review crop helper only,partial_visible;none;bbox=true,"Optical MPV is still visible, but SAR geometry is interpolated across a 46-frame anchor gap.",not reliable,after frame 31,scene structures persist through 50-60,Shows middle-window continuity is insufficient without identity/GT support.,"vertical line, fan arcs, fixed hotspots",unresolved,UNRESOLVED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv002_sar_10_90_contact_p01.png
GM_RM019_PV002_000050_037,GM_RM019,GM_RM019:PV002,50,24,,,,,no frame GT; review crop helper only,partial_visible;none;bbox=true,Vehicle remains optically visible; local SAR brightness reorganizes around fixed scene structures.,not reliable,similar background persists from 40,continues through 60,Shows that simple union/frequency would absorb background rather than preserve relations.,fixed arcs and central vertical line,unresolved,UNRESOLVED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv002_sar_10_90_contact_p02.png
GM_RM019_PV002_000060_038,GM_RM019,GM_RM019:PV002,60,29,,,,,no frame GT; review crop helper only,partial_visible;none;bbox=true,Optical MPV approaches right-side exit while no direct SAR GT is available.,not reliable,after long interpolation-only interval,77 supplies next direct anchor,Shows full lifecycle context is needed to avoid treating the gap as object disappearance.,persistent scene returns,unresolved,UNRESOLVED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_multivehicle_sar_20_60_contact_p04.png
GM_RM019_PV002_000077_039,GM_RM019,GM_RM019:PV002,77,37,"primary:1269.2,1206.6",primary:169.3x74.1,primary:5.08x2.22,primary:2.0,primary:usable/high,partial_visible;none;bbox=true,Usable exit-side GT contains a compact intermittent cluster.,central/lower sparse cluster,new direct anchor after long gap,81 changes angle and weakens,Provides a second separated observation compatible with an incomplete vehicle response.,fan boundary and fixed structures,vehicle-related candidate,MULTIFRAME_SUPPORTED,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv002_vehicle_coordinate_and_background_risk.png
GM_RM019_PV002_000081_040,GM_RM019,GM_RM019:PV002,81,39,"primary:1278.8,1213.8",primary:152.5x73.5,primary:4.58x2.20,primary:12.0,primary:usable/high,partial_visible;none;bbox=true,Usable box rotates to 12 degrees while response remains sparse.,weak central/endpoint return,changes from 77 without a complete template,88 weakens further,Shows GT pose can change while visible response parts do not transform as a rigid full object.,edge truncation; background arcs,vehicle-related candidate,CANDIDATE_RELATION,"manual review of raw SAR sequence, rotated-GT overlay, synchronized optical frame and neighboring/full-lifecycle contact sheets",reports/oty2/samples/oty2_rsa2_o0_review_pack_20260718/gm19_pv002_sar_10_90_contact_p03.png
