eval_id,family_id,sar_frame,family_state,raw_judgement,assisted_judgement,gt_exact_frame_available,bbox_iou,gt_coverage_ratio,prediction_purity_ratio,prediction_to_gt_area_ratio,center_distance_px,center_distance_m,posthoc_label_group_eval_only,vehicle_identity_eval_only,gt_assisted_explanation_cn,provenance
R21EV0011,R21F00011,46,vehicle_response_box_possible:1,unresolved,background_or_misled,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,white_suv_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0012,R21F00012,52,unresolved:3;vehicle_part_box_only:1,unresolved,background_or_misled,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,white_suv_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0013,R21F00013,60,vehicle_response_box_possible:1,unresolved,mechanism_partial,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,white_suv_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0014,R21F00014,60,unresolved:1,unresolved,unresolved,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,white_suv_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0015,R21F00015,77,unresolved:6;vehicle_part_box_only:1;vehicle_response_box_possible:1,unresolved,unresolved,true,0,0,0,0.286958,86.150623,2.584519,historical_nonpositive_or_holdout_group_eval_only,white_suv_eval_only,"GT 仅用于冻结后评价；IoU=0, GT coverage=0, purity=0。",eval_only_after_raw_and_assisted_freeze
R21EV0016,R21F00016,78,unresolved:4;vehicle_part_box_only:1;vehicle_response_box_possible:2,unresolved,unresolved,false,,,,,,,historical_positive_group_eval_only,white_suv_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0017,R21F00017,79,unresolved:5;vehicle_part_box_only:1;vehicle_response_box_possible:2,unresolved,unresolved,false,,,,,,,historical_positive_group_eval_only,white_suv_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0018,R21F00018,80,unresolved:3;vehicle_part_box_only:3;vehicle_response_box_possible:2,background,background_or_misled,false,,,,,,,historical_positive_group_eval_only,white_suv_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0019,R21F00019,81,unresolved:4;vehicle_response_box_possible:1,background,background_or_misled,true,0.270386,0.356409,0.528359,0.674559,62.03449,1.861035,historical_positive_group_eval_only,white_suv_eval_only,"GT 仅用于冻结后评价；IoU=0.270386, GT coverage=0.356409, purity=0.528359。",eval_only_after_raw_and_assisted_freeze
R21EV0020,R21F00020,212,unresolved:2;vehicle_part_box_only:1,unresolved,unresolved,true,0.041526,0.041526,1,0.041526,21.674226,0.650227,historical_nonpositive_or_holdout_group_eval_only,unknown_or_holdout_eval_only,"GT 仅用于冻结后评价；IoU=0.041526, GT coverage=0.041526, purity=1。",eval_only_after_raw_and_assisted_freeze
R21EV0021,R21F00021,213,unresolved:3;vehicle_part_box_only:1,unresolved,unresolved,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,unknown_or_holdout_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0022,R21F00022,216,unresolved:2;vehicle_part_box_only:1,unresolved,unresolved,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,unknown_or_holdout_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0023,R21F00023,220,unresolved:2,unresolved,mechanism_partial,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,unknown_or_holdout_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0024,R21F00024,224,unresolved:5;vehicle_part_box_only:2,unresolved,mechanism_partial,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,unknown_or_holdout_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0025,R21F00025,227,unresolved:3;vehicle_part_box_only:1,unresolved,mechanism_partial,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,unknown_or_holdout_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0026,R21F00026,228,unresolved:3;vehicle_response_box_possible:1,unresolved,mechanism_partial,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,unknown_or_holdout_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0027,R21F00027,238,unresolved:1;vehicle_response_box_possible:1,unresolved,mechanism_partial,true,0.567172,0.91225,0.5999,1.52067,12.9874,0.389622,historical_nonpositive_or_holdout_group_eval_only,unknown_or_holdout_eval_only,"GT 仅用于冻结后评价；IoU=0.567172, GT coverage=0.91225, purity=0.5999。",eval_only_after_raw_and_assisted_freeze
R21EV0028,R21F00028,239,unresolved:1;vehicle_response_box_possible:2,unresolved,mechanism_partial,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,unknown_or_holdout_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0029,R21F00029,243,unresolved:2;vehicle_response_box_possible:1,unresolved,mechanism_partial,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,unknown_or_holdout_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0030,R21F00030,250,unresolved:2;vehicle_response_box_possible:1,unresolved,mechanism_partial,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,unknown_or_holdout_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0031,R21F00031,259,unresolved:1;vehicle_part_box_only:1;vehicle_response_box_possible:2;vehicle_response_box_supported:3,vehicle_response,vehicle_response,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,unknown_or_holdout_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0032,R21F00032,260,unresolved:3;vehicle_part_box_only:1;vehicle_response_box_possible:1;vehicle_response_box_supported:2,vehicle_response,vehicle_response,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,unknown_or_holdout_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0033,R21F00033,262,vehicle_response_box_possible:1,background,background_or_misled,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,unknown_or_holdout_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0034,R21F00034,263,vehicle_response_box_possible:1,background,background_or_misled,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,unknown_or_holdout_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0035,R21F00035,269,unresolved:6;vehicle_part_box_only:1;vehicle_response_box_possible:1,background,background_or_misled,true,0.379545,0.671914,0.465886,1.442227,46.946231,1.408387,historical_nonpositive_or_holdout_group_eval_only,silver_mpv_eval_only,"GT 仅用于冻结后评价；IoU=0.379545, GT coverage=0.671914, purity=0.465886。",eval_only_after_raw_and_assisted_freeze
R21EV0036,R21F00036,270,unresolved:6;vehicle_part_box_only:1;vehicle_response_box_possible:1,vehicle_response,mechanism_partial,false,,,,,,,historical_positive_group_eval_only,silver_mpv_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0037,R21F00037,271,unresolved:4;vehicle_part_box_only:1;vehicle_response_box_possible:1;vehicle_response_box_supported:2,vehicle_response,vehicle_response,false,,,,,,,historical_positive_group_eval_only,silver_mpv_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0038,R21F00038,272,unresolved:6;vehicle_part_box_only:1;vehicle_response_box_possible:1,vehicle_response,mechanism_partial,false,,,,,,,historical_positive_group_eval_only,silver_mpv_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0039,R21F00039,273,vehicle_part_box_only:1;vehicle_response_box_possible:1;vehicle_response_box_supported:1,vehicle_response,vehicle_response,true,0.347176,0.714108,0.403221,1.77101,41.309662,1.23929,historical_positive_group_eval_only,silver_mpv_eval_only,"GT 仅用于冻结后评价；IoU=0.347176, GT coverage=0.714108, purity=0.403221。",eval_only_after_raw_and_assisted_freeze
R21EV0040,R21F00040,273,unresolved:2,background,background_or_misled,true,0,0,0,0.035139,80.475513,2.414265,historical_positive_group_eval_only,silver_mpv_eval_only,"GT 仅用于冻结后评价；IoU=0, GT coverage=0, purity=0。",eval_only_after_raw_and_assisted_freeze
R21EV0041,R21F00041,276,unresolved:5;vehicle_part_box_only:1;vehicle_response_box_possible:1;vehicle_response_box_supported:1,background,background_or_misled,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,silver_mpv_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0042,R21F00042,278,unresolved:3;vehicle_response_box_possible:1,background,background_or_misled,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,silver_mpv_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0043,R21F00043,279,unresolved:4;vehicle_response_box_possible:1,background,background_or_misled,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,silver_mpv_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0044,R21F00044,280,unresolved:3;vehicle_response_box_possible:1,background,background_or_misled,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,silver_mpv_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0045,R21F00045,281,unresolved:4;vehicle_part_box_only:1;vehicle_response_box_possible:1;vehicle_response_box_supported:2,vehicle_response,mechanism_partial,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,silver_mpv_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0046,R21F00046,284,unresolved:5;vehicle_response_box_possible:1,background,background_or_misled,false,,,,,,,historical_nonpositive_or_holdout_group_eval_only,silver_mpv_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0047,R21F00047,288,unresolved:4;vehicle_response_box_possible:1,unresolved,mechanism_partial,true,0.357273,0.624659,0.454937,1.373068,41.354494,1.240635,historical_nonpositive_or_holdout_group_eval_only,silver_mpv_eval_only,"GT 仅用于冻结后评价；IoU=0.357273, GT coverage=0.624659, purity=0.454937。",eval_only_after_raw_and_assisted_freeze
R21EV0048,R21F00048,289,unresolved:5;vehicle_part_box_only:1;vehicle_response_box_possible:1;vehicle_response_box_supported:1,unresolved,mechanism_partial,false,,,,,,,historical_positive_group_eval_only,silver_mpv_eval_only,GT 仅用于冻结后评价；该帧没有 exact GT，不做正确/错误真值裁决。,eval_only_after_raw_and_assisted_freeze
R21EV0049,R21F00049,290,unresolved:3;vehicle_part_box_only:2;vehicle_response_box_possible:2,unresolved,mechanism_partial,true,0.363579,0.627988,0.463381,1.35523,45.06413,1.351924,historical_positive_group_eval_only,silver_mpv_eval_only,"GT 仅用于冻结后评价；IoU=0.363579, GT coverage=0.627988, purity=0.463381。",eval_only_after_raw_and_assisted_freeze
