target_family_id,scene_id,source_fragment_id,frame_start,frame_end,frame_count,frames_with_raw_all_candidate_table,frames_with_raw_candidate_rows,frames_with_competing_candidate,selected_rows_present_in_bank,competing_source_detection_ids,competing_x_bins,contrast_status,contrast_recommendation,sar_ready,note
GM_RM011_WGV12TF016,GM_RM011,GM_RM011_WG11F013,260,264,5,5,5,4,5,GM_RM011_000261_002;GM_RM011_000261_003;GM_RM011_000261_004;GM_RM011_000262_002;GM_RM011_000263_002;GM_RM011_000264_002,left;mid,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM011_WGV12TF017,GM_RM011,GM_RM011_WG11F014,265,266,2,2,2,1,2,GM_RM011_000266_002,right,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM011_WGV12TF018,GM_RM011,GM_RM011_WG11F014,269,270,2,2,2,1,2,GM_RM011_000270_002,right,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM011_WGV12TF019,GM_RM011,GM_RM011_WG11F015,279,288,9,9,9,2,9,GM_RM011_000279_002;GM_RM011_000287_002,left;mid,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM011_WGV12TF020,GM_RM011,GM_RM011_WG11F016,289,292,4,4,4,4,4,GM_RM011_000289_002;GM_RM011_000290_001;GM_RM011_000291_001;GM_RM011_000292_001;GM_RM011_000292_003,left;right,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM017_WGV12TF001,GM_RM017,GM_RM017_WG11F001,118,144,27,27,27,5,27,GM_RM017_000128_002;GM_RM017_000130_002;GM_RM017_000142_002;GM_RM017_000143_002;GM_RM017_000144_002,left;right,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM017_WGV12TF002,GM_RM017,GM_RM017_WG11F002,145,148,4,4,4,4,4,GM_RM017_000145_002;GM_RM017_000146_002;GM_RM017_000147_002;GM_RM017_000148_002,left,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM017_WGV12TF003,GM_RM017,GM_RM017_WG11F002,149,155,7,7,7,7,7,GM_RM017_000149_002;GM_RM017_000149_003;GM_RM017_000150_002;GM_RM017_000150_003;GM_RM017_000151_002;GM_RM017_000151_003;GM_RM017_000152_002;GM_RM017_000152_003;GM_RM017_000153_002;GM_RM017_000153_003;GM_RM017_000154_002;GM_RM017_000154_003;GM_RM017_000155_002;GM_RM017_000155_003,left;mid;right,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM017_WGV12TF004,GM_RM017,GM_RM017_WG11F002,156,157,2,2,2,2,2,GM_RM017_000156_002;GM_RM017_000156_003;GM_RM017_000157_002;GM_RM017_000157_003;GM_RM017_000157_004,left,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM017_WGV12TF005,GM_RM017,GM_RM017_WG11F002,158,158,1,1,1,1,1,GM_RM017_000158_002;GM_RM017_000158_003,left;right,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM017_WGV12TF006,GM_RM017,GM_RM017_WG11F004,164,168,5,5,5,5,5,GM_RM017_000164_002;GM_RM017_000164_003;GM_RM017_000164_004;GM_RM017_000165_002;GM_RM017_000165_003;GM_RM017_000165_004;GM_RM017_000166_002;GM_RM017_000166_003;GM_RM017_000166_004;GM_RM017_000167_002;GM_RM017_000167_003;GM_RM017_000168_002;GM_RM017_000168_003,left;mid;right,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM017_WGV12TF007,GM_RM017,GM_RM017_WG11F004,169,173,5,5,5,5,5,GM_RM017_000169_002;GM_RM017_000169_003;GM_RM017_000170_002;GM_RM017_000170_003;GM_RM017_000170_004;GM_RM017_000171_002;GM_RM017_000171_003;GM_RM017_000172_002;GM_RM017_000172_003;GM_RM017_000173_002;GM_RM017_000173_003;GM_RM017_000173_004,left;mid;right,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM017_WGV12TF008,GM_RM017,GM_RM017_WG11F004,174,175,2,2,2,2,2,GM_RM017_000174_002;GM_RM017_000174_003;GM_RM017_000174_004;GM_RM017_000175_002;GM_RM017_000175_003,left;right,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM017_WGV12TF009,GM_RM017,GM_RM017_WG11F004,176,181,6,6,6,6,6,GM_RM017_000176_002;GM_RM017_000176_003;GM_RM017_000177_002;GM_RM017_000177_003;GM_RM017_000178_002;GM_RM017_000178_003;GM_RM017_000179_002;GM_RM017_000179_003;GM_RM017_000180_002;GM_RM017_000180_003;GM_RM017_000181_002;GM_RM017_000181_003,left;mid,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM017_WGV12TF010,GM_RM017,GM_RM017_WG11F004,182,185,4,4,4,4,4,GM_RM017_000182_002;GM_RM017_000182_003;GM_RM017_000183_002;GM_RM017_000183_003;GM_RM017_000184_002;GM_RM017_000184_003;GM_RM017_000185_002;GM_RM017_000185_003,mid;right,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM017_WGV12TF011,GM_RM017,GM_RM017_WG11F005,200,213,14,14,14,1,14,GM_RM017_000200_002,right,all_candidate_contrast_available,review_competing_candidates_before_merge,no / blocked,target-family contrast from available candidate bank only
GM_RM017_WGV12TF012,GM_RM017,GM_RM017_WG11F005,214,214,1,1,1,0,1,,,all_candidate_contrast_available,no_competing_candidate_in_available_bank_review_sequence,no / blocked,target-family contrast from available candidate bank only
