hidden_sample_id,physical_vehicle_id,pair_id,frame,observed_bbox,observed_depth,visible_left,visible_right,visible_top,visible_bottom,edge_constraint,degradation_pattern,missing_observation
GM17_HIDDEN_0043,PV_GM17_WHITE_SUV,WGV35A_PAIR_0130,177,"294.049,282.710,524.704,354.576",3.856517,true,true,true,false,bottom,bottom,false
GM17_HIDDEN_0044,PV_GM17_WHITE_SUV,WGV35A_PAIR_0133,177,"294.048,282.711,381.389,351.620",3.894782,true,false,true,false,right_bottom,right_bottom,false
GM17_HIDDEN_0045,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0129,177,"216.418,310.249,308.766,364.962",3.930103,false,true,true,false,left_bottom,left_bottom,false
GM17_HIDDEN_0046,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0132,177,"237.100,310.250,270.176,376.993",3.611019,false,false,true,true,left_right,left_right,false
GM17_HIDDEN_0047,PV_GM17_WHITE_SUV,WGV35A_PAIR_0135,178,"311.954,280.293,403.195,380.552",3.62321,true,false,true,true,right,right,false
GM17_HIDDEN_0048,PV_GM17_WHITE_SUV,WGV35A_PAIR_0138,178,"399.608,280.294,547.283,363.992",3.935016,false,true,true,false,left_bottom,left_bottom,false
GM17_HIDDEN_0049,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0136,178,"147.878,308.705,329.527,346.700",3.934294,true,true,true,false,bottom,bottom,false
GM17_HIDDEN_0050,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0139,178,"147.876,308.705,227.209,362.385",3.859054,true,false,true,false,right_bottom,right_bottom,false
GM17_HIDDEN_0051,PV_GM17_WHITE_SUV,WGV35A_PAIR_0140,179,"460.330,283.678,569.260,381.775",3.694158,false,true,true,true,left,left,false
GM17_HIDDEN_0052,PV_GM17_WHITE_SUV,WGV35A_PAIR_0143,179,,,false,false,false,false,missing_1_frame,missing_1_frame,true
GM17_HIDDEN_0053,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0142,179,"164.258,310.422,287.052,377.454",3.713748,true,false,true,true,right,right,false
GM17_HIDDEN_0054,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0145,179,"212.235,310.425,343.949,367.167",3.924,false,true,true,false,left_bottom,left_bottom,false
GM17_HIDDEN_0055,PV_GM17_WHITE_SUV,WGV35A_PAIR_0146,180,"353.433,284.322,591.535,382.939",3.673025,true,true,true,true,none,none,false
GM17_HIDDEN_0056,PV_GM17_WHITE_SUV,WGV35A_PAIR_0149,180,"353.434,284.321,446.988,382.936",3.691223,true,false,true,true,right,right,false
GM17_HIDDEN_0057,PV_GM17_WHITE_SUV,WGV35A_PAIR_0152,180,"497.074,284.322,591.535,340.898",3.908134,false,true,true,false,left_bottom,left_bottom,false
GM17_HIDDEN_0058,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0147,180,"180.609,310.099,278.328,378.500",3.705933,true,false,true,true,right,right,false
GM17_HIDDEN_0059,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0150,180,"232.535,310.101,366.972,369.608",3.964403,false,true,true,false,left_bottom,left_bottom,false
GM17_HIDDEN_0060,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0153,180,"236.516,310.099,311.059,378.500",3.751969,false,false,true,true,left_right,left_right,false
GM17_HIDDEN_0061,PV_GM17_WHITE_SUV,WGV35A_PAIR_0156,181,"373.727,282.417,557.921,382.529",3.576692,true,false,true,true,right,right,false
GM17_HIDDEN_0062,PV_GM17_WHITE_SUV,WGV35A_PAIR_0159,181,"451.780,282.418,614.976,366.738",3.868508,false,true,true,false,left_bottom,left_bottom,false
GM17_HIDDEN_0063,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0155,181,"196.500,310.653,384.262,369.585",3.957406,true,true,true,false,bottom,bottom,false
GM17_HIDDEN_0064,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0158,181,"196.499,310.646,334.429,370.127",3.947313,true,false,true,false,right_bottom,right_bottom,false
GM17_HIDDEN_0065,PV_GM17_WHITE_SUV,WGV35A_PAIR_0162,182,"443.304,283.212,638.699,384.680",3.670928,false,true,true,true,left,left,false
GM17_HIDDEN_0066,PV_GM17_WHITE_SUV,WGV35A_PAIR_0165,182,"393.197,283.213,638.694,342.709",3.947518,true,true,true,false,bottom,bottom,false
GM17_HIDDEN_0067,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0161,182,"211.301,313.652,345.684,381.018",3.701966,true,false,true,true,right,right,false
GM17_HIDDEN_0068,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0164,182,"275.027,313.649,404.500,372.326",4.006193,false,true,true,false,left_bottom,left_bottom,false
GM17_HIDDEN_0069,PV_GM17_WHITE_SUV,WGV35A_PAIR_0168,183,"416.032,282.812,662.715,384.129",3.707274,true,true,true,true,none,none,false
GM17_HIDDEN_0070,PV_GM17_WHITE_SUV,WGV35A_PAIR_0170,183,"416.032,282.809,550.259,384.134",3.646613,true,false,true,true,right,right,false
GM17_HIDDEN_0071,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0167,183,"292.786,313.733,423.473,380.575",3.630144,false,true,true,true,left,left,false
GM17_HIDDEN_0072,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0169,183,"228.471,313.730,423.470,356.209",3.940716,true,true,true,false,bottom,bottom,false
GM17_HIDDEN_0073,PV_GM17_WHITE_SUV,WGV35A_PAIR_0172,184,"580.562,280.408,618.029,384.190",3.551161,false,false,true,true,left_right,left_right,false
GM17_HIDDEN_0074,PV_GM17_WHITE_SUV,WGV35A_PAIR_0175,184,"497.100,280.409,685.547,384.194",3.672883,false,true,true,true,left,left,false
GM17_HIDDEN_0075,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0171,184,"245.144,313.116,442.411,380.821",3.673027,true,true,true,true,none,none,false
GM17_HIDDEN_0076,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0174,184,"245.148,313.114,320.218,380.824",3.741402,true,false,true,true,right,right,false
GM17_HIDDEN_0077,PV_GM17_WHITE_SUV,WGV35A_PAIR_0178,185,"458.042,276.236,602.747,364.229",3.910362,true,false,true,false,right_bottom,right_bottom,false
GM17_HIDDEN_0078,PV_GM17_WHITE_SUV,WGV35A_PAIR_0180,185,"458.043,276.234,708.733,380.992",3.657845,true,true,true,true,none,none,false
GM17_HIDDEN_0079,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0177,185,"359.482,311.146,364.497,380.249",3.737142,false,false,true,true,left_right,left_right,false
GM17_HIDDEN_0080,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0179,185,"320.096,311.142,462.501,380.254",3.721342,false,true,true,true,left,left,false
GM17_HIDDEN_0081,PV_GM17_WHITE_SUV,WGV35A_PAIR_0181,186,"614.862,277.862,733.557,340.661",3.808808,false,true,true,false,left_bottom,left_bottom,false
GM17_HIDDEN_0082,PV_GM17_WHITE_SUV,WGV35A_PAIR_0183,186,"583.418,277.862,650.808,383.475",3.668414,false,false,true,true,left_right,left_right,false
GM17_HIDDEN_0083,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0182,186,"313.088,312.046,417.688,360.474",3.958121,true,false,true,false,right_bottom,right_bottom,false
GM17_HIDDEN_0084,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0184,186,,,false,false,false,false,missing_1_frame,missing_1_frame,true
GM17_HIDDEN_0085,PV_GM17_WHITE_SUV,WGV35A_PAIR_0185,187,"500.103,277.309,759.186,355.249",3.917128,true,true,true,false,bottom,bottom,false
GM17_HIDDEN_0086,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0186,187,"293.893,312.663,500.823,366.710",3.94195,true,true,true,false,bottom,bottom,false
GM17_HIDDEN_0087,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0187,187,"293.894,312.662,405.300,368.019",3.961323,true,false,true,false,right_bottom,right_bottom,false
GM17_HIDDEN_0088,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0190,188,"310.621,312.574,520.029,380.181",3.755475,true,true,true,true,none,none,false
GM17_HIDDEN_0089,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0191,188,"310.623,312.575,437.255,380.178",3.745215,true,false,true,true,right,right,false
GM17_HIDDEN_0090,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0194,189,"420.671,310.241,538.476,359.504",3.990056,false,true,true,false,left_bottom,left_bottom,false
GM17_HIDDEN_0091,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0196,189,"378.476,310.240,481.133,379.806",3.736016,false,false,true,true,left_right,left_right,false
