case_id,response_box_id,sar_frame,error_type,reason,provenance
R2ERR0001,R2B0001,27,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=overlaps_gt_eval_only,eval_only_gt_assisted
R2ERR0015,R2B0014,39,blind_confirmed_vehicle_miss,blind_confirmed_vehicle_miss: status=unresolved_box; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0016,R2B0014,39,runtime_blind_vehicle_disagreement,runtime_blind_vehicle_disagreement: status=unresolved_box; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0017,R2B0015,39,blind_confirmed_vehicle_miss,blind_confirmed_vehicle_miss: status=unresolved_box; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0018,R2B0015,39,runtime_blind_vehicle_disagreement,runtime_blind_vehicle_disagreement: status=unresolved_box; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0019,R2B0016,39,blind_confirmed_vehicle_miss,blind_confirmed_vehicle_miss: status=unresolved_box; assisted=vehicle_part; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0020,R2B0016,39,runtime_blind_vehicle_disagreement,runtime_blind_vehicle_disagreement: status=unresolved_box; assisted=vehicle_part; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0021,R2B0017,40,blind_confirmed_vehicle_miss,blind_confirmed_vehicle_miss: status=unresolved_box; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0022,R2B0017,40,runtime_blind_vehicle_disagreement,runtime_blind_vehicle_disagreement: status=unresolved_box; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0023,R2B0018,40,blind_confirmed_vehicle_miss,blind_confirmed_vehicle_miss: status=unresolved_box; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0024,R2B0018,40,runtime_blind_vehicle_disagreement,runtime_blind_vehicle_disagreement: status=unresolved_box; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0025,R2B0019,40,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_supported; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0026,R2B0020,46,blind_confirmed_vehicle_miss,blind_confirmed_vehicle_miss: status=unresolved_box; assisted=vehicle_part; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0027,R2B0020,46,runtime_blind_vehicle_disagreement,runtime_blind_vehicle_disagreement: status=unresolved_box; assisted=vehicle_part; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0028,R2B0021,52,blind_confirmed_vehicle_miss,blind_confirmed_vehicle_miss: status=unresolved_box; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0029,R2B0021,52,runtime_blind_vehicle_disagreement,runtime_blind_vehicle_disagreement: status=unresolved_box; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0030,R2B0022,60,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0031,R2B0023,60,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0032,R2B0024,77,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=overlaps_gt_eval_only,eval_only_gt_assisted
R2ERR0033,R2B0025,77,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_supported; assisted=vehicle_core; gt_relation=overlaps_gt_eval_only,eval_only_gt_assisted
R2ERR0034,R2B0026,78,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0035,R2B0027,78,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0036,R2B0028,79,blind_confirmed_vehicle_miss,blind_confirmed_vehicle_miss: status=unresolved_box; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0037,R2B0028,79,runtime_blind_vehicle_disagreement,runtime_blind_vehicle_disagreement: status=unresolved_box; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0038,R2B0029,79,blind_confirmed_vehicle_miss,blind_confirmed_vehicle_miss: status=unresolved_box; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0039,R2B0029,79,runtime_blind_vehicle_disagreement,runtime_blind_vehicle_disagreement: status=unresolved_box; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0040,R2B0030,80,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0041,R2B0031,80,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_supported; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0042,R2B0032,81,blind_confirmed_vehicle_miss,blind_confirmed_vehicle_miss: status=unresolved_box; assisted=vehicle_core; gt_relation=overlaps_gt_eval_only,eval_only_gt_assisted
R2ERR0043,R2B0032,81,runtime_blind_vehicle_disagreement,runtime_blind_vehicle_disagreement: status=unresolved_box; assisted=vehicle_core; gt_relation=overlaps_gt_eval_only,eval_only_gt_assisted
R2ERR0044,R2B0033,81,blind_confirmed_vehicle_miss,blind_confirmed_vehicle_miss: status=unresolved_box; assisted=vehicle_core; gt_relation=overlaps_gt_eval_only,eval_only_gt_assisted
R2ERR0045,R2B0033,81,runtime_blind_vehicle_disagreement,runtime_blind_vehicle_disagreement: status=unresolved_box; assisted=vehicle_core; gt_relation=overlaps_gt_eval_only,eval_only_gt_assisted
R2ERR0046,R2B0034,212,gt_overlap_but_blind_unresolved,gt_overlap_but_blind_unresolved: status=unresolved_box; assisted=unresolved; gt_relation=overlaps_gt_eval_only,eval_only_gt_assisted
R2ERR0047,R2B0035,216,no_error_taxonomy_flag,no_error_taxonomy_flag: status=unresolved_box; assisted=unresolved; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0048,R2B0036,224,no_error_taxonomy_flag,no_error_taxonomy_flag: status=unresolved_box; assisted=unresolved; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0049,R2B0037,227,no_error_taxonomy_flag,no_error_taxonomy_flag: status=unresolved_box; assisted=unresolved; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0050,R2B0038,228,no_error_taxonomy_flag,no_error_taxonomy_flag: status=unresolved_box; assisted=unresolved; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0051,R2B0039,239,no_error_taxonomy_flag,no_error_taxonomy_flag: status=unresolved_box; assisted=unresolved; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0052,R2B0040,259,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0053,R2B0041,259,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0054,R2B0042,260,no_error_taxonomy_flag,no_error_taxonomy_flag: status=unresolved_box; assisted=unresolved; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0055,R2B0043,262,no_error_taxonomy_flag,no_error_taxonomy_flag: status=unresolved_box; assisted=unresolved; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0056,R2B0044,263,no_error_taxonomy_flag,no_error_taxonomy_flag: status=unresolved_box; assisted=unresolved; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0057,R2B0045,269,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=overlaps_gt_eval_only,eval_only_gt_assisted
R2ERR0058,R2B0046,269,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_supported; assisted=vehicle_core; gt_relation=overlaps_gt_eval_only,eval_only_gt_assisted
R2ERR0059,R2B0047,270,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0060,R2B0048,270,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_supported; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0061,R2B0049,271,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0062,R2B0050,271,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_supported; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0063,R2B0051,272,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0064,R2B0052,272,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_supported; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0065,R2B0053,273,gt_overlap_but_blind_unresolved,gt_overlap_but_blind_unresolved: status=unresolved_box; assisted=unresolved; gt_relation=overlaps_gt_eval_only,eval_only_gt_assisted
R2ERR0066,R2B0054,276,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0067,R2B0055,276,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0068,R2B0056,278,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0069,R2B0057,278,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0070,R2B0058,279,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0071,R2B0059,279,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0072,R2B0060,280,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0073,R2B0061,280,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0074,R2B0062,281,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0075,R2B0063,281,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0076,R2B0064,281,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0077,R2B0065,284,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0078,R2B0066,284,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0079,R2B0067,288,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=overlaps_gt_eval_only,eval_only_gt_assisted
R2ERR0080,R2B0068,288,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=overlaps_gt_eval_only,eval_only_gt_assisted
R2ERR0081,R2B0069,289,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_possible; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0082,R2B0070,289,no_error_taxonomy_flag,no_error_taxonomy_flag: status=vehicle_response_box_supported; assisted=vehicle_core; gt_relation=no_exact_gt_for_frame,eval_only_gt_assisted
R2ERR0083,R2B0071,290,gt_overlap_but_blind_unresolved,gt_overlap_but_blind_unresolved: status=unresolved_box; assisted=unresolved; gt_relation=overlaps_gt_eval_only,eval_only_gt_assisted
