response_box_id,core_subgraph_id,sar_frame,box_status,core_member_atom_ids,included_optional_atom_ids,excluded_or_uncertain_atom_ids,core_bbox_x1_px,core_bbox_y1_px,core_bbox_x2_px,core_bbox_y2_px,response_bbox_x1_px,response_bbox_y1_px,response_bbox_x2_px,response_bbox_y2_px,bbox_width_px,bbox_height_px,bbox_width_m,bbox_height_m,center_x_m,center_y_m,range_m,azimuth_deg,final_annotation_space
R2B0014,R2C0014,39,unresolved_box,R1A0038,R1A0039;R1A0041,R1A0035;R1A0036;R1A0037;R1A0040,1108,1165,1192,1276,1084,1165,1192,1276,108,111,3.24,3.33,34.14,36.615,3.352539,-8.231615,sar_image_pixel_domain
R2B0015,R2C0015,39,unresolved_box,R1A0038;R1A0040;R1A0041,R1A0039,R1A0035;R1A0036;R1A0037,1048,1165,1192,1276,1048,1165,1192,1276,144,111,4.32,3.33,33.6,36.615,3.471242,-17.088169,sar_image_pixel_domain
R2B0016,R2C0016,39,unresolved_box,R1A0035;R1A0040,,R1A0036;R1A0037;R1A0038;R1A0039;R1A0041,982,1141,1078,1225,982,1141,1078,1225,96,84,2.88,2.52,30.9,35.49,5.783215,-40.033901,sar_image_pixel_domain
R2B0017,R2C0017,40,unresolved_box,R1A0045,R1A0044;R1A0046,R1A0042;R1A0043,1114,1171,1193,1261,1054,1171,1193,1261,139,90,4.17,2.7,33.705,36.48,3.553848,-14.66971,sar_image_pixel_domain
R2B0018,R2C0018,40,unresolved_box,R1A0042;R1A0045;R1A0046,R1A0044,R1A0043,994,1135,1193,1261,994,1135,1193,1261,199,126,5.97,3.78,32.805,35.94,4.366289,-24.346216,sar_image_pixel_domain
R2B0019,R2C0019,40,vehicle_response_box_supported,R1A0042;R1A0046,R1A0044;R1A0045,R1A0043,994,1135,1108,1231,994,1135,1193,1261,199,126,5.97,3.78,32.805,35.94,4.366289,-24.346216,sar_image_pixel_domain
R2B0020,R2C0020,46,unresolved_box,R1A0047,R1A0048;R1A0049,,1030,1135,1114,1153,1030,1135,1193,1249,163,114,4.89,3.42,33.345,35.76,4.344716,-16.8584,sar_image_pixel_domain
R2B0021,R2C0021,52,unresolved_box,R1A0054,R1A0053,R1A0050;R1A0051;R1A0052,1114,1213,1180,1243,1114,1201,1180,1243,66,42,1.98,1.26,34.41,36.66,3.26476,-3.687997,sar_image_pixel_domain
R2B0022,R2C0022,60,vehicle_response_box_possible,R1A0060,R1A0059;R1A0061;R1A0063,R1A0055;R1A0056;R1A0057;R1A0058;R1A0062,1146,1205,1188,1247,1146,1163,1218,1271,72,108,2.16,3.24,35.46,36.51,3.509994,13.84621,sar_image_pixel_domain
R2B0023,R2C0023,60,vehicle_response_box_possible,R1A0059;R1A0060;R1A0061,R1A0055;R1A0056;R1A0057;R1A0062;R1A0063,R1A0058,1146,1163,1218,1247,1146,1133,1296,1271,150,138,4.5,4.14,36.63,36.06,4.350202,27.519306,sar_image_pixel_domain
R2B0024,R2C0024,77,vehicle_response_box_possible,R1A0069,R1A0066;R1A0067,R1A0064;R1A0065;R1A0068,1146,1187,1248,1271,1146,1151,1284,1271,138,120,4.14,3.6,36.45,36.33,4.027734,27.023106,sar_image_pixel_domain
R2B0025,R2C0025,77,vehicle_response_box_supported,R1A0066;R1A0067;R1A0069,R1A0064;R1A0065;R1A0068,,1146,1151,1284,1271,1146,1133,1332,1271,186,138,5.58,4.14,37.17,36.06,4.624571,33.46328,sar_image_pixel_domain
R2B0026,R2C0026,78,vehicle_response_box_possible,R1A0074,R1A0070;R1A0072;R1A0073;R1A0075;R1A0076,R1A0071,1188,1187,1248,1241,1146,1133,1284,1271,138,138,4.14,4.14,36.45,36.06,4.270019,25.376814,sar_image_pixel_domain
R2B0027,R2C0027,78,vehicle_response_box_possible,R1A0070;R1A0073;R1A0074,R1A0072;R1A0075;R1A0076,R1A0071,1146,1133,1260,1241,1146,1133,1284,1271,138,138,4.14,4.14,36.45,36.06,4.270019,25.376814,sar_image_pixel_domain
R2B0028,R2C0028,79,unresolved_box,R1A0080,R1A0079;R1A0081;R1A0083,R1A0077;R1A0078;R1A0082,1194,1187,1254,1241,1170,1175,1260,1271,90,96,2.7,2.88,36.45,36.69,3.710644,29.549534,sar_image_pixel_domain
R2B0029,R2C0029,79,unresolved_box,R1A0079;R1A0080;R1A0083,R1A0081;R1A0082,R1A0077;R1A0078,1170,1175,1260,1271,1146,1175,1260,1271,114,96,3.42,2.88,36.09,36.69,3.546953,24.484066,sar_image_pixel_domain
R2B0030,R2C0030,80,vehicle_response_box_possible,R1A0089,R1A0084;R1A0086;R1A0087;R1A0090,R1A0085;R1A0088,1200,1181,1260,1241,1146,1133,1290,1271,144,138,4.32,4.14,36.54,36.06,4.309357,26.458025,sar_image_pixel_domain
R2B0031,R2C0031,80,vehicle_response_box_supported,R1A0087;R1A0089;R1A0090,R1A0084;R1A0086,R1A0085;R1A0088,1146,1175,1266,1271,1146,1133,1290,1271,144,138,4.32,4.14,36.54,36.06,4.309357,26.458025,sar_image_pixel_domain
R2B0032,R2C0032,81,unresolved_box,R1A0094,R1A0093;R1A0095,R1A0091;R1A0092,1200,1181,1260,1241,1176,1175,1272,1271,96,96,2.88,2.88,36.72,36.69,3.850971,33.046326,sar_image_pixel_domain
R2B0033,R2C0033,81,unresolved_box,R1A0094;R1A0095,R1A0093,R1A0091;R1A0092,1176,1181,1260,1271,1176,1175,1272,1271,96,96,2.88,2.88,36.72,36.69,3.850971,33.046326,sar_image_pixel_domain
R2B0034,R2C0034,212,unresolved_box,R1A0098,R1A0097,R1A0096,1005,1210,1023,1240,999,1126,1132,1240,133,114,3.99,3.42,31.965,35.49,5.155267,-30.803654,sar_image_pixel_domain
R2B0035,R2C0035,216,unresolved_box,R1A0104,R1A0103,,1017,1216,1035,1240,975,1126,1131,1240,156,114,4.68,3.42,31.59,35.49,5.365452,-34.383129,sar_image_pixel_domain
R2B0036,R2C0036,224,unresolved_box,R1A0108,R1A0107;R1A0109,,1041,1210,1065,1240,1005,1126,1132,1240,127,114,3.81,3.42,32.055,35.49,5.1248,-30.227468,sar_image_pixel_domain
R2B0037,R2C0037,227,unresolved_box,R1A0113,R1A0110;R1A0114,R1A0111;R1A0112,1051,1207,1075,1237,1021,1135,1171,1243,150,108,4.5,3.24,32.88,35.67,4.590544,-22.274231,sar_image_pixel_domain
R2B0038,R2C0038,228,unresolved_box,R1A0117,R1A0115;R1A0118,R1A0116,1051,1207,1081,1237,1021,1135,1159,1243,138,108,4.14,3.24,32.7,35.67,4.661749,-24.321896,sar_image_pixel_domain
R2B0039,R2C0039,239,unresolved_box,R1A0122,R1A0121;R1A0123,,1087,1201,1111,1237,1051,1135,1177,1255,126,120,3.78,3.6,33.42,35.85,4.241299,-16.435284,sar_image_pixel_domain
R2B0040,R2C0040,259,vehicle_response_box_possible,R1A0134,R1A0130;R1A0133,R1A0131;R1A0132,1191,1198,1233,1234,1107,1138,1239,1258,132,120,3.96,3.6,35.19,35.94,4.018629,8.1543,sar_image_pixel_domain
R2B0041,R2C0041,259,vehicle_response_box_possible,R1A0130;R1A0134,R1A0131;R1A0132;R1A0133,,1107,1138,1233,1258,1107,1138,1251,1258,144,120,4.32,3.6,35.37,35.94,4.048083,10.677041,sar_image_pixel_domain
R2B0042,R2C0042,260,unresolved_box,R1A0137,R1A0135,R1A0136,1197,1198,1233,1234,1107,1138,1239,1258,132,120,3.96,3.6,35.19,35.94,4.018629,8.1543,sar_image_pixel_domain
R2B0043,R2C0043,262,unresolved_box,R1A0140,R1A0138,R1A0139,1203,1192,1215,1234,1107,1138,1227,1264,120,126,3.6,3.78,35.01,36.03,3.907511,5.728102,sar_image_pixel_domain
R2B0044,R2C0044,263,unresolved_box,R1A0142,R1A0141,,1203,1192,1227,1234,1107,1138,1263,1258,156,120,4.68,3.6,35.55,35.94,4.085263,13.158608,sar_image_pixel_domain
R2B0045,R2C0045,269,vehicle_response_box_possible,R1A0147,R1A0143,R1A0144;R1A0145;R1A0146;R1A0148,1143,1204,1185,1258,1107,1138,1245,1258,138,120,4.14,3.6,35.28,35.94,4.032379,9.420277,sar_image_pixel_domain
R2B0046,R2C0046,269,vehicle_response_box_supported,R1A0143;R1A0147;R1A0148,R1A0144;R1A0145;R1A0146,,1107,1138,1245,1258,1107,1138,1281,1258,174,120,5.22,3.6,35.82,35.94,4.155054,16.786419,sar_image_pixel_domain
R2B0047,R2C0047,270,vehicle_response_box_possible,R1A0153,R1A0149,R1A0150;R1A0151;R1A0152,1137,1204,1185,1258,1107,1138,1263,1258,156,120,4.68,3.6,35.55,35.94,4.085263,13.158608,sar_image_pixel_domain
R2B0048,R2C0048,270,vehicle_response_box_supported,R1A0149;R1A0152;R1A0153,R1A0150;R1A0151,,1107,1138,1263,1258,1107,1138,1281,1258,174,120,5.22,3.6,35.82,35.94,4.155054,16.786419,sar_image_pixel_domain
R2B0049,R2C0049,271,vehicle_response_box_possible,R1A0157,R1A0154,R1A0155;R1A0156,1143,1210,1197,1252,1107,1138,1281,1252,174,114,5.22,3.42,35.82,35.85,4.241299,16.435284,sar_image_pixel_domain
R2B0050,R2C0050,271,vehicle_response_box_supported,R1A0154;R1A0156;R1A0157,R1A0155,,1107,1138,1281,1252,1107,1138,1281,1252,174,114,5.22,3.42,35.82,35.85,4.241299,16.435284,sar_image_pixel_domain
R2B0051,R2C0051,272,vehicle_response_box_possible,R1A0162,R1A0158,R1A0159;R1A0160;R1A0161,1145,1212,1199,1266,1115,1140,1253,1266,138,126,4.14,3.78,35.52,36.09,3.932376,13.230511,sar_image_pixel_domain
R2B0052,R2C0052,272,vehicle_response_box_supported,R1A0158;R1A0161;R1A0162,R1A0159;R1A0160,,1115,1140,1253,1266,1115,1140,1289,1266,174,126,5.22,3.78,36.06,36.09,4.089887,20.615076,sar_image_pixel_domain
R2B0053,R2C0053,273,unresolved_box,R1A0166,R1A0163;R1A0165,R1A0164,1241,1194,1259,1236,1115,1140,1283,1266,168,126,5.04,3.78,35.97,36.09,4.059074,19.425943,sar_image_pixel_domain
R2B0054,R2C0054,276,vehicle_response_box_possible,R1A0170,R1A0167,R1A0168;R1A0169,1157,1212,1211,1242,1127,1140,1271,1242,144,102,4.32,3.06,35.97,35.73,4.400209,17.866707,sar_image_pixel_domain
R2B0055,R2C0055,276,vehicle_response_box_possible,R1A0167;R1A0169;R1A0170,R1A0168,,1127,1140,1271,1242,1127,1140,1283,1242,156,102,4.68,3.06,36.15,35.73,4.458726,20.068743,sar_image_pixel_domain
R2B0056,R2C0056,278,vehicle_response_box_possible,R1A0173,R1A0171,R1A0172,1163,1212,1217,1266,1121,1140,1277,1266,156,126,4.68,3.78,35.97,36.09,4.059074,19.425943,sar_image_pixel_domain
R2B0057,R2C0057,278,vehicle_response_box_possible,R1A0171;R1A0173,R1A0172,,1121,1140,1277,1266,1121,1140,1289,1266,168,126,5.04,3.78,36.15,36.09,4.122436,21.785927,sar_image_pixel_domain
R2B0058,R2C0058,279,vehicle_response_box_possible,R1A0177,R1A0174,R1A0175;R1A0176,1163,1212,1217,1266,1115,1140,1277,1266,162,126,4.86,3.78,35.88,36.09,4.030035,18.219149,sar_image_pixel_domain
R2B0059,R2C0059,279,vehicle_response_box_possible,R1A0174;R1A0176;R1A0177,R1A0175,,1115,1140,1277,1266,1115,1140,1289,1266,174,126,5.22,3.78,36.06,36.09,4.089887,20.615076,sar_image_pixel_domain
R2B0060,R2C0060,280,vehicle_response_box_possible,R1A0180,R1A0178,R1A0179,1163,1212,1223,1266,1115,1140,1277,1266,162,126,4.86,3.78,35.88,36.09,4.030035,18.219149,sar_image_pixel_domain
R2B0061,R2C0061,280,vehicle_response_box_possible,R1A0178;R1A0180,R1A0179,,1115,1140,1277,1266,1115,1140,1277,1266,162,126,4.86,3.78,35.88,36.09,4.030035,18.219149,sar_image_pixel_domain
R2B0062,R2C0062,281,vehicle_response_box_possible,R1A0184,R1A0181;R1A0185,R1A0182;R1A0183,1170,1210,1200,1270,1146,1138,1278,1270,132,132,3.96,3.96,36.36,36.12,4.177607,24.614216,sar_image_pixel_domain
R2B0063,R2C0063,281,vehicle_response_box_possible,R1A0181;R1A0184;R1A0185,R1A0182;R1A0183,,1146,1138,1278,1270,1146,1138,1296,1270,150,132,4.5,3.96,36.63,36.12,4.29708,27.888956,sar_image_pixel_domain
R2B0064,R2C0064,281,vehicle_response_box_possible,R1A0183;R1A0185,R1A0181;R1A0184,R1A0182,1206,1204,1284,1246,1146,1138,1284,1270,138,132,4.14,3.96,36.45,36.12,4.215887,25.726284,sar_image_pixel_domain
R2B0065,R2C0065,284,vehicle_response_box_possible,R1A0189,R1A0186,R1A0187;R1A0188;R1A0190,1176,1204,1236,1264,1146,1138,1296,1264,150,126,4.5,3.78,36.63,36.03,4.37683,27.337851,sar_image_pixel_domain
R2B0066,R2C0066,284,vehicle_response_box_possible,R1A0186;R1A0189,R1A0187;R1A0190,R1A0188,1146,1138,1296,1264,1146,1138,1308,1264,162,126,4.86,3.78,36.81,36.03,4.462358,29.391331,sar_image_pixel_domain
R2B0067,R2C0067,288,vehicle_response_box_possible,R1A0192,R1A0191;R1A0193;R1A0194,,1200,1192,1224,1240,1146,1138,1308,1270,162,132,4.86,3.96,36.81,36.12,4.384165,29.96858,sar_image_pixel_domain
R2B0068,R2C0068,288,vehicle_response_box_possible,R1A0191;R1A0192,R1A0193;R1A0194,,1146,1138,1308,1240,1146,1138,1308,1270,162,132,4.86,3.96,36.81,36.12,4.384165,29.96858,sar_image_pixel_domain
R2B0069,R2C0069,289,vehicle_response_box_possible,R1A0197,R1A0195;R1A0198;R1A0199,R1A0196,1200,1210,1224,1240,1146,1138,1308,1270,162,132,4.86,3.96,36.81,36.12,4.384165,29.96858,sar_image_pixel_domain
R2B0070,R2C0070,289,vehicle_response_box_supported,R1A0195;R1A0197;R1A0199,R1A0196;R1A0198,,1146,1138,1308,1270,1146,1138,1344,1270,198,132,5.94,3.96,37.35,36.12,4.67736,35.708557,sar_image_pixel_domain
R2B0071,R2C0071,290,unresolved_box,R1A0202,R1A0200;R1A0201,,1146,1246,1206,1282,1146,1138,1314,1282,168,144,5.04,4.32,36.9,36.3,4.276485,32.218414,sar_image_pixel_domain
