pair_id,scene,sar_frame,sar_gt_id,sar_center_x,sar_center_y,sar_center_azimuth_deg,sar_center_radial_pixel,sar_azimuth_min,sar_azimuth_max,sar_radial_min,sar_radial_max,sar_azimuth_span,sar_radial_span,sar_geometry_warning
WGV35A_PAIR_0027,GM_RM017,334,123,907.79,942.629,-32.3996,459.501,-42.7731,-21.4173,394.182,531.272,21.3558,137.089,
WGV35A_PAIR_0028,GM_RM017,334,124,1077.382,1010.473,-13.4598,329.168,-28.4501,0.6946,290.662,383.109,29.1448,92.447,
WGV35A_PAIR_0029,GM_RM017,335,125,1084.338,1004.145,-12.0456,333.805,-26.8186,1.722,292.508,388.866,28.5406,96.358,
WGV35A_PAIR_0030,GM_RM017,335,126,922.34,938.917,-30.6021,455.063,-41.9786,-19.0823,387.319,530.234,22.8963,142.915,
WGV35A_PAIR_0032,GM_RM017,336,128,1095.41,1010.403,-10.3693,325.513,-26.4282,5.0192,285.833,380.771,31.4474,94.938,
WGV35A_PAIR_0033,GM_RM017,336,129,921.75,940.581,-30.7731,453.933,-42.0304,-19.1277,384.7,530.227,22.9028,145.527,
WGV35A_PAIR_0034,GM_RM017,336,130,767.177,873.581,-40.2447,598.747,-47.7764,-32.2034,526.841,673.498,15.573,146.657,
WGV35A_PAIR_0035,GM_RM017,337,334,931.185,941.426,-29.7926,448.445,-41.1058,-18.489,382.12,521.799,22.6167,139.679,
WGV35A_PAIR_0036,GM_RM017,337,335,1095.721,1005.685,-10.1688,330.1,-24.857,4.0313,291.496,380.225,28.8883,88.729,
WGV35A_PAIR_0037,GM_RM017,337,135,765.375,877.975,-40.6495,596.573,-48.0115,-32.826,522.938,672.034,15.1855,149.096,
WGV35A_PAIR_0038,GM_RM017,338,131,939.9,941.11,-28.7973,444.456,-39.5374,-18.0417,382.194,513.075,21.4957,130.881,
WGV35A_PAIR_0039,GM_RM017,338,132,1103.718,1009.292,-8.8942,325.219,-23.234,4.879,291.606,371.969,28.113,80.363,
WGV35A_PAIR_0040,GM_RM017,338,133,769.558,879.92,-40.4651,592.375,-48.2411,-32.0812,514.238,672.681,16.1599,158.443,
WGV35A_PAIR_0041,GM_RM017,339,134,943.915,943.403,-28.4833,440.519,-39.4067,-17.4198,380.028,508.286,21.9869,128.258,
WGV35A_PAIR_0042,GM_RM017,339,136,1111.398,1005.798,-7.4724,327.584,-22.9595,7.7314,288.064,378.434,30.6909,90.37,
WGV35A_PAIR_0043,GM_RM017,339,137,778.574,879.981,-39.7988,586.517,-47.7002,-31.3929,509.747,665.534,16.3073,155.787,
WGV35A_PAIR_0044,GM_RM017,340,138,950.81,945.983,-27.8471,434.99,-39.7427,-15.8397,368.744,509.337,23.903,140.593,
WGV35A_PAIR_0045,GM_RM017,340,139,1115.084,1010.773,-6.9375,322.186,-21.1694,6.7264,287.898,368.642,27.8958,80.744,
WGV35A_PAIR_0047,GM_RM017,341,141,1129.371,1008.903,-4.378,322.638,-20.7749,11.9349,288.272,368.684,32.7099,80.412,
WGV35A_PAIR_0048,GM_RM017,341,142,954.206,941.303,-27.1677,437.573,-39.0704,-15.3173,373.094,510.567,23.7531,137.474,
WGV35A_PAIR_0049,GM_RM017,341,143,781.406,884.729,-39.884,581.057,-47.5337,-31.785,508.628,655.752,15.7487,147.125,
WGV35A_PAIR_0050,GM_RM017,342,144,1127.16,1008.93,-4.7697,322.788,-19.4012,9.5808,287.709,368.453,28.982,80.743,
WGV35A_PAIR_0051,GM_RM017,342,145,960.692,941.628,-26.4261,434.358,-38.011,-14.8598,374.139,503.176,23.1512,129.037,
WGV35A_PAIR_0053,GM_RM017,343,147,970.145,940.871,-25.2556,430.919,-37.2498,-13.6038,368.011,502.294,23.646,134.283,
WGV35A_PAIR_0054,GM_RM017,343,148,1138.871,1011.29,-2.7127,319.668,-18.7773,13.3802,281.298,367.459,32.1575,86.161,
WGV35A_PAIR_0055,GM_RM017,343,149,794.653,880.48,-38.6016,575.967,-46.4731,-30.4113,502.739,651.303,16.0619,148.564,
WGV35A_PAIR_0056,GM_RM017,344,150,977.092,940.874,-24.4147,427.999,-35.6147,-13.4122,370.41,493.25,22.2025,122.839,
WGV35A_PAIR_0057,GM_RM017,344,151,1140.293,1009.731,-2.4461,321.162,-18.2327,13.2981,283.972,367.756,31.5308,83.784,
WGV35A_PAIR_0059,GM_RM017,345,153,1147.065,1010.129,-1.2397,320.546,-17.136,14.8019,284.549,367.922,31.9378,83.373,
WGV35A_PAIR_0060,GM_RM017,345,154,980.185,940.116,-23.9951,427.422,-36.2255,-12.2444,365.396,498.485,23.9811,133.089,
WGV35A_PAIR_0061,GM_RM017,345,155,808.169,878.984,-37.4436,568.82,-45.8264,-28.7556,494.574,645.978,17.0707,151.404,
WGV35A_PAIR_0062,GM_RM017,346,156,1156.725,1010.95,0.4884,319.662,-14.7715,16.2345,280.503,371.538,31.006,91.035,
WGV35A_PAIR_0063,GM_RM017,346,157,989.475,940.156,-22.8495,423.692,-35.0404,-11.2974,365.5,491.485,23.743,125.985,
WGV35A_PAIR_0064,GM_RM017,346,158,820.217,882.154,-36.6607,559.03,-44.9166,-28.144,489.684,631.642,16.7726,141.958,
WGV35A_PAIR_0065,GM_RM017,347,159,995.919,940.452,-22.0569,420.957,-34.5583,-10.0482,363.812,488.786,24.5101,124.974,
WGV35A_PAIR_0066,GM_RM017,347,160,1160.194,1011.129,1.1107,319.531,-13.7552,16.6302,282.104,371.389,30.3854,89.285,
WGV35A_PAIR_0068,GM_RM017,348,162,1000.25,943.5,-21.6622,416.516,-33.8529,-10.0209,358.547,483.782,23.8321,125.235,
WGV35A_PAIR_0069,GM_RM017,348,163,1164.61,1011.088,1.9019,319.688,-11.5888,15.9566,280.439,368.831,27.5454,88.393,
WGV35A_PAIR_0071,GM_RM017,349,165,1175.342,1006.066,3.7625,325.235,-12.1241,20.3872,283.126,383.712,32.5113,100.586,
WGV35A_PAIR_0073,GM_RM017,349,167,1006.863,944.274,-20.8499,413.397,-34.0153,-8.2198,358.216,481.186,25.7955,122.97,
WGV35A_PAIR_0074,GM_RM017,350,168,1177.32,1004.422,4.0894,327.011,-10.4299,19.5883,282.831,384.81,30.0182,101.98,
WGV35A_PAIR_0076,GM_RM017,350,170,1018.893,940.828,-19.1179,412.524,-32.3182,-6.8012,363.246,475.656,25.517,112.41,
WGV35A_PAIR_0077,GM_RM017,351,171,1189.747,1009.76,6.3575,322.825,-8.2961,22.0974,280.05,381.349,30.3935,101.299,
WGV35A_PAIR_0079,GM_RM017,351,173,1017.529,941.494,-19.3273,412.344,-32.4106,-6.9953,358.791,478.438,25.4153,119.648,
WGV35A_PAIR_0080,GM_RM017,352,174,1190.333,1009.353,6.4527,323.295,-7.7525,21.8711,279.822,381.094,29.6236,101.272,
WGV35A_PAIR_0081,GM_RM017,352,175,862.477,876.478,-32.6984,539.641,-42.2774,-22.8473,467.149,617.559,19.4301,150.41,
WGV35A_PAIR_0082,GM_RM017,352,176,1027.358,946.583,-18.2516,404.36,-31.1647,-6.1125,352.036,468.538,25.0521,116.502,
WGV35A_PAIR_0083,GM_RM017,353,177,1203.171,1010.061,8.7212,324.289,-5.6816,24.3623,280.24,383.533,30.0439,103.293,
WGV35A_PAIR_0084,GM_RM017,353,178,863.548,880.694,-32.8456,535.516,-41.8014,-23.4852,462.341,612.355,18.3163,150.014,
WGV35A_PAIR_0085,GM_RM017,353,179,1032.996,944.266,-17.3911,404.841,-30.2144,-5.5436,354.685,467.078,24.6707,112.393,
WGV35A_PAIR_0086,GM_RM017,354,180,871.054,877.859,-32.0038,533.885,-40.9034,-22.9325,465.715,606.201,17.9709,140.486,
WGV35A_PAIR_0087,GM_RM017,354,181,1040.45,944.803,-16.4005,402.16,-29.2083,-4.4984,356.206,461.002,24.71,104.797,
WGV35A_PAIR_0088,GM_RM017,354,182,1206.25,1010.062,9.2582,324.769,-4.6946,24.283,284.083,380.014,28.9776,95.931,
WGV35A_PAIR_0089,GM_RM017,355,183,876.155,878.29,-31.5616,530.832,-40.5461,-22.5267,463.349,602.532,18.0194,139.183,
WGV35A_PAIR_0090,GM_RM017,355,184,1045.658,942.116,-15.5829,403.309,-28.6431,-3.6228,356.33,463.646,25.0203,107.316,
WGV35A_PAIR_0091,GM_RM017,355,185,1209.187,1010.258,9.7747,325.061,-4.1997,24.9874,281.663,382.885,29.1871,101.221,
WGV35A_PAIR_0092,GM_RM017,356,186,890.673,881.57,-30.3889,520.547,-39.9284,-20.5564,451.853,594.707,19.3719,142.854,
WGV35A_PAIR_0093,GM_RM017,356,187,1216.276,1013.655,11.1163,323.005,-2.3924,25.9182,280.294,379.167,28.3106,98.874,
WGV35A_PAIR_0094,GM_RM017,356,188,1052.196,942.44,-14.6962,401.288,-28.1062,-2.5233,353.518,463.046,25.5829,109.528,
WGV35A_PAIR_0095,GM_RM017,357,189,887.982,878.766,-30.4875,524.328,-39.9838,-20.783,458.425,596.221,19.2008,137.796,
WGV35A_PAIR_0096,GM_RM017,357,190,1224.51,1008.527,12.3487,329.701,-1.463,27.1765,284.087,388.751,28.6396,104.664,
WGV35A_PAIR_0097,GM_RM017,357,191,1063.929,940.219,-12.9923,400.637,-26.172,-0.9083,355.368,459.839,25.2636,104.471,
WGV35A_PAIR_0098,GM_RM017,358,192,908.924,877.19,-28.392,515.406,-37.998,-18.7614,447.34,588.584,19.2366,141.243,
WGV35A_PAIR_0099,GM_RM017,358,193,1235.385,1010.033,14.2452,330.737,-0.3513,29.8491,278.881,396.431,30.2004,117.55,
WGV35A_PAIR_0100,GM_RM017,358,194,1069.646,943.937,-12.3068,395.757,-25.1257,-0.3204,353.72,450.43,24.8053,96.71,
WGV35A_PAIR_0101,GM_RM017,359,195,905.889,880.037,-28.8402,514.36,-38.7512,-18.8129,449.148,586.313,19.9383,137.165,
WGV35A_PAIR_0102,GM_RM017,359,196,1236.377,1012.138,14.5029,328.944,0.3164,29.6459,277.904,392.704,29.3294,114.8,
WGV35A_PAIR_0103,GM_RM017,359,197,1072.523,943.806,-11.8953,395.282,-25.3732,1.1185,358.316,446.402,26.4917,88.087,
WGV35A_PAIR_0104,GM_RM017,360,198,917.747,877.469,-27.5366,511.022,-37.4221,-17.7571,445.785,582.465,19.6649,136.68,
WGV35A_PAIR_0105,GM_RM017,360,199,1240.51,1007.548,14.9915,334.435,1.7933,29.2095,279.824,398.746,27.4162,118.922,
WGV35A_PAIR_0106,GM_RM017,360,200,1081.56,941.827,-10.5549,395.464,-23.288,1.3571,352.499,450.539,24.6452,98.039,
WGV35A_PAIR_0107,GM_RM017,361,201,925.484,882,-26.9942,503.45,-37.2312,-16.7538,440.178,574.2,20.4774,134.022,
WGV35A_PAIR_0108,GM_RM017,361,202,1250.587,1008.787,16.7063,335.995,2.2047,31.7155,282.62,402.041,29.5108,119.42,
WGV35A_PAIR_0109,GM_RM017,361,203,1090.856,942.248,-9.2352,393.452,-23.2865,4.3375,355.059,447.106,27.624,92.047,
WGV35A_PAIR_0110,GM_RM017,362,204,933.436,882.062,-26.1852,499.835,-35.3843,-17.1781,439.18,565.397,18.2062,126.217,
WGV35A_PAIR_0111,GM_RM017,362,205,1251.425,1005.568,16.6856,339.319,3.1708,31.4104,286.773,403.746,28.2395,116.973,
WGV35A_PAIR_0112,GM_RM017,362,206,1092.105,942.314,-9.0571,393.188,-21.5809,3.0611,351.37,444.841,24.642,93.471,
WGV35A_PAIR_0113,GM_RM017,363,207,939.425,877.429,-25.3374,501.404,-35.7116,-15.1735,438.067,572.246,20.5381,134.179,
WGV35A_PAIR_0114,GM_RM017,363,208,1266.561,1010.174,19.3556,339.622,5.4071,33.9101,286.736,404.289,28.503,117.553,
WGV35A_PAIR_0115,GM_RM017,363,209,1107.71,939.297,-6.7466,394.031,-20.8235,7.1813,355.784,443.712,28.0049,87.928,
WGV35A_PAIR_0116,GM_RM017,364,210,948.521,878.634,-24.4481,496.483,-35.8237,-13.2672,431.514,571.339,22.5565,139.825,
WGV35A_PAIR_0117,GM_RM017,364,211,1274.344,1009.831,20.5648,342.601,6.9876,35.4823,290.848,407.173,28.4946,116.325,
WGV35A_PAIR_0118,GM_RM017,364,212,1112.883,941.254,-6.0284,391.511,-20.3434,8.2842,352.177,440.156,28.6276,87.98,
WGV35A_PAIR_0119,GM_RM017,365,213,954.519,878.16,-23.7927,494.464,-34.3321,-13.3704,429.188,567.042,20.9617,137.854,
WGV35A_PAIR_0120,GM_RM017,365,214,1273.867,1008.747,20.4267,343.449,6.5798,34.4993,282.471,413.18,27.9195,130.708,
WGV35A_PAIR_0121,GM_RM017,365,215,1113.739,942.046,-5.9157,390.634,-18.6004,6.5803,354.622,436.327,25.1807,81.705,
WGV35A_PAIR_0122,GM_RM017,366,216,1285.305,1009.873,22.2641,346.564,7.3119,37.7153,283.37,421.56,30.4034,138.19,
WGV35A_PAIR_0123,GM_RM017,366,217,1129.813,941.987,-3.5615,389.365,-18.2989,11.2186,347.205,441.731,29.5175,94.526,
WGV35A_PAIR_0124,GM_RM017,366,218,963.924,877.103,-22.7402,491.72,-34.2817,-11.5008,429.685,564.497,22.7808,134.811,
WGV35A_PAIR_0125,GM_RM017,367,219,1285.375,1006.4,22.0592,349.807,8.1434,36.5454,284.144,423.979,28.402,139.835,
WGV35A_PAIR_0126,GM_RM017,367,220,1132.548,943.4,-3.1711,387.794,-16.318,10.0604,349.765,434.702,26.3784,84.937,
WGV35A_PAIR_0127,GM_RM017,367,221,968.249,878.722,-22.3458,488.566,-33.1562,-11.8349,428.273,557.66,21.3213,129.387,
WGV35A_PAIR_0128,GM_RM017,368,222,1293.974,1006.677,23.3702,352.872,9.3129,37.6174,285.326,428.336,28.3045,143.01,
WGV35A_PAIR_0129,GM_RM017,368,223,977.177,878.369,-21.3556,485.571,-32.515,-10.537,428.942,552.683,21.9779,123.74,
WGV35A_PAIR_0130,GM_RM017,368,224,1139.548,942.787,-2.1342,388.082,-15.9383,12.0675,346.549,442.544,28.0058,95.995,
WGV35A_PAIR_0131,GM_RM017,369,225,1296.485,1010.562,23.9992,350.323,10.7472,37.4812,293.585,416.098,26.734,122.514,
WGV35A_PAIR_0132,GM_RM017,369,226,980.082,879.107,-21.067,483.832,-31.7578,-10.6999,424.888,551.306,21.058,126.419,
WGV35A_PAIR_0133,GM_RM017,369,227,1135.602,942.273,-2.7125,388.763,-15.5988,10.5234,349.627,439.076,26.1223,89.448,
WGV35A_PAIR_0134,GM_RM017,370,228,1307.319,1008.513,25.4553,356.717,12.4258,38.2878,293.435,426.403,25.862,132.969,
WGV35A_PAIR_0135,GM_RM017,370,229,1150.939,943.927,-0.4536,386.685,-13.6041,12.9112,351.309,433.178,26.5152,81.869,
WGV35A_PAIR_0136,GM_RM017,370,230,991.806,876.892,-19.6712,481.828,-30.8448,-9.0676,425.964,548.053,21.7772,122.09,
WGV35A_PAIR_0137,GM_RM017,371,231,1308.5,1008.457,25.6224,357.276,12.712,38.3825,295.585,425.656,25.6705,130.071,
WGV35A_PAIR_0138,GM_RM017,371,232,1152.908,943.743,-0.1617,386.859,-11.651,11.9115,348.258,435.849,23.5624,87.591,
WGV35A_PAIR_0139,GM_RM017,371,233,998.5,878.306,-18.9731,478.278,-29.8234,-8.8535,424.872,541.475,20.9699,116.603,
WGV35A_PAIR_0140,GM_RM017,372,234,1167.105,941.444,1.9287,389.377,-11.6299,15.9198,350.346,442.174,27.5496,91.828,
WGV35A_PAIR_0141,GM_RM017,372,235,1319.8,1010.525,27.3843,360.469,13.4737,40.4355,295.671,433.177,26.9618,137.507,
WGV35A_PAIR_0142,GM_RM017,372,236,1010.409,876.567,-17.5499,476.198,-29.9995,-5.574,426.41,541.4,24.4255,114.99,
WGV35A_PAIR_0143,GM_RM017,373,237,1172.077,943.364,2.6727,387.658,-10.5564,16.4789,349.52,440.89,27.0353,91.369,
WGV35A_PAIR_0144,GM_RM017,373,238,1331.4,1010.018,28.9588,366.393,15.5635,42.6222,303.701,437.976,27.0587,134.274,
WGV35A_PAIR_0145,GM_RM017,373,239,1006.15,878.52,-18.11,475.643,-28.9007,-8.0315,420.042,540.274,20.8692,120.232,
WGV35A_PAIR_0146,GM_RM017,374,240,1179.7,944.002,3.8033,387.451,-9.7598,17.9976,347.149,443.383,27.7574,96.234,
WGV35A_PAIR_0147,GM_RM017,374,241,1015.806,875.966,-16.9076,475.173,-28.2804,-6.2148,416.864,543.496,22.0656,126.632,
WGV35A_PAIR_0148,GM_RM017,374,242,1331.725,1006.575,28.7444,369.565,15.3979,41.5716,299.527,445.315,26.1737,145.788,
WGV35A_PAIR_0149,GM_RM017,375,243,1182.299,946.874,4.2178,384.768,-8.533,17.7531,344.013,439.602,26.2861,95.589,
WGV35A_PAIR_0150,GM_RM017,375,244,1033.68,879.549,-14.9361,466.823,-26.4174,-4.2179,415.998,529.217,22.1995,113.218,
WGV35A_PAIR_0151,GM_RM017,375,245,1339.294,1005.913,29.7128,373.839,16.3381,42.5442,299.399,452.913,26.2061,153.515,
WGV35A_PAIR_0152,GM_RM017,376,246,1180.035,945.461,3.8673,386.018,-9.0692,17.4191,347.223,438.852,26.4883,91.63,
WGV35A_PAIR_0153,GM_RM017,376,247,1032.906,878.682,-15.0003,467.861,-27.2218,-3.7495,418.05,531.641,23.4723,113.591,
WGV35A_PAIR_0154,GM_RM017,376,248,1342.226,1007.484,30.2222,373.942,16.8662,42.9457,307.52,447.5,26.0795,139.98,
WGV35A_PAIR_0155,GM_RM017,377,249,1039.6,874.5,-14.0806,470.228,-25.1792,-3.9563,420.162,531.155,21.2229,110.993,
WGV35A_PAIR_0156,GM_RM017,377,250,1204.215,944.267,7.4057,389.583,-5.4697,21.2814,344.698,449.742,26.7511,105.044,
WGV35A_PAIR_0157,GM_RM017,377,251,1348.983,1007.298,31.0941,377.548,18.6691,42.8276,311.141,448.953,24.1585,137.811,
WGV35A_PAIR_0158,GM_RM017,378,252,1040.745,879.052,-14.0802,465.534,-25.0045,-4.0783,419.879,522.256,20.9262,102.377,
WGV35A_PAIR_0159,GM_RM017,378,253,1195.374,945.429,6.131,387.387,-6.2748,19.25,349.474,439.453,25.5247,89.979,
WGV35A_PAIR_0160,GM_RM017,378,254,1353.751,1010.026,31.9272,377.714,18.714,43.9933,307.874,453.284,25.2792,145.41,
WGV35A_PAIR_0161,GM_RM017,379,255,1044.93,873.058,-13.4081,470.363,-25.5075,-2.511,414.414,538.728,22.9965,124.314,
WGV35A_PAIR_0162,GM_RM017,379,256,1211.993,942.72,8.5035,392.191,-4.6763,22.8325,342.421,457.518,27.5088,115.097,
WGV35A_PAIR_0163,GM_RM017,379,257,1363.789,1006.373,32.9046,386.179,20.0029,44.9899,311.502,464.959,24.987,153.458,
WGV35A_PAIR_0164,GM_RM017,380,258,1059.061,882.835,-11.9711,457.719,-24.0094,-0.7719,411.701,517.456,23.2374,105.756,
WGV35A_PAIR_0165,GM_RM017,380,259,1209.306,943,8.1206,391.526,-4.0898,21.319,343.219,452.565,25.4088,109.346,
WGV35A_PAIR_0166,GM_RM017,380,260,1366.05,1009.825,33.4669,384.528,21.1588,44.7323,315.683,457.718,23.5735,142.035,
WGV35A_PAIR_0167,GM_RM017,381,261,1069.311,879.732,-10.6382,458.753,-21.7662,-0.4796,414.205,515.002,21.2867,100.797,
WGV35A_PAIR_0168,GM_RM017,381,262,1220.12,943.178,9.6852,393.024,-2.5796,22.9353,345.755,453.509,25.515,107.754,
WGV35A_PAIR_0169,GM_RM017,382,264,1072.845,883.926,-10.2976,453.987,-20.4379,-0.8065,418.258,500.009,19.6315,81.751,
WGV35A_PAIR_0170,GM_RM017,382,265,1217.126,941.929,9.2251,393.764,-2.0084,21.5124,349.852,449.164,23.5208,99.312,
WGV35A_PAIR_0171,GM_RM017,383,267,1077.215,878.493,-9.639,458.581,-21.1042,1.203,418.396,511.263,22.3072,92.868,
WGV35A_PAIR_0172,GM_RM017,383,268,1241.697,942,12.7171,398.373,-0.5125,27.1458,343.249,468.387,27.6583,125.138,
WGV35A_PAIR_0173,GM_RM017,383,269,1385.466,1007.141,35.5874,397.746,23.1455,47.1593,321.89,476.976,24.0139,155.086,
WGV35A_PAIR_0174,GM_RM017,384,270,1083.29,877.51,-8.8701,458.574,-20.8907,2.1619,411.406,519.272,23.0525,107.866,
WGV35A_PAIR_0175,GM_RM017,384,271,1231.552,941.773,11.2797,396.485,-0.0089,23.6642,346.189,457.184,23.6731,110.996,
WGV35A_PAIR_0176,GM_RM017,384,272,1395.297,1008.126,36.8063,402.758,24.8687,47.5616,329.309,479.482,22.693,150.173,
WGV35A_PAIR_0177,GM_RM017,385,273,1087.786,875.247,-8.2735,460.142,-20.1853,3.0508,418.888,514.689,23.2361,95.801,
WGV35A_PAIR_0178,GM_RM017,385,274,1253.75,941.406,14.3754,401.774,0.9753,28.0888,345.09,471.773,27.1136,126.683,
WGV35A_PAIR_0179,GM_RM017,386,276,1099.594,880.177,-6.8873,453.697,-18.1543,4.0117,416.096,502.035,22.1659,85.939,
WGV35A_PAIR_0180,GM_RM017,386,277,1254.202,941.113,14.4274,402.17,1.087,28.1715,347.034,471.045,27.0845,124.012,
WGV35A_PAIR_0181,GM_RM017,387,279,1256.961,941.473,14.8205,402.518,1.968,28.1959,348.522,469.344,26.2279,120.822,
WGV35A_PAIR_0182,GM_RM017,387,280,1101.277,876.735,-6.626,456.917,-17.6967,4.0002,419.078,505.79,21.6968,86.713,
WGV35A_PAIR_0183,GM_RM017,388,282,1271.364,937.657,16.6298,410.096,2.5727,31.2502,348.871,486.567,28.6775,137.697,
WGV35A_PAIR_0184,GM_RM017,388,283,1108.532,883.232,-5.8033,449.673,-17.4188,5.4272,410.174,500.156,22.846,89.982,
WGV35A_PAIR_0185,GM_RM017,389,285,1273.609,942.56,17.1313,406.056,3.4902,30.8439,346.434,478.827,27.3537,132.393,
WGV35A_PAIR_0186,GM_RM017,389,286,1117.543,881.889,-4.645,450.19,-16.6186,7.279,414.941,494.22,23.8976,79.279,
WGV35A_PAIR_0187,GM_RM017,390,288,1123.475,875.142,-3.8343,456.48,-15.5119,7.8621,414.277,506.216,23.374,91.939,
WGV35A_PAIR_0188,GM_RM017,390,289,1280.156,941.331,17.9567,409.201,5.3679,31.273,351.291,479.015,25.9051,127.725,
WGV35A_PAIR_0189,GM_RM017,391,291,1278.8,942.039,17.8062,408.111,5.3536,30.4304,349.283,477.076,25.0768,127.794,
WGV35A_PAIR_0190,GM_RM017,391,292,1129.025,879.45,-3.1686,451.841,-15.2508,8.8165,414.949,498.316,24.0673,83.367,
WGV35A_PAIR_0191,GM_RM017,392,294,1139.167,873.38,-1.8581,457.461,-13.2849,9.7192,412.113,511.257,23.0041,99.144,
WGV35A_PAIR_0192,GM_RM017,392,295,1292.232,939.103,19.4474,415.184,6.3854,32.411,349.915,490.646,26.0256,140.731,
WGV35A_PAIR_0193,GM_RM017,393,297,1301.839,940.877,20.7739,416.822,7.0731,34.0226,352.633,493.128,26.9495,140.495,
WGV35A_PAIR_0194,GM_RM017,393,298,1142.563,885.465,-1.4718,445.282,-13.1915,10.2921,409.713,489.05,23.4836,79.338,
WGV35A_PAIR_0195,GM_RM017,394,300,1297.588,942.347,20.296,413.954,8.361,32.3501,353.548,482.905,23.9891,129.357,
WGV35A_PAIR_0196,GM_RM017,394,301,1144.066,881.427,-1.267,449.283,-12.475,10.1312,409.566,498.054,22.6062,88.488,
WGV35A_PAIR_0197,GM_RM017,429,303,1376.312,871.432,25.8345,510.155,13.6996,37.5115,429.807,599.256,23.8119,169.449,
WGV35A_PAIR_0198,GM_RM017,438,305,1425.531,873.194,30.6947,531.93,20.0462,40.6404,451.044,617.884,20.5942,166.841,
WGV35A_PAIR_0199,GM_RM017,442,307,1441.648,872.982,32.1525,540.514,22.5556,41.2338,462.374,621.902,18.6782,159.528,
WGV35A_PAIR_0200,GM_RM019,0,309,1177.387,1198.05,10.0062,134.597,-26.2404,44.0254,100.74,190.049,70.2658,89.309,
