merge_candidate_id,scene_id,from_target_family_id,to_target_family_id,from_frame_end,to_frame_start,original_candidate_strength,sequence_reason_codes,from_contrast_status,to_contrast_status,from_competing_frame_count,to_competing_frame_count,multicar_merge_gate_status,multicar_gate_reason_codes,auto_merge_allowed,review_required,sar_ready,not_final_box_flag,not_revised_annotation_flag,note
GM_RM011_WGV12M016,GM_RM011,GM_RM011_WGV12TF019,GM_RM011_WGV12TF020,288,289,blocked,endpoint_center_offset_too_large;endpoint_spatial_bin_change;endpoint_review_required,contrast_missing_selected_manifest_only,contrast_missing_selected_manifest_only,0,0,blocked,sequence_or_endpoint_gate_already_blocked,no,yes,no / blocked,yes,yes,diagnostic merge gate only;not same-vehicle truth
GM_RM017_WGV12M001,GM_RM017,GM_RM017_WGV12TF001,GM_RM017_WGV12TF002,144,145,review_only,endpoint_review_required,contrast_missing_selected_manifest_only,contrast_missing_selected_manifest_only,0,0,blocked_auto_merge_contrast_missing,all_candidate_multicar_contrast_missing,no,yes,no / blocked,yes,yes,diagnostic merge gate only;not same-vehicle truth
GM_RM017_WGV12M002,GM_RM017,GM_RM017_WGV12TF002,GM_RM017_WGV12TF003,148,149,blocked,class_mismatch;endpoint_center_offset_too_large;endpoint_spatial_bin_change;endpoint_review_required,contrast_missing_selected_manifest_only,contrast_missing_selected_manifest_only,0,0,blocked,sequence_or_endpoint_gate_already_blocked,no,yes,no / blocked,yes,yes,diagnostic merge gate only;not same-vehicle truth
GM_RM017_WGV12M003,GM_RM017,GM_RM017_WGV12TF003,GM_RM017_WGV12TF004,155,156,blocked,class_mismatch;endpoint_center_offset_too_large;endpoint_spatial_bin_change;endpoint_review_required,contrast_missing_selected_manifest_only,contrast_missing_selected_manifest_only,0,0,blocked,sequence_or_endpoint_gate_already_blocked,no,yes,no / blocked,yes,yes,diagnostic merge gate only;not same-vehicle truth
GM_RM017_WGV12M004,GM_RM017,GM_RM017_WGV12TF004,GM_RM017_WGV12TF005,157,158,blocked,class_mismatch;endpoint_center_offset_too_large;endpoint_spatial_bin_change;endpoint_review_required,contrast_missing_selected_manifest_only,contrast_missing_selected_manifest_only,0,0,blocked,sequence_or_endpoint_gate_already_blocked,no,yes,no / blocked,yes,yes,diagnostic merge gate only;not same-vehicle truth
GM_RM017_WGV12M005,GM_RM017,GM_RM017_WGV12TF005,GM_RM017_WGV12TF006,158,164,review_only,endpoint_review_required,contrast_missing_selected_manifest_only,contrast_missing_selected_manifest_only,0,0,blocked_auto_merge_contrast_missing,all_candidate_multicar_contrast_missing,no,yes,no / blocked,yes,yes,diagnostic merge gate only;not same-vehicle truth
GM_RM017_WGV12M006,GM_RM017,GM_RM017_WGV12TF006,GM_RM017_WGV12TF007,168,169,blocked,endpoint_center_offset_too_large;endpoint_spatial_bin_change;endpoint_review_required,contrast_missing_selected_manifest_only,contrast_missing_selected_manifest_only,0,0,blocked,sequence_or_endpoint_gate_already_blocked,no,yes,no / blocked,yes,yes,diagnostic merge gate only;not same-vehicle truth
GM_RM017_WGV12M007,GM_RM017,GM_RM017_WGV12TF007,GM_RM017_WGV12TF008,173,174,blocked,endpoint_center_offset_too_large;endpoint_spatial_bin_change;endpoint_review_required,contrast_missing_selected_manifest_only,contrast_missing_selected_manifest_only,0,0,blocked,sequence_or_endpoint_gate_already_blocked,no,yes,no / blocked,yes,yes,diagnostic merge gate only;not same-vehicle truth
GM_RM017_WGV12M008,GM_RM017,GM_RM017_WGV12TF008,GM_RM017_WGV12TF009,175,176,blocked,endpoint_center_offset_too_large;endpoint_spatial_bin_change;endpoint_review_required,contrast_missing_selected_manifest_only,contrast_missing_selected_manifest_only,0,0,blocked,sequence_or_endpoint_gate_already_blocked,no,yes,no / blocked,yes,yes,diagnostic merge gate only;not same-vehicle truth
GM_RM017_WGV12M009,GM_RM017,GM_RM017_WGV12TF009,GM_RM017_WGV12TF010,181,182,blocked,endpoint_center_offset_too_large;endpoint_spatial_bin_change;endpoint_review_required,contrast_missing_selected_manifest_only,contrast_missing_selected_manifest_only,0,0,blocked,sequence_or_endpoint_gate_already_blocked,no,yes,no / blocked,yes,yes,diagnostic merge gate only;not same-vehicle truth
GM_RM017_WGV12M010,GM_RM017,GM_RM017_WGV12TF011,GM_RM017_WGV12TF012,213,214,review_only,endpoint_review_required,contrast_missing_selected_manifest_only,contrast_missing_selected_manifest_only,0,0,blocked_auto_merge_contrast_missing,all_candidate_multicar_contrast_missing,no,yes,no / blocked,yes,yes,diagnostic merge gate only;not same-vehicle truth
