core_subgraph_id,sar_frame,member_atom_ids,core_role_summary,core_relation_type,core_bbox,core_bbox_width_px,core_bbox_height_px,core_support_span_long_px,core_support_span_short_px,core_bbox_width_m,core_bbox_height_m,core_max_boundary_gap_px,core_max_centroid_distance_px,core_occupancy_ratio,core_internal_blank_ratio,close_background_atom_count,has_core_track,generation_provenance
R2C0026,78,R1A0074,body_core_candidate,compact_partial_body,"1188,1187,1248,1241",60,54,60,54,1.8,1.62,0,0,0.112654,0,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0027,78,R1A0070;R1A0073;R1A0074,body_core_candidate;side_ridge_candidate;unresolved_atom,core_to_side,"1146,1133,1260,1241",114,108,114,108,3.42,3.24,18,72.809564,0.099821,0,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0028,79,R1A0080,body_core_candidate,compact_partial_body,"1194,1187,1254,1241",60,54,60,54,1.8,1.62,0,0,0.114815,0,1,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0029,79,R1A0079;R1A0080;R1A0083,body_core_candidate;unresolved_atom,compact_partial_body,"1170,1175,1260,1271",90,96,96,90,2.7,2.88,64.621978,98.059583,0.052083,0.375,1,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0030,80,R1A0089,body_core_candidate,compact_partial_body,"1200,1181,1260,1241",60,60,60,60,1.8,1.8,0,0,0.116111,0,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0031,80,R1A0087;R1A0089;R1A0090,body_core_candidate;side_ridge_candidate;unresolved_atom,core_to_side,"1146,1175,1266,1271",120,96,120,96,3.6,2.88,59.093147,107.298535,0.045573,0.453125,0,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0032,81,R1A0094,body_core_candidate,compact_partial_body,"1200,1181,1260,1241",60,60,60,60,1.8,1.8,0,0,0.116667,0,1,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0033,81,R1A0094;R1A0095,body_core_candidate;unresolved_atom,compact_partial_body,"1176,1181,1260,1271",84,90,90,84,2.52,2.7,0,56.39673,0.060979,0.268254,1,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0034,212,R1A0098,endpoint_hotspot_candidate,weak_part_only,"1005,1210,1023,1240",18,30,30,18,0.54,0.9,0,0,0.059259,0.288889,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0035,216,R1A0104,endpoint_hotspot_candidate,weak_part_only,"1017,1216,1035,1240",18,24,24,18,0.54,0.72,0,0,0.090278,0,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0036,224,R1A0108,endpoint_hotspot_candidate,weak_part_only,"1041,1210,1065,1240",24,30,30,24,0.72,0.9,0,0,0.113889,0,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0037,227,R1A0113,endpoint_hotspot_candidate,weak_part_only,"1051,1207,1075,1237",24,30,30,24,0.72,0.9,0,0,0.115278,0,0,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0038,228,R1A0117,endpoint_hotspot_candidate,weak_part_only,"1051,1207,1081,1237",30,30,30,30,0.9,0.9,0,0,0.1,0,0,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0039,239,R1A0122,endpoint_hotspot_candidate,weak_part_only,"1087,1201,1111,1237",24,36,36,24,0.72,1.08,0,0,0.128472,0,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0040,259,R1A0134,body_core_candidate,compact_partial_body,"1191,1198,1233,1234",42,36,42,36,1.26,1.08,0,0,0.081349,0.02381,0,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0041,259,R1A0130;R1A0134,body_core_candidate;unresolved_atom,compact_partial_body,"1107,1138,1233,1258",126,120,126,120,3.78,3.6,0,52.698903,0.090741,0,0,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0042,260,R1A0137,endpoint_hotspot_candidate,weak_part_only,"1197,1198,1233,1234",36,36,36,36,1.08,1.08,0,0,0.083333,0,0,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0043,262,R1A0140,endpoint_hotspot_candidate,weak_part_only,"1203,1192,1215,1234",12,42,42,12,0.36,1.26,0,0,0.19246,0,0,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0044,263,R1A0142,endpoint_hotspot_candidate,weak_part_only,"1203,1192,1227,1234",24,42,42,24,0.72,1.26,0,0,0.098214,0,0,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0045,269,R1A0147,body_core_candidate,compact_partial_body,"1143,1204,1185,1258",42,54,54,42,1.26,1.62,0,0,0.11067,0,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0046,269,R1A0143;R1A0147;R1A0148,body_core_candidate;endpoint_hotspot_candidate;unresolved_atom,core_to_endpoint,"1107,1138,1245,1258",138,120,138,120,4.14,3.6,42,74.60207,0.09064,0,0,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0047,270,R1A0153,body_core_candidate,compact_partial_body,"1137,1204,1185,1258",48,54,54,48,1.44,1.62,0,0,0.09375,0,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0048,270,R1A0149;R1A0152;R1A0153,body_core_candidate;endpoint_hotspot_candidate;unresolved_atom,core_to_endpoint,"1107,1138,1263,1258",156,120,156,120,4.68,3.6,48,75.994552,0.079274,0.048718,0,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0049,271,R1A0157,body_core_candidate,compact_partial_body,"1143,1210,1197,1252",54,42,54,42,1.62,1.26,0,0,0.111993,0,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0050,271,R1A0154;R1A0156;R1A0157,body_core_candidate;endpoint_hotspot_candidate;unresolved_atom,core_to_endpoint,"1107,1138,1281,1252",174,114,174,114,5.22,3.42,36,77.088463,0.076074,0.087114,0,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0051,272,R1A0162,body_core_candidate,compact_partial_body,"1145,1212,1199,1266",54,54,54,54,1.62,1.62,0,0,0.096708,0,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0052,272,R1A0158;R1A0161;R1A0162,body_core_candidate;endpoint_hotspot_candidate;unresolved_atom,core_to_endpoint,"1115,1140,1253,1266",138,126,138,126,4.14,3.78,42,76.833114,0.094318,0,0,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0053,273,R1A0166,endpoint_hotspot_candidate,weak_part_only,"1241,1194,1259,1236",18,42,42,18,0.54,1.26,0,0,0.108466,0,0,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0054,276,R1A0170,body_core_candidate,compact_partial_body,"1157,1212,1211,1242",54,30,54,30,1.62,0.9,0,0,0.122222,0,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0055,276,R1A0167;R1A0169;R1A0170,body_core_candidate;endpoint_hotspot_candidate;unresolved_atom,core_to_endpoint,"1127,1140,1271,1242",144,102,144,102,4.32,3.06,42,80.892385,0.098448,0,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0056,278,R1A0173,body_core_candidate,compact_partial_body,"1163,1212,1217,1266",54,54,54,54,1.62,1.62,0,0,0.072016,0.135802,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0057,278,R1A0171;R1A0173,body_core_candidate;unresolved_atom,compact_partial_body,"1121,1140,1277,1266",156,126,156,126,4.68,3.78,0,57.519639,0.07153,0.141636,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0058,279,R1A0177,body_core_candidate,compact_partial_body,"1163,1212,1217,1266",54,54,54,54,1.62,1.62,0,0,0.077503,0.069959,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0059,279,R1A0174;R1A0176;R1A0177,body_core_candidate;endpoint_hotspot_candidate;unresolved_atom,core_to_endpoint,"1115,1140,1277,1266",162,126,162,126,4.86,3.78,48,85.190839,0.066627,0.20047,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0060,280,R1A0180,body_core_candidate,compact_partial_body,"1163,1212,1223,1266",60,54,60,54,1.8,1.62,0,0,0.079938,0.040741,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0061,280,R1A0178;R1A0180,body_core_candidate;unresolved_atom,compact_partial_body,"1115,1140,1277,1266",162,126,162,126,4.86,3.78,0,56.059803,0.0704,0.155203,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0062,281,R1A0184,body_core_candidate,compact_partial_body,"1170,1210,1200,1270",30,60,60,30,0.9,1.8,0,0,0.113889,0,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0063,281,R1A0181;R1A0184;R1A0185,body_core_candidate;endpoint_hotspot_candidate;unresolved_atom,core_to_endpoint,"1146,1138,1278,1270",132,132,132,132,3.96,3.96,6,57.273004,0.082989,0.004132,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0064,281,R1A0183;R1A0185,endpoint_hotspot_candidate;side_ridge_candidate,side_to_endpoint,"1206,1204,1284,1246",78,42,78,42,2.34,1.26,48,64.828643,0.033272,0.600733,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0065,284,R1A0189,body_core_candidate,compact_partial_body,"1176,1204,1236,1264",60,60,60,60,1.8,1.8,0,0,0.059167,0.29,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0066,284,R1A0186;R1A0189,body_core_candidate;unresolved_atom,compact_partial_body,"1146,1138,1296,1264",150,126,150,126,4.5,3.78,0,60.139862,0.070741,0.151111,0,false,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0067,288,R1A0192,body_core_candidate,compact_partial_body,"1200,1192,1224,1240",24,48,48,24,0.72,1.44,0,0,0.145833,0,0,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0068,288,R1A0191;R1A0192,body_core_candidate;unresolved_atom,compact_partial_body,"1146,1138,1308,1240",162,102,162,102,4.86,3.06,0,59.689498,0.077342,0.071895,0,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0069,289,R1A0197,body_core_candidate,compact_partial_body,"1200,1210,1224,1240",24,30,30,24,0.72,0.9,0,0,0.236111,0,0,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0070,289,R1A0195;R1A0197;R1A0199,body_core_candidate;side_ridge_candidate;unresolved_atom,core_to_side,"1146,1138,1308,1270",162,132,162,132,4.86,3.96,18,103.12182,0.065563,0.213244,0,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
R2C0071,290,R1A0202,side_ridge_candidate,weak_part_only,"1146,1246,1206,1282",60,36,60,36,1.8,1.08,0,0,0.036574,0.561111,0,true,runtime_safe_from_r1_frozen_atoms_roles_lineage_no_gt_no_polarity
