background_association_id,sar_frame,background_track_id,component_id,association_result,match_distance_px,support_observation_count_after,support_unique_frame_count_after,track_component_count_this_frame,component_track_count_this_frame,background_state_after,vehicle_motion_conflict,conflict_reason
BGASSOC_000361_BG_D1_R1_0015,361,BG_D1_R1_0015,D1R1OBS_000361_0015,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0016,361,BG_D1_R1_0016,D1R1OBS_000361_0016,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0017,361,BG_D1_R1_0017,D1R1OBS_000361_0017,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0018,361,BG_D1_R1_0018,D1R1OBS_000361_0018,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0019,361,BG_D1_R1_0019,D1R1OBS_000361_0019,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0020,361,BG_D1_R1_0020,D1R1OBS_000361_0020,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0021,361,BG_D1_R1_0021,D1R1OBS_000361_0021,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0022,361,BG_D1_R1_0022,D1R1OBS_000361_0022,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0023,361,BG_D1_R1_0023,D1R1OBS_000361_0023,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0024,361,BG_D1_R1_0024,D1R1OBS_000361_0024,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0025,361,BG_D1_R1_0025,D1R1OBS_000361_0025,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0026,361,BG_D1_R1_0026,D1R1OBS_000361_0026,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0027,361,BG_D1_R1_0027,D1R1OBS_000361_0027,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0028,361,BG_D1_R1_0028,D1R1OBS_000361_0028,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0029,361,BG_D1_R1_0029,D1R1OBS_000361_0029,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0030,361,BG_D1_R1_0030,D1R1OBS_000361_0030,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0031,361,BG_D1_R1_0031,D1R1OBS_000361_0031,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0032,361,BG_D1_R1_0032,D1R1OBS_000361_0032,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0033,361,BG_D1_R1_0033,D1R1OBS_000361_0033,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0034,361,BG_D1_R1_0034,D1R1OBS_000361_0034,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0035,361,BG_D1_R1_0035,D1R1OBS_000361_0035,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0036,361,BG_D1_R1_0036,D1R1OBS_000361_0036,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0037,361,BG_D1_R1_0037,D1R1OBS_000361_0037,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0038,361,BG_D1_R1_0038,D1R1OBS_000361_0038,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0039,361,BG_D1_R1_0039,D1R1OBS_000361_0039,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0040,361,BG_D1_R1_0040,D1R1OBS_000361_0040,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0041,361,BG_D1_R1_0041,D1R1OBS_000361_0041,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0042,361,BG_D1_R1_0042,D1R1OBS_000361_0042,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0043,361,BG_D1_R1_0043,D1R1OBS_000361_0043,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0044,361,BG_D1_R1_0044,D1R1OBS_000361_0044,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0045,361,BG_D1_R1_0045,D1R1OBS_000361_0045,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0046,361,BG_D1_R1_0046,D1R1OBS_000361_0046,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0047,361,BG_D1_R1_0047,D1R1OBS_000361_0047,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0048,361,BG_D1_R1_0048,D1R1OBS_000361_0048,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0049,361,BG_D1_R1_0049,D1R1OBS_000361_0049,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0050,361,BG_D1_R1_0050,D1R1OBS_000361_0050,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0051,361,BG_D1_R1_0051,D1R1OBS_000361_0051,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0052,361,BG_D1_R1_0052,D1R1OBS_000361_0052,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0053,361,BG_D1_R1_0053,D1R1OBS_000361_0053,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0054,361,BG_D1_R1_0054,D1R1OBS_000361_0059,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0055,361,BG_D1_R1_0055,D1R1OBS_000361_0060,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0056,361,BG_D1_R1_0056,D1R1OBS_000361_0062,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0057,361,BG_D1_R1_0057,D1R1OBS_000361_0063,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0058,361,BG_D1_R1_0058,D1R1OBS_000361_0064,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0059,361,BG_D1_R1_0059,D1R1OBS_000361_0065,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0060,361,BG_D1_R1_0060,D1R1OBS_000361_0066,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0061,361,BG_D1_R1_0061,D1R1OBS_000361_0068,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000361_BG_D1_R1_0062,361,BG_D1_R1_0062,D1R1OBS_000361_0069,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000362_BG_D1_R1_0035,362,BG_D1_R1_0035,D1R1OBS_000362_0020,matched_existing_track,0.546904,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0018,362,BG_D1_R1_0018,D1R1OBS_000362_0008,matched_existing_track,1.770287,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0022,362,BG_D1_R1_0022,D1R1OBS_000362_0009,matched_existing_track,1.802358,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0021,362,BG_D1_R1_0021,D1R1OBS_000362_0006,matched_existing_track,2.568537,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0007,362,BG_D1_R1_0007,D1R1OBS_000362_0004,matched_existing_track,2.642195,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0046,362,BG_D1_R1_0046,D1R1OBS_000362_0026,matched_existing_track,3.202167,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0027,362,BG_D1_R1_0027,D1R1OBS_000362_0018,matched_existing_track,4.150025,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0057,362,BG_D1_R1_0057,D1R1OBS_000362_0036,matched_existing_track,4.224129,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0062,362,BG_D1_R1_0062,D1R1OBS_000362_0041,matched_existing_track,4.26125,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0058,362,BG_D1_R1_0058,D1R1OBS_000362_0037,matched_existing_track,4.895949,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0001,362,BG_D1_R1_0001,D1R1OBS_000362_0001,matched_existing_track,4.996174,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0043,362,BG_D1_R1_0043,D1R1OBS_000362_0023,matched_existing_track,5.155031,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0013,362,BG_D1_R1_0013,D1R1OBS_000362_0003,matched_existing_track,5.395043,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0030,362,BG_D1_R1_0030,D1R1OBS_000362_0010,matched_existing_track,5.870409,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0026,362,BG_D1_R1_0026,D1R1OBS_000362_0012,matched_existing_track,5.900552,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0033,362,BG_D1_R1_0033,D1R1OBS_000362_0019,matched_existing_track,5.94403,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0060,362,BG_D1_R1_0060,D1R1OBS_000362_0039,matched_existing_track,6.192533,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0053,362,BG_D1_R1_0053,D1R1OBS_000362_0028,matched_existing_track,6.480653,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0045,362,BG_D1_R1_0045,D1R1OBS_000362_0024,matched_existing_track,6.594603,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0061,362,BG_D1_R1_0061,D1R1OBS_000362_0040,matched_existing_track,6.689366,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0040,362,BG_D1_R1_0040,D1R1OBS_000362_0022,matched_existing_track,7.092956,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0059,362,BG_D1_R1_0059,D1R1OBS_000362_0038,matched_existing_track,7.173227,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0008,362,BG_D1_R1_0008,D1R1OBS_000362_0002,matched_existing_track,7.340701,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0049,362,BG_D1_R1_0049,D1R1OBS_000362_0027,matched_existing_track,7.659276,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0020,362,BG_D1_R1_0020,D1R1OBS_000362_0007,matched_existing_track,7.851809,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0048,362,BG_D1_R1_0048,D1R1OBS_000362_0025,matched_existing_track,7.943048,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0037,362,BG_D1_R1_0037,D1R1OBS_000362_0021,matched_existing_track,8.324212,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0025,362,BG_D1_R1_0025,D1R1OBS_000362_0015,matched_existing_track,9.946495,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000362_BG_D1_R1_0063,362,BG_D1_R1_0063,D1R1OBS_000362_0013,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000362_BG_D1_R1_0064,362,BG_D1_R1_0064,D1R1OBS_000362_0016,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000362_BG_D1_R1_0065,362,BG_D1_R1_0065,D1R1OBS_000362_0029,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000363_BG_D1_R1_0021,363,BG_D1_R1_0021,D1R1OBS_000363_0010,matched_existing_track,1.923916,3,3,1,1,static_background_candidate,false,
BGASSOC_000363_BG_D1_R1_0025,363,BG_D1_R1_0025,D1R1OBS_000363_0008,matched_existing_track,2.464958,3,3,1,1,static_background_candidate,false,
BGASSOC_000363_BG_D1_R1_0018,363,BG_D1_R1_0018,D1R1OBS_000363_0009,matched_existing_track,3.190344,3,3,1,1,static_background_candidate,false,
BGASSOC_000363_BG_D1_R1_0064,363,BG_D1_R1_0064,D1R1OBS_000363_0011,matched_existing_track,3.251412,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000363_BG_D1_R1_0036,363,BG_D1_R1_0036,D1R1OBS_000363_0015,matched_existing_track,3.448793,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000363_BG_D1_R1_0024,363,BG_D1_R1_0024,D1R1OBS_000363_0007,matched_existing_track,3.684956,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000363_BG_D1_R1_0022,363,BG_D1_R1_0022,D1R1OBS_000363_0003,matched_existing_track,4.663475,3,3,1,1,static_background_candidate,false,
BGASSOC_000363_BG_D1_R1_0035,363,BG_D1_R1_0035,D1R1OBS_000363_0013,matched_existing_track,4.824125,3,3,1,1,static_background_candidate,false,
BGASSOC_000363_BG_D1_R1_0048,363,BG_D1_R1_0048,D1R1OBS_000363_0021,matched_existing_track,4.891159,3,3,1,1,static_background_candidate,false,
BGASSOC_000363_BG_D1_R1_0026,363,BG_D1_R1_0026,D1R1OBS_000363_0012,matched_existing_track,5.531399,3,3,1,1,static_background_candidate,false,
BGASSOC_000363_BG_D1_R1_0058,363,BG_D1_R1_0058,D1R1OBS_000363_0032,matched_existing_track,5.716182,3,3,1,1,static_background_candidate,false,
BGASSOC_000363_BG_D1_R1_0065,363,BG_D1_R1_0065,D1R1OBS_000363_0022,matched_existing_track,5.762376,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000363_BG_D1_R1_0062,363,BG_D1_R1_0062,D1R1OBS_000363_0038,matched_existing_track,5.950585,3,3,1,1,static_background_candidate,false,
BGASSOC_000363_BG_D1_R1_0031,363,BG_D1_R1_0031,D1R1OBS_000363_0016,matched_existing_track,8.267339,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000363_BG_D1_R1_0045,363,BG_D1_R1_0045,D1R1OBS_000363_0018,matched_existing_track,9.067778,3,3,1,1,static_background_candidate,false,
BGASSOC_000363_BG_D1_R1_0060,363,BG_D1_R1_0060,D1R1OBS_000363_0035,matched_existing_track,9.378766,3,3,1,1,static_background_candidate,false,
BGASSOC_000363_BG_D1_R1_0061,363,BG_D1_R1_0061,D1R1OBS_000363_0037,matched_existing_track,9.399214,3,3,1,1,static_background_candidate,false,
BGASSOC_000363_BG_D1_R1_0033,363,BG_D1_R1_0033,D1R1OBS_000363_0014,matched_existing_track,9.716466,3,3,1,1,static_background_candidate,false,
BGASSOC_000363_BG_D1_R1_0066,363,BG_D1_R1_0066,D1R1OBS_000363_0001,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000363_BG_D1_R1_0067,363,BG_D1_R1_0067,D1R1OBS_000363_0004,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000363_BG_D1_R1_0068,363,BG_D1_R1_0068,D1R1OBS_000363_0017,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000363_BG_D1_R1_0069,363,BG_D1_R1_0069,D1R1OBS_000363_0020,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000363_BG_D1_R1_0070,363,BG_D1_R1_0070,D1R1OBS_000363_0030,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000363_BG_D1_R1_0071,363,BG_D1_R1_0071,D1R1OBS_000363_0031,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000363_BG_D1_R1_0072,363,BG_D1_R1_0072,D1R1OBS_000363_0033,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000363_BG_D1_R1_0073,363,BG_D1_R1_0073,D1R1OBS_000363_0034,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000363_BG_D1_R1_0074,363,BG_D1_R1_0074,D1R1OBS_000363_0036,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000363_BG_D1_R1_0075,363,BG_D1_R1_0075,D1R1OBS_000363_0039,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000364_BG_D1_R1_0021,364,BG_D1_R1_0021,D1R1OBS_000364_0003,matched_existing_track,0.810888,4,4,1,1,static_background_candidate,false,
BGASSOC_000364_BG_D1_R1_0049,364,BG_D1_R1_0049,D1R1OBS_000364_0013,matched_existing_track,1.014632,3,3,1,1,static_background_candidate,false,
BGASSOC_000364_BG_D1_R1_0072,364,BG_D1_R1_0072,D1R1OBS_000364_0028,matched_existing_track,3.221246,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000364_BG_D1_R1_0039,364,BG_D1_R1_0039,D1R1OBS_000364_0010,matched_existing_track,3.285447,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000364_BG_D1_R1_0035,364,BG_D1_R1_0035,D1R1OBS_000364_0008,matched_existing_track,3.438998,4,4,1,1,static_background_candidate,false,
BGASSOC_000364_BG_D1_R1_0057,364,BG_D1_R1_0057,D1R1OBS_000364_0030,matched_existing_track,4.38813,3,3,1,1,static_background_candidate,false,
BGASSOC_000364_BG_D1_R1_0024,364,BG_D1_R1_0024,D1R1OBS_000364_0002,matched_existing_track,4.546894,3,3,1,1,static_background_candidate,false,
BGASSOC_000364_BG_D1_R1_0025,364,BG_D1_R1_0025,D1R1OBS_000364_0007,matched_existing_track,4.900883,4,4,1,1,static_background_candidate,false,
BGASSOC_000364_BG_D1_R1_0063,364,BG_D1_R1_0063,D1R1OBS_000364_0006,matched_existing_track,4.904614,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000364_BG_D1_R1_0075,364,BG_D1_R1_0075,D1R1OBS_000364_0038,matched_existing_track,4.972816,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000364_BG_D1_R1_0032,364,BG_D1_R1_0032,D1R1OBS_000364_0009,matched_existing_track,5.349399,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000364_BG_D1_R1_0074,364,BG_D1_R1_0074,D1R1OBS_000364_0033,matched_existing_track,5.718634,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000364_BG_D1_R1_0018,364,BG_D1_R1_0018,D1R1OBS_000364_0005,matched_existing_track,5.948155,4,4,1,1,static_background_candidate,false,
BGASSOC_000364_BG_D1_R1_0073,364,BG_D1_R1_0073,D1R1OBS_000364_0032,matched_existing_track,7.601071,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000364_BG_D1_R1_0062,364,BG_D1_R1_0062,D1R1OBS_000364_0037,matched_existing_track,8.518416,4,4,1,1,static_background_candidate,false,
BGASSOC_000364_BG_D1_R1_0065,364,BG_D1_R1_0065,D1R1OBS_000364_0014,matched_existing_track,9.387951,3,3,1,1,static_background_candidate,false,
BGASSOC_000364_BG_D1_R1_0041,364,BG_D1_R1_0041,D1R1OBS_000364_0011,matched_existing_track,9.811613,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000364_BG_D1_R1_0076,364,BG_D1_R1_0076,D1R1OBS_000364_0012,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000364_BG_D1_R1_0077,364,BG_D1_R1_0077,D1R1OBS_000364_0022,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000364_BG_D1_R1_0078,364,BG_D1_R1_0078,D1R1OBS_000364_0025,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000364_BG_D1_R1_0079,364,BG_D1_R1_0079,D1R1OBS_000364_0026,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000364_BG_D1_R1_0080,364,BG_D1_R1_0080,D1R1OBS_000364_0029,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000364_BG_D1_R1_0081,364,BG_D1_R1_0081,D1R1OBS_000364_0031,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000364_BG_D1_R1_0082,364,BG_D1_R1_0082,D1R1OBS_000364_0034,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000364_BG_D1_R1_0083,364,BG_D1_R1_0083,D1R1OBS_000364_0035,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000364_BG_D1_R1_0084,364,BG_D1_R1_0084,D1R1OBS_000364_0036,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000365_BG_D1_R1_0076,365,BG_D1_R1_0076,D1R1OBS_000365_0009,matched_existing_track,2.138291,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000365_BG_D1_R1_0072,365,BG_D1_R1_0072,D1R1OBS_000365_0019,matched_existing_track,2.540657,3,3,1,1,static_background_candidate,false,
BGASSOC_000365_BG_D1_R1_0024,365,BG_D1_R1_0024,D1R1OBS_000365_0001,matched_existing_track,3.086597,4,4,1,1,static_background_candidate,false,
BGASSOC_000365_BG_D1_R1_0057,365,BG_D1_R1_0057,D1R1OBS_000365_0020,matched_existing_track,3.230761,4,4,1,1,static_background_candidate,false,
BGASSOC_000365_BG_D1_R1_0078,365,BG_D1_R1_0078,D1R1OBS_000365_0018,matched_existing_track,3.932295,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000365_BG_D1_R1_0036,365,BG_D1_R1_0036,D1R1OBS_000365_0006,matched_existing_track,4.954592,3,3,1,1,static_background_candidate,false,
BGASSOC_000365_BG_D1_R1_0082,365,BG_D1_R1_0082,D1R1OBS_000365_0023,matched_existing_track,5.370163,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000365_BG_D1_R1_0021,365,BG_D1_R1_0021,D1R1OBS_000365_0005,matched_existing_track,5.396271,5,5,1,1,static_background_supported,false,
BGASSOC_000365_BG_D1_R1_0042,365,BG_D1_R1_0042,D1R1OBS_000365_0008,matched_existing_track,6.121445,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000365_BG_D1_R1_0069,365,BG_D1_R1_0069,D1R1OBS_000365_0010,matched_existing_track,6.267405,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000365_BG_D1_R1_0080,365,BG_D1_R1_0080,D1R1OBS_000365_0021,matched_existing_track,6.453905,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000365_BG_D1_R1_0083,365,BG_D1_R1_0083,D1R1OBS_000365_0024,matched_existing_track,8.639712,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000365_BG_D1_R1_0085,365,BG_D1_R1_0085,D1R1OBS_000365_0003,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000365_BG_D1_R1_0086,365,BG_D1_R1_0086,D1R1OBS_000365_0004,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000365_BG_D1_R1_0087,365,BG_D1_R1_0087,D1R1OBS_000365_0007,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000365_BG_D1_R1_0088,365,BG_D1_R1_0088,D1R1OBS_000365_0011,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000365_BG_D1_R1_0089,365,BG_D1_R1_0089,D1R1OBS_000365_0022,new_track,0,1,1,1,1,unresolved_response,false,
BGASSOC_000366_BG_D1_R1_0036,366,BG_D1_R1_0036,D1R1OBS_000366_0004,matched_existing_track,3.543107,4,4,1,1,static_background_candidate,false,
BGASSOC_000366_BG_D1_R1_0022,366,BG_D1_R1_0022,D1R1OBS_000366_0001,matched_existing_track,3.945353,4,4,1,1,static_background_candidate,false,
BGASSOC_000366_BG_D1_R1_0057,366,BG_D1_R1_0057,D1R1OBS_000366_0019,matched_existing_track,4.451387,5,5,1,1,static_background_supported,false,
BGASSOC_000366_BG_D1_R1_0085,366,BG_D1_R1_0085,D1R1OBS_000366_0002,matched_existing_track,5.559959,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000366_BG_D1_R1_0069,366,BG_D1_R1_0069,D1R1OBS_000366_0010,matched_existing_track,5.672416,3,3,1,1,static_background_candidate,false,
BGASSOC_000366_BG_D1_R1_0076,366,BG_D1_R1_0076,D1R1OBS_000366_0008,matched_existing_track,7.324927,3,3,1,1,static_background_candidate,false,
BGASSOC_000366_BG_D1_R1_0042,366,BG_D1_R1_0042,D1R1OBS_000366_0006,matched_existing_track,7.904128,3,3,1,1,static_background_candidate,false,
BGASSOC_000366_BG_D1_R1_0089,366,BG_D1_R1_0089,D1R1OBS_000366_0022,matched_existing_track,8.098967,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000366_BG_D1_R1_0086,366,BG_D1_R1_0086,D1R1OBS_000366_0003,matched_existing_track,8.121947,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000366_BG_D1_R1_0088,366,BG_D1_R1_0088,D1R1OBS_000366_0009,matched_existing_track,9.119735,2,2,1,1,background_recurrence_candidate,false,
BGASSOC_000366_BG_D1_R1_0090,366,BG_D1_R1_0090,D1R1OBS_000366_0005,new_track,0,1,1,1,1,unresolved_response,false,
