core_subgraph_id,G_core_scale,G_core_compact,G_core_relation,G_core_temporal,G_core_background,box_status,gate_reason
R2C0001,true,true,true,false,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0016,true,true,true,true,false,unresolved_box,relation=side_to_endpoint; core_only_gap=56.920998; close_background=1; isolated_atoms_do_not_veto_core
R2C0017,true,true,true,true,false,unresolved_box,relation=compact_partial_body; core_only_gap=0; close_background=1; isolated_atoms_do_not_veto_core
R2C0018,true,true,true,true,false,unresolved_box,relation=core_to_endpoint; core_only_gap=48; close_background=1; isolated_atoms_do_not_veto_core
R2C0019,true,true,true,true,true,vehicle_response_box_supported,relation=side_to_endpoint; core_only_gap=48; close_background=0; isolated_atoms_do_not_veto_core
R2C0020,true,true,false,false,true,unresolved_box,relation=weak_part_only; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0021,true,true,true,false,false,unresolved_box,relation=compact_partial_body; core_only_gap=0; close_background=2; isolated_atoms_do_not_veto_core
R2C0022,true,true,true,false,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0023,true,true,true,false,true,vehicle_response_box_possible,relation=core_to_endpoint; core_only_gap=6; close_background=0; isolated_atoms_do_not_veto_core
R2C0024,true,true,true,false,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0025,true,true,true,true,true,vehicle_response_box_supported,relation=core_to_side; core_only_gap=12; close_background=0; isolated_atoms_do_not_veto_core
R2C0026,true,true,true,false,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0027,true,true,true,false,true,vehicle_response_box_possible,relation=core_to_side; core_only_gap=18; close_background=0; isolated_atoms_do_not_veto_core
R2C0028,true,true,true,false,false,unresolved_box,relation=compact_partial_body; core_only_gap=0; close_background=1; isolated_atoms_do_not_veto_core
R2C0029,true,true,true,true,false,unresolved_box,relation=compact_partial_body; core_only_gap=64.621978; close_background=1; isolated_atoms_do_not_veto_core
R2C0030,true,true,true,false,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0031,true,true,true,true,true,vehicle_response_box_supported,relation=core_to_side; core_only_gap=59.093147; close_background=0; isolated_atoms_do_not_veto_core
R2C0032,true,true,true,false,false,unresolved_box,relation=compact_partial_body; core_only_gap=0; close_background=1; isolated_atoms_do_not_veto_core
R2C0033,true,true,true,true,false,unresolved_box,relation=compact_partial_body; core_only_gap=0; close_background=1; isolated_atoms_do_not_veto_core
R2C0034,true,true,false,false,true,unresolved_box,relation=weak_part_only; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0035,true,true,false,false,true,unresolved_box,relation=weak_part_only; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0036,true,true,false,false,true,unresolved_box,relation=weak_part_only; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0037,true,true,false,true,true,unresolved_box,relation=weak_part_only; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0038,true,true,false,true,true,unresolved_box,relation=weak_part_only; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0039,true,true,false,false,true,unresolved_box,relation=weak_part_only; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0040,true,true,true,true,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0041,true,true,true,true,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0042,true,true,false,true,true,unresolved_box,relation=weak_part_only; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0043,true,true,false,true,true,unresolved_box,relation=weak_part_only; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0044,true,true,false,true,true,unresolved_box,relation=weak_part_only; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0045,true,true,true,false,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0046,true,true,true,true,true,vehicle_response_box_supported,relation=core_to_endpoint; core_only_gap=42; close_background=0; isolated_atoms_do_not_veto_core
R2C0047,true,true,true,false,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0048,true,true,true,true,true,vehicle_response_box_supported,relation=core_to_endpoint; core_only_gap=48; close_background=0; isolated_atoms_do_not_veto_core
R2C0049,true,true,true,false,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0050,true,true,true,true,true,vehicle_response_box_supported,relation=core_to_endpoint; core_only_gap=36; close_background=0; isolated_atoms_do_not_veto_core
R2C0051,true,true,true,false,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0052,true,true,true,true,true,vehicle_response_box_supported,relation=core_to_endpoint; core_only_gap=42; close_background=0; isolated_atoms_do_not_veto_core
R2C0053,true,true,false,true,true,unresolved_box,relation=weak_part_only; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0054,true,true,true,false,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0055,true,true,true,false,true,vehicle_response_box_possible,relation=core_to_endpoint; core_only_gap=42; close_background=0; isolated_atoms_do_not_veto_core
R2C0056,true,true,true,false,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0057,true,true,true,false,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0058,true,true,true,false,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0059,true,true,true,false,true,vehicle_response_box_possible,relation=core_to_endpoint; core_only_gap=48; close_background=0; isolated_atoms_do_not_veto_core
R2C0060,true,true,true,false,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0061,true,true,true,false,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0062,true,true,true,false,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0063,true,true,true,false,true,vehicle_response_box_possible,relation=core_to_endpoint; core_only_gap=6; close_background=0; isolated_atoms_do_not_veto_core
R2C0064,true,true,true,false,true,vehicle_response_box_possible,relation=side_to_endpoint; core_only_gap=48; close_background=0; isolated_atoms_do_not_veto_core
R2C0065,true,true,true,false,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0066,true,true,true,false,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0067,true,true,true,true,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0068,true,true,true,true,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0069,true,true,true,true,true,vehicle_response_box_possible,relation=compact_partial_body; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
R2C0070,true,true,true,true,true,vehicle_response_box_supported,relation=core_to_side; core_only_gap=18; close_background=0; isolated_atoms_do_not_veto_core
R2C0071,true,true,false,true,true,unresolved_box,relation=weak_part_only; core_only_gap=0; close_background=0; isolated_atoms_do_not_veto_core
