gate_name,status,detail,source_file,sha256,row_count
S1_R1_HASH_VALID_input_hash_s1_r1_report,PASS,hash check for reports/oty2/oty2_gm_rm019_static_axis_rotation_s1_r1_20260712.md,reports/oty2/oty2_gm_rm019_static_axis_rotation_s1_r1_20260712.md,9f829d91f94cbfe81038fbea2b929d8e903da37ae45fa3c5489527206619ce3b,
S1_R1_HASH_VALID_input_hash_protocol,PASS,hash check for docs/OTY2_GM019_GT_REGION_COUNTERFACTUAL_IDENTIFIABILITY_S2_A_PROTOCOL.md,docs/OTY2_GM019_GT_REGION_COUNTERFACTUAL_IDENTIFIABILITY_S2_A_PROTOCOL.md,fec41c5b888933d0b1b78e77a364e0fdf945bed42a2ab7a43b2bc3af2774f611,
WORKTREE_BRANCH_VALID,PASS,branch=feature/oty2-posthoc-mechanism-validation,,,
S1_R1_ARTIFACTS_FROZEN_UNCHANGED,PASS,S1-R1 hashes from plan seal still match,,,
PLAN_SEAL_VALID,PASS,plan seal gates pass,reports/oty2/samples/oty2_gm_rm019_s2a_plan_seal_20260712.csv,e780d6e1579bbe39cca00c684f23724cc11877a8367284339f3feb9e92192adc,21
PRIMARY_EXACT_LINKS_SEPARATED,PASS,primary=10 review=6,reports/oty2/samples/oty2_gm_rm019_s2a_evaluation_instance_manifest_20260712.csv,8c33aaa21c7300076d23d7d31eea4e5cbb106832661bd00f4a1ddd1a9cb4a826,16
PAIRING_REVIEW_ROWS_NOT_IN_PRIMARY_SUMMARY,PASS,summaries=10 primary=10,,,
INDEPENDENT_GEOMETRY_DEDUP_VALID,PASS,S1-R1 independent geometry map has 215 rows,reports/oty2/samples/oty2_gm_rm019_s1_r1_independent_geometry_map_20260712.csv,2d3c876d3c708a1bb50234328935fcb4a38fddb1115e37803838c184ba2a4497,215
GT_INSTANCE_GROUPING_VALID,PASS,10 primary GT instances,,,
PHYSICAL_VEHICLE_GROUPING_VALID,PASS,2 physical vehicles,,,
FINAL_HEADING_STORAGE_AXIS_SEMANTICS_VALID,PASS,"final_heading_deg is stored final_w axis, not vehicle yaw",,,
GT_LONG_AXIS_DERIVATION_VALID,PASS,GT long axis derived in plan geometry semantics,,,
NO_TRUE_YAW_OUTPUT,PASS,no true-yaw fields,,,
ALL_COUNTERFACTUALS_PRE_REGISTERED,PASS,plan_rows=560 measurement_rows=560,,,
MATCHED_BACKGROUND_NOT_INTENSITY_SELECTED,PASS,matched backgrounds carry fixed-order rule,,,
MATCHED_BACKGROUND_COMPLETE,PASS,matched_background=10 primary=10,,,
ALL_REGIONS_REMEASURED_FROM_REAL_SAR,PASS,all measurement rows use SAR gray,,,
NO_PROXY_COUNTERFACTUAL_FORMULA,PASS,proxy_formula_used=false,,,
GLOBAL_AXIS_MEASURED,PASS,global energy axis present,,,
DOMINANT_COMPONENT_AXIS_MEASURED,PASS,dominant component axis present,,,
COMPONENT_LAYOUT_AXIS_MEASURED,PASS,component layout axis present,,,
MULTI_COMPONENT_NOT_AUTOMATICALLY_REJECTED,PASS,multi-component rows retain axis statuses,,,
FACTOR_WISE_EVALUATION_ONLY,PASS,factor-wise rows per GT instance,,,
NO_WEIGHTED_SCORE,PASS,no weighted score field,,,
NO_SELECTOR,PASS,no selector field,,,
NO_RANKING,PASS,no ranking field,,,
NO_BEST_BOX,PASS,no best-box field,,,
REGION_STATUS_COMPLETE,PASS,region status complete,,,
FOUR_EDGE_STATUS_COMPLETE,PASS,4 edge rows per primary GT,,,
ROTATION_STATUS_COMPLETE,PASS,rotation status complete,,,
MASK_CONTEXT_RECORDED,PASS,mask context retained,,,
BACKGROUND_SENSITIVITY_RECORDED,PASS,background sensitivity retained,,,
GT_INSTANCE_LEVEL_SUMMARY_PRESENT,PASS,GT-instance summary present,,,
PHYSICAL_VEHICLE_LEVEL_SUMMARY_PRESENT,PASS,physical-vehicle summary present,,,
ROW_LEVEL_NOT_USED_AS_INDEPENDENT_N,PASS,report states measurement rows are not independent N,,,
VISUAL_REVIEW_ACTUALLY_OPENED,PASS,visual manifest includes opened review rows,,,
FROZEN_REPLAY_IDENTICAL,PASS,replay_rows=11,,,
NO_GT_MODIFICATION,PASS,GT source files read only,,,
NO_FINAL_BOX_OUTPUT,PASS,no final box artifact generated,,,
NO_GM017_MODIFICATION,PASS,GM_RM017 sibling worktree not written,,,
