accepted_family_id,alternative_object_id,same_frame,accepted_visible_structure,alternative_visible_structure,accepted_core_relation,alternative_relation,accepted_lineage,alternative_lineage,accepted_bbox_membership,alternative_exclusion_reason,why_accepted_is_vehicle_response_cn,why_alternative_is_not_vehicle_response_cn,remaining_uncertainty_cn
R21F00011,R21A00047,46,"family bbox 1030,1135,1193,1255 contains local core/member responses","body_core_candidate at 1030,1135,1193,1255",vehicle_response_box_possible:1,nearby_noncore_response,R21A00047,R21PT0007,R21B00062,no whole-core membership evidence,46帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00047 位于同帧邻近区域，但角色为 body_core_candidate，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00012,R21A00049,52,"family bbox 1024,1135,1193,1189 contains local core/member responses","background_arc_candidate at 1114,1213,1180,1243",unresolved:3;vehicle_part_box_only:1,nearby_background,R21A00048;R21A00050;R21A00051,single_frame_or_no_shared_lineage,R21B00063;R21B00064;R21B00065;R21B00066,background arc excluded,52帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00049 位于同帧邻近区域，但角色为 background_arc_candidate，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00013,R21A00052,60,"family bbox 1126,1207,1186,1243 contains local core/member responses","background_arc_candidate at 1060,1135,1193,1195",vehicle_response_box_possible:1,nearby_background,R21A00053,single_frame_or_no_shared_lineage,R21B00067,background arc excluded,60帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00052 位于同帧邻近区域，但角色为 background_arc_candidate，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00015,R21A00055,77,"family bbox 1146,1133,1266,1163 contains local core/member responses","unresolved_atom at 1146,1133,1266,1163",unresolved:6;vehicle_part_box_only:1;vehicle_response_box_possible:1,nearby_noncore_response,R21A00055;R21A00056;R21A00057;R21A00058;R21A00059;R21A00060,single_frame_or_no_shared_lineage,R21B00069;R21B00070;R21B00071;R21B00072;R21B00073;R21B00074;R21B00075;R21B00076,no whole-core membership evidence,77帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00055 位于同帧邻近区域，但角色为 unresolved_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00016,R21A00061,78,"family bbox 1146,1247,1164,1271 contains local core/member responses","background_arc_candidate at 1146,1133,1284,1187",unresolved:4;vehicle_part_box_only:1;vehicle_response_box_possible:2,nearby_background,R21A00062;R21A00063;R21A00064;R21A00065;R21A00066;R21A00067,single_frame_or_no_shared_lineage,R21B00077;R21B00078;R21B00079;R21B00080;R21B00081;R21B00082;R21B00083,background arc excluded,78帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00061 位于同帧邻近区域，但角色为 background_arc_candidate，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00017,R21A00068,79,"family bbox 1146,1247,1164,1271 contains local core/member responses","background_arc_candidate at 1146,1133,1290,1187",unresolved:5;vehicle_part_box_only:1;vehicle_response_box_possible:2,nearby_background,R21A00069;R21A00070;R21A00071;R21A00072;R21A00073;R21A00074,single_frame_or_no_shared_lineage,R21B00084;R21B00085;R21B00086;R21B00087;R21B00088;R21B00089;R21B00090;R21B00091,background arc excluded,79帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00068 位于同帧邻近区域，但角色为 background_arc_candidate，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00018,R21A00079,80,"family bbox 1146,1133,1266,1163 contains local core/member responses","background_arc_candidate at 1296,1133,1314,1145",unresolved:3;vehicle_part_box_only:3;vehicle_response_box_possible:2,nearby_background,R21A00075;R21A00076;R21A00077;R21A00078;R21A00080;R21A00081,single_frame_or_no_shared_lineage,R21B00092;R21B00093;R21B00094;R21B00095;R21B00096;R21B00097;R21B00098;R21B00099,background arc excluded,80帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00079 位于同帧邻近区域，但角色为 background_arc_candidate，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00019,R21A00082,81,"family bbox 1176,1181,1260,1271 contains local core/member responses","background_arc_candidate at 1146,1133,1296,1187",unresolved:4;vehicle_response_box_possible:1,nearby_background,R21A00083;R21A00084;R21A00085;R21A00086,single_frame_or_no_shared_lineage,R21B00100;R21B00101;R21B00102;R21B00103;R21B00104,background arc excluded,81帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00082 位于同帧邻近区域，但角色为 background_arc_candidate，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00020,R21A00087,212,"family bbox 1005,1210,1023,1240 contains local core/member responses","unresolved_atom at 957,1126,1132,1240",unresolved:2;vehicle_part_box_only:1,nearby_noncore_response,R21A00087;R21A00088,single_frame_or_no_shared_lineage,R21B00105;R21B00106;R21B00107,no whole-core membership evidence,212帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00087 位于同帧邻近区域，但角色为 unresolved_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00021,R21A00089,213,"family bbox 1005,1210,1023,1246 contains local core/member responses","unresolved_atom at 981,1126,1132,1240",unresolved:3;vehicle_part_box_only:1,nearby_noncore_response,R21A00089;R21A00090;R21A00091,single_frame_or_no_shared_lineage,R21B00108;R21B00109;R21B00110;R21B00111,no whole-core membership evidence,213帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00089 位于同帧邻近区域，但角色为 unresolved_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00022,R21A00092,216,"family bbox 1017,1216,1035,1240 contains local core/member responses","unresolved_atom at 975,1126,1131,1240",unresolved:2;vehicle_part_box_only:1,nearby_noncore_response,R21A00092;R21A00093,single_frame_or_no_shared_lineage,R21B00112;R21B00113;R21B00114,no whole-core membership evidence,216帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00092 位于同帧邻近区域，但角色为 unresolved_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00024,R21A00096,224,"family bbox 1005,1126,1132,1234 contains local core/member responses","unresolved_atom at 1005,1126,1132,1234",unresolved:5;vehicle_part_box_only:2,nearby_noncore_response,R21A00096;R21A00097;R21A00098,single_frame_or_no_shared_lineage,R21B00117;R21B00118;R21B00119;R21B00120;R21B00121;R21B00122;R21B00123,no whole-core membership evidence,224帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00096 位于同帧邻近区域，但角色为 unresolved_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00025,R21A00099,227,"family bbox 1017,1126,1132,1234 contains local core/member responses","unresolved_atom at 1017,1126,1132,1234",unresolved:3;vehicle_part_box_only:1,nearby_noncore_response,R21A00099;R21A00100;R21A00101,single_frame_or_no_shared_lineage,R21B00124;R21B00125;R21B00126;R21B00127,no whole-core membership evidence,227帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00099 位于同帧邻近区域，但角色为 unresolved_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00026,R21A00102,228,"family bbox 1023,1126,1132,1240 contains local core/member responses","unresolved_atom at 1023,1126,1132,1240",unresolved:3;vehicle_response_box_possible:1,nearby_noncore_response,R21A00102;R21A00103;R21A00104,R21PT0012,R21B00128;R21B00129;R21B00130;R21B00131,no whole-core membership evidence,228帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00102 位于同帧邻近区域，但角色为 unresolved_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00027,R21A00106,238,"family bbox 1051,1135,1177,1255 contains local core/member responses","isolated_small_atom at 1063,1231,1075,1243",unresolved:1;vehicle_response_box_possible:1,nearby_noncore_response,R21A00105;R21A00106,single_frame_or_no_shared_lineage,R21B00132;R21B00133,no whole-core membership evidence,238帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00106 位于同帧邻近区域，但角色为 isolated_small_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00028,R21A00109,239,"family bbox 1051,1135,1177,1255 contains local core/member responses","isolated_small_atom at 1063,1231,1075,1243",unresolved:1;vehicle_response_box_possible:2,nearby_noncore_response,R21A00107;R21A00108;R21A00109,single_frame_or_no_shared_lineage,R21B00134;R21B00135;R21B00136,no whole-core membership evidence,239帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00109 位于同帧邻近区域，但角色为 isolated_small_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00029,R21A00111,243,"family bbox 1063,1135,1195,1249 contains local core/member responses","isolated_small_atom at 1075,1231,1087,1243",unresolved:2;vehicle_response_box_possible:1,nearby_noncore_response,R21A00110;R21A00111;R21A00112,single_frame_or_no_shared_lineage,R21B00137;R21B00138;R21B00139,no whole-core membership evidence,243帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00111 位于同帧邻近区域，但角色为 isolated_small_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00030,R21A00114,250,"family bbox 1099,1135,1201,1261 contains local core/member responses","isolated_small_atom at 1183,1165,1201,1189",unresolved:2;vehicle_response_box_possible:1,nearby_noncore_response,R21A00113;R21A00114;R21A00115,single_frame_or_no_shared_lineage,R21B00140;R21B00141;R21B00142,no whole-core membership evidence,250帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00114 位于同帧邻近区域，但角色为 isolated_small_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00031,R21A00118,259,"family bbox 1069,1135,1189,1255 contains local core/member responses","side_ridge_candidate at 1189,1141,1218,1189",unresolved:1;vehicle_part_box_only:1;vehicle_response_box_possible:2;vehicle_response_box_supported:3,nearby_noncore_response,R21A00116;R21A00117;R21A00118,single_frame_or_no_shared_lineage,R21B00143;R21B00144;R21B00145;R21B00146;R21B00147;R21B00148;R21B00149,no whole-core membership evidence,259帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00118 位于同帧邻近区域，但角色为 side_ridge_candidate，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00032,R21A00119,260,"family bbox 1075,1135,1218,1195 contains local core/member responses","unresolved_atom at 1075,1135,1218,1195",unresolved:3;vehicle_part_box_only:1;vehicle_response_box_possible:1;vehicle_response_box_supported:2,nearby_noncore_response,R21A00119;R21A00120;R21A00121,R21PT0013,R21B00150;R21B00151;R21B00152;R21B00153;R21B00154;R21B00155;R21B00156,no whole-core membership evidence,260帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00119 位于同帧邻近区域，但角色为 unresolved_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00033,R21A00122,262,"family bbox 1075,1135,1218,1267 contains local core/member responses","body_core_candidate at 1075,1135,1218,1267",vehicle_response_box_possible:1,nearby_noncore_response,R21A00122,R21PT0013,R21B00157,no whole-core membership evidence,262帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00122 位于同帧邻近区域，但角色为 body_core_candidate，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00034,R21A00123,263,"family bbox 1069,1135,1218,1261 contains local core/member responses","body_core_candidate at 1069,1135,1218,1261",vehicle_response_box_possible:1,nearby_noncore_response,R21A00123,R21PT0015,R21B00158,no whole-core membership evidence,263帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00123 位于同帧邻近区域，但角色为 body_core_candidate，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00035,R21A00124,269,"family bbox 1107,1138,1245,1246 contains local core/member responses","unresolved_atom at 1107,1138,1245,1246",unresolved:6;vehicle_part_box_only:1;vehicle_response_box_possible:1,nearby_noncore_response,R21A00124;R21A00125;R21A00126;R21A00127;R21A00128;R21A00129,R21PT0015,R21B00159;R21B00160;R21B00161;R21B00162;R21B00163;R21B00164;R21B00165;R21B00166,no whole-core membership evidence,269帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00124 位于同帧邻近区域，但角色为 unresolved_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00036,R21A00130,270,"family bbox 1107,1138,1263,1240 contains local core/member responses","unresolved_atom at 1107,1138,1263,1240",unresolved:6;vehicle_part_box_only:1;vehicle_response_box_possible:1,nearby_noncore_response,R21A00130;R21A00131;R21A00132;R21A00133;R21A00134,R21PT0016,R21B00167;R21B00168;R21B00169;R21B00170;R21B00171;R21B00172;R21B00173;R21B00174,no whole-core membership evidence,270帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00130 位于同帧邻近区域，但角色为 unresolved_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00037,R21A00135,271,"family bbox 1107,1138,1287,1240 contains local core/member responses","unresolved_atom at 1107,1138,1287,1240",unresolved:4;vehicle_part_box_only:1;vehicle_response_box_possible:1;vehicle_response_box_supported:2,nearby_noncore_response,R21A00135;R21A00136;R21A00137;R21A00138,R21PT0015,R21B00175;R21B00176;R21B00177;R21B00178;R21B00179;R21B00180;R21B00181;R21B00182,no whole-core membership evidence,271帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00135 位于同帧邻近区域，但角色为 unresolved_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00038,R21A00139,272,"family bbox 1107,1138,1251,1240 contains local core/member responses","unresolved_atom at 1107,1138,1251,1240",unresolved:6;vehicle_part_box_only:1;vehicle_response_box_possible:1,nearby_noncore_response,R21A00139;R21A00140;R21A00141;R21A00142;R21A00143;R21A00144,R21PT0016,R21B00183;R21B00184;R21B00185;R21B00186;R21B00187;R21B00188;R21B00189;R21B00190,no whole-core membership evidence,272帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00139 位于同帧邻近区域，但角色为 unresolved_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00039,R21A00146,273,"family bbox 1115,1140,1259,1266 contains local core/member responses","endpoint_hotspot_candidate at 1241,1194,1259,1236",vehicle_part_box_only:1;vehicle_response_box_possible:1;vehicle_response_box_supported:1,nearby_noncore_response,R21A00145;R21A00146,R21PT0017,R21B00191;R21B00192;R21B00195,no whole-core membership evidence,273帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00146 位于同帧邻近区域，但角色为 endpoint_hotspot_candidate，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00041,R21A00149,276,"family bbox 1115,1140,1271,1242 contains local core/member responses","unresolved_atom at 1115,1140,1271,1242",unresolved:5;vehicle_part_box_only:1;vehicle_response_box_possible:1;vehicle_response_box_supported:1,nearby_noncore_response,R21A00149;R21A00150;R21A00151;R21A00152;R21A00153,R21PT0016,R21B00196;R21B00197;R21B00198;R21B00199;R21B00200;R21B00201;R21B00202;R21B00203,no whole-core membership evidence,276帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00149 位于同帧邻近区域，但角色为 unresolved_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00042,R21A00154,278,"family bbox 1121,1140,1277,1236 contains local core/member responses","unresolved_atom at 1121,1140,1277,1236",unresolved:3;vehicle_response_box_possible:1,nearby_noncore_response,R21A00154;R21A00155;R21A00156,R21PT0018,R21B00204;R21B00205;R21B00206;R21B00207,no whole-core membership evidence,278帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00154 位于同帧邻近区域，但角色为 unresolved_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00043,R21A00157,279,"family bbox 1115,1140,1283,1236 contains local core/member responses","unresolved_atom at 1115,1140,1283,1236",unresolved:4;vehicle_response_box_possible:1,nearby_noncore_response,R21A00157;R21A00158;R21A00159;R21A00160,R21PT0016,R21B00208;R21B00209;R21B00210;R21B00211;R21B00212,no whole-core membership evidence,279帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00157 位于同帧邻近区域，但角色为 unresolved_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
R21F00044,R21A00161,280,"family bbox 1115,1140,1277,1236 contains local core/member responses","unresolved_atom at 1115,1140,1277,1236",unresolved:3;vehicle_response_box_possible:1,nearby_noncore_response,R21A00161;R21A00162;R21A00163,R21PT0018,R21B00213;R21B00214;R21B00215;R21B00216,no whole-core membership evidence,280帧该族的确定框包含局部主体/端点/侧边关系，框内响应在像素上相互接近，并且不是单条背景弧线主导。,R21A00161 位于同帧邻近区域，但角色为 unresolved_atom，缺少与该核心共享谱系或明确部件关系，因此不并入同一车辆响应。,边界仍是 SAR 响应框而不是真实车辆外形；远侧弱响应保留为不确定或反例。
