hidden_sample_id,physical_vehicle_id,pair_id,frame,truth_bbox,truth_depth,truth_sar_azimuth,truth_sar_radial
GM17_HIDDEN_0017,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0086,170,"25.581,318.214,193.336,381.833",3.700094,-32.0038,533.885
GM17_HIDDEN_0018,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0089,170,"25.580,318.216,193.330,381.839",3.70011,-31.5616,530.832
GM17_HIDDEN_0019,PV_GM17_WHITE_SUV,WGV35A_PAIR_0094,171,"177.566,292.003,401.417,386.439",3.656884,-14.6962,401.288
GM17_HIDDEN_0020,PV_GM17_WHITE_SUV,WGV35A_PAIR_0097,171,"177.568,292.002,401.424,386.444",3.656892,-12.9923,400.637
GM17_HIDDEN_0021,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0092,171,"41.355,317.323,209.328,381.426",3.697498,-30.3889,520.547
GM17_HIDDEN_0022,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0095,171,"41.351,317.322,209.325,381.435",3.697514,-30.4875,524.328
GM17_HIDDEN_0023,PV_GM17_WHITE_SUV,WGV35A_PAIR_0100,172,"195.896,291.030,421.669,387.645",3.65735,-12.3068,395.757
GM17_HIDDEN_0024,PV_GM17_WHITE_SUV,WGV35A_PAIR_0103,172,"195.898,291.028,421.668,387.646",3.657348,-11.8953,395.282
GM17_HIDDEN_0025,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0098,172,"55.526,317.948,224.994,382.090",3.700076,-28.392,515.406
GM17_HIDDEN_0026,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0101,172,"55.525,317.951,224.990,382.097",3.700096,-28.8402,514.36
GM17_HIDDEN_0027,PV_GM17_WHITE_SUV,WGV35A_PAIR_0106,173,"216.152,290.774,441.725,385.915",3.653378,-10.5549,395.464
GM17_HIDDEN_0028,PV_GM17_WHITE_SUV,WGV35A_PAIR_0109,173,"216.150,290.775,441.722,385.915",3.65338,-9.2352,393.452
GM17_HIDDEN_0029,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0104,173,"72.067,317.745,241.129,381.699",3.698888,-27.5366,511.022
GM17_HIDDEN_0030,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0107,173,"72.066,317.748,241.122,381.701",3.698898,-26.9942,503.45
GM17_HIDDEN_0031,PV_GM17_WHITE_SUV,WGV35A_PAIR_0112,174,"235.864,287.242,463.982,385.466",3.645416,-9.0571,393.188
GM17_HIDDEN_0032,PV_GM17_WHITE_SUV,WGV35A_PAIR_0115,174,"235.862,287.247,463.981,385.466",3.645426,-6.7466,394.031
GM17_HIDDEN_0033,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0110,174,"87.884,316.959,258.939,381.793",3.697504,-26.1852,499.835
GM17_HIDDEN_0034,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0113,174,"87.885,316.960,258.936,381.799",3.697518,-25.3374,501.404
GM17_HIDDEN_0035,PV_GM17_WHITE_SUV,WGV35A_PAIR_0118,175,"256.531,288.128,486.230,387.175",3.650606,-6.0284,391.511
GM17_HIDDEN_0036,PV_GM17_WHITE_SUV,WGV35A_PAIR_0121,175,"256.530,288.134,486.222,387.175",3.650618,-5.9157,390.634
GM17_HIDDEN_0037,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0116,175,"104.941,317.843,276.670,384.082",3.70385,-24.4481,496.483
GM17_HIDDEN_0038,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0119,175,"104.944,317.843,276.669,384.075",3.703836,-23.7927,494.464
GM17_HIDDEN_0039,PV_GM17_WHITE_SUV,WGV35A_PAIR_0123,176,"273.887,285.327,506.698,384.279",3.639212,-3.5615,389.365
GM17_HIDDEN_0040,PV_GM17_WHITE_SUV,WGV35A_PAIR_0126,176,"273.884,285.327,506.696,384.274",3.639202,-3.1711,387.794
GM17_HIDDEN_0041,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0124,176,"116.934,315.446,291.802,379.227",3.689346,-22.7402,491.72
GM17_HIDDEN_0042,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0127,176,"117.461,315.134,292.100,379.753",3.689774,-22.3458,488.566
GM17_HIDDEN_0043,PV_GM17_WHITE_SUV,WGV35A_PAIR_0130,177,"294.049,282.710,524.704,381.047",3.627514,-2.1342,388.082
GM17_HIDDEN_0044,PV_GM17_WHITE_SUV,WGV35A_PAIR_0133,177,"294.048,282.711,524.706,381.043",3.627508,-2.7125,388.763
GM17_HIDDEN_0045,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0129,177,"131.871,310.249,308.766,376.993",3.674484,-21.3556,485.571
GM17_HIDDEN_0046,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0132,177,"131.865,310.250,308.770,376.993",3.674486,-21.067,483.832
GM17_HIDDEN_0047,PV_GM17_WHITE_SUV,WGV35A_PAIR_0135,178,"311.954,280.293,547.285,380.552",3.62169,-0.4536,386.685
GM17_HIDDEN_0048,PV_GM17_WHITE_SUV,WGV35A_PAIR_0138,178,"311.955,280.294,547.283,380.551",3.62169,-0.1617,386.859
GM17_HIDDEN_0049,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0136,178,"147.878,308.705,329.527,375.923",3.669256,-19.6712,481.828
GM17_HIDDEN_0050,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0139,178,"147.876,308.705,329.538,375.921",3.669252,-18.9731,478.278
GM17_HIDDEN_0051,PV_GM17_WHITE_SUV,WGV35A_PAIR_0140,179,"333.240,283.678,569.260,381.775",3.630906,1.9287,389.377
GM17_HIDDEN_0052,PV_GM17_WHITE_SUV,WGV35A_PAIR_0143,179,"333.240,283.686,569.259,381.771",3.630914,2.6727,387.658
GM17_HIDDEN_0053,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0142,179,"164.258,310.422,343.952,377.454",3.675752,-17.5499,476.198
GM17_HIDDEN_0054,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0145,179,"164.262,310.425,343.949,377.451",3.675752,-18.11,475.643
GM17_HIDDEN_0055,PV_GM17_WHITE_SUV,WGV35A_PAIR_0146,180,"353.433,284.322,591.535,382.939",3.634522,3.8033,387.451
GM17_HIDDEN_0056,PV_GM17_WHITE_SUV,WGV35A_PAIR_0149,180,"353.434,284.321,591.533,382.936",3.634514,4.2178,384.768
GM17_HIDDEN_0057,PV_GM17_WHITE_SUV,WGV35A_PAIR_0152,180,"353.433,284.322,591.535,382.939",3.634522,3.8673,386.018
GM17_HIDDEN_0058,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0147,180,"180.609,310.099,366.966,378.500",3.677198,-16.9076,475.173
GM17_HIDDEN_0059,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0150,180,"180.610,310.101,366.972,378.497",3.677196,-14.9361,466.823
GM17_HIDDEN_0060,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0153,180,"180.609,310.099,366.966,378.500",3.677198,-15.0003,467.861
GM17_HIDDEN_0061,PV_GM17_WHITE_SUV,WGV35A_PAIR_0156,181,"373.727,282.417,614.978,382.529",3.629892,7.4057,389.583
GM17_HIDDEN_0062,PV_GM17_WHITE_SUV,WGV35A_PAIR_0159,181,"373.722,282.418,614.976,382.533",3.629902,6.131,387.387
GM17_HIDDEN_0063,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0155,181,"196.500,310.653,384.262,379.882",3.68107,-14.0806,470.228
GM17_HIDDEN_0064,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0158,181,"196.499,310.646,384.275,379.885",3.681062,-14.0802,465.534
GM17_HIDDEN_0065,PV_GM17_WHITE_SUV,WGV35A_PAIR_0162,182,"393.201,283.212,638.699,384.680",3.635784,8.5035,392.191
GM17_HIDDEN_0066,PV_GM17_WHITE_SUV,WGV35A_PAIR_0165,182,"393.197,283.213,638.694,384.681",3.635788,8.1206,391.526
GM17_HIDDEN_0067,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0161,182,"211.301,313.652,404.498,381.018",3.68934,-13.4081,470.363
GM17_HIDDEN_0068,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0164,182,"211.304,313.649,404.500,381.022",3.689342,-11.9711,457.719
GM17_HIDDEN_0069,PV_GM17_WHITE_SUV,WGV35A_PAIR_0168,183,"416.032,282.812,662.715,384.129",3.633882,9.6852,393.024
GM17_HIDDEN_0070,PV_GM17_WHITE_SUV,WGV35A_PAIR_0170,183,"416.032,282.809,662.721,384.134",3.633886,9.2251,393.764
GM17_HIDDEN_0071,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0167,183,"228.471,313.733,423.473,380.575",3.688616,-10.6382,458.753
GM17_HIDDEN_0072,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0169,183,"228.471,313.730,423.470,380.577",3.688614,-10.2976,453.987
GM17_HIDDEN_0073,PV_GM17_WHITE_SUV,WGV35A_PAIR_0172,184,"435.569,280.408,685.550,384.190",3.629196,12.7171,398.373
GM17_HIDDEN_0074,PV_GM17_WHITE_SUV,WGV35A_PAIR_0175,184,"435.566,280.409,685.547,384.194",3.629206,11.2797,396.485
GM17_HIDDEN_0075,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0171,184,"245.144,313.116,442.411,380.821",3.687874,-9.639,458.581
GM17_HIDDEN_0076,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0174,184,"245.148,313.114,442.408,380.824",3.687876,-8.8701,458.574
GM17_HIDDEN_0077,PV_GM17_WHITE_SUV,WGV35A_PAIR_0178,185,"458.042,276.236,708.734,380.985",3.614442,14.3754,401.774
GM17_HIDDEN_0078,PV_GM17_WHITE_SUV,WGV35A_PAIR_0180,185,"458.043,276.234,708.733,380.992",3.614452,14.4274,402.17
GM17_HIDDEN_0079,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0177,185,"263.621,311.146,462.504,380.249",3.68279,-8.2735,460.142
GM17_HIDDEN_0080,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0179,185,"263.622,311.142,462.501,380.254",3.682792,-6.8873,453.697
GM17_HIDDEN_0081,PV_GM17_WHITE_SUV,WGV35A_PAIR_0181,186,"477.525,277.862,733.557,383.483",3.62269,14.8205,402.518
GM17_HIDDEN_0082,PV_GM17_WHITE_SUV,WGV35A_PAIR_0183,186,"477.525,277.862,733.560,383.475",3.622674,16.6298,410.096
GM17_HIDDEN_0083,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0182,186,"313.088,312.046,482.097,377.626",3.679344,-6.626,456.917
GM17_HIDDEN_0084,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0184,186,"259.091,305.455,474.545,379.091",3.669092,-5.8033,449.673
GM17_HIDDEN_0085,PV_GM17_WHITE_SUV,WGV35A_PAIR_0185,187,"500.103,277.309,759.186,383.499",3.621616,17.1313,406.056
GM17_HIDDEN_0086,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0186,187,"293.893,312.663,500.823,382.432",3.69019,-4.645,450.19
GM17_HIDDEN_0087,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0187,187,"293.894,312.662,500.830,382.434",3.690192,-3.8343,456.48
GM17_HIDDEN_0088,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0190,188,"310.621,312.574,520.029,380.181",3.68551,-3.1686,451.841
GM17_HIDDEN_0089,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0191,188,"310.623,312.575,520.035,380.178",3.685506,-1.8581,457.461
GM17_HIDDEN_0090,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0194,189,"328.125,310.241,538.476,379.810",3.680102,-1.4718,445.282
GM17_HIDDEN_0091,PV_GM17_DARK_FOLLOW,WGV35A_PAIR_0196,189,"328.126,310.240,538.479,379.806",3.680092,-1.267,449.283
