response_thread_id,scene,extraction_profile,start_sar_frame,end_sar_frame,duration_frames,component_count,branch_count,gap_count,azimuth_center_start,azimuth_center_end,radial_center_start,radial_center_end,azimuth_drift,radial_drift_px,mean_local_contrast,max_local_contrast,integrated_excess,shape_stability,temporal_continuity,static_clutter_likelihood,matched_control_available_ratio,mean_spatial_control_ratio,mean_temporal_control_ratio,dynamic_response_status,component_ids
WGV33D_THREAD_000011,GM_RM011,main,0,33,34,75,74,2,-8.6758,24.0323,62.0979,75.8708,32.7081,13.7729,3.450512,5.174479,249818.498944,0.449226,0.939394,0.089977,1,1.29919,1.13716,dynamic_local_response_mixed,WGV33D_MAIN_F0000_C000011;WGV33D_MAIN_F0002_C000053;WGV33D_MAIN_F0004_C000107;WGV33D_MAIN_F0000_C000013;WGV33D_MAIN_F0006_C000177;WGV33D_MAIN_F0001_C000036;WGV33D_MAIN_F0008_C000222;WGV33D_MAIN_F0003_C000076;WGV33D_MAIN_F0000_C000014;WGV33D_MAIN_F0010_C000255;WGV33D_MAIN_F0005_C000140;WGV33D_MAIN_F0012_C000304;WGV33D_MAIN_F0007_C000206;WGV33D_MAIN_F0014_C000346;WGV33D_MAIN_F0009_C000242;WGV33D_MAIN_F0016_C000419;WGV33D_MAIN_F0011_C000278;WGV33D_MAIN_F0018_C000505;WGV33D_MAIN_F0013_C000320;WGV33D_MAIN_F0020_C000577;WGV33D_MAIN_F0020_C000579;WGV33D_MAIN_F0015_C000375;WGV33D_MAIN_F0022_C000645;WGV33D_MAIN_F0022_C000646;WGV33D_MAIN_F0017_C000467;WGV33D_MAIN_F0017_C000464;WGV33D_MAIN_F0017_C000461;WGV33D_MAIN_F0024_C000717;WGV33D_MAIN_F0015_C000378;WGV33D_MAIN_F0019_C000547;WGV33D_MAIN_F0019_C000543;WGV33D_MAIN_F0026_C000790;WGV33D_MAIN_F0013_C000326;WGV33D_MAIN_F0021_C000611;WGV33D_MAIN_F0021_C000613;WGV33D_MAIN_F0021_C000610;WGV33D_MAIN_F0017_C000455;WGV33D_MAIN_F0028_C000871;WGV33D_MAIN_F0015_C000380;WGV33D_MAIN_F0023_C000676;WGV33D_MAIN_F0023_C000679;WGV33D_MAIN_F0015_C000369;WGV33D_MAIN_F0017_C000468;WGV33D_MAIN_F0025_C000753;WGV33D_MAIN_F0024_C000722;WGV33D_MAIN_F0025_C000758;WGV33D_MAIN_F0017_C000453;WGV33D_MAIN_F0019_C000551;WGV33D_MAIN_F0027_C000829;WGV33D_MAIN_F0026_C000794;WGV33D_MAIN_F0027_C000832;WGV33D_MAIN_F0023_C000681;WGV33D_MAIN_F0015_C000367;WGV33D_MAIN_F0018_C000513;WGV33D_MAIN_F0017_C000470;WGV33D_MAIN_F0021_C000619;WGV33D_MAIN_F0013_C000319;WGV33D_MAIN_F0020_C000584;WGV33D_MAIN_F0023_C000685;WGV33D_MAIN_F0019_C000553;WGV33D_MAIN_F0018_C000512;WGV33D_MAIN_F0022_C000652;WGV33D_MAIN_F0021_C000620;WGV33D_MAIN_F0025_C000763;WGV33D_MAIN_F0024_C000726;WGV33D_MAIN_F0020_C000586;WGV33D_MAIN_F0023_C000686;WGV33D_MAIN_F0027_C000839;WGV33D_MAIN_F0026_C000800;WGV33D_MAIN_F0022_C000653;WGV33D_MAIN_F0024_C000727;WGV33D_MAIN_F0028_C000879;WGV33D_MAIN_F0030_C000941;WGV33D_MAIN_F0031_C000967;WGV33D_MAIN_F0033_C001017
WGV33D_THREAD_000012,GM_RM011,main,0,10,11,8,8,5,-6.5276,8.8058,106.9756,111.6362,15.3334,4.6606,3.297131,4.425347,23759.999978,0.651073,0.5,0.049192,1,1.140065,1.173774,dynamic_local_response_mixed,WGV33D_MAIN_F0000_C000012;WGV33D_MAIN_F0002_C000052;WGV33D_MAIN_F0004_C000109;WGV33D_MAIN_F0006_C000182;WGV33D_MAIN_F0008_C000227;WGV33D_MAIN_F0004_C000111;WGV33D_MAIN_F0006_C000184;WGV33D_MAIN_F0010_C000262
WGV33D_THREAD_000013,GM_RM011,main,0,20,21,34,31,2,7.6569,23.4848,63.3807,78,15.8279,14.6193,3.219612,4.417236,57228.499288,0.544969,0.9,0.061213,1,1.117296,1.300641,dynamic_local_response_mixed,WGV33D_MAIN_F0000_C000015;WGV33D_MAIN_F0002_C000054;WGV33D_MAIN_F0004_C000112;WGV33D_MAIN_F0006_C000185;WGV33D_MAIN_F0008_C000228;WGV33D_MAIN_F0004_C000113;WGV33D_MAIN_F0008_C000229;WGV33D_MAIN_F0010_C000264;WGV33D_MAIN_F0010_C000263;WGV33D_MAIN_F0006_C000186;WGV33D_MAIN_F0011_C000288;WGV33D_MAIN_F0012_C000311;WGV33D_MAIN_F0008_C000230;WGV33D_MAIN_F0004_C000114;WGV33D_MAIN_F0013_C000329;WGV33D_MAIN_F0009_C000247;WGV33D_MAIN_F0009_C000246;WGV33D_MAIN_F0014_C000351;WGV33D_MAIN_F0014_C000350;WGV33D_MAIN_F0002_C000056;WGV33D_MAIN_F0011_C000290;WGV33D_MAIN_F0011_C000289;WGV33D_MAIN_F0015_C000383;WGV33D_MAIN_F0015_C000384;WGV33D_MAIN_F0007_C000213;WGV33D_MAIN_F0016_C000426;WGV33D_MAIN_F0004_C000116;WGV33D_MAIN_F0005_C000152;WGV33D_MAIN_F0005_C000151;WGV33D_MAIN_F0018_C000515;WGV33D_MAIN_F0003_C000080;WGV33D_MAIN_F0020_C000587;WGV33D_MAIN_F0001_C000038;WGV33D_MAIN_F0000_C000017
WGV33D_THREAD_000014,GM_RM011,main,0,0,1,1,0,0,16.2501,16.2501,275.8731,275.8731,0,0,3.935847,3.935847,7685.000114,1,0,0.009138,1,1.873383,2.314688,transient_unlinked,WGV33D_MAIN_F0000_C000016
WGV33D_THREAD_000015,GM_RM011,main,1,1,1,1,1,0,-48.3698,-48.3698,198,198,0,0,3.801618,3.801618,4489.999924,1,0,0.007087,1,1.940445,2.295309,transient_unlinked,WGV33D_MAIN_F0001_C000031
WGV33D_THREAD_000016,GM_RM011,main,1,1,1,1,1,0,-28.0409,-28.0409,186,186,0,0,3.058594,3.058594,1055.999962,1,0,0.112272,1,1.081682,2.575304,transient_unlinked,WGV33D_MAIN_F0001_C000032
WGV33D_THREAD_000017,GM_RM011,main,1,3,3,2,2,1,-18.2538,-13.9229,63.0111,63.0757,4.3309,0.0646,3.026855,3.296387,3105.999973,0.6,0.5,0.070758,1,1.20501,0.911539,transient_unlinked,WGV33D_MAIN_F0001_C000034;WGV33D_MAIN_F0003_C000071
WGV33D_THREAD_000018,GM_RM011,main,1,1,1,1,1,0,-14.5518,-14.5518,178,178,0,0,2.604167,2.604167,1140.500076,1,0,0.077023,1,1.028314,1.886376,transient_unlinked,WGV33D_MAIN_F0001_C000035
WGV33D_THREAD_000019,GM_RM011,main,1,5,5,3,3,2,-4.1642,-9.5074,106.4205,110,-5.3432,3.5795,2.919735,3.38299,11116.500042,0.623144,0.5,0.040235,1,1.184687,1.02014,dynamic_local_response_mixed,WGV33D_MAIN_F0001_C000037;WGV33D_MAIN_F0003_C000073;WGV33D_MAIN_F0005_C000141
WGV33D_THREAD_000020,GM_RM011,main,2,2,1,1,1,0,-50.4979,-50.4979,246,246,0,0,8.115886,8.115886,1309.99984,1,0,0.030026,1,1.194469,1.713681,transient_unlinked,WGV33D_MAIN_F0002_C000046
WGV33D_THREAD_000021,GM_RM011,main,2,4,3,2,2,1,-40.4557,-40.1421,198,193.3742,0.3136,-4.6258,5.898242,6.055469,4873.000141,1,0.5,0.022193,1,1.394661,1.606082,transient_unlinked,WGV33D_MAIN_F0002_C000048;WGV33D_MAIN_F0004_C000100
WGV33D_THREAD_000022,GM_RM011,main,2,6,5,4,4,2,-13.2471,-14.8216,177.0073,184.7251,-1.5745,7.7178,2.941366,3.151693,4093.000061,0.809256,0.5,0.113686,1,1.363222,1.986165,dynamic_local_response_supported,WGV33D_MAIN_F0002_C000051;WGV33D_MAIN_F0004_C000105;WGV33D_MAIN_F0004_C000104;WGV33D_MAIN_F0006_C000176
WGV33D_THREAD_000023,GM_RM011,main,2,8,7,4,4,3,25.5603,27.0117,278.8446,286,1.4514,7.1554,4.25236,5.416016,15041.499723,0.863607,0.5,0.01139,1,1.620383,2.304725,dynamic_local_response_supported,WGV33D_MAIN_F0002_C000055;WGV33D_MAIN_F0004_C000115;WGV33D_MAIN_F0006_C000187;WGV33D_MAIN_F0008_C000231
WGV33D_THREAD_000024,GM_RM011,main,3,7,5,3,3,2,-48.3461,-46.9811,158.6354,150,1.365,-8.6354,3.254828,3.740234,5260.000095,0.831926,0.5,0.016101,1,1.54318,2.445048,dynamic_local_response_supported,WGV33D_MAIN_F0003_C000067;WGV33D_MAIN_F0005_C000134;WGV33D_MAIN_F0007_C000202
WGV33D_THREAD_000025,GM_RM011,main,3,7,5,3,3,2,-40.002,-36.5505,196.0277,190,3.4515,-6.0277,6.106076,7.41276,5796.000031,0.789103,0.5,0.03123,1,1.723645,1.546036,dynamic_local_response_supported,WGV33D_MAIN_F0003_C000068;WGV33D_MAIN_F0005_C000135;WGV33D_MAIN_F0007_C000203
WGV33D_THREAD_000026,GM_RM011,main,3,9,7,4,4,3,-31.7916,-27.3992,68.2568,62.3936,4.3924,-5.8632,4.17636,5.228338,4768.00005,0.804806,0.5,0.090882,1,1.455944,0.975409,dynamic_local_response_mixed,WGV33D_MAIN_F0003_C000069;WGV33D_MAIN_F0005_C000136;WGV33D_MAIN_F0007_C000204;WGV33D_MAIN_F0009_C000240
WGV33D_THREAD_000027,GM_RM011,main,3,5,3,2,2,1,-26.0313,-23.0393,174,182,2.992,8,3.068359,3.496094,2030.499992,1,0.5,0.073433,1,1.383333,2.350537,transient_unlinked,WGV33D_MAIN_F0003_C000070;WGV33D_MAIN_F0005_C000137
WGV33D_THREAD_000028,GM_RM011,main,3,5,3,2,2,1,-17.4364,-16.8027,113.2707,111.2375,0.6337,-2.0332,2.627738,2.735795,5253.499897,0.923077,0.5,0.033271,1,1.527572,1.090015,transient_unlinked,WGV33D_MAIN_F0003_C000072;WGV33D_MAIN_F0005_C000138
WGV33D_THREAD_000029,GM_RM011,main,3,5,3,2,2,1,-9.9783,-7.9671,218,218,2.0112,0,3.520507,3.601562,1400.999947,1,0.5,0.017624,1,1.568288,1.932061,transient_unlinked,WGV33D_MAIN_F0003_C000074;WGV33D_MAIN_F0005_C000145
WGV33D_THREAD_000030,GM_RM011,main,3,17,15,19,19,3,-8.0435,-17.9818,182,195.8147,-9.9383,13.8147,3.142464,4.813151,40780.500093,0.641672,0.785714,0.070753,1,1.354328,1.780236,dynamic_local_response_mixed,WGV33D_MAIN_F0003_C000075;WGV33D_MAIN_F0005_C000143;WGV33D_MAIN_F0005_C000146;WGV33D_MAIN_F0003_C000077;WGV33D_MAIN_F0005_C000147;WGV33D_MAIN_F0005_C000144;WGV33D_MAIN_F0004_C000106;WGV33D_MAIN_F0007_C000209;WGV33D_MAIN_F0007_C000207;WGV33D_MAIN_F0006_C000180;WGV33D_MAIN_F0009_C000243;WGV33D_MAIN_F0008_C000226;WGV33D_MAIN_F0011_C000281;WGV33D_MAIN_F0010_C000260;WGV33D_MAIN_F0013_C000322;WGV33D_MAIN_F0013_C000323;WGV33D_MAIN_F0015_C000370;WGV33D_MAIN_F0015_C000374;WGV33D_MAIN_F0017_C000459
WGV33D_THREAD_000031,GM_RM011,main,3,15,13,8,8,6,2.8307,10.0813,107.2741,112.5,7.2506,5.2259,3.067292,3.564303,23241.500183,0.654925,0.5,0.050113,1,1.256617,1.307181,dynamic_local_response_supported,WGV33D_MAIN_F0003_C000078;WGV33D_MAIN_F0005_C000148;WGV33D_MAIN_F0007_C000210;WGV33D_MAIN_F0005_C000150;WGV33D_MAIN_F0009_C000245;WGV33D_MAIN_F0011_C000287;WGV33D_MAIN_F0013_C000327;WGV33D_MAIN_F0015_C000381
WGV33D_THREAD_000032,GM_RM011,main,3,3,1,1,1,0,12.68,12.68,62.3923,62.3923,0,0,3.240793,3.240793,2327.499935,1,0,0.070403,1,0.865978,1.141862,transient_unlinked,WGV33D_MAIN_F0003_C000079
WGV33D_THREAD_000033,GM_RM011,main,3,7,5,3,3,2,27.315,29.484,280.4885,286,2.169,5.5115,3.795963,4.182031,11073.999703,1,0.5,0.011314,1,1.543379,2.5,dynamic_local_response_supported,WGV33D_MAIN_F0003_C000081;WGV33D_MAIN_F0005_C000153;WGV33D_MAIN_F0007_C000214
WGV33D_THREAD_000034,GM_RM011,main,3,5,3,2,2,1,31.4664,28.5,74.4545,75.8947,-2.9664,1.4402,3.502984,4.17882,672.000076,0.611111,0.5,0.050841,1,1.081573,1.106357,transient_unlinked,WGV33D_MAIN_F0003_C000082;WGV33D_MAIN_F0005_C000154
WGV33D_THREAD_000035,GM_RM011,main,3,3,1,1,0,0,33.0413,33.0413,210,210,0,0,5.162109,5.162109,678.500008,1,0,0.070496,1,1.65634,1.110628,transient_unlinked,WGV33D_MAIN_F0003_C000083
WGV33D_THREAD_000036,GM_RM011,main,4,4,1,1,1,0,-48.3397,-48.3397,154.6079,154.6079,0,0,3.389648,3.389648,2199.500008,1,0,0.017624,1,1.477865,2.131294,transient_unlinked,WGV33D_MAIN_F0004_C000098
WGV33D_THREAD_000037,GM_RM011,main,4,6,3,2,2,1,-44.5382,-42.9431,134,130,1.5951,-4,5.41862,5.4375,1604.500069,0.833333,0.5,0.026328,1,1.759478,2.375649,transient_unlinked,WGV33D_MAIN_F0004_C000099;WGV33D_MAIN_F0006_C000173
WGV33D_THREAD_000038,GM_RM011,main,4,10,7,4,4,3,-29.1886,-28.8518,65.8465,61.2363,0.3368,-4.6102,3.936357,4.414713,4347.000027,0.810469,0.5,0.092249,1,1.422791,0.976967,dynamic_local_response_mixed,WGV33D_MAIN_F0004_C000101;WGV33D_MAIN_F0006_C000174;WGV33D_MAIN_F0008_C000221;WGV33D_MAIN_F0010_C000254
WGV33D_THREAD_000039,GM_RM011,main,4,4,1,1,1,0,-23.497,-23.497,158,158,0,0,3.279948,3.279948,1294.999954,1,0,0.032202,1,1.583279,2.276099,transient_unlinked,WGV33D_MAIN_F0004_C000102
WGV33D_THREAD_000040,GM_RM011,main,4,6,3,2,2,1,-2.0282,-0.9435,194,194,1.0847,0,3.532959,3.70752,3007.500045,1,0.5,0.037532,1,1.479199,2.16257,transient_unlinked,WGV33D_MAIN_F0004_C000108;WGV33D_MAIN_F0006_C000181
WGV33D_THREAD_000041,GM_RM011,main,4,6,3,2,2,1,2.2152,4.6134,223.9468,223.6056,2.3982,-0.3412,2.824749,2.853795,6370.500114,0.85,0.5,0.020888,1,1.359116,2.093011,transient_unlinked,WGV33D_MAIN_F0004_C000110;WGV33D_MAIN_F0006_C000183
WGV33D_THREAD_000042,GM_RM011,main,5,5,1,1,1,0,-15.039,-15.039,186,186,0,0,3.883789,3.883789,940.500076,1,0,0.146214,1,1.701018,2.8,transient_unlinked,WGV33D_MAIN_F0005_C000139
WGV33D_THREAD_000043,GM_RM011,main,5,7,3,2,2,1,-9.1714,-8.5736,164.5919,162,0.5978,-2.5919,2.609375,2.615885,1880.999985,1,0.5,0.133595,1,1.01013,1.478947,transient_unlinked,WGV33D_MAIN_F0005_C000142;WGV33D_MAIN_F0007_C000208
WGV33D_THREAD_000044,GM_RM011,main,5,7,3,2,2,1,3.0157,4.9478,222,222,1.9321,0,2.89624,3.165039,4788.49995,0.833333,0.5,0.020289,1,1.509892,2.399549,transient_unlinked,WGV33D_MAIN_F0005_C000149;WGV33D_MAIN_F0007_C000211
WGV33D_THREAD_000045,GM_RM011,main,6,6,1,1,1,0,-15.5,-15.5,160.0311,160.0311,0,0,3.265625,3.265625,1067.999954,1,0,0.076371,1,1.411436,2.014073,transient_unlinked,WGV33D_MAIN_F0006_C000175
WGV33D_THREAD_000046,GM_RM011,main,6,18,13,17,17,2,-10.4681,-13.4729,159.6984,150,-3.0048,-9.6984,3.196908,3.808594,72648.999935,0.597884,0.833333,0.060069,1,1.307699,2.551191,dynamic_local_response_mixed,WGV33D_MAIN_F0006_C000178;WGV33D_MAIN_F0008_C000225;WGV33D_MAIN_F0010_C000259;WGV33D_MAIN_F0012_C000305;WGV33D_MAIN_F0010_C000258;WGV33D_MAIN_F0014_C000341;WGV33D_MAIN_F0012_C000307;WGV33D_MAIN_F0016_C000417;WGV33D_MAIN_F0015_C000368;WGV33D_MAIN_F0018_C000502;WGV33D_MAIN_F0018_C000499;WGV33D_MAIN_F0013_C000321;WGV33D_MAIN_F0017_C000457;WGV33D_MAIN_F0017_C000456;WGV33D_MAIN_F0015_C000371;WGV33D_MAIN_F0011_C000280;WGV33D_MAIN_F0017_C000460
WGV33D_THREAD_000047,GM_RM011,main,6,8,3,2,2,1,-7.9622,-8.9425,206,206,-0.9803,0,3.377198,3.536133,4024.999977,0.75,0.5,0.020887,1,1.48479,2.327438,transient_unlinked,WGV33D_MAIN_F0006_C000179;WGV33D_MAIN_F0008_C000224
WGV33D_THREAD_000048,GM_RM011,main,7,7,1,1,1,0,-15.2013,-15.2013,160.4533,160.4533,0,0,2.494385,2.494385,4042.499931,1,0,0.081103,1,1.247405,1.631044,transient_unlinked,WGV33D_MAIN_F0007_C000205
WGV33D_THREAD_000049,GM_RM011,main,7,7,1,1,1,0,7.5042,7.5042,64.6713,64.6713,0,0,2.579427,2.579427,403.500023,1,0,0.048738,1,0.657697,0.991647,transient_unlinked,WGV33D_MAIN_F0007_C000212
WGV33D_THREAD_000050,GM_RM011,main,8,14,7,4,4,3,-14.0162,-13.4919,202,200.6474,0.5243,-1.3526,2.837484,3.009115,9926.499905,0.875,0.5,0.02834,1,1.246787,1.63014,dynamic_local_response_mixed,WGV33D_MAIN_F0008_C000223;WGV33D_MAIN_F0010_C000257;WGV33D_MAIN_F0012_C000308;WGV33D_MAIN_F0014_C000343
WGV33D_THREAD_000051,GM_RM011,main,9,15,7,5,5,3,-32.1981,-34.6627,168.9646,170.8804,-2.4646,1.9158,2.857845,3.470215,12455.500206,0.880218,0.5,0.029939,1,1.622376,1.8343,dynamic_local_response_supported,WGV33D_MAIN_F0009_C000239;WGV33D_MAIN_F0011_C000276;WGV33D_MAIN_F0013_C000318;WGV33D_MAIN_F0015_C000366;WGV33D_MAIN_F0015_C000364
WGV33D_THREAD_000052,GM_RM011,main,9,9,1,1,1,0,-30.9801,-30.9801,150,150,0,0,3.140625,3.140625,998.000034,1,0,0.010444,1,1.793496,2.577103,transient_unlinked,WGV33D_MAIN_F0009_C000241
WGV33D_THREAD_000053,GM_RM011,main,9,11,3,2,1,1,-2.0118,-1.1435,222,222.4515,0.8683,0.4515,2.919555,2.944336,6802.500031,0.625,0.5,0.032556,1,1.418192,2.251213,transient_unlinked,WGV33D_MAIN_F0009_C000244;WGV33D_MAIN_F0011_C000285
WGV33D_THREAD_000054,GM_RM011,main,10,13,4,3,0,1,-49.5176,-50.7267,145.009,138.9233,-1.2091,-6.0857,3.903646,5.229492,6180.000007,1,0.666667,0.013816,1,1.642525,2.220345,dynamic_local_response_supported,WGV33D_MAIN_F0010_C000252;WGV33D_MAIN_F0011_C000274;WGV33D_MAIN_F0013_C000317
WGV33D_THREAD_000055,GM_RM011,main,10,10,1,1,1,0,-31.4813,-31.4813,167.0684,167.0684,0,0,2.465332,2.465332,2189.999966,1,0,0.043734,1,1.620108,1.401249,transient_unlinked,WGV33D_MAIN_F0010_C000253
WGV33D_THREAD_000056,GM_RM011,main,10,10,1,1,1,0,-23.0177,-23.0177,138,138,0,0,3.490234,3.490234,854.500053,1,0,0.013708,1,1.841126,2.12413,transient_unlinked,WGV33D_MAIN_F0010_C000256
WGV33D_THREAD_000057,GM_RM011,main,10,18,9,5,5,4,-6.5221,-5.7923,106,106.1812,0.7298,0.1812,3.022081,3.198608,27727.500255,0.607932,0.5,0.049407,1,1.214108,1.164298,dynamic_local_response_mixed,WGV33D_MAIN_F0010_C000261;WGV33D_MAIN_F0012_C000309;WGV33D_MAIN_F0014_C000344;WGV33D_MAIN_F0016_C000416;WGV33D_MAIN_F0018_C000503
WGV33D_THREAD_000058,GM_RM011,main,11,11,1,1,0,0,-47.9893,-47.9893,300.6412,300.6412,0,0,5.196289,5.196289,6910.499928,1,0,0.005657,1,1.537143,2.019761,transient_unlinked,WGV33D_MAIN_F0011_C000275
WGV33D_THREAD_000059,GM_RM011,main,11,11,1,1,1,0,-31.526,-31.526,222,222,0,0,4.911458,4.911458,2390.000008,1,0,0.048303,1,1.303079,1.526741,transient_unlinked,WGV33D_MAIN_F0011_C000277
WGV33D_THREAD_000060,GM_RM011,main,11,11,1,1,1,0,-23.1408,-23.1408,139.3204,139.3204,0,0,2.780599,2.780599,1882.500023,1,0,0.016971,1,1.724261,2.472073,transient_unlinked,WGV33D_MAIN_F0011_C000279
WGV33D_THREAD_000061,GM_RM011,main,11,27,17,11,11,8,-6.5816,14.5638,105.4922,110.7391,21.1454,5.2469,3.524309,4.628906,56545.99995,0.646188,0.5,0.0506,1,1.240617,1.108628,dynamic_local_response_mixed,WGV33D_MAIN_F0011_C000282;WGV33D_MAIN_F0013_C000324;WGV33D_MAIN_F0015_C000376;WGV33D_MAIN_F0017_C000465;WGV33D_MAIN_F0019_C000549;WGV33D_MAIN_F0021_C000616;WGV33D_MAIN_F0021_C000617;WGV33D_MAIN_F0023_C000683;WGV33D_MAIN_F0023_C000684;WGV33D_MAIN_F0025_C000762;WGV33D_MAIN_F0027_C000838
WGV33D_THREAD_000062,GM_RM011,main,11,11,1,1,1,0,-7.9384,-7.9384,181.1292,181.1292,0,0,3.187012,3.187012,3371.500298,1,0,0.147846,1,1.391259,2.292528,transient_unlinked,WGV33D_MAIN_F0011_C000283
WGV33D_THREAD_000063,GM_RM011,main,11,11,1,1,1,0,-4.745,-4.745,194.9241,194.9241,0,0,2.843262,2.843262,2834.499966,1,0,0.034922,1,1.101522,2.271463,transient_unlinked,WGV33D_MAIN_F0011_C000284
WGV33D_THREAD_000064,GM_RM011,main,11,15,5,3,3,2,7.0473,11.4767,73.4557,74.8325,4.4294,1.3768,2.816195,3.057031,3112.500152,0.880218,0.5,0.042161,1,1.182469,1.408249,dynamic_local_response_mixed,WGV33D_MAIN_F0011_C000286;WGV33D_MAIN_F0013_C000328;WGV33D_MAIN_F0015_C000382
WGV33D_THREAD_000065,GM_RM011,main,12,12,1,1,1,0,-19.964,-19.964,182,182,0,0,2.852539,2.852539,1724.999908,1,0,0.078329,1,1.50818,2.579235,transient_unlinked,WGV33D_MAIN_F0012_C000306
WGV33D_THREAD_000066,GM_RM011,main,12,12,1,1,1,0,-8.5368,-8.5368,226,226,0,0,3.683594,3.683594,2986.5,1,0,0.017406,1,1.52976,2.272979,transient_unlinked,WGV33D_MAIN_F0012_C000310
WGV33D_THREAD_000067,GM_RM011,main,13,13,1,1,1,0,-8.5476,-8.5476,226,226,0,0,3.134115,3.134115,2941.5,1,0,0.017406,1,1.645532,2.10192,transient_unlinked,WGV33D_MAIN_F0013_C000325
WGV33D_THREAD_000068,GM_RM011,main,14,29,16,10,10,6,-36.0372,-30.7729,218,195.4242,5.2643,-22.5758,3.323481,5.036719,41726.499985,0.703076,0.6,0.093116,1,1.426608,1.303889,dynamic_local_response_supported,WGV33D_MAIN_F0014_C000337;WGV33D_MAIN_F0016_C000411;WGV33D_MAIN_F0017_C000451;WGV33D_MAIN_F0019_C000540;WGV33D_MAIN_F0015_C000363;WGV33D_MAIN_F0021_C000605;WGV33D_MAIN_F0023_C000669;WGV33D_MAIN_F0025_C000748;WGV33D_MAIN_F0027_C000824;WGV33D_MAIN_F0029_C000902
WGV33D_THREAD_000069,GM_RM011,main,14,14,1,1,1,0,-35.0158,-35.0158,142,142,0,0,2.952637,2.952637,2422.000023,1,0,0.01436,1,1.706018,2.455047,transient_unlinked,WGV33D_MAIN_F0014_C000338
WGV33D_THREAD_000070,GM_RM011,main,14,20,7,5,5,3,-18.4694,-13.9874,58.043,54,4.482,-4.043,3.38505,4.01598,13748.000015,0.548292,0.5,0.121738,1,1.47946,1.270769,dynamic_local_response_supported,WGV33D_MAIN_F0014_C000339;WGV33D_MAIN_F0016_C000413;WGV33D_MAIN_F0016_C000414;WGV33D_MAIN_F0018_C000498;WGV33D_MAIN_F0020_C000574
WGV33D_THREAD_000071,GM_RM011,main,14,18,5,3,3,2,-19.9524,-15.9875,198,194,3.9649,-4,3.479655,3.740234,7337.499886,0.886081,0.5,0.072237,1,1.472569,1.402974,dynamic_local_response_supported,WGV33D_MAIN_F0014_C000340;WGV33D_MAIN_F0016_C000415;WGV33D_MAIN_F0018_C000501
