wgv1_4_fragment_id,scene_id,wgv1_4_thread_id,target_family_id,old_wgv1_3_thread_id,source_fragment_id,frame_start,frame_end,frame_count,wgv1_4_fragment_status,class_sequence,x_bin_sequence,visual_evidence_paths,sar_ready,not_final_box_flag,not_gt_box_flag,not_revised_annotation_flag,note
GM_RM011_WGV14F016,GM_RM011,GM_RM011_WGV14T005,GM_RM011_WGV12TF016,GM_RM011_WGV13T011,GM_RM011_WG11F013,260,264,5,accepted,car car car car car,mid mid right right right,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/11_GM_RM011_GM_RM011_WGV13T011_standalone_split/frames_yolo/GM_RM011_WGV13T011_GM_RM011_WGV12TF016_000260_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/11_GM_RM011_GM_RM011_WGV13T011_standalone_split/frames_yolo/GM_RM011_WGV13T011_GM_RM011_WGV12TF016_000261_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/11_GM_RM011_GM_RM011_WGV13T011_standalone_split/frames_yolo/GM_RM011_WGV13T011_GM_RM011_WGV12TF016_000262_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/11_GM_RM011_GM_RM011_WGV13T011_standalone_split/frames_yolo/GM_RM011_WGV13T011_GM_RM011_WGV12TF016_000263_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
GM_RM011_WGV14F017,GM_RM011,GM_RM011_WGV14T005,GM_RM011_WGV12TF017,GM_RM011_WGV13T012,GM_RM011_WG11F014,265,266,2,accepted,car car,left left,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T012_GM_RM011_WGV12TF017_000265_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T012_GM_RM011_WGV12TF017_000266_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
GM_RM011_WGV14F018,GM_RM011,GM_RM011_WGV14T005,GM_RM011_WGV12TF018,GM_RM011_WGV13T012,GM_RM011_WG11F014,269,270,2,accepted,car car,left left,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T012_GM_RM011_WGV12TF018_000269_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T012_GM_RM011_WGV12TF018_000270_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
GM_RM011_WGV14F019,GM_RM011,GM_RM011_WGV14T005,GM_RM011_WGV12TF019,GM_RM011_WGV13T012,GM_RM011_WG11F015,279,288,9,accepted,car car car car car car car car car,mid mid mid mid right right right right right,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T012_GM_RM011_WGV12TF019_000279_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T012_GM_RM011_WGV12TF019_000280_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T012_GM_RM011_WGV12TF019_000281_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/12_GM_RM011_GM_RM011_WGV13T012_same_vehicle_candidate/frames_yolo/GM_RM011_WGV13T012_GM_RM011_WGV12TF019_000283_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
GM_RM011_WGV14F020,GM_RM011,GM_RM011_WGV14T006,GM_RM011_WGV12TF020,GM_RM011_WGV13T013,GM_RM011_WG11F016,289,292,4,accepted,car car car car,left left left left,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/13_GM_RM011_GM_RM011_WGV13T013_standalone_split/frames_yolo/GM_RM011_WGV13T013_GM_RM011_WGV12TF020_000289_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/13_GM_RM011_GM_RM011_WGV13T013_standalone_split/frames_yolo/GM_RM011_WGV13T013_GM_RM011_WGV12TF020_000290_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/13_GM_RM011_GM_RM011_WGV13T013_standalone_split/frames_yolo/GM_RM011_WGV13T013_GM_RM011_WGV12TF020_000291_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/13_GM_RM011_GM_RM011_WGV13T013_standalone_split/frames_yolo/GM_RM011_WGV13T013_GM_RM011_WGV12TF020_000292_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
GM_RM017_WGV14F001,GM_RM017,GM_RM017_WGV14T001,GM_RM017_WGV12TF001,GM_RM017_WGV13T001,GM_RM017_WG11F001,118,144,27,weak,truck truck truck truck truck truck truck truck truck truck truck truck truck truck truck truck truck truck truck truck truck truck truck truck truck truck truck,left left left left left left left left left left left left left left left left left left left left mid mid mid mid mid mid mid,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/14_GM_RM017_GM_RM017_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM017_WGV13T001_GM_RM017_WGV12TF001_000118_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/14_GM_RM017_GM_RM017_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM017_WGV13T001_GM_RM017_WGV12TF001_000119_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/14_GM_RM017_GM_RM017_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM017_WGV13T001_GM_RM017_WGV12TF001_000120_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/14_GM_RM017_GM_RM017_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM017_WGV13T001_GM_RM017_WGV12TF001_000121_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
GM_RM017_WGV14F002,GM_RM017,GM_RM017_WGV14T001,GM_RM017_WGV12TF002,GM_RM017_WGV13T001,GM_RM017_WG11F002,145,148,4,weak,truck truck truck truck,mid mid mid mid,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/14_GM_RM017_GM_RM017_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM017_WGV13T001_GM_RM017_WGV12TF002_000145_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/14_GM_RM017_GM_RM017_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM017_WGV13T001_GM_RM017_WGV12TF002_000146_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/14_GM_RM017_GM_RM017_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM017_WGV13T001_GM_RM017_WGV12TF002_000147_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/14_GM_RM017_GM_RM017_WGV13T001_same_vehicle_candidate/frames_yolo/GM_RM017_WGV13T001_GM_RM017_WGV12TF002_000148_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
GM_RM017_WGV14F003,GM_RM017,GM_RM017_WGV14T002,GM_RM017_WGV12TF003,GM_RM017_WGV13T002,GM_RM017_WG11F002,149,155,7,weak,car car car car car car car,left left left left left left left,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/15_GM_RM017_GM_RM017_WGV13T002_standalone_split/frames_yolo/GM_RM017_WGV13T002_GM_RM017_WGV12TF003_000149_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/15_GM_RM017_GM_RM017_WGV13T002_standalone_split/frames_yolo/GM_RM017_WGV13T002_GM_RM017_WGV12TF003_000150_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/15_GM_RM017_GM_RM017_WGV13T002_standalone_split/frames_yolo/GM_RM017_WGV13T002_GM_RM017_WGV12TF003_000151_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/15_GM_RM017_GM_RM017_WGV13T002_standalone_split/frames_yolo/GM_RM017_WGV13T002_GM_RM017_WGV12TF003_000152_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
GM_RM017_WGV14F004,GM_RM017,GM_RM017_WGV14T001,GM_RM017_WGV12TF004,GM_RM017_WGV13T003,GM_RM017_WG11F002,156,157,2,weak,truck truck,right right,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/16_GM_RM017_GM_RM017_WGV13T003_standalone_split/frames_yolo/GM_RM017_WGV13T003_GM_RM017_WGV12TF004_000156_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/16_GM_RM017_GM_RM017_WGV13T003_standalone_split/frames_yolo/GM_RM017_WGV13T003_GM_RM017_WGV12TF004_000157_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
GM_RM017_WGV14F005,GM_RM017,GM_RM017_WGV14T003,GM_RM017_WGV12TF005,GM_RM017_WGV13T004,GM_RM017_WG11F002,158,158,1,weak,car,left,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/17_GM_RM017_GM_RM017_WGV13T004_primary_box_review/frames_yolo/GM_RM017_WGV13T004_GM_RM017_WGV12TF005_000158_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
GM_RM017_WGV14F006,GM_RM017,GM_RM017_WGV14T003,GM_RM017_WGV12TF006,GM_RM017_WGV13T004,GM_RM017_WG11F004,164,168,5,weak,car car car car car,left left left left left,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/17_GM_RM017_GM_RM017_WGV13T004_primary_box_review/frames_yolo/GM_RM017_WGV13T004_GM_RM017_WGV12TF006_000164_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/17_GM_RM017_GM_RM017_WGV13T004_primary_box_review/frames_yolo/GM_RM017_WGV13T004_GM_RM017_WGV12TF006_000165_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/17_GM_RM017_GM_RM017_WGV13T004_primary_box_review/frames_yolo/GM_RM017_WGV13T004_GM_RM017_WGV12TF006_000166_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/17_GM_RM017_GM_RM017_WGV13T004_primary_box_review/frames_yolo/GM_RM017_WGV13T004_GM_RM017_WGV12TF006_000167_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
GM_RM017_WGV14F007,GM_RM017,GM_RM017_WGV14T002,GM_RM017_WGV12TF007,GM_RM017_WGV13T005,GM_RM017_WG11F004,169,173,5,weak,car car car car car,mid right right right right,outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/18_GM_RM017_GM_RM017_WGV13T005_standalone_split/frames_yolo/GM_RM017_WGV13T005_GM_RM017_WGV12TF007_000169_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/18_GM_RM017_GM_RM017_WGV13T005_standalone_split/frames_yolo/GM_RM017_WGV13T005_GM_RM017_WGV12TF007_000170_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/18_GM_RM017_GM_RM017_WGV13T005_standalone_split/frames_yolo/GM_RM017_WGV13T005_GM_RM017_WGV12TF007_000171_diagnostic_yolo26l.png;outputs/oty2/y26l_wgv1_3_vehicle_thread_review_20260708/18_GM_RM017_GM_RM017_WGV13T005_standalone_split/frames_yolo/GM_RM017_WGV13T005_GM_RM017_WGV12TF007_000172_diagnostic_yolo26l.png,no / blocked,yes,yes,yes,WGV1.4 visual working-graph fragment; diagnostic only.
