template_id,response_unit_id,sar_frame,template_family,template_axis,template_operation,delta_m,delta_px,region_pixel_count,energy_delta,inner_density_delta,outer_band_density_delta,component_count_delta,principal_axis_change_deg,scale_yaw_feasible_change,template_scope
R21B00002_T04,R21B00002,27,center_shift,azimuth,shift,0.15,5,1967,-599.794198,-0.297517,0.074379,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T05,R21B00002,27,center_shift,range,shift,-0.3,-10,1967,-1199.588395,-0.595034,0.148758,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T06,R21B00002,27,center_shift,range,shift,0.3,10,1967,-1199.588395,-0.595034,0.148758,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T07,R21B00002,27,center_shift,azimuth,shift,-0.3,-10,1967,-1199.588395,-0.595034,0.148758,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T08,R21B00002,27,center_shift,azimuth,shift,0.3,10,1967,-1199.588395,-0.595034,0.148758,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T09,R21B00002,27,center_shift,range,shift,-0.45,-15,1967,-1799.382593,-0.892551,0.223138,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T10,R21B00002,27,center_shift,range,shift,0.45,15,1967,-1799.382593,-0.892551,0.223138,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T11,R21B00002,27,center_shift,azimuth,shift,-0.45,-15,1967,-1799.382593,-0.892551,0.223138,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T12,R21B00002,27,center_shift,azimuth,shift,0.45,15,1967,-1799.382593,-0.892551,0.223138,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T13,R21B00002,27,single_boundary_shift,range_min,move,-0.15,-5,2232,17015.625,-0.78776,0.19694,0,0.944186,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T14,R21B00002,27,single_boundary_shift,range_min,move,0.15,5,1702,8665.364583,0.78776,-0.19694,0,0.944186,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T15,R21B00002,27,single_boundary_shift,range_max,move,-0.15,-5,1702,8665.364583,-0.78776,0.19694,0,0.944186,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T16,R21B00002,27,single_boundary_shift,range_max,move,0.15,5,2232,17015.625,0.78776,-0.19694,0,0.944186,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T17,R21B00002,27,single_boundary_shift,azimuth_min,move,-0.15,-5,2153,15770.963542,-0.78776,0.19694,0,0.944186,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T18,R21B00002,27,single_boundary_shift,azimuth_min,move,0.15,5,1781,9910.026042,0.78776,-0.19694,0,0.944186,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T19,R21B00002,27,single_boundary_shift,azimuth_max,move,-0.15,-5,1781,9910.026042,-0.78776,0.19694,0,0.944186,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T20,R21B00002,27,single_boundary_shift,azimuth_max,move,0.15,5,2153,15770.963542,0.78776,-0.19694,0,0.944186,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T21,R21B00002,27,single_boundary_shift,range_min,move,-0.3,-10,2497,21190.755208,-0.78776,0.19694,0,1.888372,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T22,R21B00002,27,single_boundary_shift,range_min,move,0.3,10,1437,4490.234375,0.78776,-0.19694,0,1.888372,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T23,R21B00002,27,single_boundary_shift,range_max,move,-0.3,-10,1437,4490.234375,-0.78776,0.19694,0,1.888372,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T24,R21B00002,27,single_boundary_shift,range_max,move,0.3,10,2497,21190.755208,0.78776,-0.19694,0,1.888372,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T25,R21B00002,27,single_boundary_shift,azimuth_min,move,-0.3,-10,2338,18685.677083,-0.78776,0.19694,0,1.888372,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T26,R21B00002,27,single_boundary_shift,azimuth_min,move,0.3,10,1596,6995.3125,0.78776,-0.19694,0,1.888372,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T27,R21B00002,27,single_boundary_shift,azimuth_max,move,-0.3,-10,1596,6995.3125,-0.78776,0.19694,0,1.888372,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T28,R21B00002,27,single_boundary_shift,azimuth_max,move,0.3,10,2338,18685.677083,0.78776,-0.19694,0,1.888372,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T29,R21B00002,27,scale_resize,range,resize,-0.15,-5,1702,8665.364583,-1.260417,0.315104,0,0.755349,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T30,R21B00002,27,scale_resize,range,resize,0.15,5,2232,17015.625,1.260417,-0.315104,0,0.755349,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T31,R21B00002,27,scale_resize,azimuth,resize,-0.15,-5,1781,9910.026042,-1.260417,0.315104,0,0.755349,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T32,R21B00002,27,scale_resize,azimuth,resize,0.15,5,2153,15770.963542,1.260417,-0.315104,0,0.755349,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T33,R21B00002,27,scale_resize,range,resize,-0.3,-10,1437,4490.234375,-1.260417,0.315104,0,1.510698,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T34,R21B00002,27,scale_resize,range,resize,0.3,10,2497,21190.755208,1.260417,-0.315104,0,1.510698,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T35,R21B00002,27,scale_resize,azimuth,resize,-0.3,-10,1596,6995.3125,-1.260417,0.315104,0,1.510698,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00002_T36,R21B00002,27,scale_resize,azimuth,resize,0.3,10,2338,18685.677083,1.260417,-0.315104,0,1.510698,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T01,R21B00003,27,center_shift,range,shift,-0.15,-5,683,-340.993792,-0.45105,0.112762,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T02,R21B00003,27,center_shift,range,shift,0.15,5,683,-340.993792,-0.45105,0.112762,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T03,R21B00003,27,center_shift,azimuth,shift,-0.15,-5,683,-340.993792,-0.45105,0.112762,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T04,R21B00003,27,center_shift,azimuth,shift,0.15,5,683,-340.993792,-0.45105,0.112762,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T05,R21B00003,27,center_shift,range,shift,-0.3,-10,683,-681.987585,-0.9021,0.225525,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T06,R21B00003,27,center_shift,range,shift,0.3,10,683,-681.987585,-0.9021,0.225525,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T07,R21B00003,27,center_shift,azimuth,shift,-0.3,-10,683,-681.987585,-0.9021,0.225525,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T08,R21B00003,27,center_shift,azimuth,shift,0.3,10,683,-681.987585,-0.9021,0.225525,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T09,R21B00003,27,center_shift,range,shift,-0.45,-15,683,-1022.981377,-1.35315,0.338287,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T10,R21B00003,27,center_shift,range,shift,0.45,15,683,-1022.981377,-1.35315,0.338287,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T11,R21B00003,27,center_shift,azimuth,shift,-0.45,-15,683,-1022.981377,-1.35315,0.338287,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T12,R21B00003,27,center_shift,azimuth,shift,0.45,15,683,-1022.981377,-1.35315,0.338287,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T13,R21B00003,27,single_boundary_shift,range_min,move,-0.15,-5,824,4986.203704,-0.635995,0.158999,0,1.773008,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T14,R21B00003,27,single_boundary_shift,range_min,move,0.15,5,542,1399.189815,0.635995,-0.158999,0,1.773008,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T15,R21B00003,27,single_boundary_shift,range_max,move,-0.15,-5,542,1399.189815,-0.635995,0.158999,0,1.773008,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T16,R21B00003,27,single_boundary_shift,range_max,move,0.15,5,824,4986.203704,0.635995,-0.158999,0,1.773008,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T17,R21B00003,27,single_boundary_shift,azimuth_min,move,-0.15,-5,804,4731.805556,-0.635995,0.158999,0,1.773008,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T18,R21B00003,27,single_boundary_shift,azimuth_min,move,0.15,5,562,1653.587963,0.635995,-0.158999,0,1.773008,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T19,R21B00003,27,single_boundary_shift,azimuth_max,move,-0.15,-5,562,1653.587963,-0.635995,0.158999,0,1.773008,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T20,R21B00003,27,single_boundary_shift,azimuth_max,move,0.15,5,804,4731.805556,0.635995,-0.158999,0,1.773008,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T21,R21B00003,27,single_boundary_shift,range_min,move,-0.3,-10,965,6779.710648,-0.635995,0.158999,0,3.546016,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T22,R21B00003,27,single_boundary_shift,range_min,move,0.3,10,401,-394.31713,0.635995,-0.158999,0,3.546016,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T23,R21B00003,27,single_boundary_shift,range_max,move,-0.3,-10,401,-394.31713,-0.635995,0.158999,0,3.546016,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T24,R21B00003,27,single_boundary_shift,range_max,move,0.3,10,965,6779.710648,0.635995,-0.158999,0,3.546016,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T25,R21B00003,27,single_boundary_shift,azimuth_min,move,-0.3,-10,925,6270.914352,-0.635995,0.158999,0,3.546016,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T26,R21B00003,27,single_boundary_shift,azimuth_min,move,0.3,10,441,114.479167,0.635995,-0.158999,0,3.546016,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T27,R21B00003,27,single_boundary_shift,azimuth_max,move,-0.3,-10,441,114.479167,-0.635995,0.158999,0,3.546016,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T28,R21B00003,27,single_boundary_shift,azimuth_max,move,0.3,10,925,6270.914352,0.635995,-0.158999,0,3.546016,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T29,R21B00003,27,scale_resize,range,resize,-0.15,-5,542,1399.189815,-1.017593,0.254398,0,1.418407,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T30,R21B00003,27,scale_resize,range,resize,0.15,5,824,4986.203704,1.017593,-0.254398,0,1.418407,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T31,R21B00003,27,scale_resize,azimuth,resize,-0.15,-5,562,1653.587963,-1.017593,0.254398,0,1.418407,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T32,R21B00003,27,scale_resize,azimuth,resize,0.15,5,804,4731.805556,1.017593,-0.254398,0,1.418407,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T33,R21B00003,27,scale_resize,range,resize,-0.3,-10,401,-394.31713,-1.017593,0.254398,0,2.836813,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T34,R21B00003,27,scale_resize,range,resize,0.3,10,965,6779.710648,1.017593,-0.254398,0,2.836813,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T35,R21B00003,27,scale_resize,azimuth,resize,-0.3,-10,441,114.479167,-1.017593,0.254398,0,2.836813,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00003_T36,R21B00003,27,scale_resize,azimuth,resize,0.3,10,925,6270.914352,1.017593,-0.254398,0,2.836813,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T01,R21B00004,27,center_shift,range,shift,-0.15,-5,157,-169.171385,-1.34263,0.335658,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T02,R21B00004,27,center_shift,range,shift,0.15,5,157,-169.171385,-1.34263,0.335658,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T03,R21B00004,27,center_shift,azimuth,shift,-0.15,-5,157,-169.171385,-1.34263,0.335658,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T04,R21B00004,27,center_shift,azimuth,shift,0.15,5,157,-169.171385,-1.34263,0.335658,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T05,R21B00004,27,center_shift,range,shift,-0.3,-10,157,-336,-2.666667,0.666667,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T06,R21B00004,27,center_shift,range,shift,0.3,10,157,-336,-2.666667,0.666667,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T07,R21B00004,27,center_shift,azimuth,shift,-0.3,-10,157,-336,-2.666667,0.666667,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T08,R21B00004,27,center_shift,azimuth,shift,0.3,10,157,-336,-2.666667,0.666667,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T09,R21B00004,27,center_shift,range,shift,-0.45,-15,157,-336,-2.666667,0.666667,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T10,R21B00004,27,center_shift,range,shift,0.45,15,157,-336,-2.666667,0.666667,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T11,R21B00004,27,center_shift,azimuth,shift,-0.45,-15,157,-336,-2.666667,0.666667,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T12,R21B00004,27,center_shift,azimuth,shift,0.45,15,157,-336,-2.666667,0.666667,0,0,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T13,R21B00004,27,single_boundary_shift,range_min,move,-0.15,-5,224,2702.222222,-0.888889,0.222222,0,3.776147,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T14,R21B00004,27,single_boundary_shift,range_min,move,0.15,5,91,337.777778,0.888889,-0.222222,0,3.776147,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T15,R21B00004,27,single_boundary_shift,range_max,move,-0.15,-5,91,337.777778,-0.888889,0.222222,0,3.776147,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T16,R21B00004,27,single_boundary_shift,range_max,move,0.15,5,224,2702.222222,0.888889,-0.222222,0,3.776147,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T17,R21B00004,27,single_boundary_shift,azimuth_min,move,-0.15,-5,217,2577.777778,-0.888889,0.222222,0,3.776147,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T18,R21B00004,27,single_boundary_shift,azimuth_min,move,0.15,5,98,462.222222,0.888889,-0.222222,0,3.776147,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T19,R21B00004,27,single_boundary_shift,azimuth_max,move,-0.15,-5,98,462.222222,-0.888889,0.222222,0,3.776147,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T20,R21B00004,27,single_boundary_shift,azimuth_max,move,0.15,5,217,2577.777778,0.888889,-0.222222,0,3.776147,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T21,R21B00004,27,single_boundary_shift,range_min,move,-0.3,-10,290,3875.555556,-0.888889,0.222222,0,7.552294,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T22,R21B00004,27,single_boundary_shift,range_min,move,0.3,10,25,-835.555556,0.888889,-0.222222,0,7.552294,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T23,R21B00004,27,single_boundary_shift,range_max,move,-0.3,-10,25,-835.555556,-0.888889,0.222222,0,7.552294,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T24,R21B00004,27,single_boundary_shift,range_max,move,0.3,10,290,3875.555556,0.888889,-0.222222,0,7.552294,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T25,R21B00004,27,single_boundary_shift,azimuth_min,move,-0.3,-10,276,3626.666667,-0.888889,0.222222,0,7.552294,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T26,R21B00004,27,single_boundary_shift,azimuth_min,move,0.3,10,39,-586.666667,0.888889,-0.222222,0,7.552294,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T27,R21B00004,27,single_boundary_shift,azimuth_max,move,-0.3,-10,39,-586.666667,-0.888889,0.222222,0,7.552294,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T28,R21B00004,27,single_boundary_shift,azimuth_max,move,0.3,10,276,3626.666667,0.888889,-0.222222,0,7.552294,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T29,R21B00004,27,scale_resize,range,resize,-0.15,-5,91,337.777778,-1.422222,0.355556,0,3.020918,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T30,R21B00004,27,scale_resize,range,resize,0.15,5,224,2702.222222,1.422222,-0.355556,0,3.020918,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T31,R21B00004,27,scale_resize,azimuth,resize,-0.15,-5,98,462.222222,-1.422222,0.355556,0,3.020918,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T32,R21B00004,27,scale_resize,azimuth,resize,0.15,5,217,2577.777778,1.422222,-0.355556,0,3.020918,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
R21B00004_T33,R21B00004,27,scale_resize,range,resize,-0.3,-10,25,-835.555556,-1.422222,0.355556,0,6.041835,0,gt_independent_pre_s2_counterfactual_template_proxy_from_frozen_field
