experiment_id,method,physical_vehicle_id,sar_frame,sync_shift_sar_frames,estimated_optical_frame,optical_velocity_x_sign,sar_assembly_azimuth_delta_sign,azimuth_relation_consistent,optical_depth_velocity_sign,sar_assembly_radial_delta_sign,radial_relation_consistent,single_frame_consistency,window3_consistency,window5_consistency,relation_used_for_filtering,notes
ADJ_0205_TO_0206,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,38,-1,17.88,positive,positive,true,positive,positive,true,true,1,1,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0208_TO_0209,C1D,PV_GM19_SILVER_MPV_NEAR_FIELD,225,-1,107.76,positive,positive,true,negative,positive,false,false,0.333333,0.5,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0208_TO_0209,C1D,PV_GM19_SILVER_MPV_NEAR_FIELD,225,0,108.24,positive,positive,true,negative,positive,false,false,0.333333,0.5,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0208_TO_0209,C1D,PV_GM19_SILVER_MPV_NEAR_FIELD,225,1,108.72,positive,positive,true,negative,positive,false,false,0,0.25,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0209_TO_0210,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,241,-1,114.96,positive,positive,true,negative,negative,true,true,1,1,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0209_TO_0210,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,241,0,115.44,positive,positive,true,negative,negative,true,true,1,1,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0209_TO_0210,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,241,1,115.92,positive,positive,true,positive,negative,false,false,0,0,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0209_TO_0210,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,243,-1,115.92,positive,negative,false,positive,negative,false,false,0.5,0.5,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0209_TO_0210,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,243,0,116.4,positive,negative,false,positive,negative,false,false,0.5,0.5,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0209_TO_0210,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,243,1,116.88,positive,negative,false,negative,negative,true,false,0,0,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0209_TO_0210,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,244,-1,116.4,positive,positive,true,positive,negative,false,false,0.333333,0.333333,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0209_TO_0210,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,244,0,116.88,positive,positive,true,negative,negative,true,true,0.666667,0.666667,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0209_TO_0210,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,244,1,117.36,positive,positive,true,negative,negative,true,true,0.333333,0.333333,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0209_TO_0210,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,246,-1,117.36,positive,negative,false,negative,negative,true,false,0,0.25,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0209_TO_0210,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,246,0,117.84,positive,negative,false,positive,negative,false,false,0.333333,0.5,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0209_TO_0210,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,246,1,118.32,positive,negative,false,positive,negative,false,false,0.333333,0.25,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0209_TO_0210,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,247,-1,117.84,positive,positive,true,positive,positive,true,true,0.333333,0.4,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0209_TO_0210,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,247,0,118.32,positive,positive,true,positive,positive,true,true,0.666667,0.6,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0209_TO_0210,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,247,1,118.8,positive,positive,true,negative,positive,false,false,0.333333,0.2,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0209_TO_0210,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,248,-1,118.32,positive,positive,true,positive,positive,true,true,0.666667,0.4,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0209_TO_0210,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,248,0,118.8,positive,positive,true,negative,positive,false,false,0.333333,0.4,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0209_TO_0210,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,248,1,119.28,positive,positive,true,negative,positive,false,false,0,0.2,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0209_TO_0210,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,267,-1,127.44,negative,positive,false,negative,positive,false,false,0.666667,0.4,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0209_TO_0210,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,267,0,127.92,positive,positive,true,negative,positive,false,false,0.333333,0.4,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0209_TO_0210,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,267,1,128.4,positive,positive,true,negative,positive,false,false,0,0.2,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0209_TO_0210,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,269,-1,128.4,positive,negative,false,negative,positive,false,false,0.333333,0.4,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0209_TO_0210,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,269,0,128.88,positive,negative,false,negative,positive,false,false,0,0.2,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0209_TO_0210,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,269,1,129.36,positive,negative,false,negative,positive,false,false,0,0,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0211_TO_0212,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,277,-1,132.44,positive,negative,false,positive,negative,false,false,0,0,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0211_TO_0212,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,277,0,132.92,positive,negative,false,negative,negative,true,false,0,0,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0211_TO_0212,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,277,1,133.4,positive,negative,false,negative,negative,true,false,0,0,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0211_TO_0212,C1D,PV_GM19_SILVER_MPV_NEAR_FIELD,277,-1,132.44,positive,negative,false,positive,negative,false,false,0,0,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0211_TO_0212,C1D,PV_GM19_SILVER_MPV_NEAR_FIELD,277,0,132.92,positive,negative,false,negative,negative,true,false,0,0,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
ADJ_0211_TO_0212,C1D,PV_GM19_SILVER_MPV_NEAR_FIELD,277,1,133.4,positive,negative,false,negative,negative,true,false,0,0,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,37,-1,17.32,positive,positive,true,negative,positive,false,false,0,0,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,37,0,17.8,positive,positive,true,positive,positive,true,true,1,1,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,37,1,18.28,positive,positive,true,positive,positive,true,true,1,1,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,40,-1,18.76,positive,positive,true,negative,positive,false,false,0,0,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,40,0,19.24,positive,positive,true,negative,positive,false,false,0.5,0.5,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,40,1,19.72,positive,positive,true,positive,positive,true,true,1,1,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,41,-1,19.24,positive,positive,true,negative,positive,false,false,0,0,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,41,0,19.72,positive,positive,true,positive,positive,true,true,0.666667,0.666667,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,41,1,20.2,positive,positive,true,positive,positive,true,true,1,1,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,52,-1,24.52,positive,positive,true,negative,positive,false,false,0,0,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,52,0,25,positive,positive,true,negative,positive,false,false,0.333333,0.5,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,52,1,25.48,positive,positive,true,negative,positive,false,false,0.666667,0.75,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,53,-1,25,positive,positive,true,negative,negative,true,true,0.333333,0.2,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,53,0,25.48,positive,positive,true,negative,negative,true,true,0.666667,0.6,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,53,1,25.96,positive,positive,true,positive,negative,false,false,0.333333,0.6,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,55,-1,25.96,positive,positive,true,positive,negative,false,false,0.333333,0.2,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,55,0,26.44,positive,positive,true,positive,negative,false,false,0.333333,0.4,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,55,1,26.92,positive,positive,true,positive,negative,false,false,0,0.4,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,62,-1,29.32,positive,positive,true,negative,positive,false,false,0.333333,0.2,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,62,0,29.8,negative,positive,false,positive,positive,true,false,0.333333,0.4,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,62,1,30.28,negative,positive,false,positive,positive,true,false,0,0.2,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,63,-1,29.8,negative,positive,false,positive,positive,true,false,0,0.2,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,63,0,30.28,negative,positive,false,positive,positive,true,false,0,0.2,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,63,1,30.76,positive,positive,true,negative,positive,false,false,0,0,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,68,-1,32.2,positive,negative,false,negative,positive,false,false,0,0.2,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,68,0,32.68,positive,negative,false,negative,positive,false,false,0,0.2,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,68,1,33.16,positive,negative,false,negative,positive,false,false,0,0,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,69,-1,32.68,positive,positive,true,negative,positive,false,false,0,0,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,69,0,33.16,positive,positive,true,negative,positive,false,false,0,0,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,69,1,33.64,positive,positive,true,positive,positive,true,true,0.333333,0.2,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,74,-1,35.08,positive,positive,true,negative,positive,false,false,0,0,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,74,0,35.56,positive,positive,true,positive,positive,true,true,0.333333,0.2,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,74,1,36.04,positive,positive,true,positive,positive,true,true,0.666667,0.4,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,76,-1,36.04,positive,negative,false,positive,positive,true,false,0,0,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,76,0,36.52,positive,negative,false,negative,positive,false,false,0.333333,0.2,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_WHITE_0204_TO_0207,C1C,PV_GM19_WHITE_SUV_NEAR_FIELD,76,1,37,positive,negative,false,negative,positive,false,false,0.666667,0.4,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_SILVER_0208_TO_0213,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,214,-1,102.48,positive,positive,true,negative,negative,true,true,1,1,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_SILVER_0208_TO_0213,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,214,0,102.96,positive,positive,true,negative,negative,true,true,1,1,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_SILVER_0208_TO_0213,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,214,1,103.44,positive,positive,true,negative,negative,true,true,1,1,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_SILVER_0208_TO_0213,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,219,-1,104.88,positive,positive,true,positive,positive,true,true,1,1,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_SILVER_0208_TO_0213,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,219,0,105.36,positive,positive,true,positive,positive,true,true,1,1,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_SILVER_0208_TO_0213,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,219,1,105.84,positive,positive,true,negative,positive,false,false,0.5,0.5,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_SILVER_0208_TO_0213,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,224,-1,107.28,positive,positive,true,negative,positive,false,false,0.666667,0.666667,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
OPEN_SILVER_0208_TO_0213,C1C,PV_GM19_SILVER_MPV_NEAR_FIELD,224,0,107.76,positive,positive,true,negative,positive,false,false,0.666667,0.666667,false,polar geometry from build_geometry; diagnostic bypass only; ambiguous union branches excluded.
