pair_id,physical_vehicle_id,frame,method,scene_anchor_plan,used_for_scene_anchor,predicted_azimuth,predicted_radial,sar_azimuth,sar_radial,azimuth_error,radial_error,center_covered_95,state_source,state_confidence,blocked_reason
WGV35A_PAIR_0208,PV_GM19_SILVER_MPV_NEAR_FIELD,102,Z1A_full_stream_optical_anchor_recovery,A0,false,,,,,,,,optical_recovery_anchor,0,one_sided_anchor_gap_too_large
WGV35A_PAIR_0208,PV_GM19_SILVER_MPV_NEAR_FIELD,102,Z1B_anchorless_track_level_completion,A0,false,-36.031999,100.346142,-47.6792,189.034,11.647201,88.687858,false,anchorless_track_level_completion,0.72,
WGV35A_PAIR_0209,PV_GM19_SILVER_MPV_NEAR_FIELD,114,Z0_local_detection_box,A0,false,-17.906549,65.005352,-19.3504,130.378,1.443851,65.372648,false,paired_row_local_box,1,
WGV35A_PAIR_0209,PV_GM19_SILVER_MPV_NEAR_FIELD,114,Z1A_full_stream_optical_anchor_recovery,A0,false,-17.379635,168.290877,-19.3504,130.378,1.970765,37.912877,false,optical_recovery_anchor,0.635556,
WGV35A_PAIR_0209,PV_GM19_SILVER_MPV_NEAR_FIELD,114,Z1B_anchorless_track_level_completion,A0,false,-18.667571,115.053341,-19.3504,130.378,0.682829,15.324659,true,anchorless_track_level_completion,0.48,
WGV35A_PAIR_0210,PV_GM19_SILVER_MPV_NEAR_FIELD,129,Z0_local_detection_box,A0,false,10.177614,-0.81746,28.4245,137.836,18.246886,138.65346,false,paired_row_local_box,1,
WGV35A_PAIR_0210,PV_GM19_SILVER_MPV_NEAR_FIELD,129,Z1A_full_stream_optical_anchor_recovery,A0,false,-0.313347,63.505315,28.4245,137.836,28.737847,74.330685,false,optical_recovery_anchor,0.635556,
WGV35A_PAIR_0210,PV_GM19_SILVER_MPV_NEAR_FIELD,129,Z1B_anchorless_track_level_completion,A0,false,8.627835,113.11936,28.4245,137.836,19.796665,24.71664,false,anchorless_track_level_completion,0.5,
WGV35A_PAIR_0211,PV_GM19_SILVER_MPV_NEAR_FIELD,131,Z0_local_detection_box,A0,false,13.925599,81.398178,31.6698,139.807,17.744201,58.408822,false,paired_row_local_box,1,
WGV35A_PAIR_0211,PV_GM19_SILVER_MPV_NEAR_FIELD,131,Z1A_full_stream_optical_anchor_recovery,A0,false,-0.313347,63.505315,31.6698,139.807,31.983147,76.301685,false,optical_recovery_anchor,0.537778,
WGV35A_PAIR_0211,PV_GM19_SILVER_MPV_NEAR_FIELD,131,Z1B_anchorless_track_level_completion,A0,false,12.026646,114.355822,31.6698,139.807,19.643154,25.451178,false,anchorless_track_level_completion,0.5,
WGV35A_PAIR_0212,PV_GM19_SILVER_MPV_NEAR_FIELD,138,Z0_local_detection_box,A0,false,26.629146,437.487762,40.8602,158.915,14.231054,278.572762,false,paired_row_local_box,1,
WGV35A_PAIR_0212,PV_GM19_SILVER_MPV_NEAR_FIELD,138,Z1A_full_stream_optical_anchor_recovery,A0,false,,,,,,,,optical_recovery_anchor,0,one_sided_anchor_gap_too_large
WGV35A_PAIR_0212,PV_GM19_SILVER_MPV_NEAR_FIELD,138,Z1B_anchorless_track_level_completion,A0,false,27.790478,145.236019,40.8602,158.915,13.069722,13.678981,false,anchorless_track_level_completion,0.35,
WGV35A_PAIR_0213,PV_GM19_SILVER_MPV_NEAR_FIELD,139,Z0_local_detection_box,A0,false,28.36348,512.580556,42.747,167.835,14.38352,344.745556,false,paired_row_local_box,1,
WGV35A_PAIR_0213,PV_GM19_SILVER_MPV_NEAR_FIELD,139,Z1A_full_stream_optical_anchor_recovery,A0,false,,,,,,,,optical_recovery_anchor,0,one_sided_anchor_gap_too_large
WGV35A_PAIR_0213,PV_GM19_SILVER_MPV_NEAR_FIELD,139,Z1B_anchorless_track_level_completion,A0,false,30.229902,152.652475,42.747,167.835,12.517098,15.182525,false,anchorless_track_level_completion,0.35,
WGV35A_PAIR_0214,PV_GM19_GRAY_CAR_LEFT_EDGE,151,Z0_local_detection_box,A0,false,-35.057517,372.84912,-49.346,159.327,14.288483,213.52212,false,paired_row_local_box,1,
WGV35A_PAIR_0214,PV_GM19_GRAY_CAR_LEFT_EDGE,151,Z1A_full_stream_optical_anchor_recovery,A0,false,,,,,,,,optical_recovery_anchor,0,one_sided_anchor_gap_too_large
WGV35A_PAIR_0214,PV_GM19_GRAY_CAR_LEFT_EDGE,151,Z1B_anchorless_track_level_completion,A0,false,-36.728547,92.710684,-49.346,159.327,12.617453,66.616316,false,anchorless_track_level_completion,0.72,
WGV35A_PAIR_0215,PV_GM19_GRAY_CAR_LEFT_EDGE,152,Z0_local_detection_box,A0,false,-33.399528,341.827032,-47.3094,152.056,13.909872,189.771032,false,paired_row_local_box,1,
WGV35A_PAIR_0215,PV_GM19_GRAY_CAR_LEFT_EDGE,152,Z1A_full_stream_optical_anchor_recovery,A0,false,,,,,,,,optical_recovery_anchor,0,one_sided_anchor_gap_too_large
WGV35A_PAIR_0215,PV_GM19_GRAY_CAR_LEFT_EDGE,152,Z1B_anchorless_track_level_completion,A0,false,-36.451499,96.121522,-47.3094,152.056,10.857901,55.934478,false,anchorless_track_level_completion,0.7,
WGV35A_PAIR_0200,PV_GM19_BLACK_SEDAN_NEAR_FIELD,0,Z2_recovery_plus_scene_residual_calibration,A0,false,-0.549822,-1.323695,10.0062,134.597,10.556022,135.920695,false,Z1B,0.66,
WGV35A_PAIR_0201,PV_GM19_BLACK_SEDAN_NEAR_FIELD,2,Z2_recovery_plus_scene_residual_calibration,A0,false,6.453784,4.304736,13.7107,138.554,7.256916,134.249264,false,Z1B,0.66,
WGV35A_PAIR_0202,PV_GM19_BLACK_SEDAN_NEAR_FIELD,4,Z2_recovery_plus_scene_residual_calibration,A0,false,15.040081,10.290211,17.5007,142.1,2.460619,131.809789,false,Z1B,0.5,
WGV35A_PAIR_0203,PV_GM19_RIGHT_DARK_FRAGMENT,13,Z2_recovery_plus_scene_residual_calibration,A0,false,,,,,,,,blocked,0,missing_state
WGV35A_PAIR_0204,PV_GM19_WHITE_SUV_NEAR_FIELD,13,Z2_recovery_plus_scene_residual_calibration,A0,false,-16.601015,183.086928,-35.451,155.671,18.849985,27.415928,false,Z1A,0.611111,
WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,15,Z2_recovery_plus_scene_residual_calibration,A0,false,-16.601015,183.086928,-33.2059,149.63,16.604885,33.456928,false,Z1A,0.722222,
WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,37,Z2_recovery_plus_scene_residual_calibration,A0,false,23.227452,182.191215,42.8808,169.247,19.653348,12.944215,false,Z1B,0.5,
WGV35A_PAIR_0207,PV_GM19_WHITE_SUV_NEAR_FIELD,39,Z2_recovery_plus_scene_residual_calibration,A0,false,27.988489,191.378984,46.8998,170.951,18.911311,20.427984,false,Z1B,0.35,
WGV35A_PAIR_0208,PV_GM19_SILVER_MPV_NEAR_FIELD,102,Z2_recovery_plus_scene_residual_calibration,A0,false,-36.031999,100.346142,-47.6792,189.034,11.647201,88.687858,false,Z1B,0.72,
WGV35A_PAIR_0209,PV_GM19_SILVER_MPV_NEAR_FIELD,114,Z2_recovery_plus_scene_residual_calibration,A0,false,-17.379635,168.290877,-19.3504,130.378,1.970765,37.912877,false,Z1A,0.635556,
WGV35A_PAIR_0210,PV_GM19_SILVER_MPV_NEAR_FIELD,129,Z2_recovery_plus_scene_residual_calibration,A0,false,-0.313347,63.505315,28.4245,137.836,28.737847,74.330685,false,Z1A,0.635556,
WGV35A_PAIR_0211,PV_GM19_SILVER_MPV_NEAR_FIELD,131,Z2_recovery_plus_scene_residual_calibration,A0,false,-0.313347,63.505315,31.6698,139.807,31.983147,76.301685,false,Z1A,0.537778,
WGV35A_PAIR_0212,PV_GM19_SILVER_MPV_NEAR_FIELD,138,Z2_recovery_plus_scene_residual_calibration,A0,false,27.790478,145.236019,40.8602,158.915,13.069722,13.678981,false,Z1B,0.35,
WGV35A_PAIR_0213,PV_GM19_SILVER_MPV_NEAR_FIELD,139,Z2_recovery_plus_scene_residual_calibration,A0,false,30.229902,152.652475,42.747,167.835,12.517098,15.182525,false,Z1B,0.35,
WGV35A_PAIR_0214,PV_GM19_GRAY_CAR_LEFT_EDGE,151,Z2_recovery_plus_scene_residual_calibration,A0,false,-36.728547,92.710684,-49.346,159.327,12.617453,66.616316,false,Z1B,0.72,
WGV35A_PAIR_0215,PV_GM19_GRAY_CAR_LEFT_EDGE,152,Z2_recovery_plus_scene_residual_calibration,A0,false,-36.451499,96.121522,-47.3094,152.056,10.857901,55.934478,false,Z1B,0.7,
WGV35A_PAIR_0200,PV_GM19_BLACK_SEDAN_NEAR_FIELD,0,Z2_recovery_plus_scene_residual_calibration,A1,false,-2.520587,-39.236572,10.0062,134.597,12.526787,173.833572,false,Z1B,0.66,
WGV35A_PAIR_0201,PV_GM19_BLACK_SEDAN_NEAR_FIELD,2,Z2_recovery_plus_scene_residual_calibration,A1,false,4.483019,-33.608141,13.7107,138.554,9.227681,172.162141,false,Z1B,0.66,
WGV35A_PAIR_0202,PV_GM19_BLACK_SEDAN_NEAR_FIELD,4,Z2_recovery_plus_scene_residual_calibration,A1,false,13.069316,-27.622666,17.5007,142.1,4.431384,169.722666,false,Z1B,0.5,
WGV35A_PAIR_0203,PV_GM19_RIGHT_DARK_FRAGMENT,13,Z2_recovery_plus_scene_residual_calibration,A1,false,,,,,,,,blocked,0,missing_state
WGV35A_PAIR_0204,PV_GM19_WHITE_SUV_NEAR_FIELD,13,Z2_recovery_plus_scene_residual_calibration,A1,false,-18.57178,145.174051,-35.451,155.671,16.87922,10.496949,false,Z1A,0.611111,
WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,15,Z2_recovery_plus_scene_residual_calibration,A1,false,-18.57178,145.174051,-33.2059,149.63,14.63412,4.455949,false,Z1A,0.722222,
WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,37,Z2_recovery_plus_scene_residual_calibration,A1,false,21.256687,144.278338,42.8808,169.247,21.624113,24.968662,false,Z1B,0.5,
WGV35A_PAIR_0207,PV_GM19_WHITE_SUV_NEAR_FIELD,39,Z2_recovery_plus_scene_residual_calibration,A1,false,26.017724,153.466107,46.8998,170.951,20.882076,17.484893,false,Z1B,0.35,
WGV35A_PAIR_0208,PV_GM19_SILVER_MPV_NEAR_FIELD,102,Z2_recovery_plus_scene_residual_calibration,A1,false,-38.002764,62.433265,-47.6792,189.034,9.676436,126.600735,false,Z1B,0.72,
WGV35A_PAIR_0209,PV_GM19_SILVER_MPV_NEAR_FIELD,114,Z2_recovery_plus_scene_residual_calibration,A1,true,,,,,,,,Z1A,0.635556,held_out_evaluation_excludes_scene_anchor
WGV35A_PAIR_0210,PV_GM19_SILVER_MPV_NEAR_FIELD,129,Z2_recovery_plus_scene_residual_calibration,A1,false,-2.284112,25.592438,28.4245,137.836,30.708612,112.243562,false,Z1A,0.635556,
WGV35A_PAIR_0211,PV_GM19_SILVER_MPV_NEAR_FIELD,131,Z2_recovery_plus_scene_residual_calibration,A1,false,-2.284112,25.592438,31.6698,139.807,33.953912,114.214562,false,Z1A,0.537778,
WGV35A_PAIR_0212,PV_GM19_SILVER_MPV_NEAR_FIELD,138,Z2_recovery_plus_scene_residual_calibration,A1,false,25.819713,107.323142,40.8602,158.915,15.040487,51.591858,false,Z1B,0.35,
WGV35A_PAIR_0213,PV_GM19_SILVER_MPV_NEAR_FIELD,139,Z2_recovery_plus_scene_residual_calibration,A1,false,28.259137,114.739598,42.747,167.835,14.487863,53.095402,false,Z1B,0.35,
WGV35A_PAIR_0214,PV_GM19_GRAY_CAR_LEFT_EDGE,151,Z2_recovery_plus_scene_residual_calibration,A1,false,-38.699312,54.797807,-49.346,159.327,10.646688,104.529193,false,Z1B,0.72,
WGV35A_PAIR_0215,PV_GM19_GRAY_CAR_LEFT_EDGE,152,Z2_recovery_plus_scene_residual_calibration,A1,false,-38.422264,58.208645,-47.3094,152.056,8.887136,93.847355,false,Z1B,0.7,
WGV35A_PAIR_0200,PV_GM19_BLACK_SEDAN_NEAR_FIELD,0,Z2_recovery_plus_scene_residual_calibration,A3,false,-11.178755,155.430682,10.0062,134.597,21.184955,20.833682,false,Z1B,0.66,
WGV35A_PAIR_0201,PV_GM19_BLACK_SEDAN_NEAR_FIELD,2,Z2_recovery_plus_scene_residual_calibration,A3,false,-4.196342,158.244898,13.7107,138.554,17.907042,19.690898,false,Z1B,0.66,
WGV35A_PAIR_0202,PV_GM19_BLACK_SEDAN_NEAR_FIELD,4,Z2_recovery_plus_scene_residual_calibration,A3,false,4.363971,161.237635,17.5007,142.1,13.136729,19.137635,false,Z1B,0.5,
WGV35A_PAIR_0203,PV_GM19_RIGHT_DARK_FRAGMENT,13,Z2_recovery_plus_scene_residual_calibration,A3,false,,,,,,,,blocked,0,missing_state
WGV35A_PAIR_0204,PV_GM19_WHITE_SUV_NEAR_FIELD,13,Z2_recovery_plus_scene_residual_calibration,A3,true,,,,,,,,Z1A,0.611111,held_out_evaluation_excludes_scene_anchor
WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,15,Z2_recovery_plus_scene_residual_calibration,A3,false,-27.181374,247.635994,-33.2059,149.63,6.024526,98.005994,false,Z1A,0.722222,
WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,37,Z2_recovery_plus_scene_residual_calibration,A3,false,12.526566,247.188137,42.8808,169.247,30.354234,77.941137,false,Z1B,0.5,
WGV35A_PAIR_0207,PV_GM19_WHITE_SUV_NEAR_FIELD,39,Z2_recovery_plus_scene_residual_calibration,A3,false,17.273195,251.782021,46.8998,170.951,29.626605,80.831021,false,Z1B,0.35,
WGV35A_PAIR_0208,PV_GM19_SILVER_MPV_NEAR_FIELD,102,Z2_recovery_plus_scene_residual_calibration,A3,false,-46.553557,206.2656,-47.6792,189.034,1.125643,17.2316,true,Z1B,0.72,
WGV35A_PAIR_0209,PV_GM19_SILVER_MPV_NEAR_FIELD,114,Z2_recovery_plus_scene_residual_calibration,A3,true,,,,,,,,Z1A,0.635556,held_out_evaluation_excludes_scene_anchor
WGV35A_PAIR_0210,PV_GM19_SILVER_MPV_NEAR_FIELD,129,Z2_recovery_plus_scene_residual_calibration,A3,false,-10.942995,187.845187,28.4245,137.836,39.367495,50.009187,false,Z1A,0.635556,
WGV35A_PAIR_0211,PV_GM19_SILVER_MPV_NEAR_FIELD,131,Z2_recovery_plus_scene_residual_calibration,A3,false,-10.942995,187.845187,31.6698,139.807,42.612795,48.038187,false,Z1A,0.537778,
WGV35A_PAIR_0212,PV_GM19_SILVER_MPV_NEAR_FIELD,138,Z2_recovery_plus_scene_residual_calibration,A3,false,17.075783,228.710539,40.8602,158.915,23.784417,69.795539,false,Z1B,0.35,
WGV35A_PAIR_0213,PV_GM19_SILVER_MPV_NEAR_FIELD,139,Z2_recovery_plus_scene_residual_calibration,A3,false,19.507825,232.418767,42.747,167.835,23.239175,64.583767,false,Z1B,0.35,
WGV35A_PAIR_0214,PV_GM19_GRAY_CAR_LEFT_EDGE,151,Z2_recovery_plus_scene_residual_calibration,A3,false,-47.247997,202.447872,-49.346,159.327,2.098003,43.120872,false,Z1B,0.72,
WGV35A_PAIR_0215,PV_GM19_GRAY_CAR_LEFT_EDGE,152,Z2_recovery_plus_scene_residual_calibration,A3,true,,,,,,,,Z1B,0.7,held_out_evaluation_excludes_scene_anchor
WGV35A_PAIR_0200,PV_GM19_BLACK_SEDAN_NEAR_FIELD,0,Z2_recovery_plus_scene_residual_calibration,A5,false,9.73859,135.287025,10.0062,134.597,0.26761,0.690025,true,Z1B,0.66,
WGV35A_PAIR_0201,PV_GM19_BLACK_SEDAN_NEAR_FIELD,2,Z2_recovery_plus_scene_residual_calibration,A5,false,20.244001,138.101241,13.7107,138.554,6.533301,0.452759,false,Z1B,0.66,
WGV35A_PAIR_0202,PV_GM19_BLACK_SEDAN_NEAR_FIELD,4,Z2_recovery_plus_scene_residual_calibration,A5,false,33.123446,141.093978,17.5007,142.1,15.622746,1.006022,false,Z1B,0.5,
WGV35A_PAIR_0203,PV_GM19_RIGHT_DARK_FRAGMENT,13,Z2_recovery_plus_scene_residual_calibration,A5,false,,,,,,,,blocked,0,missing_state
WGV35A_PAIR_0204,PV_GM19_WHITE_SUV_NEAR_FIELD,13,Z2_recovery_plus_scene_residual_calibration,A5,true,,,,,,,,Z1A,0.611111,held_out_evaluation_excludes_scene_anchor
WGV35A_PAIR_0205,PV_GM19_WHITE_SUV_NEAR_FIELD,15,Z2_recovery_plus_scene_residual_calibration,A5,false,-14.338198,227.492337,-33.2059,149.63,18.867702,77.862337,false,Z1A,0.722222,
WGV35A_PAIR_0206,PV_GM19_WHITE_SUV_NEAR_FIELD,37,Z2_recovery_plus_scene_residual_calibration,A5,true,,,,,,,,Z1B,0.5,held_out_evaluation_excludes_scene_anchor
WGV35A_PAIR_0207,PV_GM19_WHITE_SUV_NEAR_FIELD,39,Z2_recovery_plus_scene_residual_calibration,A5,false,52.546058,231.638364,46.8998,170.951,5.646258,60.687364,false,Z1B,0.35,
WGV35A_PAIR_0208,PV_GM19_SILVER_MPV_NEAR_FIELD,102,Z2_recovery_plus_scene_residual_calibration,A5,false,-43.484674,186.121944,-47.6792,189.034,4.194526,2.912056,false,Z1B,0.72,
WGV35A_PAIR_0209,PV_GM19_SILVER_MPV_NEAR_FIELD,114,Z2_recovery_plus_scene_residual_calibration,A5,true,,,,,,,,Z1A,0.635556,held_out_evaluation_excludes_scene_anchor
WGV35A_PAIR_0210,PV_GM19_SILVER_MPV_NEAR_FIELD,129,Z2_recovery_plus_scene_residual_calibration,A5,false,10.093303,167.70153,28.4245,137.836,18.331197,29.86553,false,Z1A,0.635556,
WGV35A_PAIR_0211,PV_GM19_SILVER_MPV_NEAR_FIELD,131,Z2_recovery_plus_scene_residual_calibration,A5,true,,,,,,,,Z1A,0.537778,held_out_evaluation_excludes_scene_anchor
WGV35A_PAIR_0212,PV_GM19_SILVER_MPV_NEAR_FIELD,138,Z2_recovery_plus_scene_residual_calibration,A5,false,52.249041,208.566882,40.8602,158.915,11.388841,49.651882,false,Z1B,0.35,
WGV35A_PAIR_0213,PV_GM19_SILVER_MPV_NEAR_FIELD,139,Z2_recovery_plus_scene_residual_calibration,A5,false,55.908177,212.27511,42.747,167.835,13.161177,44.44011,false,Z1B,0.35,
WGV35A_PAIR_0214,PV_GM19_GRAY_CAR_LEFT_EDGE,151,Z2_recovery_plus_scene_residual_calibration,A5,false,-44.529496,182.304215,-49.346,159.327,4.816504,22.977215,false,Z1B,0.72,
WGV35A_PAIR_0215,PV_GM19_GRAY_CAR_LEFT_EDGE,152,Z2_recovery_plus_scene_residual_calibration,A5,true,,,,,,,,Z1B,0.7,held_out_evaluation_excludes_scene_anchor
