sar_frame,split,physical_vehicle_id,constant_vehicle_envelope,body_long_p80_width_m,body_short_p80_width_m,required_missing_support_m,required_extra_spread_m,vehicle_projection_envelope_status,view_dependent_response_support
351,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.818126,0.773683,0.087848,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
352,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.783723,0.690599,0.158829,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
353,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.173495,0.496425,0.230752,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
354,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.200906,0.484325,0.242852,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
355,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.234061,0.421347,0.30583,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
356,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.118128,0.42453,0.302647,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
357,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.18039,0.390917,0.336259,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
358,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.090984,0.411017,0.31616,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
359,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.030887,0.411358,0.315819,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
360,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.007714,0.398679,0.328498,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
361,guard,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,2.849783,0.415883,0.311294,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
362,guard,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,2.88194,0.391791,0.335386,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
363,guard,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,2.611048,0.377772,0.349405,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
364,guard,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,2.370446,0.387811,0.339366,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
365,guard,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,2.250034,0.42,0.307177,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
366,guard,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.890589,0.390478,0.352083,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
367,guard,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,2.243501,0.410178,0.316999,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
368,guard,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.33757,0.484637,0.810943,0,VEHICLE_ENVELOPE_STRESS,allowed_to_change_with_relative_aspect
369,guard,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.43557,0.464731,0.73285,0,VEHICLE_ENVELOPE_STRESS,allowed_to_change_with_relative_aspect
370,guard,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,2.382065,0.413112,0.314065,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
371,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,2.382208,0.460108,0.267069,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
372,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,2.573083,0.438025,0.289152,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
373,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,2.516791,0.454464,0.272713,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
374,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,2.69985,0.424082,0.303095,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
375,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.799526,0.572127,0.261498,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
376,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.801428,0.568376,0.263346,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
377,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.770153,0.748991,0.135821,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
378,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.80381,0.765061,0.102163,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
379,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.816257,0.737825,0.089717,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
380,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.83389,1.34585,0.072084,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
381,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.800061,1.209767,0.105913,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
382,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.85313,1.464335,0.052844,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
383,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.854501,1.315612,0.051473,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
384,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.802235,1.508381,0.103739,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
385,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.390775,0.430288,0.296889,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
386,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.473915,0.468843,0.258333,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
387,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.483038,0.461534,0.265643,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
388,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.831817,1.809679,0.074156,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
389,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.881385,1.992493,0.024588,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
390,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.834253,1.708213,0.07172,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
391,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.988024,1.813904,0,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
392,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.466203,0.794948,0,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
393,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,1.854207,1.690805,0.051767,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
394,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,E0_R1_BODY_SUPPORT_FIT_SOFT_ENVELOPE,3.268589,0.590758,0.136419,0,VEHICLE_ENVELOPE_STABLE_SOFT,allowed_to_change_with_relative_aspect
SUMMARY,all,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,soft_envelope_summary,,,,,stable_frames=68;total_frames=71,reported_separately_from_constant_vehicle_envelope
