sar_prior_evidence_id,source_report,source_csv,scene,sar_gt_id,sar_frame,optical_frame_if_known,pool_type,evidence_category,atom_part_shell_level,dominant_energy_pattern,vehicle_morphology_supported,temporal_continuity_status,cluster_stability,background_or_nonvehicle_risk,gt_quality_label,support_failure_type,provenance_label,usable_for_wgv15,forbidden_use,notes
WGV15C_SARPRI_0011,reports/oty2/oty2_gt_anchored_vehicle_scale_sar_morphology_and_gt_quality_audit_report_20260703_222135.md,reports/oty2/oty2_atom_part_shell_hierarchy_20260703_222135.csv,GM_RM011,not_available_component_rows,0-510,not_available_in_source,component_rows_from_all_sar_gt_reference_pool,vehicle_like_scatter,vehicle_scale_shell_hypothesis,vehicle_scale=94,component_level_only_not_identity_support,not_evaluated_in_source,not_evaluated_in_source,low_to_medium_posthoc_only,not_available_in_source,not_evaluated_in_this_source,SAR_image_observation;SAR_GT_posthoc_evidence;atom_part_shell_hierarchy,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,94 component rows; atoms and parts are not complete vehicles unless GT-scale composition is present.
WGV15C_SARPRI_0012,reports/oty2/oty2_gt_anchored_vehicle_scale_sar_morphology_and_gt_quality_audit_report_20260703_222135.md,reports/oty2/oty2_atom_part_shell_hierarchy_20260703_222135.csv,GM_RM017,not_available_component_rows,302-446,not_available_in_source,component_rows_from_all_sar_gt_reference_pool,background_or_static_reflector_risk,scattering_atom,too_small_atom=1393,component_level_only_not_identity_support,not_evaluated_in_source,not_evaluated_in_source,high_if_misread_as_vehicle,not_available_in_source,not_evaluated_in_this_source,SAR_image_observation;SAR_GT_posthoc_evidence;atom_part_shell_hierarchy,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,1393 component rows; atoms and parts are not complete vehicles unless GT-scale composition is present.
WGV15C_SARPRI_0013,reports/oty2/oty2_gt_anchored_vehicle_scale_sar_morphology_and_gt_quality_audit_report_20260703_222135.md,reports/oty2/oty2_atom_part_shell_hierarchy_20260703_222135.csv,GM_RM017,not_available_component_rows,302-446,not_available_in_source,component_rows_from_all_sar_gt_reference_pool,vehicle_like_scatter,vehicle_part,plausible_part=331,component_level_only_not_identity_support,not_evaluated_in_source,not_evaluated_in_source,medium_part_not_whole_vehicle,not_available_in_source,not_evaluated_in_this_source,SAR_image_observation;SAR_GT_posthoc_evidence;atom_part_shell_hierarchy,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,331 component rows; atoms and parts are not complete vehicles unless GT-scale composition is present.
WGV15C_SARPRI_0014,reports/oty2/oty2_gt_anchored_vehicle_scale_sar_morphology_and_gt_quality_audit_report_20260703_222135.md,reports/oty2/oty2_atom_part_shell_hierarchy_20260703_222135.csv,GM_RM017,not_available_component_rows,310-438,not_available_in_source,component_rows_from_all_sar_gt_reference_pool,vehicle_like_scatter,vehicle_scale_shell_hypothesis,vehicle_scale=67,component_level_only_not_identity_support,not_evaluated_in_source,not_evaluated_in_source,low_to_medium_posthoc_only,not_available_in_source,not_evaluated_in_this_source,SAR_image_observation;SAR_GT_posthoc_evidence;atom_part_shell_hierarchy,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,67 component rows; atoms and parts are not complete vehicles unless GT-scale composition is present.
WGV15C_SARPRI_0015,reports/oty2/oty2_gt_anchored_vehicle_scale_sar_morphology_and_gt_quality_audit_report_20260703_222135.md,reports/oty2/oty2_atom_part_shell_hierarchy_20260703_222135.csv,GM_RM019,not_available_component_rows,0-354,not_available_in_source,component_rows_from_all_sar_gt_reference_pool,background_or_static_reflector_risk,scattering_atom,too_small_atom=134,component_level_only_not_identity_support,not_evaluated_in_source,not_evaluated_in_source,high_if_misread_as_vehicle,not_available_in_source,not_evaluated_in_this_source,SAR_image_observation;SAR_GT_posthoc_evidence;atom_part_shell_hierarchy,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,134 component rows; atoms and parts are not complete vehicles unless GT-scale composition is present.
WGV15C_SARPRI_0016,reports/oty2/oty2_gt_anchored_vehicle_scale_sar_morphology_and_gt_quality_audit_report_20260703_222135.md,reports/oty2/oty2_atom_part_shell_hierarchy_20260703_222135.csv,GM_RM019,not_available_component_rows,0-354,not_available_in_source,component_rows_from_all_sar_gt_reference_pool,vehicle_like_scatter,vehicle_part,plausible_part=47,component_level_only_not_identity_support,not_evaluated_in_source,not_evaluated_in_source,medium_part_not_whole_vehicle,not_available_in_source,not_evaluated_in_this_source,SAR_image_observation;SAR_GT_posthoc_evidence;atom_part_shell_hierarchy,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,47 component rows; atoms and parts are not complete vehicles unless GT-scale composition is present.
WGV15C_SARPRI_0017,reports/oty2/oty2_gt_anchored_vehicle_scale_sar_morphology_and_gt_quality_audit_report_20260703_222135.md,reports/oty2/oty2_atom_part_shell_hierarchy_20260703_222135.csv,GM_RM019,not_available_component_rows,0-306,not_available_in_source,component_rows_from_all_sar_gt_reference_pool,vehicle_like_scatter,vehicle_scale_shell_hypothesis,vehicle_scale=11,component_level_only_not_identity_support,not_evaluated_in_source,not_evaluated_in_source,low_to_medium_posthoc_only,not_available_in_source,not_evaluated_in_this_source,SAR_image_observation;SAR_GT_posthoc_evidence;atom_part_shell_hierarchy,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,11 component rows; atoms and parts are not complete vehicles unless GT-scale composition is present.
WGV15C_SARPRI_0018,reports/oty2/oty2_gt_local_energy_field_atlas_report_20260704_145752.md,reports/oty2/oty2_gt_local_energy_field_features_20260704_145752.csv,GM_RM011,multiple_gt_id_n3,5-10,not_available_in_source,gm011_waiting_object_stream,vehicle_like_scatter,gt_local_energy_field_vehicle_scale_contour,ridge_like_energy_band:upper=2;lower=1;vehicle_scale_shell_contour:yes=3,gt_local_shell_contour_or_ridge_features_posthoc,not_evaluated_in_source,not_evaluated_in_source,medium_due_gt_quality_review_labels,review_too_small=3,support_internal_components_not_drawn,SAR_image_observation;SAR_GT_posthoc_evidence;corrected_gt_local_coordinate_frame,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,3 corrected GT-local feature rows; support_internal_components_drawn=no=3; small_component_boxes_drawn_as_shell=no=3. The previous support-wide atlas remains failed evidence.
WGV15C_SARPRI_0019,reports/oty2/oty2_gt_local_energy_field_atlas_report_20260704_145752.md,reports/oty2/oty2_gt_local_energy_field_features_20260704_145752.csv,GM_RM017,multiple_gt_id_n15,315-429,not_available_in_source,paired_215,vehicle_like_scatter,gt_local_energy_field_vehicle_scale_contour,ridge_like_energy_band:lower=8;upper=6;right=1;vehicle_scale_shell_contour:yes=13;uncertain=2,gt_local_shell_contour_or_ridge_features_posthoc,not_evaluated_in_source,not_evaluated_in_source,medium_due_gt_quality_review_labels,review_too_large=4;review_extreme_aspect=4;review_low_energy=4;review_multi_structure=2;review_too_small=1,support_internal_components_not_drawn,SAR_image_observation;SAR_GT_posthoc_evidence;corrected_gt_local_coordinate_frame,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,15 corrected GT-local feature rows; support_internal_components_drawn=no=15; small_component_boxes_drawn_as_shell=no=15. The previous support-wide atlas remains failed evidence.
WGV15C_SARPRI_0020,reports/oty2/oty2_gated_association_scatter_cluster_report_20260703_095159.md,reports/oty2/oty2_scatter_cluster_structure_probe_20260703_095159.csv,GM_RM017,not_available_in_source,310-446,149-214,detection_dropout_temporal_continuation,temporal_continuity,scatter_cluster_structure_probe,azimuth_spread_cluster=8;range_spread_cluster=3;weak_no_structure=1,insufficient_or_not_supported=12,jumping_peak=5;stable_cluster_tube=5;insufficient_temporal_samples=2,dropout_existence_support_only=12,medium_posthoc_only,not_available_in_source,range_uncertainty_gate:range_too_broad_for_strong_association=6;range_band_broad_or_uncertain=6,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate=12,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,12 support-mode-expanded rows; status=dropout_existence_support_only; row expansion does not create new samples.
WGV15C_SARPRI_0021,reports/oty2/oty2_gated_association_scatter_cluster_report_20260703_095159.md,reports/oty2/oty2_scatter_cluster_structure_probe_20260703_095159.csv,GM_RM017,not_available_in_source,383-384,184,paired_optical_object_sar_gt,vehicle_like_scatter,scatter_cluster_structure_probe,compact_cluster=6,posthoc_compatible_with_vehicle_footprint=6,stable_cluster_tube=6,associated_posthoc_strong=6,medium_posthoc_only,not_available_in_source,range_uncertainty_gate:range_band_compact_posthoc=6,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate=6,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,6 support-mode-expanded rows; status=associated_posthoc_strong; row expansion does not create new samples.
WGV15C_SARPRI_0022,reports/oty2/oty2_gated_association_scatter_cluster_report_20260703_095159.md,reports/oty2/oty2_scatter_cluster_structure_probe_20260703_095159.csv,GM_RM017,not_available_in_source,315-442,151-212,paired_optical_object_sar_gt,vehicle_like_scatter,scatter_cluster_structure_probe,azimuth_spread_cluster=431;multi_peak_nearby_cluster=39;range_spread_cluster=31;diffuse_clutter=26;compact_cluster=1,posthoc_compatible_with_vehicle_footprint=528,stable_cluster_tube=525;diffuse_or_unstable_cluster_tube=3,associated_posthoc_weak=528,medium_posthoc_only,not_available_in_source,range_uncertainty_gate:range_band_compact_posthoc=493;range_band_moderate_posthoc=35,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate=528,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,528 support-mode-expanded rows; status=associated_posthoc_weak; row expansion does not create new samples.
WGV15C_SARPRI_0023,reports/oty2/oty2_gated_association_scatter_cluster_report_20260703_095159.md,reports/oty2/oty2_scatter_cluster_structure_probe_20260703_095159.csv,GM_RM017,not_available_in_source,346-348,166-167,paired_optical_object_sar_gt,unknown_or_insufficient_evidence,scatter_cluster_structure_probe,range_spread_cluster=2,posthoc_compatible_with_vehicle_footprint=2,stable_cluster_tube=2,optical_support_present_but_sar_ambiguous=2,medium_to_high,not_available_in_source,range_uncertainty_gate:range_band_moderate_posthoc=2,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate=2,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,2 support-mode-expanded rows; status=optical_support_present_but_sar_ambiguous; row expansion does not create new samples.
WGV15C_SARPRI_0024,reports/oty2/oty2_gated_association_scatter_cluster_report_20260703_095159.md,reports/oty2/oty2_scatter_cluster_structure_probe_20260703_095159.csv,GM_RM017,not_available_in_source,383-442,184-212,paired_optical_object_sar_gt,competitor_or_multi_target_signal,scatter_cluster_structure_probe,weak_no_structure=3,posthoc_not_compatible_with_gt_footprint=3,stable_cluster_tube=3,rejected_for_peak_competition=3,medium_to_high,not_available_in_source,range_uncertainty_gate:range_too_broad_for_strong_association=3,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate=3,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,3 support-mode-expanded rows; status=rejected_for_peak_competition; row expansion does not create new samples.
WGV15C_SARPRI_0025,reports/oty2/oty2_gated_association_scatter_cluster_report_20260703_095159.md,reports/oty2/oty2_scatter_cluster_structure_probe_20260703_095159.csv,GM_RM017,not_available_in_source,315-438,151-210,paired_optical_object_sar_gt,temporal_continuity,scatter_cluster_structure_probe,diffuse_clutter=91;azimuth_spread_cluster=36;weak_no_structure=18,posthoc_not_compatible_with_gt_footprint=145,diffuse_or_unstable_cluster_tube=122;jumping_peak=23,rejected_for_temporal_instability=145,medium_to_high,not_available_in_source,range_uncertainty_gate:range_too_broad_for_strong_association=145,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate=145,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,145 support-mode-expanded rows; status=rejected_for_temporal_instability; row expansion does not create new samples.
WGV15C_SARPRI_0026,reports/oty2/oty2_gated_association_scatter_cluster_report_20260703_095159.md,reports/oty2/oty2_scatter_cluster_structure_probe_20260703_095159.csv,GM_RM017,not_available_in_source,302-386,145-185,paired_optical_object_sar_gt,unknown_or_insufficient_evidence,scatter_cluster_structure_probe,diffuse_clutter=51;range_spread_cluster=10;azimuth_spread_cluster=5;weak_no_structure=5,posthoc_not_compatible_with_gt_footprint=57;posthoc_compatible_with_vehicle_footprint=14,jumping_peak=38;stable_cluster_tube=20;diffuse_or_unstable_cluster_tube=13,review_required=71,medium_to_high,not_available_in_source,range_uncertainty_gate:range_too_broad_for_strong_association=51;range_band_moderate_posthoc=18;range_band_compact_posthoc=2,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate=71,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,71 support-mode-expanded rows; status=review_required; row expansion does not create new samples.
WGV15C_SARPRI_0027,reports/oty2/oty2_gated_association_scatter_cluster_report_20260703_095159.md,reports/oty2/oty2_scatter_cluster_structure_probe_20260703_095159.csv,GM_RM017,not_available_in_source,302-386,145-185,paired_optical_object_sar_gt,competitor_or_multi_target_signal,scatter_cluster_structure_probe,azimuth_spread_cluster=78;multi_peak_nearby_cluster=20;range_spread_cluster=19;diffuse_clutter=16,posthoc_compatible_with_vehicle_footprint=133,stable_cluster_tube=133,sar_structure_present_but_optical_ambiguous=133,competitor_or_mapping_risk,not_available_in_source,range_uncertainty_gate:range_band_compact_posthoc=113;range_band_moderate_posthoc=20,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate=133,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,133 support-mode-expanded rows; status=sar_structure_present_but_optical_ambiguous; row expansion does not create new samples.
WGV15C_SARPRI_0028,reports/oty2/oty2_gated_association_scatter_cluster_report_20260703_095159.md,reports/oty2/oty2_scatter_cluster_structure_probe_20260703_095159.csv,GM_RM019,not_available_in_source,8-354,4-170,detection_dropout_temporal_continuation,temporal_continuity,scatter_cluster_structure_probe,azimuth_spread_cluster=6;range_spread_cluster=5;weak_no_structure=1,insufficient_or_not_supported=12,stable_cluster_tube=4;jumping_peak=3;diffuse_or_unstable_cluster_tube=3;insufficient_temporal_samples=2,dropout_existence_support_only=12,medium_posthoc_only,not_available_in_source,range_uncertainty_gate:range_too_broad_for_strong_association=6;range_band_moderate_posthoc=6,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate=12,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,12 support-mode-expanded rows; status=dropout_existence_support_only; row expansion does not create new samples.
WGV15C_SARPRI_0029,reports/oty2/oty2_gated_association_scatter_cluster_report_20260703_095159.md,reports/oty2/oty2_scatter_cluster_structure_probe_20260703_095159.csv,GM_RM019,not_available_in_source,27,13,paired_optical_object_sar_gt,vehicle_like_scatter,scatter_cluster_structure_probe,compact_cluster=1,posthoc_compatible_with_vehicle_footprint=1,stable_cluster_tube=1,associated_posthoc_strong=1,medium_posthoc_only,not_available_in_source,range_uncertainty_gate:range_band_compact_posthoc=1,runtime_safe_optical_evidence;runtime_safe_temporal_evidence;SAR_image_observation;SAR_GT_posthoc_evidence;hypothesis_to_validate=1,posthoc_mechanism_evidence_only; pre_sar_prioritization_or_protocol_design_only,no SAR-ready annotations; no final box creation; no GT box creation; no revised annotation; no selector/ranking output; no runtime prediction artifact; no SAR identity confirmation from inherited or optical evidence,1 support-mode-expanded rows; status=associated_posthoc_strong; row expansion does not create new samples.
