family_id,response_box_id,core_subgraph_id,sar_frame,member_relation_to_family,box_state
R21F00026,R21B00129,R21C00129,228,nested_boundary_variant,vehicle_response_box_possible
R21F00026,R21B00130,R21C00130,228,nested_boundary_variant,unresolved
R21F00026,R21B00131,R21C00131,228,nested_boundary_variant,unresolved
R21F00027,R21B00132,R21C00132,238,nested_boundary_variant,vehicle_response_box_possible
R21F00027,R21B00133,R21C00133,238,nested_boundary_variant,unresolved
R21F00028,R21B00134,R21C00134,239,nested_boundary_variant,vehicle_response_box_possible
R21F00028,R21B00135,R21C00135,239,nested_boundary_variant,vehicle_response_box_possible
R21F00028,R21B00136,R21C00136,239,nested_boundary_variant,unresolved
R21F00029,R21B00137,R21C00137,243,nested_boundary_variant,vehicle_response_box_possible
R21F00029,R21B00138,R21C00138,243,nested_boundary_variant,unresolved
R21F00029,R21B00139,R21C00139,243,nested_boundary_variant,unresolved
R21F00030,R21B00140,R21C00140,250,nested_boundary_variant,vehicle_response_box_possible
R21F00030,R21B00141,R21C00141,250,nested_boundary_variant,unresolved
R21F00030,R21B00142,R21C00142,250,nested_boundary_variant,unresolved
R21F00031,R21B00143,R21C00143,259,nested_boundary_variant,vehicle_response_box_possible
R21F00031,R21B00144,R21C00144,259,nested_boundary_variant,vehicle_response_box_possible
R21F00031,R21B00145,R21C00145,259,nested_boundary_variant,vehicle_part_box_only
R21F00031,R21B00146,R21C00146,259,nested_boundary_variant,unresolved
R21F00031,R21B00147,R21C00147,259,nested_boundary_variant,vehicle_response_box_supported
R21F00031,R21B00148,R21C00148,259,nested_boundary_variant,vehicle_response_box_supported
R21F00031,R21B00149,R21C00149,259,nested_boundary_variant,vehicle_response_box_supported
R21F00032,R21B00150,R21C00150,260,nested_boundary_variant,unresolved
R21F00032,R21B00151,R21C00151,260,nested_boundary_variant,vehicle_response_box_possible
R21F00032,R21B00152,R21C00152,260,nested_boundary_variant,vehicle_part_box_only
R21F00032,R21B00153,R21C00153,260,nested_boundary_variant,unresolved
R21F00032,R21B00154,R21C00154,260,nested_boundary_variant,unresolved
R21F00032,R21B00155,R21C00155,260,nested_boundary_variant,vehicle_response_box_supported
R21F00032,R21B00156,R21C00156,260,nested_boundary_variant,vehicle_response_box_supported
R21F00033,R21B00157,R21C00157,262,single_member_family,vehicle_response_box_possible
R21F00034,R21B00158,R21C00158,263,single_member_family,vehicle_response_box_possible
R21F00035,R21B00159,R21C00159,269,distinct_core_same_response,unresolved
R21F00035,R21B00160,R21C00160,269,distinct_core_same_response,vehicle_response_box_possible
R21F00035,R21B00161,R21C00161,269,distinct_core_same_response,vehicle_part_box_only
R21F00035,R21B00162,R21C00162,269,distinct_core_same_response,unresolved
R21F00035,R21B00163,R21C00163,269,distinct_core_same_response,unresolved
R21F00035,R21B00164,R21C00164,269,distinct_core_same_response,unresolved
R21F00035,R21B00165,R21C00165,269,distinct_core_same_response,unresolved
R21F00035,R21B00166,R21C00166,269,distinct_core_same_response,unresolved
R21F00036,R21B00167,R21C00167,270,distinct_core_same_response,unresolved
R21F00036,R21B00168,R21C00168,270,distinct_core_same_response,vehicle_response_box_possible
R21F00036,R21B00169,R21C00169,270,distinct_core_same_response,vehicle_part_box_only
R21F00036,R21B00170,R21C00170,270,distinct_core_same_response,unresolved
R21F00036,R21B00171,R21C00171,270,distinct_core_same_response,unresolved
R21F00036,R21B00172,R21C00172,270,distinct_core_same_response,unresolved
R21F00036,R21B00173,R21C00173,270,distinct_core_same_response,unresolved
R21F00036,R21B00174,R21C00174,270,distinct_core_same_response,unresolved
R21F00037,R21B00175,R21C00175,271,nested_boundary_variant,unresolved
R21F00037,R21B00176,R21C00176,271,nested_boundary_variant,vehicle_response_box_possible
R21F00037,R21B00177,R21C00177,271,nested_boundary_variant,vehicle_part_box_only
R21F00037,R21B00178,R21C00178,271,nested_boundary_variant,unresolved
R21F00037,R21B00179,R21C00179,271,nested_boundary_variant,unresolved
R21F00037,R21B00180,R21C00180,271,nested_boundary_variant,unresolved
R21F00037,R21B00181,R21C00181,271,nested_boundary_variant,vehicle_response_box_supported
R21F00037,R21B00182,R21C00182,271,nested_boundary_variant,vehicle_response_box_supported
R21F00038,R21B00183,R21C00183,272,spatially_distinct_hypothesis,unresolved
R21F00038,R21B00184,R21C00184,272,spatially_distinct_hypothesis,vehicle_response_box_possible
R21F00038,R21B00185,R21C00185,272,spatially_distinct_hypothesis,vehicle_part_box_only
R21F00038,R21B00186,R21C00186,272,spatially_distinct_hypothesis,unresolved
R21F00038,R21B00187,R21C00187,272,spatially_distinct_hypothesis,unresolved
R21F00038,R21B00188,R21C00188,272,spatially_distinct_hypothesis,unresolved
R21F00038,R21B00189,R21C00189,272,spatially_distinct_hypothesis,unresolved
R21F00038,R21B00190,R21C00190,272,spatially_distinct_hypothesis,unresolved
R21F00039,R21B00191,R21C00191,273,nested_boundary_variant,vehicle_response_box_possible
R21F00039,R21B00192,R21C00192,273,nested_boundary_variant,vehicle_part_box_only
R21F00039,R21B00195,R21C00195,273,nested_boundary_variant,vehicle_response_box_supported
R21F00040,R21B00193,R21C00193,273,distinct_core_same_response,unresolved
R21F00040,R21B00194,R21C00194,273,distinct_core_same_response,unresolved
R21F00041,R21B00196,R21C00196,276,nested_boundary_variant,unresolved
R21F00041,R21B00197,R21C00197,276,nested_boundary_variant,vehicle_response_box_possible
R21F00041,R21B00198,R21C00198,276,nested_boundary_variant,vehicle_part_box_only
R21F00041,R21B00199,R21C00199,276,nested_boundary_variant,unresolved
R21F00041,R21B00200,R21C00200,276,nested_boundary_variant,unresolved
R21F00041,R21B00201,R21C00201,276,nested_boundary_variant,unresolved
R21F00041,R21B00202,R21C00202,276,nested_boundary_variant,unresolved
R21F00041,R21B00203,R21C00203,276,nested_boundary_variant,vehicle_response_box_supported
R21F00042,R21B00204,R21C00204,278,spatially_distinct_hypothesis,unresolved
R21F00042,R21B00205,R21C00205,278,spatially_distinct_hypothesis,vehicle_response_box_possible
R21F00042,R21B00206,R21C00206,278,spatially_distinct_hypothesis,unresolved
R21F00042,R21B00207,R21C00207,278,spatially_distinct_hypothesis,unresolved
R21F00043,R21B00208,R21C00208,279,distinct_core_same_response,unresolved
R21F00043,R21B00209,R21C00209,279,distinct_core_same_response,vehicle_response_box_possible
R21F00043,R21B00210,R21C00210,279,distinct_core_same_response,unresolved
R21F00043,R21B00211,R21C00211,279,distinct_core_same_response,unresolved
R21F00043,R21B00212,R21C00212,279,distinct_core_same_response,unresolved
R21F00044,R21B00213,R21C00213,280,nested_boundary_variant,unresolved
R21F00044,R21B00214,R21C00214,280,nested_boundary_variant,vehicle_response_box_possible
R21F00044,R21B00215,R21C00215,280,nested_boundary_variant,unresolved
R21F00044,R21B00216,R21C00216,280,nested_boundary_variant,unresolved
R21F00045,R21B00217,R21C00217,281,nested_boundary_variant,unresolved
R21F00045,R21B00218,R21C00218,281,nested_boundary_variant,vehicle_response_box_possible
R21F00045,R21B00219,R21C00219,281,nested_boundary_variant,vehicle_part_box_only
R21F00045,R21B00220,R21C00220,281,nested_boundary_variant,unresolved
R21F00045,R21B00221,R21C00221,281,nested_boundary_variant,unresolved
R21F00045,R21B00222,R21C00222,281,nested_boundary_variant,unresolved
R21F00045,R21B00223,R21C00223,281,nested_boundary_variant,vehicle_response_box_supported
R21F00045,R21B00224,R21C00224,281,nested_boundary_variant,vehicle_response_box_supported
R21F00046,R21B00225,R21C00225,284,distinct_core_same_response,unresolved
R21F00046,R21B00226,R21C00226,284,distinct_core_same_response,vehicle_response_box_possible
R21F00046,R21B00227,R21C00227,284,distinct_core_same_response,unresolved
R21F00046,R21B00228,R21C00228,284,distinct_core_same_response,unresolved
R21F00046,R21B00229,R21C00229,284,distinct_core_same_response,unresolved
R21F00046,R21B00230,R21C00230,284,distinct_core_same_response,unresolved
R21F00047,R21B00231,R21C00231,288,distinct_core_same_response,unresolved
R21F00047,R21B00232,R21C00232,288,distinct_core_same_response,vehicle_response_box_possible
R21F00047,R21B00233,R21C00233,288,distinct_core_same_response,unresolved
R21F00047,R21B00234,R21C00234,288,distinct_core_same_response,unresolved
R21F00047,R21B00235,R21C00235,288,distinct_core_same_response,unresolved
R21F00048,R21B00236,R21C00236,289,spatially_distinct_hypothesis,unresolved
R21F00048,R21B00237,R21C00237,289,spatially_distinct_hypothesis,vehicle_response_box_possible
R21F00048,R21B00238,R21C00238,289,spatially_distinct_hypothesis,vehicle_part_box_only
R21F00048,R21B00239,R21C00239,289,spatially_distinct_hypothesis,unresolved
R21F00048,R21B00240,R21C00240,289,spatially_distinct_hypothesis,unresolved
R21F00048,R21B00241,R21C00241,289,spatially_distinct_hypothesis,unresolved
R21F00048,R21B00242,R21C00242,289,spatially_distinct_hypothesis,unresolved
R21F00048,R21B00243,R21C00243,289,spatially_distinct_hypothesis,vehicle_response_box_supported
R21F00049,R21B00244,R21C00244,290,nested_boundary_variant,unresolved
R21F00049,R21B00245,R21C00245,290,nested_boundary_variant,vehicle_part_box_only
R21F00049,R21B00246,R21C00246,290,nested_boundary_variant,vehicle_part_box_only
R21F00049,R21B00247,R21C00247,290,nested_boundary_variant,unresolved
R21F00049,R21B00248,R21C00248,290,nested_boundary_variant,unresolved
R21F00049,R21B00249,R21C00249,290,nested_boundary_variant,vehicle_response_box_possible
R21F00049,R21B00250,R21C00250,290,nested_boundary_variant,vehicle_response_box_possible
