assisted_review_id,blind_frame_id,blind_family_id,family_id,sar_frame,assisted_core_visual_match,assisted_optional_membership_match,assisted_background_exclusion_match,assisted_structure_support,assisted_unresolved,assisted_decisive_reason_cn,raw_to_assisted_change_cn,algorithm_overlay_helped_or_misled_cn,assisted_confidence,assisted_png
R21R1AST0014,R21R1_BLIND_FRAME_030,R21R1_BLIND_FAMILY_014,R21R1F00014,30,true,true,true,false,true,R21R1F00014?SAR 30?assisted ???overlay ???????????????overlay ??????????????????? R2.1-R1 ??????????,raw ???assisted ????????????????????????????,overlay ????????????????????????????????????????? family?,0.48,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_002.png
R21R1AST0015,R21R1_BLIND_FRAME_030,R21R1_BLIND_FAMILY_015,R21R1F00015,30,true,not_applicable,true,false,true,R21R1F00015?SAR 30?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_002.png
R21R1AST0016,R21R1_BLIND_FRAME_030,R21R1_BLIND_FAMILY_016,R21R1F00016,30,true,not_applicable,true,false,true,R21R1F00016?SAR 30?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_002.png
R21R1AST0017,R21R1_BLIND_FRAME_030,R21R1_BLIND_FAMILY_017,R21R1F00017,30,true,not_applicable,true,false,true,R21R1F00017?SAR 30?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_003.png
R21R1AST0018,R21R1_BLIND_FRAME_031,R21R1_BLIND_FAMILY_018,R21R1F00018,31,true,true,true,false,true,R21R1F00018?SAR 31?assisted ???overlay ???????????????overlay ??????????????????? R2.1-R1 ??????????,raw ???assisted ????????????????????????????,overlay ????????????????????????????????????????? family?,0.48,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_003.png
R21R1AST0019,R21R1_BLIND_FRAME_031,R21R1_BLIND_FAMILY_019,R21R1F00019,31,true,not_applicable,true,false,true,R21R1F00019?SAR 31?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_003.png
R21R1AST0020,R21R1_BLIND_FRAME_031,R21R1_BLIND_FAMILY_020,R21R1F00020,31,true,not_applicable,true,false,true,R21R1F00020?SAR 31?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_003.png
R21R1AST0021,R21R1_BLIND_FRAME_032,R21R1_BLIND_FAMILY_021,R21R1F00021,32,true,true,true,false,true,R21R1F00021?SAR 32?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_003.png
R21R1AST0022,R21R1_BLIND_FRAME_032,R21R1_BLIND_FAMILY_022,R21R1F00022,32,true,not_applicable,true,false,true,R21R1F00022?SAR 32?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_003.png
R21R1AST0023,R21R1_BLIND_FRAME_032,R21R1_BLIND_FAMILY_023,R21R1F00023,32,true,not_applicable,true,false,true,R21R1F00023?SAR 32?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_003.png
R21R1AST0024,R21R1_BLIND_FRAME_032,R21R1_BLIND_FAMILY_024,R21R1F00024,32,true,not_applicable,true,false,true,R21R1F00024?SAR 32?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_003.png
R21R1AST0025,R21R1_BLIND_FRAME_032,R21R1_BLIND_FAMILY_025,R21R1F00025,32,true,not_applicable,true,false,true,R21R1F00025?SAR 32?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_004.png
R21R1AST0026,R21R1_BLIND_FRAME_032,R21R1_BLIND_FAMILY_026,R21R1F00026,32,true,not_applicable,true,false,true,R21R1F00026?SAR 32?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_004.png
R21R1AST0027,R21R1_BLIND_FRAME_034,R21R1_BLIND_FAMILY_027,R21R1F00027,34,true,true,true,false,true,R21R1F00027?SAR 34?assisted ???overlay ???????????????overlay ??????????????????? R2.1-R1 ??????????,raw ???assisted ????????????????????????????,overlay ????????????????????????????????????????? family?,0.48,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_004.png
R21R1AST0028,R21R1_BLIND_FRAME_034,R21R1_BLIND_FAMILY_028,R21R1F00028,34,true,not_applicable,true,false,true,R21R1F00028?SAR 34?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_004.png
R21R1AST0029,R21R1_BLIND_FRAME_034,R21R1_BLIND_FAMILY_029,R21R1F00029,34,true,not_applicable,true,false,true,R21R1F00029?SAR 34?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_004.png
R21R1AST0030,R21R1_BLIND_FRAME_034,R21R1_BLIND_FAMILY_030,R21R1F00030,34,true,not_applicable,true,false,true,R21R1F00030?SAR 34?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_004.png
R21R1AST0031,R21R1_BLIND_FRAME_034,R21R1_BLIND_FAMILY_031,R21R1F00031,34,true,not_applicable,true,false,true,R21R1F00031?SAR 34?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_004.png
R21R1AST0032,R21R1_BLIND_FRAME_034,R21R1_BLIND_FAMILY_032,R21R1F00032,34,true,not_applicable,true,false,true,R21R1F00032?SAR 34?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_004.png
R21R1AST0033,R21R1_BLIND_FRAME_034,R21R1_BLIND_FAMILY_033,R21R1F00033,34,true,not_applicable,true,false,true,R21R1F00033?SAR 34?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_005.png
R21R1AST0034,R21R1_BLIND_FRAME_039,R21R1_BLIND_FAMILY_034,R21R1F00034,39,true,true,true,false,true,R21R1F00034?SAR 39?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_005.png
R21R1AST0035,R21R1_BLIND_FRAME_039,R21R1_BLIND_FAMILY_035,R21R1F00035,39,true,not_applicable,true,false,true,R21R1F00035?SAR 39?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_005.png
R21R1AST0036,R21R1_BLIND_FRAME_039,R21R1_BLIND_FAMILY_036,R21R1F00036,39,false,true,false,false,false,R21R1F00036?SAR 39?assisted ???overlay ????/?????overlay ??????????????????? R2.1-R1 ??????????,raw ?????assisted ??????????????????????????,overlay ????????????????????????????????????????? family?,0.58,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_005.png
R21R1AST0037,R21R1_BLIND_FRAME_039,R21R1_BLIND_FAMILY_037,R21R1F00037,39,true,not_applicable,true,false,true,R21R1F00037?SAR 39?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_005.png
R21R1AST0038,R21R1_BLIND_FRAME_039,R21R1_BLIND_FAMILY_038,R21R1F00038,39,true,not_applicable,true,false,true,R21R1F00038?SAR 39?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_005.png
R21R1AST0039,R21R1_BLIND_FRAME_040,R21R1_BLIND_FAMILY_039,R21R1F00039,40,true,true,true,false,true,R21R1F00039?SAR 40?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_005.png
R21R1AST0040,R21R1_BLIND_FRAME_040,R21R1_BLIND_FAMILY_040,R21R1F00040,40,true,not_applicable,true,false,true,R21R1F00040?SAR 40?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_005.png
R21R1AST0041,R21R1_BLIND_FRAME_040,R21R1_BLIND_FAMILY_041,R21R1F00041,40,true,not_applicable,true,false,true,R21R1F00041?SAR 40?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_006.png
R21R1AST0042,R21R1_BLIND_FRAME_040,R21R1_BLIND_FAMILY_042,R21R1F00042,40,true,not_applicable,true,true,false,R21R1F00042?SAR 40?assisted ???overlay ???????????overlay ??????????????????? R2.1-R1 ??????????,raw ?????????assisted ????????????????? GT?,overlay ????????????????????????????????????????? family?,0.66,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_006.png
R21R1AST0043,R21R1_BLIND_FRAME_040,R21R1_BLIND_FAMILY_043,R21R1F00043,40,true,not_applicable,true,false,true,R21R1F00043?SAR 40?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_006.png
R21R1AST0044,R21R1_BLIND_FRAME_046,R21R1_BLIND_FAMILY_044,R21R1F00044,46,true,not_applicable,true,true,false,R21R1F00044?SAR 46?assisted ???overlay ???????????overlay ??????????????????? R2.1-R1 ??????????,raw ?????????assisted ????????????????? GT?,overlay ????????????????????????????????????????? family?,0.66,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_006.png
R21R1AST0045,R21R1_BLIND_FRAME_052,R21R1_BLIND_FAMILY_045,R21R1F00045,52,false,true,false,false,false,R21R1F00045?SAR 52?assisted ???overlay ????/?????overlay ??????????????????? R2.1-R1 ??????????,raw ?????assisted ??????????????????????????,overlay ????????????????????????????????????????? family?,0.58,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_006.png
R21R1AST0046,R21R1_BLIND_FRAME_052,R21R1_BLIND_FAMILY_046,R21R1F00046,52,true,not_applicable,true,false,true,R21R1F00046?SAR 52?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_006.png
R21R1AST0047,R21R1_BLIND_FRAME_060,R21R1_BLIND_FAMILY_047,R21R1F00047,60,true,not_applicable,true,true,false,R21R1F00047?SAR 60?assisted ???overlay ???????????overlay ??????????????????? R2.1-R1 ??????????,raw ?????????assisted ????????????????? GT?,overlay ????????????????????????????????????????? family?,0.66,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_006.png
R21R1AST0048,R21R1_BLIND_FRAME_060,R21R1_BLIND_FAMILY_048,R21R1F00048,60,true,not_applicable,true,false,true,R21R1F00048?SAR 60?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_006.png
R21R1AST0049,R21R1_BLIND_FRAME_077,R21R1_BLIND_FAMILY_049,R21R1F00049,77,false,true,false,false,false,R21R1F00049?SAR 77?assisted ???overlay ????/?????overlay ??????????????????? R2.1-R1 ??????????,raw ?????assisted ??????????????????????????,overlay ????????????????????????????????????????? family?,0.58,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_007.png
R21R1AST0050,R21R1_BLIND_FRAME_077,R21R1_BLIND_FAMILY_050,R21R1F00050,77,true,not_applicable,true,true,false,R21R1F00050?SAR 77?assisted ???overlay ???????????overlay ??????????????????? R2.1-R1 ??????????,raw ?????????assisted ????????????????? GT?,overlay ????????????????????????????????????????? family?,0.66,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_007.png
R21R1AST0051,R21R1_BLIND_FRAME_077,R21R1_BLIND_FAMILY_051,R21R1F00051,77,true,not_applicable,true,false,true,R21R1F00051?SAR 77?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_007.png
R21R1AST0052,R21R1_BLIND_FRAME_077,R21R1_BLIND_FAMILY_052,R21R1F00052,77,true,not_applicable,true,false,true,R21R1F00052?SAR 77?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_007.png
R21R1AST0053,R21R1_BLIND_FRAME_077,R21R1_BLIND_FAMILY_053,R21R1F00053,77,true,not_applicable,true,false,true,R21R1F00053?SAR 77?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_007.png
R21R1AST0054,R21R1_BLIND_FRAME_077,R21R1_BLIND_FAMILY_054,R21R1F00054,77,true,not_applicable,true,false,true,R21R1F00054?SAR 77?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_007.png
R21R1AST0055,R21R1_BLIND_FRAME_078,R21R1_BLIND_FAMILY_055,R21R1F00055,78,true,true,true,false,true,R21R1F00055?SAR 78?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_007.png
R21R1AST0056,R21R1_BLIND_FRAME_078,R21R1_BLIND_FAMILY_056,R21R1F00056,78,true,not_applicable,true,false,true,R21R1F00056?SAR 78?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_007.png
R21R1AST0057,R21R1_BLIND_FRAME_078,R21R1_BLIND_FAMILY_057,R21R1F00057,78,true,not_applicable,true,false,true,R21R1F00057?SAR 78?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_008.png
R21R1AST0058,R21R1_BLIND_FRAME_078,R21R1_BLIND_FAMILY_058,R21R1F00058,78,true,not_applicable,true,false,true,R21R1F00058?SAR 78?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_008.png
R21R1AST0059,R21R1_BLIND_FRAME_078,R21R1_BLIND_FAMILY_059,R21R1F00059,78,true,not_applicable,true,false,true,R21R1F00059?SAR 78?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_008.png
R21R1AST0060,R21R1_BLIND_FRAME_078,R21R1_BLIND_FAMILY_060,R21R1F00060,78,true,not_applicable,true,false,true,R21R1F00060?SAR 78?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_008.png
R21R1AST0061,R21R1_BLIND_FRAME_079,R21R1_BLIND_FAMILY_061,R21R1F00061,79,true,true,true,false,true,R21R1F00061?SAR 79?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_008.png
R21R1AST0062,R21R1_BLIND_FRAME_079,R21R1_BLIND_FAMILY_062,R21R1F00062,79,true,not_applicable,true,false,true,R21R1F00062?SAR 79?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_008.png
R21R1AST0063,R21R1_BLIND_FRAME_079,R21R1_BLIND_FAMILY_063,R21R1F00063,79,true,not_applicable,true,false,true,R21R1F00063?SAR 79?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_008.png
R21R1AST0064,R21R1_BLIND_FRAME_079,R21R1_BLIND_FAMILY_064,R21R1F00064,79,false,true,false,false,false,R21R1F00064?SAR 79?assisted ???overlay ????/?????overlay ??????????????????? R2.1-R1 ??????????,raw ?????assisted ??????????????????????????,overlay ????????????????????????????????????????? family?,0.58,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_008.png
R21R1AST0065,R21R1_BLIND_FRAME_079,R21R1_BLIND_FAMILY_065,R21R1F00065,79,true,not_applicable,true,false,true,R21R1F00065?SAR 79?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_009.png
R21R1AST0066,R21R1_BLIND_FRAME_079,R21R1_BLIND_FAMILY_066,R21R1F00066,79,true,not_applicable,true,false,true,R21R1F00066?SAR 79?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_009.png
R21R1AST0067,R21R1_BLIND_FRAME_080,R21R1_BLIND_FAMILY_067,R21R1F00067,80,true,true,true,false,true,R21R1F00067?SAR 80?assisted ???overlay ?????/??????overlay ??????????????????? R2.1-R1 ??????????,assisted ?????????/??????????????????,overlay ????????????????????????????????????????? family?,0.44,outputs/wgv3_6a_a1_8a_r2_1_r1_20260711/blind_assisted_family_sheet_009.png
