control_point_id,sar_frame,gt_instance_id,bbox,bbox_center,bbox_scale,manually_supported_vehicle_response_ids,manually_rejected_background_ids,optical_state,provenance,confidence
CP_GM017_0010_0011,334,123,"826.338,910.387,989.241,974.871","907.7895,942.629",162.903x64.484,COMP_CAL_000334_001;COMP_CAL_000334_003;COMP_CAL_000334_017;COMP_CAL_000334_021;COMP_CAL_000334_024;COMP_CAL_000334_038;COMP_CAL_000334_040;COMP_CAL_000334_044;COMP_CAL_000334_048,COMP_CAL_000334_002;COMP_CAL_000334_004;COMP_CAL_000334_005;COMP_CAL_000334_006;COMP_CAL_000334_007;COMP_CAL_000334_008;COMP_CAL_000334_009;COMP_CAL_000334_010;COMP_CAL_000334_011;COMP_CAL_000334_012;COMP_CAL_000334_013;COMP_CAL_000334_014;COMP_CAL_000334_015;COMP_CAL_000334_016;COMP_CAL_000334_018;COMP_CAL_000334_019;COMP_CAL_000334_020;COMP_CAL_000334_022;COMP_CAL_000334_023;COMP_CAL_000334_025;COMP_CAL_000334_026;COMP_CAL_000334_027;COMP_CAL_000334_028;COMP_CAL_000334_029;COMP_CAL_000334_030;COMP_CAL_000334_031;COMP_CAL_000334_032;COMP_CAL_000334_033;COMP_CAL_000334_034;COMP_CAL_000334_035;COMP_CAL_000334_036;COMP_CAL_000334_037;COMP_CAL_000334_039;COMP_CAL_000334_041;COMP_CAL_000334_042;COMP_CAL_000334_043;COMP_CAL_000334_045;COMP_CAL_000334_046;COMP_CAL_000334_047,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=boundary_truncation_present;multi=single_observation,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0012,335,126,"838.635,900.267,1006.045,977.567","922.34,938.917",167.41x77.3,COMP_CAL_000335_001;COMP_CAL_000335_003;COMP_CAL_000335_007;COMP_CAL_000335_022;COMP_CAL_000335_026;COMP_CAL_000335_027,COMP_CAL_000335_002;COMP_CAL_000335_004;COMP_CAL_000335_005;COMP_CAL_000335_006;COMP_CAL_000335_008;COMP_CAL_000335_009;COMP_CAL_000335_010;COMP_CAL_000335_011;COMP_CAL_000335_012;COMP_CAL_000335_013;COMP_CAL_000335_014;COMP_CAL_000335_015;COMP_CAL_000335_016;COMP_CAL_000335_017;COMP_CAL_000335_018;COMP_CAL_000335_019;COMP_CAL_000335_020;COMP_CAL_000335_021;COMP_CAL_000335_023;COMP_CAL_000335_024;COMP_CAL_000335_025;COMP_CAL_000335_028;COMP_CAL_000335_029;COMP_CAL_000335_030;COMP_CAL_000335_031;COMP_CAL_000335_032;COMP_CAL_000335_033;COMP_CAL_000335_034;COMP_CAL_000335_035;COMP_CAL_000335_036;COMP_CAL_000335_037;COMP_CAL_000335_038;COMP_CAL_000335_039;COMP_CAL_000335_040;COMP_CAL_000335_041;COMP_CAL_000335_042;COMP_CAL_000335_043;COMP_CAL_000335_044;COMP_CAL_000335_045;COMP_CAL_000335_046,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=mixed_partial_full_observations;boundary=boundary_truncation_present;multi=multiple_observations,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0013,336,129,"837.371,903.259,1006.129,977.904","921.75,940.5815",168.758x74.645,COMP_CAL_000336_001;COMP_CAL_000336_003;COMP_CAL_000336_008;COMP_CAL_000336_011;COMP_CAL_000336_013;COMP_CAL_000336_015;COMP_CAL_000336_026;COMP_CAL_000336_034;COMP_CAL_000336_035;COMP_CAL_000336_052,COMP_CAL_000336_002;COMP_CAL_000336_004;COMP_CAL_000336_005;COMP_CAL_000336_006;COMP_CAL_000336_007;COMP_CAL_000336_009;COMP_CAL_000336_010;COMP_CAL_000336_012;COMP_CAL_000336_014;COMP_CAL_000336_016;COMP_CAL_000336_017;COMP_CAL_000336_018;COMP_CAL_000336_019;COMP_CAL_000336_020;COMP_CAL_000336_021;COMP_CAL_000336_022;COMP_CAL_000336_023;COMP_CAL_000336_024;COMP_CAL_000336_025;COMP_CAL_000336_027;COMP_CAL_000336_028;COMP_CAL_000336_029;COMP_CAL_000336_030;COMP_CAL_000336_031;COMP_CAL_000336_032;COMP_CAL_000336_033;COMP_CAL_000336_036;COMP_CAL_000336_037;COMP_CAL_000336_038;COMP_CAL_000336_039;COMP_CAL_000336_040;COMP_CAL_000336_041;COMP_CAL_000336_042;COMP_CAL_000336_043;COMP_CAL_000336_044;COMP_CAL_000336_045;COMP_CAL_000336_046;COMP_CAL_000336_047;COMP_CAL_000336_048;COMP_CAL_000336_049;COMP_CAL_000336_050;COMP_CAL_000336_051;COMP_CAL_000336_053;COMP_CAL_000336_054;COMP_CAL_000336_055,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=mixed_partial_full_observations;boundary=boundary_truncation_present;multi=multiple_observations,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0014,337,334,"850.528,902.229,1011.841,980.623","931.1845,941.426",161.313x78.394,COMP_CAL_000337_001;COMP_CAL_000337_004;COMP_CAL_000337_005;COMP_CAL_000337_008;COMP_CAL_000337_011;COMP_CAL_000337_014;COMP_CAL_000337_026;COMP_CAL_000337_029;COMP_CAL_000337_031;COMP_CAL_000337_032,COMP_CAL_000337_002;COMP_CAL_000337_003;COMP_CAL_000337_006;COMP_CAL_000337_007;COMP_CAL_000337_009;COMP_CAL_000337_010;COMP_CAL_000337_012;COMP_CAL_000337_013;COMP_CAL_000337_015;COMP_CAL_000337_016;COMP_CAL_000337_017;COMP_CAL_000337_018;COMP_CAL_000337_019;COMP_CAL_000337_020;COMP_CAL_000337_021;COMP_CAL_000337_022;COMP_CAL_000337_023;COMP_CAL_000337_024;COMP_CAL_000337_025;COMP_CAL_000337_027;COMP_CAL_000337_028;COMP_CAL_000337_030;COMP_CAL_000337_033;COMP_CAL_000337_034;COMP_CAL_000337_035;COMP_CAL_000337_036;COMP_CAL_000337_037;COMP_CAL_000337_038;COMP_CAL_000337_039;COMP_CAL_000337_040;COMP_CAL_000337_041;COMP_CAL_000337_042;COMP_CAL_000337_043;COMP_CAL_000337_044;COMP_CAL_000337_045;COMP_CAL_000337_046,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0015,338,131,"863.8,904.69,1016,977.53","939.9,941.11",152.2x72.84,COMP_CAL_000338_001;COMP_CAL_000338_005;COMP_CAL_000338_009;COMP_CAL_000338_015;COMP_CAL_000338_025,COMP_CAL_000338_002;COMP_CAL_000338_003;COMP_CAL_000338_004;COMP_CAL_000338_006;COMP_CAL_000338_007;COMP_CAL_000338_008;COMP_CAL_000338_010;COMP_CAL_000338_011;COMP_CAL_000338_012;COMP_CAL_000338_013;COMP_CAL_000338_014;COMP_CAL_000338_016;COMP_CAL_000338_017;COMP_CAL_000338_018;COMP_CAL_000338_019;COMP_CAL_000338_020;COMP_CAL_000338_021;COMP_CAL_000338_022;COMP_CAL_000338_023;COMP_CAL_000338_024;COMP_CAL_000338_026;COMP_CAL_000338_027;COMP_CAL_000338_028;COMP_CAL_000338_029;COMP_CAL_000338_030;COMP_CAL_000338_031;COMP_CAL_000338_032;COMP_CAL_000338_033;COMP_CAL_000338_034;COMP_CAL_000338_035;COMP_CAL_000338_036,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0016,339,134,"865.429,909.183,1022.4,977.623","943.9145,943.403",156.971x68.44,COMP_CAL_000339_001;COMP_CAL_000339_005;COMP_CAL_000339_014;COMP_CAL_000339_018;COMP_CAL_000339_022,COMP_CAL_000339_002;COMP_CAL_000339_003;COMP_CAL_000339_004;COMP_CAL_000339_006;COMP_CAL_000339_007;COMP_CAL_000339_008;COMP_CAL_000339_009;COMP_CAL_000339_010;COMP_CAL_000339_011;COMP_CAL_000339_012;COMP_CAL_000339_013;COMP_CAL_000339_015;COMP_CAL_000339_016;COMP_CAL_000339_017;COMP_CAL_000339_019;COMP_CAL_000339_020;COMP_CAL_000339_021;COMP_CAL_000339_023;COMP_CAL_000339_024;COMP_CAL_000339_025;COMP_CAL_000339_026;COMP_CAL_000339_027;COMP_CAL_000339_028;COMP_CAL_000339_029;COMP_CAL_000339_030;COMP_CAL_000339_031;COMP_CAL_000339_032;COMP_CAL_000339_033;COMP_CAL_000339_034;COMP_CAL_000339_035;COMP_CAL_000339_036;COMP_CAL_000339_037;COMP_CAL_000339_038,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0017,340,138,"867.034,907.729,1034.586,984.237","950.81,945.983",167.552x76.508,COMP_CAL_000340_001;COMP_CAL_000340_003;COMP_CAL_000340_008;COMP_CAL_000340_015;COMP_CAL_000340_016;COMP_CAL_000340_017;COMP_CAL_000340_018;COMP_CAL_000340_020;COMP_CAL_000340_027;COMP_CAL_000340_035;COMP_CAL_000340_038;COMP_CAL_000340_039;COMP_CAL_000340_043,COMP_CAL_000340_002;COMP_CAL_000340_004;COMP_CAL_000340_005;COMP_CAL_000340_006;COMP_CAL_000340_007;COMP_CAL_000340_009;COMP_CAL_000340_010;COMP_CAL_000340_011;COMP_CAL_000340_012;COMP_CAL_000340_013;COMP_CAL_000340_014;COMP_CAL_000340_019;COMP_CAL_000340_021;COMP_CAL_000340_022;COMP_CAL_000340_023;COMP_CAL_000340_024;COMP_CAL_000340_025;COMP_CAL_000340_026;COMP_CAL_000340_028;COMP_CAL_000340_029;COMP_CAL_000340_030;COMP_CAL_000340_031;COMP_CAL_000340_032;COMP_CAL_000340_033;COMP_CAL_000340_034;COMP_CAL_000340_036;COMP_CAL_000340_037;COMP_CAL_000340_040;COMP_CAL_000340_041;COMP_CAL_000340_042,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0018,341,142,"870.654,902.722,1037.757,979.884","954.2055,941.303",167.103x77.162,COMP_CAL_000341_001;COMP_CAL_000341_004;COMP_CAL_000341_005;COMP_CAL_000341_007;COMP_CAL_000341_009;COMP_CAL_000341_021;COMP_CAL_000341_025;COMP_CAL_000341_031;COMP_CAL_000341_037;COMP_CAL_000341_040;COMP_CAL_000341_043,COMP_CAL_000341_002;COMP_CAL_000341_003;COMP_CAL_000341_006;COMP_CAL_000341_008;COMP_CAL_000341_010;COMP_CAL_000341_011;COMP_CAL_000341_012;COMP_CAL_000341_013;COMP_CAL_000341_014;COMP_CAL_000341_015;COMP_CAL_000341_016;COMP_CAL_000341_017;COMP_CAL_000341_018;COMP_CAL_000341_019;COMP_CAL_000341_020;COMP_CAL_000341_022;COMP_CAL_000341_023;COMP_CAL_000341_024;COMP_CAL_000341_026;COMP_CAL_000341_027;COMP_CAL_000341_028;COMP_CAL_000341_029;COMP_CAL_000341_030;COMP_CAL_000341_032;COMP_CAL_000341_033;COMP_CAL_000341_034;COMP_CAL_000341_035;COMP_CAL_000341_036;COMP_CAL_000341_038;COMP_CAL_000341_039;COMP_CAL_000341_041;COMP_CAL_000341_042;COMP_CAL_000341_044;COMP_CAL_000341_045;COMP_CAL_000341_046,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0019,342,145,"879.201,905.927,1042.184,977.33","960.6925,941.6285",162.983x71.403,COMP_CAL_000342_001;COMP_CAL_000342_004;COMP_CAL_000342_022;COMP_CAL_000342_027;COMP_CAL_000342_028;COMP_CAL_000342_030,COMP_CAL_000342_002;COMP_CAL_000342_003;COMP_CAL_000342_005;COMP_CAL_000342_006;COMP_CAL_000342_007;COMP_CAL_000342_008;COMP_CAL_000342_009;COMP_CAL_000342_010;COMP_CAL_000342_011;COMP_CAL_000342_012;COMP_CAL_000342_013;COMP_CAL_000342_014;COMP_CAL_000342_015;COMP_CAL_000342_016;COMP_CAL_000342_017;COMP_CAL_000342_018;COMP_CAL_000342_019;COMP_CAL_000342_020;COMP_CAL_000342_021;COMP_CAL_000342_023;COMP_CAL_000342_024;COMP_CAL_000342_025;COMP_CAL_000342_026;COMP_CAL_000342_029;COMP_CAL_000342_031;COMP_CAL_000342_032;COMP_CAL_000342_033;COMP_CAL_000342_034;COMP_CAL_000342_035;COMP_CAL_000342_036;COMP_CAL_000342_037;COMP_CAL_000342_038;COMP_CAL_000342_039;COMP_CAL_000342_040;COMP_CAL_000342_041,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=partial_to_full_transition;boundary=boundary_truncation_present;multi=single_observation,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0020,343,147,"889.11,900.774,1051.18,980.968","970.145,940.871",162.07x80.194,COMP_CAL_000343_001;COMP_CAL_000343_017;COMP_CAL_000343_031;COMP_CAL_000343_033;COMP_CAL_000343_036,COMP_CAL_000343_002;COMP_CAL_000343_003;COMP_CAL_000343_004;COMP_CAL_000343_005;COMP_CAL_000343_006;COMP_CAL_000343_007;COMP_CAL_000343_008;COMP_CAL_000343_009;COMP_CAL_000343_010;COMP_CAL_000343_011;COMP_CAL_000343_012;COMP_CAL_000343_013;COMP_CAL_000343_014;COMP_CAL_000343_015;COMP_CAL_000343_016;COMP_CAL_000343_018;COMP_CAL_000343_019;COMP_CAL_000343_020;COMP_CAL_000343_021;COMP_CAL_000343_022;COMP_CAL_000343_023;COMP_CAL_000343_024;COMP_CAL_000343_025;COMP_CAL_000343_026;COMP_CAL_000343_027;COMP_CAL_000343_028;COMP_CAL_000343_029;COMP_CAL_000343_030;COMP_CAL_000343_032;COMP_CAL_000343_034;COMP_CAL_000343_035;COMP_CAL_000343_037;COMP_CAL_000343_038,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0021,344,150,"900.952,905.245,1053.232,976.503","977.092,940.874",152.28x71.258,COMP_CAL_000344_001;COMP_CAL_000344_015;COMP_CAL_000344_017;COMP_CAL_000344_021;COMP_CAL_000344_027,COMP_CAL_000344_002;COMP_CAL_000344_003;COMP_CAL_000344_004;COMP_CAL_000344_005;COMP_CAL_000344_006;COMP_CAL_000344_007;COMP_CAL_000344_008;COMP_CAL_000344_009;COMP_CAL_000344_010;COMP_CAL_000344_011;COMP_CAL_000344_012;COMP_CAL_000344_013;COMP_CAL_000344_014;COMP_CAL_000344_016;COMP_CAL_000344_018;COMP_CAL_000344_019;COMP_CAL_000344_020;COMP_CAL_000344_022;COMP_CAL_000344_023;COMP_CAL_000344_024;COMP_CAL_000344_025;COMP_CAL_000344_026;COMP_CAL_000344_028;COMP_CAL_000344_029;COMP_CAL_000344_030;COMP_CAL_000344_031;COMP_CAL_000344_032;COMP_CAL_000344_033;COMP_CAL_000344_034,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0022,345,154,"898.622,899.387,1061.748,980.845","980.185,940.116",163.126x81.458,COMP_CAL_000345_001;COMP_CAL_000345_011;COMP_CAL_000345_017;COMP_CAL_000345_019;COMP_CAL_000345_032;COMP_CAL_000345_033,COMP_CAL_000345_002;COMP_CAL_000345_003;COMP_CAL_000345_004;COMP_CAL_000345_005;COMP_CAL_000345_006;COMP_CAL_000345_007;COMP_CAL_000345_008;COMP_CAL_000345_009;COMP_CAL_000345_010;COMP_CAL_000345_012;COMP_CAL_000345_013;COMP_CAL_000345_014;COMP_CAL_000345_015;COMP_CAL_000345_016;COMP_CAL_000345_018;COMP_CAL_000345_020;COMP_CAL_000345_021;COMP_CAL_000345_022;COMP_CAL_000345_023;COMP_CAL_000345_024;COMP_CAL_000345_025;COMP_CAL_000345_026;COMP_CAL_000345_027;COMP_CAL_000345_028;COMP_CAL_000345_029;COMP_CAL_000345_030;COMP_CAL_000345_031;COMP_CAL_000345_034;COMP_CAL_000345_035;COMP_CAL_000345_036,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0023,346,157,"909.038,900.3,1069.912,980.011","989.475,940.1555",160.874x79.711,COMP_CAL_000346_001;COMP_CAL_000346_004;COMP_CAL_000346_017;COMP_CAL_000346_021;COMP_CAL_000346_024;COMP_CAL_000346_031;COMP_CAL_000346_048;COMP_CAL_000346_049,COMP_CAL_000346_002;COMP_CAL_000346_003;COMP_CAL_000346_005;COMP_CAL_000346_006;COMP_CAL_000346_007;COMP_CAL_000346_008;COMP_CAL_000346_009;COMP_CAL_000346_010;COMP_CAL_000346_011;COMP_CAL_000346_012;COMP_CAL_000346_013;COMP_CAL_000346_014;COMP_CAL_000346_015;COMP_CAL_000346_016;COMP_CAL_000346_018;COMP_CAL_000346_019;COMP_CAL_000346_020;COMP_CAL_000346_022;COMP_CAL_000346_023;COMP_CAL_000346_025;COMP_CAL_000346_026;COMP_CAL_000346_027;COMP_CAL_000346_028;COMP_CAL_000346_029;COMP_CAL_000346_030;COMP_CAL_000346_032;COMP_CAL_000346_033;COMP_CAL_000346_034;COMP_CAL_000346_035;COMP_CAL_000346_036;COMP_CAL_000346_037;COMP_CAL_000346_038;COMP_CAL_000346_039;COMP_CAL_000346_040;COMP_CAL_000346_041;COMP_CAL_000346_042;COMP_CAL_000346_043;COMP_CAL_000346_044;COMP_CAL_000346_045;COMP_CAL_000346_046;COMP_CAL_000346_047;COMP_CAL_000346_050;COMP_CAL_000346_051,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0024,347,159,"912.377,902.361,1079.461,978.543","995.919,940.452",167.084x76.182,COMP_CAL_000347_001;COMP_CAL_000347_003;COMP_CAL_000347_021;COMP_CAL_000347_026;COMP_CAL_000347_027;COMP_CAL_000347_032;COMP_CAL_000347_034,COMP_CAL_000347_002;COMP_CAL_000347_004;COMP_CAL_000347_005;COMP_CAL_000347_006;COMP_CAL_000347_007;COMP_CAL_000347_008;COMP_CAL_000347_009;COMP_CAL_000347_010;COMP_CAL_000347_011;COMP_CAL_000347_012;COMP_CAL_000347_013;COMP_CAL_000347_014;COMP_CAL_000347_015;COMP_CAL_000347_016;COMP_CAL_000347_017;COMP_CAL_000347_018;COMP_CAL_000347_019;COMP_CAL_000347_020;COMP_CAL_000347_022;COMP_CAL_000347_023;COMP_CAL_000347_024;COMP_CAL_000347_025;COMP_CAL_000347_028;COMP_CAL_000347_029;COMP_CAL_000347_030;COMP_CAL_000347_031;COMP_CAL_000347_033,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0025,348,162,"920.85,904.634,1079.65,982.366","1000.25,943.5",158.8x77.732,COMP_CAL_000348_001;COMP_CAL_000348_010;COMP_CAL_000348_021;COMP_CAL_000348_022;COMP_CAL_000348_025;COMP_CAL_000348_031;COMP_CAL_000348_038,COMP_CAL_000348_002;COMP_CAL_000348_003;COMP_CAL_000348_004;COMP_CAL_000348_005;COMP_CAL_000348_006;COMP_CAL_000348_007;COMP_CAL_000348_008;COMP_CAL_000348_009;COMP_CAL_000348_011;COMP_CAL_000348_012;COMP_CAL_000348_013;COMP_CAL_000348_014;COMP_CAL_000348_015;COMP_CAL_000348_016;COMP_CAL_000348_017;COMP_CAL_000348_018;COMP_CAL_000348_019;COMP_CAL_000348_020;COMP_CAL_000348_023;COMP_CAL_000348_024;COMP_CAL_000348_026;COMP_CAL_000348_027;COMP_CAL_000348_028;COMP_CAL_000348_029;COMP_CAL_000348_030;COMP_CAL_000348_032;COMP_CAL_000348_033;COMP_CAL_000348_034;COMP_CAL_000348_035;COMP_CAL_000348_036;COMP_CAL_000348_037;COMP_CAL_000348_039,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0026,349,167,"919.516,906.822,1094.21,981.726","1006.863,944.274",174.694x74.904,COMP_CAL_000349_001;COMP_CAL_000349_028;COMP_CAL_000349_030;COMP_CAL_000349_037;COMP_CAL_000349_038,COMP_CAL_000349_002;COMP_CAL_000349_003;COMP_CAL_000349_004;COMP_CAL_000349_005;COMP_CAL_000349_006;COMP_CAL_000349_007;COMP_CAL_000349_008;COMP_CAL_000349_009;COMP_CAL_000349_010;COMP_CAL_000349_011;COMP_CAL_000349_012;COMP_CAL_000349_013;COMP_CAL_000349_014;COMP_CAL_000349_015;COMP_CAL_000349_016;COMP_CAL_000349_017;COMP_CAL_000349_018;COMP_CAL_000349_019;COMP_CAL_000349_020;COMP_CAL_000349_021;COMP_CAL_000349_022;COMP_CAL_000349_023;COMP_CAL_000349_024;COMP_CAL_000349_025;COMP_CAL_000349_026;COMP_CAL_000349_027;COMP_CAL_000349_029;COMP_CAL_000349_031;COMP_CAL_000349_032;COMP_CAL_000349_033;COMP_CAL_000349_034;COMP_CAL_000349_035;COMP_CAL_000349_036;COMP_CAL_000349_039;COMP_CAL_000349_040,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0027,350,170,"932.018,903.75,1105.768,977.906","1018.893,940.828",173.75x74.156,COMP_CAL_000350_001;COMP_CAL_000350_003;COMP_CAL_000350_022,COMP_CAL_000350_002;COMP_CAL_000350_004;COMP_CAL_000350_005;COMP_CAL_000350_006;COMP_CAL_000350_007;COMP_CAL_000350_008;COMP_CAL_000350_009;COMP_CAL_000350_010;COMP_CAL_000350_011;COMP_CAL_000350_012;COMP_CAL_000350_013;COMP_CAL_000350_014;COMP_CAL_000350_015;COMP_CAL_000350_016;COMP_CAL_000350_017;COMP_CAL_000350_018;COMP_CAL_000350_019;COMP_CAL_000350_020;COMP_CAL_000350_021;COMP_CAL_000350_023;COMP_CAL_000350_024;COMP_CAL_000350_025;COMP_CAL_000350_026;COMP_CAL_000350_027;COMP_CAL_000350_028;COMP_CAL_000350_029;COMP_CAL_000350_030;COMP_CAL_000350_031;COMP_CAL_000350_032;COMP_CAL_000350_033;COMP_CAL_000350_034;COMP_CAL_000350_035;COMP_CAL_000350_036;COMP_CAL_000350_037;COMP_CAL_000350_038;COMP_CAL_000350_039;COMP_CAL_000350_040;COMP_CAL_000350_041;COMP_CAL_000350_042;COMP_CAL_000350_043;COMP_CAL_000350_044,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0028,351,173,"931.916,903.288,1103.142,979.701","1017.529,941.4945",171.226x76.413,COMP_CAL_000351_001;COMP_CAL_000351_012;COMP_CAL_000351_014;COMP_CAL_000351_023;COMP_CAL_000351_026;COMP_CAL_000351_032;COMP_CAL_000351_033,COMP_CAL_000351_002;COMP_CAL_000351_003;COMP_CAL_000351_004;COMP_CAL_000351_005;COMP_CAL_000351_006;COMP_CAL_000351_007;COMP_CAL_000351_008;COMP_CAL_000351_009;COMP_CAL_000351_010;COMP_CAL_000351_011;COMP_CAL_000351_013;COMP_CAL_000351_015;COMP_CAL_000351_016;COMP_CAL_000351_017;COMP_CAL_000351_018;COMP_CAL_000351_019;COMP_CAL_000351_020;COMP_CAL_000351_021;COMP_CAL_000351_022;COMP_CAL_000351_024;COMP_CAL_000351_025;COMP_CAL_000351_027;COMP_CAL_000351_028;COMP_CAL_000351_029;COMP_CAL_000351_030;COMP_CAL_000351_031;COMP_CAL_000351_034;COMP_CAL_000351_035;COMP_CAL_000351_036,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
CP_GM017_0010_0029,352,176,"944.803,909.083,1109.912,984.083","1027.3575,946.583",165.109x75,COMP_CAL_000352_001;COMP_CAL_000352_003;COMP_CAL_000352_016;COMP_CAL_000352_018;COMP_CAL_000352_021;COMP_CAL_000352_024;COMP_CAL_000352_033,COMP_CAL_000352_002;COMP_CAL_000352_004;COMP_CAL_000352_005;COMP_CAL_000352_006;COMP_CAL_000352_007;COMP_CAL_000352_008;COMP_CAL_000352_009;COMP_CAL_000352_010;COMP_CAL_000352_011;COMP_CAL_000352_012;COMP_CAL_000352_013;COMP_CAL_000352_014;COMP_CAL_000352_015;COMP_CAL_000352_017;COMP_CAL_000352_019;COMP_CAL_000352_020;COMP_CAL_000352_022;COMP_CAL_000352_023;COMP_CAL_000352_025;COMP_CAL_000352_026;COMP_CAL_000352_027;COMP_CAL_000352_028;COMP_CAL_000352_029;COMP_CAL_000352_030;COMP_CAL_000352_031;COMP_CAL_000352_032;COMP_CAL_000352_034;COMP_CAL_000352_035;COMP_CAL_000352_036,visibility=visible_main_observation;uncertainty=moderate_uncertainty;partial=none;boundary=none;multi=single_observation,reports\oty2\samples\oty2_wgv3_5a_paired_annotations_20260710.csv; gt-assisted calibration only,high_confidence_pair
