atom_id,sar_frame,source_type,selected_source_frame,support_pixel_count,support_bbox,pixel_centroid_x,pixel_centroid_y,integrated_energy,mean_energy,peak_energy,relative_energy_within_shell,azimuth_deg,radial_px,axis1_px,axis2_px,orientation_deg,shell_boundary_contact,extraction_threshold,generation_provenance
R21A00024,32,historical_source_shell,31,59,"1090,1135,1114,1147",1103,1141.254237,4675,79.237288,109,0.003486,-15.071954,196.122375,13.963985,10.350243,7.087632,true,71,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00025,32,historical_source_shell,31,38,"1048,1225,1060,1243",1052.921053,1231.447368,3264,85.894737,136,0.002434,-45.558071,141.629181,13.672646,6.636713,-62.404427,false,71,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00026,32,historical_source_shell,31,37,"1072,1219,1090,1237",1078.864865,1227.837838,2865,77.432432,87,0.002137,-36.174759,127.335846,13.668997,12.091466,65.798486,false,71,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00027,32,historical_source_shell,31,23,"1048,1165,1072,1177",1060.347826,1171.73913,1765,76.73913,94,0.001316,-30.505907,184.498245,24.228162,8.965465,-12.74674,false,71,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00028,34,historical_source_shell,31,990,"1108,1135,1193,1267",1140.371717,1200.880808,80414,81.226263,199,0.064982,-6.550002,131.338181,131.334419,61.586185,-83.293626,true,65,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00029,34,historical_source_shell,31,97,"1036,1219,1072,1243",1055.845361,1231.164948,7373,76.010309,122,0.005958,-44.540997,139.852463,34.850846,13.799471,5.113141,false,65,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00030,34,historical_source_shell,31,79,"952,1153,988,1171",966.658228,1161.189873,5489,69.481013,82,0.004436,-47.855221,252.654297,30.040183,7.668286,-11.64262,true,65,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00031,34,historical_source_shell,31,64,"1102,1135,1120,1147",1110.5,1141.671875,4930,77.03125,121,0.003984,-12.962404,193.892456,12.736732,8.892315,23.187417,true,65,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00032,34,historical_source_shell,31,53,"1078,1219,1102,1237",1087.490566,1228.698113,3890,73.396226,102,0.003143,-33.135853,121.739159,14.705697,12.885031,-52.077544,false,65,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00033,34,historical_source_shell,31,55,"1072,1165,1102,1189",1088.654545,1181.327273,3865,70.272727,82,0.003123,-23.683619,163.080643,30.951319,15.788875,-59.803293,false,65,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00034,34,historical_source_shell,31,35,"1018,1141,1042,1159",1027.571429,1150.428571,2692,76.914286,94,0.002175,-35.056797,220.150299,18.272542,3.03978,-32.295873,false,65,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00035,39,historical_source_shell,31,913,"1108,1165,1192,1276",1155.596933,1216.406353,78817,86.327492,224,0.066365,0.785475,115.250748,78.72891,62.431459,-83.894285,true,66,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00036,39,historical_source_shell,31,126,"1042,1135,1084,1159",1066.02381,1140.690476,11339,89.992063,190,0.009548,-24.854139,209.479889,35.09073,7.154184,-24.347118,true,66,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00037,39,historical_source_shell,31,125,"1132,1135,1168,1147",1148.616,1137.912,10575,84.6,121,0.008904,-1.593479,192.86499,25.403533,9.340987,5.907263,true,66,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00038,39,historical_source_shell,31,75,"982,1141,1030,1153",1014.64,1143.346667,5524,73.653333,91,0.004651,-36.62212,233.50563,33.902551,5.10157,4.544447,false,66,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00039,39,historical_source_shell,31,50,"1084,1213,1102,1231",1093.4,1223.74,3867,77.34,105,0.003256,-29.555885,122.881126,11.761222,8.925918,-23.088711,false,66,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00040,39,historical_source_shell,31,37,"1048,1207,1078,1225",1066.648649,1216.864865,2728,73.72973,93,0.002297,-37.440998,143.503021,34.672359,10.281996,18.034592,false,66,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00041,39,historical_source_shell,31,32,"1084,1171,1114,1183",1097.6875,1178.46875,2297,71.78125,81,0.001934,-20.275791,162.312683,25.678043,4.147607,9.604987,false,66,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00042,40,historical_source_shell,31,840,"1114,1171,1193,1261",1156.904762,1214.108333,67898,80.830952,202,0.059437,1.414674,117.822426,75.143221,69.924391,-80.040981,true,62,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00043,40,historical_source_shell,31,247,"994,1135,1090,1159",1050.963563,1141.773279,19354,78.356275,188,0.016942,-28.327011,216.237823,99.880356,14.551645,-2.211964,true,62,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00044,40,historical_source_shell,31,143,"1138,1135,1168,1153",1152.86014,1138.20979,12010,83.986014,136,0.010513,-0.330899,192.509628,27.12021,10.407446,7.562477,true,62,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00045,40,historical_source_shell,31,112,"1054,1207,1108,1237",1084.375,1220.3125,8071,72.0625,109,0.007065,-31.849375,130.85556,65.63702,9.620156,17.04903,false,62,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00046,40,historical_source_shell,31,31,"1090,1171,1114,1183",1103.935484,1178.354839,2157,69.580645,88,0.001888,-18.169365,160.342804,23.814137,3.838792,14.099857,false,62,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00047,46,historical_source_shell,31,1425,"1030,1135,1193,1255",1138.647719,1185.229474,126393,88.696842,204,0.096487,-4.486846,149.949615,178.896558,110.58542,43.027371,true,71,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00048,52,historical_source_shell,31,925,"1024,1135,1193,1189",1121.464865,1153.669189,72156,78.006486,194,0.059423,-9.619669,184.085403,163.48057,53.339773,6.485787,true,64,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00049,52,historical_source_shell,31,443,"1114,1213,1180,1243",1147.799097,1224.862302,35433,79.984199,144,0.02918,-3.333334,106.725113,52.737466,19.15118,-2.723946,false,64,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00050,52,historical_source_shell,31,41,"1180,1135,1193,1147",1189.121951,1137.95122,3388,82.634146,122,0.00279,10.334173,195.837265,9.92933,7.150208,43.432948,true,64,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00051,52,historical_source_shell,31,15,"1144,1201,1168,1207",1155.333333,1201.933333,1152,76.8,94,0.000949,0.590373,128.718185,14.108037,3.044346,-4.039025,false,64,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00052,60,historical_source_shell,31,915,"1060,1135,1193,1195",1138.340984,1151.236066,65376,71.44918,180,0.060066,-4.659237,182.241089,115.220986,41.57348,6.795116,true,57,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00053,60,historical_source_shell,31,423,"1126,1207,1186,1243",1156.489362,1225.321513,29617,70.016548,118,0.027212,1.502496,106.057022,51.676208,24.909598,15.573128,false,57,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00054,60,historical_source_shell,31,14,"1162,1249,1192,1267",1182.285714,1258.071429,825,58.928571,64,0.000758,21.31352,78.187576,30.16308,19.297316,21.827265,true,57,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00055,77,historical_source_shell,77,824,"1146,1133,1266,1163",1192.06432,1147.171117,63874,77.51699,189,0.05129,11.443915,189.417587,114.607794,21.976973,-1.304344,true,61,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00056,77,historical_source_shell,77,485,"1146,1187,1248,1271",1205.820619,1223.750515,33841,69.775258,137,0.027174,25.39677,120.104836,82.733254,65.987544,-32.483907,true,61,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00057,77,historical_source_shell,77,67,"1224,1169,1254,1187",1237.208955,1179.567164,4946,73.820896,95,0.003972,28.813551,172.573196,30.150236,6.923754,4.585429,false,61,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00058,77,historical_source_shell,77,60,"1260,1151,1284,1187",1269.25,1172.583333,3894,64.9,81,0.003127,36.139328,195.664978,32.665078,16.345788,89.917437,false,61,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00059,77,historical_source_shell,77,47,"1284,1133,1302,1145",1292.276596,1139,3568,75.914894,101,0.002865,35.817703,236.303726,11.80318,7.526728,35.240717,true,61,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00060,77,historical_source_shell,77,22,"1296,1175,1332,1199",1313.954545,1186.136364,1416,64.363636,69,0.001137,47.872494,215.644516,41.042512,20.631096,-10.011619,false,61,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00061,78,historical_source_shell,77,990,"1146,1133,1284,1187",1202,1150.810101,78357,79.148485,181,0.060961,14.727255,189.337646,139.102301,39.41009,8.700576,true,64,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00062,78,historical_source_shell,77,451,"1170,1187,1248,1271",1211.552106,1221.83592,32643,72.379157,130,0.025396,27.744387,124.196663,70.291026,63.844418,2.923683,false,64,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00063,78,historical_source_shell,77,61,"1224,1175,1260,1187",1239.065574,1179.672131,4516,74.032787,100,0.003513,29.377581,173.35289,26.324315,4.57659,6.147288,false,64,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00064,78,historical_source_shell,77,53,"1290,1133,1308,1151",1296.169811,1138.867925,4062,76.641509,105,0.00316,36.557293,238.720642,15.202547,7.813508,38.016982,true,64,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00065,78,historical_source_shell,77,19,"1302,1175,1326,1199",1313.526316,1188,1263,66.473684,73,0.000983,48.189892,214.073853,28.774665,11.97248,27.182917,false,64,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00066,78,historical_source_shell,77,18,"1146,1247,1164,1271",1153.388889,1262.388889,1179,65.5,69,0.000917,-0.550793,68.445549,23.168595,16.640779,-11.001321,true,64,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00067,78,historical_source_shell,77,15,"1242,1193,1254,1205",1247.8,1201.533333,1096,73.066667,95,0.000853,35.996021,159.60466,18.001197,5.513168,16.667739,false,64,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00068,79,historical_source_shell,77,971,"1146,1133,1290,1187",1203.553038,1150.196704,77811,80.134912,192,0.059797,15.08031,190.403015,141.297208,37.675408,7.542997,true,65,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00069,79,historical_source_shell,77,372,"1194,1187,1254,1241",1217.922043,1217.502688,27683,74.416667,136,0.021274,29.452524,131.259857,76.456345,34.525365,30.156289,false,65,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00070,79,historical_source_shell,77,49,"1290,1133,1308,1145",1300.285714,1138.755102,3678,75.061224,112,0.002827,37.327267,241.281662,14.585932,7.806259,43.556489,true,65,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00071,79,historical_source_shell,77,42,"1230,1175,1260,1187",1245.547619,1179.809524,3052,72.666667,83,0.002345,31.230879,176.508743,27.187593,3.889705,5.606155,false,65,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00072,79,historical_source_shell,77,36,"1170,1247,1206,1271",1187.944444,1259.166667,2421,67.25,73,0.001861,25.351084,79.640411,38.081834,20.357034,18.930592,false,65,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00073,79,historical_source_shell,77,14,"1242,1199,1260,1205",1251.428571,1202.214286,1003,71.642857,87,0.000771,37.177792,161.224899,19.183462,3.966238,14.347452,false,65,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00074,79,historical_source_shell,77,15,"1146,1247,1164,1271",1153.4,1262.533333,997,66.466667,69,0.000766,-0.646375,68.197914,23.662907,11.681086,-51.720602,true,65,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00075,80,historical_source_shell,77,828,"1146,1133,1266,1163",1197.004831,1147.59058,72171,87.163043,216,0.052257,12.841667,190.496078,126.944503,19.915633,-1.654503,true,69,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00076,80,historical_source_shell,77,418,"1200,1181,1260,1241",1222.5311,1217.351675,33563,80.294258,149,0.024302,31.129303,133.532059,71.705092,44.54725,28.1072,false,69,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00077,80,historical_source_shell,77,63,"1146,1241,1212,1271",1177.666667,1259.730159,4544,72.126984,80,0.00329,17.513681,76.612564,71.598193,23.653388,-4.233036,true,69,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00078,80,historical_source_shell,77,53,"1272,1163,1290,1187",1279.698113,1177.962264,3955,74.622642,87,0.002864,39.484524,197.793671,24.285835,16.735393,-88.256985,false,69,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00079,80,historical_source_shell,77,47,"1296,1133,1314,1145",1303.829787,1138.787234,3833,81.553191,114,0.002775,37.99596,243.424759,15.543756,5.137642,45.61279,true,69,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00080,80,historical_source_shell,77,44,"1236,1175,1266,1187",1249.295455,1179.840909,3380,76.818182,91,0.002447,32.26717,178.45192,26.772369,4.754579,6.665304,false,69,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00081,80,historical_source_shell,77,14,"1308,1175,1326,1199",1315.785714,1183.071429,1009,72.071429,76,0.000731,47.63892,219.088943,32.297026,10.856754,47.693326,false,69,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00082,81,historical_source_shell,77,920,"1146,1133,1296,1187",1205.892391,1150.029348,77320,84.043478,223,0.05706,15.613058,191.582748,151.195885,35.698671,5.466114,true,68,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00083,81,historical_source_shell,77,420,"1200,1181,1260,1241",1225.611905,1217.509524,33254,79.17619,158,0.024541,32.292847,135.033524,72.643783,39.84224,29.897677,false,68,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00084,81,historical_source_shell,77,42,"1302,1133,1314,1145",1306.761905,1138.619048,3391,80.738095,103,0.002502,38.5107,245.361542,12.527746,6.163741,46.531327,true,68,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00085,81,historical_source_shell,77,41,"1176,1241,1212,1271",1189.268293,1260.634146,2925,71.341463,81,0.002159,26.687521,78.817368,35.501767,19.704033,21.268689,false,68,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00086,81,historical_source_shell,77,23,"1242,1175,1272,1187",1256.695652,1180.26087,1744,75.826087,90,0.001287,34.301067,182.17247,28.81719,2.887279,5.654102,false,68,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00087,212,historical_source_shell,212,1530,"957,1126,1132,1240",1053.580392,1176.91634,142907,93.403268,164,0.093778,-33.203392,186.556519,134.449757,118.397219,-18.227222,true,82,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00088,212,historical_source_shell,212,37,"1005,1210,1023,1240",1011.027027,1225.189189,3227,87.216216,98,0.002118,-53.62801,177.815536,34.27508,18.515953,-74.387454,false,82,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00089,213,historical_source_shell,212,1544,"981,1126,1132,1240",1058.150259,1177.564119,144615,93.662565,159,0.09444,-32.260822,183.346771,128.508181,118.726093,-51.175049,true,82,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00090,213,historical_source_shell,212,42,"963,1150,987,1180",974.690476,1166.119048,3714,88.428571,103,0.002425,-47.479851,243.447662,32.292737,19.326742,-62.088145,false,82,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00091,213,historical_source_shell,212,41,"1005,1210,1023,1246",1013.487805,1225.536585,3560,86.829268,103,0.002325,-53.255222,175.678467,38.172054,16.464201,-73.169737,false,82,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00092,216,historical_source_shell,212,1513,"975,1126,1131,1240",1063.343688,1178.343688,142851,94.41573,149,0.093569,-30.891197,179.977615,127.899768,119.781743,-37.756016,true,83,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00093,216,historical_source_shell,212,39,"1017,1216,1035,1240",1024.948718,1227.641026,3533,90.589744,102,0.002314,-51.42939,165.259766,30.506994,13.36948,-59.450196,false,83,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00094,220,historical_source_shell,212,1373,"1011,1126,1132,1240",1077.924253,1173.739257,128959,93.924982,154,0.087944,-26.111036,176.784637,125.092883,111.165525,-74.814183,true,82,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00095,220,historical_source_shell,212,39,"993,1156,1017,1174",1007.025641,1161.461538,3352,85.948718,94,0.002286,-40.979259,224.134872,22.844031,12.367589,-14.431697,false,82,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00096,224,historical_source_shell,212,1536,"1005,1126,1132,1234",1081.619141,1174.722005,149706,97.464844,171,0.098039,-25.034845,174.493286,126.777071,118.571746,-82.201452,true,86,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00097,224,historical_source_shell,212,88,"1041,1210,1065,1240",1054.5,1222.488636,8911,101.261364,146,0.005836,-42.647579,147.156647,33.269104,16.968301,-53.030954,false,86,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00098,224,historical_source_shell,212,30,"1011,1228,1029,1240",1019.133333,1233.5,2834,94.466667,110,0.001856,-54.234138,166.208832,17.491136,8.352599,4.841551,false,86,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00099,227,historical_source_shell,212,1475,"1017,1126,1132,1234",1088.712542,1176,159458,108.107119,203,0.097524,-22.92383,170.150757,129.967732,113.230229,70.763008,true,94,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00100,227,historical_source_shell,212,106,"1047,1204,1077,1240",1064.349057,1222.235849,11700,110.377358,149,0.007156,-39.622669,140.893127,34.142149,16.868668,-48.24216,false,94,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00101,227,historical_source_shell,212,17,"1023,1228,1041,1240",1032.352941,1235.764706,1780,104.705882,121,0.001089,-52.057796,154.251495,15.096859,5.38758,32.695278,false,94,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00102,228,historical_source_shell,212,1481,"1023,1126,1132,1240",1087.696151,1176.445645,146370,98.83187,192,0.09791,-23.371838,170.321304,129.449601,115.962912,81.843264,true,86,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00103,228,historical_source_shell,212,120,"1053,1204,1083,1240",1066.875,1223.183333,12024,100.2,146,0.008043,-39.078194,138.571457,34.913373,17.258095,-50.805628,false,86,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00104,228,historical_source_shell,212,17,"1023,1228,1041,1240",1034.882353,1235.235294,1686,99.176471,121,0.001128,-51.311115,152.600754,15.852917,6.596102,21.352862,false,86,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00105,238,historical_source_shell,238,1228,"1051,1135,1177,1255",1121.425896,1194.355049,129784,105.687296,251,0.081546,-13.069805,142.179031,142.248431,98.627538,69.561556,true,88,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00106,238,historical_source_shell,238,22,"1063,1231,1075,1243",1065.954545,1235.363636,2096,95.272727,111,0.001317,-42.762608,129.707642,15.109116,4.970072,60.56462,false,88,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00107,239,historical_source_shell,238,1260,"1051,1135,1177,1255",1123.707143,1194.21746,139731,110.897619,249,0.084806,-12.26472,141.511475,139.260414,91.299139,73.754104,true,91,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00108,239,historical_source_shell,238,111,"1087,1201,1111,1237",1100.576577,1224.081081,11577,104.297297,138,0.007026,-26.779709,119.482704,39.762825,15.713012,-57.461072,false,91,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
R21A00109,239,historical_source_shell,238,16,"1063,1231,1075,1243",1069.4375,1236.0625,1644,102.75,124,0.000998,-41.816086,126.844162,11.63297,4.382619,57.208365,false,91,recomputed_from_sar_gray_and_causal_source_shell_no_r1_r2_atoms
