event_id,event_type,from_frame,to_frame,from_component_frame_id,to_component_frame_id,motion_compensated_distance_m,body_relative_displacement_m,energy_fraction_change,association_basis,association_scope
315_317_COMPONENT_MERGE_41_3,COMPONENT_MERGE,315,317,SAR000315_C03,SAR000317_C02,0.261668,0.261668,0.002513,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_MERGE_41_4,COMPONENT_MERGE,315,317,SAR000315_C04,SAR000317_C03,0.130604,0.130604,0.002069,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_MERGE_41_9,COMPONENT_MERGE,315,317,SAR000315_C09,SAR000317_C03,0.474696,0.474696,0.015577,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_MERGE_41_6,COMPONENT_MERGE,315,317,SAR000315_C06,SAR000317_C03,0.547908,0.547908,0.010132,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_MERGE_41_7,COMPONENT_MERGE,315,317,SAR000315_C07,SAR000317_C04,0.205353,0.205353,0.015028,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_MERGE_41_8,COMPONENT_MERGE,315,317,SAR000315_C08,SAR000317_C04,0.379448,0.379448,0.016869,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_MERGE_41_6,COMPONENT_MERGE,315,317,SAR000315_C06,SAR000317_C05,0.261145,0.261145,0.003928,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_MERGE_41_3,COMPONENT_MERGE,315,317,SAR000315_C03,SAR000317_C05,0.532383,0.532383,-0.005069,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_MERGE_41_9,COMPONENT_MERGE,315,317,SAR000315_C09,SAR000317_C06,0.251745,0.251745,0.004682,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_MERGE_41_5,COMPONENT_MERGE,315,317,SAR000315_C05,SAR000317_C06,0.292302,0.292302,-0.00403,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_MERGE_41_4,COMPONENT_MERGE,315,317,SAR000315_C04,SAR000317_C06,0.594472,0.594472,-0.008826,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_MERGE_41_4,COMPONENT_MERGE,315,317,SAR000315_C04,SAR000317_C07,0.186372,0.186372,-0.008115,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_MERGE_41_9,COMPONENT_MERGE,315,317,SAR000315_C09,SAR000317_C07,0.231819,0.231819,0.005393,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_MERGE_41_5,COMPONENT_MERGE,315,317,SAR000315_C05,SAR000317_C07,0.739399,0.739399,-0.003319,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_MERGE_41_3,COMPONENT_MERGE,315,317,SAR000315_C03,SAR000317_C08,0.203501,0.203501,-0.014518,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_MERGE_41_2,COMPONENT_MERGE,315,317,SAR000315_C02,SAR000317_C08,0.434392,0.434392,-0.021985,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_MERGE_41_6,COMPONENT_MERGE,315,317,SAR000315_C06,SAR000317_C08,0.648112,0.648112,-0.005521,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_MERGE_41_5,COMPONENT_MERGE,315,317,SAR000315_C05,SAR000317_C09,0.07057,0.07057,-0.009433,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_MERGE_41_9,COMPONENT_MERGE,315,317,SAR000315_C09,SAR000317_C09,0.592208,0.592208,-0.000721,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_MERGE_41_6,COMPONENT_MERGE,315,317,SAR000315_C06,SAR000317_C10,0.118361,0.118361,-0.006944,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_MERGE_41_3,COMPONENT_MERGE,315,317,SAR000315_C03,SAR000317_C10,0.706001,0.706001,-0.015941,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_MERGE_41_4,COMPONENT_MERGE,315,317,SAR000315_C04,SAR000317_C10,0.707371,0.707371,-0.015007,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
315_317_COMPONENT_APPEARED_34_11,COMPONENT_APPEARED,315,317,,SAR000317_C11,0,0,0.00627,no_previous_component_within_0p75m,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_SPLIT_41_1,COMPONENT_SPLIT,317,319,SAR000317_C01,SAR000319_C01,0.323484,0.323484,0.090167,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_SPLIT_41_1,COMPONENT_SPLIT,317,319,SAR000317_C01,SAR000319_C03,0.622137,0.622137,-0.17158,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_CONTINUED_58_2,COMPONENT_CONTINUED,317,319,SAR000317_C02,SAR000319_C01,0.648963,0.648963,0.254699,nearest_body_relative_component_with_energy_fraction_check,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_SPLIT_41_3,COMPONENT_SPLIT,317,319,SAR000317_C03,SAR000319_C04,0.292382,0.292382,-0.005952,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_SPLIT_41_3,COMPONENT_SPLIT,317,319,SAR000317_C03,SAR000319_C02,0.587528,0.587528,0.016031,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_SPLIT_41_4,COMPONENT_SPLIT,317,319,SAR000317_C04,SAR000319_C03,0.15815,0.15815,-0.005536,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_SPLIT_41_4,COMPONENT_SPLIT,317,319,SAR000317_C04,SAR000319_C06,0.617152,0.617152,-0.017389,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_SPLIT_41_4,COMPONENT_SPLIT,317,319,SAR000317_C04,SAR000319_C07,0.650526,0.650526,-0.023175,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_CONTINUED_58_5,COMPONENT_CONTINUED,317,319,SAR000317_C05,SAR000319_C02,0.225772,0.225772,0.022235,nearest_body_relative_component_with_energy_fraction_check,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_SPLIT_41_6,COMPONENT_SPLIT,317,319,SAR000317_C06,SAR000319_C05,0.165736,0.165736,-0.002759,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_SPLIT_41_6,COMPONENT_SPLIT,317,319,SAR000317_C06,SAR000319_C04,0.42879,0.42879,0.004943,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_SPLIT_41_6,COMPONENT_SPLIT,317,319,SAR000317_C06,SAR000319_C08,0.514418,0.514418,-0.012414,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_SPLIT_41_7,COMPONENT_SPLIT,317,319,SAR000317_C07,SAR000319_C04,0.054632,0.054632,0.004232,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_SPLIT_41_7,COMPONENT_SPLIT,317,319,SAR000317_C07,SAR000319_C05,0.615175,0.615175,-0.00347,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_CONTINUED_58_8,COMPONENT_CONTINUED,317,319,SAR000317_C08,SAR000319_C02,0.615159,0.615159,0.031684,nearest_body_relative_component_with_energy_fraction_check,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_SPLIT_41_9,COMPONENT_SPLIT,317,319,SAR000317_C09,SAR000319_C08,0.1648,0.1648,-0.007011,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_SPLIT_41_9,COMPONENT_SPLIT,317,319,SAR000317_C09,SAR000319_C05,0.198847,0.198847,0.002644,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_CONTINUED_58_10,COMPONENT_CONTINUED,317,319,SAR000317_C10,SAR000319_C02,0.138116,0.138116,0.033107,nearest_body_relative_component_with_energy_fraction_check,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_SPLIT_41_11,COMPONENT_SPLIT,317,319,SAR000317_C11,SAR000319_C06,0.155863,0.155863,0.003244,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_SPLIT_41_11,COMPONENT_SPLIT,317,319,SAR000317_C11,SAR000319_C07,0.455548,0.455548,-0.002542,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_MERGE_41_1,COMPONENT_MERGE,317,319,SAR000317_C01,SAR000319_C01,0.323484,0.323484,0.090167,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_MERGE_41_2,COMPONENT_MERGE,317,319,SAR000317_C02,SAR000319_C01,0.648963,0.648963,0.254699,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_MERGE_41_10,COMPONENT_MERGE,317,319,SAR000317_C10,SAR000319_C02,0.138116,0.138116,0.033107,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_MERGE_41_5,COMPONENT_MERGE,317,319,SAR000317_C05,SAR000319_C02,0.225772,0.225772,0.022235,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_MERGE_41_3,COMPONENT_MERGE,317,319,SAR000317_C03,SAR000319_C02,0.587528,0.587528,0.016031,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_MERGE_41_4,COMPONENT_MERGE,317,319,SAR000317_C04,SAR000319_C03,0.15815,0.15815,-0.005536,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_MERGE_41_1,COMPONENT_MERGE,317,319,SAR000317_C01,SAR000319_C03,0.622137,0.622137,-0.17158,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_MERGE_41_7,COMPONENT_MERGE,317,319,SAR000317_C07,SAR000319_C04,0.054632,0.054632,0.004232,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_MERGE_41_3,COMPONENT_MERGE,317,319,SAR000317_C03,SAR000319_C04,0.292382,0.292382,-0.005952,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_MERGE_41_6,COMPONENT_MERGE,317,319,SAR000317_C06,SAR000319_C04,0.42879,0.42879,0.004943,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_MERGE_41_6,COMPONENT_MERGE,317,319,SAR000317_C06,SAR000319_C05,0.165736,0.165736,-0.002759,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_MERGE_41_9,COMPONENT_MERGE,317,319,SAR000317_C09,SAR000319_C05,0.198847,0.198847,0.002644,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_MERGE_41_7,COMPONENT_MERGE,317,319,SAR000317_C07,SAR000319_C05,0.615175,0.615175,-0.00347,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_MERGE_41_11,COMPONENT_MERGE,317,319,SAR000317_C11,SAR000319_C06,0.155863,0.155863,0.003244,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_MERGE_41_4,COMPONENT_MERGE,317,319,SAR000317_C04,SAR000319_C06,0.617152,0.617152,-0.017389,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_MERGE_41_11,COMPONENT_MERGE,317,319,SAR000317_C11,SAR000319_C07,0.455548,0.455548,-0.002542,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_MERGE_41_4,COMPONENT_MERGE,317,319,SAR000317_C04,SAR000319_C07,0.650526,0.650526,-0.023175,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_MERGE_41_9,COMPONENT_MERGE,317,319,SAR000317_C09,SAR000319_C08,0.1648,0.1648,-0.007011,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
317_319_COMPONENT_MERGE_41_6,COMPONENT_MERGE,317,319,SAR000317_C06,SAR000319_C08,0.514418,0.514418,-0.012414,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_SPLIT_41_1,COMPONENT_SPLIT,319,321,SAR000319_C01,SAR000321_C01,0.205805,0.205805,-0.075219,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_SPLIT_41_1,COMPONENT_SPLIT,319,321,SAR000319_C01,SAR000321_C10,0.714707,0.714707,-0.277895,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_SPLIT_41_2,COMPONENT_SPLIT,319,321,SAR000319_C02,SAR000321_C02,0.144459,0.144459,0.001281,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_SPLIT_41_2,COMPONENT_SPLIT,319,321,SAR000319_C02,SAR000321_C05,0.650007,0.650007,-0.026042,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_SPLIT_41_2,COMPONENT_SPLIT,319,321,SAR000319_C02,SAR000321_C07,0.708852,0.708852,-0.03549,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_SPLIT_41_3,COMPONENT_SPLIT,319,321,SAR000319_C03,SAR000321_C04,0.131859,0.131859,0.002136,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_SPLIT_41_3,COMPONENT_SPLIT,319,321,SAR000319_C03,SAR000321_C01,0.671834,0.671834,0.186528,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_SPLIT_41_4,COMPONENT_SPLIT,319,321,SAR000319_C04,SAR000321_C08,0.171008,0.171008,-0.011448,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_SPLIT_41_4,COMPONENT_SPLIT,319,321,SAR000319_C04,SAR000321_C05,0.246249,0.246249,-0.004059,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_SPLIT_41_4,COMPONENT_SPLIT,319,321,SAR000319_C04,SAR000321_C03,0.686328,0.686328,0.0149,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_SPLIT_41_5,COMPONENT_SPLIT,319,321,SAR000319_C05,SAR000321_C03,0.098906,0.098906,0.022602,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_SPLIT_41_5,COMPONENT_SPLIT,319,321,SAR000319_C05,SAR000321_C08,0.422806,0.422806,-0.003746,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_SPLIT_41_6,COMPONENT_SPLIT,319,321,SAR000319_C06,SAR000321_C09,0.158505,0.158505,-0.003383,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_SPLIT_41_6,COMPONENT_SPLIT,319,321,SAR000319_C06,SAR000321_C04,0.545532,0.545532,0.013989,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_SPLIT_41_7,COMPONENT_SPLIT,319,321,SAR000319_C07,SAR000321_C09,0.320564,0.320564,0.002403,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_SPLIT_41_7,COMPONENT_SPLIT,319,321,SAR000319_C07,SAR000321_C04,0.494101,0.494101,0.019775,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_CONTINUED_58_8,COMPONENT_CONTINUED,319,321,SAR000319_C08,SAR000321_C03,0.260084,0.260084,0.032257,nearest_body_relative_component_with_energy_fraction_check,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_MERGE_41_1,COMPONENT_MERGE,319,321,SAR000319_C01,SAR000321_C01,0.205805,0.205805,-0.075219,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_MERGE_41_3,COMPONENT_MERGE,319,321,SAR000319_C03,SAR000321_C01,0.671834,0.671834,0.186528,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_MERGE_41_5,COMPONENT_MERGE,319,321,SAR000319_C05,SAR000321_C03,0.098906,0.098906,0.022602,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_MERGE_41_8,COMPONENT_MERGE,319,321,SAR000319_C08,SAR000321_C03,0.260084,0.260084,0.032257,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_MERGE_41_4,COMPONENT_MERGE,319,321,SAR000319_C04,SAR000321_C03,0.686328,0.686328,0.0149,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_MERGE_41_3,COMPONENT_MERGE,319,321,SAR000319_C03,SAR000321_C04,0.131859,0.131859,0.002136,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_MERGE_41_7,COMPONENT_MERGE,319,321,SAR000319_C07,SAR000321_C04,0.494101,0.494101,0.019775,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_MERGE_41_6,COMPONENT_MERGE,319,321,SAR000319_C06,SAR000321_C04,0.545532,0.545532,0.013989,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_MERGE_41_4,COMPONENT_MERGE,319,321,SAR000319_C04,SAR000321_C05,0.246249,0.246249,-0.004059,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_MERGE_41_2,COMPONENT_MERGE,319,321,SAR000319_C02,SAR000321_C05,0.650007,0.650007,-0.026042,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_APPEARED_34_6,COMPONENT_APPEARED,319,321,,SAR000321_C06,0,0,0.016617,no_previous_component_within_0p75m,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_MERGE_41_4,COMPONENT_MERGE,319,321,SAR000319_C04,SAR000321_C08,0.171008,0.171008,-0.011448,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_MERGE_41_5,COMPONENT_MERGE,319,321,SAR000319_C05,SAR000321_C08,0.422806,0.422806,-0.003746,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_MERGE_41_6,COMPONENT_MERGE,319,321,SAR000319_C06,SAR000321_C09,0.158505,0.158505,-0.003383,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
319_321_COMPONENT_MERGE_41_7,COMPONENT_MERGE,319,321,SAR000319_C07,SAR000321_C09,0.320564,0.320564,0.002403,multiple_previous_components_near_current,anonymous_structure_continuity_not_fixed_scatterer_identity
321_323_COMPONENT_CONTINUED_58_1,COMPONENT_CONTINUED,321,323,SAR000321_C01,SAR000323_C01,0.023917,0.023917,0.047467,nearest_body_relative_component_with_energy_fraction_check,anonymous_structure_continuity_not_fixed_scatterer_identity
321_323_COMPONENT_SPLIT_41_2,COMPONENT_SPLIT,321,323,SAR000321_C02,SAR000323_C08,0.172011,0.172011,-0.03833,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
321_323_COMPONENT_SPLIT_41_2,COMPONENT_SPLIT,321,323,SAR000321_C02,SAR000323_C02,0.176267,0.176267,-0.015738,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
321_323_COMPONENT_SPLIT_41_2,COMPONENT_SPLIT,321,323,SAR000321_C02,SAR000323_C07,0.669867,0.669867,-0.03248,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
321_323_COMPONENT_SPLIT_41_3,COMPONENT_SPLIT,321,323,SAR000321_C03,SAR000323_C04,0.10902,0.10902,-0.008397,multiple_current_components_near_previous,anonymous_structure_continuity_not_fixed_scatterer_identity
