sar_frame,pair_id,sar_gt_id,center_x,center_y,weak_correspondence,frame_selection_status,candidate_decision,identity_consistency_status,visual_review_required
340,WGV35A_PAIR_0044,138,950.81,945.983,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
341,WGV35A_PAIR_0048,142,954.2055,941.303,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
342,WGV35A_PAIR_0051,145,960.6925,941.6285,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
343,WGV35A_PAIR_0053,147,970.145,940.871,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
344,WGV35A_PAIR_0056,150,977.092,940.874,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
345,WGV35A_PAIR_0060,154,980.185,940.116,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
346,WGV35A_PAIR_0063,157,989.475,940.1555,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
347,WGV35A_PAIR_0065,159,995.919,940.452,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
348,WGV35A_PAIR_0068,162,1000.25,943.5,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
349,WGV35A_PAIR_0073,167,1006.863,944.274,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
350,WGV35A_PAIR_0076,170,1018.893,940.828,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
351,WGV35A_PAIR_0079,173,1017.529,941.4945,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
352,WGV35A_PAIR_0082,176,1027.3575,946.583,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
353,WGV35A_PAIR_0085,179,1032.996,944.2655,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
354,WGV35A_PAIR_0087,181,1040.45,944.803,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
355,WGV35A_PAIR_0090,184,1045.6575,942.1155,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
356,WGV35A_PAIR_0094,188,1052.196,942.44,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
357,WGV35A_PAIR_0097,191,1063.929,940.219,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
358,WGV35A_PAIR_0100,194,1069.6455,943.937,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
359,WGV35A_PAIR_0103,197,1072.523,943.8065,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
360,WGV35A_PAIR_0106,200,1081.56,941.827,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
361,WGV35A_PAIR_0109,203,1090.856,942.248,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
362,WGV35A_PAIR_0112,206,1092.105,942.314,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
363,WGV35A_PAIR_0115,209,1107.7095,939.297,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
364,WGV35A_PAIR_0118,212,1112.883,941.254,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
365,WGV35A_PAIR_0121,215,1113.7395,942.0465,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
366,WGV35A_PAIR_0123,217,1129.813,941.987,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
367,WGV35A_PAIR_0126,220,1132.548,943.3995,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
368,WGV35A_PAIR_0130,224,1139.548,942.787,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
369,WGV35A_PAIR_0133,227,1135.602,942.273,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
370,WGV35A_PAIR_0135,229,1150.939,943.927,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
371,WGV35A_PAIR_0138,232,1152.9075,943.743,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
372,WGV35A_PAIR_0140,234,1167.105,941.444,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
373,WGV35A_PAIR_0143,237,1172.077,943.364,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
374,WGV35A_PAIR_0146,240,1179.7,944.002,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
375,WGV35A_PAIR_0149,243,1182.299,946.874,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
376,WGV35A_PAIR_0152,246,1180.0355,945.461,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
377,WGV35A_PAIR_0156,250,1204.215,944.267,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
378,WGV35A_PAIR_0159,253,1195.374,945.4285,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
379,WGV35A_PAIR_0162,256,1211.993,942.7205,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
380,WGV35A_PAIR_0165,259,1209.306,943,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
381,WGV35A_PAIR_0168,262,1220.1195,943.178,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
382,WGV35A_PAIR_0170,265,1217.126,941.929,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
383,WGV35A_PAIR_0172,268,1241.6965,942,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
384,WGV35A_PAIR_0175,271,1231.5515,941.773,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
385,WGV35A_PAIR_0178,274,1253.75,941.4055,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
386,WGV35A_PAIR_0180,277,1254.202,941.113,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
387,WGV35A_PAIR_0181,279,1256.961,941.473,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
388,WGV35A_PAIR_0183,282,1271.3645,937.6575,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
389,WGV35A_PAIR_0185,285,1273.609,942.56,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
390,WGV35A_PAIR_0188,289,1280.156,941.331,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
391,WGV35A_PAIR_0189,291,1278.8,942.039,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
392,WGV35A_PAIR_0192,295,1292.232,939.103,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
393,WGV35A_PAIR_0193,297,1301.839,940.8765,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
394,WGV35A_PAIR_0195,300,1297.5875,942.3465,false,UNIQUE_GT_CENTER,SELECTED,single_pair_single_gt,false
