path_id,extraction_profile,start_sar_frame,end_sar_frame,duration_frames,component_count,component_ids,azimuth_start,azimuth_end,radial_start,radial_end,radial_band,azimuth_velocity_median,radial_velocity_median,azimuth_acceleration_median,radial_acceleration_median,direction_reversal_count,mean_overlap,mean_shape_consistency,mean_local_contrast,static_background_overlap,branch_competition_count,path_physical_consistency,path_status
WGV34A_PATH_0000011,strict_physical_path,10,11,2,2,WGV33D_MAIN_F0010_C000252;WGV33D_MAIN_F0011_C000274,-49.5176,-49.9637,145.009,142,R1,-0.4461,-3.009,0,0,0,0.75,1,4.2680665,0.42921698,0,0.8820783,insufficient_length
WGV34A_PATH_0000012,strict_physical_path,10,11,2,2,WGV33D_MAIN_F0010_C000256;WGV33D_MAIN_F0011_C000279,-23.0177,-23.1408,138,139.3204,R1,-0.1231,1.3204,0,0,0,1,0.71150824,3.1354165,0.43879733,1,0.88399733,insufficient_length
WGV34A_PATH_0000013,strict_physical_path,12,13,2,2,WGV33D_MAIN_F0012_C000310;WGV33D_MAIN_F0013_C000325,-8.5368,-8.5476,226,226,R1,-0.0108,0,0,0,0,1,1,3.4088545,0.4390421,2,0.95609579,insufficient_length
WGV34A_PATH_0000014,strict_physical_path,14,15,2,2,WGV33D_MAIN_F0014_C000343;WGV33D_MAIN_F0015_C000374,-13.4919,-14.0258,200.6474,202,R1,-0.5339,1.3526,0,0,0,1,0.71150849,2.9747725,0.57522574,2,0.87035455,insufficient_length
WGV34A_PATH_0000015,strict_physical_path,14,23,10,10,WGV33D_MAIN_F0014_C000345;WGV33D_MAIN_F0015_C000377;WGV33D_MAIN_F0016_C000420;WGV33D_MAIN_F0017_C000466;WGV33D_MAIN_F0018_C000507;WGV33D_MAIN_F0019_C000548;WGV33D_MAIN_F0020_C000581;WGV33D_MAIN_F0021_C000615;WGV33D_MAIN_F0022_C000648;WGV33D_MAIN_F0023_C000680,-9.97,0.21,238,234.1488,R1,1.001,0,-0.06255,0,2,0.75,0.81756553,3.5989395,0.45073706,18,0.83431768,recurrent_background_path
WGV34A_PATH_0000016,strict_physical_path,23,26,4,4,WGV33D_MAIN_F0023_C000680;WGV33D_MAIN_F0024_C000721;WGV33D_MAIN_F0025_C000757;WGV33D_MAIN_F0026_C000793,0.21,1.7886,234.1488,232.8295,R1,0.3415,-0.7613,0.41595,-0.8633,1,1,0.81756553,3.729126,0.59317994,6,0.89507339,recurrent_background_path
WGV34A_PATH_0000017,strict_physical_path,14,15,2,2,WGV33D_MAIN_F0014_C000348;WGV33D_MAIN_F0015_C000379,-1.7661,-1.9242,221.0242,221.5015,R1,-0.1581,0.4773,0,0,0,1,0.59061611,2.8199465,0.66901518,2,0.83075251,insufficient_length
WGV34A_PATH_0000018,strict_physical_path,14,15,2,2,WGV33D_MAIN_F0014_C000351;WGV33D_MAIN_F0015_C000384,21.8103,23.4815,80.1856,78.9572,R0,1.6712,-1.2284,0,0,0,0.75,0.81756553,2.714355,0.5359477,2,0.82579661,insufficient_length
WGV34A_PATH_0000019,strict_physical_path,15,17,3,3,WGV33D_MAIN_F0015_C000362;WGV33D_MAIN_F0016_C000407;WGV33D_MAIN_F0017_C000449,-58.5103,-59.0568,134,130,R1,-0.27325,-2,0.5055,-4,0,0.875,0.85575424,5.724609,0.44177545,2,0.88226102,recurrent_background_path
WGV34A_PATH_0000020,strict_physical_path,15,24,10,10,WGV33D_MAIN_F0015_C000386;WGV33D_MAIN_F0016_C000428;WGV33D_MAIN_F0017_C000473;WGV33D_MAIN_F0018_C000517;WGV33D_MAIN_F0019_C000556;WGV33D_MAIN_F0020_C000589;WGV33D_MAIN_F0021_C000622;WGV33D_MAIN_F0022_C000654;WGV33D_MAIN_F0023_C000688;WGV33D_MAIN_F0024_C000728,50.4433,51.732,206,225.1271,R1,0.1741,2.3944,-0.4901,-0.27495,3,0.75,0.81756553,7.9623325,0.39390267,17,0.84000111,physically_possible_ambiguous_path
WGV34A_PATH_0000021,strict_physical_path,24,29,6,6,WGV33D_MAIN_F0024_C000728;WGV33D_MAIN_F0025_C000764;WGV33D_MAIN_F0026_C000801;WGV33D_MAIN_F0027_C000840;WGV33D_MAIN_F0028_C000881;WGV33D_MAIN_F0029_C000915,51.732,51.9381,225.1271,234,R1,-0.043,1.4073,0.19975,0.2533,1,0.75,0.81756553,7.3427085,0.41381871,9,0.83800951,physically_possible_ambiguous_path
WGV34A_PATH_0000022,strict_physical_path,17,18,2,2,WGV33D_MAIN_F0017_C000469;WGV33D_MAIN_F0018_C000511,2.4688,3.4778,222,222,R1,1.009,0,0,0,0,0.75,1,3.0400395,0.44376994,2,0.88062301,insufficient_length
WGV34A_PATH_0000023,strict_physical_path,19,20,2,2,WGV33D_MAIN_F0019_C000539;WGV33D_MAIN_F0020_C000569,-56.0113,-53.8268,126,123.375,R0,2.1845,-2.625,0,0,0,0.75,0.77658921,3.0048015,0.44924119,1,0.82422318,insufficient_length
WGV34A_PATH_0000024,strict_physical_path,19,20,2,2,WGV33D_MAIN_F0019_C000541;WGV33D_MAIN_F0020_C000573,-22.0241,-20.8542,94.8556,94,R0,1.1699,-0.8556,0,0,0,0.75,1,3.641113,0.57347036,2,0.86765296,insufficient_length
WGV34A_PATH_0000025,strict_physical_path,20,28,9,9,WGV33D_MAIN_F0020_C000570;WGV33D_MAIN_F0021_C000604;WGV33D_MAIN_F0022_C000639;WGV33D_MAIN_F0023_C000668;WGV33D_MAIN_F0024_C000709;WGV33D_MAIN_F0025_C000745;WGV33D_MAIN_F0026_C000782;WGV33D_MAIN_F0027_C000821;WGV33D_MAIN_F0028_C000863,-46.9401,-40.994,106,92.7528,R0,0.75745,-1.57575,-0.3434,-0.4101,2,0.75,0.77658928,4.889974,0.49533702,15,0.81961362,recurrent_background_path
WGV34A_PATH_0000026,strict_physical_path,20,22,3,3,WGV33D_MAIN_F0020_C000583;WGV33D_MAIN_F0021_C000618;WGV33D_MAIN_F0022_C000651,7.525,8.4896,198,198,R1,0.4823,0,-0.0274,0,0,1,0.71150836,4.220703,0.45521105,4,0.88235599,recurrent_background_path
WGV34A_PATH_0000027,strict_physical_path,21,22,2,2,WGV33D_MAIN_F0021_C000608;WGV33D_MAIN_F0022_C000643,-18.0197,-17.8732,92.2881,91.3618,R0,0.1465,-0.9263,0,0,0,0.923077,0.75447628,3.080458,0.62968478,2,0.85257369,insufficient_length
WGV34A_PATH_0000028,strict_physical_path,22,24,3,3,WGV33D_MAIN_F0022_C000640;WGV33D_MAIN_F0023_C000670;WGV33D_MAIN_F0024_C000712,-29.0045,-27.9497,146,142,R1,0.5274,-2,-0.5804,3.7728,0,0.75,0.71150836,2.789714,0.44047338,4,0.80882975,recurrent_background_path
WGV34A_PATH_0000029,strict_physical_path,22,23,2,2,WGV33D_MAIN_F0022_C000647;WGV33D_MAIN_F0023_C000678,-4.6964,-3.9312,194.9063,194,R1,0.7652,-0.9063,0,0,0,1,0.59061611,3.0749515,0.56455069,2,0.84119896,insufficient_length
WGV34A_PATH_0000030,strict_physical_path,23,26,4,4,WGV33D_MAIN_F0023_C000673;WGV33D_MAIN_F0024_C000716;WGV33D_MAIN_F0025_C000750;WGV33D_MAIN_F0026_C000788,-17.8849,-14.2994,134,133.7201,R1,1.3865,0.8142,-0.588,-1.99315,3,0.75,0.59061611,2.8703615,0.53176978,6,0.76947705,recurrent_background_path
WGV34A_PATH_0000031,strict_physical_path,24,25,2,2,WGV33D_MAIN_F0024_C000710;WGV33D_MAIN_F0025_C000746,-39.0255,-38.483,178,178,R1,0.5425,0,0,0,0,1,0.71150824,2.980957,0.44737136,1,0.88313992,insufficient_length
WGV34A_PATH_0000032,strict_physical_path,24,33,10,10,WGV33D_MAIN_F0024_C000724;WGV33D_MAIN_F0025_C000760;WGV33D_MAIN_F0026_C000796;WGV33D_MAIN_F0027_C000835;WGV33D_MAIN_F0028_C000875;WGV33D_MAIN_F0029_C000911;WGV33D_MAIN_F0030_C000939;WGV33D_MAIN_F0031_C000963;WGV33D_MAIN_F0032_C000990;WGV33D_MAIN_F0033_C001014,5.5044,3.6976,226,225.1047,R1,0.0115,0,-0.313,-0.2153,4,0.8,0.81756553,3.143799,0.45087644,18,0.84930374,recurrent_background_path
WGV34A_PATH_0000033,strict_physical_path,33,34,2,2,WGV33D_MAIN_F0033_C001014;WGV33D_MAIN_F0034_C001050,3.6976,3.0311,225.1047,226,R1,-0.6665,0.8953,0,0,0,1,0.59061611,3.608887,0.44526581,2,0.85312745,insufficient_length
WGV34A_PATH_0000034,strict_physical_path,27,35,9,9,WGV33D_MAIN_F0027_C000823;WGV33D_MAIN_F0028_C000865;WGV33D_MAIN_F0029_C000901;WGV33D_MAIN_F0030_C000928;WGV33D_MAIN_F0031_C000956;WGV33D_MAIN_F0032_C000980;WGV33D_MAIN_F0033_C001006;WGV33D_MAIN_F0034_C001042;WGV33D_MAIN_F0035_C001066,-33.0229,-35.9926,173.6766,174,R1,-0.579,-0.86185,-0.1063,-1.5642,7,0.75,0.86399623,3.152995,0.49762357,16,0.8412367,recurrent_background_path
WGV34A_PATH_0000035,strict_physical_path,27,30,4,4,WGV33D_MAIN_F0027_C000825;WGV33D_MAIN_F0028_C000868;WGV33D_MAIN_F0029_C000903;WGV33D_MAIN_F0030_C000932,-21.9355,-21.9981,148.762,146,R1,-0.4873,-1.3488,0.75235,1.0242,2,0.75,0.81756553,2.816553,0.53510852,5,0.82588053,recurrent_background_path
WGV34A_PATH_0000036,strict_physical_path,28,29,2,2,WGV33D_MAIN_F0028_C000862;WGV33D_MAIN_F0029_C000899,-46.41,-45.5164,118,118,R0,0.8936,0,0,0,0,0.75,1,3.1835935,0.43780461,2,0.88121954,insufficient_length
WGV34A_PATH_0000037,strict_physical_path,29,30,2,2,WGV33D_MAIN_F0029_C000908;WGV33D_MAIN_F0030_C000937,1.0086,1.028,238,238,R1,0.0194,0,0,0,0,1,1,3.888184,0.45338201,2,0.9546618,insufficient_length
WGV34A_PATH_0000038,strict_physical_path,30,34,5,5,WGV33D_MAIN_F0030_C000926;WGV33D_MAIN_F0031_C000951;WGV33D_MAIN_F0032_C000978;WGV33D_MAIN_F0033_C001001;WGV33D_MAIN_F0034_C001036,-54.8784,-55.5578,265.309,258,R2,0.071,-1.8927,0.2288,3.5672,3,0.875,0.74891798,5.16333,0.47915443,8,0.85181405,recurrent_background_path
WGV34A_PATH_0000039,strict_physical_path,30,35,6,6,WGV33D_MAIN_F0030_C000927;WGV33D_MAIN_F0031_C000954;WGV33D_MAIN_F0032_C000979;WGV33D_MAIN_F0033_C001005;WGV33D_MAIN_F0034_C001040;WGV33D_MAIN_F0035_C001065,-40.193,-35.5681,89.9652,82.2842,R0,0.8001,-1.2388,0.7706,0.3537,1,0.75,1,5.7689035,0.57546032,10,0.86745397,recurrent_background_path
WGV34A_PATH_0000040,strict_physical_path,31,32,2,2,WGV33D_MAIN_F0031_C000957;WGV33D_MAIN_F0032_C000984,-14.8316,-13.9829,131.495,132.0684,R1,0.8487,0.5734,0,0,0,0.75,0.71150849,3.262044,0.4468172,2,0.8081954,insufficient_length
WGV34A_PATH_0000041,strict_physical_path,32,33,2,2,WGV33D_MAIN_F0032_C000983;WGV33D_MAIN_F0033_C001008,-25.8276,-24.0083,146.0593,142,R1,1.8193,-4.0593,0,0,0,0.75,0.71150849,3.089681,0.44266164,1,0.80861096,insufficient_length
WGV34A_PATH_0000042,strict_physical_path,33,34,2,2,WGV33D_MAIN_F0033_C001002;WGV33D_MAIN_F0034_C001037,-49.8347,-49.5203,99.2208,98,R0,0.3144,-1.2208,0,0,0,0.75,1,2.801432,0.45820279,2,0.87917972,insufficient_length
WGV34A_PATH_0000043,strict_physical_path,33,34,2,2,WGV33D_MAIN_F0033_C001003;WGV33D_MAIN_F0034_C001038,-45.0056,-44.8155,110,108.7273,R0,0.1901,-1.2727,0,0,0,0.75,0.77658921,3.5730795,0.44478079,2,0.82466922,insufficient_length
WGV34A_PATH_0000044,strict_physical_path,33,34,2,2,WGV33D_MAIN_F0033_C001004;WGV33D_MAIN_F0034_C001039,-41.9946,-41.9817,146,146,R1,0.0129,0,0,0,0,1,1,4.6289065,0.43097122,2,0.95690288,insufficient_length
WGV34A_PATH_0000045,strict_physical_path,34,35,2,2,WGV33D_MAIN_F0034_C001043;WGV33D_MAIN_F0035_C001067,-35.5678,-34.987,134,134,R1,0.5808,0,0,0,0,1,0.71150849,3.722168,0.45400076,2,0.88247705,insufficient_length
WGV34A_PATH_0000046,strict_physical_path,35,36,2,2,WGV33D_MAIN_F0035_C001064;WGV33D_MAIN_F0036_C001087,-42.4053,-40.0376,106.4998,106,R0,2.3677,-0.4998,0,0,0,0.75,0.86643812,2.6619235,0.43395842,2,0.84821369,insufficient_length
WGV34A_PATH_0000047,strict_physical_path,35,36,2,2,WGV33D_MAIN_F0035_C001070;WGV33D_MAIN_F0036_C001091,-9.5,-7.9792,127.9477,126,R0,1.5208,-1.9477,0,0,0,0.75,1,2.7651365,0.42911499,1,0.8820885,insufficient_length
WGV34A_PATH_0000048,strict_physical_path,39,48,10,10,WGV33D_MAIN_F0039_C001145;WGV33D_MAIN_F0040_C001170;WGV33D_MAIN_F0041_C001210;WGV33D_MAIN_F0042_C001242;WGV33D_MAIN_F0043_C001270;WGV33D_MAIN_F0044_C001302;WGV33D_MAIN_F0045_C001326;WGV33D_MAIN_F0046_C001358;WGV33D_MAIN_F0047_C001398;WGV33D_MAIN_F0048_C001436,-32.956,-35.6236,91.2402,80.9061,R0,-0.848,-1.0911,-1.04665,0.11345,3,0.75,0.83286796,3.33465,0.44393054,18,0.83882394,recurrent_background_path
WGV34A_PATH_0000049,strict_physical_path,40,47,8,8,WGV33D_MAIN_F0040_C001168;WGV33D_MAIN_F0041_C001209;WGV33D_MAIN_F0042_C001240;WGV33D_MAIN_F0043_C001267;WGV33D_MAIN_F0044_C001298;WGV33D_MAIN_F0045_C001323;WGV33D_MAIN_F0046_C001356;WGV33D_MAIN_F0047_C001395,-55.7781,-55.6465,163.7347,153.7336,R1,-0.5458,-1.2836,0.4539,0.49415,2,0.75,0.86643778,4.3838935,0.42819571,14,0.84878987,recurrent_background_path
WGV34A_PATH_0000050,strict_physical_path,40,42,3,3,WGV33D_MAIN_F0040_C001184;WGV33D_MAIN_F0041_C001221;WGV33D_MAIN_F0042_C001250,23.5,23.9314,152.0704,154,R1,0.2157,0.9648,1.3888,-1.9296,1,0.75,0.79530805,3.333008,0.46671392,4,0.82715562,recurrent_background_path
WGV34A_PATH_0000051,strict_physical_path,40,41,2,2,WGV33D_MAIN_F0040_C001190;WGV33D_MAIN_F0041_C001227,50.7253,47.7689,64.5808,69.1351,R0,-2.9564,4.5543,0,0,0,0.818182,0.607302,4.0215565,0.61192719,2,0.78608738,insufficient_length
WGV34A_PATH_0000052,strict_physical_path,42,45,4,4,WGV33D_MAIN_F0042_C001245;WGV33D_MAIN_F0043_C001273;WGV33D_MAIN_F0044_C001305;WGV33D_MAIN_F0045_C001330,-10.6833,-13.5881,75.7186,74.4947,R0,-0.9149,-0.3923,0.3071,0.22045,2,0.909091,0.72743507,6.3798005,0.67480163,6,0.8371059,static_structure_path
WGV34A_PATH_0000053,strict_physical_path,42,43,2,2,WGV33D_MAIN_F0042_C001255;WGV33D_MAIN_F0043_C001284,45.9962,45.5714,76.1238,78,R0,-0.4248,1.8762,0,0,0,0.64285725,0.64118356,3.698033,0.62186548,2,0.74096652,insufficient_length
WGV34A_PATH_0000054,strict_physical_path,43,44,2,2,WGV33D_MAIN_F0043_C001277;WGV33D_MAIN_F0044_C001307,0.9901,1.4952,194,194,R1,0.5051,0,0,0,0,1,0.77658921,2.727946,0.69181353,2,0.87496595,insufficient_length
WGV34A_PATH_0000055,strict_physical_path,44,47,4,4,WGV33D_MAIN_F0044_C001301;WGV33D_MAIN_F0045_C001327;WGV33D_MAIN_F0046_C001359;WGV33D_MAIN_F0047_C001399,-29.7315,-32.5139,142.421,139.9665,R1,-1.6779,-0.5846,1.17835,-0.2755,1,0.75,0.91298347,2.9898645,0.43338614,6,0.85990725,recurrent_background_path
WGV34A_PATH_0000056,strict_physical_path,46,48,3,3,WGV33D_MAIN_F0046_C001366;WGV33D_MAIN_F0047_C001404;WGV33D_MAIN_F0048_C001443,-3.4825,-1.4952,194,194,R1,0.99365,0,0.9313,0,0,0.875,0.77658928,3.378255,0.68572808,4,0.83807451,static_structure_path
WGV34A_PATH_0000057,strict_physical_path,46,51,6,6,WGV33D_MAIN_F0046_C001379;WGV33D_MAIN_F0047_C001414;WGV33D_MAIN_F0048_C001451;WGV33D_MAIN_F0049_C001483;WGV33D_MAIN_F0050_C001513;WGV33D_MAIN_F0051_C001546,35.4261,38.0611,82,90,R0,0.5486,1.9912,0.76845,-1.0044,1,0.75,0.81756553,3.600586,0.62971878,9,0.8164195,static_structure_path
WGV34A_PATH_0000058,strict_physical_path,47,52,6,6,WGV33D_MAIN_F0047_C001410;WGV33D_MAIN_F0048_C001448;WGV33D_MAIN_F0049_C001481;WGV33D_MAIN_F0050_C001510;WGV33D_MAIN_F0051_C001545;WGV33D_MAIN_F0052_C001568,17.3189,20.0645,207.7824,211.5606,R1,0.4775,0.4188,-0.42485,-0.6791,5,0.777778,0.62980785,3.1937255,0.53600219,9,0.78718514,recurrent_background_path
WGV34A_PATH_0000059,strict_physical_path,47,48,2,2,WGV33D_MAIN_F0047_C001411;WGV33D_MAIN_F0048_C001450,17.9862,17.0193,238,238,R1,-0.9669,0,0,0,0,1,0.59061611,3.8825685,0.42870023,2,0.854784,insufficient_length
WGV34A_PATH_0000060,strict_physical_path,48,53,6,6,WGV33D_MAIN_F0048_C001434;WGV33D_MAIN_F0049_C001464;WGV33D_MAIN_F0050_C001496;WGV33D_MAIN_F0051_C001527;WGV33D_MAIN_F0052_C001557;WGV33D_MAIN_F0053_C001579,-57.4659,-59.5104,150,138.9864,R1,-0.4876,-2.9038,0.28625,-1.8762,3,0.75,0.81756553,4.8052245,0.4386636,10,0.83552502,recurrent_background_path
WGV34A_PATH_0000061,strict_physical_path,48,49,2,2,WGV33D_MAIN_F0048_C001438;WGV33D_MAIN_F0049_C001471,-25.2518,-24.5135,130.9628,130,R1,0.7383,-0.9628,0,0,0,0.75,0.77658921,3.1328125,0.42884755,1,0.82626255,insufficient_length
WGV34A_PATH_0000062,strict_physical_path,48,50,3,3,WGV33D_MAIN_F0048_C001449;WGV33D_MAIN_F0049_C001480;WGV33D_MAIN_F0050_C001511,16.6589,17.982,136.6952,136.8114,R1,0.66155,0.0581,0.6429,-2.4934,1,0.875,0.71150836,3.277669,0.46566851,4,0.84381024,recurrent_background_path
WGV34A_PATH_0000063,strict_physical_path,49,50,2,2,WGV33D_MAIN_F0049_C001465;WGV33D_MAIN_F0050_C001497,-55.194,-56.5103,179.3828,176.9031,R1,-1.3163,-2.4797,0,0,0,0.75,0.88219877,3.2360665,0.41908725,2,0.85364097,insufficient_length
WGV34A_PATH_0000064,strict_physical_path,49,53,5,5,WGV33D_MAIN_F0049_C001469;WGV33D_MAIN_F0050_C001502;WGV33D_MAIN_F0051_C001532;WGV33D_MAIN_F0052_C001559;WGV33D_MAIN_F0053_C001584,-36.0163,-33.5788,142,130,R1,0.8494,-0.75945,1.6659,1.5189,2,0.6,0.66188971,2.914062,0.44589815,8,0.75088261,recurrent_background_path
WGV34A_PATH_0000065,strict_physical_path,50,51,2,2,WGV33D_MAIN_F0050_C001498;WGV33D_MAIN_F0051_C001528,-52.4667,-52.4625,227.6038,226,R1,0.0042,-1.6038,0,0,0,1,0.66188975,2.7110025,0.40964032,2,0.87450841,insufficient_length
WGV34A_PATH_0000066,strict_physical_path,52,53,2,2,WGV33D_MAIN_F0052_C001567;WGV33D_MAIN_F0053_C001589,20.6599,23.0215,139.7775,140.1398,R1,2.3616,0.3623,0,0,0,0.75,0.86643812,3.171852,0.64932441,2,0.82667709,insufficient_length
WGV34A_PATH_0000067,strict_physical_path,55,64,10,10,WGV33D_MAIN_F0055_C001621;WGV33D_MAIN_F0056_C001641;WGV33D_MAIN_F0057_C001678;WGV33D_MAIN_F0058_C001707;WGV33D_MAIN_F0059_C001740;WGV33D_MAIN_F0060_C001775;WGV33D_MAIN_F0061_C001804;WGV33D_MAIN_F0062_C001840;WGV33D_MAIN_F0063_C001879;WGV33D_MAIN_F0064_C001907,-53.5434,-54.2596,135.4572,119.5874,R0,0.1902,-2.0727,-0.282,0.22165,7,0.75,0.83286796,3.916599,0.44294798,18,0.83892219,recurrent_background_path
WGV34A_PATH_0000068,strict_physical_path,64,70,7,7,WGV33D_MAIN_F0064_C001907;WGV33D_MAIN_F0065_C001945;WGV33D_MAIN_F0066_C001983;WGV33D_MAIN_F0067_C002026;WGV33D_MAIN_F0068_C002071;WGV33D_MAIN_F0069_C002119;WGV33D_MAIN_F0070_C002168,-54.2596,-57.772,119.5874,106.6783,R0,-0.52125,-1.8602,0.4917,-0.489,1,0.7596155,0.87850626,6.882812,0.44229476,12,0.85328174,recurrent_background_path
WGV34A_PATH_0000069,strict_physical_path,55,64,10,10,WGV33D_MAIN_F0055_C001622;WGV33D_MAIN_F0056_C001643;WGV33D_MAIN_F0057_C001680;WGV33D_MAIN_F0058_C001710;WGV33D_MAIN_F0059_C001748;WGV33D_MAIN_F0060_C001782;WGV33D_MAIN_F0061_C001812;WGV33D_MAIN_F0062_C001848;WGV33D_MAIN_F0063_C001883;WGV33D_MAIN_F0064_C001912,-31.8404,-31.3306,152.7656,142.6282,R1,-0.0133,-0.9512,0.13405,-0.1027,2,0.75,0.77658936,3.3634115,0.44401019,18,0.82474632,recurrent_background_path
WGV34A_PATH_0000070,strict_physical_path,64,68,5,5,WGV33D_MAIN_F0064_C001912;WGV33D_MAIN_F0065_C001951;WGV33D_MAIN_F0066_C001991;WGV33D_MAIN_F0067_C002037;WGV33D_MAIN_F0068_C002083,-31.3306,-31.4648,142.6282,138,R1,0.10405,-1.1335,0.1251,0.129,2,0.75,0.76453701,3.735352,0.43963082,8,0.82217117,recurrent_background_path
WGV34A_PATH_0000071,strict_physical_path,55,56,2,2,WGV33D_MAIN_F0055_C001629;WGV33D_MAIN_F0056_C001653,16.741,16.4288,137.0864,138.666,R1,-0.3122,1.5796,0,0,0,0.75,0.68871256,2.7883395,0.64816688,2,0.78236145,insufficient_length
WGV34A_PATH_0000072,strict_physical_path,56,58,3,3,WGV33D_MAIN_F0056_C001644;WGV33D_MAIN_F0057_C001681;WGV33D_MAIN_F0058_C001711,-27.9727,-27.8118,126,123.2404,R0,0.08045,-1.3798,-2.6787,-0.3054,1,0.75,0.8882946,2.929688,0.45150539,4,0.85192311,recurrent_background_path
WGV34A_PATH_0000073,strict_physical_path,56,58,3,3,WGV33D_MAIN_F0056_C001652;WGV33D_MAIN_F0057_C001689;WGV33D_MAIN_F0058_C001717,6.9613,8.0091,134,134,R1,0.5239,0,-0.9642,0,0,0.875,1,2.979492,0.45709449,4,0.91679055,recurrent_background_path
WGV34A_PATH_0000074,strict_physical_path,56,58,3,3,WGV33D_MAIN_F0056_C001659;WGV33D_MAIN_F0057_C001691;WGV33D_MAIN_F0058_C001723,29.5312,31.4627,144.8527,146,R1,0.96575,0.57365,-1.0295,2.7023,1,0.75,0.70888654,3.141276,0.43070378,2,0.80915126,recurrent_background_path
WGV34A_PATH_0000075,strict_physical_path,57,58,2,2,WGV33D_MAIN_F0057_C001679;WGV33D_MAIN_F0058_C001708,-38.5648,-38.0387,82,82,R0,0.5261,0,0,0,0,1,0.77658936,4.590088,0.62912383,1,0.88123496,insufficient_length
WGV34A_PATH_0000076,strict_physical_path,58,59,2,2,WGV33D_MAIN_F0058_C001720;WGV33D_MAIN_F0059_C001757,23.1489,24.3403,136.7696,137.2998,R1,1.1914,0.5302,0,0,0,0.666667,0.66188967,3.0315755,0.42628985,2,0.77284353,insufficient_length
