component_frame_id,component_id_within_frame,physical_vehicle_id,sar_frame,split,component_energy,component_energy_fraction,component_area_m2,component_centroid_range_m,component_centroid_azimuth_m,component_centroid_body_long_m,component_centroid_body_short_m,component_axis_deg,component_axis_ratio,component_identity_scope
SAR000317_C07,7,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,317,calibration,758,0.016853,0.0324,-0.062043,-1.287312,-0.854678,0.964648,130.299356,1.607144,within_frame_only_anonymous_component
SAR000317_C08,8,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,317,calibration,512,0.011384,0.0288,-0.948688,-0.12173,0.593949,0.749701,158.619836,1.702753,within_frame_only_anonymous_component
SAR000317_C09,9,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,317,calibration,483,0.010739,0.0261,0.585888,-1.771633,-1.656654,0.858746,127.445807,2.731097,within_frame_only_anonymous_component
SAR000317_C10,10,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,317,calibration,448,0.009961,0.0243,-0.517464,-0.553582,-0.016288,0.757599,137.139242,1.774504,within_frame_only_anonymous_component
SAR000317_C11,11,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,317,calibration,282,0.00627,0.0117,-0.975752,2.004833,2.098547,-0.753357,145.845905,2.895997,within_frame_only_anonymous_component
SAR000319_C01,1,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,319,calibration,16099,0.283114,0.522,-1.577956,0.671881,1.550394,0.733245,174.666455,3.530294,within_frame_only_anonymous_component
SAR000319_C02,2,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,319,calibration,2449,0.043068,0.0918,-0.666629,-0.597417,-0.003769,0.895146,174.019182,2.2706,within_frame_only_anonymous_component
SAR000319_C03,3,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,319,calibration,1215,0.021367,0.0486,-1.406441,1.532463,2.079761,0.033396,89.067904,1.911851,within_frame_only_anonymous_component
SAR000319_C04,4,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,319,calibration,1199,0.021085,0.0486,-0.101535,-1.262382,-0.876201,0.914434,173.876194,2.149225,within_frame_only_anonymous_component
SAR000319_C05,5,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,319,calibration,761,0.013383,0.027,0.285541,-1.710692,-1.468433,0.922879,173.789879,1.913527,within_frame_only_anonymous_component
SAR000319_C06,6,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,319,calibration,541,0.009514,0.0198,-0.860285,1.916054,2.003716,-0.629662,59.430268,1.602056,within_frame_only_anonymous_component
SAR000319_C07,7,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,319,calibration,212,0.003728,0.0108,-0.78738,1.615633,1.730721,-0.484605,158.362933,1.48964,within_frame_only_anonymous_component
SAR000319_C08,8,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,319,calibration,212,0.003728,0.0108,0.622009,-1.829432,-1.780691,0.750238,71.176657,2.111038,within_frame_only_anonymous_component
SAR000321_C01,1,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,321,calibration,13224,0.207895,0.3834,-1.545427,0.847298,1.669342,0.565295,165.126829,3.095894,within_frame_only_anonymous_component
SAR000321_C02,2,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,321,calibration,2821,0.044349,0.1107,-0.583224,-0.483883,0.038029,0.756866,176.705065,2.32487,within_frame_only_anonymous_component
SAR000321_C03,3,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,321,calibration,2289,0.035985,0.0792,0.400057,-1.753428,-1.562137,0.891226,171.284709,1.741641,within_frame_only_anonymous_component
SAR000321_C04,4,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,321,calibration,1495,0.023503,0.054,-1.304365,1.545351,2.020484,-0.084388,145.657677,1.838163,within_frame_only_anonymous_component
SAR000321_C05,5,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,321,calibration,1083,0.017026,0.0432,-0.163999,-1.032042,-0.649278,0.818807,14.630477,3.3122,within_frame_only_anonymous_component
SAR000321_C06,6,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,321,calibration,1057,0.016617,0.0396,-0.754702,0.204209,0.66085,0.417795,120.638754,1.279077,within_frame_only_anonymous_component
SAR000321_C07,7,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,321,calibration,482,0.007578,0.0207,-0.932423,0.044882,0.66369,0.656462,128.128589,2.178066,within_frame_only_anonymous_component
SAR000321_C08,8,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,321,calibration,613,0.009637,0.0207,0.017819,-1.403461,-1.045833,0.936085,130.392262,1.860771,within_frame_only_anonymous_component
SAR000321_C09,9,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,321,calibration,390,0.006131,0.0153,-0.733265,1.912931,1.904987,-0.753664,179.820776,2.0625,within_frame_only_anonymous_component
SAR000321_C10,10,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,321,calibration,332,0.005219,0.0144,-0.955795,0.314052,0.877767,0.491628,147.010494,3.850663,within_frame_only_anonymous_component
SAR000323_C01,1,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,323,calibration,16717,0.255362,0.4878,-1.533268,0.881898,1.667795,0.589162,171.271719,3.140168,within_frame_only_anonymous_component
SAR000323_C02,2,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,323,calibration,1873,0.028611,0.0729,-0.739882,-0.35798,0.21021,0.794599,170.167018,2.222729,within_frame_only_anonymous_component
SAR000323_C03,3,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,323,calibration,1959,0.029925,0.072,-0.905184,0.245352,0.775703,0.527105,103.518398,2.544636,within_frame_only_anonymous_component
SAR000323_C04,4,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,323,calibration,1806,0.027588,0.0585,0.278404,-1.676639,-1.453629,0.880677,177.089003,1.680045,within_frame_only_anonymous_component
SAR000323_C05,5,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,323,calibration,1406,0.021477,0.0423,-1.386199,1.671582,2.171264,-0.036737,143.304425,2.928405,within_frame_only_anonymous_component
SAR000323_C06,6,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,323,calibration,992,0.015153,0.0369,-0.05021,-1.258756,-0.922503,0.85789,111.732759,2.870825,within_frame_only_anonymous_component
SAR000323_C07,7,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,323,calibration,777,0.011869,0.027,-0.238577,-1.028632,-0.625197,0.850959,126.367413,1.533607,within_frame_only_anonymous_component
SAR000323_C08,8,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,323,calibration,394,0.006019,0.0171,-0.533468,-0.623057,-0.125374,0.810598,68.578019,2.336109,within_frame_only_anonymous_component
SAR000323_C09,9,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,323,calibration,302,0.004613,0.0126,0.586836,-1.768479,-1.724193,0.706437,146.548512,2.665554,within_frame_only_anonymous_component
SAR000325_C01,1,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,325,calibration,19561,0.366071,0.5796,-1.387918,0.487072,-1.22351,-0.816442,5.469741,3.007388,within_frame_only_anonymous_component
SAR000325_C02,2,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,325,calibration,2653,0.049649,0.1098,-0.709746,-0.556835,0.018405,-0.901924,167.956785,2.220199,within_frame_only_anonymous_component
SAR000325_C03,3,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,325,calibration,255,0.004772,0.0126,-1.267,-0.238186,-0.57121,-1.155743,138.905598,3.561782,within_frame_only_anonymous_component
SAR000327_C01,1,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,327,calibration,22362,0.349003,0.6021,-1.495142,0.943189,1.656343,0.617727,176.175244,3.327852,within_frame_only_anonymous_component
SAR000327_C02,2,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,327,calibration,2036,0.031776,0.0702,-0.7062,-0.390342,0.117471,0.798302,141.569231,1.521398,within_frame_only_anonymous_component
SAR000327_C03,3,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,327,calibration,1542,0.024066,0.0558,-1.30754,1.769171,2.199682,-0.032061,116.299513,1.783038,within_frame_only_anonymous_component
SAR000327_C04,4,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,327,calibration,1418,0.022131,0.0486,0.208908,-1.671756,-1.456404,0.846935,164.61793,1.967903,within_frame_only_anonymous_component
SAR000327_C05,5,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,327,calibration,955,0.014905,0.036,-0.088821,-1.213672,-0.911592,0.806158,108.450132,2.165898,within_frame_only_anonymous_component
SAR000327_C06,6,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,327,calibration,657,0.010254,0.0261,0.016545,-1.378865,-1.106847,0.822454,120.904905,2.057999,within_frame_only_anonymous_component
SAR000327_C07,7,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,327,calibration,386,0.006024,0.0171,-0.262376,-0.910354,-0.565139,0.760397,122.636316,2.690689,within_frame_only_anonymous_component
SAR000327_C08,8,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,327,calibration,333,0.005197,0.0135,0.821111,-1.965916,-2.061399,0.538222,101.433985,1.897305,within_frame_only_anonymous_component
SAR000327_C09,9,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,327,calibration,255,0.00398,0.0117,-0.431965,-0.671401,-0.27229,0.750488,146.094679,2.667632,within_frame_only_anonymous_component
SAR000327_C10,10,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,327,calibration,234,0.003652,0.0108,-0.542124,-0.247167,0.131926,0.581021,157.321851,3.081437,within_frame_only_anonymous_component
SAR000331_C01,1,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,331,calibration,15071,0.325627,0.5913,-1.387005,0.783808,1.436726,0.688444,176.026027,3.634968,within_frame_only_anonymous_component
SAR000331_C02,2,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,331,calibration,1829,0.039518,0.09,-0.685232,-0.469735,0.007179,0.830748,164.045238,1.104522,within_frame_only_anonymous_component
SAR000331_C03,3,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,331,calibration,1825,0.039431,0.0819,0.094184,-1.797721,-1.527855,0.952013,156.956296,2.538628,within_frame_only_anonymous_component
SAR000331_C04,4,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,331,calibration,552,0.011927,0.0288,-0.178899,-1.474262,-1.106309,0.990724,70.326316,1.231565,within_frame_only_anonymous_component
SAR000331_C05,5,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,331,calibration,330,0.00713,0.0198,-0.288518,-1.032201,-0.681109,0.827511,85.505667,1.990304,within_frame_only_anonymous_component
SAR000331_C06,6,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,331,calibration,439,0.009485,0.0189,-1.249035,1.616761,2.040665,0.09844,146.289962,1.737149,within_frame_only_anonymous_component
SAR000331_C07,7,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,331,calibration,237,0.005121,0.0135,-0.317175,-1.235081,-0.831041,0.967159,139.898347,1.418157,within_frame_only_anonymous_component
SAR000331_C08,8,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,331,calibration,240,0.005185,0.0126,-1.170429,1.789141,2.136994,-0.064699,57.26351,2.084071,within_frame_only_anonymous_component
SAR000331_C09,9,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,331,calibration,278,0.006007,0.0108,-1.037233,1.062317,1.464821,0.242218,151.586969,1.288083,within_frame_only_anonymous_component
SAR000332_C01,1,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,332,calibration,11199,0.336802,0.5418,-1.103692,0.464605,1.038746,0.59582,2.013262,2.760301,within_frame_only_anonymous_component
SAR000332_C02,2,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,332,calibration,1512,0.045472,0.0819,-0.595265,-0.500993,-0.03736,0.777135,29.660631,1.171653,within_frame_only_anonymous_component
SAR000333_C01,1,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,333,calibration,14388,0.370634,0.6957,-1.170345,0.317512,0.943113,0.762273,177.83231,3.666135,within_frame_only_anonymous_component
SAR000333_C02,2,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,333,calibration,170,0.004379,0.0108,0.960978,-0.348465,-0.845503,-0.574483,163.528584,1.829444,within_frame_only_anonymous_component
SAR000333_C03,3,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,333,calibration,153,0.003941,0.0108,-0.345155,-0.93337,-0.554051,0.826643,72.8835,1.560353,within_frame_only_anonymous_component
SAR000334_C01,1,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,334,calibration,13901,0.419792,0.6552,-1.105831,0.369311,0.918162,0.718492,177.169574,3.750605,within_frame_only_anonymous_component
SAR000334_C02,2,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,334,calibration,382,0.011536,0.0252,-0.376795,-0.909706,-0.550795,0.816189,179.647262,3.902359,within_frame_only_anonymous_component
SAR000334_C03,3,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,334,calibration,226,0.006825,0.0171,-1.169811,-0.028518,0.621673,0.991359,12.996503,3.860356,within_frame_only_anonymous_component
SAR000334_C04,4,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,334,calibration,151,0.00456,0.0108,-0.793324,0.739144,1.054174,0.253802,161.030411,2.770634,within_frame_only_anonymous_component
SAR000335_C01,1,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,335,calibration,18565,0.484776,0.7722,-1.13602,0.272884,0.815639,0.836505,177.302221,4.388501,within_frame_only_anonymous_component
SAR000335_C02,2,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,335,calibration,305,0.007964,0.0144,-0.913232,0.980586,1.309746,0.28303,137.326223,1.137139,within_frame_only_anonymous_component
SAR000336_C01,1,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,336,calibration,677,0.029512,0.036,-0.828546,-0.725253,0.022389,-1.100899,138.081099,1.847425,within_frame_only_anonymous_component
SAR000336_C02,2,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,336,calibration,163,0.007105,0.0108,1.21316,0.978154,0.031354,1.558063,111.337305,1.404101,within_frame_only_anonymous_component
SAR000337_C01,1,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,337,calibration,22517,0.319313,0.5769,-1.396385,1.012616,-1.566356,-0.722364,172.047979,3.37312,within_frame_only_anonymous_component
SAR000337_C02,2,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,337,calibration,2214,0.031397,0.0639,0.033168,-1.81497,1.599108,-0.85911,174.906468,2.24805,within_frame_only_anonymous_component
SAR000337_C03,3,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,337,calibration,1645,0.023328,0.0594,-0.732268,-0.405642,-0.004517,-0.837103,132.302556,1.872741,within_frame_only_anonymous_component
SAR000337_C04,4,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,337,calibration,1494,0.021186,0.0549,-0.204005,-1.390245,1.11265,-0.858143,159.512736,1.4911,within_frame_only_anonymous_component
SAR000337_C05,5,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,337,calibration,1015,0.014394,0.0351,-1.045518,1.741973,-2.030773,-0.059502,102.502624,1.556291,within_frame_only_anonymous_component
SAR000337_C06,6,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,337,calibration,726,0.010295,0.0279,-0.868957,0.233586,-0.628883,-0.643549,123.58596,2.915402,within_frame_only_anonymous_component
SAR000337_C07,7,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,337,calibration,616,0.008735,0.0216,-0.333168,-1.146485,0.836864,-0.851522,74.291224,1.459588,within_frame_only_anonymous_component
SAR000337_C08,8,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,337,calibration,355,0.005034,0.0135,-0.723143,-0.089903,-0.275416,-0.674659,22.9173,1.655543,within_frame_only_anonymous_component
SAR000337_C09,9,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,337,calibration,337,0.004779,0.0135,-0.522099,-0.807625,0.448895,-0.850494,27.021384,1.403217,within_frame_only_anonymous_component
SAR000337_C10,10,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,337,calibration,373,0.00529,0.0135,-0.636418,-0.652213,0.257422,-0.874153,95.643655,1.450286,within_frame_only_anonymous_component
SAR000338_C01,1,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,338,calibration,20201,0.292053,0.5139,-1.355941,1.012723,-1.534091,-0.714669,175.071459,3.023396,within_frame_only_anonymous_component
SAR000338_C02,2,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,338,calibration,2560,0.037011,0.0846,-0.663419,-0.518167,0.142209,-0.829698,170.861444,1.560205,within_frame_only_anonymous_component
SAR000338_C03,3,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,338,calibration,2181,0.031531,0.0612,0.018204,-1.877068,1.661866,-0.872879,179.108063,2.54429,within_frame_only_anonymous_component
SAR000338_C04,4,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,338,calibration,1300,0.018795,0.045,-0.266495,-1.276123,0.997755,-0.839044,22.54414,2.324881,within_frame_only_anonymous_component
SAR000338_C05,5,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,338,calibration,933,0.013489,0.0315,-0.214455,-1.526885,1.24326,-0.911961,16.161715,2.550975,within_frame_only_anonymous_component
SAR000338_C06,6,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,338,calibration,790,0.011421,0.0288,-0.815884,0.206288,-0.568063,-0.620906,123.728796,2.598725,within_frame_only_anonymous_component
SAR000338_C07,7,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,338,calibration,1022,0.014775,0.0288,-1.065717,0.174398,-0.658289,-0.856051,165.20147,1.8852,within_frame_only_anonymous_component
SAR000338_C08,8,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,338,calibration,437,0.006318,0.0171,-0.872816,-0.159794,-0.272595,-0.844413,177.734978,3.929025,within_frame_only_anonymous_component
SAR000338_C09,9,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,338,calibration,407,0.005884,0.0153,-0.398945,-1.043455,0.730106,-0.845518,61.755857,1.581918,within_frame_only_anonymous_component
SAR000339_C01,1,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,339,calibration,25332,0.280578,0.5544,-1.319815,1.093761,1.591529,0.636599,173.129307,3.01911,within_frame_only_anonymous_component
SAR000339_C02,2,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,339,calibration,4835,0.053553,0.1278,-0.073687,-1.673945,-1.435183,0.864739,179.246667,3.752621,within_frame_only_anonymous_component
SAR000339_C03,3,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,339,calibration,4018,0.044504,0.1179,-0.670131,-0.363077,0.001341,0.762167,175.880832,2.653832,within_frame_only_anonymous_component
SAR000339_C04,4,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,339,calibration,2152,0.023836,0.063,-0.363077,-0.994028,-0.699635,0.793994,161.465958,2.114095,within_frame_only_anonymous_component
SAR000339_C05,5,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,339,calibration,1687,0.018685,0.0477,-0.936675,0.31466,0.724054,0.672396,80.389071,3.094271,within_frame_only_anonymous_component
SAR000339_C06,6,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,339,calibration,780,0.008639,0.0207,-0.963451,1.803293,2.044471,-0.015531,69.74908,2.295117,within_frame_only_anonymous_component
SAR000339_C07,7,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,339,calibration,345,0.003821,0.0108,-0.831996,1.225813,1.474386,0.144988,162.918196,2.364794,within_frame_only_anonymous_component
SAR000340_C01,1,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,340,calibration,25140,0.422407,0.7281,-0.836993,0.216759,0.590858,0.631211,177.513209,4.896281,within_frame_only_anonymous_component
SAR000340_C02,2,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,340,calibration,632,0.010619,0.0252,-0.558479,0.413503,0.630335,0.292508,73.524002,4.20066,within_frame_only_anonymous_component
SAR000340_C03,3,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,340,calibration,362,0.006082,0.0117,-0.500472,-0.976927,-0.618317,0.906942,153.581898,2.863431,within_frame_only_anonymous_component
SAR000341_C01,1,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,341,calibration,25448,0.488699,0.81,-0.979568,0.206866,0.649709,0.761726,176.568695,4.41357,within_frame_only_anonymous_component
SAR000341_C02,2,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,341,calibration,217,0.004167,0.0108,0.236513,0.381418,0.222086,-0.389995,156.841765,2.407395,within_frame_only_anonymous_component
SAR000342_C01,1,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,342,calibration,27533,0.307189,0.5715,-1.316852,1.087891,1.56878,0.675675,174.087701,3.441053,within_frame_only_anonymous_component
SAR000342_C02,2,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,342,calibration,5563,0.062067,0.1503,-0.286636,-1.349878,-1.070537,0.870794,1.609532,6.983597,within_frame_only_anonymous_component
SAR000342_C03,3,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,342,calibration,5225,0.058296,0.1332,-0.728853,-0.357681,0.014141,0.811765,168.363693,2.339133,within_frame_only_anonymous_component
SAR000342_C04,4,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,342,calibration,677,0.007553,0.0189,-1.042646,1.901598,2.167839,0.060503,155.445864,1.701753,within_frame_only_anonymous_component
SAR000342_C05,5,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,342,calibration,651,0.007263,0.0189,-1.058309,1.504005,1.821158,0.255794,129.847756,1.099983,within_frame_only_anonymous_component
SAR000342_C06,6,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,342,calibration,386,0.004307,0.0126,-0.846541,1.961967,2.132114,-0.141549,153.925522,1.216287,within_frame_only_anonymous_component
SAR000342_C07,7,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,342,calibration,401,0.004474,0.0126,0.098129,-2.120885,-1.932169,0.88006,165.223181,1.986054,within_frame_only_anonymous_component
SAR000343_C01,1,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,343,calibration,26042,0.309865,0.531,-1.31312,1.110195,1.580163,0.67816,170.736512,3.573525,within_frame_only_anonymous_component
SAR000343_C02,2,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,343,calibration,5178,0.061611,0.1386,-0.672671,-0.570346,-0.209395,0.8567,178.160437,3.09603,within_frame_only_anonymous_component
SAR000343_C03,3,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,343,calibration,2020,0.024035,0.0603,-0.344111,-1.279791,-0.99088,0.880019,8.126765,2.690151,within_frame_only_anonymous_component
SAR000343_C04,4,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,343,calibration,1924,0.022893,0.0486,-0.876476,0.64445,0.968334,0.495838,166.105714,1.170873,within_frame_only_anonymous_component
SAR000343_C05,5,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,343,calibration,1145,0.013624,0.0306,-0.911521,1.832374,2.04657,-0.003961,94.492408,2.410181,within_frame_only_anonymous_component
SAR000343_C06,6,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,343,calibration,886,0.010542,0.0279,-0.860542,-0.051659,0.338558,0.79283,130.620096,2.2481,within_frame_only_anonymous_component
SAR000343_C07,7,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,343,calibration,740,0.008805,0.0189,-0.105169,-1.74039,-1.50971,0.872235,4.162415,1.644839,within_frame_only_anonymous_component
SAR000343_C08,8,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,343,calibration,584,0.006949,0.018,-0.000217,-1.887462,-1.688188,0.844117,110.15945,1.723856,within_frame_only_anonymous_component
SAR000343_C09,9,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,343,calibration,488,0.005807,0.0153,-1.066542,0.957132,1.333002,0.52604,172.981306,2.575003,within_frame_only_anonymous_component
SAR000343_C10,10,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,343,calibration,352,0.004188,0.0108,-0.572448,-0.290788,-0.004149,0.642057,1.832339,2.959149,within_frame_only_anonymous_component
