frame_a,frame_b,pair_type,time_separation_frames,aspect_difference_deg,absolute_range_difference_m_grid,response_descriptor_distance,response_similarity,same_aspect_similarity,different_aspect_similarity,aspect_repeatability_effect,threshold_source
344,351,same_aspect_different_range,7,4.836971,0.894997,1.59021,0.203883,,,,calibration_pair_rules
345,350,same_aspect_different_range,5,4.890153,0.860328,1.906468,0.148604,,,,calibration_pair_rules
345,351,same_aspect_different_range,6,4.138702,0.84385,1.822365,0.161643,,,,calibration_pair_rules
345,352,same_aspect_different_range,7,4.905749,1.164042,1.88995,0.151079,,,,calibration_pair_rules
346,351,same_aspect_similar_range,5,2.999977,0.641441,1.727984,0.177642,,,,calibration_pair_rules
346,352,same_aspect_different_range,6,3.767024,0.961633,1.816853,0.162536,,,,calibration_pair_rules
346,353,same_aspect_different_range,7,4.270444,1.039251,0.690266,0.501443,,,,calibration_pair_rules
346,389,same_aspect_different_range,43,4.67974,6.586653,1.685647,0.185324,,,,calibration_pair_rules
346,391,same_aspect_different_range,45,4.799502,6.702649,1.66678,0.188854,,,,calibration_pair_rules
346,392,same_aspect_different_range,46,4.828933,6.975845,1.613457,0.199198,,,,calibration_pair_rules
347,352,same_aspect_different_range,5,2.2539,0.815164,1.918945,0.146762,,,,calibration_pair_rules
347,353,same_aspect_different_range,6,2.75732,0.892782,0.52977,0.588741,,,,calibration_pair_rules
347,354,same_aspect_different_range,7,3.875094,1.068943,0.697024,0.498065,,,,calibration_pair_rules
347,388,same_aspect_different_range,41,3.985424,6.298632,1.695852,0.183443,,,,calibration_pair_rules
347,389,same_aspect_different_range,42,3.166616,6.440184,1.726926,0.17783,,,,calibration_pair_rules
347,390,same_aspect_different_range,43,3.643263,6.576353,1.752416,0.173355,,,,calibration_pair_rules
347,391,same_aspect_different_range,44,3.286378,6.55618,1.749017,0.173945,,,,calibration_pair_rules
347,392,same_aspect_different_range,45,3.315809,6.829376,1.560298,0.210073,,,,calibration_pair_rules
347,393,same_aspect_different_range,46,4.000136,7.093966,1.744504,0.174732,,,,calibration_pair_rules
347,394,same_aspect_different_range,47,4.981322,7.016551,1.508988,0.221134,,,,calibration_pair_rules
348,353,same_aspect_similar_range,5,2.621634,0.735529,0.441554,0.643037,,,,calibration_pair_rules
348,354,same_aspect_different_range,6,3.739408,0.91169,0.670505,0.51145,,,,calibration_pair_rules
348,388,same_aspect_different_range,40,3.849738,6.141379,1.738412,0.175799,,,,calibration_pair_rules
348,389,same_aspect_different_range,41,3.03093,6.282931,1.770811,0.170195,,,,calibration_pair_rules
348,390,same_aspect_different_range,42,3.507577,6.4191,1.796054,0.165953,,,,calibration_pair_rules
348,391,same_aspect_different_range,43,3.150692,6.398927,1.799252,0.165423,,,,calibration_pair_rules
348,392,same_aspect_different_range,44,3.180123,6.672123,1.577787,0.206431,,,,calibration_pair_rules
348,393,same_aspect_different_range,45,3.86445,6.936713,1.796792,0.16583,,,,calibration_pair_rules
348,394,same_aspect_different_range,46,4.845636,6.859298,1.538697,0.214661,,,,calibration_pair_rules
349,354,same_aspect_different_range,5,3.245398,0.751268,0.63866,0.528,,,,calibration_pair_rules
349,385,same_aspect_different_range,36,4.815074,5.62415,1.511914,0.220487,,,,calibration_pair_rules
349,388,same_aspect_different_range,39,3.355728,5.980957,1.735894,0.176243,,,,calibration_pair_rules
349,389,same_aspect_different_range,40,2.53692,6.122509,1.768585,0.170574,,,,calibration_pair_rules
349,390,same_aspect_different_range,41,3.013567,6.258678,1.793286,0.166412,,,,calibration_pair_rules
349,391,same_aspect_different_range,42,2.656682,6.238505,1.800729,0.165178,,,,calibration_pair_rules
349,392,same_aspect_different_range,43,2.686113,6.511701,1.547052,0.212875,,,,calibration_pair_rules
349,393,same_aspect_different_range,44,3.37044,6.776291,1.800236,0.16526,,,,calibration_pair_rules
349,394,same_aspect_different_range,45,4.351626,6.698876,1.508011,0.22135,,,,calibration_pair_rules
350,355,same_aspect_similar_range,5,3.467015,0.619269,2.128162,0.119056,,,,calibration_pair_rules
350,356,same_aspect_different_range,6,4.960558,0.771697,2.097979,0.122704,,,,calibration_pair_rules
350,383,same_aspect_different_range,33,3.707635,5.152494,0.312472,0.731636,,,,calibration_pair_rules
350,385,same_aspect_different_range,35,3.206466,5.430375,2.02382,0.13215,,,,calibration_pair_rules
350,386,same_aspect_different_range,36,3.629109,5.435952,1.843405,0.158278,,,,calibration_pair_rules
350,387,same_aspect_different_range,37,4.219777,5.508657,1.92399,0.146023,,,,calibration_pair_rules
350,388,same_aspect_different_range,38,1.74712,5.787182,0.615964,0.54012,,,,calibration_pair_rules
350,389,same_aspect_different_range,39,0.928312,5.928734,0.791557,0.453138,,,,calibration_pair_rules
350,390,same_aspect_different_range,40,1.404959,6.064903,0.688382,0.502388,,,,calibration_pair_rules
350,391,same_aspect_different_range,41,1.048074,6.04473,0.668352,0.512553,,,,calibration_pair_rules
350,392,same_aspect_different_range,42,1.077505,6.317926,1.539438,0.214502,,,,calibration_pair_rules
350,393,same_aspect_different_range,43,1.761832,6.582516,0.636033,0.529388,,,,calibration_pair_rules
350,394,same_aspect_different_range,44,2.743018,6.505101,1.500312,0.223061,,,,calibration_pair_rules
351,383,same_aspect_different_range,32,4.459086,5.168972,0.511642,0.59951,,,,calibration_pair_rules
351,385,same_aspect_different_range,34,3.957917,5.446853,2.18899,0.11203,,,,calibration_pair_rules
351,386,same_aspect_different_range,35,4.38056,5.45243,1.994635,0.136063,,,,calibration_pair_rules
351,387,same_aspect_different_range,36,4.971228,5.525135,2.072109,0.12592,,,,calibration_pair_rules
351,388,same_aspect_different_range,37,2.498571,5.80366,0.697488,0.497834,,,,calibration_pair_rules
351,389,same_aspect_different_range,38,1.679763,5.945212,0.958228,0.383572,,,,calibration_pair_rules
351,390,same_aspect_different_range,39,2.15641,6.081381,0.843607,0.430156,,,,calibration_pair_rules
351,391,same_aspect_different_range,40,1.799525,6.061208,0.753767,0.47059,,,,calibration_pair_rules
351,392,same_aspect_different_range,41,1.828956,6.334404,1.681766,0.186045,,,,calibration_pair_rules
351,393,same_aspect_different_range,42,2.513283,6.598994,0.625795,0.534836,,,,calibration_pair_rules
351,394,same_aspect_different_range,43,3.494469,6.521579,1.67502,0.187304,,,,calibration_pair_rules
352,383,same_aspect_different_range,31,3.692039,4.84878,0.294591,0.744836,,,,calibration_pair_rules
352,385,same_aspect_different_range,33,3.19087,5.126661,2.04432,0.129468,,,,calibration_pair_rules
352,386,same_aspect_different_range,34,3.613513,5.132238,1.846828,0.157737,,,,calibration_pair_rules
352,387,same_aspect_different_range,35,4.204181,5.204943,1.936478,0.144211,,,,calibration_pair_rules
352,388,same_aspect_different_range,36,1.731524,5.483468,0.527301,0.590196,,,,calibration_pair_rules
352,389,same_aspect_different_range,37,0.912716,5.62502,0.679552,0.506844,,,,calibration_pair_rules
352,390,same_aspect_different_range,38,1.389363,5.761189,0.58746,0.555737,,,,calibration_pair_rules
352,391,same_aspect_different_range,39,1.032478,5.741016,0.578678,0.560639,,,,calibration_pair_rules
352,392,same_aspect_different_range,40,1.061909,6.014212,1.536423,0.215149,,,,calibration_pair_rules
352,393,same_aspect_different_range,41,1.746236,6.278802,0.567554,0.56691,,,,calibration_pair_rules
352,394,same_aspect_different_range,42,2.727422,6.201387,1.499822,0.22317,,,,calibration_pair_rules
353,383,same_aspect_different_range,30,3.188619,4.771162,2.093033,0.123313,,,,calibration_pair_rules
353,385,same_aspect_different_range,32,2.68745,5.049043,1.618203,0.198255,,,,calibration_pair_rules
353,386,same_aspect_different_range,33,3.110093,5.05462,1.738298,0.175819,,,,calibration_pair_rules
353,387,same_aspect_different_range,34,3.700761,5.127325,1.464832,0.231117,,,,calibration_pair_rules
353,388,same_aspect_different_range,35,1.228104,5.40585,2.019597,0.132709,,,,calibration_pair_rules
353,389,same_aspect_different_range,36,0.409296,5.547402,2.043601,0.129561,,,,calibration_pair_rules
353,390,same_aspect_different_range,37,0.885943,5.683571,2.076011,0.12543,,,,calibration_pair_rules
353,391,same_aspect_different_range,38,0.529058,5.663398,2.094432,0.12314,,,,calibration_pair_rules
353,392,same_aspect_different_range,39,0.558489,5.936594,1.823312,0.16149,,,,calibration_pair_rules
353,393,same_aspect_different_range,40,1.242816,6.201184,2.098546,0.122635,,,,calibration_pair_rules
353,394,same_aspect_different_range,41,2.224002,6.123769,1.762846,0.171556,,,,calibration_pair_rules
354,383,same_aspect_different_range,29,2.070845,4.595001,1.998172,0.135583,,,,calibration_pair_rules
354,384,same_aspect_different_range,30,3.998383,4.348757,1.931246,0.144968,,,,calibration_pair_rules
354,385,same_aspect_different_range,31,1.569676,4.872882,1.187086,0.305109,,,,calibration_pair_rules
354,386,same_aspect_different_range,32,1.992319,4.878459,1.39162,0.248672,,,,calibration_pair_rules
354,387,same_aspect_different_range,33,2.582987,4.951164,1.058501,0.346975,,,,calibration_pair_rules
354,388,same_aspect_different_range,34,0.11033,5.229689,1.898015,0.149866,,,,calibration_pair_rules
354,389,same_aspect_different_range,35,0.708478,5.371241,1.847496,0.157631,,,,calibration_pair_rules
354,390,same_aspect_different_range,36,0.231831,5.50741,1.903959,0.148978,,,,calibration_pair_rules
354,391,same_aspect_different_range,37,0.588716,5.487237,1.957444,0.141219,,,,calibration_pair_rules
354,392,same_aspect_different_range,38,0.559285,5.760433,1.539107,0.214573,,,,calibration_pair_rules
354,393,same_aspect_different_range,39,0.125042,6.025023,2.011006,0.133854,,,,calibration_pair_rules
354,394,same_aspect_different_range,40,1.106228,5.947608,1.420903,0.241496,,,,calibration_pair_rules
355,382,same_aspect_different_range,27,4.233848,3.946823,2.274562,0.102842,,,,calibration_pair_rules
355,383,same_aspect_different_range,28,0.24062,4.533225,2.060199,0.127429,,,,calibration_pair_rules
355,384,same_aspect_different_range,29,2.168158,4.286981,1.992607,0.136339,,,,calibration_pair_rules
355,385,same_aspect_different_range,30,0.260549,4.811106,1.123205,0.325236,,,,calibration_pair_rules
355,386,same_aspect_different_range,31,0.162094,4.816683,1.42931,0.239474,,,,calibration_pair_rules
355,387,same_aspect_different_range,32,0.752762,4.889388,1.043618,0.352178,,,,calibration_pair_rules
355,388,same_aspect_different_range,33,1.719895,5.167913,1.974569,0.138821,,,,calibration_pair_rules
355,389,same_aspect_different_range,34,2.538703,5.309465,1.928036,0.145433,,,,calibration_pair_rules
355,390,same_aspect_different_range,35,2.062056,5.445634,1.980116,0.138053,,,,calibration_pair_rules
355,391,same_aspect_different_range,36,2.418941,5.425461,2.02528,0.131957,,,,calibration_pair_rules
355,392,same_aspect_different_range,37,2.38951,5.698657,1.593895,0.203133,,,,calibration_pair_rules
355,393,same_aspect_different_range,38,1.705183,5.963247,2.077904,0.125192,,,,calibration_pair_rules
355,394,same_aspect_different_range,39,0.723997,5.885832,1.460642,0.232087,,,,calibration_pair_rules
356,381,same_aspect_different_range,25,3.571664,3.888356,2.103005,0.122089,,,,calibration_pair_rules
356,382,same_aspect_different_range,26,2.740305,3.794395,2.211188,0.10957,,,,calibration_pair_rules
356,383,same_aspect_different_range,27,1.252923,4.380797,2.039419,0.130104,,,,calibration_pair_rules
356,384,same_aspect_different_range,28,0.674615,4.134553,2.027311,0.131689,,,,calibration_pair_rules
356,385,same_aspect_different_range,29,1.754092,4.658678,1.268999,0.281113,,,,calibration_pair_rules
356,386,same_aspect_different_range,30,1.331449,4.664255,1.530869,0.216348,,,,calibration_pair_rules
356,387,same_aspect_different_range,31,0.740781,4.73696,1.173042,0.309424,,,,calibration_pair_rules
356,388,same_aspect_different_range,32,3.213438,5.015485,1.964627,0.140208,,,,calibration_pair_rules
356,389,same_aspect_different_range,33,4.032246,5.157037,1.952506,0.141918,,,,calibration_pair_rules
356,390,same_aspect_different_range,34,3.555599,5.293206,1.992218,0.136393,,,,calibration_pair_rules
356,391,same_aspect_different_range,35,3.912484,5.273033,2.019961,0.132661,,,,calibration_pair_rules
356,392,same_aspect_different_range,36,3.883053,5.546229,1.662935,0.189582,,,,calibration_pair_rules
356,393,same_aspect_different_range,37,3.198726,5.810819,2.049808,0.12876,,,,calibration_pair_rules
356,394,same_aspect_different_range,38,2.21754,5.733404,1.5521,0.211803,,,,calibration_pair_rules
357,362,same_aspect_similar_range,5,4.42279,0.678048,0.716954,0.488237,,,,calibration_pair_rules
357,379,same_aspect_different_range,22,3.547414,3.468596,2.145566,0.117002,,,,calibration_pair_rules
357,380,same_aspect_different_range,23,3.245209,3.41015,2.136241,0.118098,,,,calibration_pair_rules
357,381,same_aspect_different_range,24,1.325935,3.669667,2.114233,0.120726,,,,calibration_pair_rules
357,382,same_aspect_different_range,25,0.494576,3.575706,2.225133,0.108053,,,,calibration_pair_rules
357,383,same_aspect_different_range,26,3.498652,4.162108,2.047,0.129122,,,,calibration_pair_rules
357,384,same_aspect_different_range,27,1.571114,3.915864,2.050079,0.128725,,,,calibration_pair_rules
357,385,same_aspect_different_range,28,3.999821,4.439989,1.236831,0.290303,,,,calibration_pair_rules
357,386,same_aspect_different_range,29,3.577178,4.445566,1.478869,0.227895,,,,calibration_pair_rules
357,387,same_aspect_different_range,30,2.98651,4.518271,1.132732,0.322152,,,,calibration_pair_rules
357,394,same_aspect_different_range,37,4.463269,5.514715,1.524405,0.217751,,,,calibration_pair_rules
358,377,same_aspect_different_range,19,4.63039,3.110872,2.119619,0.120077,,,,calibration_pair_rules
358,379,same_aspect_different_range,21,2.815619,3.266218,2.028831,0.131489,,,,calibration_pair_rules
358,380,same_aspect_different_range,22,2.513414,3.207772,2.027521,0.131662,,,,calibration_pair_rules
358,381,same_aspect_different_range,23,0.59414,3.467289,2.063004,0.127072,,,,calibration_pair_rules
358,382,same_aspect_different_range,24,0.237219,3.373328,2.224722,0.108097,,,,calibration_pair_rules
358,383,same_aspect_different_range,25,4.230447,3.95973,1.99441,0.136094,,,,calibration_pair_rules
358,384,same_aspect_different_range,26,2.302909,3.713486,1.952771,0.14188,,,,calibration_pair_rules
358,385,same_aspect_different_range,27,4.731616,4.237611,1.061192,0.346043,,,,calibration_pair_rules
358,386,same_aspect_different_range,28,4.308973,4.243188,1.324792,0.265858,,,,calibration_pair_rules
358,387,same_aspect_different_range,29,3.718305,4.315893,0.9504,0.386587,,,,calibration_pair_rules
359,377,same_aspect_different_range,18,4.268522,3.048695,2.219768,0.108634,,,,calibration_pair_rules
359,378,same_aspect_different_range,19,4.721687,2.86188,2.218519,0.10877,,,,calibration_pair_rules
359,379,same_aspect_different_range,20,2.453751,3.204041,2.309388,0.099322,,,,calibration_pair_rules
359,380,same_aspect_different_range,21,2.151546,3.145595,2.296021,0.100659,,,,calibration_pair_rules
359,381,same_aspect_different_range,22,0.232272,3.405112,2.241711,0.106277,,,,calibration_pair_rules
359,382,same_aspect_different_range,23,0.599087,3.311151,2.31768,0.098502,,,,calibration_pair_rules
359,383,same_aspect_different_range,24,4.592315,3.897553,2.168667,0.11433,,,,calibration_pair_rules
359,384,same_aspect_different_range,25,2.664777,3.651309,2.223982,0.108177,,,,calibration_pair_rules
359,386,same_aspect_different_range,27,4.670841,4.181011,1.693909,0.1838,,,,calibration_pair_rules
359,387,same_aspect_different_range,28,4.080173,4.253716,1.330304,0.264397,,,,calibration_pair_rules
360,365,same_aspect_similar_range,5,3.847343,0.736883,1.152435,0.315867,,,,calibration_pair_rules
360,377,same_aspect_different_range,17,2.39666,2.883817,2.288358,0.101433,,,,calibration_pair_rules
360,378,same_aspect_different_range,18,2.849825,2.697002,2.286806,0.10159,,,,calibration_pair_rules
360,379,same_aspect_different_range,19,0.581889,3.039163,2.353998,0.094989,,,,calibration_pair_rules
360,380,same_aspect_different_range,20,0.279684,2.980717,2.34354,0.095987,,,,calibration_pair_rules
360,381,same_aspect_different_range,21,1.63959,3.240234,2.30818,0.099442,,,,calibration_pair_rules
360,382,same_aspect_different_range,22,2.470949,3.146273,2.408602,0.089941,,,,calibration_pair_rules
360,384,same_aspect_different_range,24,4.536639,3.486431,2.290751,0.10119,,,,calibration_pair_rules
361,366,same_aspect_different_range,5,4.935736,0.886046,1.151569,0.31614,,,,calibration_pair_rules
361,367,same_aspect_different_range,6,4.093255,0.976206,1.10414,0.331496,,,,calibration_pair_rules
361,368,same_aspect_different_range,7,4.771366,1.126048,2.229416,0.107591,,,,calibration_pair_rules
361,369,same_aspect_different_range,8,4.68299,1.025054,2.132257,0.118569,,,,calibration_pair_rules
361,375,same_aspect_different_range,14,4.718823,2.198136,2.235003,0.106992,,,,calibration_pair_rules
361,376,same_aspect_different_range,15,4.968812,2.118636,2.130713,0.118753,,,,calibration_pair_rules
361,377,same_aspect_different_range,16,1.092711,2.664859,2.320289,0.098245,,,,calibration_pair_rules
361,378,same_aspect_different_range,17,1.545876,2.478044,2.24411,0.106022,,,,calibration_pair_rules
361,379,same_aspect_different_range,18,0.72206,2.820205,2.189622,0.111959,,,,calibration_pair_rules
361,380,same_aspect_different_range,19,1.024265,2.761759,2.19569,0.111282,,,,calibration_pair_rules
361,381,same_aspect_different_range,20,2.943539,3.021276,2.277239,0.102567,,,,calibration_pair_rules
361,382,same_aspect_different_range,21,3.774898,2.927315,2.479596,0.083777,,,,calibration_pair_rules
362,367,same_aspect_different_range,5,3.939939,0.946549,0.917846,0.399378,,,,calibration_pair_rules
362,368,same_aspect_different_range,6,4.61805,1.096391,2.333244,0.096981,,,,calibration_pair_rules
362,369,same_aspect_different_range,7,4.529674,0.995397,2.229059,0.10763,,,,calibration_pair_rules
362,375,same_aspect_different_range,13,4.565507,2.168479,2.348614,0.095501,,,,calibration_pair_rules
362,376,same_aspect_different_range,14,4.815496,2.088979,2.276813,0.102611,,,,calibration_pair_rules
362,377,same_aspect_different_range,15,0.939395,2.635202,2.455823,0.085793,,,,calibration_pair_rules
362,378,same_aspect_different_range,16,1.39256,2.448387,2.375643,0.092955,,,,calibration_pair_rules
362,379,same_aspect_different_range,17,0.875376,2.790548,2.341319,0.096201,,,,calibration_pair_rules
362,380,same_aspect_different_range,18,1.177581,2.732102,2.351322,0.095243,,,,calibration_pair_rules
362,381,same_aspect_different_range,19,3.096855,2.991619,2.431875,0.087872,,,,calibration_pair_rules
362,382,same_aspect_different_range,20,3.928214,2.897658,2.612138,0.073377,,,,calibration_pair_rules
363,368,same_aspect_different_range,5,2.69489,0.799476,2.068011,0.126437,,,,calibration_pair_rules
363,369,same_aspect_similar_range,6,2.606514,0.698482,2.042857,0.129658,,,,calibration_pair_rules
363,370,same_aspect_different_range,7,3.516279,1.084987,0.686328,0.503421,,,,calibration_pair_rules
363,371,same_aspect_different_range,8,3.771755,1.127168,0.646108,0.524081,,,,calibration_pair_rules
363,374,same_aspect_different_range,11,3.251017,1.75685,0.870531,0.418729,,,,calibration_pair_rules
363,375,same_aspect_different_range,12,2.642347,1.871564,2.320665,0.098208,,,,calibration_pair_rules
363,376,same_aspect_different_range,13,2.892336,1.792064,2.215671,0.10908,,,,calibration_pair_rules
363,377,same_aspect_different_range,14,0.983765,2.338287,2.512254,0.081085,,,,calibration_pair_rules
363,378,same_aspect_different_range,15,0.5306,2.151472,2.433514,0.087728,,,,calibration_pair_rules
363,379,same_aspect_different_range,16,2.798536,2.493633,2.366642,0.093795,,,,calibration_pair_rules
363,380,same_aspect_different_range,17,3.100741,2.435187,2.382325,0.092336,,,,calibration_pair_rules
364,369,same_aspect_similar_range,5,1.66499,0.542101,2.096966,0.122828,,,,calibration_pair_rules
364,370,same_aspect_different_range,6,2.574755,0.928606,0.499728,0.606696,,,,calibration_pair_rules
364,371,same_aspect_different_range,7,2.830231,0.970787,0.626526,0.534446,,,,calibration_pair_rules
364,373,same_aspect_different_range,9,4.084048,1.410132,0.832956,0.434762,,,,calibration_pair_rules
364,374,same_aspect_different_range,10,2.309493,1.600469,1.069167,0.343294,,,,calibration_pair_rules
364,375,same_aspect_different_range,11,1.700823,1.715183,2.358363,0.094575,,,,calibration_pair_rules
364,376,same_aspect_different_range,12,1.950812,1.635683,2.381874,0.092377,,,,calibration_pair_rules
364,377,same_aspect_different_range,13,1.925289,2.181906,2.640256,0.071343,,,,calibration_pair_rules
364,378,same_aspect_different_range,14,1.472124,1.995091,2.63227,0.071915,,,,calibration_pair_rules
364,379,same_aspect_different_range,15,3.74006,2.337252,2.649289,0.070701,,,,calibration_pair_rules
364,380,same_aspect_different_range,16,4.042265,2.278806,2.654414,0.07034,,,,calibration_pair_rules
365,370,same_aspect_different_range,5,3.049361,0.893634,0.707201,0.493022,,,,calibration_pair_rules
365,371,same_aspect_different_range,6,3.304837,0.935815,0.903075,0.405321,,,,calibration_pair_rules
365,373,same_aspect_different_range,8,4.558654,1.37516,1.174166,0.309077,,,,calibration_pair_rules
365,374,same_aspect_different_range,9,2.784099,1.565497,1.383891,0.250602,,,,calibration_pair_rules
365,375,same_aspect_different_range,10,2.175429,1.680211,2.380567,0.092498,,,,calibration_pair_rules
365,376,same_aspect_different_range,11,2.425418,1.600711,2.504883,0.081685,,,,calibration_pair_rules
365,377,same_aspect_different_range,12,1.450683,2.146934,2.713652,0.066294,,,,calibration_pair_rules
365,378,same_aspect_different_range,13,0.997518,1.960119,2.743398,0.064351,,,,calibration_pair_rules
365,379,same_aspect_different_range,14,3.265454,2.30228,2.83156,0.058921,,,,calibration_pair_rules
365,380,same_aspect_different_range,15,3.567659,2.243834,2.832398,0.058872,,,,calibration_pair_rules
366,371,same_aspect_similar_range,5,0.912495,0.567694,0.689626,0.501764,,,,calibration_pair_rules
366,372,same_aspect_different_range,6,3.272816,0.854752,0.950759,0.386448,,,,calibration_pair_rules
366,373,same_aspect_different_range,7,2.166312,1.007039,0.948285,0.387405,,,,calibration_pair_rules
366,374,same_aspect_different_range,8,0.391757,1.197376,1.165526,0.311759,,,,calibration_pair_rules
366,375,same_aspect_different_range,9,0.216913,1.31209,2.404554,0.090306,,,,calibration_pair_rules
366,376,same_aspect_different_range,10,0.033076,1.23259,2.425416,0.088441,,,,calibration_pair_rules
366,377,same_aspect_different_range,11,3.843025,1.778813,2.761327,0.063208,,,,calibration_pair_rules
366,378,same_aspect_different_range,12,3.38986,1.591998,2.750042,0.063925,,,,calibration_pair_rules
367,372,same_aspect_different_range,5,4.115297,0.764592,0.84272,0.430538,,,,calibration_pair_rules
367,373,same_aspect_different_range,6,3.008793,0.916879,0.828473,0.436716,,,,calibration_pair_rules
367,374,same_aspect_different_range,7,1.234238,1.107216,1.077823,0.340336,,,,calibration_pair_rules
367,375,same_aspect_different_range,8,0.625568,1.22193,2.439546,0.0872,,,,calibration_pair_rules
367,376,same_aspect_different_range,9,0.875557,1.14243,2.449978,0.086296,,,,calibration_pair_rules
367,377,same_aspect_different_range,10,3.000544,1.688653,2.737597,0.064726,,,,calibration_pair_rules
367,378,same_aspect_different_range,11,2.547379,1.501838,2.708913,0.066609,,,,calibration_pair_rules
367,379,same_aspect_different_range,12,4.815315,1.843999,2.710907,0.066476,,,,calibration_pair_rules
368,373,same_aspect_different_range,5,2.330682,0.767037,2.201147,0.110676,,,,calibration_pair_rules
368,374,same_aspect_different_range,6,0.556127,0.957374,2.237876,0.106685,,,,calibration_pair_rules
368,375,same_aspect_different_range,7,0.052543,1.072088,1.706593,0.181483,,,,calibration_pair_rules
368,376,same_aspect_different_range,8,0.197446,0.992588,1.383679,0.250655,,,,calibration_pair_rules
