subject_frame_id,subject_name,subject_short,pair_id,sar_frame,split,source_region_id,source_variant,posthoc_evaluation_label,gate_label_used_for_status,subject_motion_model,persistent_subject_status,center_x,center_y,width_px,height_px,width_m_grid,height_m_grid,angle_deg,subject_principal_axis_deg,local_range_axis_deg,local_azimuth_axis_deg,body_axis_proxy_deg,motion_heading_directed_deg,heading_confidence,principal_minus_body_axial_deg,principal_minus_range_axial_deg,body_minus_range_axial_deg,principal_minus_motion_axial_deg,center_selection_status,mean_energy,high_energy_pixel_fraction,local_background_normalized_energy,body_long_energy90_width_m,body_short_energy90_width_m,response_compactness,response_linearity,energy_centroid_range_m,energy_centroid_azimuth_m,observation_status,visible_fraction,surface_generation_status
matched_linear_structure_background_sar000317,matched_linear_structure_background,mls,WGV35A_PAIR_0006,317,calibration,E0_R1_REG_000317_0042,matched_linear_structure_background_same_area,negative,false,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,1473,816,158.83115,69.254939,4.764934,2.077648,0.838679,5.377997,121.794731,31.794731,0.838679,0.838679,HIGH,4.539318,63.583266,59.043948,4.539318,UNIQUE_GT_CENTER,47.092838,0.161079,1.035717,4.297005,1.486803,0.172427,3.926843,-10.937283,17.463275,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
fixed_known_non_vehicle_N005_sar000317,fixed_known_non_vehicle_N005,n005,WGV35A_PAIR_0006,317,calibration,E0_R1_REG_000317_0043,fixed_known_non_vehicle_same_area,negative,false,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,1196.566369,1166.397906,158.83115,69.254939,4.764934,2.077648,0.838679,2.022057,104.532969,14.532969,0.838679,0.838679,HIGH,1.183378,77.489088,76.30571,1.183378,UNIQUE_GT_CENTER,43.214203,0.03173,0.950414,4.23306,1.879561,0.176351,2.187478,-13.065781,4.274734,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
fixed_strong_scatterer_sar000317,fixed_strong_scatterer,fss,WGV35A_PAIR_0006,317,calibration,E0_R1_REG_000317_0045,fixed_strong_scatterer_background_same_area,negative,false,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,1132.158395,1164.457828,158.83115,69.254939,4.764934,2.077648,0.838679,4.959229,82.510653,172.510653,0.838679,0.838679,HIGH,4.12055,77.551424,81.671974,4.12055,UNIQUE_GT_CENTER,43.35865,0.034157,0.95359,4.31295,1.886861,0.12486,2.284314,-11.726895,2.906885,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
fixed_linear_structure_sar000317,fixed_linear_structure,fls,WGV35A_PAIR_0006,317,calibration,E0_R1_REG_000317_0044,fixed_linear_structure_background_same_area,negative,false,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,1461.700834,848.735721,158.83115,69.254939,4.764934,2.077648,0.838679,0.477315,122.560807,32.560807,0.838679,0.838679,HIGH,0.361364,57.916508,58.277872,0.361364,UNIQUE_GT_CENTER,46.805122,0.148404,1.029389,4.501274,1.516224,0.148089,2.900377,-11.394664,16.573818,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
vehicle_body_axis_reference_sar000319,vehicle_body_axis_reference,veh,WGV35A_PAIR_0007,319,calibration,E0_R1_REG_000319_0002,body_axis_reference,vehicle,false,GT_ATTACHED_MOVING_SUBJECT,PERSISTENT_MOVING_GT_ATTACHED,813.8,939.398,158.83115,69.254939,4.764934,2.077648,2.172565,1.303369,48.988883,138.988883,2.172565,2.172565,HIGH,0.869196,47.685514,46.816318,0.869196,UNIQUE_GT_CENTER,53.282524,0.113712,1.014229,3.871767,1.664237,0.176409,2.460432,-0.042346,0.018708,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
matched_ordinary_background_sar000319,matched_ordinary_background,mob,WGV35A_PAIR_0007,319,calibration,E0_R1_REG_000319_0040,matched_ordinary_background_same_area,negative,false,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,1541,986,158.83115,69.254939,4.764934,2.077648,2.172565,4.430788,138.316876,48.316876,2.172565,2.172565,HIGH,2.258223,46.113912,43.855689,2.258223,UNIQUE_GT_CENTER,51.930805,0.071545,0.988499,4.254254,1.774913,0.153041,2.42909,-15.326034,15.541833,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
matched_strong_scatterer_background_sar000319,matched_strong_scatterer_background,mss,WGV35A_PAIR_0007,319,calibration,E0_R1_REG_000319_0041,matched_strong_scatterer_background_same_area,negative,false,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,963,850,158.83115,69.254939,4.764934,2.077648,2.172565,179.896178,68.326143,158.326143,2.172565,2.172565,HIGH,2.276387,68.429965,66.153578,2.276387,UNIQUE_GT_CENTER,58.342529,0.270713,1.110546,3.997777,1.602005,0.1654,2.436805,-0.871885,5.14353,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
matched_linear_structure_background_sar000319,matched_linear_structure_background,mls,WGV35A_PAIR_0007,319,calibration,E0_R1_REG_000319_0042,matched_linear_structure_background_same_area,negative,false,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,1133,782,158.83115,69.254939,4.764934,2.077648,2.172565,173.237173,87.80783,177.80783,2.172565,2.172565,HIGH,8.935392,85.429343,85.635265,8.935392,UNIQUE_GT_CENTER,53.139202,0.10492,1.011501,4.576056,1.779601,0.1282,3.41867,-2.699634,10.31691,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
fixed_known_non_vehicle_N005_sar000319,fixed_known_non_vehicle_N005,n005,WGV35A_PAIR_0007,319,calibration,E0_R1_REG_000319_0043,fixed_known_non_vehicle_same_area,negative,false,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,1196.566369,1166.397906,158.83115,69.254939,4.764934,2.077648,2.172565,6.24962,104.532969,14.532969,2.172565,2.172565,HIGH,4.077055,81.716651,77.639596,4.077055,UNIQUE_GT_CENTER,50.88596,0.033827,0.968611,4.30625,1.890826,0.15552,2.208538,-12.649379,4.202132,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
fixed_strong_scatterer_sar000319,fixed_strong_scatterer,fss,WGV35A_PAIR_0007,319,calibration,E0_R1_REG_000319_0045,fixed_strong_scatterer_background_same_area,negative,false,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,1132.158395,1164.457828,158.83115,69.254939,4.764934,2.077648,2.172565,2.750813,82.510653,172.510653,2.172565,2.172565,HIGH,0.578248,79.75984,80.338088,0.578248,UNIQUE_GT_CENTER,50.845596,0.033795,0.967842,4.309253,1.89351,0.154971,2.30925,-11.3457,2.781849,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
fixed_linear_structure_sar000319,fixed_linear_structure,fls,WGV35A_PAIR_0007,319,calibration,E0_R1_REG_000319_0044,fixed_linear_structure_background_same_area,negative,false,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,1461.700834,848.735721,158.83115,69.254939,4.764934,2.077648,2.172565,0.208092,122.560807,32.560807,2.172565,2.172565,HIGH,1.964473,57.647285,59.611758,1.964473,UNIQUE_GT_CENTER,54.361057,0.132233,1.034759,4.210309,1.595771,0.159004,2.493352,-10.663259,16.452056,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
vehicle_body_axis_reference_sar000321,vehicle_body_axis_reference,veh,WGV35A_PAIR_0010,321,calibration,E0_R1_REG_000321_0002,body_axis_reference,vehicle,false,GT_ATTACHED_MOVING_SUBJECT,PERSISTENT_MOVING_GT_ATTACHED,826.9845,944.068,158.83115,69.254939,4.764934,2.077648,2.172565,178.225632,49.767964,139.767964,2.172565,2.172565,HIGH,3.946933,51.542332,47.595399,3.946933,UNIQUE_GT_CENTER,50.648426,0.126628,1.023947,3.798163,1.622885,0.172729,2.800014,-0.038185,0.011603,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
matched_ordinary_background_sar000321,matched_ordinary_background,mob,WGV35A_PAIR_0010,321,calibration,E0_R1_REG_000321_0040,matched_ordinary_background_same_area,negative,false,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,1541,986,158.83115,69.254939,4.764934,2.077648,2.172565,4.4207,138.316876,48.316876,2.172565,2.172565,HIGH,2.248135,46.103824,43.855689,2.248135,UNIQUE_GT_CENTER,48.60284,0.055716,0.982592,4.151809,1.887504,0.159866,2.193851,-14.748126,15.538673,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
matched_strong_scatterer_background_sar000321,matched_strong_scatterer_background,mss,WGV35A_PAIR_0010,321,calibration,E0_R1_REG_000321_0041,matched_strong_scatterer_background_same_area,negative,false,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,997,816,158.83115,69.254939,4.764934,2.077648,2.172565,178.499086,73.033507,163.033507,2.172565,2.172565,HIGH,3.673479,74.534421,70.860942,3.673479,UNIQUE_GT_CENTER,56.033916,0.300289,1.132824,4.221682,1.619154,0.164844,2.630569,-0.355977,6.378683,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
matched_linear_structure_background_sar000321,matched_linear_structure_background,mls,WGV35A_PAIR_0010,321,calibration,E0_R1_REG_000321_0042,matched_linear_structure_background_same_area,negative,false,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,1473,952,158.83115,69.254939,4.764934,2.077648,2.172565,7.213987,130.116749,40.116749,2.172565,2.172565,HIGH,5.041422,57.097238,52.055816,5.041422,UNIQUE_GT_CENTER,50.324982,0.100217,1.017408,4.376123,1.659958,0.137276,3.01726,-12.666908,14.626919,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
fixed_known_non_vehicle_N005_sar000321,fixed_known_non_vehicle_N005,n005,WGV35A_PAIR_0010,321,calibration,E0_R1_REG_000321_0043,fixed_known_non_vehicle_same_area,negative,false,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,1196.566369,1166.397906,158.83115,69.254939,4.764934,2.077648,2.172565,0.684361,104.532969,14.532969,2.172565,2.172565,HIGH,1.488204,76.151392,77.639596,1.488204,UNIQUE_GT_CENTER,48.024586,0.029879,0.970902,4.329814,1.860619,0.154168,2.286435,-12.226334,4.15964,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
fixed_strong_scatterer_sar000321,fixed_strong_scatterer,fss,WGV35A_PAIR_0010,321,calibration,E0_R1_REG_000321_0045,fixed_strong_scatterer_background_same_area,negative,false,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,1132.158395,1164.457828,158.83115,69.254939,4.764934,2.077648,2.172565,176.571363,82.510653,172.510653,2.172565,2.172565,HIGH,5.601202,85.93929,80.338088,5.601202,UNIQUE_GT_CENTER,47.957085,0.032097,0.969537,4.183743,1.911387,0.156551,2.194986,-10.943883,2.724402,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
fixed_linear_structure_sar000321,fixed_linear_structure,fls,WGV35A_PAIR_0010,321,calibration,E0_R1_REG_000321_0044,fixed_linear_structure_background_same_area,negative,false,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,1461.700834,848.735721,158.83115,69.254939,4.764934,2.077648,2.172565,179.728975,122.560807,32.560807,2.172565,2.172565,HIGH,2.44359,57.168168,59.611758,2.44359,UNIQUE_GT_CENTER,50.524395,0.108562,1.02144,4.030758,1.790336,0.149285,2.071946,-10.081632,16.386124,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
vehicle_body_axis_reference_sar000323,vehicle_body_axis_reference,veh,WGV35A_PAIR_0012,323,calibration,E0_R1_REG_000323_0002,body_axis_reference,vehicle,false,GT_ATTACHED_MOVING_SUBJECT,PERSISTENT_MOVING_GT_ATTACHED,835.794,943.7485,158.83115,69.254939,4.764934,2.077648,0.921703,178.369169,50.56088,140.56088,0.921703,0.921703,HIGH,2.552534,52.191711,49.639177,2.552534,UNIQUE_GT_CENTER,49.775639,0.134921,1.024214,3.712763,1.058627,0.260811,3.460105,-0.046237,0.010471,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
matched_ordinary_background_sar000323,matched_ordinary_background,mob,WGV35A_PAIR_0012,323,calibration,E0_R1_REG_000323_0040,matched_ordinary_background_same_area,negative,false,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,1507,986,158.83115,69.254939,4.764934,2.077648,0.921703,2.359114,135.689881,45.689881,0.921703,0.921703,HIGH,1.437411,46.669233,45.231822,1.437411,UNIQUE_GT_CENTER,47.699707,0.053389,0.981498,4.292823,1.86169,0.156533,2.321932,-13.741334,14.759655,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
matched_strong_scatterer_background_sar000323,matched_strong_scatterer_background,mss,WGV35A_PAIR_0012,323,calibration,E0_R1_REG_000323_0041,matched_strong_scatterer_background_same_area,negative,false,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,997,850,158.83115,69.254939,4.764934,2.077648,0.921703,176.824616,71.90908,161.90908,0.921703,0.921703,HIGH,4.097087,75.084464,70.987377,4.097087,UNIQUE_GT_CENTER,53.903336,0.249818,1.109148,4.140429,1.623092,0.169144,2.642014,-0.849365,5.52518,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
matched_linear_structure_background_sar000323,matched_linear_structure_background,mls,WGV35A_PAIR_0012,323,calibration,E0_R1_REG_000323_0042,matched_linear_structure_background_same_area,negative,false,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,1167,816,158.83115,69.254939,4.764934,2.077648,0.921703,1.139919,91.447118,1.447118,0.921703,0.921703,HIGH,0.218216,89.692801,89.474585,0.218216,UNIQUE_GT_CENTER,49.601952,0.11516,1.02064,4.535205,1.722174,0.145652,3.161512,-3.351058,10.132675,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
fixed_known_non_vehicle_N005_sar000323,fixed_known_non_vehicle_N005,n005,WGV35A_PAIR_0012,323,calibration,E0_R1_REG_000323_0043,fixed_known_non_vehicle_same_area,negative,false,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,1196.566369,1166.397906,158.83115,69.254939,4.764934,2.077648,0.921703,4.727278,104.532969,14.532969,0.921703,0.921703,HIGH,3.805575,80.194309,76.388734,3.805575,UNIQUE_GT_CENTER,47.058388,0.028877,0.968302,4.329651,1.881628,0.150575,2.255733,-12.008928,4.105793,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
fixed_strong_scatterer_sar000323,fixed_strong_scatterer,fss,WGV35A_PAIR_0012,323,calibration,E0_R1_REG_000323_0045,fixed_strong_scatterer_background_same_area,negative,false,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,1132.158395,1164.457828,158.83115,69.254939,4.764934,2.077648,0.921703,175.464027,82.510653,172.510653,0.921703,0.921703,HIGH,5.457676,87.046626,81.58895,5.457676,UNIQUE_GT_CENTER,47.313389,0.038472,0.973549,4.452455,1.858312,0.125416,2.535757,-10.746888,2.666103,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
fixed_linear_structure_sar000323,fixed_linear_structure,fls,WGV35A_PAIR_0012,323,calibration,E0_R1_REG_000323_0044,fixed_linear_structure_background_same_area,negative,false,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,1461.700834,848.735721,158.83115,69.254939,4.764934,2.077648,0.921703,178.138126,122.560807,32.560807,0.921703,0.921703,HIGH,2.783577,55.577319,58.360896,2.783577,UNIQUE_GT_CENTER,49.498066,0.100674,1.018502,4.065884,1.790522,0.138461,2.14811,-9.6931,16.318835,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
vehicle_body_axis_reference_sar000325,vehicle_body_axis_reference,veh,WGV35A_PAIR_0014,325,calibration,E0_R1_REG_000325_0002,body_axis_reference,vehicle,false,GT_ATTACHED_MOVING_SUBJECT,PERSISTENT_MOVING_GT_ATTACHED,853.0945,939.369,158.83115,69.254939,4.764934,2.077648,-127.564781,33.79372,52.435219,142.435219,0.338618,0.338618,MEDIUM,33.455102,18.641499,52.096601,33.455102,UNIQUE_GT_CENTER,54.62933,0.099206,1.021528,3.102176,1.783495,0.178936,1.920378,-0.039582,0.014832,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
matched_ordinary_background_sar000325,matched_ordinary_background,mob,WGV35A_PAIR_0014,325,calibration,E0_R1_REG_000325_0040,matched_ordinary_background_same_area,negative,false,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,1507,986,158.83115,69.254939,4.764934,2.077648,-127.564781,45.199518,135.689881,45.689881,0.338618,0.338618,MEDIUM,44.8609,89.509637,44.648737,44.8609,UNIQUE_GT_CENTER,52.736015,0.046847,0.986125,4.276423,1.847493,0.13795,2.192094,-13.024611,14.697468,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
matched_strong_scatterer_background_sar000325,matched_strong_scatterer_background,mss,WGV35A_PAIR_0014,325,calibration,E0_R1_REG_000325_0041,matched_strong_scatterer_background_same_area,negative,false,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,1303,952,158.83115,69.254939,4.764934,2.077648,-127.564781,37.076085,111.482376,21.482376,0.338618,0.338618,MEDIUM,36.737467,74.406291,68.856242,36.737467,UNIQUE_GT_CENTER,61.381813,0.291592,1.147795,3.29784,1.75965,0.175253,2.111873,-8.482195,10.444667,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
matched_linear_structure_background_sar000325,matched_linear_structure_background,mls,WGV35A_PAIR_0014,325,calibration,E0_R1_REG_000325_0042,matched_linear_structure_background_same_area,negative,false,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,FRAMEWISE_MATCHED_CONTROL_NO_TRACK,1167,816,158.83115,69.254939,4.764934,2.077648,-127.564781,43.469797,91.447118,1.447118,0.338618,0.338618,MEDIUM,43.131179,47.977321,88.8915,43.131179,UNIQUE_GT_CENTER,53.589596,0.072586,1.002086,4.276488,1.920652,0.136967,2.047341,-2.758368,9.704089,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
fixed_known_non_vehicle_N005_sar000325,fixed_known_non_vehicle_N005,n005,WGV35A_PAIR_0014,325,calibration,E0_R1_REG_000325_0043,fixed_known_non_vehicle_same_area,negative,false,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,1196.566369,1166.397906,158.83115,69.254939,4.764934,2.077648,-127.564781,53.17332,104.532969,14.532969,0.338618,0.338618,MEDIUM,52.834702,51.359649,75.805649,52.834702,UNIQUE_GT_CENTER,53.052456,0.042342,0.992042,4.278406,1.878615,0.126532,2.210505,-11.644682,4.015762,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
fixed_strong_scatterer_sar000325,fixed_strong_scatterer,fss,WGV35A_PAIR_0014,325,calibration,E0_R1_REG_000325_0045,fixed_strong_scatterer_background_same_area,negative,false,WORLD_FIXED_SUBJECT,PERSISTENT_WORLD_FIXED,1132.158395,1164.457828,158.83115,69.254939,4.764934,2.077648,-127.564781,63.405173,82.510653,172.510653,0.338618,0.338618,MEDIUM,63.066555,19.10548,82.172035,63.066555,UNIQUE_GT_CENTER,53.366486,0.05568,0.997914,4.201608,1.887547,0.154904,2.484486,-10.472408,2.517211,fully_observed,1,zero_offset_source_from_frozen_e0_r1_plus_new_symmetric_offsets
