independent_geometry_id,sar_frame,threshold_setting,threshold_quantile,threshold_value,component_count,largest_component_pixels,largest_component_area_px,component_mask_sha256,component_centroid_x,component_centroid_y,component_bbox,component_response_center_distance_m,component_axis_image_deg,component_axis_to_range_signed_deg,component_axis_to_range_acute_deg,component_principal_axis_ratio
GM019IG0014,27,positive_weight_q70,0.7,23,2,32,32,b9b583072643f524ce52135b345b69a612ded525dc478c209d28fc5ef0271e41,1012.575867,1133.608521,"1008.5,1129.5,1018.5,1137.5",0.02089,148.411373,-85.748846,85.748846,3.553368
GM019IG0014,27,positive_weight_q85,0.85,31.65,2,16,16,744ee4307f5e1e079bebdef8941736df3336e583c324114b3d2f4eb491e30d13,1012.588806,1133.891479,"1008.5,1131.5,1017.5,1136.5",0.017962,151.229749,-82.93047,82.93047,4.392683
GM019IG0015,28,positive_weight_q50,0.5,10.5,23,94,94,7c95deb17fbd70e21e758a69a909254b6e9697da21a78efbd3104625b02fced8,1016.13916,1133.490356,"1009.5,1125.5,1022.5,1140.5",0.110697,133.201609,78.879019,78.879019,2.271752
GM019IG0015,28,positive_weight_q70,0.7,15,17,71,71,1ab9a10b1d3f043d618df6baf9d490606c6d6aa06a4ee86ef6905618025b9ae4,1016.074219,1133.647949,"1009.5,1126.5,1022.5,1140.5",0.105599,134.077636,79.755046,79.755046,2.679671
GM019IG0015,28,positive_weight_q85,0.85,22,6,37,37,13d75814f40d6716de2fff97c65e61fa917e64c7f60a9cdc37ba6571301edc14,1015.784302,1134.240967,"1011.5,1131.5,1021.5,1139.5",0.08605,145.30682,-89.015771,89.015771,2.620401
GM019IG0016,220,positive_weight_q50,0.5,12,586,5665,5665,d804fe0e33c8b83b1f2add0254044d589d05f60908a5668287f8543c76dd1444,1086.474731,1169.328003,"1018.5,1103.5,1149.5,1234.5",0.608317,120.552686,59.755392,59.755392,1.214966
GM019IG0016,220,positive_weight_q70,0.7,20,485,795,795,5c647d04fded1513bafc43bc607c08b7337b2e5b855843d4fc6d5c04d765295e,1089.957764,1142.572021,"1064.5,1122.5,1118.5,1162.5",1.333266,178.632019,-62.165275,62.165275,1.504626
GM019IG0016,220,positive_weight_q85,0.85,29,361,250,250,e637c8e495cb55c95d812b76d8adfadd9ccf7bbfae73a473f28915842e61a1b2,1043.040161,1168.530396,"1031.5,1151.5,1055.5,1188.5",0.957809,110.668646,49.871352,49.871352,2.135727
GM019IG0017,224,positive_weight_q50,0.5,11,150,588,588,2c9a7e05872481ecb9e00730341ed5b14cb5d176046bf803a227a8b5f39e228b,1054.988037,1221.300049,"1038.5,1197.5,1079.5,1242.5",0.521589,123.639558,81.326558,81.326558,1.482446
GM019IG0017,224,positive_weight_q70,0.7,17,96,378,378,991b16feb855f3de5d54cfa271eddf0d990355f297d6c81aadfb570d9b6a0259,1054.566895,1221.693359,"1041.5,1199.5,1072.5,1237.5",0.50681,119.877282,77.564282,77.564282,1.462558
GM019IG0017,224,positive_weight_q85,0.85,25,59,99,99,d35a0dcbfc630ecded6521f442309a94e568837d0e2b87c69b05c2e406391b7a,1049.588013,1228.636719,"1044.5,1220.5,1056.5,1236.5",0.364358,86.424267,44.111267,44.111267,1.496338
GM019IG0018,224,positive_weight_q50,0.5,14,15,115,115,9ab0e2761d4222fc329fb0629b8aa17a9f97bf5e7e6340c2aa14f931854888b4,1017.152832,1232.875488,"1008.5,1223.5,1024.5,1239.5",0.091836,139.224001,-76.563664,76.563664,1.513645
GM019IG0018,224,positive_weight_q70,0.7,21,10,67,67,28a4cd7c4da369ea821b03eeedc965227ca949250c9faf76659642689bce2461,1017.037048,1234.03833,"1008.5,1230.5,1024.5,1239.5",0.088896,157.296383,-58.491281,58.491281,2.300547
GM019IG0018,224,positive_weight_q85,0.85,32.65,7,15,15,78c5e5e9c99725f46f3e2b99228081bc2f80fad2ae907ad3a7b2d3ccba7e2719,1020.947449,1232.713013,"1019.5,1230.5,1023.5,1236.5",0.047944,121.20636,85.418696,85.418696,2.500645
GM019IG0019,227,positive_weight_q50,0.5,15,517,5838,5838,78640ff3c4479f76f26c19a17be99ed1f44ba1feb3cbb78941c52963b831b498,1091.599365,1171.238281,"1019.5,1125.5,1152.5,1237.5",0.576403,29.273697,-32.897247,32.897247,1.278847
GM019IG0019,227,positive_weight_q70,0.7,25,465,1488,1488,ee0802fec7882fbc5fcbea5fd583d1cc73a5b8fbcb916aca55569b7b9d31623c,1088.146729,1156.560791,"1046.5,1131.5,1139.5,1199.5",0.813675,151.311861,89.140917,89.140917,2.347481
GM019IG0019,227,positive_weight_q85,0.85,35,349,188,188,5f35835c9327cc148080f2eec23f1a56a8946ca2a4c070d17786ea44c705df4e,1084.078247,1141.401489,"1067.5,1132.5,1101.5,1152.5",1.193075,158.226788,-83.944156,83.944156,4.28148
GM019IG0020,227,positive_weight_q50,0.5,15,542,6678,6678,af65916f0b0cde3f0aafd02e39d32e83698d1982db4675c842ac4c863d9a93c2,1089.650024,1174.476685,"1019.5,1123.5,1153.5,1239.5",0.521491,29.999975,-31.692325,31.692325,1.12926
GM019IG0020,227,positive_weight_q70,0.7,24,474,2108,2108,44d0c022c5170c304a383d4d221822c66f92da491f12c814883686656b7f85c3,1096.716797,1156.248291,"1046.5,1126.5,1148.5,1199.5",1.043224,161.909097,-79.783203,79.783203,1.881336
GM019IG0020,227,positive_weight_q85,0.85,35,367,258,258,78cc09713578bb61bfcd1b1098a7f2ab52155379eabff0176a8d3470895f2042,1064.599731,1173.910645,"1049.5,1152.5,1075.5,1193.5",0.403198,112.649162,50.956862,50.956862,3.455484
GM019IG0021,216,positive_weight_q50,0.5,14,30,304,304,0f91dc48bc87b14c554f64ec84b2be7b8a007fe4bd89e2274d9ff5910c24094b,1025.075806,1225.664795,"1013.5,1213.5,1037.5,1240.5",0.075343,120.367274,81.652919,81.652919,1.515449
GM019IG0021,216,positive_weight_q70,0.7,20,27,86,86,e9b1db45119c4438425e9f92f1033cf4aeebe180e7e0578f339b53b289f53820,1021.3396,1232.979614,"1014.5,1224.5,1028.5,1240.5",0.204608,83.631946,44.917591,44.917591,1.19883
GM019IG0021,216,positive_weight_q85,0.85,28,18,36,36,9a9586ffb391cf2248369ff4ba486e737b6f06bf04b8222d8bbe0ce6aef9c13e,1021.974792,1234.244507,"1019.5,1230.5,1026.5,1239.5",0.222882,121.72252,83.008165,83.008165,1.967647
GM019IG0022,34,positive_weight_q50,0.5,6,42,176,176,a5a0e88c17b9f8615814cf692539e43733fe81afac60306c0e29d14846be43c8,1028.867554,1149.960083,"1016.5,1136.5,1043.5,1160.5",0.033994,144.691955,89.165456,89.165456,3.720138
GM019IG0022,34,positive_weight_q70,0.7,10,33,97,97,b43cb7760daab737dbc4446d275d50c9a6f9a1be0518bf81f9f695314117d1a3,1027.875244,1150.981812,"1017.5,1144.5,1039.5,1159.5",0.070219,146.588624,-88.937875,88.937875,5.342361
GM019IG0022,34,positive_weight_q85,0.85,18,6,64,64,a96c7c2deb1bd363137b148275129b02d9680174ef61871bb4fbf7d74ba5ca29,1028.31665,1150.664185,"1020.5,1144.5,1039.5,1156.5",0.054289,147.05034,-88.476159,88.476159,5.786577
GM019IG0023,228,positive_weight_q50,0.5,14,584,5653,5653,85208d6a3340c492468ae00f61a38f93360cd7ed01e5b260a9d2657549abd8f8,1093.792236,1171.023804,"1015.5,1120.5,1152.5,1240.5",0.606613,30.299904,-32.302719,32.302719,1.287193
GM019IG0023,228,positive_weight_q70,0.7,23,493,1770,1770,932dd48842c0d100313e0cd095732de6d12aeda1b1a9e343b8526ee594befee5,1097.353638,1154.991577,"1050.5,1126.5,1143.5,1202.5",1.029939,157.070315,-85.532308,85.532308,2.075227
GM019IG0023,228,positive_weight_q85,0.85,32,386,232,232,4f4f17139ed00821bb8be2ffd5da86f86eee3584ec7c1c9325a7fb6ae509e9ff,1067.201172,1174.827026,"1054.5,1159.5,1078.5,1194.5",0.394433,112.818529,50.215906,50.215906,2.851027
GM019IG0024,227,positive_weight_q50,0.5,14,15,144,144,bc9b4f80d71028d9b75310f26135bfd1fb6499fd303c6b964425fbabbef99d2f,1030.199341,1234.63623,"1019.5,1225.5,1040.5,1242.5",0.057293,22.119739,-16.252558,16.252558,1.868108
GM019IG0024,227,positive_weight_q70,0.7,21.7,10,85,85,2f2b5496dd81e6aa6108599a885d54932c4dfb6e8873829cee6cd864194d52e4,1031.244141,1235.313965,"1023.5,1229.5,1039.5,1242.5",0.045476,23.522248,-14.850049,14.850049,1.978134
GM019IG0024,227,positive_weight_q85,0.85,30.35,5,23,23,e265719a30db41d38d89d41138dbbe1f2ad8a35cc29d94284973aa3d101711b5,1035.496216,1237.428589,"1032.5,1234.5,1039.5,1241.5",0.146904,134.372193,-84.000104,84.000104,2.49452
GM019IG0025,52,positive_weight_q50,0.5,8,552,3262,3262,0f2e3fc0dda464e7276d8aab631163286b9e89dcc81dc0b3f72cc36d24876069,1119.73645,1152.645142,"1022.5,1120.5,1183.5,1188.5",0.438627,6.192709,-68.704684,68.704684,2.822086
GM019IG0025,52,positive_weight_q70,0.7,14,336,1433,1433,b0476096ec32b39fb6f041d19eacec8d35880fceeb7154a44bf5462113d4dcc2,1107.20166,1146.313354,"1030.5,1126.5,1169.5,1163.5",0.472209,172.577557,-82.319836,82.319836,6.572791
GM019IG0025,52,positive_weight_q85,0.85,22,165,556,556,f491d2cfab8922c35d96246127230df207501617ccdae71875fb5ae64de60e35,1092.158203,1149.309448,"1044.5,1134.5,1126.5,1157.5",0.620721,174.692556,-80.204837,80.204837,5.528526
GM019IG0026,46,positive_weight_q50,0.5,9,967,5248,5248,4d9f8e84952e8068271d4101950438c9a485ea30fa815b8215b82509dcc30778,1135.382446,1152.630981,"1008.5,1105.5,1209.5,1200.5",1.459094,12.408192,-60.189678,60.189678,2.290784
GM019IG0026,46,positive_weight_q70,0.7,16,690,1495,1495,6b13e271344c199ccd7e78f0a1ab6c3bb47348878b1559515d93980411a9ab12,1157.039429,1222.941895,"1107.5,1197.5,1216.5,1248.5",1.602851,178.750456,-73.847414,73.847414,2.865568
GM019IG0026,46,positive_weight_q85,0.85,24,352,522,522,10089d5ee8d928eadae26d1e9bd35833223415cf118ac8c8225a5b25c95377b7,1151.72522,1224.03125,"1132.5,1212.5,1178.5,1237.5",1.488218,178.140017,-74.457854,74.457854,1.681364
GM019IG0027,27,positive_weight_q50,0.5,12,8,104,104,2d16f93f201b877a1a38df2d63730d6b4304f68451d45644fb3826c2cfb45d94,1036.974609,1226.061768,"1030.5,1219.5,1044.5,1234.5",0.040585,127.92518,86.643144,86.643144,1.888215
GM019IG0027,27,positive_weight_q70,0.7,18,5,65,65,bfd809ac41a50ff2db3cb805c4db46f5cba72ee1005efd4862dbe2c0e6ae9574,1037.409546,1225.418701,"1032.5,1220.5,1043.5,1231.5",0.06355,131.062749,89.780713,89.780713,1.711783
GM019IG0027,27,positive_weight_q85,0.85,25,2,19,19,9dcf96d24ab0ab9379134438f25eab042673170a5ea0dd7cf21508c3e77f4c14,1035.532959,1227.81189,"1032.5,1226.5,1039.5,1230.5",0.028099,17.425441,-23.856595,23.856595,2.565576
GM019IG0028,27,positive_weight_q50,0.5,12,405,4193,4193,edd327fce923d7349ecdcf1cb7e4463733c1cec7794f5b9698653ce86715c808,1123.32019,1162.718018,"1034.5,1111.5,1187.5,1200.5",0.391293,163.342228,88.068551,88.068551,2.463039
GM019IG0028,27,positive_weight_q70,0.7,19,370,2015,2015,fb576bb1f16aa2c60e5b26d5b15717c4880be8128a56b433b7b97c26d84fdfbc,1137.57666,1163.594849,"1090.5,1122.5,1186.5,1197.5",0.803817,140.712385,65.438708,65.438708,2.842975
GM019IG0028,27,positive_weight_q85,0.85,29,286,186,186,7226ced78d2c30e39739d91fb2eec5e16f326ab2864da9311d5d4ee8bf590c99,1109.462158,1185.745728,"1101.5,1175.5,1119.5,1196.5",0.564261,128.36801,53.094333,53.094333,1.249446
GM019IG0029,27,positive_weight_q50,0.5,11,635,5383,5383,71ab30c3c85389015f50870105b6ff96d70412218c327918393ab38c351295e6,1125.408203,1158.88855,"1033.5,1091.5,1190.5,1201.5",0.817045,157.812732,83.951453,83.951453,2.236289
GM019IG0029,27,positive_weight_q70,0.7,19,425,2309,2309,750ca68de7bd75f6e78598b181093bcf4a7722b3b3b09a45b045f80e1fe007fd,1138.051147,1163.233643,"1090.5,1122.5,1186.5,1199.5",0.987698,140.643811,66.782533,66.782533,2.831513
GM019IG0029,27,positive_weight_q85,0.85,28,330,500,500,f29e4e59221a5c651fedd0fc8d41b5f316c1f7ceeb9d3e566b8e5b3095ff5689,1116.870605,1182.398438,"1092.5,1168.5,1146.5,1196.5",0.176523,171.202891,-82.658387,82.658387,2.716586
GM019IG0030,28,positive_weight_q50,0.5,12,433,4018,4018,9eff8c567086723074afe49ffb97531fec0d4d025f235c9a9c6eed26f439a2b3,1123.8125,1163.981934,"1038.5,1118.5,1191.5,1200.5",0.307985,164.133719,87.872925,87.872925,2.551857
GM019IG0030,28,positive_weight_q70,0.7,19,379,1314,1314,66494d6df6d158bed8996229517e77e23eac828705a6027c294cf3bdfc3036ad,1146.506226,1158.272705,"1116.5,1125.5,1183.5,1198.5",1.009722,129.904064,53.64327,53.64327,2.130924
GM019IG0030,28,positive_weight_q85,0.85,28,337,243,243,9523d380254b20827240a947646e78d18dfc587946254bd304dee048c0f147f8,1109.530029,1183.967163,"1094.5,1174.5,1123.5,1195.5",0.526383,29.62344,-46.637355,46.637355,1.586132
GM019IG0031,28,positive_weight_q50,0.5,12,667,4467,4467,330eb47c5f9f6f398816d5d3f7bd96deb43dd70f2d4203e041fed965e44356c3,1123.486084,1163.825562,"1033.5,1118.5,1192.5,1200.5",0.615034,164.463984,89.529707,89.529707,2.569005
GM019IG0031,28,positive_weight_q70,0.7,19,473,2563,2563,af9d0293cf7100dfe1b56348b4e7069f6d646576bb796450bc9df7eca5453b77,1128.121216,1166.017212,"1063.5,1124.5,1185.5,1200.5",0.639822,154.892431,79.958154,79.958154,2.443324
GM019IG0031,28,positive_weight_q85,0.85,28,367,284,284,c7d70dd8aa2c5e6c977e41304303e266b290fee5f0093646b90a8af998fa57e2,1110.790771,1183.515503,"1094.5,1174.5,1126.5,1196.5",0.106472,9.411262,-65.523016,65.523016,1.458391
GM019IG0032,34,positive_weight_q50,0.5,9,1189,9200,9200,2b96fc6e4071c68b3f6f8841aec1509a0a9b38d0484f8717115d80d92fc496df,1135.684814,1190.587891,"1050.5,1095.5,1214.5,1274.5",0.708158,99.452852,26.403232,26.403232,1.434281
GM019IG0032,34,positive_weight_q70,0.7,15,964,2228,2228,3161dc1b9e66d0e0865bb440d69ce1a3a116549802819cb1132276103615276e,1139.104126,1213.967529,"1106.5,1158.5,1174.5,1272.5",0.834367,84.547629,11.498009,11.498009,2.038195
GM019IG0032,34,positive_weight_q85,0.85,22,516,1229,1229,df2aa3387127620f3eb27782e18431f6c8821e77aa95187143ca6966913b8609,1137.879517,1217.552856,"1114.5,1173.5,1168.5,1253.5",0.859383,75.021252,1.971632,1.971632,2.107614
GM019IG0033,34,positive_weight_q50,0.5,7,75,213,213,189ed639755c82d41065cba15f57479b2fa1f35b257fa2f14a748c72326dd4c3,1061.140991,1232.949829,"1050.5,1221.5,1070.5,1244.5",0.222072,131.834802,86.949623,86.949623,1.446144
GM019IG0033,34,positive_weight_q70,0.7,13,29,150,150,10ab348bac3a50c46a6d0c41c104760257fdff25562115d7574ca2ef04b0186d,1060.937866,1232.899902,"1050.5,1224.5,1069.5,1241.5",0.215799,138.884107,-86.001072,86.001072,1.547003
GM019IG0033,34,positive_weight_q85,0.85,21,14,82,82,2866448e0f53a105134a1915b809cc245d0263162ceae9fe0febeba9969b926d,1061.608765,1232.603882,"1056.5,1225.5,1067.5,1239.5",0.233279,117.040751,72.155572,72.155572,1.808414
GM019IG0034,224,positive_weight_q50,0.5,14,47,485,485,5bd6f771de51aab06949a0e2317b2534f250f805110c9be93a1d6cdebae49677,1054.761963,1221.434937,"1038.5,1200.5,1072.5,1240.5",0.119301,122.292989,76.017495,76.017495,1.582621
GM019IG0034,224,positive_weight_q70,0.7,21,37,220,220,42f37cf2c0d011c27995d7ee84f93ed753fdc26520f132233dbfac926d646cda,1054.829956,1224.44873,"1041.5,1210.5,1067.5,1237.5",0.057336,135.464285,89.188791,89.188791,2.474302
GM019IG0034,224,positive_weight_q85,0.85,31,33,52,52,f4bfd6587925763947de0055c36b8a46ee24c2eeccd607ccff0a28d0a1cf2f55,1061.321899,1218.782715,"1058.5,1210.5,1064.5,1227.5",0.311637,89.193304,42.91781,42.91781,3.951817
GM019IG0035,29,positive_weight_q50,0.5,14,391,3981,3981,59c69b4178d2849a3f32976c32a21bc798d86303ed59cbcf6b9cc2fbaaffae67,1125.691284,1164.960571,"1038.5,1117.5,1192.5,1209.5",0.262326,164.078318,86.599842,86.599842,2.534145
