scene,case_id,detector_name,frames_checked,vehicle_detections,non_vehicle_false_positive_count,missing_vehicle_count,multi_box_same_vehicle_count,box_fit_status,edge_contact_status,timeline_fragment_risk,same_vehicle_support_status,forbidden_edge_safety_status,manual_override_pressure,overall_effect,reason
GM_RM017,GM017_bs_0008_leading_dark_sedan,baseline_oty0,41,125,0,0,1,baseline_reference,baseline_reference,baseline_reference,baseline_reference,not_applicable,same,neutral,matched=41; expected_vehicle_frames=41; median_iou=0.956; missing=0; multi_box=1; non_vehicle_fp=0; edge_ratio=0.512; case=leading dark sedan same-referent fragment; detection-level only; tracker_replay_not_run
GM_RM017,GM017_bs_0012_trailing_dark_sedan,ultralytics_yolo26l_probe,53,125,0,0,2,similar,similar,same,same,not_applicable,increased,worse,matched=53; expected_vehicle_frames=53; median_iou=0.946; missing=0; multi_box=2; non_vehicle_fp=0; edge_ratio=0.377; case=trailing dark sedan weak same-referent fragment; detection-level only; tracker_replay_not_run
GM_RM017,GM017_bs_0002_non_vehicle_barrier,ultralytics_yolo26l_probe,9,10,1,0,0,similar,similar,same,not_applicable,non_vehicle_fp_reduced,reduced,improves_timeline_stability,matched=0; expected_vehicle_frames=0; median_iou=0.000; missing=0; multi_box=0; non_vehicle_fp=1; edge_ratio=0.000; case=foreground barrier should not be vehicle; detection-level only; tracker_replay_not_run
GM_RM011,GM011_bs0015_seg001_to_seg002,ultralytics_yolo26l_probe,23,56,0,0,5,similar,reduced_edge_pressure,same,same,not_applicable,increased,inconclusive,matched=22; expected_vehicle_frames=22; median_iou=0.931; missing=0; multi_box=5; non_vehicle_fp=0; edge_ratio=0.818; case=short-gap white vehicle connection; detection-level only; tracker_replay_not_run
GM_RM011,GM011_bs0061_seg002_to_seg003,ultralytics_yolo26l_probe,14,27,0,0,1,similar,reduced_edge_pressure,same,same,not_applicable,same,inconclusive,matched=13; expected_vehicle_frames=13; median_iou=0.903; missing=0; multi_box=1; non_vehicle_fp=0; edge_ratio=0.846; case=short-gap central white vehicle connection; detection-level only; tracker_replay_not_run
GM_RM011,GM011_bs0061_seg001_to_seg002,ultralytics_yolo26l_probe,20,25,0,2,1,similar,similar,higher,still_weak,not_applicable,increased,worse,matched=10; expected_vehicle_frames=12; median_iou=0.910; missing=2; multi_box=1; non_vehicle_fp=0; edge_ratio=0.800; case=weak rear/side to front/window transition; detection-level only; tracker_replay_not_run
GM_RM011,GM011_forbid_bs0061_to_bs0064,ultralytics_yolo26l_probe,31,48,10,2,1,similar,similar,higher,not_applicable,risk_increased_detection_only,reduced,worse,matched=20; expected_vehicle_frames=22; median_iou=0.910; missing=2; multi_box=1; non_vehicle_fp=10; edge_ratio=0.850; case=left-edge competitor must remain separate; detection-level only; tracker_replay_not_run
GM_RM011,GM011_forbid_bs0056_to_bs0061,ultralytics_yolo26l_probe,15,23,8,2,0,similar,increased_edge_pressure,higher,not_applicable,inconclusive_detection_only,reduced,worse,matched=7; expected_vehicle_frames=9; median_iou=0.910; missing=2; multi_box=0; non_vehicle_fp=8; edge_ratio=0.857; case=proximity/part-switch bridge must remain blocked; detection-level only; tracker_replay_not_run
GM_RM017,GM017_bs_0008_leading_dark_sedan,ultralytics_yolov8n_downloaded,41,131,0,0,3,similar,similar,same,same,not_applicable,increased,worse,matched=41; expected_vehicle_frames=41; median_iou=0.944; missing=0; multi_box=3; non_vehicle_fp=0; edge_ratio=0.512; case=leading dark sedan same-referent fragment; detection-level only; tracker_replay_not_run
GM_RM017,GM017_bs_0010_white_suv,ultralytics_yolov8n_downloaded,50,141,0,0,0,similar,similar,same,same,not_applicable,same,neutral,matched=50; expected_vehicle_frames=50; median_iou=0.937; missing=0; multi_box=0; non_vehicle_fp=0; edge_ratio=0.440; case=white SUV same-referent fragment; detection-level only; tracker_replay_not_run
GM_RM017,GM017_bs_0012_trailing_dark_sedan,ultralytics_yolov8n_downloaded,53,121,0,0,3,similar,similar,same,same,not_applicable,increased,worse,matched=53; expected_vehicle_frames=53; median_iou=0.943; missing=0; multi_box=3; non_vehicle_fp=0; edge_ratio=0.377; case=trailing dark sedan weak same-referent fragment; detection-level only; tracker_replay_not_run
GM_RM017,GM017_bs_0002_non_vehicle_barrier,ultralytics_yolov8n_downloaded,9,20,11,0,0,similar,similar,same,not_applicable,non_vehicle_fp_reduced,reduced,improves_timeline_stability,matched=0; expected_vehicle_frames=0; median_iou=0.000; missing=0; multi_box=0; non_vehicle_fp=11; edge_ratio=0.000; case=foreground barrier should not be vehicle; detection-level only; tracker_replay_not_run
GM_RM011,GM011_bs0015_seg001_to_seg002,ultralytics_yolov8n_downloaded,23,31,0,14,3,worse,similar,higher,weaker,not_applicable,increased,worse,matched=8; expected_vehicle_frames=22; median_iou=0.907; missing=14; multi_box=3; non_vehicle_fp=0; edge_ratio=1.000; case=short-gap white vehicle connection; detection-level only; tracker_replay_not_run
GM_RM011,GM011_bs0061_seg002_to_seg003,ultralytics_yolov8n_downloaded,14,20,0,4,0,worse,increased_edge_pressure,higher,weaker,not_applicable,increased,worse,matched=9; expected_vehicle_frames=13; median_iou=0.890; missing=4; multi_box=0; non_vehicle_fp=0; edge_ratio=1.000; case=short-gap central white vehicle connection; detection-level only; tracker_replay_not_run
GM_RM011,GM011_bs0061_seg001_to_seg002,ultralytics_yolov8n_downloaded,20,21,0,3,0,similar,increased_edge_pressure,higher,still_weak,not_applicable,increased,worse,matched=9; expected_vehicle_frames=12; median_iou=0.888; missing=3; multi_box=0; non_vehicle_fp=0; edge_ratio=1.000; case=weak rear/side to front/window transition; detection-level only; tracker_replay_not_run
GM_RM011,GM011_forbid_bs0061_to_bs0064,ultralytics_yolov8n_downloaded,31,38,9,7,0,similar,increased_edge_pressure,higher,not_applicable,inconclusive_detection_only,same,worse,matched=15; expected_vehicle_frames=22; median_iou=0.905; missing=7; multi_box=0; non_vehicle_fp=9; edge_ratio=1.000; case=left-edge competitor must remain separate; detection-level only; tracker_replay_not_run
GM_RM011,GM011_forbid_bs0056_to_bs0061,ultralytics_yolov8n_downloaded,15,16,5,3,0,similar,increased_edge_pressure,higher,not_applicable,inconclusive_detection_only,reduced,worse,matched=6; expected_vehicle_frames=9; median_iou=0.916; missing=3; multi_box=0; non_vehicle_fp=5; edge_ratio=1.000; case=proximity/part-switch bridge must remain blocked; detection-level only; tracker_replay_not_run
GM_RM017,GM017_bs_0008_leading_dark_sedan,ultralytics_yolov8s_downloaded,41,133,0,0,1,similar,similar,same,same,not_applicable,same,neutral,matched=41; expected_vehicle_frames=41; median_iou=0.948; missing=0; multi_box=1; non_vehicle_fp=0; edge_ratio=0.512; case=leading dark sedan same-referent fragment; detection-level only; tracker_replay_not_run
GM_RM017,GM017_bs_0010_white_suv,ultralytics_yolov8s_downloaded,50,145,0,0,0,similar,similar,same,same,not_applicable,same,neutral,matched=50; expected_vehicle_frames=50; median_iou=0.943; missing=0; multi_box=0; non_vehicle_fp=0; edge_ratio=0.440; case=white SUV same-referent fragment; detection-level only; tracker_replay_not_run
GM_RM017,GM017_bs_0012_trailing_dark_sedan,ultralytics_yolov8s_downloaded,53,125,0,0,4,similar,similar,same,same,not_applicable,increased,worse,matched=53; expected_vehicle_frames=53; median_iou=0.944; missing=0; multi_box=4; non_vehicle_fp=0; edge_ratio=0.377; case=trailing dark sedan weak same-referent fragment; detection-level only; tracker_replay_not_run
GM_RM017,GM017_bs_0002_non_vehicle_barrier,ultralytics_yolov8s_downloaded,9,17,5,0,0,similar,similar,same,not_applicable,non_vehicle_fp_reduced,reduced,improves_timeline_stability,matched=0; expected_vehicle_frames=0; median_iou=0.000; missing=0; multi_box=0; non_vehicle_fp=5; edge_ratio=0.000; case=foreground barrier should not be vehicle; detection-level only; tracker_replay_not_run
GM_RM011,GM011_bs0015_seg001_to_seg002,ultralytics_yolov8s_downloaded,23,36,0,5,0,worse,similar,higher,weaker,not_applicable,increased,worse,matched=17; expected_vehicle_frames=22; median_iou=0.895; missing=5; multi_box=0; non_vehicle_fp=0; edge_ratio=1.000; case=short-gap white vehicle connection; detection-level only; tracker_replay_not_run
GM_RM011,GM011_bs0061_seg002_to_seg003,ultralytics_yolov8s_downloaded,14,20,0,4,0,worse,increased_edge_pressure,higher,weaker,not_applicable,increased,worse,matched=9; expected_vehicle_frames=13; median_iou=0.888; missing=4; multi_box=0; non_vehicle_fp=0; edge_ratio=1.000; case=short-gap central white vehicle connection; detection-level only; tracker_replay_not_run
GM_RM011,GM011_bs0061_seg001_to_seg002,ultralytics_yolov8s_downloaded,20,16,0,6,0,similar,increased_edge_pressure,higher,still_weak,not_applicable,increased,worse,matched=6; expected_vehicle_frames=12; median_iou=0.892; missing=6; multi_box=0; non_vehicle_fp=0; edge_ratio=1.000; case=weak rear/side to front/window transition; detection-level only; tracker_replay_not_run
GM_RM011,GM011_forbid_bs0061_to_bs0064,ultralytics_yolov8s_downloaded,31,34,10,9,0,similar,increased_edge_pressure,higher,not_applicable,inconclusive_detection_only,increased,worse,matched=13; expected_vehicle_frames=22; median_iou=0.892; missing=9; multi_box=0; non_vehicle_fp=10; edge_ratio=1.000; case=left-edge competitor must remain separate; detection-level only; tracker_replay_not_run
GM_RM011,GM011_forbid_bs0056_to_bs0061,ultralytics_yolov8s_downloaded,15,16,5,5,0,similar,increased_edge_pressure,higher,not_applicable,inconclusive_detection_only,reduced,worse,matched=4; expected_vehicle_frames=9; median_iou=0.907; missing=5; multi_box=0; non_vehicle_fp=5; edge_ratio=1.000; case=proximity/part-switch bridge must remain blocked; detection-level only; tracker_replay_not_run
GM_RM017,GM017_bs_0008_leading_dark_sedan,ultralytics_yolo11n_downloaded,41,127,0,0,2,similar,similar,same,same,not_applicable,increased,worse,matched=41; expected_vehicle_frames=41; median_iou=0.951; missing=0; multi_box=2; non_vehicle_fp=0; edge_ratio=0.512; case=leading dark sedan same-referent fragment; detection-level only; tracker_replay_not_run
GM_RM017,GM017_bs_0010_white_suv,ultralytics_yolo11n_downloaded,50,137,0,0,0,similar,similar,same,same,not_applicable,increased,neutral,matched=50; expected_vehicle_frames=50; median_iou=0.938; missing=0; multi_box=0; non_vehicle_fp=0; edge_ratio=0.460; case=white SUV same-referent fragment; detection-level only; tracker_replay_not_run
GM_RM017,GM017_bs_0012_trailing_dark_sedan,ultralytics_yolo11n_downloaded,53,118,0,0,0,similar,similar,same,same,not_applicable,same,neutral,matched=53; expected_vehicle_frames=53; median_iou=0.944; missing=0; multi_box=0; non_vehicle_fp=0; edge_ratio=0.377; case=trailing dark sedan weak same-referent fragment; detection-level only; tracker_replay_not_run
GM_RM017,GM017_bs_0002_non_vehicle_barrier,ultralytics_yolo11n_downloaded,9,11,2,0,0,similar,similar,same,not_applicable,non_vehicle_fp_reduced,reduced,improves_timeline_stability,matched=0; expected_vehicle_frames=0; median_iou=0.000; missing=0; multi_box=0; non_vehicle_fp=2; edge_ratio=0.000; case=foreground barrier should not be vehicle; detection-level only; tracker_replay_not_run
GM_RM011,GM011_bs0015_seg001_to_seg002,ultralytics_yolo11n_downloaded,23,34,0,4,0,worse,similar,higher,weaker,not_applicable,increased,worse,matched=18; expected_vehicle_frames=22; median_iou=0.904; missing=4; multi_box=0; non_vehicle_fp=0; edge_ratio=1.000; case=short-gap white vehicle connection; detection-level only; tracker_replay_not_run
GM_RM011,GM011_bs0061_seg002_to_seg003,ultralytics_yolo11n_downloaded,14,20,0,5,0,worse,increased_edge_pressure,higher,weaker,not_applicable,increased,worse,matched=8; expected_vehicle_frames=13; median_iou=0.883; missing=5; multi_box=0; non_vehicle_fp=0; edge_ratio=1.000; case=short-gap central white vehicle connection; detection-level only; tracker_replay_not_run
GM_RM011,GM011_bs0061_seg001_to_seg002,ultralytics_yolo11n_downloaded,20,16,0,6,0,similar,increased_edge_pressure,higher,still_weak,not_applicable,increased,worse,matched=6; expected_vehicle_frames=12; median_iou=0.889; missing=6; multi_box=0; non_vehicle_fp=0; edge_ratio=1.000; case=weak rear/side to front/window transition; detection-level only; tracker_replay_not_run
GM_RM011,GM011_forbid_bs0061_to_bs0064,ultralytics_yolo11n_downloaded,31,34,10,10,0,similar,increased_edge_pressure,higher,not_applicable,inconclusive_detection_only,increased,worse,matched=12; expected_vehicle_frames=22; median_iou=0.889; missing=10; multi_box=0; non_vehicle_fp=10; edge_ratio=1.000; case=left-edge competitor must remain separate; detection-level only; tracker_replay_not_run
GM_RM011,GM011_forbid_bs0056_to_bs0061,ultralytics_yolo11n_downloaded,15,13,5,5,0,similar,increased_edge_pressure,higher,not_applicable,inconclusive_detection_only,reduced,worse,matched=4; expected_vehicle_frames=9; median_iou=0.890; missing=5; multi_box=0; non_vehicle_fp=5; edge_ratio=1.000; case=proximity/part-switch bridge must remain blocked; detection-level only; tracker_replay_not_run
GM_RM017,GM017_bs_0008_leading_dark_sedan,ultralytics_yolo12n_downloaded,41,126,0,0,1,similar,similar,same,same,not_applicable,same,neutral,matched=41; expected_vehicle_frames=41; median_iou=0.940; missing=0; multi_box=1; non_vehicle_fp=0; edge_ratio=0.512; case=leading dark sedan same-referent fragment; detection-level only; tracker_replay_not_run
GM_RM017,GM017_bs_0010_white_suv,ultralytics_yolo12n_downloaded,50,137,0,1,0,similar,similar,higher,weaker,not_applicable,same,worse,matched=49; expected_vehicle_frames=50; median_iou=0.929; missing=1; multi_box=0; non_vehicle_fp=0; edge_ratio=0.429; case=white SUV same-referent fragment; detection-level only; tracker_replay_not_run
GM_RM017,GM017_bs_0012_trailing_dark_sedan,ultralytics_yolo12n_downloaded,53,119,0,0,1,similar,similar,same,same,not_applicable,increased,worse,matched=53; expected_vehicle_frames=53; median_iou=0.934; missing=0; multi_box=1; non_vehicle_fp=0; edge_ratio=0.377; case=trailing dark sedan weak same-referent fragment; detection-level only; tracker_replay_not_run
GM_RM017,GM017_bs_0002_non_vehicle_barrier,ultralytics_yolo12n_downloaded,9,17,8,0,0,similar,similar,same,not_applicable,non_vehicle_fp_reduced,reduced,improves_timeline_stability,matched=0; expected_vehicle_frames=0; median_iou=0.000; missing=0; multi_box=0; non_vehicle_fp=8; edge_ratio=0.000; case=foreground barrier should not be vehicle; detection-level only; tracker_replay_not_run
GM_RM011,GM011_bs0015_seg001_to_seg002,ultralytics_yolo12n_downloaded,23,39,0,1,2,worse,similar,higher,weaker,not_applicable,increased,worse,matched=21; expected_vehicle_frames=22; median_iou=0.895; missing=1; multi_box=2; non_vehicle_fp=0; edge_ratio=1.000; case=short-gap white vehicle connection; detection-level only; tracker_replay_not_run
GM_RM011,GM011_bs0061_seg002_to_seg003,ultralytics_yolo12n_downloaded,14,22,0,1,0,worse,increased_edge_pressure,higher,weaker,not_applicable,increased,worse,matched=12; expected_vehicle_frames=13; median_iou=0.887; missing=1; multi_box=0; non_vehicle_fp=0; edge_ratio=1.000; case=short-gap central white vehicle connection; detection-level only; tracker_replay_not_run
GM_RM011,GM011_bs0061_seg001_to_seg002,ultralytics_yolo12n_downloaded,20,12,0,8,0,similar,increased_edge_pressure,higher,still_weak,not_applicable,increased,worse,matched=4; expected_vehicle_frames=12; median_iou=0.880; missing=8; multi_box=0; non_vehicle_fp=0; edge_ratio=1.000; case=weak rear/side to front/window transition; detection-level only; tracker_replay_not_run
GM_RM011,GM011_forbid_bs0061_to_bs0064,ultralytics_yolo12n_downloaded,31,32,9,8,0,similar,increased_edge_pressure,higher,not_applicable,inconclusive_detection_only,same,worse,matched=14; expected_vehicle_frames=22; median_iou=0.886; missing=8; multi_box=0; non_vehicle_fp=9; edge_ratio=1.000; case=left-edge competitor must remain separate; detection-level only; tracker_replay_not_run
GM_RM011,GM011_forbid_bs0056_to_bs0061,ultralytics_yolo12n_downloaded,15,10,5,7,0,similar,increased_edge_pressure,higher,not_applicable,inconclusive_detection_only,reduced,worse,matched=2; expected_vehicle_frames=9; median_iou=0.884; missing=7; multi_box=0; non_vehicle_fp=5; edge_ratio=1.000; case=proximity/part-switch bridge must remain blocked; detection-level only; tracker_replay_not_run
GM_RM017,GM017_bs_0008_leading_dark_sedan,ultralytics_yolo26n_downloaded,41,129,0,0,5,similar,similar,same,same,not_applicable,increased,worse,matched=41; expected_vehicle_frames=41; median_iou=0.955; missing=0; multi_box=5; non_vehicle_fp=0; edge_ratio=0.512; case=leading dark sedan same-referent fragment; detection-level only; tracker_replay_not_run
GM_RM017,GM017_bs_0010_white_suv,ultralytics_yolo26n_downloaded,50,146,0,1,2,similar,similar,higher,weaker,not_applicable,increased,worse,matched=49; expected_vehicle_frames=50; median_iou=0.940; missing=1; multi_box=2; non_vehicle_fp=0; edge_ratio=0.429; case=white SUV same-referent fragment; detection-level only; tracker_replay_not_run
GM_RM017,GM017_bs_0012_trailing_dark_sedan,ultralytics_yolo26n_downloaded,53,127,0,0,3,similar,similar,same,same,not_applicable,increased,worse,matched=53; expected_vehicle_frames=53; median_iou=0.941; missing=0; multi_box=3; non_vehicle_fp=0; edge_ratio=0.377; case=trailing dark sedan weak same-referent fragment; detection-level only; tracker_replay_not_run
GM_RM017,GM017_bs_0002_non_vehicle_barrier,ultralytics_yolo26n_downloaded,9,22,12,0,0,similar,similar,same,not_applicable,baseline_or_same,same,neutral,matched=0; expected_vehicle_frames=0; median_iou=0.000; missing=0; multi_box=0; non_vehicle_fp=12; edge_ratio=0.000; case=foreground barrier should not be vehicle; detection-level only; tracker_replay_not_run
GM_RM011,GM011_bs0015_seg001_to_seg002,ultralytics_yolo26n_downloaded,23,34,0,4,0,worse,similar,higher,weaker,not_applicable,increased,worse,matched=18; expected_vehicle_frames=22; median_iou=0.905; missing=4; multi_box=0; non_vehicle_fp=0; edge_ratio=1.000; case=short-gap white vehicle connection; detection-level only; tracker_replay_not_run
GM_RM011,GM011_bs0061_seg002_to_seg003,ultralytics_yolo26n_downloaded,14,22,0,3,0,similar,increased_edge_pressure,higher,weaker,not_applicable,increased,worse,matched=10; expected_vehicle_frames=13; median_iou=0.904; missing=3; multi_box=0; non_vehicle_fp=0; edge_ratio=1.000; case=short-gap central white vehicle connection; detection-level only; tracker_replay_not_run
GM_RM011,GM011_bs0061_seg001_to_seg002,ultralytics_yolo26n_downloaded,20,13,0,7,0,similar,increased_edge_pressure,higher,still_weak,not_applicable,increased,worse,matched=5; expected_vehicle_frames=12; median_iou=0.893; missing=7; multi_box=0; non_vehicle_fp=0; edge_ratio=1.000; case=weak rear/side to front/window transition; detection-level only; tracker_replay_not_run
GM_RM011,GM011_forbid_bs0061_to_bs0064,ultralytics_yolo26n_downloaded,31,34,11,8,0,similar,increased_edge_pressure,higher,not_applicable,inconclusive_detection_only,increased,worse,matched=14; expected_vehicle_frames=22; median_iou=0.897; missing=8; multi_box=0; non_vehicle_fp=11; edge_ratio=1.000; case=left-edge competitor must remain separate; detection-level only; tracker_replay_not_run
GM_RM011,GM011_forbid_bs0056_to_bs0061,ultralytics_yolo26n_downloaded,15,13,5,5,0,similar,increased_edge_pressure,higher,not_applicable,inconclusive_detection_only,reduced,worse,matched=4; expected_vehicle_frames=9; median_iou=0.894; missing=5; multi_box=0; non_vehicle_fp=5; edge_ratio=1.000; case=proximity/part-switch bridge must remain blocked; detection-level only; tracker_replay_not_run
