path_id,extraction_profile,spatial_control_count,temporal_control_count,static_matched_control_count,target_response_score,target_spatial_empirical_percentile,target_temporal_empirical_percentile,spatial_effect_size,temporal_effect_size,control_median,control_mad,control_variance,control_distribution_status
WGV34A_PATH_0000043,strict_physical_path,0,0,0,3.5730795,,,,,,,,insufficient_length
WGV34A_PATH_0000044,strict_physical_path,0,0,0,4.6289065,,,,,,,,insufficient_length
WGV34A_PATH_0000045,strict_physical_path,0,0,0,3.722168,,,,,,,,insufficient_length
WGV34A_PATH_0000046,strict_physical_path,0,0,0,2.6619235,,,,,,,,insufficient_length
WGV34A_PATH_0000047,strict_physical_path,0,0,0,2.7651365,,,,,,,,insufficient_length
WGV34A_PATH_0000048,strict_physical_path,20,20,20,3.33465,20,40,-0.6479007,-0.18649812,3.688558,0.6345215,1.14892521,control_distribution_ok
WGV34A_PATH_0000049,strict_physical_path,20,20,20,4.3838935,85,70,2.41416549,0.4969694,3.2019045,0.431885,1.71809837,control_distribution_ok
WGV34A_PATH_0000050,strict_physical_path,20,20,20,3.333008,45,75,-0.02906701,1.07384497,3.229492,0.3997395,1.29102618,control_distribution_ok
WGV34A_PATH_0000051,strict_physical_path,0,0,0,4.0215565,,,,,,,,insufficient_length
WGV34A_PATH_0000052,strict_physical_path,20,20,20,6.3798005,100,100,2.66863207,5.04838877,3.504297,0.545654,0.68691109,control_distribution_ok
WGV34A_PATH_0000053,strict_physical_path,0,0,0,3.698033,,,,,,,,insufficient_length
WGV34A_PATH_0000054,strict_physical_path,0,0,0,2.727946,,,,,,,,insufficient_length
WGV34A_PATH_0000055,strict_physical_path,20,20,20,2.9898645,25,35,-0.54037,-0.65332636,3.457357,0.6520185,1.2947842,control_distribution_ok
WGV34A_PATH_0000056,strict_physical_path,20,20,20,3.378255,70,80,1.08955832,1.02938754,3.1359865,0.3975095,1.03497078,control_distribution_ok
WGV34A_PATH_0000057,strict_physical_path,10,20,20,3.600586,50,50,0.10528471,-0.08415079,3.5161135,0.360352,0.49337113,control_distribution_ok
WGV34A_PATH_0000058,strict_physical_path,20,20,20,3.1937255,60,75,0.1760853,0.52471738,3.031087,0.301888,0.32872522,control_distribution_ok
WGV34A_PATH_0000059,strict_physical_path,0,0,0,3.8825685,,,,,,,,insufficient_length
WGV34A_PATH_0000060,strict_physical_path,20,20,20,4.8052245,100,65,3.37314535,0.45401008,3.3134765,0.4332685,2.71707164,control_distribution_ok
WGV34A_PATH_0000061,strict_physical_path,0,0,0,3.1328125,,,,,,,,insufficient_length
WGV34A_PATH_0000062,strict_physical_path,20,20,20,3.277669,55,60,0.08658991,0.37260428,3.224365,0.3688155,1.18567643,control_distribution_ok
WGV34A_PATH_0000063,strict_physical_path,0,0,0,3.2360665,,,,,,,,insufficient_length
WGV34A_PATH_0000064,strict_physical_path,20,20,20,2.914062,20,45,-0.6153145,-0.04964844,3.115967,0.336949,0.68378796,control_distribution_ok
WGV34A_PATH_0000065,strict_physical_path,0,0,0,2.7110025,,,,,,,,insufficient_length
WGV34A_PATH_0000066,strict_physical_path,0,0,0,3.171852,,,,,,,,insufficient_length
WGV34A_PATH_0000067,strict_physical_path,20,20,20,3.916599,50,75,0.01264482,1.40087729,3.6792535,0.6538135,1.3408185,control_distribution_ok
WGV34A_PATH_0000068,strict_physical_path,20,20,20,6.882812,100,100,4.46719408,5.21661375,3.503711,0.538356,1.67805501,control_distribution_ok
WGV34A_PATH_0000069,strict_physical_path,20,20,20,3.3634115,55,80,0.23657391,1.12644569,3.2333985,0.442383,3.71254999,control_distribution_ok
WGV34A_PATH_0000070,strict_physical_path,20,20,20,3.735352,65,70,0.77192293,0.77332006,3.202881,0.4708985,1.77319865,control_distribution_ok
WGV34A_PATH_0000071,strict_physical_path,0,0,0,2.7883395,,,,,,,,insufficient_length
WGV34A_PATH_0000072,strict_physical_path,16,20,20,2.929688,0,25,-1.97241058,-0.55713622,3.450021,0.494611,1.01314673,control_distribution_ok
WGV34A_PATH_0000073,strict_physical_path,20,20,20,2.979492,35,30,-0.30649382,-0.54824791,3.40625,0.578962,1.21393142,control_distribution_ok
WGV34A_PATH_0000074,strict_physical_path,20,20,20,3.141276,50,45,-0.02147587,-0.24934997,3.2089845,0.342285,0.82982473,control_distribution_ok
WGV34A_PATH_0000075,strict_physical_path,0,0,0,4.590088,,,,,,,,insufficient_length
WGV34A_PATH_0000076,strict_physical_path,0,0,0,3.0315755,,,,,,,,insufficient_length
WGV34A_PATH_0000077,strict_physical_path,0,0,0,4.38916,,,,,,,,insufficient_length
WGV34A_PATH_0000078,strict_physical_path,0,0,0,3.6280925,,,,,,,,insufficient_length
WGV34A_PATH_0000079,strict_physical_path,20,20,20,3.789551,40,80,-0.10078849,1.39762179,3.547266,0.5690645,0.75252694,control_distribution_ok
WGV34A_PATH_0000080,strict_physical_path,20,20,20,2.913281,20,20,-0.84438574,-0.93896235,3.309814,0.5195555,1.25193189,control_distribution_ok
WGV34A_PATH_0000081,strict_physical_path,20,20,20,2.977865,0,40,-1.31880684,-0.56365114,3.556022,0.46465,0.84782934,control_distribution_ok
WGV34A_PATH_0000082,strict_physical_path,0,0,0,4.4335935,,,,,,,,insufficient_length
WGV34A_PATH_0000083,strict_physical_path,0,0,0,4.1855955,,,,,,,,insufficient_length
WGV34A_PATH_0000084,strict_physical_path,0,0,0,6.168457,,,,,,,,insufficient_length
WGV34A_PATH_0000085,strict_physical_path,20,20,20,3.26123,65,35,0.7530138,-0.26971762,3.224191,0.4235025,0.51598152,control_distribution_ok
WGV34A_PATH_0000086,strict_physical_path,0,0,0,4.060872,,,,,,,,insufficient_length
WGV34A_PATH_0000087,strict_physical_path,20,20,20,3.3300225,25,60,-0.42231493,0.38143992,3.6097005,0.548522,0.84595703,control_distribution_ok
WGV34A_PATH_0000088,strict_physical_path,20,20,20,4.456706,95,65,1.35831876,0.58956481,3.659505,0.6405595,0.78218427,control_distribution_ok
WGV34A_PATH_0000089,strict_physical_path,20,20,20,3.234375,50,55,0.01890208,0.11219604,3.2572545,0.3752325,0.49427604,control_distribution_ok
WGV34A_PATH_0000090,strict_physical_path,20,20,20,2.737891,5,10,-1.03203764,-0.91911172,3.5525395,0.632757,1.83984804,control_distribution_ok
WGV34A_PATH_0000091,strict_physical_path,20,20,20,8.226562,100,90,7.46430639,2.39885379,3.899121,0.878581,2.65972176,control_distribution_ok
WGV34A_PATH_0000092,strict_physical_path,20,20,20,3.05013,30,25,-0.56584156,-0.51328442,3.619344,0.6548665,1.66374978,control_distribution_ok
WGV34A_PATH_0000093,strict_physical_path,0,0,0,2.6850585,,,,,,,,insufficient_length
WGV34A_PATH_0000094,strict_physical_path,20,20,20,3.2788085,35,20,-0.43089102,-0.68986886,3.7661535,0.713582,2.14746425,control_distribution_ok
WGV34A_PATH_0000095,strict_physical_path,20,20,20,4.623373,75,95,1.22347387,3.48834286,3.3095455,0.460913,1.62311539,control_distribution_ok
WGV34A_PATH_0000096,strict_physical_path,20,20,20,3.248047,40,65,-0.35601288,0.31595883,3.2264,0.47347,1.39004243,control_distribution_ok
WGV34A_PATH_0000097,strict_physical_path,20,20,20,3.8243165,70,75,0.78045956,0.86040516,3.451261,0.4181695,0.41011239,control_distribution_ok
WGV34A_PATH_0000098,strict_physical_path,0,0,0,3.0525715,,,,,,,,insufficient_length
WGV34A_PATH_0000099,strict_physical_path,0,0,0,2.977051,,,,,,,,insufficient_length
WGV34A_PATH_0000100,strict_physical_path,20,20,20,3.571615,55,50,0.07767744,0.07985534,3.4387205,0.51566,1.59725112,control_distribution_ok
WGV34A_PATH_0000101,strict_physical_path,20,20,20,3.824805,60,80,0.65464876,1.15493704,3.434082,0.6049115,1.14332094,control_distribution_ok
WGV34A_PATH_0000102,strict_physical_path,20,20,20,2.722656,25,30,-0.48405744,-0.36914847,3.28833,0.6070475,1.52579201,control_distribution_ok
WGV34A_PATH_0000103,strict_physical_path,20,20,20,3.025949,5,35,-1.09201329,-0.42853995,3.697107,0.619543,1.23158275,control_distribution_ok
WGV34A_PATH_0000104,strict_physical_path,20,20,20,6.8925785,100,100,5.49650994,13.1781335,3.3435875,0.4430015,1.02106791,control_distribution_ok
WGV34A_PATH_0000105,strict_physical_path,0,0,0,3.3612505,,,,,,,,insufficient_length
WGV34A_PATH_0000106,strict_physical_path,20,20,20,3.969866,80,95,1.18749263,1.85896371,3.240234,0.362696,0.50199623,control_distribution_ok
WGV34A_PATH_0000107,strict_physical_path,20,20,20,3.708984,65,45,0.29201928,-0.04980254,3.633203,0.4985355,0.7713022,control_distribution_ok
WGV34A_PATH_0000108,strict_physical_path,20,20,20,5.2002425,85,90,1.9817653,2.07245959,3.4414385,0.5602215,1.12251775,control_distribution_ok
WGV34A_PATH_0000109,strict_physical_path,0,0,0,3.883637,,,,,,,,insufficient_length
WGV34A_PATH_0000110,strict_physical_path,18,20,20,4.0979,83.33333333,75,1.08160035,1.07920389,3.440569,0.42731,0.41146566,control_distribution_ok
WGV34A_PATH_0000111,strict_physical_path,20,20,20,4.257031,65,85,1.6408755,3.32872869,3.369873,0.5132535,3.48388306,control_distribution_ok
WGV34A_PATH_0000112,strict_physical_path,0,0,0,5.311035,,,,,,,,insufficient_length
WGV34A_PATH_0000113,strict_physical_path,0,0,0,3.07959,,,,,,,,insufficient_length
WGV34A_PATH_0000114,strict_physical_path,20,20,20,3.532452,80,85,1.0158388,1.52515713,3.1121745,0.3116535,0.28731257,control_distribution_ok
WGV34A_PATH_0000115,strict_physical_path,20,20,20,4.064887,75,70,0.87146735,0.29673017,3.4786375,0.493587,0.6206763,control_distribution_ok
WGV34A_PATH_0000116,strict_physical_path,20,20,20,6.324219,100,90,3.59214547,1.29864789,3.6350585,0.7424805,1.30011932,control_distribution_ok
WGV34A_PATH_0000117,strict_physical_path,0,0,0,3.38621,,,,,,,,insufficient_length
WGV34A_PATH_0000118,strict_physical_path,0,0,0,2.7014975,,,,,,,,insufficient_length
WGV34A_PATH_0000119,strict_physical_path,0,0,0,3.5901695,,,,,,,,insufficient_length
WGV34A_PATH_0000120,strict_physical_path,20,20,20,3.145833,30,30,-0.43738882,-0.4061657,3.4322105,0.4548805,0.84743469,control_distribution_ok
WGV34A_PATH_0000121,strict_physical_path,20,20,20,4.12685,85,75,2.29352976,1.19526462,3.255898,0.4248435,0.6344864,control_distribution_ok
WGV34A_PATH_0000122,strict_physical_path,0,0,0,2.7041015,,,,,,,,insufficient_length
WGV34A_PATH_0000123,strict_physical_path,20,20,20,4.171875,80,70,0.89493678,1.18984076,3.452026,0.6567385,0.82179751,control_distribution_ok
WGV34A_PATH_0000124,strict_physical_path,0,0,0,3.1416015,,,,,,,,insufficient_length
WGV34A_PATH_0000125,strict_physical_path,0,0,0,5.7802735,,,,,,,,insufficient_length
WGV34A_PATH_0000126,strict_physical_path,20,20,20,2.961589,35,20,-0.54960655,-0.47196768,3.463379,0.610212,1.82073591,control_distribution_ok
WGV34A_PATH_0000127,strict_physical_path,20,20,20,3.409477,65,55,0.53202269,0.09229127,3.324951,0.441495,0.64638013,control_distribution_ok
WGV34A_PATH_0000128,strict_physical_path,20,20,20,2.982552,10,40,-0.71540258,-0.137902,3.329297,0.5180175,0.91404803,control_distribution_ok
WGV34A_PATH_0000129,strict_physical_path,0,0,0,3.6362305,,,,,,,,insufficient_length
WGV34A_PATH_0000130,strict_physical_path,0,0,0,2.762109,,,,,,,,insufficient_length
WGV34A_PATH_0000131,strict_physical_path,0,0,0,2.6192245,,,,,,,,insufficient_length
WGV34A_PATH_0000132,strict_physical_path,20,20,20,5.0124515,95,85,5.43557735,3.11300063,3.0533855,0.3022785,1.03157253,control_distribution_ok
WGV34A_PATH_0000133,strict_physical_path,20,20,20,4.352865,95,95,1.95207702,2.57674872,3.2330725,0.453125,0.64871044,control_distribution_ok
WGV34A_PATH_0000134,strict_physical_path,20,20,20,3.513574,65,80,0.91453484,1.39526872,3.239781,0.4439695,0.75231411,control_distribution_ok
WGV34A_PATH_0000135,strict_physical_path,20,20,20,4.865885,85,95,1.72943841,1.98884586,3.3176295,0.497317,0.94873538,control_distribution_ok
WGV34A_PATH_0000136,strict_physical_path,20,20,20,3.452497,50,50,0.04427931,-0.21702248,3.452261,0.5185545,0.72266773,control_distribution_ok
WGV34A_PATH_0000137,strict_physical_path,0,0,0,2.9526365,,,,,,,,insufficient_length
WGV34A_PATH_0000138,strict_physical_path,0,0,0,2.7333985,,,,,,,,insufficient_length
WGV34A_PATH_0000139,strict_physical_path,20,20,20,3.876953,70,45,1.15177068,-0.09379207,3.4205845,0.6055245,1.02860525,control_distribution_ok
WGV34A_PATH_0000140,strict_physical_path,0,0,0,2.810411,,,,,,,,insufficient_length
WGV34A_PATH_0000141,strict_physical_path,0,0,0,2.9820965,,,,,,,,insufficient_length
WGV34A_PATH_0000142,strict_physical_path,20,20,20,2.899414,30,15,-0.7121874,-1.04408346,3.402122,0.477434,1.00295112,control_distribution_ok
WGV34A_PATH_0000143,strict_physical_path,20,20,20,2.835205,25,10,-0.61291754,-1.27801511,3.5472065,0.507607,0.44512246,control_distribution_ok
WGV34A_PATH_0000144,strict_physical_path,0,0,0,3.0446275,,,,,,,,insufficient_length
WGV34A_PATH_0000145,strict_physical_path,20,20,20,2.915904,30,25,-0.57344112,-0.67553871,3.392627,0.4561765,1.73379287,control_distribution_ok
WGV34A_PATH_0000146,strict_physical_path,20,20,20,3.123047,60,40,0.19356527,-0.17828122,3.2203925,0.430583,0.46496917,control_distribution_ok
WGV34A_PATH_0000147,strict_physical_path,20,20,20,3.8930665,75,85,1.28825533,2.52427893,3.274463,0.500345,0.65304292,control_distribution_ok
WGV34A_PATH_0000148,strict_physical_path,0,0,0,2.7490235,,,,,,,,insufficient_length
WGV34A_PATH_0000149,strict_physical_path,20,20,20,4.1802735,95,65,2.07304185,0.67367959,3.195268,0.453003,1.30419403,control_distribution_ok
WGV34A_PATH_0000150,strict_physical_path,20,20,20,3.307812,80,25,0.69704875,-0.61830042,3.341575,0.476644,2.01599498,control_distribution_ok
WGV34A_PATH_0000151,strict_physical_path,20,20,20,2.831641,15,10,-0.77842046,-0.85381353,3.534863,0.4923285,0.47100119,control_distribution_ok
WGV34A_PATH_0000152,strict_physical_path,0,0,0,2.9003905,,,,,,,,insufficient_length
WGV34A_PATH_0000153,strict_physical_path,0,0,0,2.74069,,,,,,,,insufficient_length
WGV34A_PATH_0000154,strict_physical_path,20,20,20,3.311849,55,40,0.11858207,-0.2729164,3.461844,0.5621745,1.57894299,control_distribution_ok
WGV34A_PATH_0000155,strict_physical_path,20,20,20,3.839844,85,60,3.09664771,0.15971142,3.2226805,0.314512,1.15733977,control_distribution_ok
WGV34A_PATH_0000156,strict_physical_path,20,20,20,3.014323,50,30,0.06393267,-0.53348541,3.405908,0.527978,1.74498037,control_distribution_ok
WGV34A_PATH_0000157,strict_physical_path,20,20,20,6.324219,100,90,9.00025957,3.52991906,3.0951335,0.3921225,1.27434598,control_distribution_ok
WGV34A_PATH_0000158,strict_physical_path,0,0,0,9.892578,,,,,,,,insufficient_length
WGV34A_PATH_0000159,strict_physical_path,20,20,20,3.022461,25,10,-0.6738833,-1.57819282,3.5523195,0.519141,1.77678308,control_distribution_ok
WGV34A_PATH_0000160,strict_physical_path,20,20,20,4.714193,95,80,4.20535547,0.99441213,3.4702145,0.4498695,1.62708426,control_distribution_ok
WGV34A_PATH_0000161,strict_physical_path,0,0,0,3.149902,,,,,,,,insufficient_length
WGV34A_PATH_0000162,strict_physical_path,20,20,20,2.8941405,25,20,-0.59052082,-0.73187301,3.364751,0.4525545,0.36189812,control_distribution_ok
WGV34A_PATH_0000163,strict_physical_path,20,20,20,2.506836,0,5,-1.22351999,-1.23479104,3.4272465,0.561524,0.65917325,control_distribution_ok
WGV34A_PATH_0000164,strict_physical_path,20,20,20,3.159757,40,50,-0.27523259,0.06399966,3.3450425,0.4791105,0.61359232,control_distribution_ok
WGV34A_PATH_0000165,strict_physical_path,0,0,0,2.654541,,,,,,,,insufficient_length
WGV34A_PATH_0000166,strict_physical_path,20,20,20,4.4351565,85,90,2.42231116,1.85626464,3.2470705,0.457845,0.77761999,control_distribution_ok
WGV34A_PATH_0000167,strict_physical_path,0,0,0,2.842201,,,,,,,,insufficient_length
WGV34A_PATH_0000168,strict_physical_path,0,0,0,2.80306,,,,,,,,insufficient_length
WGV34A_PATH_0000169,strict_physical_path,0,0,0,3.617334,,,,,,,,insufficient_length
WGV34A_PATH_0000170,strict_physical_path,0,0,0,2.971261,,,,,,,,insufficient_length
WGV34A_PATH_0000171,strict_physical_path,20,20,20,3.333203,55,35,0.07912612,-0.62032914,3.4621095,0.4716185,0.58484426,control_distribution_ok
WGV34A_PATH_0000172,strict_physical_path,20,20,20,3.246094,50,35,-0.01427824,-0.64589709,3.34375,0.425316,1.36150886,control_distribution_ok
WGV34A_PATH_0000173,strict_physical_path,20,20,20,3.210286,45,50,-0.17993521,0.00377791,3.276709,0.4285155,0.9387403,control_distribution_ok
WGV34A_PATH_0000174,strict_physical_path,0,0,0,2.615397,,,,,,,,insufficient_length
WGV34A_PATH_0000175,strict_physical_path,0,0,0,2.940625,,,,,,,,insufficient_length
WGV34A_PATH_0000176,strict_physical_path,20,20,20,3.303711,65,60,0.55472253,0.40730557,3.24235,0.3664825,0.70349496,control_distribution_ok
WGV34A_PATH_0000177,strict_physical_path,20,20,20,3.319922,65,75,0.46199929,0.8200409,3.262207,0.3500975,1.68669112,control_distribution_ok
WGV34A_PATH_0000178,strict_physical_path,0,0,0,2.9251145,,,,,,,,insufficient_length
WGV34A_PATH_0000179,strict_physical_path,0,0,0,3.0999345,,,,,,,,insufficient_length
WGV34A_PATH_0000180,strict_physical_path,20,20,20,3.005859,35,20,-0.41127042,-0.41267186,3.2495115,0.408203,0.69056532,control_distribution_ok
WGV34A_PATH_0000181,strict_physical_path,20,20,20,3.238281,50,65,0.0242459,0.55279873,3.0236745,0.351203,1.11321873,control_distribution_ok
WGV34A_PATH_0000182,strict_physical_path,20,20,20,4.047309,100,80,2.7428867,0.99556864,3.2642685,0.345323,0.42147588,control_distribution_ok
WGV34A_PATH_0000183,strict_physical_path,20,20,20,5.266927,100,100,2.53250655,5.33694422,3.444092,0.4706215,0.95308496,control_distribution_ok
WGV34A_PATH_0000184,strict_physical_path,11,20,20,3.395345,54.54545455,65,0.02210519,0.98861575,3.185547,0.49349,0.82256087,control_distribution_ok
WGV34A_PATH_0000185,strict_physical_path,20,20,20,2.753906,5,5,-1.08909137,-1.07255771,3.4451495,0.548665,0.96294008,control_distribution_ok
WGV34A_PATH_0000186,strict_physical_path,17,20,20,3.5941405,47.05882353,65,-0.01690575,0.5730312,3.474609,0.575196,1.20437548,control_distribution_ok
WGV34A_PATH_0000187,strict_physical_path,0,0,0,3.1227215,,,,,,,,insufficient_length
WGV34A_PATH_0000188,strict_physical_path,20,20,20,3.047526,50,35,0.18008298,-0.65923246,3.272461,0.41564,0.29911892,control_distribution_ok
WGV34A_PATH_0000189,strict_physical_path,0,0,0,3.427554,,,,,,,,insufficient_length
WGV34A_PATH_0000190,strict_physical_path,0,0,0,3.201579,,,,,,,,insufficient_length
WGV34A_PATH_0000191,strict_physical_path,0,0,0,2.9093425,,,,,,,,insufficient_length
WGV34A_PATH_0000192,strict_physical_path,20,20,20,2.86709,30,5,-0.39668985,-0.84774154,3.2706705,0.501465,1.07987635,control_distribution_ok
WGV34A_PATH_0000193,strict_physical_path,0,0,0,2.85367,,,,,,,,insufficient_length
WGV34A_PATH_0000194,strict_physical_path,20,20,20,2.90166,40,15,-0.2157354,-0.81477945,3.1130025,0.2931785,0.33838949,control_distribution_ok
WGV34A_PATH_0000195,strict_physical_path,0,0,0,2.7420115,,,,,,,,insufficient_length
WGV34A_PATH_0000196,strict_physical_path,20,20,20,5.2656645,100,65,6.39717921,0.37344193,3.6386315,0.6589745,1.55495799,control_distribution_ok
WGV34A_PATH_0000197,strict_physical_path,0,0,0,3.3106125,,,,,,,,insufficient_length
WGV34A_PATH_0000198,strict_physical_path,0,0,0,3.4532185,,,,,,,,insufficient_length
WGV34A_PATH_0000199,strict_physical_path,20,20,20,3.429688,35,40,-0.23860128,-0.03436809,3.499349,0.5022785,1.18626117,control_distribution_ok
WGV34A_PATH_0000200,strict_physical_path,20,20,20,2.888672,15,20,-1.1203772,-1.38546603,3.59023,0.4508465,1.77167045,control_distribution_ok
WGV34A_PATH_0000201,strict_physical_path,14,20,20,3.556641,50,80,0.02760182,1.22760351,3.424805,0.682989,0.86121006,control_distribution_ok
WGV34A_PATH_0000202,strict_physical_path,0,0,0,2.7077635,,,,,,,,insufficient_length
WGV34A_PATH_0000203,strict_physical_path,20,20,20,6.343443,100,90,10.20694635,2.57857112,3.702311,0.9395345,5.70324335,control_distribution_ok
WGV34A_PATH_0000204,strict_physical_path,20,20,20,6.4783375,100,95,3.64369982,2.84900434,3.920166,0.707764,1.49360468,control_distribution_ok
WGV34A_PATH_0000205,strict_physical_path,20,20,20,7.915235,100,100,11.15280293,4.51602584,3.595703,0.597005,1.08144333,control_distribution_ok
WGV34A_PATH_0000206,strict_physical_path,20,20,20,3.269252,65,15,0.7240757,-0.80529747,3.3424245,0.555722,1.5813644,control_distribution_ok
WGV34A_PATH_0000207,strict_physical_path,0,0,0,2.926758,,,,,,,,insufficient_length
WGV34A_PATH_0000208,strict_physical_path,17,20,20,4.714111,76.47058824,90,1.62471607,5.88245827,3.311523,0.429687,0.85404209,control_distribution_ok
WGV34A_PATH_0000209,strict_physical_path,20,20,20,3.636393,45,80,-0.04309845,1.28126329,3.4770505,0.5181315,0.92923369,control_distribution_ok
WGV34A_PATH_0000210,strict_physical_path,20,20,20,3.842285,85,65,1.7846576,0.55162777,3.25,0.4476235,0.45084253,control_distribution_ok
WGV34A_PATH_0000211,strict_physical_path,20,20,20,4.69043,85,85,2.78710547,2.13041618,3.3255595,0.524568,0.9551723,control_distribution_ok
WGV34A_PATH_0000212,strict_physical_path,20,20,20,3.2630205,60,80,0.55043784,0.94022521,3.156071,0.412451,0.54101402,control_distribution_ok
WGV34A_PATH_0000213,strict_physical_path,20,20,20,4.408854,70,100,1.11853364,2.32075935,3.269671,0.4314545,0.95980263,control_distribution_ok
WGV34A_PATH_0000214,strict_physical_path,0,0,0,3.063802,,,,,,,,insufficient_length
WGV34A_PATH_0000215,strict_physical_path,20,20,20,4.33903,75,80,0.86886157,2.26312614,3.2860515,0.516325,0.65889138,control_distribution_ok
