relation_id,scene,source_auto_node_id,target_auto_node_id,source_tracklet_segment_id,target_tracklet_segment_id,time_gap_frames,center_distance_px,bottom_center_distance_px,motion_extrapolation_error_px,normalized_motion_error,bbox_area_ratio,bbox_aspect_ratio_delta,appearance_cosine,appearance_evidence_status,source_edge_contact_ratio,target_edge_contact_ratio,source_competitor_count,target_competitor_count,candidate_score_not_selector,pre_competition_status,relation_status,supporting_evidence,conflicting_evidence,uncertainty_sources,competitor_ids,decision_reason_code
REL_GM_RM011_00014,GM_RM011,AUTO_GM_RM011_0001,AUTO_GM_RM011_0009,GM_RM011__botsort__raw__bs_0001__seg_001,GM_RM011__botsort__raw__bs_0015__seg_001,38,137.468916,136.675970,583.506622,0.869346,1.011702,0.333021,0.807178,appearance_unreliable,0.000000,0.000000,0,0,0.859663,ambiguous_continuity,ambiguous_continuity,motion_extrapolation_consistent;bbox_size_compatible,long_forward_gap,appearance_unreliable,,partial_support_with_competition_or_state_uncertainty
REL_GM_RM011_00015,GM_RM011,AUTO_GM_RM011_0001,AUTO_GM_RM011_0010,GM_RM011__botsort__raw__bs_0001__seg_001,GM_RM011__botsort__raw__bs_0009__seg_002,40,195.190731,194.415625,276.061075,0.472423,1.543407,0.838601,0.839276,appearance_support,0.000000,0.000000,0,0,0.867317,ambiguous_continuity,ambiguous_continuity,motion_extrapolation_consistent;appearance_cosine_support;bbox_size_compatible,long_forward_gap,,,partial_support_with_competition_or_state_uncertainty
REL_GM_RM011_00016,GM_RM011,AUTO_GM_RM011_0001,AUTO_GM_RM011_0011,GM_RM011__botsort__raw__bs_0001__seg_001,GM_RM011__botsort__raw__bs_0019__seg_001,73,403.491112,435.388144,1253.285195,2.398442,26.660222,1.429847,0.883049,appearance_support,0.000000,0.000000,0,0,0.579085,not_candidate,not_candidate,appearance_cosine_support,long_forward_gap;motion_extrapolation_conflict;bbox_size_jump;not_candidate_under_fixed_policy,,,time_gap_outside_forward_window
REL_GM_RM011_00017,GM_RM011,AUTO_GM_RM011_0003,AUTO_GM_RM011_0005,GM_RM011__botsort__raw__bs_0004__seg_001,GM_RM011__botsort__raw__bs_0001__seg_003,2,9.384593,8.045117,20.911751,0.039670,1.075100,0.007776,0.863434,appearance_support,0.000000,0.000000,0,0,0.970129,strong_continuity,ambiguous_continuity,short_forward_gap;motion_extrapolation_consistent;appearance_cosine_support;bbox_size_compatible,,one_source_multiple_successors,AUTO_GM_RM011_0005;AUTO_GM_RM011_0010;AUTO_GM_RM011_0009;AUTO_GM_RM011_0007;AUTO_GM_RM011_0006;AUTO_GM_RM011_0008,candidate_competition_margin_too_small
REL_GM_RM011_00018,GM_RM011,AUTO_GM_RM011_0003,AUTO_GM_RM011_0006,GM_RM011__botsort__raw__bs_0004__seg_001,GM_RM011__botsort__raw__bs_0009__seg_001,3,478.556122,478.380279,496.588944,0.844397,5.100802,1.466657,0.859795,appearance_support,0.000000,0.000000,0,0,0.754712,ambiguous_continuity,ambiguous_continuity,short_forward_gap;motion_extrapolation_consistent;appearance_cosine_support,bbox_size_jump,,,partial_support_with_competition_or_state_uncertainty
REL_GM_RM011_00019,GM_RM011,AUTO_GM_RM011_0003,AUTO_GM_RM011_0007,GM_RM011__botsort__raw__bs_0004__seg_001,GM_RM011__botsort__raw__bs_0011__seg_001,7,427.024553,426.962049,469.066501,0.878625,2.545793,1.141396,0.775896,appearance_unreliable,0.000000,0.000000,0,0,0.755436,weak_continuity,ambiguous_continuity,short_forward_gap;motion_extrapolation_consistent;bbox_size_compatible,,appearance_unreliable;one_source_multiple_successors,AUTO_GM_RM011_0005;AUTO_GM_RM011_0010;AUTO_GM_RM011_0009;AUTO_GM_RM011_0007;AUTO_GM_RM011_0006;AUTO_GM_RM011_0008,candidate_competition_margin_too_small
REL_GM_RM011_00020,GM_RM011,AUTO_GM_RM011_0003,AUTO_GM_RM011_0008,GM_RM011__botsort__raw__bs_0004__seg_001,GM_RM011__botsort__raw__bs_0013__seg_001,23,484.320540,486.052127,622.795760,1.283914,6.920318,1.436304,0.641489,appearance_conflict,0.000000,0.000000,0,0,0.663833,ambiguous_continuity,ambiguous_continuity,,appearance_cosine_conflict;bbox_size_jump,medium_forward_gap;motion_extrapolation_weak,,partial_support_with_competition_or_state_uncertainty
REL_GM_RM011_00021,GM_RM011,AUTO_GM_RM011_0003,AUTO_GM_RM011_0009,GM_RM011__botsort__raw__bs_0004__seg_001,GM_RM011__botsort__raw__bs_0015__seg_001,36,241.962490,240.483011,458.802827,0.685155,1.247056,0.210902,0.777048,appearance_unreliable,0.000000,0.000000,0,0,0.848296,ambiguous_continuity,ambiguous_continuity,motion_extrapolation_consistent;bbox_size_compatible,long_forward_gap,appearance_unreliable,,partial_support_with_competition_or_state_uncertainty
REL_GM_RM011_00022,GM_RM011,AUTO_GM_RM011_0003,AUTO_GM_RM011_0010,GM_RM011__botsort__raw__bs_0004__seg_001,GM_RM011__botsort__raw__bs_0009__seg_002,38,95.492218,90.660330,147.055692,0.252288,1.223325,0.716482,0.811091,appearance_unreliable,0.000000,0.000000,0,0,0.917775,ambiguous_continuity,ambiguous_continuity,motion_extrapolation_consistent;bbox_size_compatible,long_forward_gap,appearance_unreliable,,partial_support_with_competition_or_state_uncertainty
REL_GM_RM011_00023,GM_RM011,AUTO_GM_RM011_0003,AUTO_GM_RM011_0011,GM_RM011__botsort__raw__bs_0004__seg_001,GM_RM011__botsort__raw__bs_0019__seg_001,71,507.615176,530.946496,934.291159,1.793047,21.131249,1.307728,0.853357,appearance_support,0.000000,0.000000,0,0,0.632535,not_candidate,not_candidate,appearance_cosine_support,long_forward_gap;bbox_size_jump;not_candidate_under_fixed_policy,motion_extrapolation_weak,,time_gap_outside_forward_window
REL_GM_RM011_00024,GM_RM011,AUTO_GM_RM011_0004,AUTO_GM_RM011_0005,GM_RM011__botsort__raw__bs_0001__seg_002,GM_RM011__botsort__raw__bs_0001__seg_003,2,38.319330,38.218655,38.319330,0.072413,1.046898,0.150221,0.861554,appearance_support,0.000000,0.000000,0,0,0.964939,strong_continuity,ambiguous_continuity,short_forward_gap;motion_extrapolation_consistent;appearance_cosine_support;bbox_size_compatible,,one_source_multiple_successors,AUTO_GM_RM011_0005;AUTO_GM_RM011_0009;AUTO_GM_RM011_0010;AUTO_GM_RM011_0007;AUTO_GM_RM011_0006;AUTO_GM_RM011_0008,candidate_competition_margin_too_small
REL_GM_RM011_00025,GM_RM011,AUTO_GM_RM011_0004,AUTO_GM_RM011_0006,GM_RM011__botsort__raw__bs_0001__seg_002,GM_RM011__botsort__raw__bs_0009__seg_001,3,432.258562,432.138693,432.258562,0.733014,5.741056,1.624653,0.813860,appearance_unreliable,0.000000,0.000000,0,0,0.767347,ambiguous_continuity,ambiguous_continuity,short_forward_gap;motion_extrapolation_consistent,bbox_size_jump,appearance_unreliable,,partial_support_with_competition_or_state_uncertainty
REL_GM_RM011_00026,GM_RM011,AUTO_GM_RM011_0004,AUTO_GM_RM011_0007,GM_RM011__botsort__raw__bs_0001__seg_002,GM_RM011__botsort__raw__bs_0011__seg_001,7,380.741995,380.707219,380.741995,0.712336,2.865342,1.299392,0.726922,appearance_unreliable,0.000000,0.000000,0,0,0.770170,ambiguous_continuity,ambiguous_continuity,short_forward_gap;motion_extrapolation_consistent,bbox_size_jump,appearance_unreliable,,partial_support_with_competition_or_state_uncertainty
REL_GM_RM011_00027,GM_RM011,AUTO_GM_RM011_0004,AUTO_GM_RM011_0008,GM_RM011__botsort__raw__bs_0001__seg_002,GM_RM011__botsort__raw__bs_0013__seg_001,23,438.025949,440.128620,438.025949,0.903488,7.788958,1.594300,0.630890,appearance_conflict,0.000000,0.000000,0,0,0.713222,ambiguous_continuity,ambiguous_continuity,motion_extrapolation_consistent,appearance_cosine_conflict;bbox_size_jump,medium_forward_gap,,partial_support_with_competition_or_state_uncertainty
REL_GM_RM011_00028,GM_RM011,AUTO_GM_RM011_0004,AUTO_GM_RM011_0009,GM_RM011__botsort__raw__bs_0001__seg_002,GM_RM011__botsort__raw__bs_0015__seg_001,36,195.785741,194.225018,195.785741,0.291269,1.107982,0.368898,0.756880,appearance_unreliable,0.000000,0.000000,0,0,0.906465,ambiguous_continuity,ambiguous_continuity,motion_extrapolation_consistent;bbox_size_compatible,long_forward_gap,appearance_unreliable,,partial_support_with_competition_or_state_uncertainty
REL_GM_RM011_00029,GM_RM011,AUTO_GM_RM011_0004,AUTO_GM_RM011_0010,GM_RM011__botsort__raw__bs_0001__seg_002,GM_RM011__botsort__raw__bs_0009__seg_002,38,139.681362,136.885896,139.681362,0.239086,1.376877,0.874478,0.757141,appearance_unreliable,0.000000,0.000000,0,0,0.898438,ambiguous_continuity,ambiguous_continuity,motion_extrapolation_consistent;bbox_size_compatible,long_forward_gap,appearance_unreliable,,partial_support_with_competition_or_state_uncertainty
REL_GM_RM011_00030,GM_RM011,AUTO_GM_RM011_0004,AUTO_GM_RM011_0011,GM_RM011__botsort__raw__bs_0001__seg_002,GM_RM011__botsort__raw__bs_0019__seg_001,71,461.852410,487.954300,461.852410,0.883742,23.783647,1.465724,0.837972,appearance_support,0.000000,0.000000,0,0,0.742727,not_candidate,not_candidate,motion_extrapolation_consistent;appearance_cosine_support,long_forward_gap;bbox_size_jump;not_candidate_under_fixed_policy,,,time_gap_outside_forward_window
REL_GM_RM011_00031,GM_RM011,AUTO_GM_RM011_0005,AUTO_GM_RM011_0008,GM_RM011__botsort__raw__bs_0001__seg_003,GM_RM011__botsort__raw__bs_0013__seg_001,5,744.922867,739.115253,829.655732,2.277132,4.587970,0.115534,0.745680,appearance_unreliable,0.000000,0.000000,0,0,0.491240,blocked_continuity,blocked_continuity,short_forward_gap,motion_extrapolation_conflict;bbox_size_jump;blocked_by_combined_evidence,appearance_unreliable,,motion_and_size_conflict
REL_GM_RM011_00032,GM_RM011,AUTO_GM_RM011_0005,AUTO_GM_RM011_0009,GM_RM011__botsort__raw__bs_0001__seg_003,GM_RM011__botsort__raw__bs_0015__seg_001,18,504.976522,494.501687,812.521065,1.511077,39.594294,1.340936,0.792911,appearance_unreliable,0.000000,0.000000,0,0,0.660213,ambiguous_continuity,ambiguous_continuity,,bbox_size_jump,medium_forward_gap;motion_extrapolation_weak;appearance_unreliable,,partial_support_with_competition_or_state_uncertainty
REL_GM_RM011_00033,GM_RM011,AUTO_GM_RM011_0005,AUTO_GM_RM011_0010,GM_RM011__botsort__raw__bs_0001__seg_003,GM_RM011__botsort__raw__bs_0009__seg_002,20,194.854875,163.562046,532.734075,1.171027,25.954032,0.835356,0.811107,appearance_unreliable,0.000000,0.000000,0,0,0.736214,ambiguous_continuity,ambiguous_continuity,motion_extrapolation_consistent,bbox_size_jump,medium_forward_gap;appearance_unreliable,,partial_support_with_competition_or_state_uncertainty
REL_GM_RM011_00034,GM_RM011,AUTO_GM_RM011_0005,AUTO_GM_RM011_0011,GM_RM011__botsort__raw__bs_0001__seg_003,GM_RM011__botsort__raw__bs_0019__seg_001,53,771.788663,774.227523,1678.681734,4.273086,1.502524,0.244110,0.914946,appearance_support,0.000000,0.000000,0,0,0.474950,not_candidate,not_candidate,appearance_cosine_support;bbox_size_compatible,long_forward_gap;motion_extrapolation_conflict;not_candidate_under_fixed_policy,,,insufficient_time_motion_appearance_support
REL_GM_RM011_00035,GM_RM011,AUTO_GM_RM011_0006,AUTO_GM_RM011_0009,GM_RM011__botsort__raw__bs_0009__seg_001,GM_RM011__botsort__raw__bs_0015__seg_001,2,286.736311,286.684188,320.564537,0.535141,1.256916,0.230882,0.749850,appearance_unreliable,0.000000,0.000000,0,0,0.853947,weak_continuity,ambiguous_continuity,short_forward_gap;motion_extrapolation_consistent;bbox_size_compatible,,appearance_unreliable;one_source_multiple_successors,AUTO_GM_RM011_0010;AUTO_GM_RM011_0009,candidate_competition_margin_too_small
REL_GM_RM011_00036,GM_RM011,AUTO_GM_RM011_0006,AUTO_GM_RM011_0010,GM_RM011__botsort__raw__bs_0009__seg_001,GM_RM011__botsort__raw__bs_0009__seg_002,4,45.247658,44.727627,24.814519,0.047988,1.213728,0.274698,0.819549,appearance_unreliable,0.000000,0.000000,0,0,0.948402,weak_continuity,ambiguous_continuity,short_forward_gap;motion_extrapolation_consistent;bbox_size_compatible,,appearance_unreliable;one_source_multiple_successors,AUTO_GM_RM011_0010;AUTO_GM_RM011_0009,candidate_competition_margin_too_small
REL_GM_RM011_00037,GM_RM011,AUTO_GM_RM011_0006,AUTO_GM_RM011_0011,GM_RM011__botsort__raw__bs_0009__seg_001,GM_RM011__botsort__raw__bs_0019__seg_001,37,549.762834,574.864025,1172.634686,2.577064,20.965474,0.865944,0.948729,appearance_support,0.000000,0.000000,0,0,0.537387,blocked_continuity,blocked_continuity,appearance_cosine_support,long_forward_gap;motion_extrapolation_conflict;bbox_size_jump;blocked_by_combined_evidence,,,motion_and_size_conflict
REL_GM_RM011_00038,GM_RM011,AUTO_GM_RM011_0006,AUTO_GM_RM011_0012,GM_RM011__botsort__raw__bs_0009__seg_001,GM_RM011__botsort__raw__bs_0025__seg_001,65,554.182354,599.341653,1645.637815,3.500360,42.190588,0.269315,0.929202,appearance_support,0.000000,0.000000,0,0,0.487565,not_candidate,not_candidate,appearance_cosine_support,long_forward_gap;motion_extrapolation_conflict;bbox_size_jump;not_candidate_under_fixed_policy,,,time_gap_outside_forward_window
REL_GM_RM011_00039,GM_RM011,AUTO_GM_RM011_0006,AUTO_GM_RM011_0013,GM_RM011__botsort__raw__bs_0009__seg_001,GM_RM011__botsort__raw__bs_0026__seg_001,68,361.059217,360.413123,1511.403693,2.870957,1.252293,0.085379,0.805525,appearance_unreliable,0.000000,0.000000,0,0,0.574876,not_candidate,not_candidate,bbox_size_compatible,long_forward_gap;motion_extrapolation_conflict;not_candidate_under_fixed_policy,appearance_unreliable,,time_gap_outside_forward_window
REL_GM_RM011_00040,GM_RM011,AUTO_GM_RM011_0007,AUTO_GM_RM011_0008,GM_RM011__botsort__raw__bs_0011__seg_001,GM_RM011__botsort__raw__bs_0013__seg_001,10,130.830694,139.673766,260.546009,0.678745,5.574561,0.589706,0.535345,appearance_conflict,0.000000,0.000000,0,0,0.765009,ambiguous_continuity,ambiguous_continuity,short_forward_gap;motion_extrapolation_consistent,appearance_cosine_conflict;bbox_size_jump,,,partial_support_with_competition_or_state_uncertainty
REL_GM_RM011_00041,GM_RM011,AUTO_GM_RM011_0007,AUTO_GM_RM011_0009,GM_RM011__botsort__raw__bs_0011__seg_001,GM_RM011__botsort__raw__bs_0015__seg_001,23,112.753706,112.321220,212.308199,0.389024,1.548108,0.635696,0.658526,appearance_conflict,0.000000,0.000000,0,0,0.862751,ambiguous_continuity,ambiguous_continuity,motion_extrapolation_consistent;bbox_size_compatible,appearance_cosine_conflict,medium_forward_gap,,partial_support_with_competition_or_state_uncertainty
REL_GM_RM011_00042,GM_RM011,AUTO_GM_RM011_0007,AUTO_GM_RM011_0010,GM_RM011__botsort__raw__bs_0011__seg_001,GM_RM011__botsort__raw__bs_0009__seg_002,25,443.327289,443.293497,187.121229,0.400035,1.014784,0.130117,0.718824,appearance_unreliable,0.000000,0.000000,0,0,0.853541,weak_continuity,ambiguous_continuity,motion_extrapolation_consistent;bbox_size_compatible,,medium_forward_gap;appearance_unreliable;one_source_multiple_successors,AUTO_GM_RM011_0009;AUTO_GM_RM011_0010;AUTO_GM_RM011_0008,candidate_competition_margin_too_small
REL_GM_RM011_00043,GM_RM011,AUTO_GM_RM011_0007,AUTO_GM_RM011_0011,GM_RM011__botsort__raw__bs_0011__seg_001,GM_RM011__botsort__raw__bs_0019__seg_001,58,157.169758,232.801592,892.678516,2.198391,17.021968,0.461130,0.875736,appearance_support,0.000000,0.000000,0,0,0.627184,not_candidate,not_candidate,appearance_cosine_support,long_forward_gap;bbox_size_jump;not_candidate_under_fixed_policy,motion_extrapolation_weak,,insufficient_time_motion_appearance_support
REL_GM_RM011_00044,GM_RM011,AUTO_GM_RM011_0008,AUTO_GM_RM011_0009,GM_RM011__botsort__raw__bs_0013__seg_001,GM_RM011__botsort__raw__bs_0015__seg_001,8,175.784342,175.038091,81.640653,0.164002,2.710695,0.888757,0.724653,appearance_unreliable,0.000000,0.000000,0,0,0.859798,weak_continuity,ambiguous_continuity,short_forward_gap;motion_extrapolation_consistent;bbox_size_compatible,,appearance_unreliable;multiple_sources_one_successor,AUTO_GM_RM011_0004;AUTO_GM_RM011_0007;AUTO_GM_RM011_0008;AUTO_GM_RM011_0001;AUTO_GM_RM011_0006;AUTO_GM_RM011_0003;AUTO_GM_RM011_0005,candidate_competition_margin_too_small
REL_GM_RM011_00045,GM_RM011,AUTO_GM_RM011_0008,AUTO_GM_RM011_0010,GM_RM011__botsort__raw__bs_0013__seg_001,GM_RM011__botsort__raw__bs_0009__seg_002,10,506.413515,506.097896,374.895802,0.884355,1.776859,0.383177,0.707376,appearance_unreliable,0.000000,0.000000,0,0,0.736887,weak_continuity,ambiguous_continuity,short_forward_gap;motion_extrapolation_consistent;bbox_size_compatible,,appearance_unreliable;multiple_sources_one_successor,AUTO_GM_RM011_0006;AUTO_GM_RM011_0003;AUTO_GM_RM011_0004;AUTO_GM_RM011_0001;AUTO_GM_RM011_0007;AUTO_GM_RM011_0008;AUTO_GM_RM011_0005,candidate_competition_margin_too_small
REL_GM_RM011_00046,GM_RM011,AUTO_GM_RM011_0008,AUTO_GM_RM011_0011,GM_RM011__botsort__raw__bs_0013__seg_001,GM_RM011__botsort__raw__bs_0019__seg_001,43,119.192965,204.342483,713.278224,1.964791,9.721435,0.208069,0.652777,appearance_conflict,0.000000,0.000000,0,0,0.630483,ambiguous_continuity,ambiguous_continuity,,long_forward_gap;appearance_cosine_conflict;bbox_size_jump,motion_extrapolation_weak,,partial_support_with_competition_or_state_uncertainty
REL_GM_RM011_00047,GM_RM011,AUTO_GM_RM011_0008,AUTO_GM_RM011_0012,GM_RM011__botsort__raw__bs_0013__seg_001,GM_RM011__botsort__raw__bs_0025__seg_001,71,146.631638,269.296983,1118.774644,2.968376,19.563262,0.388561,0.700470,appearance_unreliable,0.000000,0.000000,0,0,0.515312,not_candidate,not_candidate,,long_forward_gap;motion_extrapolation_conflict;bbox_size_jump;not_candidate_under_fixed_policy,appearance_unreliable,,time_gap_outside_forward_window
REL_GM_RM011_00048,GM_RM011,AUTO_GM_RM011_0008,AUTO_GM_RM011_0013,GM_RM011__botsort__raw__bs_0013__seg_001,GM_RM011__botsort__raw__bs_0026__seg_001,74,101.871636,101.385030,945.211579,2.212201,1.722140,0.743254,0.742474,appearance_unreliable,0.000000,0.000000,0,0,0.651892,not_candidate,not_candidate,bbox_size_compatible,long_forward_gap;motion_extrapolation_conflict;not_candidate_under_fixed_policy,appearance_unreliable,,time_gap_outside_forward_window
REL_GM_RM011_00049,GM_RM011,AUTO_GM_RM011_0009,AUTO_GM_RM011_0011,GM_RM011__botsort__raw__bs_0015__seg_001,GM_RM011__botsort__raw__bs_0019__seg_001,30,272.590099,321.499733,323.503281,0.607970,28.296258,1.051777,0.788100,appearance_unreliable,0.000000,0.000000,0,0,0.793430,ambiguous_continuity,ambiguous_continuity,motion_extrapolation_consistent,bbox_size_jump,medium_forward_gap;appearance_unreliable,,partial_support_with_competition_or_state_uncertainty
REL_GM_RM011_00050,GM_RM011,AUTO_GM_RM011_0009,AUTO_GM_RM011_0012,GM_RM011__botsort__raw__bs_0015__seg_001,GM_RM011__botsort__raw__bs_0025__seg_001,58,280.505671,363.854355,379.466027,0.692913,56.942940,0.455147,0.798744,appearance_unreliable,0.000000,0.000000,0,0,0.784856,not_candidate,not_candidate,motion_extrapolation_consistent,long_forward_gap;bbox_size_jump;not_candidate_under_fixed_policy,appearance_unreliable,,insufficient_time_motion_appearance_support
REL_GM_RM011_00051,GM_RM011,AUTO_GM_RM011_0009,AUTO_GM_RM011_0013,GM_RM011__botsort__raw__bs_0015__seg_001,GM_RM011__botsort__raw__bs_0026__seg_001,61,92.814464,82.911249,294.474329,0.485616,1.690169,0.100453,0.808131,appearance_unreliable,0.000000,0.000000,0,0,0.868323,not_candidate,not_candidate,motion_extrapolation_consistent;bbox_size_compatible,long_forward_gap;not_candidate_under_fixed_policy,appearance_unreliable,,time_gap_outside_forward_window
