sar_frame,split,physical_vehicle_id,gt_visible_fraction,gt_mask_contact_ratio,gt_boundary_contact_ratio,mask_observability_status,planned_anchor_class,mask_metadata_source,plan_stage_does_not_read_sar_intensity
355,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
356,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
357,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
358,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
359,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
360,calibration,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,A_COMPLETE_OBSERVABLE_ANCHOR,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
361,guard,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,B_MASK_OR_DOMAIN_TRANSITION_RESERVED,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
362,guard,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,B_MASK_OR_DOMAIN_TRANSITION_RESERVED,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
363,guard,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,B_MASK_OR_DOMAIN_TRANSITION_RESERVED,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
364,guard,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,B_MASK_OR_DOMAIN_TRANSITION_RESERVED,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
365,guard,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,B_MASK_OR_DOMAIN_TRANSITION_RESERVED,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
366,guard,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,B_MASK_OR_DOMAIN_TRANSITION_RESERVED,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
367,guard,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,B_MASK_OR_DOMAIN_TRANSITION_RESERVED,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
368,guard,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,B_MASK_OR_DOMAIN_TRANSITION_RESERVED,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
369,guard,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,B_MASK_OR_DOMAIN_TRANSITION_RESERVED,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
370,guard,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,B_MASK_OR_DOMAIN_TRANSITION_RESERVED,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
371,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,C_OUT_OF_DOMAIN_OR_STRESS_CONTROL,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
372,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,C_OUT_OF_DOMAIN_OR_STRESS_CONTROL,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
373,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,C_OUT_OF_DOMAIN_OR_STRESS_CONTROL,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
374,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,C_OUT_OF_DOMAIN_OR_STRESS_CONTROL,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
375,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,C_OUT_OF_DOMAIN_OR_STRESS_CONTROL,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
376,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,C_OUT_OF_DOMAIN_OR_STRESS_CONTROL,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
377,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,C_OUT_OF_DOMAIN_OR_STRESS_CONTROL,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
378,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,C_OUT_OF_DOMAIN_OR_STRESS_CONTROL,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
379,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,C_OUT_OF_DOMAIN_OR_STRESS_CONTROL,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
380,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,C_OUT_OF_DOMAIN_OR_STRESS_CONTROL,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
381,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,C_OUT_OF_DOMAIN_OR_STRESS_CONTROL,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
382,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,C_OUT_OF_DOMAIN_OR_STRESS_CONTROL,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
383,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,C_OUT_OF_DOMAIN_OR_STRESS_CONTROL,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
384,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,C_OUT_OF_DOMAIN_OR_STRESS_CONTROL,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
385,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,C_OUT_OF_DOMAIN_OR_STRESS_CONTROL,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
386,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,C_OUT_OF_DOMAIN_OR_STRESS_CONTROL,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
387,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,C_OUT_OF_DOMAIN_OR_STRESS_CONTROL,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
388,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,C_OUT_OF_DOMAIN_OR_STRESS_CONTROL,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
389,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,C_OUT_OF_DOMAIN_OR_STRESS_CONTROL,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
390,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,C_OUT_OF_DOMAIN_OR_STRESS_CONTROL,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
391,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,C_OUT_OF_DOMAIN_OR_STRESS_CONTROL,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
392,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,C_OUT_OF_DOMAIN_OR_STRESS_CONTROL,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
393,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,C_OUT_OF_DOMAIN_OR_STRESS_CONTROL,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
394,posthoc_diagnosis,GM_RM017_WGV35A_MAIN_VEHICLE_THREAD,1,0,0,HIGH_OBSERVABILITY_MASK_INNER,C_OUT_OF_DOMAIN_OR_STRESS_CONTROL,reports\oty2\samples\oty2_wgv3_6b_e0_gm017_mask_censoring_audit_20260712.csv,true
