atom_a,atom_b,sar_frame,physical_or_geometry_distance,azimuth_difference,radial_difference,orientation_difference,blank_gap,energy_ratio,possible_relation,all_pair_constraint_pass,transitive_merge_risk
A8A_F032_001,A8A_F032_005,32,141.895372,43.97637,45.551193,47.046184,104.785495,2.369339,unrelated,false,true
A8A_F032_001,A8A_F032_006,32,119.838143,35.981724,45.306061,6.375437,78.230429,10.393184,unresolved,false,true
A8A_F032_001,A8A_F032_007,32,110.763638,31.305168,62.345856,8.258225,74.215901,3.019319,unresolved,false,true
A8A_F032_001,A8A_F032_008,32,97.656653,21.869278,76.147263,30.598317,66,3.345732,unresolved,false,true
A8A_F032_002,A8A_F032_003,32,138.760181,39.45827,67.215271,65.335581,36,12.589479,unresolved,false,false
A8A_F032_002,A8A_F032_004,32,166.067931,38.264743,105.865479,64.225216,66,108.491688,unresolved,false,true
A8A_F032_002,A8A_F032_005,32,104.654313,39.673659,8.814163,41.688494,18,32.154823,unresolved,false,false
A8A_F032_002,A8A_F032_006,32,106.29052,40.284434,9.059296,11.733127,6,141.048213,unresolved,false,false
A8A_F032_002,A8A_F032_007,32,89.190262,35.607879,7.980499,2.900535,0,40.975851,unresolved,true,false
A8A_F032_002,A8A_F032_008,32,66.173063,26.171988,21.781906,35.956008,0,45.405673,unresolved,true,false
A8A_F032_003,A8A_F032_004,32,297.489881,77.723013,38.650208,1.110365,264.068173,8.617647,unrelated,false,true
A8A_F032_003,A8A_F032_005,32,58.40525,0.215389,58.401108,72.975925,24,2.554103,unresolved,true,false
A8A_F032_003,A8A_F032_006,32,244.441369,79.742704,58.155975,53.602454,214.410821,11.203658,unrelated,false,true
A8A_F032_003,A8A_F032_007,32,226.019702,75.066149,75.19577,68.236116,193.865933,3.254769,side_to_endpoint,false,true
A8A_F032_003,A8A_F032_008,32,200.895314,65.630259,88.997177,29.379573,169.387131,3.606636,side_to_endpoint,false,true
A8A_F032_004,A8A_F032_005,32,270.655767,77.938402,97.051315,74.08629,246.292509,3.374041,unrelated,false,true
A8A_F032_004,A8A_F032_006,32,97.065168,2.019691,96.806183,52.492089,72.249567,1.300083,unresolved,false,true
A8A_F032_004,A8A_F032_007,32,114.185987,2.656864,113.845978,67.125751,89.196412,2.647698,unresolved,false,true
A8A_F032_004,A8A_F032_008,32,133.184398,12.092754,127.647385,28.269208,104.957134,2.389386,unrelated,false,true
A8A_F032_005,A8A_F032_006,32,203.349186,79.958094,0.245132,53.421621,186.096749,4.386534,unrelated,false,true
A8A_F032_005,A8A_F032_007,32,183.361607,75.281538,16.794662,38.787959,162.443836,1.27433,side_to_endpoint,false,true
A8A_F032_005,A8A_F032_008,32,157.364166,65.845648,30.596069,77.644501,138.130373,1.412095,side_to_endpoint,false,true
A8A_F032_006,A8A_F032_007,32,20.961459,4.676556,17.039795,14.633662,6,3.442228,unresolved,true,false
A8A_F032_006,A8A_F032_008,32,46.586221,14.112446,30.841202,24.222881,30,3.106401,unresolved,true,false
A8A_F032_007,A8A_F032_008,32,26.042366,9.43589,13.801407,38.856543,6,1.108108,unresolved,true,false
A8A_F040_001,A8A_F040_002,40,119.382499,15.16909,97.802429,0.937831,0,54.221457,unresolved,true,false
A8A_F040_001,A8A_F040_003,40,99.342591,13.77914,78.937683,86.564538,0,95.723719,unresolved,true,false
A8A_F040_001,A8A_F040_004,40,69.690391,17.775791,33.67337,79.83112,0,7.138192,unresolved,true,false
A8A_F040_001,A8A_F040_005,40,114.638702,0.261465,114.636742,74.728769,12,5.012876,unresolved,false,false
A8A_F040_002,A8A_F040_003,40,20.248213,1.38995,18.864746,87.50237,0,1.765421,unresolved,true,false
A8A_F040_002,A8A_F040_004,40,131.921482,2.606701,131.4758,80.768952,60,7.595965,unresolved,false,true
A8A_F040_002,A8A_F040_005,40,217.701644,15.430555,212.439171,75.6666,140.07141,10.816437,unrelated,false,true
A8A_F040_003,A8A_F040_004,40,113.756349,3.996651,112.611053,6.733418,51.613952,13.410078,unresolved,false,false
A8A_F040_003,A8A_F040_005,40,198.075839,14.040606,193.574425,11.835769,131.590273,19.095569,unrelated,false,true
A8A_F040_004,A8A_F040_005,40,91.346041,18.037256,80.963371,5.102351,24,1.423971,unresolved,true,false
A8A_F046_001,A8A_F046_002,46,100.971402,21.608135,56.265411,56.362357,0,6.27604,unresolved,true,false
A8A_F046_001,A8A_F046_003,46,84.098599,24.468586,2.198746,49.298759,0,40.323155,unresolved,true,false
A8A_F046_001,A8A_F046_004,46,84.727277,1.45446,84.642754,36.77046,6,5.215525,unresolved,true,false
A8A_F046_002,A8A_F046_003,46,55.219761,2.860451,54.066666,74.338884,24,6.424936,unresolved,true,false
A8A_F046_002,A8A_F046_004,46,152.812533,20.153675,140.908165,86.867183,86.533231,1.203338,core_to_side,false,true
A8A_F046_003,A8A_F046_004,46,105.439055,23.014126,86.841499,12.528299,72,7.73137,unresolved,false,true
A8A_F060_001,A8A_F060_002,60,113.206418,5.324379,4.272461,17.736611,0,103.943739,unresolved,true,false
A8A_F060_001,A8A_F060_003,60,128.018938,5.116837,62.60022,5.027611,108.166538,1.02037,unrelated,false,true
A8A_F060_002,A8A_F060_003,60,67.025462,0.207542,66.872681,12.709,0,106.061111,unresolved,true,false
A8A_F078_001,A8A_F078_002,78,50.074713,11.976286,5.356262,34.43651,24,7.962446,unresolved,true,false
A8A_F078_001,A8A_F078_003,78,51.612027,7.665485,43.012909,26.175917,0,135.949571,same_arc_background,false,false
A8A_F078_001,A8A_F078_004,78,123.578289,2.739725,123.332237,63.122308,66,66.389485,unresolved,false,true
A8A_F078_002,A8A_F078_003,78,88.080025,19.641771,48.369171,60.612427,0,17.073844,same_arc_background,false,false
A8A_F078_002,A8A_F078_004,78,135.439365,14.716011,128.688499,82.441182,43.266615,8.337825,core_to_side,false,false
A8A_F078_003,A8A_F078_004,78,81.312412,4.92576,80.319328,36.946391,0,2.047758,same_arc_background,false,false
A8A_F079_001,A8A_F079_002,79,99.052428,22.327466,53.547699,62.832578,0,16.433865,same_arc_background,false,false
A8A_F079_001,A8A_F079_003,79,122.1447,33.803144,28.988983,6.720285,6,37.616371,same_arc_background,false,false
A8A_F079_001,A8A_F079_004,79,71.434226,15.458024,57.235291,20.75378,0,2.846847,same_arc_background,false,false
A8A_F079_001,A8A_F079_005,79,113.63057,6.132903,112.889084,11.068655,42,8.40648,same_arc_background,false,false
A8A_F079_001,A8A_F079_006,79,147.488464,15.090232,145.493256,76.584601,90,62.325163,same_arc_background,false,false
A8A_F079_002,A8A_F079_003,79,52.317053,11.475677,24.558716,56.112293,30,2.288955,unresolved,true,false
A8A_F079_002,A8A_F079_004,79,112.860835,6.869442,110.78299,42.078798,51.613952,5.772655,core_to_side,false,false
A8A_F079_002,A8A_F079_005,79,179.574567,28.460369,166.436783,73.901232,123.109707,1.954904,unrelated,false,true
A8A_F079_002,A8A_F079_006,79,209.972046,37.417698,199.040955,40.582822,190.965966,3.792484,unrelated,false,true
A8A_F079_003,A8A_F079_004,79,101.945299,18.345119,86.224274,14.033495,42,13.213346,unresolved,true,false
A8A_F079_003,A8A_F079_005,79,167.386302,39.936047,141.878067,17.78894,102.528045,4.474688,unrelated,false,true
A8A_F079_003,A8A_F079_006,79,192.707951,48.893376,174.482239,83.304885,166.709328,1.656863,unrelated,false,true
A8A_F079_004,A8A_F079_005,79,67.353377,21.590927,55.653793,31.822434,0,2.952909,unresolved,true,false
A8A_F079_004,A8A_F079_006,79,97.128373,30.548256,88.257965,82.66162,55.317267,21.892702,unresolved,true,false
A8A_F079_005,A8A_F079_006,79,33.867251,8.957329,32.604172,65.515946,12,7.413943,unresolved,true,false
A8A_F080_001,A8A_F080_002,80,101.785517,22.70059,55.862579,61.226827,0,15.986339,same_arc_background,false,false
A8A_F080_001,A8A_F080_003,80,124.639339,34.035093,32.425171,5.680042,12,31.69375,same_arc_background,false,false
A8A_F080_001,A8A_F080_004,80,76.183255,8.404348,72.980469,37.441794,0,1.706163,same_arc_background,false,false
A8A_F080_001,A8A_F080_005,80,147.969119,15.443332,145.908775,62.570176,90,62.669413,same_arc_background,false,false
A8A_F080_002,A8A_F080_003,80,51.798131,11.334503,23.437408,55.546785,18,1.982552,unresolved,true,false
A8A_F080_002,A8A_F080_004,80,135.584697,14.296242,128.843048,81.331379,42.426407,9.369762,core_to_side,false,false
A8A_F080_002,A8A_F080_005,80,212.944552,38.143922,201.771355,56.202997,190.965966,3.920185,unrelated,false,true
A8A_F080_003,A8A_F080_004,80,127.415946,25.630745,105.40564,43.121836,42,18.576042,unresolved,false,false
A8A_F080_003,A8A_F080_005,80,196.67024,49.478426,178.333946,68.250219,171.918585,1.977343,unrelated,false,true
A8A_F080_004,A8A_F080_005,80,78.742867,23.847681,72.928307,25.128383,6,36.731205,unresolved,true,false
A8A_F081_001,A8A_F081_002,81,102.19528,22.501269,56.712799,62.937192,0,18.281725,same_arc_background,false,false
A8A_F081_001,A8A_F081_003,81,51.003692,11.281361,20.488068,60.915801,18,2.155093,unresolved,true,false
A8A_F081_001,A8A_F081_004,81,138.604754,13.935246,132.370163,78.733307,46.861498,10.571122,core_to_side,false,false
A8A_F081_001,A8A_F081_005,81,83.5582,1.06041,83.474472,73.447417,56.603887,6.7394,unresolved,true,false
A8A_F081_002,A8A_F081_003,81,126.563429,33.78263,36.224731,2.021391,6,39.39881,same_arc_background,false,false
A8A_F081_002,A8A_F081_004,81,78.854108,8.566024,75.657364,38.329501,0,1.729403,same_arc_background,false,false
A8A_F081_002,A8A_F081_005,81,77.251361,23.561679,26.761673,10.510225,6,123.207859,same_arc_background,false,false
A8A_F081_003,A8A_F081_004,81,132.423548,25.216606,111.882095,40.350892,48,22.781746,unresolved,false,false
A8A_F081_003,A8A_F081_005,81,71.806327,10.220951,62.986404,12.531616,42.426407,3.127198,unresolved,true,false
A8A_F081_004,A8A_F081_005,81,60.727215,14.995655,48.895691,27.819276,0,71.24302,unresolved,true,false
A8A_F212_001,A8A_F212_002,212,80.986914,15.397823,57.810364,14.210432,0,61.758189,unresolved,true,false
A8A_F212_001,A8A_F212_003,212,64.357905,20.327934,6.69841,33.272272,0,45.512957,unresolved,true,false
A8A_F212_002,A8A_F212_003,212,66.939729,4.930111,64.508774,47.482703,34.985711,1.356936,unresolved,true,false
A8A_F213_001,A8A_F213_002,213,34.785776,5.467897,22.119598,9.608565,12,3.755376,unresolved,true,false
A8A_F213_001,A8A_F213_003,213,103.404366,9.069178,96.199646,19.770011,0,33.657266,unresolved,true,false
A8A_F213_001,A8A_F213_004,213,195.363922,41.435499,98.669205,73.396599,150.119952,2.102649,unrelated,false,true
A8A_F213_001,A8A_F213_005,213,135.882015,17.482441,117.114777,24.54895,96,1.630105,unrelated,false,true
A8A_F213_001,A8A_F213_006,213,265.120198,62.042416,214.160812,53.898604,222.081066,4.97153,unrelated,false,true
A8A_F213_002,A8A_F213_003,213,75.484073,3.60128,74.080048,10.161446,0,126.395699,unresolved,true,false
A8A_F213_002,A8A_F213_004,213,160.870537,35.967601,76.549606,63.788034,127.279221,1.786022,unrelated,false,true
A8A_F213_002,A8A_F213_005,213,128.63076,22.950338,94.995178,34.157515,108,2.303763,unrelated,false,true
A8A_F213_002,A8A_F213_006,213,236.582091,56.574518,192.041214,44.290039,212.132034,1.323843,unrelated,false,true
A8A_F213_003,A8A_F213_004,213,108.872852,32.366321,2.469559,53.626587,0,70.769416,unresolved,true,false
A8A_F213_003,A8A_F213_005,213,87.838653,26.551619,20.915131,44.318961,0,54.864877,unresolved,true,false
A8A_F213_003,A8A_F213_006,213,161.847694,52.973238,117.961166,34.128592,12,167.328114,unresolved,false,true
A8A_F213_004,A8A_F213_005,213,182.489788,58.91794,18.445572,82.054452,142.239235,1.289886,unrelated,false,true
A8A_F213_004,A8A_F213_006,213,123.646853,20.606917,115.491608,19.497995,108,2.364413,unrelated,false,true
A8A_F213_005,A8A_F213_006,213,178.846444,79.524857,97.046036,78.447553,150.479234,3.049822,unrelated,false,true
A8A_F220_001,A8A_F220_002,220,159.528169,12.971389,143.841553,24.005869,0,71.01508,unresolved,false,true
A8A_F220_001,A8A_F220_003,220,214.28979,19.123338,185.768097,46.302568,0,67.690349,unrelated,false,true
A8A_F220_001,A8A_F220_004,220,152.940798,18.771771,118.806519,64.12958,0,84.266871,unresolved,false,false
A8A_F220_001,A8A_F220_005,220,225.13108,32.962655,143.768158,16.567342,36,34.132533,unrelated,false,true
A8A_F220_001,A8A_F220_006,220,256.336237,39.678262,148.93338,1.907687,102,212.67871,unrelated,false,true
A8A_F220_001,A8A_F220_007,220,170.961331,33.71116,65.258514,62.701348,12,197.160287,unresolved,false,true
A8A_F220_001,A8A_F220_008,220,202.496522,41.24635,64.871552,47.017214,24,96.333139,unresolved,false,true
A8A_F220_002,A8A_F220_003,220,60.472469,6.151949,41.926544,70.308437,12,1.049117,unresolved,true,false
A8A_F220_002,A8A_F220_004,220,45.285097,5.800383,25.035034,40.123711,0,1.186605,unresolved,true,false
A8A_F220_002,A8A_F220_005,220,133.86004,19.991266,0.073395,40.573211,51.264022,2.080569,unresolved,true,false
A8A_F220_002,A8A_F220_006,220,179.376189,26.706873,5.091827,25.913556,134.83323,2.994839,unrelated,false,true
A8A_F220_002,A8A_F220_007,220,146.703304,20.739771,78.583038,38.695478,98.954535,2.776316,unrelated,false,true
A8A_F220_002,A8A_F220_008,220,185.627158,28.274961,78.970001,71.023083,131.041978,1.356517,unrelated,false,true
A8A_F220_003,A8A_F220_004,220,67.00491,0.351566,66.961578,69.567852,6,1.244888,unresolved,true,false
A8A_F220_003,A8A_F220_005,220,106.467274,13.839317,41.999939,29.735226,42,1.983162,unresolved,true,false
A8A_F220_003,A8A_F220_006,220,150.427631,20.554924,36.834717,44.394881,102.528045,3.141935,unrelated,false,true
A8A_F220_003,A8A_F220_007,220,151.615139,14.587822,120.509583,70.996085,120,2.912679,unrelated,false,true
A8A_F220_003,A8A_F220_008,220,184.181432,22.123013,120.896545,0.714646,150,1.423144,unrelated,false,true
A8A_F220_004,A8A_F220_005,220,95.439025,14.190884,24.961639,80.696922,18,2.468814,unresolved,true,false
A8A_F220_004,A8A_F220_006,220,139.499,20.90649,30.126862,66.037267,91.389277,2.523871,unrelated,false,true
A8A_F220_004,A8A_F220_007,220,101.747699,14.939388,53.548004,1.428232,60,2.339713,unresolved,false,true
A8A_F220_004,A8A_F220_008,220,140.381855,22.474579,53.934967,68.853206,90.199778,1.143191,unrelated,false,true
A8A_F220_005,A8A_F220_006,220,45.759921,6.715607,5.165222,14.659655,0,6.230968,unresolved,true,false
A8A_F220_005,A8A_F220_007,220,78.638214,0.748505,78.509644,79.26869,6,5.776316,unresolved,true,false
A8A_F220_005,A8A_F220_008,220,93.23045,8.283695,78.896606,30.449872,36,2.822326,unresolved,true,false
A8A_F220_006,A8A_F220_007,220,91.113104,5.967102,83.674866,64.609034,66,1.07871,unresolved,false,true
A8A_F220_006,A8A_F220_008,220,84.593952,1.568089,84.061829,45.109527,33.941125,2.207742,unresolved,true,false
A8A_F220_007,A8A_F220_008,220,40.329309,7.535191,0.386963,70.281439,0,2.046651,unresolved,true,false
A8A_F239_001,A8A_F239_002,239,110.159916,32.195812,52.395828,57.378252,12,93.977578,unresolved,true,false
A8A_F239_001,A8A_F239_003,239,123.295285,39.493616,43.36676,63.08802,18,103.654227,unresolved,false,false
A8A_F239_001,A8A_F239_004,239,75.156112,29.925549,23.531235,32.878011,0,68.486928,unresolved,true,false
A8A_F239_002,A8A_F239_003,239,26.809395,7.297804,9.029068,5.709768,6,1.102968,unresolved,true,false
A8A_F239_002,A8A_F239_004,239,182.188175,62.121361,75.927063,24.500241,161.554944,1.372197,unrelated,false,true
A8A_F239_003,A8A_F239_004,239,190.777083,69.419165,66.897995,30.210009,158.404545,1.513489,unrelated,false,true
A8A_F243_001,A8A_F243_002,243,67.381461,17.769605,44.250031,77.005748,0,36.019959,unresolved,true,false
A8A_F243_001,A8A_F243_003,243,150.784241,37.607669,92.69722,85.407611,66,183.330159,unresolved,false,true
A8A_F243_001,A8A_F243_004,243,70.417822,29.28464,20.982468,59.127899,0,52.285197,unresolved,true,false
A8A_F243_002,A8A_F243_003,243,201.939789,55.377274,48.447189,8.401863,186.386695,5.089683,unrelated,false,true
A8A_F243_002,A8A_F243_004,243,137.79913,47.054245,65.232498,17.877849,114.629839,1.451562,unrelated,false,true
A8A_F243_003,A8A_F243_004,243,116.341669,8.323029,113.679688,26.279712,85.276022,3.506349,unresolved,false,true
A8A_F250_001,A8A_F250_002,250,103.967369,29.820992,61.321793,67.984655,12,98.526456,unresolved,true,false
