blind_review_id,blind_frame_id,blind_object_id,review_object_type,visible_structure_cn,vehicle_part_support,vehicle_structure_support,background_structure_support,unresolved,decisive_reason_cn,alternative_explanation_cn,relation_to_other_objects_cn,visual_confidence,runtime_png
BRV_0011,BLIND_FRAME_009,BLIND_OBJECT_011,structure_candidate,"BLIND_OBJECT_011 / BLIND_FRAME_009: 主体、侧边和端点候选同时出现，底部组合比同帧红色弧线更像局部车辆结构。 候选角色=body_core_candidate;endpoint_hotspot_candidate;isolated_small_atom;side_ridge_candidate；支持像素轴 L=216.442951, W=83.08784；关系=core_to_side_candidate;core_to_endpoint_candidate;side_to_endpoint_candidate。",true,true,false,false,BLIND_OBJECT_011 的决定性盲审依据是：主体、侧边和端点候选同时出现，底部组合比同帧红色弧线更像局部车辆结构。,也可能只是局部高亮散射组合；需要冻结后在 eval 阶段检查其与目标区域的关系，但盲审阶段不使用该信息。,与同图中的横向红色/白色长条相比，该对象有下方主体和端点/侧边的近距离组合。,medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_001.png
BRV_0012,BLIND_FRAME_009,BLIND_OBJECT_012,structure_candidate,"BLIND_OBJECT_012 / BLIND_FRAME_009: 右上横向背景弧线亮但远离底部主体，几何上不闭合。 候选角色=background_arc_candidate；支持像素轴 L=27.48932, W=10.06184；关系=background_arc_conflict。",false,false,true,false,BLIND_OBJECT_012 的决定性盲审依据是：右上横向背景弧线亮但远离底部主体，几何上不闭合。,如果后验发现它靠近目标，也只能说明背景弧线与目标区域混叠；盲审不能把横向弧线当作车体。,它比下方主体候选更亮或更长，但缺少主体-端点闭合，不能作为车辆解释。,medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_001.png
BRV_0013,BLIND_FRAME_010,BLIND_OBJECT_013,structure_candidate,"BLIND_OBJECT_013 / BLIND_FRAME_010: 单条斜向侧边跨过暗区，缺少底部主体和端点配对。 候选角色=isolated_small_atom;side_ridge_candidate;unresolved_atom；支持像素轴 L=180.556045, W=108.329301；关系=single_or_unresolved_relation。",false,false,false,true,BLIND_OBJECT_013 的决定性盲审依据是：单条斜向侧边跨过暗区，缺少底部主体和端点配对。,可能是弱车体、背景纹理或分割碎片；当前可见结构不足以独立归类。,与可接受的主体-端点组合相比，它缺少至少一个关键部件或距离过长。,low,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_001.png
BRV_0014,BLIND_FRAME_011,BLIND_OBJECT_014,structure_candidate,"BLIND_OBJECT_014 / BLIND_FRAME_011: 底部主体块可见，但上方孤立点偏散，支持车辆部件而不是完整结构。 候选角色=body_core_candidate;isolated_small_atom;unresolved_atom；支持像素轴 L=110.717502, W=42.535746；关系=single_or_unresolved_relation。",true,false,false,false,BLIND_OBJECT_014 的决定性盲审依据是：底部主体块可见，但上方孤立点偏散，支持车辆部件而不是完整结构。,可能是弱车辆部件，也可能是截断背景纹理；盲审只确认局部部件迹象，不确认完整车辆结构。,同图其他对象要么更像横向弧线，要么是孤立强点；该对象只保留局部部件证据。,low_to_medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0015,BLIND_FRAME_011,BLIND_OBJECT_015,structure_candidate,"BLIND_OBJECT_015 / BLIND_FRAME_011: 左上长横带亮且平直，视觉上是背景弧线/条纹。 候选角色=background_arc_candidate；支持像素轴 L=132.762232, W=18.321777；关系=background_arc_conflict。",false,false,true,false,BLIND_OBJECT_015 的决定性盲审依据是：左上长横带亮且平直，视觉上是背景弧线/条纹。,如果后验发现它靠近目标，也只能说明背景弧线与目标区域混叠；盲审不能把横向弧线当作车体。,它比下方主体候选更亮或更长，但缺少主体-端点闭合，不能作为车辆解释。,medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0016,BLIND_FRAME_011,BLIND_OBJECT_016,structure_candidate,"BLIND_OBJECT_016 / BLIND_FRAME_011: 右上短横带与 015 同类，亮度高但没有主体-端点关系。 候选角色=background_arc_candidate；支持像素轴 L=47.444052, W=13.103666；关系=background_arc_conflict。",false,false,true,false,BLIND_OBJECT_016 的决定性盲审依据是：右上短横带与 015 同类，亮度高但没有主体-端点关系。,如果后验发现它靠近目标，也只能说明背景弧线与目标区域混叠；盲审不能把横向弧线当作车体。,它比下方主体候选更亮或更长，但缺少主体-端点闭合，不能作为车辆解释。,medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0017,BLIND_FRAME_012,BLIND_OBJECT_017,structure_candidate,"BLIND_OBJECT_017 / BLIND_FRAME_012: 左下主体与右下端点、上部弱点构成局部闭合，虽然边缘截断明显。 候选角色=body_core_candidate;unresolved_atom；支持像素轴 L=158.517276, W=124.55859；关系=single_or_unresolved_relation。",true,true,false,false,BLIND_OBJECT_017 的决定性盲审依据是：左下主体与右下端点、上部弱点构成局部闭合，虽然边缘截断明显。,也可能只是局部高亮散射组合；需要冻结后在 eval 阶段检查其与目标区域的关系，但盲审阶段不使用该信息。,与同图中的横向红色/白色长条相比，该对象有下方主体和端点/侧边的近距离组合。,medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0018,BLIND_FRAME_013,BLIND_OBJECT_018,structure_candidate,"BLIND_OBJECT_018 / BLIND_FRAME_013: 下方主体与中部侧边相邻，右侧孤立小点不改变主体支撑。 候选角色=body_core_candidate;side_ridge_candidate;unresolved_atom；支持像素轴 L=151.949153, W=116.258017；关系=core_to_side_candidate。",true,true,false,false,BLIND_OBJECT_018 的决定性盲审依据是：下方主体与中部侧边相邻，右侧孤立小点不改变主体支撑。,也可能只是局部高亮散射组合；需要冻结后在 eval 阶段检查其与目标区域的关系，但盲审阶段不使用该信息。,与同图中的横向红色/白色长条相比，该对象有下方主体和端点/侧边的近距离组合。,medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0019,BLIND_FRAME_014,BLIND_OBJECT_019,structure_candidate,"BLIND_OBJECT_019 / BLIND_FRAME_014: 主体、侧边和端点候选在同一白框内连续，横向背景不占主导。 候选角色=body_core_candidate;side_ridge_candidate;unresolved_atom；支持像素轴 L=141.730412, W=119.980177；关系=core_to_side_candidate。",true,true,false,false,BLIND_OBJECT_019 的决定性盲审依据是：主体、侧边和端点候选在同一白框内连续，横向背景不占主导。,也可能只是局部高亮散射组合；需要冻结后在 eval 阶段检查其与目标区域的关系，但盲审阶段不使用该信息。,与同图中的横向红色/白色长条相比，该对象有下方主体和端点/侧边的近距离组合。,medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0020,BLIND_FRAME_015,BLIND_OBJECT_020,structure_candidate,"BLIND_OBJECT_020 / BLIND_FRAME_015: 底部主体存在，但上方红色横带很强，车辆部件支持被背景弧线干扰。 候选角色=body_core_candidate;unresolved_atom；支持像素轴 L=159.328549, W=66.494131；关系=single_or_unresolved_relation。",true,false,false,false,BLIND_OBJECT_020 的决定性盲审依据是：底部主体存在，但上方红色横带很强，车辆部件支持被背景弧线干扰。,可能是弱车辆部件，也可能是截断背景纹理；盲审只确认局部部件迹象，不确认完整车辆结构。,同图其他对象要么更像横向弧线，要么是孤立强点；该对象只保留局部部件证据。,low_to_medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0021,BLIND_FRAME_015,BLIND_OBJECT_021,structure_candidate,"BLIND_OBJECT_021 / BLIND_FRAME_015: 上方长横带跨越窗口，是典型背景弧线；下方主体不属于该对象。 候选角色=background_arc_candidate；支持像素轴 L=141.297208, W=37.675408；关系=background_arc_conflict。",false,false,true,false,BLIND_OBJECT_021 的决定性盲审依据是：上方长横带跨越窗口，是典型背景弧线；下方主体不属于该对象。,如果后验发现它靠近目标，也只能说明背景弧线与目标区域混叠；盲审不能把横向弧线当作车体。,它比下方主体候选更亮或更长，但缺少主体-端点闭合，不能作为车辆解释。,medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0022,BLIND_FRAME_016,BLIND_OBJECT_022,structure_candidate,"BLIND_OBJECT_022 / BLIND_FRAME_016: 主体块、左侧边和右端弱点构成局部闭合，红色背景对象与其分离。 候选角色=body_core_candidate;side_ridge_candidate;unresolved_atom；支持像素轴 L=158.180856, W=122.566815；关系=core_to_side_candidate。",true,true,false,false,BLIND_OBJECT_022 的决定性盲审依据是：主体块、左侧边和右端弱点构成局部闭合，红色背景对象与其分离。,也可能只是局部高亮散射组合；需要冻结后在 eval 阶段检查其与目标区域的关系，但盲审阶段不使用该信息。,与同图中的横向红色/白色长条相比，该对象有下方主体和端点/侧边的近距离组合。,medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0023,BLIND_FRAME_016,BLIND_OBJECT_023,structure_candidate,"BLIND_OBJECT_023 / BLIND_FRAME_016: 右上小横带独立且与主体块断开，属于背景弧线/条纹。 候选角色=background_arc_candidate；支持像素轴 L=15.543756, W=5.137642；关系=background_arc_conflict。",false,false,true,false,BLIND_OBJECT_023 的决定性盲审依据是：右上小横带独立且与主体块断开，属于背景弧线/条纹。,如果后验发现它靠近目标，也只能说明背景弧线与目标区域混叠；盲审不能把横向弧线当作车体。,它比下方主体候选更亮或更长，但缺少主体-端点闭合，不能作为车辆解释。,medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0024,BLIND_FRAME_017,BLIND_OBJECT_024,structure_candidate,"BLIND_OBJECT_024 / BLIND_FRAME_017: 底部主体块可见，右上端弱点连接过长，判断为局部部件支持。 候选角色=body_core_candidate;isolated_small_atom;unresolved_atom；支持像素轴 L=150.921522, W=64.504236；关系=single_or_unresolved_relation。",true,false,false,false,BLIND_OBJECT_024 的决定性盲审依据是：底部主体块可见，右上端弱点连接过长，判断为局部部件支持。,可能是弱车辆部件，也可能是截断背景纹理；盲审只确认局部部件迹象，不确认完整车辆结构。,同图其他对象要么更像横向弧线，要么是孤立强点；该对象只保留局部部件证据。,low_to_medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0025,BLIND_FRAME_017,BLIND_OBJECT_025,structure_candidate,"BLIND_OBJECT_025 / BLIND_FRAME_017: 上方长横线横贯窗口，亮但不形成车辆主体宽度。 候选角色=background_arc_candidate；支持像素轴 L=151.195885, W=35.698671；关系=background_arc_conflict。",false,false,true,false,BLIND_OBJECT_025 的决定性盲审依据是：上方长横线横贯窗口，亮但不形成车辆主体宽度。,如果后验发现它靠近目标，也只能说明背景弧线与目标区域混叠；盲审不能把横向弧线当作车体。,它比下方主体候选更亮或更长，但缺少主体-端点闭合，不能作为车辆解释。,medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0026,BLIND_FRAME_018,BLIND_OBJECT_026,structure_candidate,"BLIND_OBJECT_026 / BLIND_FRAME_018: 下方端点热点较清楚，上方弱点松散，只有端点部件证据。 候选角色=endpoint_hotspot_candidate;unresolved_atom；支持像素轴 L=136.233264, W=119.142537；关系=single_or_unresolved_relation。",true,false,false,false,BLIND_OBJECT_026 的决定性盲审依据是：下方端点热点较清楚，上方弱点松散，只有端点部件证据。,可能是弱车辆部件，也可能是截断背景纹理；盲审只确认局部部件迹象，不确认完整车辆结构。,同图其他对象要么更像横向弧线，要么是孤立强点；该对象只保留局部部件证据。,low_to_medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0027,BLIND_FRAME_019,BLIND_OBJECT_027,structure_candidate,"BLIND_OBJECT_027 / BLIND_FRAME_019: 框内主要是弱散点和斜线，没有可辨主体或端点组合。 候选角色=unresolved_atom；支持像素轴 L=134.16489, W=124.813983；关系=single_or_unresolved_relation。",false,false,false,true,BLIND_OBJECT_027 的决定性盲审依据是：框内主要是弱散点和斜线，没有可辨主体或端点组合。,可能是弱车体、背景纹理或分割碎片；当前可见结构不足以独立归类。,与可接受的主体-端点组合相比，它缺少至少一个关键部件或距离过长。,low,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0028,BLIND_FRAME_020,BLIND_OBJECT_028,structure_candidate,"BLIND_OBJECT_028 / BLIND_FRAME_020: 底部端点热点存在，但只有一条斜向连接，车辆结构不闭合。 候选角色=endpoint_hotspot_candidate;unresolved_atom；支持像素轴 L=132.906887, W=118.352774；关系=single_or_unresolved_relation。",true,false,false,false,BLIND_OBJECT_028 的决定性盲审依据是：底部端点热点存在，但只有一条斜向连接，车辆结构不闭合。,可能是弱车辆部件，也可能是截断背景纹理；盲审只确认局部部件迹象，不确认完整车辆结构。,同图其他对象要么更像横向弧线，要么是孤立强点；该对象只保留局部部件证据。,low_to_medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_002.png
BRV_0029,BLIND_FRAME_021,BLIND_OBJECT_029,structure_candidate,"BLIND_OBJECT_029 / BLIND_FRAME_021: 单条弱横/斜线悬在纹理中，缺少局部主体响应。 候选角色=unresolved_atom；支持像素轴 L=123.629562, W=119.131078；关系=single_or_unresolved_relation。",false,false,false,true,BLIND_OBJECT_029 的决定性盲审依据是：单条弱横/斜线悬在纹理中，缺少局部主体响应。,可能是弱车体、背景纹理或分割碎片；当前可见结构不足以独立归类。,与可接受的主体-端点组合相比，它缺少至少一个关键部件或距离过长。,low,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_003.png
BRV_0030,BLIND_FRAME_022,BLIND_OBJECT_030,structure_candidate,"BLIND_OBJECT_030 / BLIND_FRAME_022: 左下端点簇清楚，但没有相邻主体块，保留为端点部件支持。 候选角色=endpoint_hotspot_candidate;unresolved_atom；支持像素轴 L=138.289437, W=115.7511；关系=single_or_unresolved_relation。",true,false,false,false,BLIND_OBJECT_030 的决定性盲审依据是：左下端点簇清楚，但没有相邻主体块，保留为端点部件支持。,可能是弱车辆部件，也可能是截断背景纹理；盲审只确认局部部件迹象，不确认完整车辆结构。,同图其他对象要么更像横向弧线，要么是孤立强点；该对象只保留局部部件证据。,low_to_medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_003.png
BRV_0031,BLIND_FRAME_023,BLIND_OBJECT_031,structure_candidate,"BLIND_OBJECT_031 / BLIND_FRAME_023: 左下端点连到右上孤立点，跨度过长且中间缺少车身响应。 候选角色=endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom；支持像素轴 L=137.090928, W=124.752325；关系=single_or_unresolved_relation。",false,false,false,true,BLIND_OBJECT_031 的决定性盲审依据是：左下端点连到右上孤立点，跨度过长且中间缺少车身响应。,可能是弱车体、背景纹理或分割碎片；当前可见结构不足以独立归类。,与可接受的主体-端点组合相比，它缺少至少一个关键部件或距离过长。,low,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_003.png
BRV_0032,BLIND_FRAME_024,BLIND_OBJECT_032,structure_candidate,"BLIND_OBJECT_032 / BLIND_FRAME_024: 与 031 类似，端点到右上孤立点的连线过长，不构成闭合。 候选角色=endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom；支持像素轴 L=141.825208, W=126.240445；关系=single_or_unresolved_relation。",false,false,false,true,BLIND_OBJECT_032 的决定性盲审依据是：与 031 类似，端点到右上孤立点的连线过长，不构成闭合。,可能是弱车体、背景纹理或分割碎片；当前可见结构不足以独立归类。,与可接受的主体-端点组合相比，它缺少至少一个关键部件或距离过长。,low,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_003.png
BRV_0033,BLIND_FRAME_025,BLIND_OBJECT_033,structure_candidate,"BLIND_OBJECT_033 / BLIND_FRAME_025: 弱斜线和左下孤立小点为主，主体宽度不可见。 候选角色=isolated_small_atom;unresolved_atom；支持像素轴 L=141.406247, W=103.731966；关系=single_or_unresolved_relation。",false,false,false,true,BLIND_OBJECT_033 的决定性盲审依据是：弱斜线和左下孤立小点为主，主体宽度不可见。,可能是弱车体、背景纹理或分割碎片；当前可见结构不足以独立归类。,与可接受的主体-端点组合相比，它缺少至少一个关键部件或距离过长。,low,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_003.png
BRV_0034,BLIND_FRAME_026,BLIND_OBJECT_034,structure_candidate,"BLIND_OBJECT_034 / BLIND_FRAME_026: 底部端点框较亮，中心弱点不足以闭合车辆，只支持局部端点。 候选角色=endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom；支持像素轴 L=136.008017, W=96.447518；关系=single_or_unresolved_relation。",true,false,false,false,BLIND_OBJECT_034 的决定性盲审依据是：底部端点框较亮，中心弱点不足以闭合车辆，只支持局部端点。,可能是弱车辆部件，也可能是截断背景纹理；盲审只确认局部部件迹象，不确认完整车辆结构。,同图其他对象要么更像横向弧线，要么是孤立强点；该对象只保留局部部件证据。,low_to_medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_003.png
BRV_0035,BLIND_FRAME_027,BLIND_OBJECT_035,structure_candidate,"BLIND_OBJECT_035 / BLIND_FRAME_027: 左下孤立点到右上点的长斜线更像纹理连接，缺主体。 候选角色=isolated_small_atom;unresolved_atom；支持像素轴 L=132.727758, W=99.371504；关系=single_or_unresolved_relation。",false,false,false,true,BLIND_OBJECT_035 的决定性盲审依据是：左下孤立点到右上点的长斜线更像纹理连接，缺主体。,可能是弱车体、背景纹理或分割碎片；当前可见结构不足以独立归类。,与可接受的主体-端点组合相比，它缺少至少一个关键部件或距离过长。,low,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_003.png
BRV_0036,BLIND_FRAME_028,BLIND_OBJECT_036,structure_candidate,"BLIND_OBJECT_036 / BLIND_FRAME_028: 右上孤立点和中部弱线断裂，未形成可解释车辆部件。 候选角色=isolated_small_atom;unresolved_atom；支持像素轴 L=116.8209, W=86.270393；关系=single_or_unresolved_relation。",false,false,false,true,BLIND_OBJECT_036 的决定性盲审依据是：右上孤立点和中部弱线断裂，未形成可解释车辆部件。,可能是弱车体、背景纹理或分割碎片；当前可见结构不足以独立归类。,与可接受的主体-端点组合相比，它缺少至少一个关键部件或距离过长。,low,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_003.png
BRV_0037,BLIND_FRAME_029,BLIND_OBJECT_037,structure_candidate,"BLIND_OBJECT_037 / BLIND_FRAME_029: 右下主体块可见，但上方孤立点多且分散，只能支持局部车身。 候选角色=body_core_candidate;isolated_small_atom;unresolved_atom；支持像素轴 L=140.195184, W=110.03303；关系=single_or_unresolved_relation。",true,false,false,false,BLIND_OBJECT_037 的决定性盲审依据是：右下主体块可见，但上方孤立点多且分散，只能支持局部车身。,可能是弱车辆部件，也可能是截断背景纹理；盲审只确认局部部件迹象，不确认完整车辆结构。,同图其他对象要么更像横向弧线，要么是孤立强点；该对象只保留局部部件证据。,low_to_medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_003.png
BRV_0038,BLIND_FRAME_030,BLIND_OBJECT_038,structure_candidate,"BLIND_OBJECT_038 / BLIND_FRAME_030: 右下端点框明显，左上弱线距离远，作为端点部件保留。 候选角色=endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom；支持像素轴 L=140.803815, W=122.245158；关系=single_or_unresolved_relation。",true,false,false,false,BLIND_OBJECT_038 的决定性盲审依据是：右下端点框明显，左上弱线距离远，作为端点部件保留。,可能是弱车辆部件，也可能是截断背景纹理；盲审只确认局部部件迹象，不确认完整车辆结构。,同图其他对象要么更像横向弧线，要么是孤立强点；该对象只保留局部部件证据。,low_to_medium,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_003.png
BRV_0039,BLIND_FRAME_031,BLIND_OBJECT_039,structure_candidate,"BLIND_OBJECT_039 / BLIND_FRAME_031: 中下端点和右上孤立点相连，主体缺失，无法独立判车。 候选角色=endpoint_hotspot_candidate;isolated_small_atom;unresolved_atom；支持像素轴 L=138.723387, W=115.755864；关系=single_or_unresolved_relation。",false,false,false,true,BLIND_OBJECT_039 的决定性盲审依据是：中下端点和右上孤立点相连，主体缺失，无法独立判车。,可能是弱车体、背景纹理或分割碎片；当前可见结构不足以独立归类。,与可接受的主体-端点组合相比，它缺少至少一个关键部件或距离过长。,low,outputs/wgv3_6a_a1_8a_r1_20260711/blind_sheet_004.png
